http://movie.douban.com/subject/4751123/	洪武三十二
(NA)	 ...啊 陈键锋演三保 没话说了- -            
(NA)	 TVB有木有人啊 有木有了还？            
(3星)	 &lt;30 完结&gt;这就是一部集各种HHP与雷点的腐剧啊XD江若琳又丑声音又难听！！！大概是阿苗在三色台的最后一部剧了吧TAT            
(4星)	 挺好看的……            
(NA)	 实在无法忍受江若琳，太恶心人了            
(3星)	 又基浴又sm的不觉得太重口了吗？            
(3星)	 TVB难得历史剧。            
(4星)	 敖笑峰的身份懸念從第一集埋到了二十集 揭曉之後劇情也一直因為敖笑峰的立場變化而搖擺不定 到最後也沒有爛尾 黃偉聲寶刀未老啊！            
(4星)	 我要把所有的TVB聚集都看一遍！！！            
(5星)	 嘻嘻，我觉得很好看啊~看TVB的姑娘小伙儿，喃们都是天使。            
(3星)	 看你从大天二熬到第一男主 我甚感欣慰 laughing哥再展神威            
(3星)	 普通吧 TVB的一般肥皂剧            
(4星)	 锦衣卫办案题材一星,帝皇之争一星,古装版laughing一星,多年不见的武打一星            
(3星)	 凡是男的都与马三保有奸情，凡是女的都与敖笑风有暧昧。            
(NA)	 不继续            
(2星)	 历史剧变成戏说剧也就算了，戏说剧变成言情剧也就算了，偏偏什么都胡来。拖沓的情节，拖沓的台词……            
(3星)	 本劇講述了一個男人和一個太監相戀卻不能在一起的故事，陳劍鋒到哪部戲裏都是一副忠犬受的樣子嘛……            
(4星)	 马德钟不错            
(4星)	 感情戲是毛,跳着看.基本忠於正史,最主要是馬德鐘演的燕王啊,我迷倒了.            
(5星)	 超爱谢天华陈键锋~所有女的都和敖笑风有暧昧 所有男的都和马三保有基情 燕王和马三宝断臂 又和老婆SM 还和千三娘一腿 花样挺多！陈键锋好惊艳好可爱~ &#34;起初对徐子珊的扮相小惊艳了一下 并且期待着与敖笑风的感情纠葛 看多了果断对这两只审美疲劳了 并且觉得徐子珊还是丑！！这片子里戏份多的女的都丑！            
(4星)	 朱棣、三保、千户大人都是破案能手，只可惜金枝玉叶都长得粗枝大叶。。。            
(NA)	 哎……不是虎頭，肯定蛇尾。            
(3星)	 最让我惊奇的就是原来辅助朱棣夺位的太监马三保竟然就是郑和，真是孤陋寡闻            
(1星)	 大烂片。圆不过来就假装忘记的细节。TVB也今不如昔。容我痛哭。            
(4星)	 三宝            
(4星)	 新宠谢天华，给你四颗星~~            
(3星)	 靠胡弄多几条爱情线来把故事硬撑到30集            
(4星)	  马德钟、谢天华两位的演技很棒！王妃真的是善解人意！             
(2星)	 虎頭蛇尾 不知所謂。男女關係簡直比歷史還要複雜 還是最懷念拍金庸劇年代的TVB。雖然取景點有限還經常反復 大多又為室內戲 服飾也不甚華麗 但卻昰最有味的古裝劇時光。最喜歡李若彤的小龍女和黎姿的趙敏 演得入木三分 漂亮簡直得入木七八分。哪像現在! 陰魂不散的徐子珊 一看見她就煩!!            
(NA)	 想看谢天华而已 这话要收下“所有女的都和敖啸风有暧昧所有男的都和马三保有基情 而敖啸风和马三保才是本剧中最惺惺相惜的一对～”            
(3星)	 又开始讨厌徐子珊了，特别是跟马德钟的激情戏= =            
(NA)	 烂尾            
(4星)	 依旧烂尾            
(3星)	 大概从十几集开始这个剧的狗血之势就一去不回头了……尼玛的敖笑风啊个烂人！一开始站错CP了。。朱棣三保才是真爱啊啊啊T^T            
(NA)	 当反应过来三宝是郑和之后，我这个心情很奇妙啊，这可怜的孩子还偷偷喜欢公主            
(3星)	 虎头蛇尾- -！            
(3星)	 能坚持看完完全是出于对朱棣的兴趣            
(3星)	 我就是爱死徐子珊啦            
(3星)	 咳咳＞＜ 凡是男人皆与三保有基情，果然是TVBL出品。            
(1星)	 有沒搞錯啊，回來後發現TVB換了新的電視劇，這個好爛。            
(5星)	 有陈键锋！            
(3星)	 TVB的宫廷剧最近水准一直在下降，希望剧情不再狗血且laughing哥有好的表现。。。            
(2星)	 这个对历史似乎很颠覆吧。。谢天华我觉得还蛮给力的。。            
(4星)	 最近TVB比较好看的了~~~ 稀饭~~~  演员都还蛮喜欢的！ 虽然不太喜欢徐子珊，不过这部里面感觉还不错啊~~  马德钟好真霸气，陈键锋好那什么啊~~            
(4星)	 苗苗澡堂的各种美好！            
(3星)	 编剧扯是蛮扯的，还能看到一些些基情。。。啧            
(3星)	 谢天华的角色完全没什么好发挥啊,本来失忆剧情不是可以大大挥洒一笔的么...最后和公主在一起也是个悲剧...倒是马德钟和陈键锋的表现不错, 以前还不觉得小马可以这么霸气呢.             
(4星)	 想死的没死 不该死的死了             
(3星)	 如果不是因为写的朱棣，我打算给两星。。。一贯脑残狗血。真受不了了。。。当然最受不了的还是自己——熬了两夜看这个。总算看完了            
(NA)	 两星。。。编剧赶紧去死一死啦！！            
(3星)	 剧情上可以吐槽的地方太多了。公主长成这样也算难得。几个男人为了心爱的女人都改变了命运，就是三保同志巍然不动……            
(3星)	 原来马三宝就是以后的郑和下西洋            
(NA)	 啦风影哥古装；了。。。我OUT错过没看到，来补习            
(4星)	 越看越精彩            
(4星)	 女演员真是各种诡异。最最后，傲笑风说你真有繁殖力，配音说我又要做爸爸啦，笑死。马三保说，其实，我是一个太监，又差点笑死。郑和啊郑和，就觉明朝那些事儿都白读了。            
(3星)	 三星半            
(3星)	 且看laughing哥穿越后叱咤风云。            
(3星)	None
(4星)	 原来是根据正史改编的，有黄伟声的看家侦探元素护航 还是很不错的，但是莫名其妙的感情线路 和最后TVB一惯的虎头蛇尾实在是可惜了！！马德钟表现亮眼 演技备受肯定！！            
(4星)	 所有女人都和谢SIR有暧昧，所有男人都和陈键锋有基情。好片！            
(NA)	 三保~            
(2星)	 明明可以是最闪光的角色 硬生生被编剧盖被子了            
(3星)	   碧血染青衫，只手风雨翻            
(NA)	 TVB也拍古装呀            
(3星)	 无聊才追            
(4星)	 古代卧底剧，laughing哥成专业卧底户了。。。很烦马德钟，花若葆= =            
(5星)	 港剧是有固有水准的。            
(4星)	 徐子珊挺好看的哟            
(4星)	 我是看完了《明朝那些事儿》才突然想看看这部剧的，当然只是大话历史了，不过古装的laughing gor也挺有型的，4颗星            
(4星)	 2011-8-29，sax。不错，陈键锋太cute啦~~~~~~受不了江若琳的声音。。。燕王真实很纯爷们。各感情戏不敢恭维            
(4星)	 喜欢敖笑风和公主            
(3星)	 徐子珊够丑了，江若琳是丑到极致了。编剧编的极其认真，把每一处铺垫和故事的发展都调整到了一个很合适的节奏。这在近几年的港剧中是极其难得的。            
(NA)	 基情四射啊！！            
(3星)	 laughing哥穿越到明朝继续卧底。            
(NA)	 laughing哥~            
(3星)	 一直没看，没喜欢的演员。实在没片追了，就拖出来看，结果还行。不过陈键锋真的太gay了吧。            
(5星)	 其实我想说。。。谢天华好man好性感~捂脸            
(4星)	 马德钟演的燕王不错~~~ 马三保及千三娘也是偶比较喜欢的角色类型。。。            
(4星)	 一般来说历史剧是已经有结尾了，所以一般结尾如果要吸引人的话就要编一些世人不知道，或者需要猜测的东西在里边，不过总体而言本剧的结尾不算太悬疑，没有太吸引人的眼光。PS：马德钟的表演很给力。            
(NA)	 马三保竟然变成郑和了。。。            
(2星)	 本年度看不下去的T家烂片之一。            
(4星)	 蛮正的。。。            
(4星)	 好看！马德钟好帅啊！            
(3星)	 去掉啰嗦的感情戏，20集就差不多了。            
(3星)	 好吧，TVB还是别拍历史剧比较明智，太寒碜了。。。            
(3星)	 马三保=太监=郑和。            
(4星)	 真是基情四射            
(3星)	 感情线一如既往的纷乱。            
(3星)	 什么乱七八糟的感情线，根据故事的尿性来看我还以为千三没死什么的。            
(3星)	 此片的亮点是陈键锋……绝色美人太监人妻受神马的，想起了《庆熹纪事》的辟邪啊！这才是女性服务向的高峰，求更多！【够            
(2星)	 单元破案剧套路+超狗血情感线+你能想到这么坑爹的结局你就姓高的电视啊            
(3星)	 陈苗苗 减肥吧 - -            
(NA)	 陈键锋啊书生简直超衬你啊真的很貌美啊！~~~ 谢天华第一集惊艳，后面完全渣掉。            
(4星)	 千三。。。美人难过英雄关那！            
(3星)	 看得很艰难            
(5星)	 tvb真乃居家必备            
(3星)	 编剧看过明朝那些事吧。。。。嘛~除去狗血和水过鸭背式的历史叙事，还是颇有萌点的，谢天华虽然不帅，但戏演得颇萌角色还可，徐子珊来了个双子女。。性格转变神马的也表现得不错哪~~            
(3星)	 断断续续看完了，没什么意思。            
(4星)	 公主又怎样，得不到爱的人一样会伤心，让来让去的人只会更伤心。好吧，我就是个看TVB会莫名落泪的师奶……马德钟的下场也太好了，徐子淇应该化为厉鬼来那么一出报仇被感动啊            
(3星)	 陈三苗在TVB的最后一部啊！            
(3星)	 不要被片尾的关系所迷惑            
(4星)	 三苗你胖得我都看不下去了 = =            
(3星)	 想到明朝那些事儿            
(3星)	 有些谜团设得还有点扑簌迷离 可惜越到后来越累赘 说实话江若琳实在没有公主的气质 可惜了—— 所有女的都和敖啸风有暧昧所有男的都和马三保有基情 这句话很经典            
(2星)	 脑残编剧明明可以把这剧本拆开两个，面瘫锦衣卫与风情老板娘的艳情碟中碟，或者异心王爷软面皇太孙宫廷秘闻叔侄翻脸夺江山，随便哪一个踏踏实实写都有戏。搞成如今这部不伦不类混乱异常的剧，真佩服编剧蛋的坚韧性，居然扯不坏？娘的嘞我还不如看起点那帮傻仔扯各有特色的淡。            
(4星)	 虽然bug也蛮多的，不过已经算不错鸟~谢叔还是那么di帅啊~            
(4星)	 基            
(4星)	 马德钟的演技真是出神入化，而谢天华真的没什么演技，最让我难以接受的是谢天华和江若琳搞的父女恋，全剧最大的败笔            
(3星)	 結局很囧            
(4星)	 TVB钙片大户啊啊啊啊            
(4星)	 原来朱元璋死了藩王都可以不去封地的，朱棣摇身一变成了为人为己的大好人，公主能不能再弱智白痴一点。无视以上几个严重问题以外，剧情居然还算可以的。            
(3星)	 每次都是这么狗血的结尾。。。            
(4星)	 希望幫王爺奮發精神！〒▽〒            
(2星)	 谢天华我不想说啥，江若琳还是好好唱歌吧...长着一双大眼睛，可演技很一般好吗...我宁愿选择看公主嫁到里的佘诗曼啊我说！！！            
(NA)	 TVB还有没有像样的女演员了？江若琳真是丑爆了，相比之下，连徐子珊都不是那么难看了==            
(4星)	 两颗星给laughing哥和苗苗 编剧到后面是睡着了还是怎么滴了。。            
(3星)	 三保你为什么是太监！！！！！            
(NA)	 郑和又叫马三保，郑和是太监?!            
(3星)	 我觉得我不想看了…            
(3星)	 好基···            
(3星)	 江若琳真是越来越让我无语了            
(3星)	 马德钟依旧是亮点。            
(3星)	 霸气的燕王，完美的三保，坑爹的剧情，tvb快点找些新编剧吧，剧情硬伤太严重，估计只有fans才能追完            
(5星)	 谢天华很出彩，越来越喜欢他。            
(NA)	 明顯是腐片！            
(4星)	 高开低走，尚算不错。马德钟已经有视帝相了，徐子珊亦长进不少啊~还有谢天华，一定不能再演这么正的人了，失忆前的敖笑风才是真正的敖笑风。            
(2星)	 敖笑风和公主的戏，看到就快进~一对脑残~~~还是朱棣威武~~            
(4星)	 徐子珊是米雪的接班人么   陈键锋很有爱  马德钟有彩  谢天华在我心里依然是浮云            
(2星)	 我都系中意细个睇张庭既《穿越时空的爱恋》多D            
(3星)	 这部编剧唯一厉害的地方就是之前的剧集绝对让你猜得到，但最后就情愿受虐了。愣是让该在一起的人不在一起，不该在一起的人在了一起。比如三保和燕王就这样被毁了。            
(4星)	 徐子珊美艳~            
(NA)	 绝对属于重口味，但是忠于历史题材的历史剧。不过囿于TVB的资金实力，搞的小里小气。不过演员还是比较过关的。            
(4星)	 非常喜欢燕王和千三的感情戏。。。            
(3星)	 被牛八无情剧透，弃之。。。而且谢天华同学，除了卧底和小混混，你还有？？？            
(4星)	 TVB古代潜伏            
(NA)	 又让自己沦落到追剧的可怜境地。            
(3星)	 前面好看些            
(3星)	 陈键锋现在脸真肿啊~            
(3星)	 三苗……            
(4星)	 因为很喜欢明朝那些事，爱屋及乌了。            
(4星)	 又见江若琳啊/燕王妃和千三娘赞/好久不见tvb故事性强的作品了/发现自己还是喜欢历史剧的/感情戏真是乱啊/笑和公主和乔和楚楚/燕王和千三和楚楚和王妃/三保和公主和高娃/            
(4星)	 马德钟确实演得很赞！他是亮点!            
(5星)	 喜欢傲笑风这个角色。最后总算燕王做上王位了，本来都觉得朱允炆不适合当皇帝。。发觉江若琳蛮可爱的，她演公主也蛮合适的。第一次觉得徐子珊还演得不错，个人比较喜欢千三胜过楚楚。            
(3星)	 最后一集让我好无语啊……朱棣进攻济南的借口……果然是坑爹呢！！！            
(NA)	 马德钟、陈键锋都是我的菜。            
(3星)	 为了看陈键锋和谢天华来的，剧情不咋地            
(NA)	 我是多无聊啊....TVB我又来了！！！！            
(NA)	 片头还不错……            
(3星)	 前半部真的OK.  相比于近年TVB古装戏.            
(NA)	 TVB现在真的烂片太多，这部在差中还不错了，另外，因为马德钟，徐子珊，还可以看了~            
(2星)	 唉。。。TBB真杯具。。。            
(2星)	 第一集四星，前十集三星，十集以后男猪被塑造成一个风流成性贪生怕死的墙头草，不是所有拥有矛盾心理的人物都可以丰满立体。一部又一部的垃圾证明tvb的编剧是驾驭不了历史剧的。            
(4星)	 后面越来越狗血            
(3星)	 陈健锋人妻一枚啊！！！！！有木有！！所有女性角色全部黯然失色啊！！有木有！！！            
(4星)	 腐无处不在            
(3星)	 TVB擅长拍这种片，拍得都千篇一律了，但是这次，有了电脑特效。            
(3星)	 普通，除了有陈键锋~~~            
(4星)	 四火妹好妹，我心中的完美女杀手形象！            
(4星)	 看完以后突然很想去研究一下，永乐皇帝朱棣。。。啧啧。。。            
(4星)	 女主角都跟傲笑风有一腿。。。男主角都跟马三保有一腿。。。。            
(3星)	 弃            
(3星)	 啊哦            
(3星)	 杨过和小龙女 从此过上了幸福的生活            
(3星)	 居然有密室杀人和死前讯息。。好吧。。。这不是三宝太监和锦衣卫，这是柯南和服部平次            
(3星)	 灰常讨厌永阳公主            
(2星)	 1 本人就冲着陈键锋和徐子珊去看的 2 江若琳的声音实在是太难听了，很难想象一个长的挺好看的女子怎么声音可以难听成这样？！3 TVB现在好像是为了凑剧集而拍戏，不耐看啊！都快进啊！ 4 古装戏拍的和现代剧一样，感情对象走马灯似的换= = 5 马德钟演的还行 6 期待下周的林峰吧            
(4星)	 不是因为这部戏我还不会去了解永乐皇帝呢            
(3星)	 laughing哥！！！            
(4星)	 朱允炆个傻逼 = =+            
(3星)	 到底马德钟有没有感情戏，徐子珊配配谢天华差不多了，放眼望去没有其他的女的了。。。            
(3星)	 有些情节很牵强，看起来很怪，但是总体来讲还是不错滴~喜欢谢天华，虽然人物的命运很悲催~            
(2星)	 题材上有点新意，台词还是那么回事。越到后面越烂扯，人物失去逻辑，前言不搭后语。            
(1星)	 05棄。            
(3星)	 朱棣帝王攻，锦衣卫强攻，郑三保童鞋天然受强受（¯﹃¯）！！！            
(3星)	 大部分还是比较尊重历史，但是我坚信觉得建文帝没这么窝囊。。             
(3星)	 有种草草收尾的感觉，前面铺垫太多了，竟然只用最后三集讲朱棣起兵到称帝这几年的事            
(3星)	 坑爹啊，三保居然是郑和。            
(3星)	 三苗在TVB最后一部，没看完，但也够了。            
(4星)	 不喜欢结局            
(5星)	 真心覺得好看，真心喜歡！！！！雖然收視不高！！！！            
(3星)	 无聊的烂尾            
(NA)	 发现自己很讨厌江若琳。一直期待公主死，愣是来了个happy ending= =郁闷了。为毛苗苗木有和敖笑风幸福生活在一起啊？？？？这感情戏烂的一塌糊涂，还有炮灰的马赛，敖笑风好端端一个美女在身边不喜欢，什么破眼光。哼            
(3星)	 我觉得跟历史已经多大关系了吧，各种改编和杜撰~            
(4星)	 蛮好的可以浓缩到20集就更好的片子。            
(3星)	 720P下载见相册            
(4星)	 新意之中，有金庸式武侠的神韵——伏线千里！            
(4星)	 算是不错的历史剧没有太大改动，喜欢徐子珊～            
(4星)	 太扯了            
(NA)	 陈键锋瘦了 真的瘦了！            
(4星)	 比想像中好太多。也許是我本身對這部劇都沒有什麽期望吧。            
(3星)	 剧情有点狗血，尤其是楚楚现身的时候，小乔也死地太是时候了吧。。。            
(3星)	 凭什么JRL可以毁了一个又一个实力派！            
(3星)	 身世好离奇            
(2星)	 弃了。            
(NA)	 江若琳的声音也太夸张了，只有最后几集的造型可以看看。。啊，也最喜欢徐子珊最后几集的造型！！            
(5星)	 五星为陈键锋在tvb的最后一部戏            
(2星)	 毫无诚意的电视剧。辜负我的期望。            
(3星)	 还可以啊！            
(1星)	 如果敖笑风不失忆，本来该是多么出彩丰满的人物形象。。。 可惜啊可惜            
(4星)	 国语版的配音永远都让人叹息啊            
(5星)	 喜欢千三娘，三保            
(4星)	 laughing gor最有型，陈键锋好正太，马德钟演朱棣帅爆了。江若琳和徐子珊去死吧。            
(4星)	 Laughing哥红得不行了，古装扮相也不错啊！：）            
(3星)	 成王败寇。这次是陈马配。后来看到贴吧截图才发觉有段很基情，笑死我了            
(3星)	 tvb为了捧人不惜砸锅卖铁啊。laughing gor你赚大发了，剧里不管环肥燕瘦的女子都喜欢你啊。真的很担心，这么捧，但是质量不高很容易臭的。好久不见马德钟，小生变武生，演技比谢天华更技高一筹。江若琳那两只空洞的大眼睛吓死人啦，无貌无演技，怎么上位的？            
(3星)	 挺2的剧情。。失忆神马。。。三颗星全给苗！            
(4星)	 苗苗好看……            
(3星)	None
(5星)	 成就了史上最帅的宦官            
(4星)	 拍的不错！公主要是换成别人就更完美了~囧            
(3星)	 看過幾集。不太吸引我，但也算是TVB的一大改革了！            
(3星)	 冲谢天华去的～            
(3星)	 噗嗤一声笑。            
(NA)	 时光能够倒流就好了            
(3星)	 浑浑噩噩看TVB的时间里。            
(3星)	 消磨时间的，晚上看看能把自己哄睡着了            
(4星)	 有一点太长了，感情也有点乱，laughing哥艳福不浅，与多位女子有感情戏，而且尺度还很大，滚了好几次床单。。。不免觉得有些风流，倒是他和正牌女主永阳公主虽说一直情投意合，但表现得不是很来电~不过最后一集还是蛮甜蜜的~此外，徐子珊在这里的表现真是让人眼前一亮，风情万种的千三娘很适合她            
(NA)	 很精彩的一部古装剧 先在这部里喜欢正派谢天华 的            
(5星)	 ~谢天华太帅鸟~            
(1星)	 是我无聊            
(3星)	 我承认我是来看帅哥陈键锋的哈哈哈哈~史上最帅的太监有木有！~             
(NA)	 就如同大家说的，女的都跟敖笑风有暧昧，男的都跟马三保有基情。            
(2星)	 苗苗变身太监外加Gay相，实在太受不了了。这种残的剧，苗你太胖了！@Home            
(3星)	 看到我最喜欢的男主是个太监的时候我就真的是看不下去了            
(4星)	 追着看完都忘了Mark....江若琳还蛮可爱的~故事编排也不错            
(2星)	 这剧完全是看敖笑风            
(4星)	 最后一集从11年看到12年。前三分之二非常精彩。徐子珊的声音配上她凌厉的表情真是到位。联想到新科视后的种种，想不叹息都不行。连向来不太顺眼某人说只有男配脸的马德钟看上去都英明神武。唇红齿白的陈键锋是某种风格之中的绝色。谢天华徐子珊的性感镜头原来完全无足轻重。            
(3星)	 臭鼻孔            
(3星)	 苗啊苗            
(NA)	 就那样了            
(4星)	 冲着laughing哥和马德钟看的。还是不错的，至少看完了解了一点朱棣的历史。            
(3星)	 朱棣霸气  laughing又是卧底  郑和就是清秀            
(4星)	 千言万语汇成一句：我擦。男女关系不是这样乱搞的啊！            
(2星)	 冲着陈键锋看的，又是一部虎头蛇尾的戏，都后面朱棣狗血扮疯子骗朱允炆回巢那段果断跳过，朱棣看了会气得从阴间回来抽编剧的            
(3星)	 Dec 18th, 2011 iTV            
(3星)	 补点历史- -山聪兄            
(3星)	 休息在家无聊看的- -我居然看完了。。。            
(3星)	 还是能看看的。。。。。            
(3星)	 敖笑风和楚楚的关系最后都没有提。。。            
(4星)	 明朝那些事儿~还真差不多~不过没敖笑风，主角总是虚幻的，恩恩            
(3星)	 很基情......            
(3星)	 就是TVBL么...没什么...女的都很丑...哎...            
(2星)	 乱死了 还有TVB编剧们去上上历史课吧            
(5星)	 永阳            
(4星)	 什么都不说了，看到巨头婴儿出现的那一刻不禁怀疑永阳是不是在生孩子之前就在喝三鹿奶粉。。真心爱上陈键锋了啊，为了陈键锋我要看大明宫词！我要看学警狙击！！三保我要为你写影评！！！            
(3星)	 还可以            
(4星)	 陈键锋马德钟陈山聪。8分            
(5星)	 还OK了！为了laughing看的~~江若琳真心不适合演古装，扮相难看，特别是男装。烦死小乔了，别人不喜欢自己还老耍心眼，好在结尾成全了敖！敖笑风失忆后就有感情了，不过就没失忆前那样看着过瘾了！哈哈~            
(4星)	 剧情不错，只是看了大半集，我还不能确定这部剧的男女主角到底是哪个。马德钟表现得很好，陈键锋竟然是郑和，这让我有点难以接受，不过还是一部值得推荐的好剧！            
(3星)	 验指纹 易容术 明初真先进 反复无间道            
(3星)	 追着laughing sir看的，一般般~            
(4星)	 一般，江若琳好丑~~~            
(4星)	 发觉陈若琳蛮漂亮的，就是有点矮，            
(3星)	 真心看了1,2集就没有心思追了。。。。看在苗的面子上，还是看了。。。看不下LAUGHING GOR演感情戏，演朱棣得还是在当年孟丽君里的皇帝演得好。            
(3星)	  剧情一般  马德钟和三保的基情不错            
(NA)	 等车等人太无聊？上班的公车上路漫漫怎么办？洪武三十二是你最好的选择啦！这套我在上班路上看完的剧集。简直就是古装版潜行狙击+Laughing Gor之变节。Laughing一如既往的chok.可他身边的女人们叽叽喳喳烦死了。最离谱的是妓院老板娘姚巴黎居然是卧底锦衣卫，最后还被追封为贵妃。            
(2星)	 看不下去。。。            
(2星)	 老梗            
(4星)	 基情四射，主题歌很燃            
(4星)	 剧情不错，马德钟演燕王很有王者气概，只可惜此剧收视一般，不然马德钟的到位演出绝对值得今年的视帝提名。陈键锋演马三保也十分讨喜，其他人就那样吧。            
(4星)	 如果没有陈键锋就不看这个片了            
(5星)	 好看捏！演员都很棒 剧情古代版潜行的感觉。。。片尾曲真是太好听            
(4星)	 徐很有风情哇            
(1星)	 后面编剧干嘛去了。。。。。。。            
(4星)	 一星给最爱的马三保，一星给雄才伟略又儿女情长的燕王，剩下的给狗血的剧情吧！            
(4星)	 古代版《无间道》，看了潜行搜的挺不错的。            
(4星)	 公主特作来！感觉像是无数部剧拼在一起的！            
(NA)	 laughing哥上身的谢天华。。。没脖子公主。。。不知道到底为了啥装神弄鬼的小乔，我一直以为她是哪一边的无间道来的。。。最后大家都各有归宿，其乐融融。。。            
(4星)	 我对历史剧无限热爱！            
(4星)	 ２０１１年算不错的一部戏了，锦衣卫的服装肯定是做过功课的，比电影上那些戴钢盔的像样的多。如果能把江若琳给换了就可以大力推荐了。            
(3星)	 哎，木有逻辑可言啊~~还是看现代剧算了PS：一直觉得这部的背景音乐和《天龙八部》的好像啊有木有！            
(NA)	 陈键锋的演技很不错~            
(2星)	 果然还是不该对TVB的历史剧有什么期待。            
(4星)	 鈣片！！！！！！！！！！！！            
(3星)	 到处洋溢着明朝那些事儿的影子。越来越不喜欢徐子珊了。不过这里面还有个更烦的江若琳，声音尤其难听。            
(3星)	 不为了苗苗、谢天华谁要看……            
(3星)	 其实只是追着laughing而已……always laughing            
(4星)	 真系几好体。虽然我超级5中意徐子珊。            
(4星)	 其实还可以吧- -。laughing哥什么的。            
(4星)	 Laughing哥穿越去明朝当卧底了！            
(3星)	 各种基情            
(4星)	 第一部对谢天华来感的剧。            
(NA)	 就是背景和BGM差点，剧情和演员演技还是不错的            
(4星)	 有一个帅气就ok了~            
(NA)	 对马的评价骤然升高\永阳公主能去死吗？！            
(3星)	 确实开始不错，后面就……            
(3星)	 TVB经典配乐大杂烩！            
(3星)	 因为看了美人心计突然很喜欢陈键锋所以去看了洪武三十二，一般吧，而且陈键锋演的郑和让我有点说不出的感觉            
(2星)	 此剧只看了前几集，很无聊啊            
(3星)	 历史剧这样演才有意思            
(4星)	 三宝...陈键锋胖了就不帅了啊            
(4星)	 后面太雷了，公主真丑，大爱三保            
(2星)	 雷            
(4星)	 一部基情四射的剧            
(2星)	 我的三苗啊！！又被毁了            
(4星)	 根本不需要出现楚楚，小乔，推倒的锦衣卫等等…给熬的感情戏太多…怕谢天华粉丝造反么…马德钟演得非常非常好…真正的猪脚            
(3星)	 雖然有點扯，但是還能看下去。            
(2星)	 烂片。。。            
(4星)	 为了片头曲！            
(4星)	 竟然出現了兩個除子珊...            
(5星)	 不错。            
(3星)	 满目尽是基情            
(4星)	 好一部基情戏！风流腹黑攻温柔贤惠受，帝王攻忠犬受，叔侄，主仆，相爱相杀，各种风格西皮，任君选择，总有一款适合你。TVB的早已踏上卖腐搞基的不归路。            
(3星)	 其实前二十集都还是不错了，可是越后面越显得拖沓了。            
(3星)	 前段ok, 後段有小小亂.            
(4星)	 剧情无力 不过谢天华帅            
(NA)	 tvb越来越腐==            
(4星)	 拉风哥古装扮相依然很帅啊            
(4星)	 这几天一直在看这部剧，弄的对明朝历史倍感兴趣，又拿起了明朝那些事…            
(5星)	 基情四射啊!            
(4星)	 一开始觉得无聊，但后面还是很有看头的，很多剧情可以用到管理培训课中去分析了，哈哈            
(4星)	 发现坏人要改过自新都要断臂，敖笑风是这样，刘金喜又是这样，谁都得为自己的过去付出代价，可这未免太轻易了。谢天华自从学警狙击之后，laughing上身，所有的剧中人物都带笑字。            
(3星)	 我和我妈一起看的，。我果真不喜欢徐子珊则米孔- -            
