http://movie.douban.com/subject/4067152/	行尸走肉 第一季 The Walking Dead
(4星)	 让我想起了玩L4D的时候。。。            
(5星)	 我喜欢那亚洲人- -            
(4星)	 最后一集太不给力了……不过，明年见。            
(5星)	 生化危机四电视版            
(4星)	 以后再也不看僵尸片了，真是个考验心理承受能力的活儿。果真只有心理素质强大的人才能活下去！            
(5星)	 爱冲动的人真的很可怕....            
(5星)	 这画面太给力了！            
(3星)	 不给力啊 以为是纯丧尸惊悚片            
(4星)	 也就这样吧。其实觉得情节不怎么吸引人。第一季才六集，不给力啊。一星给人物化妆!            
(5星)	 http://yyets.com/showresource-juji-691.html            
(4星)	 哎呀賣呀            
(4星)	 感觉在打生化危机。。。            
(NA)	 前几集不错 后面的就开始不怎么样了            
(4星)	 最后一集真难看            
(3星)	 3.5            
(3星)	 剧情只能2星太拖沓了            
(3星)	 第一季坚持完了，看不下去了……            
(5星)	 第二季要等到2011年10月。神咧！~~~~~            
(NA)	 每当剧情缓慢下来，心里反而更多的不安情绪……            
(4星)	 E01的最后居然是在我学校拍的！            
(3星)	 真是不容易 上百个僵尸狂奔            
(3星)	 都是丧尸界的老生常谈，达拉邦特没赋予什么新意            
(4星)	 虽然兴奋点稍显不够~            
(3星)	 看到那个女呆鹅 我就么胃口了            
(3星)	 其實這是一部公路電視劇是嗎。。            
(3星)	 就ep01和06还行            
(5星)	 第一季就6集？？？？？太揪心了！！            
(5星)	 恩，还是达拉帮特的电影，僵尸就是辅菜。。。。            
(5星)	 萌点噶多啊！！！            
(3星)	 我不觉得好看到哪里去，只能说很烧钱            
(3星)	 观察！            
(4星)	 虽然是僵尸片，僵尸出现的场景不多，重点不是感官刺激而侧重人性的挖掘表现。此类电影看过不少，再看这些难免觉得没有新意，好在刻画的足够细致。            
(3星)	 一群人聚会无聊看，竟然他喵的看完了...             
(5星)	 哈哈 那大肠小肠挂脖子上挺爽的            
(4星)	 CDC的自毁意味着现在这剧明显是在把一切可能的希望统统打碎，除了人民内部矛盾和外部物种斗争外，我还真想不出第二季还有什么走向。不过美剧的编剧一向能编善写，轮不到我操这个心呢~            
(5星)	 看完之后对其他丧尸片已基本无爱!希望编剧好好编第二季啊……            
(5星)	 原来第1季才6集? 老里8早9啃完了            
(3星)	 温情片儿..每次看完都想吃卤煮+血豆腐==            
(4星)	 太绝望了，不喜欢这种焦灼的状态，不再跟第二季。            
(5星)	 人文角度的僵尸片            
(2星)	 是有多雷啊这片子。。。可尼玛完了。。。            
(4星)	 明年继续            
(3星)	 暫無出彩            
(4星)	 AMC你快出第二季阿混蛋！~            
(4星)	 第一个bug出现。。。。。。被吃的一干二净的尸体还保持骨架完整？            
(4星)	 六集就这么完了？这留下的坑也太多了吧。。            
(5星)	 的确非常给力，AMC神剧不断。。。            
(4星)	 虐死了            
(2星)	 ………………一點新意都沒得就化妝特效還行            
(4星)	 EP1前期洩露的版本最好，有那麼些silent hill的fu。首季劇情節奏控制尚可，卻也可以預見不可避免的爛尾走向。。            
(4星)	 好中意那个亚裔男！            
(5星)	 AMC一贯给力！            
(3星)	 僵尸末世题材，主角不招人喜欢，笨的讨厌。剧情很像《生化危机》+斯蒂芬金的《cell》。第二集最好。停追。            
(4星)	 第一集来说没太大感觉，丧尸片本来看得就有点腻，不过结尾一笔轻快的音乐配上这样的画面着实让我欢喜了一把，第二集再跟看看--看到后面的确好看~~~            
(5星)	 一季完结            
(3星)	 各种俗            
(3星)	 我是不好意思给2星            
(4星)	 我爸爸走进屋，看见这个剧，跟我说，你这个变态！然后问我，好看么？            
(3星)	 这是一部有很多内容的僵尸片——除了恐惧。            
(3星)	 演员没有喜欢的            
(NA)	 难得的好看            
(5星)	 好看，就是看完有点后怕。            
(4星)	 和男友一起看的。。不错。。            
(4星)	 和真血的惊悚血腥有的一拼，但是情节上嘛。单薄许多。            
(4星)	 如果我到了中国的僵尸之城~~~我八成放弃，因为中国的人太多了，僵尸也会格外多~~~~~~~~放弃前杀几个爽一把就行            
(4星)	 吃着卤肉饭看的  你知道我的心情嘛            
(4星)	 补标            
(3星)	 除了弩哥都是二货            
(5星)	 真的好看！我之所以看了是因為有人說跟我一起看！結果一看就收不下了！真心好看！話說那個韓國少年我很喜歡啊！好聰明！看到凌晨！今天又看了差不多一天！明天不能這樣了！出去玩！            
(3星)	 没有传说的那么好看吧            
(3星)	 男主角有点像穆里尼奥+丹汉福瑞斯            
(4星)	 一大拨僵尸正在向你靠近。。。            
(5星)	 化妆效果，场景都是无与伦比。就是有的时候觉得这帮人好蠢啊！！！我看得直跺脚！！            
(4星)	 我觉得有点像迷失~~            
(4星)	 看的很紧张的说...有点重口，音效画面什么的也实在是逼真了点吧...            
(2星)	 我可不敢再看了            
(5星)	 美术和服装，一比吊到            
(4星)	 You can&#39;t do that to coming to somebody&#39;s live make them care than just check out             
(4星)	 好棒好棒            
(5星)	 世界再多险恶也阻止不了自己兄弟勾义嫂啊             
(4星)	 越往后越lost啊 CDC=Hatch 养老院=others             
(3星)	 棄。最後一集片尾Bob Dylan的Tomorrow is a Long Time 還不錯聽！            
(3星)	 不喜欢男主。世界末日了，还那么没有觉悟。            
(5星)	 很犀利            
(NA)	 我觉得反正就是扯，编剧可以扯得更有创意一点啊，跟其他的一些僵尸片比起来的话没有太特别吧。但是还不错啦~会继续追啦~            
(5星)	 陆哥推荐的肯定赞 喜欢丧尸的朋友们表错过了            
(4星)	 有些有些 有些恶心 。但还是要看 。            
(4星)	 这口味的正适合我目前清淡的日子            
(5星)	 我喜欢丧尸系列！！哇哈哈哈生化危机的毒啊~~~~            
(4星)	 节奏拖沓 整体较好            
(4星)	 关于丧尸的镜头其实不多，还是在说一群人在面对末世危机时的表现，讲人性的剧            
(4星)	 前两集水准明显超过剩下四集。弩男的确很帅，不过貌似没有哪个角色能让我特别喜欢，这是个问题。            
(3星)	 弗兰克·德拉邦特的小活儿            
(4星)	 比我预想的更好看些，有些重口味段落很噱头。            
(4星)	 反正有些台词和表演太夸张了，让我忍不住想冲进去对他们都进行辱骂嘲笑讽刺一番。            
(4星)	None
(5星)	 最爱弩哥            
(4星)	 第一部丧尸美剧让我看得很爽！终于不用来来回回看生化危机电影版了 ╮(￣▽￣&#34;)╭ 不过话说回来生化前两部实在是经典啊！！握拳！！            
(4星)	 花一个晚上看完第一季，有点消化不良，但又意犹未尽……            
(4星)	 续集呢？            
(4星)	 好多次不敢直面镜头，是我的心理承受能力下降了么？想到这种末日的孤单、随时可能死亡的恐惧以及对生存的一丝希望，真的觉得很绝望。。。            
(2星)	 贱人很多，实在看不下去了。主角的行为很傻比。主角的老婆更傻比。            
(NA)	 貌似第二季要出了吧            
(3星)	 片子没有漫画好，苟活下来的人才是行尸走肉。本来是颇有漂流教室感觉的            
(NA)	 适合夜晚独自观看咩？            
(4星)	 AMC的剧和其他电视台的相比就是有那么些独特            
(5星)	 找到看LOST的感觉了。。。。。。。泪奔            
(3星)	 能拍这么多集也是个奇迹啊            
(5星)	 各种复杂交织的道德与情感让僵尸片升华。            
(4星)	 ❤            
(4星)	 达不到            
(4星)	 为毛我觉得男主圣父...该救的救不该救的也救...只有我这么认为吗....            
(3星)	 纯粹欣赏特效化妆~~~            
(NA)	 死亡片场+惊变28天+我是传奇+尸乐园的综合版  还不错~            
(2星)	 之前一集弃，为了即将到来的第二季还是重新拿出来看完了。所以这种两个小时能搞定的故事被放大到六集的结果就是一群人坐在地上不停聊天，比谁更话痨，一对比之前同样不怎么喜欢也是觉得很拖沓的《死亡片场》就紧凑好看多了。什么末日情怀，扯淡呢！            
(4星)	 期待第二季            
(5星)	 第一季第一集绝对是典范            
(3星)	 bullshit，我觉得没人愿意整天看着东西，by the way，不好意思我真的屡次笑场【弃剧】            
(4星)	 亚洲小伙好帅~(#￣▽￣#)　            
(3星)	 烂。            
(5星)	 坐等第二季，那个韩国人还挺好看的，男猪脚警官给我感觉很熟悉，但又猜不出来像谁。。。是不是有点像蚊子？？？            
(3星)	 其实那是一群饿死鬼，拖拽着饿扁得身体到处找吃的。。。            
(3星)	 看得我就orz了！            
(3星)	 其实很有哲学意义，可惜有些片段过于冗长，看来大部分美剧都逃不过个人英雄主义的桥段，世界总是需要一个救世主，可终究，我们都只在为自己活。其实我心痛walkers            
(3星)	 尼玛个蛋，男主的老婆都跟别人睡了还要来干吗，也不怕交叉感染啊大哥，看到这里都不想往下看了，为毛一定要涉及这种感情纠纷？不来这么一下我感觉会好看很多，比生化危机差远了            
(4星)	 还行 就是太短了            
(3星)	 TMD吓死姐了快!!            
(3星)	 僵尸片也就这样，永远不会有什么新意。。我还是喜欢《僵尸肖恩》那样的黑色幽默。。            
(4星)	 各种人性。            
(3星)	 白瞎了那么好的题材和不错的特效！            
(5星)	 真TM好看！！！情节紧凑 看的真带劲！期待S02！            
(2星)	 难看            
(5星)	 大呼过瘾啊！说僵尸剧其实并不十分准确，其实这是一部披着僵尸剧外衣的天启人性剧啊！            
(NA)	 第二季还不出来吗            
(4星)	 第二季要等到十月……            
(4星)	 期待第二季            
(4星)	 从第四集开始精彩起来 有点惊变28天的意思 期待第二季            
(4星)	 化妆很好，剧情设置得。。。那么不激动人心了一点。            
(5星)	 和室友开把音响开到最大声看的!!!!!![刺激脸            
(5星)	 血腥到血脉喷张，人性到鞭辟入里，大爱大爱！！            
(4星)	 本片着重写的是末世恐怖下人与人之间的碰撞，选择和妥协。电视剧本身的长度让原本电影中集中展现的浓缩的恐怖在细节中分解了，更多展现的是不同的人，他们相遇，冲突，了解，做出选择。人物刻画很现实。又一个描写文化冲突的电视剧，这种变化也是时代性的。            
(4星)	 没有龙头蛇尾的美剧就是成功的美剧            
(3星)	 上当鸟上当鸟            
(3星)	 僵尸版LOST么。。画面未免也太重口味了吧！            
(4星)	 植物人大战僵尸 噗！            
(NA)	 101            
(4星)	 强烈期待第二部            
(4星)	 流水的美剧 铁打的亚裔演员 一般都是小配角            
(5星)	 其实还不是很重口            
(4星)	 很拖沓。有些人面对危机和处理感情的方法真是让人想捶地啊            
(4星)	 好看啊！！！！！！！！！！！激动死我了            
(4星)	 还不错，等第二季            
(3星)	 我真心觉得很一般，情节没新意主角模式化。唯一的好就是末世情怀。同样是amc出品，mad men就精致太多了。            
(4星)	 有点爽            
(5星)	 重口，好看            
(4星)	 丧尸什么的比吸血鬼好看太多了            
(4星)	 僵尸片能耍成这样算有想法了，尤其涂了一身装僵尸这段精彩卡            
(3星)	  丧尸只适合电影吧~~~在这种血腥暴力片里讲人性，莫名我觉得好讽刺啊            
(4星)	 血腥程度超乎想象，但比较少恐惧感，纯粹恶心。过瘾之处我觉得是在于一切很原始，没有特异功能没有强大武器，爆头就好。第一季下来套路已经尽显，第二季应该也就是队伍里面的人多几个再少几个。才6集每个人的故事都还没有闪回，这么一想好像也并不太期待了。            
(4星)	 好像演个丧尸。。第二季神马的快点出吧            
(4星)	 我隐隐觉得男主的身体里有最厉害的病毒- -            
(5星)	 哎呦~~挺刺激的~~~            
(5星)	 一开始不好看，一集比一集好，人性啊~            
(5星)	 这是一场坏过世界某日的浩劫，灾难不是像电影2012中那样在一瞬间降临的，而是如同病菌一般缓慢地侵蚀。在一切人类社会的秩序都荡然无存后，文明在暂时死里逃生的人那里仅存。区别人和僵尸的正是人性的善，证明我们活着，并且不是行尸走肉。即使人类终将像恐龙那样灭亡，爱的星火也会燃至最后一刻。            
(4星)	 伏笔很多让人对第二季更加期待~            
