http://movie.douban.com/subject/5940660/	美国偶像  第十季 American Idol Season 10
(NA)	 scotty是不错 可是后来更喜欢lauren啊，好可爱的妹纸~            
(3星)	 从海选一集一集的追下来，最后是看怕了。先是大爱的pia出局，然后Paul，Casey，Haley，该死的美国人民阿! 没看过前几季的美国偶像，我觉得这届的评委是不错的，可能因为大爱的steven在的关系吧。总之过程很好，结局失望透顶!            
(2星)	 没有SIMON            
(3星)	 my top 3 should be: Casey, James and Paul.            
(3星)	 casey。。stefano。。不应该下去            
(3星)	 thia走了就不想看了，scotty是唯一有特色的            
(3星)	 极其讨厌scott            
(3星)	 少了Simon,多了Jennifer,country music大获全胜.我喜欢的casey和paul早早铩羽.T^T            
(3星)	  特别不喜欢冠军            
(1星)	 It Sucks....            
(4星)	 ……到了最后发现自己最爱haley            
(3星)	 虎头蛇尾 高开低走....            
(2星)	 娘西皮            
(4星)	 算了 这季马马虎虎            
(3星)	 去年那么巨烂的一季fianle收视都比今年的要高，可见这季入决赛的这俩人选有多失败。。。 典型高开低走的一季            
(2星)	 这季明显无趣            
(4星)	 ep30之后开始渐入佳境            
(4星)	 越往决赛越弱。            
(3星)	 又是有点头重脚轻的感觉            
(5星)	 炮儿！            
(5星)	 pia出局的太意外了。。。看到中间就在也不想看了 ，我喜欢的都出局了，剩下一堆没特色的毛头小子。。。。            
(5星)	 JLO我爱你我爱你我爱你！！！！！！！这季的选手真是太油菜了，淘汰了哪一个都好桑心啊……看好CASEY，偏爱STEFANO            
(NA)	 真心讨厌LAUREN。            
(4星)	None
(2星)	 这季太乱 评委换了 有爱的也都OUT了 弃啊弃             
(4星)	 西门不在没意思            
(1星)	 果断弃掉！尼玛米国人民审美观的真的很有问题啊！！！！！果然乡土气息浓重。            
(1星)	 冠军很出乎意料的让我烦啊            
(3星)	 且看XF和V怎么玩了            
(3星)	 每次到正式比赛我就不要看了~            
(2星)	 实话难看            
(4星)	 如愿以偿地夺冠了，我们Scotty            
(3星)	 今年選手太強了，從海選開始就很精彩。不過JLo講評不給力，幸好還有個Steven Tyler老妖孽             
(4星)	 James和Casey都走了还有毛的看头!            
(4星)	 Hollywood week之后预测的3强是Pia Lauren Jacob。到了最后一个早早爆冷出局一个亚军一个后劲不足…Still...本届美偶最boring的选手得了冠军…这个show同样后劲不足啊……            
(4星)	 跟很多同學一樣casey一走就棄掉了。強大的海選結果卻這樣爛尾，美偶真的已死吧            
(3星)	 Casey走了 没有看点了 弃了            
(2星)	 史上最烂top2好吗            
(1星)	 决赛看劳伦村姑和乡村歪嘴男飙歌有什么意思...弃之！我再也不相信美国观众的品味了...            
(1星)	 james durbin怎么还不被淘汰啊。。。。。。。。。看着他就烦！！！！！！！！！！！！！！！！            
(NA)	 Paul 走了，没看点了 ╭(╯^╰)╮            
(NA)	 这一季我弃了...scotty夺冠..嗯..            
(2星)	 25            
(3星)	 赢不了美国观众。。。烦            
(3星)	 已经都没在追了 这周送走麦当劳蜀黍 也该结束了。。            
(3星)	 评委大换血            
(NA)	 弃。评委啊。            
(3星)	 没有simon大叔不好玩啊不好玩！            
(5星)	 这一季选手真是灰常的强...但为神马冠军又是男银！！！几连了啊魂淡！！！嘴歪眼斜大叔音的还冠军！！！还我家Lauren回来！！！Pia!(ｏ ‵-′)ノ”(ノ﹏&lt;。)            
(3星)	 评委不给力，选手还凑活。这令人发指的top2啊，我都不敢想象冠军了。。。。T-T            
(3星)	 这季的评委都太善良了。喜欢的一个个地走了，连james都离开了，还以为他能当冠军呢……哎……不是他，谁当冠军都没有意义了，不看了。            
(1星)	 Done with it            
(5星)	 好评委好选手            
(4星)	 尾儿没收好，切切切            
(4星)	 Haley走了我再也不相信爱情了！            
(4星)	 casey &amp; haley！！前面不错            
(2星)	 我弃了。没劲            
(3星)	 哎声势再浩大，也无阿当之英才~            
(3星)	 可以弃了，剩下的都很讨厌，一个比一个假。其实我早该在Pia、Paul淘汰的时候就弃，还有，我到底有多讨厌Scotty and James?!            
(3星)	 回归了            
(3星)	 弃！Caesy淘汰！            
(5星)	 麦当劳叔叔。俺爱您~~            
(4星)	 LOVE SCOTTY!            
(2星)	 不能理解美国观众怎么能让这两个人当冠亚军.......听scotty唱歌简直是受罪....            
(4星)	 最爱Hayley Reinhart            
(4星)	 SCOTTY最后夺冠让人很出意外~~            
(3星)	 长得都很诡异，真还没有很喜欢的选手            
(4星)	 是谁说的最强的前十选出了最差的前2？真心赞同真心恶心装嫩肥婆和低音炮= =喜欢casey            
(5星)	 喜欢haley!!            
(4星)	 这一季好多artist啊！！但是冠军为什么会给scotty- -            
(5星)	 在海选时就看好的选手是lauren,scotty,cassey,还有个老婆坐轮椅的            
(5星)	 AI还是最好的选秀节目。走了四爷，请来Steven Tyler，没想到摇滚界的传奇竟是个好好先生……本季选手实力超出第九季太多            
(2星)	None
(3星)	 星星给泰叔 冠军不喜            
(4星)	 这一季的天才很多，而且都好年轻，james的摇滚很给力scotty的低音很特别paul的音色很性感，一切都很好，除了那个不停的晃啊晃的沙哑嗓的helay，真的不喜欢helay，对于她一直没被淘汰还依然在台上不停的晃悠啊晃悠表示很无感。            
(4星)	 喜欢Casey，paul和james，还有黑人            
(5星)	 第一次完整的追完一季美国偶像 我喜欢冠军 真年轻。。。。            
(5星)	 tyler tyler tyler !!!!            
(4星)	 本届虽然噱头不足，但真心挖掘出来选手自身的风格，没有顶尖但重在全领域制霸。话说某黑哥被淘汰简直太不可思议了，天才的嗓子啊。            
(3星)	 最后一次看AI了，感觉没有以前的味道了，我还是追随西蒙去X吧            
(3星)	 喜欢james            
(5星)	 这季真好看！！！            
(4星)	 在高中同学的nani的强烈推荐下，我看了美偶的第十季，听说这一季的选手是最强的，的确最后那几强的实力，甚至比现在华语音乐圈的歌手还有强，但是冠军永远只有一个。我还因此喜欢上了其中的一位选手，直到现在也依然关注着她，pia.            
(4星)	 i love steven but not in this show.            
(3星)	 这季质量还不错啦            
(4星)	 最喜欢第八季呢。。这季也不错~很多人才~            
(4星)	None
(4星)	 They are so young.Sad...            
(4星)	 an extra star for Casey Abrams            
(5星)	 scotty~~~            
(3星)	 Scotty我真的很萌你~~~不过这届真是乡透了。。越到后面越无聊。。没simon真的不能看啊。。            
(4星)	 帅的都淘汰了，很可惜啊~~            
(2星)	 very unremarkable= =            
(3星)	 结局有些...            
(5星)	 很喜歡Scotty McCreery 看到E13的時候 就覺得他會是冠軍 另外還很喜歡Tim Halperin,Stefano Langone&amp;Pia Toscano            
(4星)	 Jazz $ Metal            
(4星)	 三星半，确实是选手最强，选手类型最多的一季，只是最后的结果实在太无趣，实在太爱CASEY，艺术家和歌手的区别啊            
(3星)	 我居然忍到某两位进了决赛!            
(4星)	 看海选的时候觉得，哇塞今年实力好强，听到后面就疲惫了，偶~~我就喜欢那个长发在学校被欺负，喜欢抱人的那个男生，叫啥来着也忘记了，哈哈哈            
(3星)	 steven tylor虽然很难看，但就是喜欢他暴fucking.j lo好美丽，好可爱。喜欢的选手有jacee,胖胖的真克爱，但没进24，就没看下去的动力了，最后竟然是个低音炮拿了冠军，omg            
(3星)	 越看越没意思啦，评委也不可爱            
(5星)	 冠军无感 还是喜欢haley            
(5星)	 本来说simon走了就不看了，但是不得不说JLo真美真好~            
(4星)	 pia真是最大杯具，希望她以后发展得好~            
(4星)	 超爱乡村男的声音。            
(4星)	 精彩度是递减的！海选最精彩！最爱Haley!因为她给我太多惊喜！            
(4星)	 纵使此季结束前1个月叛变到Haley啦啦队也抵挡不住那既定的事实了．．．            
(4星)	 冠亚军不喜欢，所以跳过决赛集，改看最后一集，真是各种大牌啊，连gaga、碧昂斯都无法压轴……            
(3星)	 粗略看完了            
(3星)	 换了评委真的很不给力            
(4星)	 最棒的十强，最烂的冠军。。。石膏体。。。难道就因为他长得帅？            
(3星)	 评委一点也不给力，每次的表演嘉宾还不错。。            
(5星)	 超爱Scotty~~            
(5星)	 尽管对冠亚军人选都不满，但不管怎样，这季AI留下了太多美好回忆，james，haley，casey，甚至paul，jacob，唱得都让人非常享受，希望以后还能听到这些人继续唱下去。            
(4星)	 你们没觉得Jennifer和steven很搞笑么？！？！？！？！？？！？！？！！！            
(3星)	 年纪最轻的俩进了决赛，决赛听得我几乎睡着……天，俩真的没大腕的台风啊，实力亦非最强……比他俩有实力有才华的多得是，怎么就让这样诞生了个冠军呢……那些个评委，Randy极度偏心，一张嘴就直接快进，J.Lo要么附和要么装好人，Steve倒是比较喜欢，但是感觉他的话没有影响力……            
(NA)	 靠居然是那肥妞进决赛，幸好不是她得冠军，可惜了今年一大票厉害又有爱的男选手。            
(4星)	 我的Casey啊 T^T            
(3星)	 冠军长了一副很不被待见的样子…            
(4星)	 决赛撑不起场子，但是这季整体质量很不错~ 乡村大行其道，真是神奇            
(3星)	 越来越无聊            
(3星)	 话说是平均实力最强的一季,选出了我最不满意的2强.不喜欢S10的RANDY.            
(5星)	 第一次看美国偶像，深深记住每个人            
(2星)	 AI是真的扶不起来了，连续三季选的都是唱村乐的猴子，连续两季冠亚军都是农夫村姑。第十季唯一能看的只剩下内增高，评委怎么恶心怎么来，选手怎么弱怎么来，某copy cat怎么脑残怎么来。忠心劝告某copy cat回去和他家倒垂组乐队，兴许还能蹭碗饭吃，不然这种智商情商和“实力”，只能陪猴子回花果山了。            
(3星)	 除了詹尼佛洛佩兹也没什么卖点了            
(5星)	 比我想象的要好多了            
(4星)	 第十季的确人才辈出，然而讽刺的是进入决赛的偏偏是最没有看点，最乏味的两个人。            
(5星)	 换了评委虽然很有意思~可是问题来了，今年的苗子虽然很不错~但少了压力，基本看不到进步            
(4星)	 快结束了 我好像都快米有兴致了 其实这季还是不错滴            
(5星)	 lauren            
(1星)	 看这部AI真的是跌宕起伏。没了simon很糟糕，有JLO比PUALA强。进入前十的阶段是最精彩的一段。随后有实力的人慢慢被砍下。实在不爽。我头一次感到爱谁冠军谁冠军，一点儿也不在乎的状态了。6月，据说冠军是内个乡村歌手。失望之至！不确定明年要不要跟美偶了。            
(2星)	 看到珍妮弗为了选手犯难的时候终于失去了兴趣 其实好想让simon回来。。。            
(3星)	 没了超级星光大道 就看你吧 至少可以听歌欸 支持scotty！！！——————后来我开始讨厌思考题了 我的Haley哟            
(4星)	 一星加给Lauren Alaina的神曲Like my mother does+感动得我泪流满面的最后n集……            
(3星)	 虽说冠军选的不给力，但是最后一集还是很精彩的            
(4星)	 足以证明我又闲下来了...            
(4星)	 越到后面越无聊。。。结果实在是。。。            
(1星)	 没了SIMON大爷的评委太萎了,一味表扬完全没有导向作用.害的大爱的PIA悲剧的vote off...太烂了~~~~            
(2星)	 美国偶像越看越没兴趣。连续两届没有任何一个喜欢的人。杯具。            
(5星)	 很给力，Lady Gaga，babyface，will i am &amp;beyonce一一出现，惊喜不断。            
(4星)	 pia淘汰了...对此季完全无感了...            
(3星)	 没有追下去的动力了            
(3星)	 Scotty~~            
(4星)	 top10基本都是90后，看时光匆匆流去。。。            
(5星)	 bloody!追了那么久，冠军竟然是个乡村屁孩。。。失望失望～            
(4星)	 Let&#39;s say I don&#39;t really happy about the result.             
(5星)	 说实话，没想到simon走了，我倒更喜欢这个节目了~steven tyler和j.lo也蛮给力的啊~~~评委更加的人性化，更具娱乐性多好啊~至少看到现在比完全没有闪光点的第九季好多了！！！把脱口秀主持拉来做音乐节目的评委是美偶历史上最二的一件事！第二件就是adem居然只是亚军！            
(5星)	 casey!!!            
(3星)	 就是这样，以前是这样，现在也没多大变化，冠军也没啥特色……有点鸡肋……            
(NA)	 我爱真人兽~~            
(4星)	 选手喜欢的不少 杀进决赛的简直就是大失所望 无聊的结尾            
(3星)	 乏善可陈了。还是怀念simon。            
(3星)	 Rooting for Casey,Haley！.最后居然是Josh Turner附身般的Scotty得冠…那个嘶哑的Lauren哪儿有Haley有灵性啊……这一季的目标就是选teen star吧。。            
(3星)	 还真被姐给猜中了。。            
(3星)	 总觉得训练营的时候水平更高 我喜欢SCOTTY 但他和冠军还是有点距离的吧-  -虽然美国人那么喜欢他            
(5星)	 选手可以说是最好的一年！！可是看到最后，好的都被淘汰了~~越来越年轻的选秀了~~~~~~~~~Scotty really grows on me~~            
(5星)	 scoty终于夺冠了，撒花ing~~cassy复活那场，我热泪盈眶了，真的很鸡冻。总之，这是非常精彩的一季，除了评委稍逊了点            
(4星)	 忘记马克了            
(1星)	 看到Jacob离开为止 本季结束            
(3星)	 一改去年疲软的姿态，好几个选手都令人印象深刻。期待如第八季一样的经典重现，忘掉毫无存在感的第九季吧。            
(4星)	 今年的美偶竞争很激烈，好几位有夺冠实力的选手            
(4星)	 比上一季唱得好的多            
(4星)	 这一季人才好多，Pia才是我心目中的冠军！换了评委后听不到犀利的点评了            
(3星)	 今年十强时好几个都不错 可惜喜欢的一个个都淘汰了就不追了 Pia的实力绝对可以进决赛的            
(3星)	 本来四颗星的 但是结局太烂 扣一颗星！            
(NA)	 scotty！            
(3星)	 居然是这结果，我擦！            
(3星)	 J LO真挺美的            
(2星)	 看过的最坑爹的一季，鸡肋，弃之不舍，食之无味            
(4星)	 Scotty的表演是那种看了两周就会烦的，虽然他也在进步，但说实话听他唱中高音实在无趣。Lauren每周评委必提&#39;reminds me of the first time we saw you&#39;，但进入Live后从没找到那种感觉。Haley一路push带来一路的惊艳!            
(2星)	 被两位finalists恶心到了            
(4星)	 看美偶已经成为一种习惯。            
(2星)	 米国人民都是SB            
(4星)	 第一次看美偶~喜歡每集節目的用心，難怪可以撐10季，話說邊看選手參賽還可以看大咖表演是挺好的~，完全可以當歌唱選秀節目的MODEL，BUT不喜歡這次的冠軍耶~            
(4星)	 28            
(3星)	 123459，第10季终于有我不想看的决赛了，美国人民什么品位啊剩下两个乡村小p孩！            
(3星)	 少了P和S的美偶。。不给力啊~~呜呜~            
(2星)	 假 无聊            
(2星)	 烂透了！！！一颗星给冠军不是那母胖子！            
(4星)	 冠军亚军明显有一腿！            
(3星)	 casey走的时候就不追了   尼玛美国人脑袋灌浆了            
(3星)	 这季实力真的都很强。但最后冠军给了面瘫算怎么回事啊!!!            
(3星)	 越来越没信心了            
(5星)	 开始了开始了~我激动啊~但是九季的冠军现在跑哪去了？？lee~~            
(3星)	 Pia武器亮早了，悲剧。James还是有Adam的影子的，前途应该比较光明。Scotty和Lauren这两孩子是冠亚军一点也不奇怪，年龄太小了不一定是好事。喜欢Steven Tyler！            
(3星)	 狗血的决赛            
(4星)	 水平明显比S09有提高，而且各种风格都具备，就是评委的批评太少了。            
(1星)	 一星给那些叔和haley，青少年伤不起~~~~~~~~            
(4星)	 haley走了就无悬念了肯定是scotty~平淡的一季。。只有后来的haley惊艳到。。            
(3星)	 最喜欢的被淘汰了 剩下的都是餐具  弃            
(NA)	 看完海选我就绝逼不看了！！！！木有喜欢的选手嗯，最重要的是没有三爷啊！我是根正苗红三爷粉o(￣ヘ￣o＃)            
(5星)	 继续让人惊喜让人欢乐让人感动让人惋惜让人梦想让人不知所措让人如痴如醉            
(3星)	 哗众取宠            
(2星)	 每季海选必看，希望这一季有亮点，别又中途弃之 ----- 下一季坚决不追            
(3星)	 从top13开始。Finale 5.25 Crystal真的变了发型，不好看，看来我要把去年的话收回了。Steven的表演是整场最佳。Beyonce两次表演，可惜没唱首单，致敬！等了两个小时总算知道结果了。No surprise. Nothing special. 明年我不看了！            
(3星)	 越发差了，casey居然那么早被淘汰。连续N年都是男的夺冠。。。这回还是个小男生            
(3星)	 这一季这么多的强势选手，结果竟然成了这样！！！看到三强时对Haley印象大大好转~~~            
(4星)	 结束了！scotty这小孩还是不错的，很久没有出现乡村新星了。没有人觉得他和lauren又火花么teenager很有爱啊！！            
(4星)	 第一次完完整整的看完了全季 决赛场还是挺好看的 过路明星的合唱也精彩。。Bey太美。。。            
(3星)	 选手颇不太有看点，等着看精编。            
(NA)	 没有simon果然没劲的多            
