http://movie.douban.com/subject/2229587/	大唐传奇 崑崙奴
(5星)	 现在耳边还会想起 末路就是路红颜白首度 《何处不江湖》词曲梁文福。人家是新加坡人啊！《新大唐双龙》你看看啊！好意思么你！你是点金成史！            
(3星)	 这个也看过几集~            
(4星)	 这个竟然也找到了~~~~小时候超爱看            
(5星)	 红衣红绡，白衣张颖。红玫瑰，白玫瑰。无敌了。            
(4星)	 小时候听到主题曲就激动到不行了            
(3星)	 那个时候电视剧里的很多女侠都像张颖那样蒙张白纱……            
(3星)	 在表哥家看过，剧情早忘记了。            
(5星)	 小学的时候最爱的武侠剧一部是梁朝伟版的《绝代双骄》一部是这个。插曲《天知道地知道你知道》很经典。男女猪脚一个英俊一个清丽好配，尤其女猪脚在竹林出场那幕让人惊艳啊~            
(5星)	 哦~~天知道地知道你知道~~~好好听啊~~~            
(NA)	 小时候好爱哦            
(3星)	 记忆依稀            
(NA)	 小时候看过的。那时候喜欢很红绡。一身的红色，满心的热情。也很喜欢白衣的女孩子，很唯美。            
(4星)	 虽然情节特别狗血，女扮男装，蒙面白衣女，不过我看的时候貌似小学一年级还从没看过这些剧情，当时觉得是跌宕起伏呀。            
(4星)	 那个时候的俱乐部晚上会放~~很多人围在一起看~~            
(4星)	 那时候新加坡人，看到的评论，很纯净            
(4星)	 忘记了。。            
(NA)	 小时候的记忆            
(NA)	 看过的看过的！那个男主角叫什么来着，黑黑的，记得好像是绝代双雄里演赵光义的那个～还有是不是有个女的叫红绡的？～～以前好像是兴化台放的，画面不是特清楚，所以印象中总觉得这个电视拍得不正规似的～现在知道原来是新加坡的            
(4星)	 記得小時候還模仿著把鞋帶幫到小腿上，哈哈，傻透了            
(4星)	 很想再看一遍，虽然很有可能看不下去...            
(4星)	 童年隐约有点记忆的，俊男美女！            
(5星)	 郭淑娴的张颖那宛如仙女般的惊艳的出场，谜一样的来往去如，尤其是白色的面纱飘落的瞬间彻底秒杀我了。仅此我决定收藏这部片子。            
(4星)	 郭淑贤穿白衣真是黑俏黑俏的            
(2星)	 现在才知道是新加坡的……            
(3星)	 什么都不记得，就记得这名，昆仑奴有一汪泡面头。。当时还学打麻将            
(NA)	 白衣女与红衣女            
(5星)	 记得主题曲很好听来着            
(NA)	 这个嘛超好看的。            
(4星)	 男一长的不错的说……            
(3星)	 唐人传奇 太白诗仙             
(3星)	 也是新加坡的             
(4星)	 一直念念不忘的一部戏。红衣女跟白衣女主角都很漂亮，而且白衣姑娘在林间飘落的身影真是美呆了~~~十几年后再看，依然令人心动。            
(NA)	 昆仑奴...            
(4星)	 非常喜欢那些主角的名字：红绡 张颖 摩勒，还有一种很神奇的武功：万象神功，贼厉害！            
(5星)	 主题曲很好听            
(NA)	 想当年，小学生的我也觉得史朝义好帅呢。。。。。            
(4星)	 小时候对白衣飘飘的女主角，尤其是蒙面的特别有好感，这电视剧功不可没。还有剧中的诗仙李白的形象，私以为是至今演的最好的            
(4星)	 一红一白            
(3星)	 很喜欢白衣mm            
(NA)	 现在才知道这是新加坡的。。。。想来好像和东游记的配音差不多，吕洞宾和白牡丹的声音，嘿嘿，新加坡配音＾ ……            
(4星)	 喜欢！！印象最深的名字竟然是史思明            
(NA)	 昆仑奴, 摩勒, 张颖,红绡, 啊, 真是经典            
(4星)	 亦是一部久远到让我只记得片名的电视剧，但是我记得我是看过的            
(3星)	 如果不是郭淑贤和插曲，这部片子不吸引我......            
(4星)	 周初明！！！            
(4星)	 生也昆仑奴，死也昆仑奴            
(4星)	 天知道地知道你知道。。。。。。            
(NA)	 曾经的记忆 古装 武打片             
(NA)	 昆仑奴            
(5星)	 能够拍唐传奇，本身就眼光不错啦。            
(5星)	 终于能看到大结局了，等了这么多年啊            
(4星)	 现在找不到了            
