http://movie.douban.com/subject/3126972/	搜神传
(4星)	 打消时间的良品。其实它也有不肤浅的地方，比如说好彩妹那句，笑口常开，好运自然来。其实是一部佛法电视剧            
(3星)	 最后的两条蛇合一真的很和谐了。            
(3星)	 陈浩民其实演技也不咋地            
(1星)	 雷人的特效，幼稚的剧情，夸张的表演            
(4星)	 他不艺术她很商业他不古不今 看这句知道下句是什么 但是 还是看得很开心            
(3星)	 雷剧看出萌点才是王道            
(3星)	 如果不是鐘嘉欣,我真想打兩星.            
(3星)	 我竟然看了这么无聊的电视剧。。。果然发烧的时候脑子不好用。            
(3星)	 开篇不错，能让我看下去。。。真是各家神话的大杂烩啊- -|||真能掰。。。            
(1星)	 很难想象还有比这个更无聊的。            
(3星)	 傻傻的……            
(1星)	 orz 和搜神记的关系就像玉米和玉米肠            
(NA)	 结局令人郁闷            
(NA)	 笑口常开，好彩自然来            
(NA)	 好彩妹。。。嘿嘿。。虽然神囧，但是我不能不厚道的在它娱乐了我之后说坏话。            
(3星)	 好傻的剧。。。再傻也傻不过我傻傻的看完了            
(NA)	 【2008-08-25】            
(NA)	 烦死了，N台猛重播，够了            
(3星)	 不喜欢钟嘉欣 超傻            
(2星)	 哈~深圳卫视放的。            
(1星)	 现在好讨厌tvb这种聒噪的古装喜剧了，还奇幻            
(2星)	 断断续续看完的            
(3星)	 电视里放了看看。。。此三人都无爱 尤其钟嘉欣            
(NA)	 好彩妹好彩妹！笑口常开好彩自然来！             
(3星)	 看过一点点就弃剧了。            
(2星)	 无脑到让人无语……            
(2星)	 我为毛每次看到钟嘉欣那张脸都想敲死她啊- -            
(3星)	 钟嘉欣，你是要有多做作啊？！            
(2星)	 看不下去……             
(2星)	 天雷滚滚的。。            
(3星)	 明显是捧钟嘉欣，可是为什么总要她演这种弱智型的片子呢？            
(1星)	 看过最差劲的港剧了。            
(2星)	 您可以当做雷剧看            
(3星)	 无聊的时候看着打发打发时间也不错。。            
(3星)	 真的不喜欢钟嘉欣            
(5星)	 好喜欢钟嘉欣~~~            
(2星)	 忍不了了……            
(1星)	 严重受不了            
(NA)	 可怜的干宝啊，死了那么多年还要被玷污。            
(3星)	 额            
(3星)	 好彩妹让我无奈啊            
(3星)	 凑合看吧陈锦鸿比刀马旦的时候差远了            
(5星)	 呵呵，有共鸣。感动啊。            
(NA)	 全班六点档，雷光闪闪            
(3星)	 貌似就这样，想看小定。            
(NA)	 每天N多个电视频道轮着播，不想看也没法咯！            
(NA)	 撑不起来            
(3星)	 有些意思            
(3星)	 当时是在及其无聊，电视台转了n圈之后发现都在放这个，好吧，没有选择            
(3星)	 （以前看的，纯添加）            
(5星)	 RT            
(1星)	 。。。。。。|||            
(3星)	 港片就是这么简单，虽然BUG超多，制作粗糙，但是总能让你看进去，很诡异。。            
(3星)	 我不想再看到那个女主角演的任何片了            
(2星)	 暑假里打发时间的让人无语的电视剧            
(3星)	 实在无聊啊  除了这个就是我的兄弟  丫的  竟是些烂片            
(4星)	 小定乃不愧素妖女之王            
(3星)	 雷啊，RPG情节            
(1星)	 操你吗，别他妈让我再看到            
(3星)	 很无聊的时候看的。觉得我真的很会捱时间耶。连这么无聊的肥皂剧都看得下去。            
(2星)	 撒花，乌龟是夜游神，兔子是日游神，龟兔赛跑成夫妻            
(3星)	 刚刚江苏卫视看的。            
(3星)	 s330，last a few day.大S&amp;MLove you~笑口常开，好彩自然来~            
(2星)	 没有女主就好了，真是讨厌！            
(3星)	 钟嘉欣锻炼我毅力了。胡定欣太喜欢了。            
(1星)	 算很难看的了吧...            
(NA)	 钟嘉欣的扮相有点..            
(2星)	 确实不怎么样            
(3星)	 讨厌的钟嘉欣也在~            
(3星)	 很无聊很拙劣 不过还是喜欢            
(2星)	 满莫名其妙的...年纪大了,不合适看这样的片子.            
(3星)	 如果时间多可以看一下            
(3星)	 很一般            
(3星)	 无聊的时候看看还可以            
(NA)	 那只蛇妖很cool            
(2星)	 为了小定，我忍，我忍，我忍忍忍……            
(2星)	 这么脑残的剧，幸亏只得22集数，还是看完它求个圆满，功德无量。一路雷下来，结局更是旋转链状球形闪电             
(4星)	 精彩，好彩自然来。            
(4星)	 笑口常开，好彩自然来^_^            
(4星)	 最记得临近结局这一集,如果我到老了,是否能跟你一起执手而终            
(3星)	 TVB总有点虎头蛇尾，干将莫邪挂了以后简直就是在拼凑剧情，还借鉴了《哈儿的移动城堡》，女生变婆婆啊，总之是大团圆，看的比较开心            
(NA)	 跟着电视看完的。其实还是挺好笑的~            
(5星)	 很好看，尤其喜欢主题曲《发誓》            
(NA)	 钟嘉欣可不可以换个型，脑残剧的路线演多了会厌。            
(3星)	 貌似没有完全看完，不过差不多了，那个时候蛮喜欢钟嘉欣的。            
(NA)	 我真想换台            
(4星)	 本来就是神魔剧，雷不雷什么的自己心里有数，莫装B。笑口常开，好彩自然来。是次剧奠定了这几年陈锦鸿走“呆傻”路线吗……            
(1星)	 TVB傻逼系列            
(3星)	 日= =那会儿我可爱看了            
(3星)	 好彩妹==             
(3星)	 陈锦鸿演戏真难看1！！            
(NA)	 三星。            
(3星)	 好彩妹这个角色善良开朗的都已经过头了，陈锦鸿和陈浩民都围着她转。            
(1星)	 我很想给负分……            
(3星)	 从小就很喜欢这种神话故事，看过“好彩妹”的N多港剧。。            
(NA)	 简直就是童话            
(4星)	   只因钟嘉欣。            
(2星)	 电视里看的，好彩妹那配音果断受不了            
(1星)	 这个让我很想吐            
(3星)	 很傻，某人脸实在大。            
(3星)	 就那句 笑口常开 好彩自然来 记得特别劳            
(3星)	 那特效，我特笑            
(5星)	 其实我还蛮喜欢钟嘉欣的...            
(2星)	 这电视剧真的好弱智= =            
(1星)	 一星都不值啊            
(3星)	 反正我是看不下去，跟弱智一样。。。            
(3星)	 唉 好無聊            
(2星)	 你可以再幼稚点吗？            
(3星)	 不像这个时代的东西            
(2星)	 擦==什么好彩自然来==囧~            
(3星)	 其实还不错啦，但我真的好讨厌钟嘉欣！好彩妹好彩你妹啊！！            
(2星)	 二就是钟包的代名词，好彩自然来。。。跟刘三好一个德行            
(4星)	 高中的时候上课看的，很喜感很搞笑            
(3星)	 很多人不喜欢钟嘉欣，可是我真的不讨厌她，她有温柔善良的一面，也有偏执张狂的一面，我喜欢这样的混合体。            
(2星)	 比较烂。            
(3星)	 钟虽然不美，看着还算顺眼的。            
(4星)	 神怪片拍成这样算不错了，不要太难为ＴＶＢ            
(3星)	 跟着电视看的，放好多遍啊。。。            
(NA)	 好难看            
(1星)	 有段时间天天电视在播。。。也没明白讲什么            
(1星)	 我竟然看完了  我都受不了我自己了            
(2星)	 这特技也太寒酸了吧            
(4星)	 小仙藤啊 嘿嘿。。。我喜欢的 男女猪脚            
(3星)	 我竟然看过！！！！！！！！电视台播得太频繁了！难道只有这么一部港片了吗？是在不喜欢钟嘉欣演老好人，总觉得在说教一般。            
(3星)	 我擦，声音好甜啊，谁配的音……不过不太钟意这样的戏……            
(2星)	 我是怎么把它看完的 佩服自己            
(1星)	 我看了第一集，看了最后一集。。够了吗？            
(3星)	 钟嘉欣比较适合这种角色。            
(NA)	 娱乐一下            
(2星)	 特技在努力，剧本在努力，台词还在努力。可惜看起来就是有点很2的片子。。。            
(2星)	 ╮(╯▽╰)╭。。我竟然看下去了。。。            
(1星)	 在电视上看的。。真是太烂了有木有。神经兮兮的剧集。钟嘉欣脸那么长不适合演这种角色啊啊啊！            
(3星)	 各种神话的拼凑。            
(2星)	 哎  被名字吸引了            
(1星)	 你们是有多爱戏剧……这么穷还执着的捡破布做戏服……            
(4星)	 蛮好看的！我喜欢有很多妖魔鬼怪和神仙的故事！！！            
(1星)	 真实好讨厌钟嘉欣，一直听那什么 好彩自然来  我就想删她两巴掌            
(1星)	 好彩妹。。。。            
(2星)	 稍雷            
(4星)	 笑口常开，好彩自然来!            
(3星)	 不喜欢钟嘉欣，真够二的            
(NA)	 好彩妹呀~~~            
(4星)	 标准港剧格式。好彩妹很可爱~~浩民很帅~~虽然他有点贱贱的~~~哈哈            
(1星)	 烂爆了。            
(2星)	 脑残啊！！ 不是因为暑假没事干才不看呢 为什麽各大电视台8小时滚动播放那            
(3星)	 还不错啦            
(3星)	 已阅，60.            
(2星)	 读五年级的弟弟 喜欢看            
(2星)	 太傻了！！            
(3星)	 把钟嘉欣拖出去斩了...好彩自然来你妹！            
(2星)	None
(3星)	 就这样吧。。。            
(2星)	 蠢起打靶 08年的TVB剧竟然有这样的水准            
(3星)	 o(╯□╰)o            
(2星)	 钟嘉欣越来越像白痴了……            
(3星)	 囧裏個囧~            
(2星)	 笑口常开，好彩自然来。            
(3星)	 考试复习的时候看的，害的我没考好            
(3星)	 笑口常开，好彩自然来~            
(3星)	 被干将和莫邪感动得不行，三个人的感情戏和最后曹操的结局就实在是。。。            
(1星)	 觉得钟嘉欣很做作。            
(3星)	 不知致命说            
(4星)	 跟着哪个地方台看的，断断续续的，还是挺好看的            
(3星)	 在电视上看的，好多台都播 就看下去了，也就那么回事吧            
(2星)	 太狗血            
(3星)	 一般般吧 比起3个小傻子 我更爱天尊            
(NA)	 钟嘉欣好囧..            
(4星)	 高考完和我儿子一起看的。我俩的结论是：这是一gay片。            
(NA)	 一般。            
(2星)	 被各大电视台看得头痛            
(NA)	 好粗糙啊，又是那个给钟嘉欣配音的人……一个一个的跟搞笑化妆舞会一样。片尾曲还不错。            
(1星)	 你妹的钟嘉欣！            
(4星)	 啊哈哈哈，明知道很白痴还是和室友一起看完了，全是笑点！娘啊！~~~            
(NA)	 唉 钟嘉欣还是一副77唉唉样，公主嫁到里一个样没设么进步呢，在这样下去我就要把她归类为杨思琦那类了。不过片子还是好看，大概是因为很少看到TVB神话剧了。            
(3星)	 我竟然买了。。。            
(5星)	 其实港剧也蛮好笑的嘛~搞不懂为什么那么多人觉得没有意思，可是对于看着TVB长大的人就完全不是这样啊~            
(1星)	 可以给零星么            
(3星)	 以为古装神话剧+添哥监制的会是信心保证，怎知道越看越无聊。和封神榜差远了。            
(2星)	 过几集而已            
(NA)	 我很喜欢迦楼罗和干将相拥着跳进铸剑炉那一段，不管经过什么样的折磨、失去了什么，相守的承诺和愿望永不变            
(NA)	 峡阳。            
(2星)	 失水准啊            
(2星)	 我待见钟嘉欣，不过。。不代表它不雷。。            
(4星)	 能看吧 就是有点莫名奇妙            
(NA)	 天尊萌妹，钟嘉欣卖萌不成反恶心。            
(3星)	 跟着电视转来转去看完了，竟然我能给到三星？            
(3星)	 初识钟嘉欣和胡定欣            
(3星)	 还是女魔头美丽！            
(3星)	 TVB的昨日辉煌已经变成浮云了。。。            
(2星)	 我不说什么了。印象只有钟包子和那句笑口常开，好彩自然来。= =            
(2星)	 女主脸好大            
(3星)	 ··虽然囧囧那个有神····但是很喜欢钟嘉欣~~~~~！！            
(3星)	 各大卫视播烂了            
(2星)	 = =            
(NA)	 不明白这个钟嘉欣这几年在TVB怎么这么红。几部戏摆明了在捧她。【算了，我还是觉得天尊最美丽唠~~            
(1星)	 女猪脚好蠢啊！！！男猪脚还疯掉一样喜欢她！！！那么高兴你们3P啊摔！！！！！！            
(3星)	 嗷嗷嗷嗷 为毛我看过~电视台造的孽啊~            
(3星)	 哈哈，好无聊啊……            
(4星)	 笑口常开，好运自然来~            
(3星)	 当年我硬盘坏了，闲着没事干就蛋疼地看完了这戏……这个。。有武侠元素吧？但是动作实在不敢恭维……            
(3星)	 纯属娱乐~            
(2星)	 狗血剧。。。。            
(NA)	 不好看            
(3星)	 也只能无聊的时候看了两集有看了两集 在各卫视的努力下林林总总加在一起看了一遍还不止            
(2星)	 太扯了啦..            
(2星)	 无聊……又是陈锦鸿……            
(1星)	 监制竟然是李添胜……            
(1星)	 和连载小说《搜神记》一样二            
(3星)	 难看            
(NA)	 深圳卫视黑气播 就看了撒   又有那个倒霉孩子 钟嘉欣  不好不好            
(1星)	 钟嘉欣好像很多人都不待见她似的，我觉得她其实还好，不过这部戏里面，真的像个白痴一样，更让人郁闷的是，一度时间，打开电视就是这个电视剧，烦死人。            
(2星)	 比较无语的一部戏.太能玩了太能编了.真的很糊弄人~不太好看,嘿嘿.            
(3星)	 三圣母的早期            
(3星)	 不喜欢陈锦鸿，里面干将不错！！！            
(3星)	 我不爱好彩妹，不要好彩头。            
(3星)	 跟洛神一样幼稚。            
(3星)	 好彩妹真是.......囧            
(NA)	 蛮无聊的            
(NA)	 钟包子退散~            
(2星)	 里面的那些神神鬼鬼，实在太粗制滥造了。。。            
(2星)	 练琴时看的，挺无聊！~            
(2星)	 为嘛电视剧总是给人白痴狗血的感觉？是时间长的原因么？            
(1星)	 太。。。。。。            
(2星)	 我竟然跳着看到最后……汗            
(3星)	 钟嘉欣唱的片尾曲不错。。            
(2星)	 看了几集倍感无趣。好彩妹的口头禅每听一次都止不住发笑 → 笑口常开，好彩自然来！            
(2星)	 不是很喜欢。。            
(3星)	 里边的造型是亮点            
(5星)	 很喜欢这三位主演，“笑口常开，好彩自然来”说得好。            
(2星)	 自从有了好彩妹我对钟嘉欣就不待见            
(2星)	 有点弱            
(2星)	 我真的很想只给一颗星的......            
(NA)	 from 安徽            
(3星)	 干将莫邪不错、天尊十分美艳、其他内容无趣。            
(1星)	 最雷不过好彩妹            
(2星)	 好雷人。            
(1星)	 瞎狗眼            
(4星)	 我喜欢小石头。陈浩民太适合演古装啦            
(3星)	 三星全给胡定欣！            
(NA)	 一团糟            
(2星)	 没看下去            
(3星)	 这几个人都满活泼,,            
(2星)	 不喜欢            
(4星)	 还行。            
(3星)	 看到一半，弃了。            
(3星)	 傻里傻气的。。。            
(3星)	 陪我妈看了不下三遍 深圳台怎么这么爱播啊            
(NA)	 囧片            
(1星)	 绝对的超级大烂剧！！睇到都要转台！！            
(4星)	 笑口常开~~好彩自然来~~~！！！浑身不舒服啊~~            
(1星)	 一分都不想给。已经不是浪费时间了，是污染眼球            
(3星)	 电视机上瞎看看的钟嘉欣实在不喜欢            
(2星)	 哈来来。。。            
(2星)	 好彩妹~            
(3星)	 无奈...一群台放 不看都不行            
(3星)	 额。。小白剧。            
(1星)	 恶搞，还猪学狗叫，很无语！！！            
(3星)	 寒暑假必播剧……            
(2星)	 冲着美女钟嘉欣去的，结果，剧情和人物都太幼稚了            
(2星)	 当喜剧看.很有喜感.            
(4星)	 好看，歌特別好聽。。。鐘嘉欣啊            
(NA)	 。。这个 这个。是中老年和13岁以下的人看的。。            
(4星)	 还可以哈。。。            
(4星)	 没有电视看时还是可以打发时间            
(1星)	 没看完，很无聊            
(3星)	 开始看名字觉得应该不错，结果令我大失所望，剧情实在够烂的，女主心地善良的跟白痴没区别，郁闷啊~            
(2星)	 电视台放的，没看全。。。            
(1星)	 没什么好说的，TVB近几年是烂片集中营。            
(2星)	 两颗星给胡定欣~其他不提...            
(3星)	 追忆            
(2星)	 好彩妹            
(2星)	 有段时间电视台一直在放，被迫剧荒看了一些，是在是很傻很天真的剧情。            
(2星)	 陈浩民太囧了            
(3星)	 电视的力量。。。看得断断续续，但是对细节却十分熟悉。无聊到暴            
(3星)	 好彩妹            
(2星)	 厌死            
(3星)	 想不看都不行，电视上轮着播的弱智剧            
(2星)	 这个题材有点傻            
(3星)	 哎 对钟嘉欣真的无语            
(2星)	 雷就一个字我只说一次 笑口常开好彩自然来 也就这句了吧            
(3星)	 不喜欢陈浩民            
(3星)	 钟嘉欣很美。            
(NA)	 剧情就有点拖沓了，无极了，那个画面效果也雷到了我点。            
(2星)	 很雷，看了都觉得自己弱智···            
(3星)	 跟着电视看完的 好彩妹还蛮可爱的 剧情也还蛮搞笑的             
(NA)	 我挺不想承认这是TVB的戏。            
(3星)	 神话故事，哈哈。            
(2星)	 傻剧            
(2星)	 不能够说特别喜欢，但是就是开了开头没有办法结尾了。。。            
(3星)	 就西黄神话剧。。            
(2星)	 额 看不进去            
(NA)	 钟嘉欣是个又疯又假的女人。。            
(3星)	 哦~烂透了            
(3星)	 追了一点，后来跟着电视台看完的            
(3星)	 忍一忍 还是可以看的...            
(3星)	 冲着勇少我给个三星吧            
(3星)	 算是励志片吧。不过跟书的差别比较大。            
(3星)	 真的弱弱智智 但是我看完了 还算可以 哈哈            
(NA)	 电视上看的。            
(3星)	 就是一看一笑，然后就忘了。            
(5星)	 虽然不怎么好看。不过身边好多同学都喜欢这剧，            
(3星)	 陈浩民            
(NA)	 有点白痴了。。。            
(2星)	 电视台里一直放 不看也不行了            
(1星)	 居讨厌钟。            
(3星)	 全集看过 没跳戏~ 不过其实很普通~            
(2星)	 要不是暑假电视上放得这么猖狂估计我压根不会看..有点囧            
(3星)	 TVB每年貌似都要出一部神神鬼鬼的戏啊            
(NA)	 脸真大            
(2星)	 真的囧....            
(3星)	 钟嘉欣演的，追着看完的            
(NA)	 TVB能不能换几个配音的啊            
(3星)	 笑口常开 好运自然来            
(NA)	 。。。不好评价            
(2星)	 这大结局能看吗            
(3星)	 曾经的段誉果然老了。            
(3星)	 钟意古装            
(3星)	 有点雷人的说~            
(3星)	 喜欢好彩妹~            
(1星)	 好无聊，但是电视天天放，好痛苦了变            
(NA)	 完全受不了            
(NA)	 剧情无聊之外就是主演恶心，钟嘉欣占60%            
(3星)	 太假了...            
(NA)	 还行吧，特技不是那么吸引人            
(3星)	 我以前不觉得钟嘉欣很雷。。            
(3星)	 评分怎么能低成这样= =            
(3星)	 为了看钟嘉欣才看的  不过真不怎么样            
(3星)	 道具 特技很假。。            
(3星)	 比较搞笑。。            
(2星)	 不晓得是不是来源于干宝的《搜神记》《搜神后记》之类的？剧情老套，土！而且柳毅明明是唐传奇里的人物啊？            
(2星)	 老放，没看过都不行            
(4星)	 钟嘉欣不是很喜欢，但剧情还算可以吧。            
(3星)	 挺喜欢钟嘉欣的，不过在这部剧里感觉她太过了点，属于过于用力的演员~：（            
(NA)	 有点不知所谓……太假的剧不喜欢            
(3星)	 鐘MM真的好囧。also陳浩民            
(2星)	 又是一部电视台放的鲁剧。。。            
(2星)	 说实话，很傻的剧。            
(3星)	 包子脸。。。            
(3星)	 我就喜欢看香港神话剧...嘿嘿. 我也想飞,当英雄!            
(NA)	 没看完。。            
(3星)	 演得那么做作，怎么总能好命的做女主呢？            
(1星)	 好SB!钟嘉欣的好演技浪费拉            
(5星)	 特别好看、干将和莫邪的爱、好凄美。            
(2星)	 事实证明考试的日子是很无聊的，考试的时候瞎看电视剧更无聊            
(3星)	 有定定哎~~            
(2星)	 。。。。想象力过头了吧            
(3星)	 仅供娱乐            
(3星)	 好神噢~            
(5星)	 大家不要太挑剔~ 我觉得有个导人向善的电视剧不是蛮好的嘛~~            
(2星)	 恶搞咩            
(5星)	 招人喜欢的俗烂剧情             
(3星)	 故事本身还行，但拍出来挺假的            
(NA)	 为神马介样正经动人的片子总是在不经意间就不正经起来鸟            
(3星)	 这样的一部片子，我竟然看完了。。。自己都觉得诧异~囧            
(5星)	 &#34;笑口常开 好彩自然来&#34; 哈哈            
(1星)	 看不下去            
(4星)	 “笑口常开 好彩自然来“ 正道与邪道的较量              
(3星)	 很好看！            
(3星)	 还能看哈            
(4星)	 陈锦鸿古装戏演的还真不错，谭小环没想到演技还不错            
(2星)	 无语。。。            
(NA)	 干将莫邪的爱情是唯一亮点。            
(3星)	 虽然听说这是压箱剧，可是觉得还行！            
(NA)	 又是一部体验我接受能力的戏，算是基本看全了。            
(3星)	 TVB办捧的新人，一连看了她好几部电视剧。            
(3星)	 没想到错7欣扮老太倒是蛮灵的            
(3星)	 造型太雷阿~不過劇情還真是喜劇~            
(NA)	 笑口常开，好彩自然来！--好彩妹            
(4星)	 TVB的神话剧，怎么都看不腻。。。            
(2星)	 太扯了。。。            
(1星)	 厄.....簡直就是噩夢，看了 2集放棄            
(3星)	 就是普通的TVB咯~看了就忘了~            
(3星)	 很神奇的剧集，有点傻傻的感觉,喜欢钟嘉欣mm            
(3星)	 看电视剧最能麻木人            
(4星)	 不错~~            
(3星)	 笑口常开，好彩自然来            
