http://movie.douban.com/subject/2300573/	谢谢 / Thank You
(4星)	 作为一个纯粹的花痴，三星给张赫，不管是演技还是长相，一星给巧克力派爷爷。            
(5星)	 才发现张赫挺帅的，演技很到位            
(5星)	 从【沐浴阳光】开始就喜欢张赫。这次依然是，如沐春风。            
(4星)	 好美好~！            
(5星)	 绝不是俗套的韩剧！！！            
(5星)	 很温暖的剧            
(4星)	 感人！            
(4星)	 尽管美好，却不再相信。            
(5星)	 世界是美丽的，也是丑陋的，但终究是美丽的。            
(4星)	 真的很催泪啊，只有结尾有些仓促            
(5星)	 能不能不这么悲情            
(4星)	 棒子剧的奇葩            
(NA)	 好好看，春天啊~~~勇敢的小女孩            
(5星)	 之后呢，你们这一家要怎么过？            
(5星)	 看这部剧的时候 即使再悲伤的情节 伴奏都是温暖的小调不是被蓄意的落泪 才是最好的方式            
(NA)	 看韩剧很奇怪，要么不看，要么一集不落。张赫            
(5星)	 那小女孩真是可爱死了            
(5星)	 对不起。谢谢。            
(5星)	 必须推荐！这是我看过所有韩剧中，最感人的，不是俗套的灰姑娘爱情，超感人！！！真的特别好看！！！            
(5星)	 看得眼睛湿湿的。。。。。。            
(5星)	 善良的永新，坚忍的永新，教春天这个世界是美丽的永新，唯独亏待自己的永新……            
(5星)	 很萌的小朋友说：因为我是犯了错的天使，所以才会得爱滋是吧。帅哥张赫表情古怪地点头：嗯，我是守护天使一号。接着很萌的小朋友又摆出我早就了解了的狭促表情说那锡贤叔叔——张赫的情敌小朋友的亲爹，是守护天使二号吧！张赫很久才说:你怎么那么聪明啊！小朋友说：因为我是天使啊！（骗大的吧）            
(3星)	 不是我喜欢的类型，但是不难看~            
(4星)	 相信奇迹吗？            
(5星)	 一集就崩溃大哭了&amp;……            
(4星)	 啊这个。。韩剧            
(NA)	 看过一些，演员实力不错            
(5星)	 很温馨的片子，不是磨磨唧唧的韩国死去活来剧            
(5星)	 谢谢。潸然泪下。            
(4星)	 因为现实而冰冷的心，偶尔看看温暖的剧情融化一下吧。            
(5星)	 谢谢            
(NA)	 看到你哭，感觉我心都碎了。看到你笑，我感觉我有拥有了一切。            
(4星)	 春天那么可爱，还会复杂的算术。            
(4星)	 真诚的片子  值得感动 里面的张赫实在是帅            
(5星)	 难得的一部非常好看的韩剧，感觉非常温暖。演员在里面的演出十分到位，小春天好可爱。            
(5星)	 看见爷爷死的时候哭得不行了            
(5星)	 难得韩剧能拍这样的题材~没有大都市做背景，反而让我觉得很舒服~看腻了老套的剧情，这样的温情片比较容易打动心灵！孔孝珍和张赫的演技太好了，爱极了他们两个的组合，孔孝珍的笑很有感染力。徐信爱是个惊喜~            
(5星)	 不俗套又很有心意的片子，力挺            
(4星)	 配樂不錯的, 很喜歡文質彬彬的申成祿. 還有總是念同一句對白的爺爺.            
(5星)	 不同于其他娇柔的韩剧，这部流露着质朴的温情。很喜欢。            
(4星)	 不容易啊生活不容易啊。            
(4星)	 非常之温暖啊            
(5星)	 嗷~张赫太男人了~我喜爱的含蓄温婉结局~            
(4星)	 这个大叔太MAN了！这个小艾滋女孩太可爱了！            
(5星)	 张赫张赫张赫好，我又是外貌协会的。            
(5星)	 温暖心灵的力量，要坚强            
(5星)	 不漂亮的女人有演技，依然可以有很美丽的神采。            
(5星)	 淡淡的~什么都是淡淡的~但是里面释放的感情却浓得化不开~演技很强的男女~en ~            
(4星)	 蜥蜴            
(5星)	 第一部完整看完的韩剧            
(5星)	 发现张赫不错            
(NA)	 沿袭了韩剧一贯的感人，忧伤作风。很好看。小女主角演得很好            
(4星)	 里面的那首歌很不错。感恩身边的每一个人。            
(4星)	 喜欢张赫！            
(2星)	 没想到那么多电视台在播剧情虐了点  矫情了点but 韩剧似乎就是这样的            
(5星)	 虽然不喜欢棒子，但这部剧还是力荐。            
(4星)	 谢谢~~            
(NA)	 看的不全..            
(5星)	 帅.            
(5星)	 请怀着一颗快乐的感恩之心对待生活            
(5星)	 很让人感动的片子，喜欢上了里面的张赫            
(NA)	 哭着看完的            
(5星)	 太感人了啊            
(4星)	 春天一样的孩子 就是希望            
(NA)	 张赫的感觉很好            
(5星)	 想起来就更新下,张赫和孔效真都是MArio最喜欢的棒子演员,哈哈.            
(4星)	 很好,很煽~            
(4星)	 单亲 白雪病 我还是喜欢这部剧的            
(4星)	 一把鼻涕一把泪的            
(4星)	 张赫张赫张赫张赫张赫张赫张赫。            
(NA)	 蛮感人的            
(3星)	 女一很眼熟 但肯定没看过她演的 有人能告诉我她和谁长得像吗？            
(3星)	 不喜欢女主角~很怪            
(4星)	 和好朋友一起看的小心地控制结尾还是哭泣的劈里啪啦的温暖的一家人，喜欢里面长的很善良和真的很善良的人们。有些时候，不用说什么就能读懂            
(5星)	 如此心灵纯粹的母亲            
(5星)	 突然有点喜欢张赫·            
(5星)	 谢谢改变了我的价值观。            
(5星)	 谢谢你们.谢谢爱            
(5星)	 温馨的巧克力派            
(4星)	 人性            
(5星)	 虽然情节很老土，但是我依然一把鼻涕一把眼泪。小盆友萌&gt;&lt;            
(4星)	 谦卑也勇敢的爱            
(3星)	 那大叔还算好看吧            
(4星)	 让我欲罢不能的原因是爷爷……            
(5星)	 08年我唯一喜爱的电视剧            
(NA)	 懂得原谅，学会感恩。说一声，谢谢。            
(5星)	 虽然一开始有点奇怪的说，但是后来越看越耐看，而且每集都让我哭得稀里哗啦的~~很温暖的感觉~~像你这样多情又善良的人怎么生活在这险恶的世界亚~~            
(5星)	 谢谢 好爱你们            
(NA)	  很感动 哭了            
(5星)	 第一次把我看哭的电视！            
(NA)	 感人的要死            
(4星)	 震撼心灵~要阳光般坚强积极地活着            
(4星)	 哭死我了~張赫比較帥~            
(3星)	 没想象中的感动            
(NA)	 非常好的一部剧。            
(5星)	 春天是最美的            
(NA)	 近来哭得最惨得韩剧            
(4星)	 一句谢谢就够了。            
(5星)	 真的爱你            
(5星)	 很温暖 真的很温暖            
(5星)	 去年暑假 2008            
(4星)	 清新的小岛            
(5星)	 只是感恩。            
(5星)	 花了一整天的时间            
(4星)	 好久没看过这么感人的韩剧了 好看            
(5星)	 很棒！！！            
(NA)	 超级感动            
(4星)	 张赫是不是整容了，怎么脸忽然变小了，也帅了……？不错的韩剧，全剧都没有坏人，就冲这点就很特别~            
(5星)	 唯一追看过的韩剧，同时也认为追看的及其值得。             
(2星)	 悲情戏。。我不太dj！            
(NA)	 温馨的感觉，感谢活着！            
(5星)	 最后一集的某处深深打动了我            
(5星)	 一部引发我心灵地震的韩剧！一部美丽的韩剧！            
(5星)	 我死之前 要拿出这部剧来看            
(4星)	 朴实有真爱            
(5星)	 thanks giving thats enough            
(4星)	 http://cat0212.blog.163.com/blog/static/18361156200741143949697/            
(4星)	 讨厌～让我一路哭……我爱春天这个女孩            
(NA)	 很感人            
(NA)	 越是心灵的碰触，越是激烈而深刻。            
(5星)	 李编的又一力作，温暖极了            
(4星)	 沉重的话题讲得这么温馨，可如果前面不那么血腥就更好了            
(4星)	 张赫            
(3星)	 很感人。            
(5星)	 感人哦   孔孝珍是不错的            
(5星)	 编剧将视角投向爱滋病患者,特别是儿童,剧情很感人,春天的乡村洋溢着温暖的气氛,老爷爷和春天都很可爱,医生也是侠肝义胆,母亲很坚强。总之，这个春天，宁静的乡村注定发生感人而不平凡的事了，但总觉得结尾结的过于匆忙了。音乐也好听，很清新感人。            
(3星)	 很感人，没看完            
(5星)	 一部让你一边笑一边流眼泪的片子..喜欢            
(NA)	 谢谢所有爱你的人~            
(5星)	 温暖。感谢。            
(5星)	 心怀感恩的生活。            
(4星)	 挺好看，喜欢张赫            
(4星)	 剧情不错的．．            
(4星)	 最近的韩剧开始跳出儿女情长的固定套路，转而关注现实和社会，也算是一种进步，虽然很小，但值得期待。少了锦衣华服，乡村的生活淳朴得异常美丽。            
(5星)	 张赫终于回来了            
(5星)	 偶然间看的，开始时没一个演员是特别钟爱的，但居然可以一帧不快进地看完，还感动的稀里哗啦的。一个单亲妈妈，一个老年痴呆的爷爷，一个因医疗输血感染病毒的孩子，一个失去爱人的迷途者……生活虽然艰难，但是美好的。春天妈妈这样说。是的。            
(5星)	 感人            
(5星)	 张赫太帅了！！！            
(5星)	 半夜的时候一个人在黑暗的房间里哭泣！很感动很有感触！！！所有人都那么善良！张赫太爷们了！！！            
(3星)	 补遗            
(5星)	 太好看一电视剧 我因为这个喜欢张赫            
(5星)	 温暖的故事            
(5星)	 这是为数不多的韩国好剧，剧情很感人，场面很朴实，男女主角的演技很棒。没有太多的纠缠，很喜欢。            
(4星)	 温情，算是比较有深度的PC剧吧。            
(4星)	 真心感动到我了            
(4星)	 男二像我高中的一个同学。。。            
(3星)	 kawayi小孩            
(5星)	 到目前为止，看过最好的韩剧，没有之一。爷爷的巧克力派实在……唉。虽然编剧李庆熙不认为是自己最满意的作品，但私以为是她创作的巅峰，之后的圣雪令人难以相信出自同一人之手            
(5星)	 当初从第一集被张赫秒杀到大结局=口= 没什么好说的，心中最帅棒子TOP1            
(NA)	 主演都是我喜欢的 剧情也很有深度 电视剧就要这样的。            
(5星)	 虽然我是从第五集开始看的，虽然我中间还是忍不住拖了几下进度条，但正如朋友所说确实不错，这是一个善良闭塞保守的乡村，没什么圣人，但都是好人。甚为欣慰的是，男主虽有一个富二代的背景，但估计只是给女性观众一个交代，财阀母亲总算只是个纯酱油~简而言之，就是播种善心，收获奇迹的一个故事~            
(4星)	 你們是我爛泥般人生中的奇蹟            
(5星)	 最喜欢的韩剧之一，故事，风景，人物和音乐都美好而温暖。            
(5星)	 哭死我了。。哭死我了            
(5星)	 多年前看的剧，质朴温情，不刻意煽情，也不刻意催泪，犹如冬日里一丝和煦温暖的阳光，暖暖的，预示着春天就在不远处。            
(4星)	None
(3星)	 凡是有小孩子的韩剧我都很喜欢 他们让剧情显得有世俗的温暖 电视剧是熬夜拉着看的 前几年就看过 最近突然想看韩剧了 翻出来重温 张赫不错哦~我还是最喜欢春天了 那么懂事聪明的小女孩 嗯 我也喜欢那个死去的女医生的相貌 看来我还是喜欢温柔的女人~            
(5星)	None
(5星)	 真的很温馨            
(4星)	 最喜欢看小春背起春儿说 我们走 春儿！            
(5星)	 孔孝真欧尼的角色阐释得很到位            
(5星)	 泪点跟四年前一样都在小春和李先生身上。            
(4星)	 故事性其实挺淡的，节奏也慢。只是演员演技很好，尤其是小朋友。看了很感动，尤其是爷爷去世那段。            
(5星)	 小孩子很可爱            
(5星)	 大叔啊。。。。哭死我了。。好喜欢大叔。            
(4星)	 小女孩演得很好啊！            
(5星)	 韩剧难得有的值得推荐阿。当时看得我泪流满面。。。            
(4星)	 每个人心里都有一个他人无法填起的黑洞~~            
(4星)	 总算看完一部韩剧，真合适才16集！春天很可爱，演的真不错。应该是有跟宣传爱滋病知识之类的机构合作吧？不过爱滋病这么严重的事占的篇幅太少啦，主要还是讲爱情病。不过还算挺好看的，”要是没有我们春天，这个世界该多惨啊~”。我就喜欢韩国演员一笑弯弯也不大的眼睛，李嘉欣类的美女我真欣赏不来            
(5星)	 感人至深，绝对推荐。            
(NA)	 记得当时看这部电视剧的时候，每集都哭。            
(5星)	 人性还是很美好的，为什么没有六颗星。            
(5星)	 感动            
(4星)	 好看，张赫很帅，很感人的亲情和爱情~~            
(5星)	 我还能哭得更惨吗            
(4星)	 还行，不脑残。            
(5星)	 故事太沉重，但是看到张赫就觉得够坚强~            
(4星)	 友人推荐            
(3星)	None
(5星)	     犹记得是考高那年看的，高考结束后在家默默等待成绩的那段长长的夜晚，都是这部剧陪伴我进入梦眠的，不知道赚了我多少眼泪。整部剧从始到终都赋予着满满的温暖和美好，以至于多年后拿出来反复品味依然觉得细腻、动人~~            
(NA)	 08. 8             
(5星)	 很温情，看完想让自己成为一个更好的人~            
(5星)	 第一部看得我流泪的电视剧~！            
(5星)	 厌烦了大多电视剧死去活来、纠结的爱情套路，温情剧是个好的选择。。            
(2星)	 。。。            
(4星)	 越看越喜欢，越看越顺眼。            
(4星)	 生活真是不容易啊 different but not less            
(5星)	 很喜欢这个方式。嘿            
(4星)	 从第5集开始看滴。呃，那位爷爷，真是神仙一样的人物。            
(5星)	 赫大叔。。。            
(5星)	 老少咸宜吊足各种胃口            
(4星)	 四星半吧，属于耐看型的。            
(5星)	 很好看 每个人都是这么的好 这么的善良            
(5星)	 巨感人T T            
(5星)	 刚刚看完，很感动，美丽，宁静，温暖的故事            
(5星)	 真的很好看！            
(5星)	 绝对是最喜欢最喜欢的韩剧！            
(5星)	 这是我看过最感人的韩剧，反复看，反复被情节感动，反复的哭，反复的对生活重燃希望。不知道为什么，身边没人和我一样感动，他们大多觉得无聊乏味了。可是这部真是我的心头爱。两位演员演的也不错，服装也没有华丽，大部分都是乡村的场景，看上去舒服自然。            
(5星)	 不论别人怎样对你，你都要对得起自己。            
(5星)	 感动~~            
(5星)	 冷血的我居然哭了            
(5星)	 只是跟别人不同            
(3星)	 演技自然，情节平缓，没有什麽大的亮点，不会有追剧的冲动。            
(3星)	 陪妈妈看的。。。            
(5星)	 春天一个人处理伤口包好擦血的纸,其他人却只能远远望着,泪奔~~~~~~~~~~~~            
(NA)	 感人            
(5星)	 小女孩戳到我泪点。            
(5星)	 非常感人 最喜爱的电视剧之一            
(3星)	 张赫还蛮有型的。            
(5星)	 真挚感人            
(NA)	 很爱的一部剧，现在仍然感动，有几会再看…            
(5星)	 我最最喜欢的一部韩剧，那会儿看的时候哭的稀里哗啦的。未婚妈妈，艾滋小孩，痴呆爷爷，他们都是不幸的，可他们的发自内心的善良和幸福我想每个看电视剧的人都能感受到。嗯，还好有闽基书，可以保护永新，保护小春。小春这个小孩实在太让人心疼了。            
(4星)	 张赫诠释了标准的男生形象啊，大爱。。。。            
(5星)	 催泪弹啊催泪弹、。。。            
(NA)	 很有很有意义的一部片，里面的角色都表演得很到位，尤其是小春、爷爷。            
(4星)	 555~  以后都卜要看韩剧了~~  眼睛就米怎么干过~~            
(5星)	 感动 温暖            
(5星)	 亲眼看见生活的绝望和希望，互相治愈和抚慰、用彼此都抗拒的方式。真心是会被感知的，无私不是必须的，表面的和平和友好总觉得至少是一种义务。            
(4星)	 拖沓着拖沓着就看完了，男二挺酱油的，孩子有几段是催泪来着的，欢喜大结局~~            
(NA)	 跟着卫视看的            
(5星)	 艾滋病的孩子也可以很开心 因为有爷爷            
(4星)	 怀着一颗感恩的心，对待身边的每一个人吧！            
(5星)	 这部剧超好看，每集都让我哭的不行。            
(5星)	 有个天使名字叫春天            
(4星)	 很温暖的一部韩剧 没有罗曼蒂克的生死相许 没有夸张的性格演绎 正是平凡小人物的美好教人温暖感动            
(4星)	 感人~~            
(5星)	 第一次给一部韩剧5颗星~            
(NA)	 这个太悲了，没看完，看一集哭一集。            
(5星)	 冲着徐信爱也得给满分啊~            
(5星)	 大爱的电视剧，太不同于普通的电视剧了，哭了何止一遍，不是因为什么死了谁，谁要死，而是被那种大爱感动着，一颗善良的心            
(5星)	 不太喜欢看韩剧，但这部却真的很感动            
(5星)	 小春天很可爱、又懂事、感动死了。            
(4星)	 千回百转，谁是谁的谁            
(5星)	 闵基书太男人了~&gt;&lt;~又多了一个念想//一集一个小时不知怎么就过去了，谢谢编剧            
(3星)	 还可以 3星            
(4星)	 看过的最好的韩剧。谢谢这个世界。谢谢你。            
(5星)	 “谢谢。”好美的词语。            
(5星)	 张郝虽然长得像土匪 但是肌肉很NB~孔孝珍一如既往的喜欢~这小朋友长得不漂亮 但是可爱的~            
(5星)	 第一集就流泪不止。            
(5星)	 张赫的腰……太特么销魂了……            
(5星)	 看过的韩剧也不少了，这一部让我想起来就很温暖啊。当初安徽卫视放的时候倒没怎么看，自己机缘巧合在网上看了，于是就难得地一下全看完了。它需要你耐心地欣赏，它没有年轻的帅哥靓妹，没有跌宕起伏的狗血剧情，但它依旧打动人心，很温暖很温暖，像一股清泉一样，感染你。时隔几年回来看评论我都哭了。            
(5星)	 當他幫她洗頭髮時,覺得暖暖的            
(5星)	 温情不煽情 却在不知不觉中赚人热泪 可以进入我心中的韩剧top3            
(5星)	 伟大的母亲对孩子的感情            
(NA)	 难得的韩剧            
(5星)	 剧本很好 剧情很好 张赫很帅！！！！！！！！            
(3星)	 跟着姐看学韩语。            
(4星)	 温暖的人生            
(4星)	 为了艺真看得，以前隐约TVB播的时候看过，记得大概剧情。现在重看！！爷爷拍巧克力派的时候太感人了。总体来讲的话，过于平淡吧，但不失感人。            
(5星)	 尼玛， 曾经看到流泪的韩剧... T_T            
(5星)	 每次看都感动得泪流满面            
(NA)	 一段时间喜欢张赫 节奏很慢 但淡淡的很舒服            
(NA)	 很感动            
(4星)	 暖暖的，尤其那个爱吃派的大叔            
(4星)	 李庆熙式故事的变化很明显：从Misa的双挂 到雪之女王的女主挂 再到这部的大团圆  似乎也是劝诫观众对于生命要有希望与坚持            
(2星)	 张赫！。。。这片子没剧情！我看到凌晨四点，都没等到什么波折高潮出现。。。浪费了一个好题材。。。张赫的气质很赞，就是演技太一般。。。其实好好塑造他是可以很帅很帅的，浪费了那张脸啊            
(4星)	 16集结束还有些舍不得呢            
(5星)	 张赫太帅            
(5星)	 不一样的救赎。在泪奔中被治愈了            
(5星)	 多多年前看了对不起我爱你（抽）我以为韩剧也就那样了，多年前看了谢谢到现在都觉得这是看过的最佳韩剧了。咳咳，现在又拿来看我会到处乱说吗            
(4星)	 温馨，不滥情            
(5星)	 这部剧告诉我们  这个世界是美好的 ~~~  张赫大叔演得太到位了  孔孝珍阿姨则平凡的恰到好处。。  最可爱的小孩  笑起来真的是天使  最感恩的爷爷 让我流泪了~~~经典韩剧  不能错过            
(5星)	 楚楚 老娘 真的极力推荐你们去看 虽然有点悲情是伐 可真的是部好剧！主题有点深刻！我记得还是张赫兵役回来的第一部戏呢~            
(5星)	 在我烂泥一样的人生里，因为遇到了你，才开始学会爱、包容与奉献。相信奇迹吗？相信。李永新、春天就是我的奇迹。            
(5星)	  感人啊感人            
(5星)	 很少韩剧能有这样清新的风了. 孔孝真我真是喜欢你.这部作品让我喜欢上张赫了呢            
(3星)	 催泪~~            
(4星)	 很温暖的片子，里面那淡淡的感情却牵动着我的心，很喜欢里面演员们的表演。            
(4星)	 开始不觉得 小女孩怎样 后来越看越喜欢 没看结局 不想知道 我想留着春天美丽的笑容在心里            
(5星)	 值得一看            
(5星)	 所有人都是善良的/人人都该感恩            
(5星)	 超级喜欢的韩国电视剧。当时迷恋这个故事迷恋得要死。没有人不是因为爱，会甘愿留下一辈子做补偿。            
(5星)	 完全催泪。            
(NA)	 谢谢            
(5星)	 春天和她的痴呆爷爷，还有善良妈妈，太催泪了。            
(5星)	 是第一部让我看的流眼泪的韩剧，真的很细腻，真挚、感人，ost的搭配也很不错            
(5星)	 感人            
(5星)	 很感人。属于越看越感人的电视剧            
(4星)	 弯弯绕绕的韩剧真是……让人欲罢不能啊。谈恋爱是件多美好的事情，即使是看着别人谈。张赫的个子有多高？他的喉结一动一动的时候，及歪嘴笑的时候比较帅！！我困惑，韩剧已经从女主有不治之症发展到小孩儿有不治之症了，以后还有什么搞头？            
(4星)	 HIV            
(5星)	 非常爱的一部剧            
(5星)	 小孩子真聪明。每一个人都那么让人印象深刻。            
(3星)	 不能算多好看 延续了韩剧温馨感人的惯例 只是片中那个小女孩 让人又爱又心疼            
(5星)	 如果耐着性子看下来，确实不错的片子。            
(5星)	 顛覆了我對韓劇的印象,很清新,很溫馨,李春小朋友可愛得一塌糊塗            
(4星)	 画面不怎么地 男主女主扮相也不怎么地 剧情发展的也不激烈 也没有所谓的跌宕起伏 但就是能让你一集集耐心地往下看 这是我看过的所有韩剧中最最【温暖】的一部 每个人都很善良 虽然这善良的表现形式各不相同 很感动 很美好            
(4星)	 温情低调的片子            
(4星)	 都说电视剧的灵感来自生活..可生活中哪里可以看到那样的感情..难道大家都只是在两人世界的时候才表演的么..            
(4星)	 我可以说是和往常的韩剧有些许不一样的韩剧么            
(3星)	 小孩的确挺可爱的，才看到第四集，没看出什么好看的还。。。有一点让身为医学生的我我很无语啊，医生们的医术真的很拙劣呀，做手术跟修机器似的，动作那个豪爽呀，受不鸟了。。一直一直重复那个不太漂亮的前女友的那几句话，很啰嗦呀。。。快点让我看到好看的地方吧！！            
(4星)	 直到现在我才敢说，这剧当年把我害惨了……在我高考前两个月看了这剧，于是一直到高考时我都是满脑子的张赫！毫不夸张，于是。。。确实，大叔当年对我的影响太大。我的大叔控情结源于张赫，而张赫情结源于这部剧。            
(5星)	 近期重温了一遍，因为觉得自己的人性在流失。。哭的很爽            
(4星)	 不错            
(5星)	 这不是一部跌宕起伏的韩剧， 　　 　　它的故事发展如此平淡， 　　 　　可是它拿走了我三天的眼泪， 　　 　　凌晨的时候坐在乌漆抹黑的房间里放声地哭…… 　　 　　在这部剧里居然没有一个反面角色， 　　 　　所有人都如此温暖， 　　 　　当你走进这部电视剧时， 　　             
(5星)	 温情~            
(5星)	 这个饼脸小孩真是萌死我了。加上帅锅男猪~~ 给五星！            
(3星)	 张赫很吸引人～～            
(5星)	 超级无敌催泪弹。            
(NA)	 在那能下载全集            
(5星)	 大爱张赫，温暖得很给力。            
(5星)	 好像就在你身边            
(4星)	 爷爷最后走的时候好难过.小春是个坚强的孩子.            
(5星)	 很感人            
(4星)	 自动型植入一颗感恩的心，淡定平静的心。像女主一般生活吧！            
(5星)	 好            
(NA)	 男一号啊，大叔的形象我喜欢。            
(4星)	 张赫服役归来后的作品，孔老师变身爱心妈妈，挺好看的            
(5星)	 目前看过韩剧中认为是no1            
(4星)	 没看完            
(4星)	 这部剧不具备韩剧最注重的美型，都没什么亮眼的美女帅哥来撑场面。只是最后我真心被感动了。            
(4星)	 我是有多愛那個沒有便利店，沒有旅店的小鄉村。            
(NA)	 看过最好看的一部韩剧~             
(4星)	 看过几集，太难受了。。            
(4星)	 赚泪水的片            
(5星)	 一个我看过的最好看的韩剧             
(5星)	 很久以前看的，挺感动的~            
(4星)	 其实还是有点苦来着。。。            
(5星)	 非常平淡却至情至信的片子            
(3星)	 狗血~            
(4星)	 挺感人的，恩~            
(5星)	 有关于艾滋。            
(5星)	 感人            
(5星)	 是一部看着会一起哭的片子            
(NA)	 是家门的荣光，之后我最喜欢的一部韩剧，孔孝珍的《pasta》也演得很温情，平缓的剧情，总给人最有力的感动            
(5星)	 很好啊~温情细腻感人，无聊选中的片子真的是惊喜啊~不悲了，很温暖            
(5星)	 微微轻风，暖暖阳光，麦田花海，亲情血脉……让人温暖感动的片子，像乡间空气一样清新干净。妈妈、女儿、爷爷、首尔来的大叔，终于不是无病呻吟的悲惨爱情，不是财阀二世与灰姑娘冲破重重阻碍的狗血剧情。孔孝珍总让人感觉很舒服；张赫扮演的闵基书，是我最爱的韩剧男主角色，也是最贴近现实的理想型。            
(5星)	 四分给电视剧，一分给导演和编剧，韩国剧里不可多得的好剧            
(4星)	 春天好美……            
(5星)	 温馨            
(5星)	 第一次认识张赫~不错的演员~生活中貌似也是个好男人呐~            
(4星)	 ~            
(4星)	 小女孩演技赞一个            
(5星)	 这是我时不时会拿来重温的片子。情节发展缓慢，但是其中表现出的善良、感恩与坚强却能洗涤人的心灵，。            
(5星)	 不得不说小女孩的演技真的很棒  整部剧让我热泪盈眶            
(4星)	 温情脉脉，感人的片子。孔孝真的演技总是能打动人心。            
(3星)	 主角浪费了，剧情很普通。讲艾滋病的小孩。拖沓。没起伏。            
