http://movie.douban.com/subject/3882715/	武林外传
(4星)	 真喜欢。80集集集喜欢。            
(5星)	 热切期待下部，感觉像没有说再见。            
(5星)	 最爱            
(5星)	 这就叫经典！            
(4星)	 娱乐大众……            
(5星)	 小人物蝇营狗苟 侠精神正义脊梁            
(5星)	 我人生最喜欢的。哈哈哈            
(4星)	 百看还未厌...            
(3星)	 不大喜欢。。            
(5星)	 必须看！方言教材！            
(5星)	 太欢乐了~~~~            
(5星)	 前几年就看了的，今天才想起来。诙谐幽默！            
(5星)	 很精彩的古装喜剧，符合网友的恶搞精神，搞笑无罪呢。中国民间的传统智慧也跃然电视荧屏上，很好呢            
(5星)	 能用那么少的投资拍出一部那么经典的喜剧，只能说：太有才了！            
(5星)	 有人没看过吗？。。            
(5星)	 在家里又看这个，我老爸崩溃死了。太喜欢啦            
(5星)	 经典            
(5星)	 超级超级搞笑 不过更推荐另一部讲办公室的搞笑片            
(5星)	 补注。            
(5星)	 这是经典啊！            
(4星)	 不仅仅是喜剧            
(5星)	 定期会翻出来再看一遍，哈哈！            
(5星)	 额滴神呀，忒好看了            
(5星)	 哎呦喂！！！！！            
(2星)	 北方人的耍贫嘴，在我这儿可吃不开哦            
(NA)	 秀才和小郭的斗智斗勇教我们爱情要棋逢对手或者琴瑟和鸣猩猩相惜，总之最重要的目的就是图个好玩；爱生活爱50；女人因为爱他的人而珍贵了起来，都说里边佟最受欢迎，可我觉得灵魂人物恰恰是老白，人人都爱白展堂但因为白展堂爱湘玉，所以湘玉成了命运的宠儿，每次一发生大事，佟都几乎没主义大多都是老白比较冷静            
(5星)	 我还就好这口。。            
(5星)	 很希望能有续集            
(5星)	 别提多逗            
(5星)	 子曾经曰过            
(5星)	 意外的喜欢            
(5星)	 简单 其实 就是 真理~~喜怒哀乐~~就这个样 该有多好~~            
(5星)	 我真的特别特别喜欢。            
(5星)	 多么好的一片啊 当年江小枝同学说看了好几遍的时候我还BS她 当那天凌晨笑抽了之后 俺知道俺错了 哈哈  不能看电视的  俺会憋气身亡的 哈哈             
(5星)	 雖然第一次看的時候覺得特山寨，但是後來覺得還真好看呢            
(4星)	 看一遍挺好 两遍就贫了            
(5星)	 ……重新翻出来看            
(4星)	 断断续续。            
(5星)	 国产情景剧中的典范            
(5星)	 时过境迁依然觉得小郭和秀才那么般配            
(3星)	 断断续续看的。            
(NA)	 很有可能成为90的集体回忆的片。（虽然我一直觉得看的懂的是我们80）            
(5星)	 这是我有史以来看过的最棒的情景喜剧！编剧真的很绝！            
(5星)	 刑捕头~            
(5星)	 “老虎不发威 你当我hello kitty啊”            
(4星)	 要打五颗星的话还差那么点儿，毕竟整体的故事性不强，都是小片段小片段的独立体居多。风格倒是很有创新，算是国产轻喜剧中的佼佼者。            
(5星)	 宁财神+其御用班底=中国喜剧经典+平民英雄传奇。            
(5星)	 额的神啊……            
(4星)	 太经典了，鼓掌！            
(5星)	 从头爆笑到尾 喜欢每一个鲜活的角色 稍偏小郭~            
(4星)	 还不错            
(NA)	 瓦咔咔            
(5星)	 好看！！            
(NA)	 老白 芙蓉 秀才 佟湘玉哈哈哈             
(5星)	 难以言喻            
(5星)	 打开电视，无论播放哪集，都会看下去            
(5星)	 非常可愛            
(NA)	 出淤泥而不染，居茅厕而不臭。            
(5星)	 饿D聪明能干物美价廉D秀才            
(NA)	 挺逗，看了还想看。挺有教育意义的。            
(5星)	 编剧实在太奇了！古今融合挖            
(5星)	 平民英雄，草根文学。            
(5星)	 经典            
(5星)	 唯一看了又看的国内电视剧            
(5星)	 好好笑非常特别以及极其的好笑            
(5星)	 太囧啦~~~~我爱秀才和芙蓉。^^            
(5星)	 唯一让我不换台的电视剧            
(NA)	 e di seng a            
(5星)	 简直就是超赞。            
(5星)	 完全大爱~~            
(5星)	 太有才了            
(5星)	 没啥说的了..赞！！！            
(5星)	 假期必看之二,第一是西游记.            
(5星)	 每转必看            
(4星)	 我一直在想 恐怕外国人怎么也不会体会到这种语言上的 文化上的 搞笑            
(5星)	 十分搞笑的情景轻喜剧。个人觉得很不错。            
(5星)	 经典中的经典            
(5星)	 東北人民的一部值得驕傲的情景劇！！            
(NA)	 很多人不喜欢，其实这部剧集并不是他们看到的那样肤浅            
(4星)	 一进大学就看这个，搞得很！            
(5星)	 哈哈，太棒了！            
(4星)	 替我照顾好我七舅老爷他三外甥女。            
(5星)	 很是登峰造极            
(5星)	 这个就不说了，我敢说是中国电视剧史上划时代的作品。            
(5星)	 呵呵，不顶都不行~            
(4星)	 让我大声笑。            
(5星)	 又是一个快乐夏天的记忆。。。            
(5星)	 电视剧很虎.我就喜欢虎的.            
(5星)	 21世纪情景喜剧的典范！            
(5星)	 从05年看到08年 还没能停止            
(5星)	 百看不厌啊啊啊啊啊啊啊。            
(4星)	 抽风！            
(NA)	 我低迷时唯一敢看的片子            
(4星)	 扯淡外传            
(NA)	 重播几遍也会看的TAT            
(3星)	 比我小的都爱看，比我老的觉得太闹，很接受不了，偶有一搭没一搭地看看            
(5星)	 还是很有看头            
(5星)	 喜欢小六老刑白展堂老板娘……            
(5星)	 还有什么比看武林外传还让人没脑胡开心的事~            
(NA)	 不错不错～            
(3星)	 一般。陕西话那样说得不好听。            
(5星)	 确实很经典            
(5星)	 戏笑人生            
(5星)	 没的说，百看不厌。            
(NA)	 我的神阿            
(5星)	 有意思，我看了好多，真有意思            
(4星)	 秀才秀才~~呵呵,喜的很呢~~            
(5星)	 笑吧            
(5星)	 看了N多遍            
(NA)	 很喜欢的不用过脑子，新鲜            
(5星)	 同福客栈同谋之一            
(4星)	 很经典。。。但是更喜欢都市男女。。            
(5星)	 朋友们喜欢的无厘头搞笑            
(NA)	 哈哈哈哈            
(5星)	 现在不看书睡觉了,直接看这电视剧,舒舒服服入眠            
(NA)	 这种红火也许不能重现。            
(NA)	 那谁谁谁也很喜欢来着            
(4星)	 CCTV2            
(NA)	 我好喜欢看我好喜欢看            
(NA)	 超级爱无比爱 确定一定以及肯定            
(3星)	 娃哈哈呀娃哈哈。。            
(4星)	 里似不似饿的荒            
(5星)	 这个 很经典            
(5星)	 目前最爱！            
(NA)	 太搞笑鸟···            
(5星)	 弟弟可以背台词的剧。            
(5星)	 喜欢~~~~~~~~~~            
(3星)	 湖南话版本的更搞笑            
(4星)	 编得实在不错            
(5星)	 近年来唯一看的电视剧。我就不多说什么了。            
(5星)	 开始觉得没意思，后来真得觉得很搞笑！            
(4星)	 笑死我了～～            
(4星)	 我更喜欢东北一家人            
(4星)	 八十多集的古装...看过才知道原来情景喜剧也可以是古装来的...            
(4星)	 盗圣，you shit! shit! son of a bitch!            
(5星)	 纳入统计学范围来观看这部CCTV8与空军电视制作中心的破冰之作            
(5星)	 理所当然的经典            
(4星)	 额滴神啊~            
(NA)	 最近太期待武林的话剧了            
(NA)	 有意思            
(4星)	 唯一一部无聊得来却又觉得很好笑很好看的国产情景剧            
(NA)	 很好的古装轻喜剧，渴望成为白玉堂            
(4星)	 台词经典。            
(4星)	 本来是力荐的，可惜放的次数太多了。            
(5星)	 有趣的剧集            
(4星)	 笑一笑十年少~            
(NA)	 百看不厌我爱秀才            
(5星)	 好喜欢好喜欢...很好很强大...看N遍了            
(4星)	 看的时候的确笑的很脑抽            
(5星)	 真够搞的            
(4星)	  武林外传            
(NA)	 饿滴神哪～看完之后，才知道自己一点都不幽默～            
(NA)	 谁说不好，我排谁··            
(5星)	 排山倒海！            
(4星)	 好玩~            
(5星)	 超级喜欢！            
(5星)	 33集            
(5星)	 很强大。            
(4星)	 还是太说教            
(5星)	 生活就这样乐呵挺好            
(5星)	 第一个让我喜欢的中国情景喜剧并不做作的表演            
(5星)	 吃饭时最好的伴侣            
(5星)	 宁财神太有才了            
(5星)	 不断放 不断看            
(5星)	 最爱,随便看好多遍,都喜欢            
(4星)	 虽然有些地方很庸俗，但总体还是很搞笑的  呵呵            
(5星)	 全寝室的最爱            
(NA)	 一些朋友相当推崇，表妹也看得津津有味。但我个人觉得一般            
(5星)	 看清楚了，你给我歌温gun            
(4星)	 超级喜欢啊            
(5星)	 很多细节值得玩味            
(5星)	 后现代经典            
(3星)	 没有完整看完~不过挺好看            
(NA)	 不经思考，我说这是中国十年来最牛叉的电视剧            
(4星)	 好搞笑            
(4星)	 喔哈哈几好笑            
(5星)	 “这世界有太多不如意，但你的生活还是要继续，太阳每天依旧要升起，希望永远种在你心里。”            
(5星)	 没事儿就乐乐            
(5星)	 快餐经典            
(5星)	 美滴很美滴很!!            
(3星)	 没事干的时候，可以消磨时光            
(5星)	 关乎先锋并非后现代。不像你想象的那么简单，也不像你想象的那么深刻。            
(5星)	 太久没有看过这么出色的情景喜剧啦！            
(5星)	 熬夜看            
(4星)	 看过十几遍,还是几十遍?每次看完一遍就再点第一集,很温暖.            
(3星)	 嘻嘻哈哈，大家不就图个乐么。            
(4星)	 不得不火            
(NA)	 大多数时候是用来消磨时间的            
(5星)	 我看过最好看的国产电视剧~            
(5星)	 有意思诶~            
(5星)	 欢乐武林梦            
(5星)	 我看好你哦            
(NA)	 哈哈            
(NA)	 我吃的是溜肥肠，不是小咸菜……            
(4星)	 某几集很不错            
(5星)	 这几年内地电视剧唯一的惊喜。            
(5星)	 太惊喜            
(5星)	 有啥好说的，同志们就是爱看             
(5星)	 当代中国喜剧惊悚之作，笑死人不偿命。            
(3星)	 有趣与无聊并存，喜欢秀才呀            
(5星)	 经典！            
(3星)	 没续集了。            
(NA)	 喜欢。。有意思。            
(5星)	 宁财神，俄爱你            
(5星)	 虽然有点拷贝friends，但是绝对中国化。非常值得一看。            
(5星)	 最近唯一能把我逗乐的            
(5星)	 2006最佳电视剧            
(NA)	 我真的是太喜欢这个电视剧了，实在是太喜欢太喜欢了！！            
(4星)	 饿滴神啊!            
(5星)	 生活就是一个江湖            
(4星)	 虽说不是集集精彩，但仍喜欢看            
(4星)	 漫漫人生，没有这样的肥皂喜剧，少多少乐趣            
(5星)	 百看不厌            
(5星)	 纯搞笑。喜欢里面那个傻大姐（姚晨）            
(NA)	 hululu13            
(5星)	 笑，大笑            
(5星)	 超搞笑            
(5星)	 赞            
(5星)	 北京一月。寄托。            
(4星)	 改装武侠，教导了很多生活的道理。其实这才是这部片子的魅力所在吧。            
