http://movie.douban.com/subject/3042142/	半生缘
(3星)	 差不多兩三年級的時候 吃晚飯的那個時間和妹妹拿著飯跑到臥室裡關上門看QAQ最後一集都哭爆了            
(4星)	 初中时候看的吧。觉得里面扮相很粉，我喜欢叔惠。            
(5星)	 我们再也回不去了...... 碰触离别这东西,何况是永不相见.不令人崩溃才怪~             
(4星)	 不得不说，蒋勤勤真的太适合这个角色了！但是世钧选演员选得太失败了……            
(3星)	 一般            
(3星)	 毁了的蒋勤勤啊~~            
(5星)	 有种爱情叫做有缘无分……            
(NA)	 世均 我们再也回不去了            
(3星)	 讨厌男主角            
(NA)	 一句 世钧，我们回不去了。还有主题曲 我都记忆深刻啊。。。            
(3星)	 高中冬天在火筒里            
(3星)	 及格吧。。。还记得片尾那首歌，“就这样擦身而过。。。”            
(3星)	 峰回路转以后才变得好看，这个爱情故事太凄凉。            
(4星)	 蒋勤勤演得太棒了!            
(3星)	 蒋勤勤演得很好            
(3星)	 林心如好美的说            
(4星)	 所有林心如的片子，我最喜欢她演的曼贞，非常喜欢。蒋勤勤的演的曼璐也很好。            
(NA)	 擦我超恨蒋里头那老公！            
(4星)	 歌不错            
(4星)	 就像这样擦肩而过 会不会是最好的结果            
(3星)	 更喜欢小说。            
(4星)	 选角不错            
(3星)	 我爱蒋勤勤。林心如也很好的。            
(4星)	 挺惨的最后，我觉得林心如演那种民国时代的电视剧特美            
(NA)	 天啊。。原来我曾经看过这么多**剧            
(4星)	 “人老的时候，总有两三件事情拿出来说的，如果我和世均在一起了，生了孩子，那就没有故事了。”能恨谁呢，可怜的曼桢，可怜的世钧，可怜的曼璐。            
(4星)	 林心如演得那个倍儿可怜 男主一点也不帅            
(3星)	 蒋勤勤好抚媚哦            
(4星)	 其实演员找的挺好 不过还是书看起来悲伤            
(5星)	 感觉拍得很成功的国产电视剧，很美的爱情，很现实惨淡的人生，值得一看，人生很多东西就这样匆匆而过            
(3星)	 可惜  只有蒋勤勤是最出彩的那个人             
(5星)	 林心如唱的片头片尾曲也是一大亮点.            
(4星)	 这片里我恶心死李立群了。            
(3星)	 蒋勤勤演得也太好了，林心如诠释这种苦情戏总是很到位的。不过关键还是剧本好啊。            
(3星)	 一 一我只记得姐姐把妹妹送给老公强奸..            
(3星)	 我妈更喜欢电影版的            
(4星)	 我真的享受不到男主的美色……TAT            
(2星)	 主要是某人太丑。。。            
(1星)	 rubbish            
(3星)	 林心如那首歌不错，擦身而过。            
(4星)	 半生缘半生梦            
(NA)	 男猪脚长的太寒碜了~蒋勤勤太棒了！！            
(3星)	 林心如和蒋勤勤不能放在一起看……            
(4星)	 中考时，妈妈设的诱饵，可是大人都说不好看            
(4星)	 还是爱原著……            
(3星)	 虐心            
(2星)	 回不去了回不去了！            
(2星)	 我这两星，给的是蒋勤勤的演技，还有那个演他老公的男人很合我想象中的尖嘴猴腮。拜托导演偶像剧什么的你找别人的剧本拍，别的脏了张爱玲的东西！我的曼桢让那个林心如演成那个窝囊样，看着就想揍她            
(NA)	 我要你知道，在这个世界上，总有一个人是会永远等着你的。无论什么时候，无论在什么地方，总会有这么一个人。            
(4星)	 和书很不一样 不过我觉得书好            
(3星)	 就这样擦肩而过，如果是最好的结果。            
(4星)	 林心如哇林心如            
(4星)	 又是生孩志～            
(4星)	 回不去了            
(NA)	 回首半生匆匆 恍如一梦            
(4星)	 悲剧啊。。。。            
(NA)	 歌乱好听的。            
(4星)	 我喜欢那个歌            
(4星)	 好喜欢那两首歌哦。            
(5星)	 感叹啊            
(3星)	 就是不喜欢除蒋勤勤以外的演员……            
(4星)	 .....错过            
(3星)	 我喜欢蒋勤勤演的姐姐。            
(4星)	 这里面蒋勤勤很出彩            
(3星)	 觉得蒋勤勤像主角            
(5星)	 原著如此的好看，此戏除了男女主角，其余都好。            
(4星)	 一直记得最后曼桢对世钧说，我们回不去了            
(NA)	 张爱玲1 &#34;我们回不去了&#34;            
(3星)	 35            
(4星)	 回首半生匆匆，恍如一梦            
(3星)	 从此喜欢上蒋勤勤……不能接收林心如的曼桢            
(3星)	 添了很多，我觉得是半生缘的快乐版            
(3星)	 剧中蒋勤勤的演技真的很好，到最后的痴颠很惟妙惟肖。            
(4星)	 这部戏把有缘无分演到了极致。十八春。            
(3星)	 最喜欢的张爱玲小说，可是这连续剧，真不怎么样。还是许鞍华拍的电影好。            
(NA)	 那份擦肩而过的无奈……            
(5星)	 是张爱玲把它弄惨了            
(3星)	 只剩下半生缘了，还有一辈子要活。            
(3星)	 就这样擦身而过，我们回不去了            
(3星)	 算是没糟蹋原作            
(NA)	 比较喜欢书和电影，不过沈世军是我心目中的样子。心如的顾曼帧看起来太大小姐了~没感觉            
(3星)	 Parts..            
(4星)	 很感人啊            
(NA)	 林诠释的就是我想象中的那个曼桢            
(3星)	 我还是比较喜欢看书。            
(3星)	 蒋勤勤的造型。。。不忍。。。            
(4星)	 一样的心碎直到没有感觉。            
(NA)	 她。            
(NA)	 半生缘            
(3星)	 谁能回得去？            
(NA)	 林心如蒋勤勤好美丽的一对姐妹花。爱玲的经典之作。            
(5星)	 少有的较为尊重原著的电视剧！            
(4星)	 原著加电影电视            
(2星)	 我不喜欢谭耀文！看完之后简直讨厌祝洪才那个扮演着！还有剧情改的也太···林心如却不及吴倩莲淡而有味。不过蒋勤勤倒是很出彩~            
(NA)	 就这样半生匆匆……划过了人生最美的年华！            
(4星)	 林心如演什么都像琼瑶剧。不过整体来说还可以，比较忠于原著            
(4星)	 就这样擦身而过，难道是注定的结果。            
(NA)	 世钧啊，我们回不去了            
(5星)	 蒋勤勤演得太好了！            
(4星)	 虐恋= =            
(2星)	 讨厌，我们勤勤比这女人纯洁多了干嘛来演顾曼璐啊            
(4星)	 14年前，他们都搭上了那班公车；之后情深缘浅，各自下车；14年后，那班公车把他们隔成楚河汉界，公车开走了，他们从此 擦 肩 而 过。            
(4星)	 虐！            
(4星)	 四颗星给美貌的女主和女配。            
(5星)	 我还记得..林心如在桥上吼..世钧..你为什么负我..            
(NA)	 里面那个禽兽！            
(4星)	 我们再也回不去了……            
(4星)	 艾玛！！！哭屎了好么！！！            
(3星)	 我们回不去了。            
(4星)	 蒋勤勤就是我心中的曼璐。            
(3星)	 林心如被李立群……妈呀……真是噩梦……            
(3星)	 相对于小说与电影版的简洁 显得过分拖沓了～            
(NA)	 实力派的蒋勤勤            
(4星)	 谭耀文的扮相更恰当地表现出世均的那份儒弱，这是电影中黎明所不太有的。不同于吴倩莲版曼桢的活泼真实，林心如版的曼桢却足够温柔，却也很是外柔内刚。            
(NA)	 看過一點點~            
(3星)	 被李立群吓死=。=            
(3星)	 呃...这个...还真看过...            
(4星)	 还是哭的稀里哗啦的，印象最深刻的是曼桢和世钧重逢后，世钧希望两人重新开始，曼桢流着泪说：“世钧，我们回不去了，回不去了······”            
(3星)	 任何版本都比原著差好多            
(4星)	 蒋勤勤演得不错~~~            
(3星)	 当那个牙齿黑黄的大叔把魔爪伸向林心如时，我幼小的心灵又一次坍塌了。第一次是张铁林扑倒含香。            
(4星)	 。。。哎，可怜了我的心如。            
(4星)	 忽然看见这个名字想起了。记得是初中看得吧。和京华烟云类型的我都很喜欢            
(4星)	 主要本子好。            
(2星)	 对于那强暴戏。。。李老师演的可真太。。逼真了            
(3星)	 当然咯   还是书好看            
(5星)	 记得情窦初开的时候看这部电视剧，印象最深的一句话是曼桢对世钧说：世钧，我们回不去了...我当时不明白，为什么就回不去了，两个人明明相爱。等到我经历种种才明白，很多事情，是真的回不去的。            
(2星)	 谭耀文是一个我怎么也喜欢不起来的男演员啊~            
(5星)	 如此经典，已是近10年前了，十年前的我多大呢            
(4星)	 虐，虐得我心纠，特别是曼璐，又可恨又可怜，看得人心疼            
(3星)	 原来看我过这么多电视剧——似乎不怎么爱看，没看完            
(4星)	 世钧  我们再也回不去了。。。            
(4星)	 我明明记得看过，却只是有被强奸那场戏的印象……T^T            
(4星)	 以前知道这个故事的一些情节，觉得曼桢真是太惨了。这次重新看一遍，才真真觉得曼璐才是最苦不能言的那个。蒋勤勤演得真好真好！凸凸那句“曼桢只会谈恋爱还会什么”让我茅塞顿开啊！！！            
(5星)	 延续我一贯喜欢女二的风格 当然曼璐并不是真正意义上的女二 这是我最喜欢的蒋勤勤的作品。            
(NA)	 小時候的記憶啊。。             
(2星)	 不喜男主。。。还是看小说吧。            
(3星)	 我就是觉得蒋勤勤很美丽            
(3星)	 那时候还看不太懂的苦情，只觉得各种悲，各种压抑            
(3星)	 相当苦            
(2星)	 这个果真适合我妈看            
(2星)	 光记着男主硕大的嘴了。。。。。。。。。。。。 - -             
(4星)	 一出悲剧            
(5星)	 还是很感人的，林心如唱的主题曲            
(NA)	 半生匆匆 半生如梦            
(NA)	 这结局啊，只能叹一声了。。。第一片影评的那姑娘写得肝肠寸断，好文采啊~~            
(4星)	 当时看的十分纠结。。蒋勤勤的曼璐演的相当成功！            
(5星)	 林心如让你知道，小女人木有前途。            
(3星)	 应该没有完整地看完吧。。。只记得最后曼帧带着儿子走在街上与世钧相遇，一句“我们都回不去了”让人感慨万千。。            
(3星)	 还是喜欢蒋勤勤            
(3星)	None
(5星)	 半生匆匆，有缘相识却无缘相守，归结于命？！还是现实？！            
(4星)	 因为最近在看原著，忽然想起这部电视剧。林心如任何时候都那么美            
(4星)	 特意去看了小说。。。结局也太。。。            
(4星)	 两位女主都比较符合我对原著的想象，蒋勤勤真不错。            
(4星)	 世钧 我们回不去了            
(3星)	 顾曼璐真狠心 啊            
(3星)	 悲伤逆流成河            
(2星)	 当时竟然觉得谭耀文很帅，现在没有一点感觉了。            
(3星)	 顾曼桢惨死了。。。。            
(4星)	 我们再也回不去了            
(3星)	 这个条目能激起我兴趣的还是那个坏女人？            
(4星)	 谭耀文好恶心            
(NA)	 很喜欢            
(4星)	 错过了就再也回不去了            
(4星)	 我觉得和书感觉还是蛮像的            
(4星)	 在看多了大陆电视剧的情况下，重新来看这部片子和这部小说，我觉得这种感觉很好，很久违的感觉。一种很静谧的旋律从头用到尾都不觉得腻味。故事的发展也是按照那个时代的情况，没有为了追求收视率就设置奇怪的情节。            
(NA)	 居然要十年了 顾曼璐好美 狠 惨             
(4星)	 “我们回不去了。”            
(5星)	 没看过原著。            
(4星)	 就这样擦身而过~~虐心啊            
(3星)	 看着曼祯看着世均从楼下走过，可是她却喊不出声叫住他的时候，我哭了            
(4星)	 有个同学总结的好到位,林心如最适合扮猪吃老虎的角色...            
(4星)	 真的是很遗憾~            
(4星)	 我们回不去了……短短一句话，却说到让人心痛。            
(5星)	 蒋勤勤V5            
(5星)	 林心如那首片头片尾曲还是很好听的            
(4星)	 为何评分这样低？7都不到，诧异。不喜欢男主。林心如没什么演技，演什么都一样。蒋勤勤棒。            
(3星)	 到最後都木有在一起            
(5星)	 最爱蒋勤勤            
(NA)	 蒋勤勤挑战的角色，那个叫曼璐的女子。。。            
(NA)	 “世钧，我们回不去了”“就这样擦身而过，如果是注定的结果”            
(4星)	 我们回不去了。。。            
(3星)	 蒋勤勤的演技不是盖的。            
(NA)	 这部戏对还在上小学时候的我，算是个冲击，虽然当时我没感觉到。至今印象很深，从未忘记。            
(4星)	 主角们的演技都很不错。片头片尾曲我很喜欢，符合剧情。            
(NA)	 依然记得这句“我们再也回不去了”            
(4星)	 高考暑假的记忆，结尾惆怅            
(NA)	 呜呜呜呜呜呜            
(3星)	 比起电影 差多了            
(4星)	 那个追电视剧的年代啊~~            
(4星)	 都不敢一次看完，太凄惨了            
(3星)	 那时年少各种剧~            
(4星)	 个人觉得这版比97电影版的人物角色塑造更贴近原著...囧...            
(2星)	 电视拍的真心不行 不是那个感觉            
(4星)	 多给一星给蒋勤勤。            
(3星)	 啊蒋勤勤不错。            
(4星)	 蒋勤勤在我心中更加一分的一部戏            
(4星)	 里面的那首歌还可以···            
(3星)	 男女主角都不怎么待见            
(NA)	 在悲剧了            
(4星)	 蒋勤勤演得真好            
(3星)	 世均，回不去了。            
(3星)	 太久了             
(5星)	 哎！！！            
(5星)	 只记得那句“世钧，我们回不去了……”            
(5星)	 我们回不去了。            
(4星)	 又是当年看的很揪心的一部，好像最后没看完，记得阿奶很喜欢蒋勤勤            
(3星)	 我去 这个怎么可能是03 年的 ？？            
(4星)	 戏中喜欢蒋勤勤            
(4星)	 好像是根据张爱玲小说改编的吧，至今看的最纠心的一部电视剧，姐姐竟然如此狠心赔上妹妹的幸福，曼贞哭着说我们回不去了，至今还记得结局，曼贞拉着孩子在街上遇见世钧，擦身而过，各过各的生活。真的回不去了。            
(NA)	 哈哈哈，陪奶奶看电视剧的那些岁月啊。            
(3星)	 因为蒋勤勤看的。 可惜有情人终不能成眷属。            
(4星)	 歌好听啊，世钧，我们回不去了            
(5星)	 看一遍虐一遍，蒋勤勤演的太好了！            
(5星)	 勤勤的一大突破啊，那时很喜欢林心如唱的插身而过            
(4星)	 顾曼桢              
(NA)	 世君，我们回不去了…… 歌还是多好听的            
(3星)	 貌似是初三时放的，所以只有妈妈看的份，而我在旁边瞄几眼，对这类剧真得不太感冒。。还是黎明的电影版本好看。            
(3星)	 蒋勤勤不是以前那个清纯的水灵了            
(NA)	 第一本张爱玲的书就是半生缘，电影版和电视剧版都给我了遗憾            
(4星)	 经典的小说~~拍的也很经典~~            
(4星)	 更惋惜翠芝和叔惠            
(5星)	 蒋勤勤的演的太好了~            
(4星)	 個人認為，蔣勤勤在裡面演得很好，演出了一個舞女的變態與心酸            
(4星)	 我和爸爸妈妈一起看的            
(5星)	 我们回不去了 真的回不去了 时光带走了多少人。。。            
(NA)	 ( &gt;ρ &lt; ”)             
(4星)	 我们回不去了            
(4星)	 也蛮好看的            
(NA)	 迷梦中，化作一只风筝，随风漂泊相逢，在天涯尽头。            
(NA)	 挺惨的。。            
(3星)	 = =            
(4星)	 还是演出原著那种感觉了的吧。。刻骨铭心的爱敌不过一个别人重要，不管怎么样，再也回不去了。            
(4星)	 看时尚且年幼，不懂她们的挣扎，后来在新概念里看到写曼璐的，再次感受这个故事，很好。            
(4星)	 其实拍的真心不错了 电视和小说毕竟是两种感觉             
(3星)	 真心觉得曼帧和世均的某些部分拍的简直像是台湾偶像剧了，失去原本张爱玲的感觉。            
(5星)	 至少是当年哭过好几次的剧。。又看了一遍。。诶。。            
(4星)	 张爱玲            
(4星)	 她嘶声力竭的向他求救。可是他听不到。            
(3星)	 做作业的时候躲在门缝后偷看的，虐心            
(4星)	 蒋还是我眼中中国最美的女人。            
(5星)	 满是回忆的在街上拉着小孩擦身而过            
(4星)	 就这样擦身而过            
(4星)	 迷过一阵，很喜欢林心如在片中的演技，还有林心如唱的主题曲“我一直以为，能够这样，陪你到一百岁……”            
(3星)	 心如姐姐~            
(NA)	 比较凄惨。。。。            
(3星)	 片尾曲歌词不错            
(5星)	 真的演得很到位            
(NA)	 悲哀的悲剧            
(3星)	 这里蒋勤勤真不错....但整体没有张爱玲的感觉...            
(3星)	 一直觉得林心如不会演戏 虽然部部戏都是女主角 但是女配比她风头更劲            
(4星)	 虐的。。            
(5星)	 很爱，演员都很喜欢，蒋勤勤演的很好            
(3星)	 蒋勤勤和林心如争来争去，还是什么都没争到            
(5星)	 曼桢太可怜了！            
(NA)	 很多情节是那么真实，那么无奈，那么揪心。。。            
(NA)	 叹缘深份浅            
(4星)	 可怜的曼桢            
(NA)	 其实这版在我心中比电影版好。            
(3星)	 回不去了            
(4星)	 还行吧            
(4星)	 那个回不去的那句话 叫人一辈子都忘不了啊~！            
(4星)	 蒋勤勤好喜欢啊！            
(4星)	None
(4星)	 曼桢            
(3星)	 居然把幕槿去掉了             
(3星)	 我们回不去了。。。            
(2星)	 耸人            
(4星)	 主要是当时比较迷蒋勤勤，后来还找来十八春看            
(3星)	 看得我好苦B。。。。            
(3星)	 这简直就是一种罪            
(5星)	 结局看得我这个纠结            
(5星)	None
(3星)	 这个故事总是让人心悸。            
(3星)	 蒋勤勤转型之作。演的很好。            
(NA)	 有印象 有点虐 一贯是看不全            
(4星)	 当时看的还是很伤感的...            
(5星)	 也许不完满才更深刻，有遗憾才如此念念难忘。。            
(5星)	 这都是命，怨不得恨不得~~            
(4星)	 林心如这部演得不错            
(4星)	 &#34;我们，再也回不去了，回不去了“……            
(3星)	 还行吧 纠结啊 纠结            
(5星)	 很喜欢            
(3星)	 这太纠结了。            
(NA)	 哎，悲剧啊            
(3星)	 这部拍的还是蛮经典的。            
(5星)	 真悲伤            
(3星)	 我们回不去了。            
(4星)	 世均，我们再也回不去了、、、、            
(3星)	 總是不如小說.            
(2星)	 就断断续续看过            
(4星)	 印象很深            
(NA)	 世钧，我们再也回不去了……            
(4星)	 悲剧啊。。。。            
(3星)	 大二上现代文学课还排了这个话剧~虽然我只是一小旁白吧            
(4星)	 看不下来原著的，捡闲看看吧，但是还是喜欢电影版的，画面晦涩到作者的心间、眉眼。            
(4星)	 记得是初二，那个夏天，在补课，住在老师家里。当时她疯狂地追这个电视，年幼无知的我把张爱玲当风，哎。。。错过多少机会啊。。。            
(4星)	 那时觉得谭耀文好帅～不喜欢这个结局，一点都不happy ending            
(4星)	 有情人的命运交错。            
(NA)	 当时觉得林心如为什么要喜欢这个脸歪歪的男人啊             
(3星)	 最后世均和曼桢在屋里哭的稀里哗啦，言论着回不去的时候，诶，姑奶奶我也真的感慨了一把！            
(NA)	 只记得一句话，“世钧，我们回不去了，回不去了。。。”            
(5星)	 从这部电视剧开始喜欢上了林心如，很不错的电视剧呢~就这样擦身而过，一晃半生，恍然如梦，只是，曼桢，世均，再也回不去了。            
(2星)	 和姐姐一起看的            
(2星)	 虐死了            
(5星)	
(3星)	 就是不爱悲剧。╭(╯^╰)╮            
(3星)	 林心如蒋勤勤都是美女啊            
(5星)	 就这样擦身而过……            
(3星)	 不如梅艳芳版的好看。            
(3星)	 看過一點。美女多。            
(3星)	 很惨的爱情            
(NA)	 《擦身而过》。            
(NA)	 悲观而现实的爱            
(4星)	 啊！！！            
(4星)	 蒋勤勤很美            
(3星)	 觉得谭耀文好帅。            
(3星)	 记不大请            
(4星)	 唉。纠结的爱            
(4星)	 最後兩人街頭偶遇的場景至今仍是歷歷不忘，俊男美女也算本劇看點之一吧            
(NA)	 谭耀文演的不错~~~~~~~~            
(5星)	 为毛半生缘评分这么低            
(NA)	 最悲惨的爱情            
(4星)	 电影版的很经典 不过这个算是没太大差距的            
(5星)	 不太喜欢剧情。。。            
(5星)	 ！！！！！！！！！！！！！！我不明白为啥我看过的国产电视剧分数都不高            
(4星)	 印象 中蒋勤勤第一次演坏女人，也不能说坏，自私吧            
(3星)	 男主呆女主嗲，反而别的角色比较出色            
(3星)	 比起书真的差远了            
(4星)	 最爱那段，我们回不去了~~~~~~            
(4星)	 当年看得纠结死 怎么这么苦啊 好长啊            
(3星)	 记得当年还小，看得那叫一个阴暗哦~            
(5星)	 你是我的半生情缘，虽匆匆那年再也不相见。            
(4星)	 蒋勤勤演的好            
(3星)	 看的纠结，蒋勤勤演的很好啊            
(5星)	 回首半生匆匆 恍若一梦            
(4星)	 蒋勤勤演的很好，和以往的角色不一样            
(3星)	 我今天是在怀旧            
(4星)	 林心如装纯绝对一流 激情戏多点嘛            
(4星)	 蒋勤勤绝对女神啊！            
(4星)	 没看过原著，觉得很不错            
(NA)	 一生梦 半生缘。            
(5星)	 就这样擦肩而过            
(3星)	 噢 看得我超级痛苦 美好的事物被破坏总是会让人难受            
(NA)	 哎。            
(NA)	 悲剧的缘由不止一个，是她姐姐，是她妈妈，是她姐夫；也是他妈妈，是他后来的妻子，更是她和他            
(NA)	 看的第一部张爱小说就是《半生缘》，很讨厌沈世钧！！！记得当年看电视版时又哭。。。            
(4星)	 1.那时感觉林心如和我家勤勤演技都很好，不过比起勤勤，心如还是逊色点；2.难得看到勤勤演坏女人，真的演的很好，其实曼璐很苦的；3.当时相当讨厌胡可那个贵小姐，还有演《清河绝恋》里姓邢的那个人演的医生；4.结局太作孽，最终还是没在一起。我还郁闷世钧怎么生了那么多孩子；            
(3星)	 我觉得蒋勤勤演得好啊~            
(4星)	 暑假拿出来重温好了！            
(5星)	 多年后我依然记得。            
(4星)	 很悲很悲啊。曼璐的悲剧也导致了曼桢的不幸。            
(NA)	 好凄惨啊            
(5星)	 好伤心，为什么当我们成长之后，回头一看总是物是人非呢？            
(4星)	 当时哭死了！我们回不去了回不去了！一定要看原版十八春！            
(3星)	 勤勤            
(4星)	 这部，当时也很惊艳            
(NA)	 我算看过么？我看过，但是不敢完整的看。其实结局我也是看了的吧？？不太记得，只是知道太纠结太伤人，以前的我无法接受~~            
(4星)	 不及吴倩莲。            
(4星)	 张爱玲的本子，一个苍凉的结局。谁也无法改变的事实，我们都回不到过去了。            
(NA)	 就这样擦肩而过            
(NA)	 我小的时候真是看了林心如很多电视剧啊 导致我现在都不爱看她了            
(3星)	 这是一个惨剧。。。            
(3星)	 看的压抑             
(4星)	 很有味道，感人            
(1星)	 和张爱玲的作品完全不搭调，我都不想看完            
