http://movie.douban.com/subject/2284425/	天上掉下个林妹妹
(4星)	 小时候好喜欢的啊。。            
(2星)	 看到友邻添加才发现我看过，那年电视剧的女主们都在模仿小燕子~~            
(3星)	 電臺突然給我放SHE的愛情的海洋讓我想起了這個劇 雖然當年我看的津津有味 但如今想起它實在各種雷我不想推薦…            
(4星)	 当时觉得里面真正的林晓凡长的可像我们班一女孩            
(3星)	 挺搞笑的            
(4星)	 贵州            
(4星)	 片尾曲是SHE的，我们越过爱情的海洋啥啥啥的，还有王皓蛮帅的记得            
(3星)	 追看的挺认真~情节忘记的差不多了，但是吧，我特喜欢女生追着男生的戏码。            
(3星)	 呵呵呵            
(3星)	 现在想想好傻啊~            
(4星)	 很早很早以前看的了。。剧情我都还记得。。我觉得不错~            
(5星)	 你转过头来跟我说男主很帅 我其实想说 他有点像你知道么            
(4星)	 如果谎言能够给我们带来快乐，能够驱除阴霾，那我们为什么还要计较？只要爱情本身不是谎言就好了……            
(3星)	 小小年纪的我，只要是灰姑娘王子的故事，再狗血我也看得津津乐道啊...            
(NA)	 小时候看过的...            
(3星)	 小时候很喜欢。。。            
(4星)	 。            
(2星)	 我竟然看过这部雷片。。。。            
(4星)	 想当年觉得很有趣            
(5星)	 我当年多喜欢那个梳着双马尾清纯可爱的小姑娘…虽然现在回想起来情节是随便抽一本台言可见的老套，可是还是自有它的生动美好在里面。            
(3星)	 小时候看过，印象最深的是林妹妹，貌似因此认识了很多台湾搞笑艺人~~            
(4星)	 很喜欢！！！！！   即使现在也能一下子回忆起来当时看到此片到处想跟人推荐的热切心情啊——这是我爱一个东西的最高体现 （就是男主不算帅啊）            
(3星)	 挺搞笑的            
(3星)	 很久以前的片子了            
(3星)	 剧情还行，李佳璘很漂亮啊~            
(3星)	 怎么说呢.....我喜欢哥哥            
(3星)	 小时候没啥看的            
(3星)	 在很久很久以前...            
(5星)	 好看。好经典。            
(3星)	 过年时等着看            
(4星)	 那时候蛮那么事的            
(3星)	 记得以前看的时候，总是笑个不停。            
(4星)	 小学好喜欢= =尤其喜欢片尾曲 SHE的 什么什么爱情海            
(NA)	 SHE            
(4星)	 话说当年还挺痴迷的            
(5星)	 轻松 搞笑  不错            
(3星)	 搞笑            
(NA)	 哇，还是小时候看的            
(NA)	 3.5            
(4星)	 my girl 跟这部片剧情很像             
(3星)	 又雷又挫            
(4星)	 小学时候看的，那时候觉得真好看~还是很有爱的兄妹恋呐            
(3星)	 她的梦中情人每天早餐都吃麦当劳。。。。咳咳            
(4星)	 还记得片尾曲是SHE的《爱情的海洋》            
(4星)	 其实不怎么记得剧情了，只记得初中时候追得很High~片尾曲是S H E的《热带雨林》呢~            
(NA)	 很囧            
(5星)	 10年前的喜剧有些情节现在还能笑抽。想不到市侩的婶婶竟然是大美女傅艺伟。不明白豆瓣评分这么低，棒子的My Girl就是完全抄袭它的好吧。。。            
(4星)	 嘿嘿~            
(3星)	 还是 she的片尾曲            
(4星)	 很搞笑...            
(3星)	 我想说我看的分明是电影……            
(NA)	 纯粹垂涎王皓的美色。            
