http://movie.douban.com/subject/2252747/	第三类法庭
(5星)	 我突然有印象了！我小时候居然看过的哈。            
(5星)	 小时候非常喜欢的电视剧，不管是情节和人物都非常丰满            
(5星)	 当时大爱邵美琪演的“韦海怡“。。。。            
(3星)	 看不懂，但是听朋友给我说剧情觉得还不错            
(4星)	 喜欢马中宝这种可爱的人            
(3星)	 吴丹~我的好朋友，你还记得当时我们一起讨论剧情，一起逛街的那段美好时光吗？            
(5星)	 青蛙和蝎子。我们是青蛙也是蝎子。            
(4星)	 我就是那个时候喜欢老邵的```            
(4星)	 青蛙和蝎子的爱情故事            
(NA)	 香港，这个华丽而悲伤的城市。            
(4星)	 很不错            
(4星)	 邵美琪好凶悍！            
(5星)	 灰色的作品。看了很难过。温邵都是骨灰级的演家了。其他人也都演的很好。            
(4星)	 看不懂            
(4星)	 青蛙            
(5星)	 到现在还记忆犹新.没想到是我第一次见到wallace的戏啊。            
(4星)	 邵美琪 可以凭这个 拿当年香港的电视剧奥斯卡            
(4星)	 很老的一部戏，不过拍得很不错，当年的邵美琪很有魅力。            
(5星)	 我高中的最爱            
(4星)	 独独喜欢伍卫国。            
(4星)	 青蛙与蝎子            
(NA)	 大爱。            
(4星)	 总觉得其中的母女关系很像亦舒的书里经常写的：圆舞或是心扉的信            
(5星)	 宝爱怡            
(4星)	 “青蛙与蝎子”。邵美琪的美将性格上的硬溶于容貌和气质中的温，拷问的时候并不咄咄逼人，而是暗自感伤……一伤很多年。            
(5星)	 温兆伦演一个傻瓜。。。            
(4星)	 现在想来依然很另类的剧设。            
(5星)	 女主你哭得好伤心  ...            
(5星)	 儿时的记忆真是珍贵啊            
(5星)	 超爱！            
(3星)	 青蛙与蝎子的故事，人格缺陷之教材课程。            
(5星)	 好到不敢重看怕重看了就没有那么好啦！            
(5星)	 十多年前看的到现在印象还很深刻，主题曲和插曲都很好听~~            
(5星)	 老片            
(5星)	 小学时候看的，记得最后邵美琪把温兆伦推下飞机那段……            
(4星)	 曾经我很喜欢邵美琪的            
(NA)	 小时候就喜欢温sir            
(4星)	 小学时看的，那时的港剧都是经典。            
(5星)	 这个绝对力荐~~！            
(5星)	 像九十年代很多港剧一样，这部也包含了两代人之间矛盾以及年轻人在世道之中命运的纠葛。看了四遍，却写不清剧中的感情和涵义，“茫茫漫长夜，求风声休笑我”            
(5星)	 邵美琪偏执的惊艳~   每个人头上都有一片青天            
(4星)	 666            
(3星)	 阿诺好可怜。。            
(4星)	 宝爱怡 天注定 无法变             
(4星)	 好看！            
(3星)	 主题歌和英文名严重剧透~            
(3星)	 音乐居然是两生花~            
(5星)	 有点心理学趣味。            
(3星)	 好老啊            
(5星)	 当时看的血泪连连            
(5星)	 大爱邵美琪            
(3星)	 当年的邵美琪            
(4星)	 青蛙王子            
(5星)	 蝎子和青蛙            
(4星)	 这片忒深刻，当时看得似懂非懂。蝎子的比喻很深刻。            
(4星)	 儿时记忆啊 当时看的那个纠结            
(5星)	 经典啊            
(5星)	 那时候开始喜欢温SIR的。小学六年级看的，太沉重了，搞的我后来很早熟，唉~            
(4星)	 海怡啊海怡            
(4星)	 当年看的,看时还挺惊心动魄            
(3星)	 你看我从小就受港片的毒。            
(NA)	 现在看邵美琪还会发抖~三个人都是神经病            
(5星)	 蝎子和青蛙的故事            
(5星)	 喜欢邵美琪！            
(4星)	 郭蔼明            
(3星)	 1994            
(5星)	 很喜欢里面的邵美琪            
(3星)	 蛮好看的...温兆伦后来变坏人了...            
(5星)	 剧本和演技都太牛比了            
(5星)	 第三类法庭指媒体\他人的言论,人言可畏,其力量足以形成对个人的审判,甚至足够毁灭一个人.我想很多80后跟我一样小时候都没有看懂这部剧,长大了回想起来才领悟它真的不比沙非和戈顿的故事那样简单            
(4星)	 我至爱的港剧之一，后来长大看到重播还是会声泪俱下。青蛙和鞋子的比喻，在我小小年纪，就深深印在心里。            
(4星)	 这是我第一次听到青蛙和蝎子的故事            
(3星)	 他说，她是他的青蛙公主            
(4星)	 邵美琪也太过硬朗了   印象最深的是那个跛子坏蛋碰了一大束马蹄莲  用紫色的纸包着  太漂亮了            
(4星)	 青蛙和蝎子的故事 还有最后邵美琪的大鼻涕            
(4星)	 Maggie的演技            
(2星)	 看这部片感觉有点怕~            
(5星)	 某想知道它的所有配乐。重看只认出了《两生花》            
(5星)	 触目惊心            
(5星)	 满残忍的电视剧。TVB早年的用心果然比现在多得多啊。            
(4星)	 邵美琪的演技展现得淋漓尽致            
(3星)	 此剧中的邵美琪好有灵气，现在。。。哎。。。            
(4星)	 独特的人物            
(5星)	 又是一经典            
(4星)	 最近重温了此剧，感触很多。或许蝎子的本性就是邪恶的，只不过隐藏起来罢了，只有遇到真正善良的青蛙，蝎子才会真正地蜕变。            
(5星)	 印象中很好看，邵美琪很漂亮            
(5星)	 港剧的颠峰            
(5星)	 印象最深的就是青蛙和蝎子的故事            
(NA)	 我还真从头到尾看过，跟婆婆一起看的            
(5星)	 至爱            
(5星)	 十年后的重温。            
(NA)	 良心            
(4星)	 我覺得這簡直是邵美琪巔峰之作！連美貌都那麼不可一世的巔峰！            
(4星)	 当年邵美琪还是挺漂亮的            
(5星)	 不管它是不是最强大的港剧，却有着港剧中塑造最佳的女角：韦海怡。邵美琪当年好漂亮，那种让人一见就充满好感，再见就无可自拔的魅力。另外这片她真是神演技。虐啊。            
(5星)	 人性和爱情。            
(4星)	 已经记不清了 有时间回温下            
(NA)	 找机会再重温一下。            
(5星)	 邵美琪身上有种偏执，决绝，略带神经质的美感，太迷人了~            
(3星)	 记错了，这个应该是5岁的时候看的第二部TVB剧集，当时邵美琪还是美的。这两天返回去回顾发现剧情真搞…莫名其妙有个女的没任何理由就处处针对自己女儿的，还在明知女儿被冤枉作伪证的。还有个只会看书的弱智突然就变好了。编剧真的好没常识啊，小时候的我真好骗啊~            
(4星)	 邵美琪真美            
(3星)	 哦哦，当年的老经典了            
(5星)	None
(3星)	 有点太玄乎了。。            
(4星)	 邵美琪那时真是惊为天人啊            
(5星)	 很喜欢周予诺            
(5星)	 介个介个 我激动到难以自持 太爱了爱了爱了 没有一个人不爱的 之前先是喜欢了邵美琪和温兆伦 后来喜欢了伍哥哥 他死的时候把我伤心坏了 呜~            
(NA)	 邵美琪            
(5星)	 韦海怡你虐死我算了            
(4星)	 青蛙王子和蝎子的故事。            
(4星)	 小时候的回忆 诡异的片子 阴沉的天气 迷幻的 “墙” 笼屋 印象深刻            
(5星)	 特别纠结的三重故事。。。其实俩个人就好，女二号真的很讨厌装傻充愣扮可怜PS.邵美琪惊艳啊，我就是被剧照吸引过来的啊。。。            
(4星)	 其实记忆比较模糊了，只记得当时觉得邵美琪好漂亮。还有那个关于青蛙的故事貌似还有点记忆            
(4星)	 邵美琪蛮耐看的。            
(4星)	 小时候            
(4星)	 记得青蛙和蝎子的故事            
(5星)	 那句话说：齐浩南之后，港剧再无可恋之人。同样的，韦海怡之后，港剧再无更出彩的女子。怪的是，怎么都是蝎子啊！！！            
(4星)	 蝎子，青蛙，小恐怖            
(4星)	 当她告诉他撕掉的那一页上写着“宝爱怡”时，他表情千回百转，前尘往事涌上心头，然后终究眉一皱头一偏，起身微笑迎着阿诺去了。            
(5星)	 激烈的冲突,无法化解的仇恨,肮脏的交易是整部戏的基调,里面几乎没有一个人是正常的,如出一辙的偏执.因为这部片,爱上了温兆伦,邵美琪,郭霭明,伍卫国,甚至对反派英杰也印象深刻. 心中永恒的经典            
(NA)	 当年很爱这部            
(4星)	 有次电视台重播，很好看~            
(5星)	 年少时对于爱情阴暗的记忆            
(4星)	 当年喜欢邵美琪到一个境界 XD            
(5星)	 青蛙王子的故事~            
(5星)	 青蛙与蝎子 宝爱怡            
(4星)	 剧情太压抑， 那时年少的我看的很纠结啊            
(4星)	 这是我们家接上有线后，我看的第一部港剧，认识的第一个港星就是温兆伦。温兆伦、邵美琪和郭蔼明，很喜欢这三个人在戏里的表演。            
(3星)	 很多评论都赞邵美琪,但这部剧里,我还是最喜欢郭蔼明的周予诺.或许一直以来,中宝真正爱的确实是海怡,然而她却在复仇的过程中将他一步步推离自己身边,终于导致无法挽回的结局.最后的最后,中宝已经不再记得海怡,但却终于慢慢记起了予诺,记得她对自己好,记得两人的金鱼,所以我们暂且相信一次:            
(5星)	 善与恶，黑与白，举头三尺是否有神明？直指人心的一部电视剧            
(5星)	 青蛙和蝎子            
(5星)	 童年的回憶，一世的經典            
(4星)	 蝎子与青蛙            
(4星)	 如果蠍子没有过河。            
(3星)	 那么老的港剧，居然直到最近才看。剧情还可以，只是结局太狗血了。中宝最后那样那样了，让把33％股权送给他的湛大侠情何以堪啊啊啊啊啊……            
(5星)	 曾经的最爱            
(3星)	 小时候电视台有播这电视剧 当时没怎么看 还以为是律师打官司的电视剧 最近找出此剧重温的 邵美琪年轻的时候很清冷啊  看现在的邵美琪胖了老了 唏嘘            
(4星)	 TVB也有意识流的好剧本            
(NA)	 邵美琪，巅峰时代。            
(5星)	 今天突然想到了蝎子与青蛙的故事，然后便想到了还年少时看的这部电视剧，至今仍觉得邵美琪的演技赞到死！！！            
(4星)	 这么多年念念不忘~90年代初啊，这故事真算得上惊世骇俗了            
(5星)	 青蛙背着蝎子过河…………             
(5星)	 海怡是个可怜的女子，尽管她容貌美丽、能力出众。这样的女人被伤害后反击是可怕，会不惜玉石俱焚的执着于复仇。真心希望天下的女纸都能幸福            
(3星)	 太过黑暗            
(5星)	 青蛙与蝎子的爱情，这辈子也忘不了。            
(5星)	 邵美琪当年不是盖的            
(5星)	 当年爱死了好吗!!!温兆伦那会儿简直就是一正太啊!!!!!!            
(4星)	 青蛙王子与蛇蝎美人            
(5星)	 这个悲情的女人让我小时候没少为她发愁。            
(5星)	 娘子！！！！！！！！！！！！！原来叫这个名字呢！            
(4星)	 邵美琪演得好好，她走火入魔了，温兆伦也爱她爱到走火入魔。可惜了我家可怜的郭蔼明。。。            
(4星)	 这部剧当年挺火的，温sir正当红            
(NA)	 终于看到了，大爱，宝怡恋啊            
(5星)	 那一段时期TVB出了很多好剧            
(4星)	 邵美琪曾靚過......            
(5星)	 温兆伦演好人也能把我迷成这样！！！当年爱死马中宝了！！！！            
(5星)	 这个时候的邵妹妹还是很漂亮滴。            
(4星)	 早期的经典！            
(5星)	 当初我觉得我没看明白这电视。但是再看青蛙与蝎子的故事竟然把我看哭了。海怡不知道，青蛙决定不背蝎子过河了。            
(5星)	 毒蝎子和青蛙王子            
(5星)	 韦金玲就是个大骚货            
(5星)	 青蛙与毒蛇的故事，审判的不是事件，更是人性            
(4星)	 蝎子和青蛙王子的故事            
(5星)	 现在回看还是会心痛流泪的好片            
(4星)	 蝎子跳在青蛙的背上以过河，但却在过河时叮了青蛙，两者最后都被淹死~每每看到这个故事~都让我想起邵美琪和温兆伦...................            
(5星)	 不是一遍就能看懂的，每多看一遍就会有更深刻的领悟。            
(5星)	 韦海怡，马中宝，周予诺。嗯，一直记得。书上的字：宝爱怡。温兆伦的《青蛙公主》好听，邵美琪好漂亮！            
(4星)	 总是想起这部片子的情节，今天总算知道名字了。中宝是不是拖累，没有定数。            
(3星)	 拍得很简陋 剧情还行 MAGGie 邵 很美            
(5星)	 宝爱怡            
(4星)	 天蝎座冷酷狠毒的女人            
(5星)	 很久之前 青蛙和蝎子的故事            
(5星)	 青蛙和蝎子            
(5星)	 这里的邵美琪是记忆中最美的短发女人            
(NA)	 很深刻            
(5星)	 其实我一直喜欢的都是乔大宇，不过这只是个青蛙和蝎子的故事。。。。            
(NA)	 善良的心被禁锢，渴望心灵相互支持，渴望温暖，青春的横冲直撞，撞的遍体鳞伤。善良的青蛙会背蝎子过河，她会杀死青蛙吗，女主几乎崩溃的心，因为所有所有人将她的善良毁灭，那么多人指责，到最后已经不敢触摸那颗善良脆弱的心，蝎子不会杀死青蛙，只是她不敢面对自己，因为她还是那个善良的公主。            
(NA)	 我一度觉得这片所展现的一切都体现人性的丑恶一面霍根 。有的时候人在江湖身不由己。一度自己也这样做人过！            
(5星)	 小学看的，主角性格超像那时的我。            
(4星)	 经典的青蛙和蝎子的爱情故事。            
(NA)	 ６６６页，宝爱怡。            
(5星)	 初三那年看得我五米三道。最后一集时哭的鼻涕眼泪一大把。把我娘吓了一大跳。蝎子与青蛙的爱情，多么深刻的电视剧阿那时候爱死了温兆伦。            
(5星)	 很讨厌邵美琪            
(4星)	 青蛙王子和蝎子~            
(3星)	 不记得结果了            
(3星)	 可能欣赏不了以前的经典剧。情节的转变，人物的性格，都有点让人难以置信，难道是时代变了，价值观变了？不过，喜欢温兆伦哈。。。            
(4星)	 永远记得最后在监狱的那段。。结局悲了点啊。。            
(5星)	 谁能比我还爱马中宝            
(5星)	 温兆伦和邵美琪的又一个经典            
(4星)	 美女 女王气场            
(NA)	 去年十月，我对小王子说邵在珠光宝气中老的有些不忍睹。小王子推荐我看这部戏，就如同领了圣旨一般熬夜看完。欣喜小王子也被邵美琪惊艳过。            
(5星)	 看得我好心疼~~            
(5星)	 经典。我爱韦海怡。            
(5星)	 小时候的我看到温兆伦带着厚实的手套吻邵美琪的那一幕真是美呆了...一直问爸爸&#34;为什么他和她一样大,却叫她海&#39;姨&#39;&#34;... 那时候老师教了查字典,不敢查666页...为嘛小时候的电视剧都那么好看= =            
(5星)	 延续港剧一贯的错综复杂、离奇曲折的故事情节。不过极其精彩            
(NA)	 初中时最喜欢的男演员            
(NA)	 海怡这么理智的人 最后会疯掉 我很意外             
(5星)	 杯具！大杯具！            
(5星)	 青蛙与蝎子。。。。喜欢那只蝎子            
(5星)	 青蛙王子，那时候好喜欢郭蔼明，后来得知嫁给刘青云，真好！！！            
(3星)	 马中宝、乔大羽~海怡捡到宝了            
(4星)	 韦海怡！中宝！公主和青蛙王子！            
(5星)	 当青蛙爱上了蝎子。。。邵美琪曾经如此的美艳！            
(4星)	 很小时候看过，虽然忘记了大部分内容，但是忘记不了自己哭的好伤心            
(4星)	 我一直记得。青蛙和蝎子的故事。            
(4星)	 那时候小学一二年级，天天和爸爸一起追看。            
(NA)	 我只想知道，她会不会后悔，终于让马中宝成为了一个正常的人。            
(5星)	 当年看完这部剧买了我人生中的第一张专辑，温兆伦也成了我人生中第一个正式的偶像~虽然记忆有些模糊，但是还是记得这部戏对人性的刻画十分深刻。            
(5星)	 那会儿的电视很生猛很压抑的感觉            
(5星)	 毒蝎子            
(4星)	 很好~~            
(5星)	 邵美琪的演技是可以的            
(5星)	 小学时代最爱那时候咋就这么沉重            
(4星)	 青蛙和毒蝎子的爱情故事。。。温兆伦和邵美琪在里面的角色都很有特点            
(5星)	 童年滴回忆。那只青蛙滴故事。很爱那时候滴邵美琪            
(5星)	 印象深刻的老电视剧~喜欢蝎子般的邵美琪！            
(5星)	 喜欢那个乔大羽~~            
(4星)	 好看。            
(5星)	 说来有些好笑，他是我小时候的偶像。。。（不过，当时他的演技，真的不错~）            
(NA)	 温兆伦邵美琪，哎呀呀            
(5星)	 确实是经典，港剧在写人物的命运来说这部绝对是巅峰，大时代有些拖沓，这部戏简直是后来tvb女子戏的开山始祖，都是因为某某问题复仇，具体如安茜，焦玉，但是没有一个写的像海怡那般血肉丰满，可以和海怡并论的只有atv雪花神剑里的小凤了，他们的命运背负很多但却由不得他们选择，            
(4星)	 乔大宇死后就走偏了            
(4星)	 就记住什么青蛙蝎子了，哇塞小时候啊小时候            
(5星)	 蝎子和青蛙的故事            
(5星)	 青蛙与蝎子            
(5星)	 好看的。。。温兆伦当时的演技真是没话说。。。            
(3星)	 后面结尾太粪了            
(5星)	 曾经的回忆            
(NA)	 青蛙&amp;蝎子            
(4星)	 当年就看得很纠结的一部剧~~温兆伦+邵美琪，当时多辉煌的荧幕情侣，是可惜温兆伦继续男二反面路线，邵开始演母亲阿姨桑……            
(5星)	 印象最深刻的港片之一，半夜一个人看完后，躲在被子里痛哭。            
(3星)	 那时候温兆伦红的……            
(5星)	 除了结局，真的经典            
(4星)	 当年的邵美棋 迷的俺呦            
(4星)	 小时候超喜欢看~            
(5星)	 我最爱的港剧            
(5星)	 人心的审判。            
(5星)	 传媒良心！            
(5星)	 冷艳的邵美琪。很多人觉得她并不漂亮，我觉得她是极品            
(5星)	 小学看的，超喜欢…有机会想再看一遍            
(4星)	 记得当年很喜欢看啊，温兆伦是当时的港剧王子~            
(5星)	 经典中的经典。马中宝：明月如霜，好风如水，清景无限。            
(NA)	 邵美琪和温兆伦            
(5星)	 那时候邵美琪的瓜子脸啊～            
(5星)	 曾经一年的寒假或者暑假迷恋            
(4星)	 温兆伦与邵美琪的又一次合作            
(4星)	 是做人下的青蛙还是人上的蝎子? 青蛙和蝎子与香烟和火柴有着同样的爱情……            
(5星)	 只记得最后一幕，邵美琪在监狱见到痴呆的温兆伦，虽然鼻涕眼泪一起下，有些不雅，但场景还是很感人：“宝爱怡，书上写的是宝爱怡啊。。。”            
(4星)	 温兆伦和邵美琪曾经很搭            
(5星)	 音乐，剧本，角色，无可挑剔。            
(3星)	 其实我承认这一部温兆伦的角色并没有以前做坏人的那么出彩。            
(NA)	 非常经典印象又深刻的港剧，觉得那时候的港剧部部经典，温兆伦和邵美琪的演技真的非常出色            
(4星)	 当时看好好看的，邵美琪的演技都从眼泪和鼻涕上体现出来了            
(4星)	 看了很多遍，还是蛮好看，主题曲很好听滴......原来也有青蛙公主的~            
(4星)	 当时超级喜欢，边写作业边看，边挨骂边看。            
(NA)	 经典呐~~            
(4星)	 青蛙与蝎子的故事莎菲爱哥顿宝爱怡即使海怡失去一切，依然不会失去中宝的爱            
(5星)	 大爱乔大羽啊            
(5星)	 大爱            
(3星)	 记得青蛙和蝎子的故事 邵美琪好美啊 蛇蝎美人那种 还有PinkFloyed的音乐            
(3星)	 青蛙王子，千纸鹤            
(2星)	 美琪太做作            
(NA)	 好久远            
(5星)	 青蛙与蝎子。。。记忆呀记忆            
(5星)	 青蛙爱上了蝎子            
(5星)	 纯真无邪马中宝 独独爱蝎子 纵海跳 惨            
(4星)	 乱~            
(5星)	 已经看了N遍，每次心里都一样泛起波澜，感触很深，影响很大！            
(4星)	 邵美琪演得太用力，但女主人公的性格我喜欢，去年冬天买来复习的。            
(5星)	 永远记得青蛙和蝎子的那个故事。。。。            
(4星)	 邵美琪年轻的时候真美丽，不演奸角的温兆伦也很可爱            
(NA)	 满变态的一个剧集            
(5星)	 很多年前的戏，当时不明白很多，很想再看一边            
(NA)	 小学时的最爱            
(4星)	 蝎子和青蛙的故事，爱就是这样，再被伤害，也不疼            
(4星)	 一个扭曲的灵魂。            
(4星)	 那時候的邵美琪很漂亮            
(NA)	 童年的回忆～～            
(5星)	 喜欢邵美琪            
(5星)	 超好看的!!!!!            
(3星)	 全部忘光。。。            
(NA)	 海怡~~经典中的经典            
(NA)	 也是很喜欢的            
(4星)	 小学看的。印象模糊但是青蛙蝎子 印象很深            
