http://movie.douban.com/subject/2363972/	笑着活下去
(2星)	 太鸡巴戏剧了！整个一中国版莎士比亚悲剧集，还他妈山寨类型的。太悲催了。如果没有黄海波我估计这剧更有失观众了。            
(5星)	 才看了几集，就有点看不下去了，那个许剑峰真是个窝囊废，看着自己爱的女人受欺负还跑掉了，这样的男人还算男人吗？去死算了！            
(4星)	 跟着我妈看的..            
(5星)	 雖然灑狗血但是好看好久沒看那麼多集的戲了  37阿            
(4星)	 看的鬱悶死            
(4星)	 杨文榜越看越喜欢=.=，依照常理我应该不会喜欢这片子才对的，太诡异了。            
(3星)	 用各种桥段虐女主的电视剧……            
(4星)	 还行，小诺真的是很善良。            
(5星)	 暑假的回忆啊            
(5星)	 亲情码、奶奶的最爱            
(NA)	 烦             
(4星)	 最喜欢可爱的姚芊羽            
(NA)	 坎坷            
(4星)	 喜欢黄海波，坏坏的好人。。。            
(4星)	 姚芊羽经常拍这类励志型的电视剧，感觉长相不太符合，不够强悍。            
(NA)	 09年暑假一个收获            
(3星)	 表面上很坏。骨子里很好。要看穿并嫁给这样的人可不容易。            
(4星)	 这才是励志电视剧，主人公让我很感动，我看了好几遍~~~            
(3星)	 很励志            
(NA)	 女主角真的很堅強，賺了我無數的眼淚，怎麼會有那麼命苦的女孩子，好在最後的ending還令我滿意            
(3星)	 太假了，不过还是挺喜欢张恒演的杨文榜那个前妻的            
(5星)	 苦命的孩儿，我为你祈祷~            
(3星)	 暑假无聊闲时看看...            
(4星)	 乖乖啊、我跟我娘是看的不亦乐乎哇            
(NA)	 太催泪了...啧啧             
(3星)	 总的来说很好，有时候悲情得有点过            
(2星)	 可恶的哥哥            
(3星)	 姚芊羽怎么尽是悲的            
(3星)	 为虐而虐的感觉            
(4星)	 日本有个记录片叫《含泪活着》，            
(4星)	 高三的时候每天晚上回去一边吃泡面一边看，跟外婆一起。            
(1星)	 不知道是编剧太傻逼还是导演脑子进水了，或者是我太阴暗了，女主实在欠扁，一秒都不想再看下去，还励志？笑着活下去是没错，可也不至于善良到了迂腐，假惺惺，自从看了这部剧后，凡是女主演的片子俺都不待见，我没看过大长今，不过要是大长今就这水平，应该也不会那么红，总之让人无语的一部电视剧            
(NA)	 姚芊羽怎么老是这么苦情……            
(4星)	 晏阳很坚强            
(4星)	 笑着面对生活中的无奈。            
(4星)	 感人。。。            
(2星)	 为了表现坚强 只好让她衰神附体            
(3星)	 我看完第六集这苦情戏。兴趣大减。。长大的女主角她哥比内医生好看。。我不是相貌协会额。。            
(2星)	 “懂得微笑，人才不会，在困境中恐惧......”多棒的意义，就是哭戏太多了有点让人反感，而且现实中有这么离谱的妈妈吗？            
(4星)	 很感人            
(3星)	 因为比较早，所以还可以忍受忍受......            
(4星)	 杨文榜太可爱了……            
(4星)	 我爱杨文榜！            
(3星)	 高三暑假看的了  里面人名字都挺俗的。。            
(NA)	 的确赚人眼泪，我很少看类似的电视，这部看完了。喜欢男女主角执子之手与子偕老同生死共患难的感情。            
(5星)	 看的时候，那个叫做晏阳的人，让我很是感动            
(5星)	 坚强的生活下去            
(2星)	 里面杨幂好漂亮~            
(3星)	 我都替女主累的慌，哎            
(NA)	 姚芊羽饰演的阿梅,我相当喜欢,喜欢姚芊羽的淡淡的执着,黄海波把那种大爱,那种想要对方过得好的感情表现的淋漓尽致,仿佛这就是真正的生活            
(NA)	 感动了~            
(NA)	 一直都没看电视的习惯，这部戏是偶然的一次打开电视看到的，然后就一直追，故事的内容跌宕起伏，耐人寻味，很值得看一看。            
(NA)	 因为女主角跟英语老师长的很像才看的。            
(NA)	 讨厌那个后妈，可恶的不得了             
(4星)	 這才是 柔中帶剛！            
(4星)	 女主角的笑真的很美            
(5星)	 晏阳长的挺漂亮的            
(NA)	 绝对的感动，哭的是人，不哭的是鬼。太喜欢晏阳了和文榜了。            
(4星)	 杨文榜！！绝对爷们儿！要嫁就嫁这样的            
(4星)	 我 知 道 我 有 點 老 年 態 了            
(NA)	 人生是一场戏，生活是导演            
(4星)	 黄海波&gt;&lt;            
(NA)	 晏阳用行动告诉我们。只要你想，就要微笑着。微笑是可以化解一切痛苦和敌对的目光，而和世界成为朋友的。            
(NA)	 笑的很动人，            
(5星)	 好看 太好看  我能重复看三遍            
(3星)	 我非常喜欢杨文榜TUT            
(3星)	 阿尤，演员们真是选得太好了！！贵妇妈妈终于不是又矮又胖一脸福相了。没想到我们出了这么多能演流氓的男演员~~~演得不错！虽然黄海波就是在拉板车的时候也要穿西服这点有些荒谬，不过谁叫他穿的这么有感觉呢，只好让观众和在看好莱坞大片时总对荒唐的场面视而不见一样来看待他的西服。            
(5星)	 青春励志            
(3星)	 很好看 不过有些情节不太真实            
(5星)	 很煽情            
(3星)	 笑着活下去,哭着看下去            
(NA)	 看了大部分            
(NA)	 确实笑起来很好看的女孩            
(NA)	 生活中你我都会感到苦涩.笑着活下去有时比哭还难.            
(5星)	 好喜欢千羽哦            
