http://movie.douban.com/subject/3105273/	樱野3加1
(1星)	 烂剧 又臭又烂 第一回知道原来有好演员不一定会出好剧 演技果然不是一部剧的灵魂 剧本最重要 烂 简直烂到无以复加！！！！！！！！！！！！！            
(3星)	 偶像剧的特点是看完就忘。。。高中不知道啥时候看的，现在都没啥印象 了。            
(NA)	 没看全 印象不错            
(5星)	 还不错，支持乔恩            
(4星)	 觉得很好玩呢  除了爱情 也还有很多看点            
(NA)	 范植伟出来后把我秒了 好吧，我眼瞎了╮(￣▽￣&#34;)╭             
(3星)	 搞不懂            
(3星)	 忘了哟            
(2星)	 当年居然看过此片            
(4星)	 哼哼，明道跟乔恩的气质真搭            
(3星)	 剧本太烂= =|            
(3星)	 台剧也就这样了。            
(3星)	 中间有段托太久了。            
(3星)	 很不好意思地说。。。我现在还迷恋这种小孩喜欢的东西。。。            
(3星)	 明道陈乔恩再次合作却没有多少火花。。。也许王子变青蛙很难再续了吧。。。            
(5星)	 挺喜欢乔恩，明道的，加油！            
(2星)	 一群快三十岁的人了还演高中生。。。。            
(4星)	 看过前面            
(4星)	 这个可以算是好看的了，不是出片的时候看的，还能有这样的感觉的还是蛮难得的            
(3星)	 此剧最大的收获是知道了范植伟            
(4星)	 还不错，阿将~~~~可爱的几个人            
(3星)	 明道…是我追星史上的污点啊QAQ            
(3星)	 加一星给青梅竹马、男主傲娇，本来很有爱的，可这是什么坑爹的剧情发展。。。            
(3星)	 忘记剧情了            
(4星)	 看完了竟然难过了，我怎么那么喜欢你们在一起！            
(NA)	 被片头骗了            
(3星)	 但是我能预想到发展- -就不想追了~看了一集            
(4星)	 居然还能演十几岁的小孩。。有点意思～～            
(5星)	 五颗星，给前7集，给那个夏天的美好回忆            
(3星)	 明道和陈乔恩真是配，不过这部剧的剧情有点雷人            
(5星)	 这部剧很感人呢？不过结局也很完美呢？大爱啊！加入了校园、现实、案情、爱情、动作等等元素成为了一个完美的故事！明道和陈乔恩的完美演出真精彩！真的不错呢？珍藏咯！            
(3星)	 前几集不错，后面太狗血了吧。。。            
(3星)	 没看完，没看完            
(3星)	 我們都想獨自承受。            
(2星)	 天那为什么都要这么雷            
(1星)	 囧死            
(4星)	 範植偉殘了            
(NA)	 明道的又一部比较好看的电视剧            
(1星)	 其实我想说，看看你们的年龄，实在没法演学生了            
(2星)	 其实前面很好看的，结果一半以后......可不可以不要加那么多狗血的暴走啊。            
(4星)	 明道和陈乔恩的装嫩之作(其实整部戏的演员都很装嫩。。),不过他俩真的很配~~            
(3星)	 那些青春激情的岁月，友情爱情的交叠~~            
(3星)	 还不错            
(3星)	 我想说如果不是明恩我不会去看这部电视剧。不过黄志玮在里面还是很帅哒，不减魔尊重楼的范～            
(4星)	 算是以前台湾偶像剧很不错的了            
(NA)	 明道~~            
(3星)	 27岁的女人出演的高中生，这是怎样的挑战？男孩子气、单纯、爽朗的夏天留在我的记忆中。            
(3星)	 依然陈乔恩，，，和明道很搭。。。            
(3星)	 笑死老娘了 看前面10集左右就OK了。。后面是狗屁。。。            
(5星)	 很好看。不是说剧情多好看，或者是造型多好看，而且整个剧里面散发出来的年轻活力的感觉。明道陈乔恩在剧里面的斗嘴，吵闹都给人一种回到小时候的感觉。年轻人的天不怕地不怕，年轻人的单纯的感情，年轻人的冲动都被演绎得很好。            
(3星)	 这个片子我记得还有另一个很雷的名字~叫黑道**的~~窘~            
(NA)	 有一种简单的爱情叫做只要和你在一起(结尾还有有点烂啦。。)            
(3星)	 其实我蛮喜欢这种欢喜冤家的。            
(3星)	 虎头蛇尾            
(4星)	 挺帅的~~~            
(NA)	 嗯嗯~            
(5星)	 不论剧情如何，单单其中这这段爱情，都是很值得去回味的，而让我感到惊喜的是，许久不看电视，竟然在一部自己一向轻视的偶像剧中看到了自己最喜欢的偶像的影子，或者说他们是相同的人，这也算是一大收获啦。            
(2星)	 前面很赞，后面很烂            
(4星)	 剧情不怎么样，但是感情很真挚，表演很到位。喜欢明道和陈乔恩            
(3星)	 剧本不好啊！幼稚！            
(3星)	 收视率那叫一个低呀            
(2星)	 以前一周一集等的，越后面越难看。            
(4星)	 不给编剧 不给演员 四星只送给如此执着的爱情 希望世上真能有如此执着的存在            
(3星)	 不是因为某人我真是看不完            
(2星)	 看了一半。。            
(3星)	 不错的前半部分~和一般的后半部分~这个片子~汗一记了要            
(4星)	 乔恩和明道，老搭配了，可还是好看，O(∩_∩)O哈哈~            
(3星)	 无聊都一群奔三或已经奔三的人了还演毛高中生啊台剧也应该更新换代了吧            
(2星)	 全凭了明恩……            
(NA)	 因为我喜欢明道和乔恩啊！所以无法拒绝！！            
(5星)	 喜欢乔恩和明道            
(3星)	 前后两个完全不同的故事拼在一起            
(2星)	 ...            
(4星)	 完全是冲着陈乔恩和明道去的！            
(3星)	 这是一部明道拍得最差的戏。            
(NA)	 blue T.T            
(3星)	 好凑合的无聊啊            
(3星)	 看到传说中的第七集就没再看了。            
(3星)	 剧情太狗血了……为了小明强忍着看下去……感觉后面的剧情把他们折磨的都老了……不像开始的时候还有点像高中生~不过结局还算不错            
(3星)	 。            
(3星)	 在《王子变青蛙》之后看的，觉得明道还是适合演王子，看完之后会很喜欢黄志玮，不过这部剧有点儿烂尾            
(5星)	 好看~            
(2星)	 如果你愿意 再次相信            
(5星)	 搞笑是搞笑 不过后面的剧情 顺是让我眼泪水又淌下来了            
(NA)	 情节太拖沓了，浪费了这么一群人聚在一起拍这部戏。            
(5星)	 很喜欢明道和乔恩，所以就去看了，还不错咯，这两个人就是欢喜冤家，看来得闹一辈子了，呵呵~            
(3星)	 就看了一点点...            
(3星)	 不记得有没看完了            
(3星)	 离奇的后半部            
(3星)	 台偶，都是那么回事吧            
(NA)	 开始很好，后来焦点偏了~            
(3星)	 剧情太瞎了！演员演技很好。            
(3星)	 一般~            
(NA)	 搞笑哦            
(4星)	 用土豆看完的.不太喜欢造型.演的很好.            
(3星)	 虽然男主角不帅，女主角不漂亮，但是看起来很舒服。（绝对没有黑主角的意思）            
(NA)	 没原因就看了            
(3星)	 冲着明恩组合去的，但没有王子变青蛙那么让我有很想看下去的感觉....（不过还是坚持到最后，the end~）            
(NA)	 2007年底，出差途中在土豆看的。开始的部分相当精彩，因为自己的童年（少年）有一样的精彩和蓝颜知己，所以非常有共鸣。后半部分因为换了剧本，变成苦情戏，实在是很难看。前7集推荐。明道和乔恩都有新突破。            
(5星)	 完美组合，梦幻情人            
(NA)	 大一..寒假..發現自己還是喜歡看..這些            
(NA)	 看过。还蛮搞笑的            
(4星)	 不错            
(3星)	 明恩二次触电  乔恩好漂亮~~~            
