http://movie.douban.com/subject/2286012/	苗翠花
(5星)	 那时候TVB就是天            
(4星)	 当时好喜欢关咏荷哈哈哈            
(3星)	 那个时候蛮喜欢。。            
(4星)	 关咏荷大约从这个时候开始走喜剧风格的吧~江华真有型~            
(5星)	 经典港剧            
(5星)	 真的是看了好多遍            
(4星)	 我就喜欢方德            
(5星)	 这样一个女人，到最后是会获得爱情和家庭的，我想，开开心心的笑道最后，看到她得到一个宠她的男人，很幸福……            
(4星)	 小学三年级! 主题曲好好听!!!            
(4星)	 也看了几遍~~~            
(4星)	 好看            
(4星)	 我爱关关！            
(4星)	 绝对看完之后爆笑的电视剧。轻松的笑了。            
(3星)	 其实我喜欢江华哈哈。            
(5星)	 经典剧~关咏荷的苗翠花深入人心            
(4星)	 想当初我多喜欢关咏荷呀~~~            
(4星)	 德哥……            
(5星)	 最爱TVB。            
(4星)	 当时感觉很不错，轻松自在，江华的穷酸亦属一绝。            
(NA)	 我和妈妈因为这个片子喜欢的关咏荷~            
(4星)	 当时最喜欢的电视剧之一啊～没想到零零散散竟然差不多看齐了～            
(3星)	 挺好玩的，但都说是关咏荷的经典之作，其实比娥姐差很多啊。            
(5星)	 我一直认为苗翠花就是关咏荷那个样子的~             
(4星)	 蛮好。            
(4星)	 关咏荷不错~            
(4星)	 江华和关咏荷还是挺搞笑的            
(3星)	 对关咏荷印象深刻~            
(3星)	 很好耍~            
(5星)	 瓦哈哈哈哈哈，太好笑            
(4星)	 TVB的剧集挺不错的            
(5星)	 可爱~~            
(4星)	 哈哈，太欢乐了~~            
(NA)	 超级喜欢，看了超多次            
(3星)	 TVB             
(NA)	 初中大爱，中午必看片            
(5星)	 以前多喜欢看来着            
(NA)	 初中时看的            
(4星)	 好看的电视剧，关咏荷演的很好            
(5星)	 关咏荷            
(4星)	 男女猪脚演绎都不错            
(4星)	 小学五六年级看的            
(4星)	 到現在仍未看完結局。。            
(4星)	 很搞笑，哈哈~            
(4星)	 笑啊笑……            
(4星)	 印象很深刻.里面关于洋人的故事超级搞笑.关咏荷很可爱.            
(4星)	 关十分可爱            
(5星)	 江华当年果真倜傥风流，小心肝抨抨跳~~            
(3星)	 话说当年还蛮喜欢关咏荷的说            
(5星)	 喜欢啊喜欢            
(NA)	 荷姐在里面简直太可爱了            
(4星)	 此剧和肥猫系列一起被我老娘列为限制级。。。我娘说，瞧这一傻一疯的。。。            
(NA)	 还是满好笑的很早的时候看的            
(5星)	 原来翠花是方世玉他娘            
(5星)	 逗            
(NA)	 小姨子            
(NA)	 很早的时候类...            
(NA)	 当年笑喷的东西。            
(4星)	 关咏荷真的超可爱!            
(4星)	 以前很喜欢            
(5星)	 还是挺喜欢关咏荷的，虽然这部剧断断续续总共加起来看了不到10集            
(4星)	 算是TvB的经典之一了            
(3星)	 小學假期閑來無事只得看TVB            
(NA)	 江华            
(5星)	 很喜欢的一部TVB剧~~            
(5星)	 现在的tvb也拍不出这种好剧了            
(3星)	 曾经，我多么迷江华            
(4星)	 江华的魅力实在是太大了 呵呵 对关咏荷始终不是很感冒 谭小环和苗翠花的GL情愫很有看点 那个留洋的XX姨表现很抢眼~            
(4星)	 哈哈哈我还记得惠英红！            
(NA)	 【1997-03-24】            
(NA)	 细佬时候看的呀……            
(3星)	 江华给我很嬉皮的印象            
(3星)	 一直不喜欢关咏荷，很老的感觉            
(4星)	 苗翠花  蛮好看的  挺搞笑的 喜欢关咏荷            
(5星)	 经典之作            
(5星)	 关咏荷无敌            
(4星)	None
(5星)	 小学时候最喜欢看的电视剧，            
(4星)	 我觉得关咏荷演的很好~            
(3星)	 查漏补缺            
(4星)	 这部是我很喜欢的港剧哦！            
(3星)	 小时候看的。            
(3星)	 童年记忆啊~            
(5星)	 童年回忆之一，还记得最后一集方世玉出生了。            
(5星)	 老剧都是精品啊            
(3星)	 不知道为什么就是不喜欢江华            
(5星)	 因为从小就喜欢她~~~所有recommend！！！            
(4星)	 当年六点档            
(5星)	 小时候好爱看的啊            
(4星)	 原来江华的声音是那样的。。真幻灭，声优救了他。            
(5星)	 小学那时候最喜欢的剧了            
(5星)	 我心目中噶經典力作，tvb已經唔會再有呢種經典，            
(2星)	 就是不喜欢关咏荷            
(5星)	 怀旧一把~相当的怀念！            
(4星)	 小时候看的。            
(4星)	 酸豆角炒豆干印象深刻,还有三姨太把巧克力当成樟脑丸放衣柜里，哈哈            
(5星)	 好看！            
(5星)	 happy            
(5星)	 当年的偶像            
(4星)	 唉 当时多喜欢关咏荷呀            
(NA)	 小时候喜欢看，前几年逢过年就还重播，最近很少了。            
(NA)	 那个时候我喜欢关咏荷！            
(NA)	 苗翠花有个口头禅是什么来着？还是我记混了……也有可能。            
(4星)	 关咏荷演技没得说，连这种武打的女强人角色都行。而这个江华版方德，真是带有非常鲜明的个人特色。            
(4星)	 小时候看的可嗨皮了            
(5星)	 有些东西，忘不掉了。            
(5星)	 江华江华江华            
(4星)	 哈哈哈            
(5星)	 奶妈好好笑~            
(4星)	 关咏荷真是女中豪杰            
(3星)	 初中时偷偷看的，好笑            
(4星)	 想当年，想当年……江华多帅            
(NA)	 2010-11-11  凑数而已            
(5星)	 江华~~~            
(4星)	  经典 江华 关咏荷 TVB             
(3星)	 这么多台放你不想看也得溜两眼            
(5星)	 好喜欢关咏荷            
(4星)	 哈哈哈哈哈             
(4星)	 那时候觉得江华很帅            
(4星)	 哎哟喂,我小时候可喜欢苗翠花了            
(5星)	 挺好玩的，为毛没有李小环同学的名分那。。。            
(3星)	 江華特沒存在感            
(5星)	 年少时看了无数次            
(4星)	 当初很喜欢，尤其是主题歌。            
(4星)	 妈妈喜欢看这个。            
(4星)	 关咏荷在TVB的一群花旦里，算是很漂亮的了。            
(4星)	 很有趣的电视剧            
(4星)	 現在想想好搞笑，那時候被江華的方德迷得神魂顛倒            
(4星)	 我现在还会苗翠花比划那套            
(4星)	 暑假必炒冷饭剧            
(4星)	 那时候江华好帅            
(3星)	 初中时期中午吃饭煲的剧            
(3星)	 当年觉得很好看，又好笑~            
(3星)	 关咏荷的经典            
(4星)	 小学的时候每逢暑假就播            
(NA)	 小时候。            
(4星)	 同样小时候看的 &gt;&lt; 印象最深刻的是结尾 方世玉破缸而出            
(NA)	 小时候的愿望就是长大了当一个公司的老总 然后给电视台点播苗翠花 多么暴发户的梦想啊            
(3星)	 还是喜欢这个 哈哈~··            
(NA)	 ……原来他叫江华啊            
(5星)	 我爱关咏荷...            
(5星)	 严重好看！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 百看不厌。            
(5星)	 关咏荷永远是我最喜欢的女演员呀            
(NA)	 好久没见咏荷姐了            
(4星)	 小的时候很喜欢看~            
(5星)	 大爱啊，小时候闷热的夏天躲在楼上看周末大放送            
(5星)	 真的太好看了~            
(NA)	 最喜欢关咏荷。。。            
(4星)	 关咏荷啊~~鹅蛋脸大好~            
(5星)	 最有印象的是在外公外婆以前的房子里躺在睡椅上看这个~~~一边笑一边摇            
(5星)	 哈哈哈哈哈哈哈哈哈哈哈哈！            
(5星)	 我没记错的话，这个是小学二年级时重庆电视台晚上八点那个栏目播的 = =            
(4星)	 （*@ο@*） 哇～            
(4星)	 关咏荷还是合适轻松的喜剧            
(4星)	 堪称经典~            
(4星)	 那时候是小学吧，家里还是小套房，窝在房子里真的是百看不厌。            
(4星)	 江华的方德很讨喜            
(5星)	 WOW，童年的记忆。            
(4星)	 哈哈~            
(4星)	 这个好。各种版本苗翠花都很好~            
(5星)	 小时候的记忆多美好            
(5星)	 赞啦            
(4星)	 里头的奶妈超有爱～～～            
(3星)	 。            
(4星)	 关咏荷，搞笑的大姐！            
(NA)	 我的童年回忆~~            
(3星)	 童年的记忆很深刻            
(3星)	 为了看江华            
(NA)	 真真一对欢喜冤家，喜欢关咏荷~            
(4星)	 怎麼豆瓣tvb肥皂劇都有。。。            
(5星)	 关咏荷和TVB合作的每部戏都很彩,喜欢里面的姜华.好看            
(5星)	 很搞笑。。。苗翠花很囧的。。江华也挺囧的            
(4星)	 喜欢这里的江华            
(4星)	 小学每天中午看一集            
(5星)	 起码看了10遍            
(5星)	 小学时候大爱            
(4星)	 江华。。。            
(4星)	 ！            
(5星)	 小学暑假，哈哈，喜欢关咏荷            
(4星)	 很喜欢看的 这个喜感的关咏荷            
(NA)	 江华的风度一只鼎            
(3星)	 一点都不喜欢关咏荷……            
(5星)	 关咏荷明明是知性女嘛 演搞怪的也这么深入人心            
(4星)	 特逗            
(4星)	 从此喜欢关咏荷~            
(3星)	 李小环很忧郁啊。            
(5星)	 小时候的美好回忆···            
(5星)	 当时很爱看            
(4星)	 TVB这种片时不时哪个暑假就又给播了尽管这样我每次也都一定会边吃边看。            
(4星)	 经典。             
(4星)	 关咏荷~            
(NA)	 很早看的。。。            
(4星)	 主题曲真是好听            
(5星)	 超级喜欢的~            
(4星)	 江华啊...关咏荷啊...            
(4星)	 安安~            
(5星)	 现在有点记不太清 当时喜欢呢             
(3星)	 哈哈  关小姐            
(5星)	 喜欢看江华为翠花收拾残局的模样，不经意间流露出对翠花的娇惯…喜欢            
(NA)	 我真的看过啊！            
(5星)	 好喜欢他们俩~方德好帅~苗翠花也可爱~哈哈~            
(4星)	 不错的古装            
(4星)	 看了很多遍的……            
(2星)	 很早之前的啦            
(NA)	 厉害哦            
(5星)	 喜欢的一部电视剧            
(4星)	 女中豪杰一向为我崇拜            
(5星)	 江华真的很方德啊~            
(5星)	 酸角炒豆干，是吧？！            
(3星)	 蛮搞笑的！～            
(3星)	 TVB不错            
(4星)	 当时觉得有关咏荷这样的老妈真是忒幸福了~            
(3星)	 小时候看完的            
(5星)	 初中的时候看过，相当经典。            
(4星)	 哈哈，看过，记得和老哥一起等电视看的。这部看完才知道苗翠花是方世玉老妈            
(3星)	 关咏荷已经嫁人了 我真的喜欢这个演员            
(3星)	 四、五年级那会儿看的，印象仅停留在搞笑古装剧。            
(5星)	 好看！            
(4星)	 ^^            
(NA)	 不喜欢港剧            
(3星)	 挺喜欢关咏荷的            
(4星)	 小时候很喜欢            
(3星)	 小成本的喜剧，意想不到的效果。但还是有点俗套。            
(5星)	 很喜欢关咏荷。            
(4星)	 不是02年的啊！            
(NA)	 现在想起来 自己不是很喜欢苗翠花。            
(5星)	 小时候翻来覆去看了好多次。那时很爱关，把对她的爱延续到陀枪师姐。            
(4星)	 我好喜欢关咏荷啊！            
(5星)	 可能是爸爸比较喜欢的港剧之一了，很耐看。            
(5星)	 都是原版好看啊~~            
(4星)	 TVB的电视剧，起码我看的吧，都觉得还行。有点无聊吧，但就是适合打发时间。            
(4星)	 好看~~~好玩~~~关咏荷在里面挺漂亮的~~~还有江华大叔~~~            
(4星)	 我还是很喜欢这部的。            
(3星)	 原来方德是方世玉的老爹            
(4星)	 关咏荷，我将来的女朋友要长的像你一样            
(NA)	 江华            
(NA)	 應該看過，但忘記了            
(5星)	 经典中的经典            
(4星)	 tvb历史上前无古人后无来者的“独女戏” 当然不是说只有一个女演员，不过关咏荷在里面的戏份的确不同一般，她演绎的也是非常好了。英姿飒爽，又不失小女人的可爱。武打招式干净漂亮。 我觉得前面尤其好笑，结尾稍显仓促（tvb的通病呀），但是瑕不掩瑜了            
(4星)	 可爱的苗翠花            
(4星)	 估计至少看过三遍了……老是重放            
(3星)	 当年很喜欢关咏荷            
(5星)	 很经典啊~小时候喜欢学苗翠花的动作            
(5星)	 看了无数次，还是那么喜欢            
(4星)	 蛮好玩的            
(5星)	 看一次笑一次~！            
(5星)	 好喜欢。            
(4星)	 看了不要再看了呀。。最后引出了方世玉。。其实满好的。。            
(4星)	 当年很是喜欢            
(4星)	 搞笑的~~            
(NA)	 关永荷            
(4星)	 讨人喜欢，尤其能讨女人喜欢。大学里吃饭，一个同学突然冒出句酸豆角炒豆干儿，我大喜，两下对暗号的叫了声苗翠花！哈哈，我们都是怀旧的人，一些细节记到如今。            
(3星)	 还可以            
(NA)	 哈哈哈            
(5星)	 还是觉得..以前的港片好            
(4星)	 再看好像没小时候好看了            
(5星)	 小时候好喜欢看啊~~            
(5星)	 关咏荷再tvb一姐时候的作品都是这种套路，实在讨人喜欢。/            
(3星)	 看了这剧...才知道苗翠花就是方世玉他妈...            
(4星)	 好玩~            
(4星)	 呃            
(4星)	 高中看的吧 喜欢方德啊啊啊            
(NA)	 哈哈重温。            
(4星)	 小时候看的了，记得那时挺感动的说            
(4星)	 阿关的经典之作啊~            
(5星)	 方德！            
(5星)	 好看!哈哈``            
(5星)	 关咏荷沒身麼好說!!            
(4星)	 老天爷再怎么捉弄你，也没有你捉弄李小环那么惨啊~            
(3星)	 就这样吧            
(3星)	 真怀念...嘿嘿,苗翠花和方老爷~            
(NA)	 算是看的第一部TVB的片子 还可以吧 这部片子让我知道了关咏荷是谁……            
(4星)	 小时候很喜欢关咏荷            
(3星)	 那一阶段特别迷江华，哈哈~~人心真是诡异啊~            
(4星)	 记得小时候超爱看~            
(4星)	 翠花～            
(NA)	 这么多年过去了，重新看，反倒喜欢李小环了~            
(3星)	 关咏荷的表演很自然到位。            
(5星)	 苗翠花是我的爱啊~            
(NA)	 我最爱的关泳荷吖            
(4星)	 20            
(4星)	 2002 翡翠台            
(4星)	 少数tvb好电视剧之一            
(NA)	 青春记忆            
(5星)	 当时特别喜欢呢 喜欢翠花的性格 很喜欢~            
(3星)	 爆笑。。。            
(NA)	 翠花（关咏荷 饰）到广州探望父亲，生性好强的她与当地首富方德（江华 饰）多次结怨。翠花误伤了漕督大人的儿子，使之变成了白痴。愤怒的漕督扬言要找翠花报仇，与翠花父亲甚有交情的方德出面相救，冒险认了翠花是自己的四姨太，以方德与恭亲王的交情保住了翠花的性命。　　而翠花更将错就错嫁入了方家，引起了方家妻妾的不满，翠花更多次违反方家的家规，与方德的冲突不断。但在往后的日子里，两人共同面对了许多的患难，当二人情愫渐生的时候，方德因为帮助反清义士而被捕了            
(3星)	 还蛮搞笑的.            
(NA)	 也是小时候看的喏，蛮好看的            
(4星)	 关咏荷            
(5星)	 我们再没有大把大把的时间我在寝室里吃大把大把的零食看这样刮擦搞笑的港片了~讷讷。            
(5星)	 一岁欢喜冤家，可是我每次在电视上看都赶上要送小环去疯人岛那一块。。。            
(4星)	 很可爱的            
(4星)	 印象不深，记得好像蛮搞笑            
(5星)	 喜欢看就是喜欢看，不过只看过一遍            
(NA)	 苗翠花            
(3星)	 非典假期的一个调味品            
(4星)	 具体的记不太清了，但很喜欢苗翠花的形象，很牢固呢            
(5星)	 看过几次            
(NA)	 很好看...我喜欢关咏荷的开始            
(4星)	 有趣            
(4星)	 有妻如此，夫复何求            
(5星)	 世玉他老妈的故事            
(5星)	 很多年前的回忆了            
(5星)	 很久很久以前看的啦            
(4星)	 非常喜欢关咏荷            
(3星)	 还记得中学时候在学校看得情景            
(NA)	 放假的时候一直看            
(4星)	 稀饭关咏荷            
(4星)	 很经典很经典的TVB剧集，江华帅又可爱            
(3星)	 小时候            
(5星)	 哈哈 这也是一部上小学反反复复看的电视剧 怎么看都不腻 呵呵            
(5星)	 笑翻了。            
(5星)	 當年我很愛這部啊            
(3星)	 可以用来杀时间            
(5星)	 喜欢关咏荷，喜欢那首&lt;小小女子半边天&gt;，“也可肩担起天一半，对错分清楚，永远知道这世间爱什么”~~            
(3星)	 皇帝最后还是放手了            
(4星)	 很好看，不错不错。            
(NA)	 哈哈，喜欢关咏荷那，也喜欢她演的翠花            
(4星)	 这部戏选关咏荷和江华真是太对啦            
(4星)	 多可爱的片子。            
(5星)	 关jj你太赞了！            
(4星)	 非常喜欢关咏荷的苗翠花            
(NA)	 李小环：难道少林寺有十八观音阵？师太：不要侮辱神明。            
(NA)	 爸妈爱看。。。。            
(4星)	 太经典了~~~            
(5星)	 这个好看^^            
(4星)	 看了好几遍重播            
(5星)	 超超喜欢的TVB片，百看不厌！            
(4星)	 好看            
(3星)	 我知道了苗翠花就是方世玉的娘            
(4星)	 好笑            
(3星)	 香港剧首次力捧女主角，也因此而记住了关咏荷。             
(4星)	 苗翠花            
(3星)	 很好看的故事,男弱女强,不错的两位演员            
(5星)	 最初喜欢的TVB            
(3星)	 好笑            
(4星)	 这部关咏荷最经典拉            
(4星)	 就喜欢这妞            
(3星)	 高中时看觉得还行            
(5星)	 娱乐佳作，关咏荷最佳主演            
(5星)	 经典，经典            
(3星)	 泼辣女，当时年纪小            
(3星)	 关咏荷的剧还是搞笑的有保障的            
(4星)	 好看的呀            
(4星)	 都几好笑架！            
(4星)	 经典港片啊            
(4星)	 好小的时候看过，但现在想起来，都会觉得是有趣的令人微笑的电视。            
(NA)	 时荷姐风头最劲，开创了男演员给女主配戏的时代            
(NA)	 很喜欢关咏荷。            
(NA)	 儿时的电视剧有艳丽的颜色和花哨的动作，都像朦胧的梦一样，飘荡在记忆里，            
(3星)	 补遗            
(3星)	 tvb你到底拍过多少剧= =            
(4星)	 怀旧开始！小时候觉得这是关咏荷最漂亮的一次，而且李小环是陈少霞哦~            
(NA)	 又看了一遍，关咏荷还真是挺漂亮的~江华根本就是古代的高帅富嘛~            
(NA)	 方德好萌            
(5星)	 很久了，那时的关咏荷很霸气。            
(4星)	 好喜欢的            
(4星)	 童年回忆，小时候我们都喜欢荷姐            
(5星)	 欢乐的片子，妈妈很喜欢江华，我很喜欢关咏荷……            
(4星)	 我咋就觉得方德那么有爱呢。。。            
(5星)	 记得小时候暑假在乡下每天追看三集，感觉太爽了            
(4星)	 年轻的时候看的，挺好看的            
(4星)	 儿时的回忆            
(4星)	 太好笑了，江华很有魅力            
(4星)	 当时超级喜欢关咏荷啊。            
(3星)	 挺怀念的            
(3星)	 只记得关咏荷那个大笑脸            
(5星)	 这部片子有点怀念的，想重看一遍。            
(NA)	 我喜欢关咏荷            
(4星)	 小时候断断续续看过，觉得很好看很好看，去年重温了下，发现也就这样，果然很多东西就留在回忆里比较美            
(4星)	 关咏荷演过的最好的电视了吧应该            
(4星)	 小时候很喜欢看            
(4星)	 百合启蒙啊~我挺喜欢演李小环的那个妹子的            
(4星)	 上学的时候看过好几遍，港剧中的经典。            
(4星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(4星)	 现在想想，小时候还真的看了不少TVB~            
(4星)	 唯一一部男主角三妻四妾还让我看的比较接受            
(5星)	 现在想起关咏荷的形象之一就是苗翠花，那傻笑。            
(4星)	 特别欢乐            
(5星)	 小时看过好多遍。            
(4星)	 关咏荷啊关咏荷~            
(4星)	 双面刺绣            
(NA)	 发现港剧的评分就高一些啊。。            
(5星)	 爱方德啊            
(NA)	 喜欢关咏荷            
(3星)	 荷姐一如既往的喜感~            
(4星)	 欢乐剧            
(4星)	 比较古老的电视~~            
(5星)	 小时候看的，喜欢那个小姑子            
(5星)	 太好看了！！！！！！！！！！！！！！！！            
(4星)	 全家一起看            
(4星)	 当年的TVB的当家花旦特别多            
(3星)	 1997年            
(5星)	 再也看不到那样的关咏荷了好怀念。            
(5星)	 爆笑            
(5星)	 这一部我爱死了啊！！爱死了啊！！！无论看多少遍都不会厌倦的啊！！超五星港剧！！！爱死关咏荷了！！！！            
(4星)	 几搞笑。            
(4星)	 那首主题曲小小女子半边天现在都记得~            
(3星)	 内容网的差不多了 就记得发招前要叫声：“苗翠花”~哈哈哈            
(NA)	 印象模糊，当时好像是每天吃饭的时候追着看            
(4星)	 表示当初很爱呢~            
(5星)	 原来看我过这么多电视剧——我小时候特别喜欢关咏荷！！！爱死她了！            
(5星)	 小时候看港剧的古装片，老师看到关咏荷来着，突然有一天她失踪了，原来是结婚了。。。。            
(NA)	 欢乐。            
(5星)	 搞笑的极致！            
(5星)	 这部电视剧笑点很多，特别喜欢里面的两位主角，演技一级棒，我看了两遍。第一遍是五年级，第二遍是去年暑假，算是经典重温，也是忆旧。            
(4星)	 经典噢，看到关咏荷就开心            
(4星)	 四五岁第一次看电视剧就是这部戏的最后两三集，之后我就同爸爸妈妈全力追陀枪师姐了哈哈~~            
(4星)	 纨绔子弟的爱国觉醒             
(4星)	 当时不要太喜欢关咏荷噢我们家！            
(4星)	 小时候看的！！挺好看的印象中！！            
(3星)	 关咏荷            
(3星)	 童年            
(NA)	 個人認為關的表演將一個活潑任性又有溫柔情長的形象展現的面面俱到，活靈活現，只不過，此劇劇情確是有些狗血、無厘頭            
(4星)	 荷姐            
(3星)	 小学时候的记忆，关咏荷好漂亮。            
(5星)	 啊！我还会做正剧开始前那个经典动作哩~            
(4星)	 当时看的时候，确实很搞笑啊！            
(5星)	 我草 小时候跟爸妈去洗澡 休息大厅看整晚啊            
(5星)	 记得小时候晚上偷偷躲着爸爸看，很喜欢关关演得苗翠花，古灵精怪的~~最近在重温，看了一遍又一遍，喜欢~~            
(4星)	 那里面的方德真是太搞笑了            
(5星)	 我甚至有VCD，哈哈，那个时候是VCD。。看了无数遍。。不懂究竟是为了什么。。            
(4星)	 当初看了四遍            
(4星)	 关咏荷的里程碑之作，从此少了文艺的那部分。            
(5星)	 舞会时候记得可清楚了            
(4星)	 以前的TVB真心经典。现在的演员比以前差远了。            
(4星)	 江华~            
(5星)	 关咏荷乃古装一代美女。            
(3星)	 TVB            
(5星)	 最爱男儿情怀            
(3星)	 小时候中午看的，挺紧张的。            
(3星)	 无聊。拍完方世玉拍方世玉的老妈。哼唧。            
(4星)	 小时和哥哥一起看的，他稀罕关咏荷，我被江华迷得一塌糊涂，哈哈            
(4星)	 记得当年好沉醉啊～苗翠花那个经典姿势，我都一直拿来照相！            
(4星)	 很好看啊！            
(4星)	 下时候看的，重温一下。            
(NA)	 恩恩 关咏荷            
(5星)	 关咏荷。            
(5星)	 小时候是真的萌关咏荷的~            
(NA)	 都不记得了。。。            
(4星)	 哎呀这个真是可爱，尤其是江华演的方德~~            
(5星)	 哇塞～～这个是全家一起看，看得乐呵呵的总代表啊～！！            
(4星)	 翻看儿时最爱            
(4星)	 关咏荷还是英气十足啊~好像还有商天娥来着？那时候还不是很师奶啊~            
(3星)	 一个冤家终成眷属的故事...没有特别深刻的印象...            
(NA)	 关咏荷的演艺事业巅峰            
