http://movie.douban.com/subject/1440406/	人人都爱雷蒙德 第一季 Everybody Loves Raymond
(5星)	真正的家庭喜剧，非常的真实，是那种抱着零食可以从早看到晚，再从晚看到的早的好剧。
(4星)	I Love Ray.自从有了Friend这个就相形见绌了。。。
(5星)	呵呵，想起来还笑不停。
(5星)	你评价很久。其实就是很好。
(4星)	CCTV放的时候看的 确实多不错的 特别是RAY 他爸爸那个顽固的老头 和他妈妈的样子都让人笑得不行 还有他傻傻的哥哥 总是有一堆的笑料 也没有让人觉得因文化差异而造成的隔阂感
(NA)	哈哈
(NA)	对应版本为：人人都恨那个克里斯~
(5星)	纯粹搞笑 特别特别搞笑 
(5星)	i love this guy.
(NA)	这个男人很木讷很冷很搞笑。
(5星)	最爱之一。
(5星)	需要你去爱生活.....
(3星)	搞笑的一家
(5星)	可爱的爸爸妈妈和哥哥
(NA)	记得还是初中在凤凰卫视看得。挺有意思
(5星)	比friends 搞笑~很好看~
(5星)	我喜欢！
(5星)	终于把9季全看完了！！！
(3星)	情景喜剧 
(4星)	9季
(4星)	有这样几个我先到岔气的夜晚，可是，万事之于《FRIENDS》来比，总能感到一些不完美。但是，真的谢谢，这些快乐的时光。。。谢谢已逝的Peter Boyle，谢谢你，可爱的爷爷。。。
(5星)	人人都爱雷蒙德,需要理由吗?
(4星)	Robert。
(4星)	我真喜欢你哥啊
(3星)	雷蒙德好像印度人～
(3星)	nut
(5星)	我的美剧启蒙阿^^
(4星)	超级搞逗啊
(3星)	明珠台看过，没全看。
(5星)	人人都爱的
(4星)	偶尔在电视上看过几集, 非常喜欢RAY一家.一定要去买来看. 现在看完了, 值!
(3星)	看过一些，。
(4星)	我更喜欢看那个傻大哥，哈哈
(5星)	人 人 都 爱 雷 蒙 德好吗！！！！
(3星)	just sooooo boring
(NA)	真正的轻喜剧，不靠段子依旧能让你开怀，一直觉得雷蒙德和罗斯神似
(5星)	想要一个这样的老公=w=
(4星)	其实这应该是我严格意义上看的第一部外国片。。。
(3星)	小时候好爱看这个
(NA)	最爱！！！！！！！！
(5星)	其实比TBBT都好看~~~
(5星)	我最喜欢的家庭美剧之一 哈哈哈哈
(5星)	小时候的最爱啊~
(5星)	我的美剧启蒙，可喜欢雷蒙德他老爸了~
(4星)	初中那会看的劲劲的 喜欢他的哥哥！
(NA)	补tag 小时候的凤凰卫视
(5星)	中央8播过...这两天又重温之中，争取每季都看了
(5星)	超喜欢
(4星)	只看过几集，仍然是老师放着看的，但还是挺喜欢的。
(3星)	不明白有什么好笑的。friends才是家庭情景剧经典~~
(5星)	真的逗死我了！
(5星)	阿哈哈哈哈哈哈哈哈哈哈哈这个好！高中时候晚上中央八给播的美剧！！！笑屎我！！！！！！！！！！！！
(4星)	CCTV8经常回顾
(4星)	小学的时候看的看到第几季也不知道。
(NA)	剧情 忘了
(5星)	小时候在凤凰台看过！~笑死了~
(5星)	我记得失去D的那年冬天 我高三 每天三点放学后 打开电视 放的就是这个 难得的开心
(5星)	我想说，我终于看完了，九季啊！
(3星)	我是有多喜欢弗兰克老头哇哇 TVVVT 央视配音版不给力啊不给力 =_=
(NA)	from刘瑜周黎明
(4星)	不粗
(4星)	在被家庭琐事所烦时看看，就会觉得一切都还好。
(4星)	ray拖长的音真是不好听
(4星)	我一直在找的美剧启蒙=A=。在我心中犹如庶务二课一般的存在（闪亮
(4星)	笑点很隐晦。。
(2星)	假，无聊。
(4星)	我一看雷蒙德心情就暴好。
(5星)	奇妙的一家人。
(4星)	很早看的了，那时候电视某台在放，算最早接触的美式情景喜剧，当时觉得非常有才非常幽默。
(5星)	我也爱上了雷蒙德，本来一直计划着要看friends，一直没成行。偶然间和xfj一起看起了雷蒙德，发现自己是爱不释手。在极其累的画图中，我的最大乐趣就是雷蒙德了。
(5星)	olllllllld
(5星)	特别喜欢他老哥，好可爱的眼神
(5星)	可以稍稍比肩老友记的一部戏
(NA)	果冻手臂
(4星)	哈哈哈....
(5星)	小时候最爱看的电视之一啊！
(5星)	可乐一杯
(5星)	回忆起当年要高考之前每天守着电视看这个，非常的怀念啊~
(NA)	傻帽
(5星)	挺像那么回事儿的
(NA)	这是俺看得最早的美剧吧……当时电视某台播的。
(4星)	啦啦啦～阿ｒａｙ～
(5星)	ray romano
(3星)	我也很爱他其实。
(5星)	又是中央八！
(NA)	第一季12集近结尾的地方最感人 落泪
(5星)	皇朝八套唯一的亮点
(3星)	6/10
(5星)	高中时代，我家还能收到凤凰卫视的时候看的
(5星)	以前晚上全靠他乐呢！哈哈！
(5星)	央视配音版好绝~~
(5星)	解决无奈最好的方法就是幽默，可这家人有点幽默过头了！哈哈~
(5星)	可爱~
(5星)	frank!
(3星)	还是有点搞笑的 就是实在太长 没心情看下去了 
(5星)	好好笑的阿
(NA)	小经典
(4星)	With Toma&#39;s recommendation
(5星)	这样可爱的家庭喜剧
(4星)	实在太贴近生活啦
(5星)	我看过的美剧中给我带来幽默最多的。
(5星)	人人都爱雷蒙德~~~我爱死了&gt;.&lt;
(3星)	爆喜欢看
(NA)	纯的乐，看看吧
(4星)	比较老的美剧，觉得还不错，喜欢那个当警察的哥哥，比较衰，哈哈
(3星)	肥皂剧，随便看看，要求不必太高。
(NA)	是的，我很无聊
(5星)	看剧学美语啊，尤其像雷蒙德的老爸学
(5星)	开心老爹
(5星)	那时候中央台放每天都看得笑死~~那时的美剧哪有现在这么红~~还是以前的经典
(4星)	第一次觉得央视的配音还能这么精彩
(5星)	他好可爱啊@@@@@@@@@@@@@@@@
(5星)	最早是在飞机上看的
(4星)	人人都爱雷蒙德。
(5星)	守十点伊始
(4星)	轻松。温暖。
(3星)	居家观看的心情
(5星)	爆笑的一家
(4星)	only season1
(4星)	明明很好笑嘛
(5星)	让人很轻松的电视剧集，喜欢黛博拉～和弗兰克
(NA)	s3
(5星)	Robert才是我心目中的男一号！
(NA)	哇咔咔！
(NA)	1996-09-13 CCTV8看的
(5星)	好看！为什么这么少人喜欢的……
(3星)	三星半 时好笑时不好笑
(4星)	这片子怎么这么红。
(2星)	看不下去
(3星)	在凤凰卫视断断续续看过一些
(5星)	我最爱的喜剧，百看不厌，别人都说老友记好看，但我第一季的第一集都看不下去，还是雷蒙德好，Because……Everybody Loves Raymond——现在在看第三季
(5星)	一个懒惰无用的贫嘴男人 一个时常焦躁不安的家庭主妇 一个控制欲极强的超级妈妈 一个粗鲁尖刻的老头 最后 是一个不被人关注的敏感大个子
(5星)	啊哈，心爱！
(NA)	so funny
(3星)	他爸挺逗得
(5星)	情景喜剧的角色的数量少密度大造成了对我的一种最容易怀念亲近演员的感觉，这种感觉好像你已经把剧中角色当成自己身边的人，情景喜剧的刻意性以及戏剧性好似在调侃你讨好你，角色性格的一成不变的可爱已经可以忽略善恶，这确实是这种剧的优势也是局限性~
(5星)	哈哈哈哈哈哈哈
(3星)	老剧了。满好笑的
(5星)	呜哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
(5星)	很搞的家庭喜剧
(NA)	frank和mary爆笑、爆可爱我集集都超熟
(NA)	 情景喜剧 家庭
(5星)	尽管看的译本，同样有意思！
(5星)	戏如人生，人生如戏
(4星)	轻松的美国式生活
(NA)	I think it is more humorous than the&lt;Mr beam&gt;...
(NA)	仅限中央电视台放的时候，看一点
(5星)	大哭了
(3星)	一个备受宠爱到有些烦恼的人的故事
(3星)	很不错的情景喜剧！在美国很火！
(4星)	【不完全观剧】
(5星)	～
(4星)	那么久了，断断续续，看个没完，笑个没完
(5星)	holy crap~
(4星)	配音的比没有配音的好看～
(5星)	我就爱看这个我就觉着有意思
(4星)	很不错,可惜不如Friends经典~
(NA)	全是冷笑话，他哥哥象里昂
(5星)	老头太可爱了。
(5星)	放松的绝佳选择
(NA)	很搞笑
(5星)	太逗了~~
(4星)	雷蒙德 哈哈 有趣
(4星)	虽然从小就在明珠台看到，但真正看一季一季看到现在还是在2006年中。
(NA)	看过一部分，不太全
(5星)	演员的表演很棒，尤其台词非常好，总是恰到好处地抖包袱。生活处处透着幽默，关键看你有没有那智慧和幽默它的才能。最后一集（意大利）让人印象深刻！雷蒙德说：意大利人很会享受生活，他们中午以后就不工作了！看来他已经开始反思自己，并开始有了一点体会。
(4星)	就看了第一季啊~后面几季都找不到源了。。。还是很喜欢的！只不过可能拍得比较早，看起来没有新剧那么吸引人~~但是对白啊，家庭成员的性格还是够有意思的~~前阵子还梦到过这部剧。。。晕~
(4星)	好吧我还是挺小的时候看中央八套放的~真是太搞笑了,而且我就是从这个剧里第一次听说了pms
(3星)	从来没这么讨厌过一部能看的下去的sitcom的主角过。。。ray你赢了。除此之外，都很好
(5星)	家庭喜剧看起来比较温馨的感觉
(5星)	很怀念
(5星)	就记着那2b哥哥太逗了
(5星)	看过很多美剧。经典的六人行，欲望都市，越狱，实习医生格雷，最近的破产女孩，生活大爆炸。但是，这部，是我的最爱。睡前看一两集，是我每晚的功课
(4星)	听力课
(4星)	%&gt;_&lt;%怀念小时候的CCTV-8
(NA)	就爱白痴喜剧~
(4星)	他哥哥嫉妒的表情太可爱了..
(4星)	操你妈一个片子还分那么多条目我他妈怎么知道自己看的第几集！
(5星)	集数多到数不清，也不知道自己看了哪几集，毕竟好像有九季，当初还十分惊讶CCAV会放这样的片子~~
(5星)	高二当时为了看这部电视剧，连一中在外的英语补习都差点没去
(5星)	美式幽默的吐槽神作，全家人无时无刻不在相互吐槽。
(5星)	想笑就看吧
(5星)	good show
(5星)	咩哈哈哈哈哈哈哈
(NA)	……
(4星)	很好
(5星)	生活啊，生活
(3星)	怎么说呢，高中精神文明贫乏的年代给我送来了一线曙光吧~！
(5星)	太好看，太感动，太可爱了。看了无数遍。无聊的我呀！！！不过遍遍都让人很温暖啊！虽然玛丽最后还是烦人到爆，让人又爱又恨。。第九季很难下载，但必不可少，毕竟是终章嘛
(4星)	真的不错
(5星)	曾经的央视也算出过精彩剧。
(5星)	另一种风格的情景喜剧，Raymond有点神经质的表演真逗
(4星)	中央-8
(5星)	现在才回想起来，啊，原来小时候就开始看美剧了，哈哈
(3星)	有点笑点，也有点无聊~~
(5星)	我最喜欢的美国情景喜剧
(5星)	96年的啊。。。原来我们落后的不止一星半点。。。
(3星)	感谢CCTV
(3星)	不喜欢雷蒙德，喜欢他哥哥傻大个
(5星)	Funny
(4星)	小时候央视放的的时候很喜欢，现在正在把后面几季给补了~
(4星)	看了几集  搞笑是很搞笑 但是偏家庭剧 不是很喜欢
(5星)	就是好看
(4星)	当年的CCTV8。。各种baby。。Long Island。。
(5星)	我养成了每天要在床上看两集雷蒙德再睡觉的习惯，肿么办。
(NA)	看的第一部美剧
(5星)	我第一次觉得央视的配音比原声好....
(5星)	超级超级好看啊啊啊啊啊！！！
(NA)	cctv8
(5星)	很有爱~~~
(4星)	应该是我看过的第一部美剧。。。虽说当年我看的是中央台的配音版。。
(3星)	还是很搞笑的啊~爷爷奶奶都是极品来的= =
(5星)	这剧的搞笑程度和内涵能上我看的情景剧的TOP3
(5星)	太好笑了！！
(5星)	以前就看过，后面想着可能停播了，后面发现居然没有，接着看呗···还是灰常的搞笑···
(5星)	童年的美好记忆
(4星)	CCTV8！
(5星)	是我看的第一部美剧，初三难熬的日子里就靠这部剧来调剂生活了。
(5星)	这是我看过的第一部美国情景喜剧，多亏凤凰台的引进啊。毋庸置疑，的确是笑的哈哈，全家人都爱，很经典的，相信美国人也都爱。
(5星)	哈哈 我最喜欢的美剧 一直如此
(NA)	从小看到大都不会腻啊啊啊啊！！！
(4星)	这一家子是真不容易，陪我很久的没字幕练听力。
(5星)	没看完其实，很怀念小时候歪在沙发很晚在中央台看这部很有爱的剧，经常还有阿比一起看一起笑
(5星)	初中的一个暑假，每天下午都会准时看cctv8的《人人都爱雷蒙德》，也不知道为什么喜欢看，但就是想看，挺搞笑的，也不乏哲理，像重温一遍～
(5星)	笑抽了
(5星)	I really love the grandpa there
(4星)	挺搞笑的,不错.比好汉两个半好多了
(4星)	平淡的生活中不乏智慧与幽默的闪光点！
(4星)	又是BOB给看的，哈哈哈，后来everybody loves Bob.
(4星)	以前电视播过的吧~~小时候看过··挺好笑的
(5星)	一集集，一部部，一季季的看
(5星)	高中夜夜熬夜看，笑的我那个抽啊......
(5星)	真希望演老Frank的老爷爷没有去世...
(5星)	比老友记more好看
(4星)	挺好玩的
(4星)	老头最有意思, so mean!!!!!
(5星)	好看！没有理由！
(NA)	小时候电视里放过 挺好玩的
(4星)	看的少得可怜的美剧之一。还不错~
(5星)	美式幽默，笑点很多
(NA)	好玩死了！！父母永远最抢戏！一大家子的欢乐家庭剧，冬天看最温暖！
(4星)	小时候就很喜欢看，但从来没这么一集一集看过来，很有意思的家庭，小事折射出大哲理，家家有本难念的经，活的开心就好了。
(3星)	单纯的不喜欢，笑点很粗野好不好
(5星)	基本上是最爱。
(5星)	CCAV播过，当时觉得很烂，不明白为什么得奖无数，后来看了原版就明白了
(5星)	所以还是SitCom比较对伦家的胃口嘛。
(NA)	打发时间的肥皂剧
(NA)	老少咸宜的情景喜剧。比起男男女女来来往往，还是爱这种TYPE的！
(3星)	ray设定的太自我了，一直没有成长，最后一集依然自私的要命。结局太仓促或者说没有结局不了了之
(5星)	好看！
(NA)	210
(4星)	八套，那时觉得真是搞笑，里面的哥哥是亮点啊～～～
(5星)	太太太欢乐了
(5星)	第一季
(5星)	儿时回忆
(5星)	如果不是先看的老友记，我会爱上你
(2星)	只有我觉得不好看么= =
(5星)	期待完整看完
(3星)	看了一集，没吸引看下去
(5星)	跟老妈一起看的美剧~~~真可乐！
(5星)	特殊意义
(4星)	每次叫外卖我都看。。。
(5星)	GOOD
(3星)	纽约附近也有这么土的地方
(4星)	多年之前看的。
(5星)	真的跟中国家庭一模一样了……美国人中少见这样的。
(5星)	很好~搞笑~
(3星)	我到底还是对20分钟的肥皂剧缺爱..sigh...
(5星)	小时候很喜欢的美剧
(5星)	没什么好说的，最爱的情景喜剧片
(4星)	经典老剧
(5星)	best comedy ever
(5星)	每晚都会看一集，超级搞笑
(5星)	喜欢双胞胎的小伙子们
(4星)	三星半吧，虽然是多奖剧，但有些笑点还是老了点~
(5星)	老妈应该拿最佳女配角奖。
(5星)	简单、敦厚、小憨的男人形象严重影响了我的择偶观，青春记忆咧~
(4星)	央视演的时候看的~
(2星)	S1E1
(2星)	感觉好老……
(5星)	经典，不解释
(NA)	好玩呀
(5星)	初中时常看的剧集~~
(5星)	初三那会儿，每天半夜转CCTV8看两集再睡，搞废一家带来无尽欢笑。
(5星)	家庭琐事，娓娓道来，别有韵味
(5星)	轻松的家庭喜剧 陪伴我读过了大三的每个夜晚～
(NA)	很早很早以前的电视剧啊~~~
(4星)	越看越好笑 
(5星)	最喜欢的美剧 没有之一
(5星)	好吧我看的是央视配音版，一家人一起看的，我妈很喜欢
(5星)	第一部美国情景剧 这是凤凰卫视带来的
(4星)	看到第三集之后觉得好看了
(NA)	哈哈哈···我最开始接触的美剧···现在看来还是不错···
(4星)	笑爆
(4星)	是有多needy.........竟然要看央视美剧
(5星)	萝莉！
(5星)	人人都爱 哈哈
(5星)	好看啊，最爱他老爸和他哥哥，太逗了
(5星)	想起成长的烦恼
(4星)	oh，雷蒙德~~
(5星)	我还记得是当年高考前的寒假每天守在电视机前
(5星)	也是经典喜剧回忆
(3星)	看完第2季就看不下去了...情节有些缓慢
(5星)	看过一些，很棒，特别是CCTV8的译制
(5星)	轻松搞笑 生活美好
(5星)	超有爱
(NA)	貌似是在CCAV放过的样子。。。没什么太大感觉。。。
(3星)	笑点不明..
(5星)	很有爱的一家人……能从中发现不少生活的智慧……
(4星)	怎么说呢,它不是那种让你一下子就爱上的剧,也不是特别逗乐的那种~但是不经意间某人的某个表情或动作,会让你笑上很久~　喜欢Ray的老爸和哥哥~哈哈!
(3星)	我觉得有点无聊呃
(4星)	貌似中国人的笑点和美国人不一样……
(NA)	小乖乖~
(5星)	看的第一部美剧：）
(NA)	很轻松很搞笑
(3星)	练口语
(5星)	弃，已经不适合了TVT
(4星)	慢热型的喜剧，需要慢慢品
(4星)	启蒙美剧啊，好像记得小学寒假的时候CCTV8每天下午放
(5星)	想找个ray这样的男人
(5星)	贴近生活，有时候会让人会心一笑
(NA)	某年暑假中央八放的时候看了好多好多集
(5星)	很屌的情景喜剧。
(5星)	以前中學時候看的沒想到有那麼多季 現在哪裡還有補么TAT
(5星)	看到第几季忘记了
(3星)	还行。比起天才保姆就差了点儿。
(5星)	九季一集没落的看下来了
(5星)	真是神奇，本来是看着老友记第二季的，怎么俩星期下来不知不觉反而把雷蒙德第一季给看完了。。。相比老友记里的友谊和各种俚语，雷蒙德讲的是家庭生活中的鸡毛蒜皮，虽然可能没有前者那么逗，但是充满了温馨。个人认为是婚后必看的情景喜剧。还有雷蒙德里面的英语十分的简单易懂，看的时候障碍少多了。
(NA)	同样第一季来比，喜欢这个多过老友记。。。
(2星)	最恨情景剧
(5星)	小時候最愛
(4星)	CCTV8看的，挺好玩的～
(5星)	比老友记更多一份温馨，很喜欢Ray无奈的样子说come on~
(4星)	或许还好..可我看的中央台的配音版！疯了...
(5星)	或许不是那么搞笑，但是让人感觉很舒服
(5星)	平常家庭 台词幽默智慧 和六人行都是我的最爱
(5星)	温馨的一部剧~央视的配音也很有爱
(5星)	感觉意大利人跟国人好像啊
(3星)	可能是看夸张的美剧看多了，感觉剧情比较平淡，笑点也少
(5星)	爆笑
(2星)	实在是看不下去了，第四季怎么也进行不了了，没多好看啊！！！
(5星)	雷蒙德他哥哥的臭脚
(4星)	爸爸是亮点。
(3星)	很一般，额~~有friends在，总感觉是无法超越的~~
(2星)	有个朋友超级爱这个，可是我看了几集，完全无爱啊
(4星)	我好爱Robert哦！！还有他们老汉儿，嘴巴好贱哦！！
(5星)	我最喜欢的美国情景喜剧
(NA)	最后一季的最后一集居然出现问题。。。
(5星)	一家人一起看～～其乐融融～～～
(4星)	很真实的生活剧 搞笑不间断
(3星)	CCTV8。。。
(3星)	貌似是在CCTV8海外剧场看的~~~
(5星)	看的最早的一部美剧，对当年来说是三更半夜CCTV才放的，睡觉还是看电视是个问题
(5星)	真的真的非常好的美剧，太贴近生活了，里面的好多笑点，故事好像都发生在身边，有着相同的经验，看起来就特别的不一样。真的很不错哦
(5星)	老头儿像我爷爷，老太太像我奶奶。只是略微。所以我喜欢。
(5星)	5年前看的，当时就被他们一家迷住了，特意买了张盘没事就拿来乐一下。这一家子都在成长，我也是~
(4星)	这个学英语不错
(NA)	人人都爱雷蒙德
(5星)	每天睡前都听着睡  真不错的一部！
(5星)	每一集都无比搞笑！
(5星)	天天笑死我
(NA)	没看全，挺欢喜的
(5星)	都爱雷蒙德~
(4星)	很搞笑的一家人~里面的对话也特别逗。不过看多了还是有觉得套路了。。。
(5星)	超级喜欢的喜剧呀 中央台还放过一阵子的
(3星)	没觉得好看……
(5星)	温情，家庭，舒服。用心的发掘生活中的细节，老美做得总是很好。而且不用说教，就让人理解一些温情是如何改变我们，如何教会我们在复杂的家庭外生活奔波后安享生活....
(NA)	好看
(5星)	自然，轻松的幽默，温馨的家庭喜剧，每个人都是真实平凡，又那么幽默可爱
(4星)	他妈妈就是个奇迹 经常看得我口水连连
(3星)	只有我觉得不好看么= =
(5星)	从小看到大~~
(NA)	个人感觉瞒有意思的
(NA)	心中永远的经典喜剧
(NA)	央八
(3星)	毕竟不是美国人，看得时候没有那么带劲
(4星)	典型那个年代的美国剧，很祥和很欢乐，也有些囧。
(5星)	练习听力的好电视剧，挺简单的
(3星)	好萌的啊。
(4星)	感觉有点面 这个戏剧没有什么张力
(NA)	still not finished yet.
(4星)	很有笑料 雷蒙德的家人各个是搞笑的能手
(NA)	比不上FRIENDS~却反映了真实的美国生活~赞
(5星)	Holy Crap
(4星)	高中时就指着这个了
(5星)	一直喜欢。
(5星)	太真实了
(5星)	继《Friends》之后的神作~
(5星)	他们怎么就能把这些个家庭琐事拍的这么有趣呢？
(4星)	used to watch this every night with my mom
(5星)	雷蒙德很像可爱正宗的上海男人！
(4星)	看这部片是因为叶清哥哥配的CM去看的|||虽然家庭剧始终不是我的style||||
(5星)	我非常喜欢的一部剧，很美国，很经典。但是好像国内接受度不像老友记那么低门槛老少咸宜。但是对我来说笑点比friends多很多。
(NA)	美国人的幽默全世界都爱！
(5星)	其实很爱他哥哥，小女儿太可爱了～他爸爸真是个老活宝
(5星)	我的高三就是靠这部剧顶过来的。。
(5星)	真的很逗。他们的对话很多是在太经典。
(NA)	just so so
(5星)	初中就开始看了。
(4星)	我和牛爷都爱看~
(3星)	没有friends好看!!
(5星)	太搞了~Balon一家都是活宝
(5星)	 太好看了
(5星)	虽然很老 但是笑意盎然啊。
(5星)	N多年前看的，搞笑片段至今记忆犹新
(4星)	阿Ray~~凤凰台很早以前播过~~笑翻了~
(5星)	温馨 正是我要的生活
(NA)	很搞笑 没看完
(5星)	每个人物都个性鲜明 最想风头的是雷蒙德的哥哥和爸爸  这一家也太搞笑了  值得一提的是 每次看他们一家坐在电视前面吃东西 我都好饿啊
(5星)	追了好几部,很让人放轻松的一部肥皂剧
(5星)	蛮好看的
(5星)	I just love it！
(3星)	看了几集，找不到笑点。
(5星)	轻喜剧
(5星)	喜欢.``
(4星)	这一家子还是挺可爱的..BUT,讨厌ray的声音..
(5星)	知道peter boyle去世的時候還是傷心了一把。超級喜歡這一家子，marie, frank, debra, ray, robert, amy and the kid, I love u
(3星)	当他老婆太不容易了。。
(5星)	还记得以前全家一起看..
(5星)	无心插柳柳成荫
(4星)	很爆笑的  不过貌似开始都是优秀的
(4星)	还是蛮搞笑的
(4星)	幸福快乐的一家子，偶尔有点小矛盾，但彼此总是相爱的。以前每天晚上都守着CCTV8，看完才去睡觉
(3星)	此剧应该换个名字叫&#34;丑陋的美国人&#34;,ray和其老婆身上几乎包括了所有的人性的缺点,应该是有意黑色一把的吧!!!
(NA)	呵呵，那个大块头
(4星)	这个是总的吧，这种已经完结的剧集就应该弄一个完整的条目。Frank＞Robert＞Mary＞Debra＞Raymond。还记的最爱Frank那句“我真希望能有一颗可爱的彗星呼啸着撞上地球，从而为我带来甜蜜的解脱！”Peter Boyle已经甜蜜地解脱了 T T
(5星)	真是很经典的喜剧啊
(NA)	不喜欢。看来我不是everybody
(5星)	那天我告诉妈妈我要嫁给弗兰克 我妈摔了一跤 喜欢cctv的国语版
(NA)	比成长的烦恼强!
(4星)	这应该算是我接着成长烦恼看的第二部美剧了，这一家都很可爱。虽然没有像成长烦恼那样是经典中的经典，但是也算是美剧中很有代表性的作品了。可惜我小时候看的不全，我只记得雷蒙德他哥挺杯具的
(4星)	半夜2点 中央八 
(NA)	在陆陆续续的看，情节比较轻松~
(NA)	珍爱生命 远离婆婆
(3星)	越看越觉得，怎么这一家人可以这么混蛋的？？？看了将近8季，不想继续了。就此停止罢。。。
(5星)	他确实很可爱
(3星)	有点冷幽默
(5星)	哇哦~猜对主角是射手
(5星)	很好 很强大
(5星)	我好怀念国内CCTV8的中语版呀
(2星)	很早以前在凤凰看得，不是很好笑其实
(3星)	主要是男主很像我舅舅- -|||
(5星)	皇朝八套唯一的亮点
(5星)	经典
(5星)	看的第一部美剧。。。重温....
(5星)	我老婆说我以后会变成雷蒙德！
(5星)	I don&#39;t really get it very much. 噢我要中文字幕有些笑點太native不過還是讓我有了段歡樂時光在今年寒假的開始
(5星)	haha~
(NA)	哈哈
(3星)	太久远了，不过经典
(3星)	男主角其实表演很一般。
(4星)	人家推荐。。。
