http://movie.douban.com/subject/3018463/	真假东宫 無頭東宮
(4星)	 说真的不错啊。十年前播的时候就在追了。。tvs4又播了好几回。。又看了好几回啊。。还是十年前的港剧有感觉。。            
(3星)	 看的时候我一直在考虑，向海岚到底是美还是不美的问题            
(NA)	 狗血            
(2星)	 我也不知道为啥要看这个电视剧，雷得很。最后那个大合照的好人有好报更雷。            
(5星)	 體到好激氣！ 好人太忍讓！！！！！！！            
(5星)	 去年封视帝的时候，让陈妙瑛颁奖，我在想陈妙瑛是谁，她一出现，我就喊：不是那个无头东宫的吗？！超惊讶的……她现在是一个成功的女强人了。            
(NA)	 中学记忆中看过的剧集            
(NA)	 结尾有些仓促了，不过以当年的标准来衡量的话，还算不错            
(4星)	 小时候中午回家吃饭就看~~那时候迷的呀~印象挺深的..            
(NA)	 2011            
(5星)	 很好看，而且主题曲写的也很贴切            
(1星)	 我特恨这剧。向海岚一丑逼应被说成国色天香，还有鸳鸯大饼脸的陈妙瑛。            
(NA)	 长沙出差~            
(4星)	 小时候真的好喜欢= =+            
(2星)	 当时喜欢，现在觉得很无稽。            
(4星)	 陈妙瑛的代表作之一，其实我挺喜欢她            
(4星)	 雖然說是好人有好報的陳腔濫調，不過好在演技、劇情夠出彩，這麼多年還令人不忘，終於找到資源再看一遍，還是很好看啊!            
(4星)	 其实当时还是相当的喜欢            
(4星)	 奇绝！            
(3星)	 为什么皇帝没死？龙血什么的没明白。            
(5星)	 我两天晚上，一路快进看完，觉得多好看的。比现在的宫斗有意思多了。。。神鬼神鬼的。            
(5星)	 小时候超级爱看这个，觉得好好看啊，演得很好，今天吃饭的时候竟然看到某个电视台在放这个            
(4星)	 港剧很好看            
(3星)	 童年            
(5星)	 无头东宫            
(4星)	 不出意料，开头是恶毒女人的陈妙瑛，没几集就演回好女人了            
(2星)	 一般般 给2星            
(3星)	 大结局最囧了。            
(5星)	 如外貌让人错用情 如何让你看真我 来看一次清楚            
(NA)	 再看还是觉得陈妙瑛好百变            
(3星)	 说教意味强 丹儿貌美不红没天理             
(3星)	 没看全            
(3星)	 没看结局。            
(4星)	 很早之前看的，说不清男主这样反复的动机，说他是外貌协会的也是，不过结尾很难让人觉得男主不是因为感动才接受女主的。纠结的人物关系。            
(4星)	 以前好喜欢向海岚，觉得里面她长得好美，结果现实再一次幻灭了啊啊啊啊            
(3星)	 那时觉得好恐怖啊，最后换头那时候&gt;_&lt;            
(4星)	 主要关于复仇的电视剧，三色台的非典型作品            
(3星)	 小时候看还是比较恐怖            
(NA)	 印象最深刻的港剧之一……            
(3星)	 安徽台一播哪里都播了。还有没看过的吗。            
(4星)	 我真想说两个演员选得好啊，性格转变的都很自然！！！            
(NA)	 小学时看过好多遍的了。。。想当年一直觉得这个名字很诡异，无头东宫，当时认识的字又不多，一直在猜测叫啥来着=-=            
(4星)	 看的很入迷 陈妙瑛的演技真是不得了啊 为什么没红呢            
(3星)	 2011才看的电视剧。            
(4星)	 现在想想这戏真经典啊            
(5星)	 这个太经典了            
(3星)	 在某一集里看到关宝慧，欣喜之。于是从头开始看。结果她的戏少的可怜····哎            
(5星)	 真的被感动了            
(3星)	 结局真的是。。。。            
(3星)	 又在说人的外表重要，也在说心灵善良更重要，外表不好看悲剧么            
(3星)	 就那样            
(3星)	 看这个感觉向海岚蛮好看的-。-            
(4星)	 7/10，励志。。。            
(3星)	 我知道某人是港姐出身，又一直在tvb的剧集里演美女，但恕我直言，我觉得她的脸真的长歪了，两边严重不对称啊。。。。。。。            
(3星)	 还行，漏洞百出的剧情看起来很欢快，有眼泪有欣慰。这是第二遍            
(3星)	 半夜睡不着觉看的狗血剧啊            
(NA)	 电视版钟无艳。可惜皇帝与贱妃都赶不上梅艳芳和张柏芝的范儿呐！            
(2星)	 太狗血了            
(3星)	 无意中看到恶俗的尹莎莎也爱看哈哈哈            
(5星)	 不是叫做无头东宫么？ 反正小时候看了一遍，后来长大了 印象深刻，又看了一遍 ，喜欢魏俊杰。。 演员演技都很好的说            
(3星)	 …………(﹁&#34;﹁)            
(3星)	 前段时间很多电视台又在放了。。。            
(3星)	 看看还可以。            
(3星)	 老片子, 最近很多卫视在放, 断断续续地看了个大概. 有点玄幻...            
(4星)	 很复杂的感情            
(5星)	 我认为最深刻的一部宫廷剧 小时候看得多虐心啊....            
(4星)	 前面好看 后面有点无聊            
(4星)	 那時候客串的佘詩曼是多麼青蔥啊~~            
(NA)	 人物性格好的太好，坏的太坏。。。。            
(3星)	 好人有好报。。。            
(4星)	 其实挺感人的，剧情就是TVB俗套滴那种～            
(3星)	 无聊的时候和家里人一起看了一些。            
(4星)	 还行啦 不要太苛求女主的长相            
(3星)	 狗血啊            
(4星)	 就是场景道具简陋了点            
(2星)	 好...土，好泡沫的片...可以拿来减压            
(2星)	 真觉得很无语的一个片……很多都不能放到古代的感觉            
(2星)	 小时候在农村看的 吓得半死            
(4星)	 情节曲折，但善良的主角总是被人玩弄于股掌之上，虽大团圆结局，稍嫌勉强。为什么编剧总认为观众的智商这么低呢            
(5星)	 当年看真叫震撼            
(4星)	 好小时候看的。反正，善恶有报吧！            
(3星)	 小时候的记忆            
(4星)	 以前TVB电视剧比现在那些神马宫心计精彩得多多多声            
(5星)	 好女人，可悲。贱女人，可怕。            
(NA)	 明明叫无头东宫！干嘛把人家名字改了？            
(4星)	 10年前的香港无线电视，内地编剧还是无法超越 。。。真是悲哀，            
(3星)	 好纠结，人不能好过头，给别人犯罪的机会            
(3星)	 神奇的电视剧哇~~            
(NA)	 考g前一天在酒店看这个看疯了。            
(3星)	 纠结得很            
(4星)	 一如既往的港剧风格~            
(5星)	 你需要怎么样的爱情亲情友情            
(NA)	 变脸那里最假但是很有创意            
(4星)	 四星 给小时候的你            
(3星)	 妙英很红的年代，已经很久很久了 消磨时间 居家旅行必备之良品            
(5星)	 少时的美好回忆。难得的好电视剧。演员演得很好。            
(4星)	 挺不错的  剧情之类的都还算吸引 就是男一差了点            
(3星)	 这个居然还上了排行榜~最近某台在播，原来喜欢看电视的还是多啊！            
(4星)	 多年前很喜欢的电视剧，当年很有噱头的。            
(NA)	 同事带着看的，真烂！！！            
(2星)	 男的不帅，女的不美            
(3星)	 有点毁。。            
(4星)	 真的很佩服TVB的编剧，这么老套的剧情也能写的丝丝入扣，还不让观众觉得很俗。            
(2星)	 没意思            
(4星)	 诶，好人终究有好报，虽然需要经历那么多的坎坷与挫折。            
(3星)	 开始还挺新颖，后来就般般了            
(4星)	 这部老剧最近又被翻出来了。如果以现在的观点来看这部剧的话，肯定会说秉着老好人的说好人好报这回事。不过在9年前看这部剧的时候还是觉得很有新意很好看的            
(3星)	 构思还行，演员不怎么喜欢~            
(3星)	 加班看，m一下            
(4星)	 任何形式都不重要            
(3星)	 你能想到的一切情节，这里面都有~            
(3星)	 剧情有点郁闷，凌云怎么这么命苦。乐人大哥的一句话说得好：“你的容貌也给她了，老公也让给她了，好了，现在连辛苦18年养大的儿子也给她了。。。。”下一句我补全吧：“你怎么可以这么没有原则的善良宽容！”另外，那个狗皇帝太可恶了，竟然还有一个好结局，怒。凌云不会挑男人，应该和乐人在一起哇            
(4星)	 当年觉得剧情很特别，不错。            
(3星)	 断断续续看的，打发无聊。            
(NA)	 这俩女人都太丑了！！！！            
(5星)	 还是小时候的港片好看呐....            
(3星)	 昨天偶尔看到外地频道在放，结果看了一会儿 感到觉人性的丑恶啊！！            
(4星)	 尽管有很多不合理的地方 但是看得很过瘾 结尾有点接不上气 原来非凡哥演技很久前久那么好了 他倒是一个至情至性的好男人 凌云实在不识货哎。。。            
(1星)	 有事钟无艳，无事夏迎春····贱男人··这一星是给凌云的善良·····剧情什么不谈了···········哎···········            
(3星)	 真够傻的            
(2星)	 搞不懂向海岚为什么红！！！！            
(4星)	 圣母般的皇后，让人快进的电视剧...            
(3星)	 要做好人。            
(4星)	  大凡美丽的女子，不见得内心如此。            
(3星)	 为神马觉得这么幼稚，虽说更幼稚的都喜欢            
(4星)	 挺好。            
(3星)	 狗血            
(4星)	 唉~当个好人真是太难了。            
(3星)	 钟无艳的脸，回家诱惑的情节。            
(1星)	 老套的古代整容狗血剧            
(3星)	 真假东宫真假            
(4星)	 很早就看过了。但不知道为什么电视又重新翻出来再播，但是一部不错的电视剧            
(3星)	 大家都是外貌协会            
(2星)	 麻麻周末一直在看，这个剧是缺少灯光师吗？            
(4星)	 精彩····            
(NA)	 我的双休日完全就跟着安徽台在走啊~            
(NA)	 突然觉得行宫刑的该是皇帝而不是太监…            
(3星)	 也是老剧？还不错～            
(2星)	 钟无艳的模式，佘诗曼 魏骏杰客串。。。            
(NA)	 我妈妈很喜欢的一部            
(2星)	 原来这部叫无头东宫 把那时年幼的我吓死了 一直都记得一些情节片段 好恐怖阿            
(4星)	 很喜欢的一部剧，让敖嘉年红了一阵子，还上了K100，喜欢陈妙瑛，几年前在晚上六点重播过，追着看            
(4星)	 天涯涯对我热衷此剧表示无语。。。虽然我自己也被很多狗血地方雷到但是真是集集看啊还像个老太婆一样边看边评论。。。个狗皇帝个死女人让我进来打死你！            
(2星)	 编的也太不爽了            
(2星)	 什么垃圾二百五啊            
(4星)	 我好想忘记讲啥了。。。            
(4星)	 三星半吧，尚未上位的阿佘的客串，大眼睛，高鼻子，小嘴巴的大美女，当出现是阿佘的样子的时候，我有种上当的感脚。。。角色一直在精分，灰常的考验演技哟~~啧啧啧。。。            
(5星)	 次次睇都要鬧下個狗皇帝！            
(3星)	 以前就喜欢这种悬疑斗来斗去的宫廷片。我又没印象了~            
(1星)	 好人是有好报，可是人蠢到这个地步，被人坑也就真没什么可说的了            
(4星)	 很虐，所以给了4星            
(4星)	 陈妙瑛是港姐冠军？！好像是            
(4星)	 这皇帝就该被推翻            
(5星)	 好看            
(3星)	 张兆辉帅！            
(4星)	 太纠结了。不过总体来说还是很不错的。。            
(2星)	 主旨是好人有好报 内在美胜过外在美，但我分分钟的感觉就是，人善被人欺，看的一肚子气，女主蠢到死，男主贱到想让他死            
(4星)	 话说我到现在都不知道结局是什么            
(3星)	 电视剧频道            
(3星)	 这结局太囧了。其实这剧是想告诉我们其实外在美才是最重要的吧~~            
(3星)	 难道后宫只有两个人么！！！！            
(5星)	   我太喜欢的宫廷神怪剧了~            
(4星)	 当年觉得很好看的，还算经典吧            
(3星)	 纯狗血剧，几乎每一步都能预测到，编剧是不是智商太低了。。。            
(3星)	 整了型的姑娘们注意了。。。孩子生下来。。。最好是像爸爸的。。。            
(2星)	 女的长的不行。。。            
(3星)	 这剧太能搞了。。            
(4星)	 变脸+狸猫换太子            
(3星)	 好人总被坏人欺负…为毛啊这是为毛啊！！！！            
(3星)	 太搞了。受不了了。            
(4星)	 换脸的部分吓到我了 话说佘诗曼客串的部分还是很靓的            
(4星)	 还蛮有趣的一部片子。帅哥美人也不乏。主题也很有趣。            
(4星)	 小时候……            
(4星)	 好港的港剧呀。。            
(NA)	 俺妈每次就拿这部剧的经典台词教育我，要将心比心。哎，还想再看一遍。            
(NA)	 陪我妈一起看的~最后还跟她解释谁的脸是谁的脸，最后我自己都晕掉了            
(3星)	 最近一寝室的喜感            
(3星)	 开头还蛮好看的，越看越凌乱。。。坏人享了29集的福，好人吃了29的苦，这算嘛呀？增狗血啊！            
(4星)	 其实很不想看过~~            
(3星)	 哈哈哈，没想到我也看过哦，据说最近电视台还在播，真经典。            
(3星)	 原名这么惊悚囧            
(3星)	 太瞎了，不过就瞎着看咯。其实也对，第一眼能看什么，也只有外表了，我们都很肤浅，古代是，现在是，将来也是。            
(5星)	 又重播了一次，我又看完了一次。。。連同小時候看的首播我好像看了快六次了。。。劇情都記得可是還是喜歡看我這是神馬病啊            
(3星)	 以前看过，最近TVB重播，跟姐姐又看了一次。            
(NA)	 賤女人！！！            
(4星)	 那些时候。我们一起看。            
(4星)	 美貌，美德和男人的故事            
(3星)	 其实真的还可以再假一点的……            
(4星)	 好多集是半夜一个人在家看的，被吓到。            
(4星)	 陈妙瑛向海岚主心骨呀！            
(5星)	 好人有好报...我是好人啊..快来报我吧..            
(2星)	 皇帝还不如个太监。。。            
(5星)	 以前TVB的劇太好看了。            
(5星)	 真的很好看。有意义。            
(3星)	 老港片还是很多经典的~            
(4星)	 好吧，主题曲不错~            
(4星)	 牵连我的重要记忆            
(NA)	 结局太搞笑了 齐声说好人有好报            
(4星)	 如外貌让人错用神            
(5星)	 爱到死掉算了            
(3星)	 女主很难看~剧情很一般~            
(3星)	 主题曲不错。            
(5星)	 超好睇            
(NA)	 10.10.03            
(3星)	 很老的片子。不过还是老演员看的顺眼。虽然剧情有点离谱。但看看熟悉的那几张脸也算缅怀TVB的辉煌了。            
(4星)	 很小时看过了，然后多年来都没忘记啊            
(3星)	 好心有好报..囧            
(3星)	 好色之徒，见异思迁，寡情薄义，终究还是以貌取人，伪装的永远不会长久！可怜可笑可悲痴情女子            
(4星)	 导演编剧演员都很赞。节奏把握的到位            
(3星)	 当年在大学寝室用很小的电视机看的。。。            
(4星)	 当年劲爱看            
(5星)	 换脸，小时候的又一阴影。            
(3星)	 街知巷闻，人人热议的程度啊……            
(4星)	 以前看的，，星期一到五的中午播，天天追，啊~好人太好，坏人太坏            
(4星)	 向海岚喺依套剧里面有上佳噶演出……陈妙瑛就一如以往咁好            
(3星)	 那时候觉得很恐怖。还有向海岚。            
(3星)	 向海岚演奸角真的是奸到出汁啊！            
(4星)	 陈妙瑛D戏都唔差，鬼鬼怪怪噶电视剧今年TVB好多拍了            
(4星)	 陳妙瑛超慘噶。。不過都好耐無見過距lu~            
(NA)	 突然想起这部戏。            
(3星)	 向海岚果然适合演坏人。            
(NA)	 揪心！不经不觉陈妙瑛已远离银幕多年了~            
(2星)	 断断续续的看了一些，算是TVB里我觉得不怎么样的剧。            
(3星)	 没有想法了……            
(4星)	 好剧~假期又再看了一遍。剧情很好~            
(4星)	 女人 必須善良。            
(NA)	 我居然从头看到尾...            
(4星)	 皇帝口口声声说是不看重女子的美貌, 其实世上的男子都是先重色喜新厌旧之人，说不在意其实在意得很。            
(4星)	 这是美貌与德行的较量，最终，善人终有善报~恶人终会自食恶果~            
(4星)	 如果今日我没有了这张容貌，你是否会爱我如昨日。            
(3星)	 貌似看过真是太多人anti向海岚了            
(5星)	 经典啊，陈妙瑛·~            
(4星)	 我承认 我犯贱太拖沓了！！！！！啰嗦            
(3星)	 嚇死你！            
(5星)	 挺好看，也挺感人~            
(4星)	 至今还记得那个头飞来飞去~~            
(4星)	 以前第一次看的时候有些地方会哭            
(3星)	 主演其实不算实力最强，陈妙瑛算是当中最有号召的吧。剧情不错，演的也很好。善良最终得到了幸福，但是皇帝实在是让人恨啊，为什么就为了那张脸呢。主题曲的词写得非常好，唱出了女主角的心声。            
(4星)	 片头曲非常喜欢,道出了男人皆是视觉动物.            
(4星)	 从此讨厌向海岚            
(5星)	 这部剧真的很好看 初中的时候还买碟放呢 车婉婉唱的片尾曲现在还能哼上几句：若眼睛可分对或错 这样的女子 你可深爱么~~            
(4星)	 很喜欢陈妙瑛，所以就看了，剧情有些冗长，充分展示了好女人能有多大的容忍度和奸妃有多么的狡诈            
(NA)	 高中看的            
(3星)	 还是有点啰嗦            
(4星)	 最终还是“好人有好报”吖~            
(NA)	 超级好看！！！            
