http://movie.douban.com/subject/2210241/	贫嘴张大民的幸福生活
(NA)	 我老是把这部剧说成《贫民张大嘴的幸福生活》。一般人无论如何也难以把张大民和狄仁杰联系起来，梁冠华活生生地做到了……这种演员才叫实力派            
(4星)	 没事偷着乐            
(4星)	 哈哈，挺逗的！            
(2星)	 当时大人们都在电视前等着这电视剧,让我错过了N天的动画片,一度对此剧无比痛恨            
(3星)	 贫嘴张大民的幸福生活            
(NA)	 不错~            
(5星)	 梁冠华的话剧功底够厚            
(3星)	 小时候没少逗我乐！！啊哈哈            
(5星)	 大民，最近倒腾期货呢？！            
(NA)	 挑着集看的。。            
(4星)	 四合院里的家長里短            
(5星)	 我是看着这部片子长大的，今天看着室友在放《有话好好说》，不知怎的就想起张大民了，点开pptv一搜还真有，看了一集，那些记忆就又回来了：放学铃响的拔足狂奔，晚上被窝留出的那一条缝。。。我想这是这个雷剧横行的时代所不能给我的生活本就有太多的无奈，只要心不死，还有些期待就已足够了吧。             
(5星)	 这是我向所有打算了解北京，不是北京人，是外国人，随便哪儿的人，推荐的一个电视剧。            
(5星)	 小时候看哭了。            
(4星)	 这个。。。真的蛮好看的啊。。。            
(5星)	 那时候的霍思燕 啧啧 现在感觉她找不到自己定位了            
(5星)	 特爱看！！            
(5星)	 国产剧前10之一！生活流。            
(NA)	 我其实还看了不少电视剧的 因为初中以前家里没电脑            
(4星)	 北京 胡同和四合院的北京            
(4星)	 也是10岁看的吧或者更小，看过好几次重播            
(5星)	 很喜欢。。            
(5星)	 演技还得看话剧演员。            
(NA)	 雨儿胡同！            
(4星)	 多么经典！            
(5星)	 别了，司徒雷登！            
(5星)	 每一个人物都特草根儿，还特精彩，提炼生活中的矛盾与幽默。好剧本好导演好演员，难得了！            
(4星)	 我操又是缅怀岁月剧            
(4星)	 mark            
(5星)	 还能再有吗…… 绝了            
(5星)	 为了小柯还有朴实无华的故事五星            
(5星)	 反复看的一部电视剧。            
(4星)	 特真实            
(5星)	 初中            
(4星)	 平凡人的生活....怎么不是一天呢            
(5星)	 我等贫民的真实生活            
(3星)	 各种憋屈 各种真实            
(5星)	 梁冠华把张大民演活了。            
(5星)	 看得我很心酸的，电视剧拍的是不错的，原著也很好看。            
(4星)	 讲述老百姓自己的故事.            
(NA)	 当时真乐和            
(5星)	 很喜欢片头曲，居然是在府佑街的老干部宾馆里看的，拍得真好，想再看一遍            
(NA)	 我当时就纳闷了 他怎么找的这样的老婆啊             
(5星)	 这个结尾，在以后的几年里看过很多遍。每一次都哭的稀里哗啦。            
(4星)	 可肥了。我都不爱。我觉得他是吃韭菜长大的。            
(NA)	 小学还去图书馆结果这本书            
(NA)	 我就记得那沙滩了...            
(5星)	 好看 我喜欢~            
(3星)	 他家床中间的树……            
(3星)	 。。。。。。。。。。。。            
(5星)	 我怎么就那么喜欢这部电视剧呢，平淡中体现的温情，花多少钱也买不来！            
(4星)	 貧賤的幸福就不是真的了么  幹            
(5星)	 市井、世情            
(NA)	 没看全            
(5星)	 很贫很真实            
(5星)	 播这部戏的时候，北京就是那个样子。不怎么富裕，外地人觉得它没有首都的风采像大农村。但那会北京就是北京，特有精气神，很多人像张大民一样善良朴实毛病挺多爱耍贫嘴，实实在在的过着日子。现在的北京呢，有钱人多了，越来越繁华，可为什么我觉得这个城市越来越浮华，离“北京”这两个字，越来越远了            
(5星)	 这才叫耍贫嘴            
(4星)	 平平淡淡才是真            
(5星)	 这剧太北京了。欲罢不能。            
(4星)	 什么时候能写部这样的 我也能立~            
(5星)	 胖子版            
(NA)	 没看过几集。。            
(NA)	 当时不明白 好好的一个女娃娃 咋就得白血病了呢            
(5星)	 很逗很逗            
(4星)	 看的我想哭 还害怕            
(4星)	 主题曲不错，谁唱的？            
(NA)	 妈 这么丑的男人有什么好看的            
(4星)	 贫民的快乐与辛酸~            
(3星)	 不如小说            
(5星)	 我还是没法把老梁和狄仁杰联系起来            
(5星)	 家胡同拍的,有感情啊~            
(4星)	 悲欢离合、阴差阳错，很琐碎也很无奈，但这就是生活。除了梁冠华这个戏精，霍思燕演的大雪也让人难忘。            
(5星)	 装修高手。依然记得大民向弟弟借钱的那段：就当你放了个屁，我也放了个屁，一阵风把它吹走了            
(5星)	 心酸的幸福，没事儿偷着乐吧            
(5星)	 小柯的片头曲            
(4星)	 =w=            
(5星)	 爱你的人儿来了            
(5星)	 高三前的暑假我看了第3遍            
(4星)	 国产连续剧中少数好看的之一            
(3星)	 张大民的媳妇，为什么嫁给张大民了呢。            
(4星)	 很温馨！            
(4星)	 日子            
(4星)	 痛并快乐着。            
(3星)	 补漏            
(NA)	 开始时还好 后来就不爱看了……            
(4星)	 还不错            
(5星)	 觉得很生活            
(5星)	 先笑，笑完就想哭            
(5星)	 苦辣酸甜的生活片 我最喜欢的电视剧            
(5星)	 就他妈 好这口            
(NA)	 一种生活~            
(5星)	 非常好！            
(5星)	 太贫了            
(5星)	 经典            
(NA)	 觉得他家挺乱的~小时候觉得他媳妇儿特漂亮。            
(5星)	 好故事 好生活            
(NA)	 还是因为无聊            
(5星)	 很实在的片子 !            
(5星)	 真实，就是好。            
(4星)	 我笑了我哭了.平凡而又深刻            
(5星)	 笑中带泪.喜欢朱媛媛            
(4星)	 贫嘴张大民的幸福生活            
(NA)	 平淡生活里是应该这样的乐观的            
(5星)	 相较目前流行的《奋斗》，这个更像奋斗。            
(4星)	 太苦了一点吧。。            
(NA)	 百看不厌            
(4星)	 生活味很浓            
(4星)	 一个平凡人的快乐              
(4星)	 苦辣酸甜一把抓，很生活。听原声带，听得我很感慨。。。            
(5星)	 喜欢.每个人物都很鲜明.            
(4星)	 再次证明，贴近生活的剧，就会收到人民的欢迎            
(5星)	 生活就是一部喜剧，要把它过得有滋有味儿。            
(NA)	 先看的小说后看的电视，还是小说给我的感觉要深。            
(5星)	 超级喜欢的无敌经典！            
(4星)	 哎。            
(NA)	 小说是天津的故事 移植到北京 经典儿媳云芳 经典好婆婆 无能大军的小算计 大雪下水道里的卫生球  强驴大雨 山东女婿 (对了貌似李木勺就是悬崖里的鲁明)  虚荣的沙沙 玩物丧志的古三 白眼狼老五  当然还有我们可爱的大头大民.  苦中作乐 不容易啊              
(4星)	 和我们听力老师长得真像。。。            
(5星)	 动人            
(NA)	 无奈，忍耐。            
(4星)	 恩            
(NA)	 哈哈            
(5星)	 中国最好的电视剧~没有之一~            
(5星)	 比电影版的好，电影版换成了天津话版，总是少了点什么。这就是生活，无奈中的幽默。小人物，自得其乐就好。            
(3星)	 唉 說不清楚            
(5星)	 四合院里的一大家子，树儿~            
(3星)	 童年记忆            
(4星)	 平凡的幸福            
(3星)	 还记得是很小的时候的电视剧了            
(2星)	 小人物，大心情            
(5星)	 不同于肖申克的救赎那种经典。中国式的，世俗的。和编辑部的故事一类            
(NA)	 这个生活实在是憋屈啊。。。            
(4星)	 生活 ~            
(3星)	 我还是喜欢电影版！！！巩叔V5，我爱巩叔！！！！！！！            
(NA)	 挺贫挺好看的            
(4星)	 如果张大民连贫嘴都不会怎么办呀？看过之后我就被这个问题困扰了。            
(NA)	 小時候的記憶啊。。             
(5星)	 虽然他演狄仁杰也带点张大民味但喜欢            
(4星)	 哈哈。            
(5星)	 百看不厌。有情怀又幽默，演员好的吐血。。。            
(5星)	 那时候的霍思燕很灵啊            
(3星)	 就记住他家屋里那颗大树了            
(5星)	 最后张大民和他儿子说的话，一直记得，得好好活着。            
(3星)	 这个印象不深了，感觉好像一般吧。            
(5星)	 动人。            
(5星)	 认为是市民剧里面最为经典的，与渴望可以并列            
(2星)	 可能是太真实了 真实的我难受 特别难受 特别不想看            
(4星)	 朱媛媛年轻的时候真好看。            
(5星)	 在我看过的片子中，个人以为梁冠华最出彩的是这部，但使他名气高涨的却是《神探狄仁杰》。看来一部好作品得有一个好编剧，这就好比一支好球队要有一个好中场一样。            
(5星)	 看原著就边笑边叹气，变成电视剧更充分解释了“刘恒是个牛人”这个真理；梁冠华实在演的忒好了！            
(5星)	 是我眼中的上世纪末的北京人民生活。            
(5星)	 这绝对算得上一部励志片            
(4星)	 想想那时候多苦啊...            
(5星)	 真实饱满特别喜欢            
(NA)	 这，没治了            
(5星)	 日子            
(5星)	 非常喜欢的一部老电视剧 经典 感人 真实 每次听主题曲都有种莫名的感动 这种感动也只有我的内心才懂  喜欢冠华和媛媛姐 感谢你们创作的经典之作             
(5星)	 最爱的一部国产电视剧，百看不厌。            
(4星)	 经典……            
(4星)	 小柯的音乐很好            
(3星)	 不如小说好            
(5星)	 看过。            
(5星)	 中国最牛逼的电视剧之一            
(5星)	 回想起来牛逼闪闪的电视剧。“我说不大清楚，我跟你打个比方吧。有人枪毙你，没辙了，你再死，死就死了。没人枪毙你，你就活着，好好活着。儿子，你懂了吗？”            
(NA)	 看了半集            
(5星)	 幸福是个什么东西            
(4星)	 电影是冯巩演的吧。本子好，捧红梁冠华了。            
(5星)	 经典中的经典。小雪那时候多纯啊。            
(4星)	 死乞白赖改善生活的张大民是个能让人幸福的丈夫。            
(4星)	 N遍那            
(5星)	 798的那颗树            
(5星)	 草根有草根的辛酸，但是辛酸里更能寻味到幸福的甘甜            
(4星)	 小时候可爱看了            
(5星)	 草根生活适合我、、            
(5星)	 再也没有这样的生活了，也没有这样的爱情了！            
(3星)	 贫嘴~~            
(3星)	 那年好红的~            
(5星)	 好经典，很贫的生活~~            
(3星)	 有点苦的贫嘴生活。唉。。还得有钱啊。。            
(3星)	 哎。。真是老了。这个好像没看完。            
(4星)	 有年头了，可以说是我最喜欢的电视剧，它没有一个片段不动人。而且这个电视剧让喜欢吃炸鸡腿儿的人更爱炸鸡腿儿。            
(5星)	 好看，人艺的演员真是棒，个项个的好。            
(5星)	 想北京T T            
(4星)	 跟老爸坐在电视机前看大结局，张大民一家人爬到屋顶上看北京的胡同跟老房子，耳边传来信鸽撩人的呼唤声，我不经意看了老爸一眼，他居然眼眶湿润了。作为家中的老大想必是张大民的幸福生活触动了他吧？            
(4星)	 我爸特喜欢看            
(NA)	 婆婆丁黄            
(4星)	 贫            
(4星)	 好像有点印象。            
(5星)	 平头百姓的柴米油盐            
(4星)	 没错 我喜欢过朱媛媛            
(5星)	 跟爸爸妈妈一起看的。            
(4星)	 还记得他们床上那棵树，挺苦又挺幸福的。            
(4星)	 爆笑啊这才是·~~            
(5星)	 我当时觉得张大民很惨的            
(5星)	 张大国和贺小同的吻戏很牛逼。            
(5星)	 百味人生，人生百味。            
(4星)	 很搞笑的说，还有那颗树。。            
(5星)	 小时候看的……            
(4星)	 小时候好喜欢看，当时也不明白好看在哪里。            
(5星)	 所谓张大民一家的幸福就是在一种悲戚中尽可能地幸福着。            
(4星)	 经典呀呀呀！！！            
(4星)	 童年的回忆。那时的人好淳朴……            
(4星)	 贫民张大嘴            
(5星)	 很多温暖。一点心酸。            
(5星)	 我特喜欢这剧 我对屋子里面那个大树印象特深            
(5星)	 好看 幸福满溢            
(4星)	 1999年啊！当年我是怎么追星的            
(4星)	 烧鸡？童子鸡？脱骨扒鸡？！            
(5星)	 有一种人能将平凡的生活过出花来、            
(5星)	 “大民！给我拿两块儿冰！”很好看的电视剧，喜欢那间有树的屋子。喜欢留存住往昔的影像。            
(4星)	 小市民的贫劲儿            
(5星)	 特别有生活感            
(5星)	 哈哈哈哈            
(5星)	 小时候每天都看！            
(4星)	 生活剧 平实            
(NA)	 一家人一起看的  觉得很温暖            
(4星)	 突然想看张大民            
(4星)	 冯巩的电影版相当精彩，那时候的人相当的单纯美丽            
(5星)	 每个长假呆在家里无聊是就找出来看一遍 仿佛是惦记的亲人 需要时常见面一样            
(4星)	 还是电视剧版好看            
(5星)	 小人物的悲悲喜喜            
(5星)	 记忆中的老北京，总有鸽子在四合院上空飞过。            
(2星)	 很有哥哥的范儿。            
(NA)	 不错的记录            
(4星)	 老百姓的生活，柴米油盐，亦苦亦乐，身在其中            
(NA)	 和家人一起看过的            
(4星)	 我是實在忍不住想吐槽一句 有些人別再一廂情願腦內幻想地‘懷念霍思燕懷念霍思燕’了行不？ 人家霍小姐根本就不是什麼清純的主兒，從來就不是  人家現在釋放自己不再裝純了不是很好嗎 要真是粉您就去永遠永遠支持她呀~~  別天天跟那脑内幻想懷念懷念的行麼 看見就煩→_→            
(5星)	 每每想起这部电视剧 都觉得窝心 很喜欢这部电视剧             
(3星)	 ~(￣︶￣)~            
(4星)	 模范丈夫            
(NA)	 那院子跟我奶奶家的挺像            
(4星)	 我到底是多爱老北京啊            
(NA)	 当时根本不懂其中的辛酸，只会跟着傻乐……            
(3星)	 中国式悲剧。            
(4星)	 我讨厌死胖子的那股穷贫劲儿。            
(5星)	 不说了，国产电视剧少有的经典            
(5星)	 这就是我们的日子啊。            
(NA)	 很小的时候了            
(3星)	 这个也考 我记得是我奶奶辈儿的在家看来着  我疯了 还得认真答啊 擦            
(4星)	 现在还记得是上海台放的            
(4星)	 小人物的喜怒哀乐~            
(4星)	 记得他妈妈老了之后，糊涂了，总和人说&#34;给我嚼块冰&#34;。后来，我就热衷于要嚼块冰了……            
(4星)	 大民呐，就是人胖点，挣钱少点，其他的，没挑！            
(4星)	 张大民这个胖子            
(5星)	 老百姓的喜怒哀乐。经典剧。很有时代感。            
(3星)	 。。。            
(NA)	 哎            
(NA)	 屋子里的大树~~            
(4星)	 小贫民的生活，耐人寻味            
(4星)	 很早接触的一部家庭剧，其中贫嘴的场景历历在目。            
(NA)	 我很小很小很小的时候看的 剧情还记得差不多             
(5星)	 云芳，咱买鸡腿吃！            
(4星)	 当年看 感觉不错。。。。            
(4星)	 有喜有悲，就是生活。坐在屋顶上看鸽子飞，爬到香山上看北京城。一家人平平淡淡，就是幸福。            
(5星)	 必须五星好评啊亲！            
(3星)	 没看完            
(3星)	 第8集            
(4星)	 看上瘾过            
(4星)	 京腔最适合耍嘴皮子            
(3星)	 狄仁杰也演过这个。。。            
(3星)	 当年爸爸很是喜欢，跟着看了。            
(4星)	 现实的生活，无从逃避            
(5星)	 书也不错            
(5星)	 人活到现在再看一遍。就明白了好多。哭的稀里哗啦的。真的什么也不怕。            
(NA)	 我记得他们家大床中间有棵树            
(4星)	 当时就觉得霍思燕纯~            
(4星)	 对那个中间有棵树的房间很有印象。            
(3星)	 。            
(5星)	 我的童年，我的乡愁，我的北京，都在这部电视剧里了            
(NA)	 挺平民化挺写实的电视剧             
(4星)	 野百合也有春天            
(4星)	 头一次认识这胖老头，没想到几年后还能演狄仁杰，赞！            
(4星)	 老北京的真实生活，现在都没了...            
(4星)	 哇，这片子可老可励志了            
(4星)	 看过中篇小说的，这个拍的真不错，演员也都挺好。活的很幸福啊~            
(4星)	 挺实在的！            
(4星)	 不恶俗            
(5星)	 我爸就是个张大民！            
(5星)	 剧荒的时候就会想起这部，最好的国产电视剧，没有之一            
(5星)	 无法言语的爱            
(3星)	 小学的时候挺红的一戏。。            
(5星)	 很真实  一个大家庭 也很感动            
(5星)	 最后一集最后一家子给妈过生日那，看一次哭一次。            
(4星)	 小柯的《日子》很好听             
(4星)	 小人物的市井生活 痛并快乐            
(4星)	 很难忘            
(5星)	 喜欢。无条件。            
(4星)	  结果就是。。。看电影的时候 明显没这个爽            
(5星)	 好            
(5星)	 现实的无奈，人与人之间的真情和冲突。            
(5星)	 咱们普通老百姓就是这样过日子的。            
(4星)	 剧情不错，讲的都是底层百姓的日常琐事。只是电视剧的背景音乐声音太大了，没到放音乐就只能看字幕了            
(4星)	 不错            
(4星)	 哈哈 很好看的！            
(NA)	 每一天都要快乐。            
(3星)	 童年回忆，经典，搞笑            
(5星)	 其实很写实            
(3星)	 零零碎碎的看过些片段，不能说完整的看过，当时还不大，印象不深            
(3星)	 因为喜欢看没事儿偷着乐，是在大表姐家看的            
(5星)	 最喜欢大民妈妈            
(4星)	 苦中作乐            
(3星)	 当时觉得我爸和张大民很像            
(3星)	 小时候看得，不记得了            
(3星)	 我居然看过。。。            
(3星)	 北京胡同里平民的点滴生活            
(5星)	 和老哥都特爱看！！绝了            
(4星)	 北京北京            
(NA)	 爱胡同，爱北京            
(5星)	 印象最深得是张大民绞尽脑汁地丈量家中“土地”，总算勉强把家里人安排暂时妥当了。            
(5星)	 百看不厌            
(5星)	 百看不厌，演员很都是最优秀的久经沙场的舞台剧演员，每次看都有无穷新鲜感，每句台词每个表情都透着生活的精粹，拿捏地道。老北京草根旮旯的嬉笑怒骂，真正永恒的欢乐从来都是能够触动人心中最为真切的辛酸，让人回味，泪水也好欢乐也罢都是真真的老百姓自己的故事，感受到这感情就一点不嫌具体的夸张            
(4星)	 那年代拍出这种剧，不容易了。对主题曲印象深刻，尤其鸽子飞的那种声音。            
(5星)	 劇名被我媽說成：幸福生活張大民的貧嘴            
(4星)	 和俺娘一起卧被窝时看的            
(5星)	 贫绝对是一个优点。            
(3星)	 回忆            
(NA)	 阿Q啊这就是            
(5星)	 我还是先看的小说再看的电视剧，挺有感的，普通人的幸福生活            
(5星)	 很不错嘛！            
(5星)	 怎么说呢，老早就看过了，那会儿小看不懂，上周去上课，老师大概讲了下，其实挺犀利的，接下来要要演一段，希望自己能表现好            
(5星)	 苦中作乐            
(5星)	 很怀念交道口100号！            
(4星)	 很朴实 也很真实             
(3星)	 大民，给妈来块儿冰~有机会我还想看一遍            
(NA)	 妈妈喜欢看            
(5星)	 爸爸妈妈也喜欢            
(5星)	 要学习张大民的乐观积极态度。            
(5星)	 小老百姓的平淡生活            
(5星)	 小学每年暑假一个人在家看…生活            
(4星)	 很好看的，大嫂长得像我高中同学，哈哈            
(5星)	 刘恒的大民、云芳，拍成电视剧，也就这样了。            
(5星)	 N早以前，看的，拍的很亲民，挺喜欢的            
(4星)	 挺好的，很生活化的一部片子            
(4星)	 非常深的印象！！            
(5星)	 片尾曲特别京味儿，特别感人            
(5星)	 生活气息极强的一部电视剧~~ 演员都很棒~~            
(5星)	 现在这种题材的审查能过吗？            
(5星)	 大民~给我拿块冰~~~~            
(NA)	 http://movie.douban.com/pics/sth.gif            
(5星)	 活着。。。。。。            
(5星)	 直到现在还特别喜欢的一部电视剧，有时候觉得它纯粹的让人想哭。            
(3星)	 经典童年~            
(5星)	 小人物的甜蜜与心酸  也就同为小人物的我们才能够理解            
(5星)	 Hope            
(5星)	 大雨可怜            
(3星)	 小时候看过的            
(5星)	 笑中带泪            
(4星)	 知足常乐            
(3星)	 看过几集            
(4星)	 小学老师推荐过            
(5星)	 用尽全力被生活左右            
(4星)	 真实！            
(5星)	 像歌里唱的一样            
(5星)	 百看不厌老北京人的生活几乎是每天都看            
(NA)	 在第40页上发现了张大民。你儿子小树长大了吧？            
(4星)	 看着心酸            
(5星)	 很小的时候看的一部电视，现在突然想起是因为之前帮冉写的一篇观后感拿高分了。            
(5星)	 京派电视剧最经典的一部            
(4星)	 除了音乐吵点，其他都很好……            
(4星)	 张大民~~            
(5星)	 看过至少三遍了，看一次哭一次——不对，看一次哭好几次——当然笑得就更多了            
(5星)	 好看            
(4星)	 很喜欢里面的京味~~~            
(4星)	 其实很棒            
(4星)	 京味生活            
(5星)	 结尾很感人 故事小中见大 很不错            
(4星)	 很温情的一部电视剧，有些东西在这个时代已经丢失了，看到最后一集我哭了            
(5星)	 小市民生活，张大民就是佛祖。            
(4星)	 婆婆丁黄            
(4星)	  小人物的故事~~哎~~看着有些悲催~            
(5星)	 不知道该如何定义这部电视剧，张大民是好儿子，好哥哥，好丈夫，好爸爸。为了家人他可以牺牲自己的一切，而那个大学毕业的弟弟真让人鄙视            
(5星)	 北京人的小日子            
(5星)	 那时候超级爱看             
(4星)	 家长里短，无奈着生活            
(3星)	 平凡的生活 更能引起共鸣            
(4星)	 06年爷毕业，在公司培训一月就出差西宁。从兰州去的。大巴车上放的。真看不了这样辛酸的故事，生命的惰性在面对痛苦的时候改名叫做隐忍。恐怕我一辈子也不想这么隐忍，只有拼命奋斗            
(3星)	 小说比较好看。            
(4星)	 日子好艰难啊            
(4星)	 京片子！            
(4星)	 嫁人要嫁张大民！            
(4星)	 天啊我才几岁            
(4星)	 京味儿幽默！            
(5星)	 很棒的电视剧，看了好几遍，追了好几个卫视，。            
(4星)	 在家看的。挺好的～还记得李大民睡觉的大床边有棵大树，啊哈哈            
(3星)	 能贫你就贫吧。。。幸福才好。            
(5星)	 市井小民的辛酸生活            
(4星)	 很真实，但永远不会获奖的片子……            
(5星)	 多给力的媳妇儿啊            
(5星)	 好好活着             
(5星)	 那颗树  还有片尾曲 小柯的《日子》            
(4星)	 这才是 蜗居的真实写照~            
(4星)	 如题： 贫嘴张大民的幸福生活~~            
(3星)	 云芳真是女神~才知道有霍思燕|||||            
(5星)	 就像自己周围发生的事            
(5星)	 我究竟看了多少遍呢~~~~            
(5星)	 开始认识青年演员朱媛媛~            
(5星)	 当年看这剧的时候记住了小柯这个人            
(3星)	 对那个疯子印象深刻            
(4星)	 给媛媛的            
(4星)	 虽然基本改得有点多，但是故事精彩，电视剧就精彩            
(5星)	 小人物的故事。            
(5星)	 怕是再也拍不出来了            
(5星)	 上小学看得了，呵呵那会觉得还好吧，演员按现在看来演技不错哦，虽然很平民化，还是很有意思的，很值得推荐！            
(4星)	 这片子爱了好久。            
(4星)	 当初还是很好的            
(NA)	 房间里那棵树，真是映像深刻啊            
(5星)	 有人味儿            
(5星)	 好好活着            
(5星)	 笑的时候有泪就是一个普通人的史诗            
(5星)	 没意思，也得活着。别找死！            
(5星)	 怎么看都觉着是好戏            
(4星)	 悲喜生活            
(5星)	 过几年掏出来看看，总能有欢乐            
(4星)	 最后还是挺感人的...            
(5星)	 恩，好看，悲喜交加，五味杂陈            
(4星)	 实在!            
(5星)	 多年后才知道梁冠华的演技硬到什么地方，当时只是很喜欢这个胖乎乎的隔壁阿叔            
(4星)	 比较忠实于原著，比冯巩那个电影好多了。            
(4星)	 大明还真的是够贫的，但是他是有智慧的人。            
(5星)	 特感人            
(5星)	 最好的国产剧集了，真实！            
(4星)	 活着，呵呵，主题曲唱得不错啊，喜欢大民的贫嘴，生活很有奔头啊            
(5星)	 人生如此也是很幸福的            
(4星)	 赖汉也能娶好妻，很真实            
(5星)	 朱媛媛，梁冠华演的太好了            
(4星)	 cctv1 zhongwu            
(5星)	 太乐呵了。这~~~~            
(4星)	 老百姓的苦乐生活，好看            
(5星)	 真贫            
(4星)	 蠻喜歡這種調子的~就貧唄            
(4星)	 小时候的乐趣之一            
(4星)	 比较典型的北京小市民，很贫，很善良，对于我来话说很可爱的一群人~            
(4星)	 小人物，也会有自己的幸福生活。            
(5星)	 最早看的比较有印象的连续剧，讲述家长里短的生活。张大民积极乐观的心态给我狠深的印象。            
(5星)	 张大民就是理想的结婚对象！！！！！！            
