http://movie.douban.com/subject/1790859/	康熙微服私访记2
(2星)	 每个故事都是同一个套路，烦不烦呀            
(4星)	 美女多^^            
(NA)	 三德子~            
(NA)	 没说的。。。            
(3星)	 无聊的时光无聊的电视剧            
(4星)	 當年驚為天人的VV啊~            
(4星)	 三德子~ 扎= =            
(3星)	 無趣！            
(4星)	 一家人都很喜欢            
(1星)	 这是我第一次知道什么是又臭又长的电视剧            
(3星)	 陪俺爸.....            
(4星)	 小时候很喜欢张国立的说。。。后来他的东西泛滥了。。。            
(3星)	 跟外公一起看了好多这类电视剧啊            
(NA)	 夫妻档            
(3星)	 以前跟外公一起看了，乐呵呵的            
(3星)	 印象很深的是有一个故事里有小燕子……            
(NA)	 只记得桂圆记是赵薇演的啦～～            
(4星)	 美女!!! 赵薇，朱媛媛真美啊！！！            
(3星)	 就是觉得，够长，喜欢看你有得看了。我爸爸挺喜欢看的，呵呵呵呵。然后觉得宜妃那样的老婆真是好诶，，，没了。            
(3星)	 反正已经记不得第几部和第几部了~~反正那时候都看了就知道~~            
(4星)	 续集减一星            
(3星)	 能看。            
(4星)	 寒暑假电视台必播电视剧            
(3星)	 。            
(5星)	 曾以为除了他谁也演不了皇帝的            
(3星)	 每一记的姑娘都是亮点~~            
(NA)	 康熙爷真是泡妞的高手            
(4星)	 完全是陪着我爸看的。不过还不错哦~            
(3星)	 墨迹            
(NA)	 和妈老汉儿挤床上看的青葱岁月。            
(4星)	 被老爸残害的            
(3星)	 好长            
(3星)	 2            
(3星)	 小时候看的还满喜欢的，其实都忘了很多            
(3星)	 仅仅是电视剧啊。            
(5星)	 张国立老师的主打！            
(4星)	 哇靠还记得么这里面有赵薇啊!!!!            
(5星)	 小时候天天守着看的剧            
(3星)	 只为表明我看过。            
(3星)	 小时候以为皇帝神马都不做，光私访了。。            
(NA)	 小桃红....不错的丫鬟名 哈哈哈            
(4星)	 这一部三德子换人了，但是也很赞            
(2星)	 太多了，才变得不好看的==            
(3星)	 看2的时候就有点够了            
(3星)	 中国电视剧的季。            
(4星)	 老娘的最爱~            
(NA)	 初中有一阵很喜欢看历史题材的电视剧 囧            
(3星)	 三德子还是赵亮老师演的精彩            
(4星)	 其实想不起来剧情了            
(3星)	 康熙若真是这样，历史会不会被改写咧？            
(3星)	 这里面的女演员现在都红了            
(3星)	 当年还是不错的 现在回想还凑合            
(NA)	 3.5            
(5星)	 儿时经典了，虽然现在剧情都记不清了            
(4星)	 电视台同时播康熙和还珠。当时一会儿淑女一会儿疯癫的赵薇，现在都成孩子她妈了。。。            
(2星)	 还有赵薇啊,我到底有没有看过呢,我也不知道.            
(NA)	 还是在偶们家的有线看的 中间连个中断都没得啊            
(3星)	 儿时的记忆            
(5星)	 没办法，我家就是爱看！            
(3星)	 一个一个的故事，在历史中体会百姓疾苦~~            
(4星)	 满足老百姓对贤明统治者的意淫，挺经典的            
(3星)	 当年对赵薇的印象还是停留在小燕子。            
(3星)	 还行            
(4星)	 张国立的剧，总还是有点意思            
(3星)	 那时候那时候            
(5星)	 康熙微服都喜欢            
(3星)	 还不错，如果不较真儿的话            
(NA)	 还是没劲            
(3星)	 爸爸的最爱            
(2星)	 我真的居然都看了            
(4星)	 这四部我都看了N遍了，也是受老爸的影响！电视中实在没电视看时，有这部我肯定看的！            
(3星)	 tv            
(3星)	 已经不能叫狗尾续貂了。            
(3星)	 小时候看的，感觉很经典            
(3星)	 一个馒头引发的...            
(3星)	 别再拍了，求你了。            
(3星)	 呵呵~~            
(3星)	 两公婆的戏，越看越无聊            
(5星)	 我比较喜欢前两年的清宫戏            
(4星)	 古代的事……也是我人生的古代看的            
(4星)	 喜欢邓婕            
(3星)	 戏说            
(NA)	 顺着往下看            
(2星)	 zw还是不赖= =            
(4星)	 无聊看看可以            
(4星)	 当初都能背出每个故事的题目的，现在已经不记得了……偶尔会在电视台再次看到吧。            
(5星)	 真好看            
(NA)	 呵呵            
