http://movie.douban.com/subject/1830581/	妙手仁心
(NA)	 2010-11-11  2005 大概            
(4星)	 白领式医生的日常生活            
(5星)	 我还就爱看个这            
(4星)	 一群男人也会聚在一起说八卦            
(5星)	 小时候最喜欢看的港剧~~~~~            
(4星)	 重温！浴霸不能！            
(5星)	 我就喜欢TVB的港剧。。。。。这么多年来画图的好伙伴！            
(5星)	 悠闲，睿智，幽默，玩味着人生的悲喜伤痛！TVB十年来最好的剧集            
(4星)	 好像从这部起就不太喜欢看港片了。            
(NA)	 还是大爱蔡少芬 林保怡            
(3星)	 林保怡= =            
(5星)	 曾经那么迷恋吴启华...            
(NA)	 还是挺感慨的，比如该放弃的或者应该好好把握的。            
(NA)	 那时候觉得吴启华很帅嘛，现在看看好丑啊。            
(5星)	 蔡少芬啊~我爱的女人啊~吴启华看看很正经的喏~            
(5星)	 说真的，这是部十年前的我，现在的我和十年后的我都会喜欢的电视；永远的jackie and paul            
(5星)	 这部实在太喜欢。当年的吴启华真是不辱师奶杀手之名            
(NA)	 小时候            
(4星)	 记住的都是当时年少的记忆            
(4星)	 TVB的极致。            
(4星)	 虽然记不清具体的情节，那种生活的情调是永不会过时的            
(NA)	 TVB经典。赞            
(4星)	 林保怡吴启华苏永康陈慧珊……            
(4星)	 觉得TVB这种职业剧都不错的~            
(4星)	 迷恋过~            
(5星)	 人物异常丰满的第一部            
(4星)	 就是去看马浚伟的嘛~~~            
(5星)	 是个很好的剧。记得当时看完了的想法是，以后去急诊或者神内工作吧。每个角色都是很有内容的。            
(5星)	 老子当时觉得吴启华ＧＧ　帅的掉渣了            
(4星)	 很小资的港片 看着舒服啊            
(4星)	 经典诶            
(5星)	 突然想到第二部片头的萨克斯曲 很难忘记的音乐            
(5星)	 喜欢吴启华，虽然，但是，我最喜欢的还是蒙嘉慧那一部            
(5星)	 重温经典。            
(5星)	 TVB最经典的系列之一。            
(4星)	 你知道，97前97后，系好唔同的。现在的tvb已再没有那种气质，再没有那么好看，那种靓是发自内的。            
(NA)	 还是第一部经典~            
(5星)	 太经典了！！            
(4星)	 最后的最后，他说：我忘记了多久没有牵别人的手了,以为自己已经不懂,原来还会......            
(5星)	 Paul在偶心中太完美了~            
(5星)	 角色都是我喜欢的啊啊啊啊啊啊            
(5星)	 我突然想起来我还喜欢过吴启华。。。特别喜欢过~            
(5星)	 那时候觉得吴启华好帅哟。我一直都喜欢眼镜男。            
(4星)	 内个时候,晚上常看这个剧打发时间.蔡少芬当时给我的印象不错            
(4星)	 有  一弯新月。  有   百年孤独。            
(NA)	 经典，喜欢吴启华            
(5星)	 TVB最爱剧。            
(5星)	 经典中的经典            
(5星)	 最后给Jackie读小王子那段哈嗲 永远的最爱             
(5星)	 印象中最好的TVB            
(5星)	 成功培养了少女的小资趣味和对都市情缘的向往。。            
(4星)	 無一不喜愛            
(4星)	 饭点不得不看。。。            
(3星)	 吴启华            
(4星)	 Paul啊Paul~~            
(4星)	 当年我很花痴林保怡诶..            
(4星)	 迷了吴启华一阵子。            
(5星)	 我都有点忘记了            
(5星)	 还是第一部最好            
(5星)	 第一部看的医生类的电视剧，现在想来还是第一部最好看啊~~~经典~~~            
(5星)	 强大!            
(4星)	 我想我真的爱手指干净修长的男人            
(5星)	 十年了            
(NA)	 hellen ~            
(5星)	 阿达好美，bowie好灵的            
(4星)	 医生的，不过香港人要不要家族的这么厉害啊~            
(5星)	 越看越有味道，小打小闹，小离小合，小喜小悲，生活不就这样            
(3星)	 还行，港片就那么些人            
(5星)	 经典            
(5星)	 永远的银幕情侣            
(NA)	 不说了，饿。            
(5星)	 没啥多说的了            
(4星)	 经典            
(3星)	 医务剧,OK拉            
(4星)	 嗷嗷嗷多么萌的一对一对啊 99末00初 最爱马浚伟哦            
(4星)	 拥抱真的是一种很奇怪的东西，明明彼此这么近，却看不见对方的脸。-- 妙手仁心 III            
(5星)	 十年了            
(5星)	 我喜欢蔡少芬和吴启华的爱情            
(5星)	 喜欢Paul            
(5星)	 Jackie是我最喜欢的蔡少芬的角色。            
(4星)	 ada flora ！angel eyes  ！miss you finally ！            
(5星)	 声势浩大的阵容，中产阶级的生活，妙语连珠的对白            
(4星)	 我大学时代很喜欢的一部电视剧            
(3星)	 TVB的电视剧更多的是展示了一种生活态度。无论是演绎香港本土医生、警察、飞行员、律师还是消防员、黑社会、艺人等等，纯粹的香港态度。            
(5星)	 人间有你，何需仰望天堂。            
(3星)	 断续的好看的            
(4星)	 TVB关于职业的剧中我最喜欢的一部，曾经让我很想当医生，黎国柱医生我很喜欢啊，林保怡演的Henry，有点花，喜欢乱搞女人，但是内心还是有他专情的部分的~            
(5星)	 经典港剧            
(5星)	 经典剧之一向往的生活～            
(5星)	 最爱的TVB剧！！            
(4星)	 不錯的片子，8過留給我更新印象的卻是那些插曲，不得不說有些買櫝還珠的意思。。。            
(3星)	 关于医生的故事...            
(4星)	 喜欢陈慧珊~            
(4星)	 Paul证明了世界上是有好男人的 只是好男人身边的女人都活不长……            
(5星)	 想当年是多么喜欢            
(3星)	 有点想重看            
(NA)	 我爱的经典            
(4星)	 jackie~            
(5星)	 他们之间的友情，高中时最爱的一部电视剧，无比羡慕            
(5星)	 怎麼沒有6顆星...            
(4星)	 ADA早期的作品了 33是我喜欢的类型            
(5星)	 最近在回顾 真的是非常经典 十多年再看有不同的感悟            
(5星)	 经典中的经典～            
(5星)	 我超爱的 不过后来越拍换人换得越厉害 就不看了            
(5星)	 我看了四遍啊~~同志们~~~ 那里的爱情真的太纠结了。。。            
(5星)	 左右人生            
(4星)	 不错，喜欢他们那种对工作的态度，积极，认真，负责            
(5星)	 经典 没得说            
(3星)	 表现的敬业和医德很有意义。            
(5星)	 那几年，年年暑假看妙手人心，好喜欢Jackie和至美！            
(5星)	 我的jackie!!!!!!!!!!            
(3星)	 http://www.imdb.com/title/tt0782410/            
(5星)	 林保怡 林保怡！！！            
(4星)	 仿得挺有水平的            
(4星)	 感动啊，真是感动！            
(4星)	 职业诱惑            
(4星)	 结尾很好！其实我并不喜欢jackie的角色。唯一庆幸的是两部都没有拍到GIL的死。还是喜欢HENRY和ANNIE，很有故事！！HENRY只是多情绝不是薄情。还有张家辉的角色很重要！！            
(5星)	 重温            
(NA)	 經典之作。。。            
(NA)	 香港医务精英救死扶伤的故事            
(NA)	 这辈子最爱的TVB            
(NA)	 真的是太经典了，那个结局让我幼小的心灵伤感了很久！            
(NA)	 第一部到第三部。死了多少人了。哎、可恶的编剧            
(4星)	 再也无法复制的爱恋            
(4星)	 让我对脑外科医生产生好感的剧，温文尔雅吴启华很不错。            
(NA)	 十年一剧            
(3星)	 吴启华，偶尔还是能打动我，巧巧很可惜，我真八卦            
(4星)	 感动            
(5星)	 里面特别喜欢蔡少芬 林保怡             
(5星)	 妙手系列可能最喜欢还是这部？            
(4星)	 出于私心和公心都想再重看~何况还有蔡少芬和吴启华这对好搭档~            
(3星)	 没坚持看完            
(5星)	 爱就一个字！            
(5星)	 看再多遍也不厌倦            
(5星)	 断断续续的.不知道有看全吗...            
(4星)	 第一部最好看            
(4星)	 最早对于白领的概念            
(5星)	 超爱！            
(4星)	 电视伴我备考路啊~~~            
(NA)	 喜欢撒            
(NA)	 喜欢jackie            
(4星)	 经典之一,爱看的!            
(NA)	 喜欢            
(5星)	 医疗剧的经典，国产剧真该学学            
(5星)	 永远的回忆            
(5星)	 不为什么。            
(NA)	 最爱．．            
(5星)	 最爱。            
(5星)	 当时很爱蔡少芬            
(4星)	 太多的经典回忆            
(5星)	 百看不厌 我最中意            
(NA)	 经典之作            
(5星)	 1999            
(4星)	 3&gt;1&gt;2            
(4星)	 妙手仁心            
(3星)	 女孩子一般都喜欢医生。            
(3星)	 这些人的关系好混乱啊，所有的的恋爱和sex都是来来去去在那几个人中间发生。            
(4星)	 仁心。仁术。            
(5星)	 仁心仁术            
(4星)	 经典!            
(5星)	 喜欢蔡少芬            
(3星)	 忘了。。。            
(4星)	 prof的感觉很好。            
(5星)	 After Five,仁爱，Annie Henry Jackie Paul...细数他们的名字，永远最珍爱的收藏。            
(5星)	 里面的演员我搜很喜欢的            
(4星)	 这个系列我都喜欢            
(4星)	 还是很迷TVB。            
(NA)	 TVB经典剧集            
(NA)	 、。。            
(4星)	 细个体果时，我就好羡慕距地知性既气息。            
(NA)	 永远的P&amp;J H&amp;A            
(NA)	 经典啊            
(NA)	 好看的            
(3星)	 若干年之后才发现吴启华很帅            
(4星)	 ER的港版。虽然港式肤浅，其实略好看过ER。            
(5星)	 喜欢里面的每一位角色，向往他们的生活，羡慕他们对生活的宽容和大度            
(5星)	 心目中最经典的TVB电视剧之一，比原版的美剧ER更有一番韵味            
(5星)	 被感动的是在ＪＡＣＫＩＥ动完手术后ＰＡＵＬ在病床旁念着《小王子》            
(5星)	 喜欢马俊伟啊。。。            
(5星)	 台词很值得品味            
(4星)	 吴启华            
(5星)	 爱上蔡少芬的开始            
(3星)	 看完这部片子的人都会觉得医生是一个多么美好的职业啊~~~但事实呢？            
(4星)	 医生警察律师为主轴的核心剧集，邓特希风格的代表作品，几男几女之间各种斗嘴的戏码很好看，情侣档还是喜欢柱&amp;月的对手戏。最后几集的情节感觉不太顺畅，三十二三集的位置有几场戏拍得非常好            
(4星)	 最记得jackie帮paul系鞋带和擦眼睛那里。还有关于拥抱的论述。            
(3星)	 大学时代，23：30熄灯            
(3星)	 港剧陪伴过我            
(4星)	 7.3            
(NA)	 喜欢ada            
(5星)	 当医生确实辛苦，爱情和婚姻既然是自己选择了，就要一起走下去。            
(5星)	 TVB最经典的电视剧之一了。从没在香港生活的我从它竟然初窥香港夜生活的端倪。不管各人夜晚是穿上了亦或是脱掉了怎样的保护衣，夜晚的他们都不再是白天认真工作的模样。“过了12点我不习惯用脑”，“如果只知道玩，那那么多年用功读书又是为了什么呢？”            
(4星)	 这是妙1吧             
(NA)	 超级喜欢。            
(5星)	 n.m和打火机。童花头和小眼睛。            
(4星)	 情节不太记得了，就记得大学时和姐妹们窝在宿舍一起看时的美好感觉了            
(4星)	 林保怡和陈慧珊是绝配啊绝配            
(5星)	 这部剧的一切都是那么刚好。            
(3星)	 留个鼻血不是脑瘤就是鼻咽癌，吓死爹了。            
(3星)	 印象中挺不错的一部剧，重新翻出来看看，却发现看不下去，从剧情到对白都乏善可陈，尤其是对白，动不动就男人怎么样，女人怎么样，难道个个都是写情感专栏出身的，三八气质也太重了            
(4星)	 记得当年和老倪谈理想，说起过TVB职业剧对我的深刻影响。这些衣着光鲜的专业人士，无论他们有着怎样的私生活，在专业领域总是规则鲜明、程序严谨，他们生活得多姿多彩，有着令人尊敬的社会地位，如鱼得水般游曳于城市的森林。后来我知道，这一切都是幻梦。            
(5星)	 经典            
(5星)	 最爱的TVB剧集没有之一            
(4星)	 我怎么觉得剧情乱的很，不知道是不是我快进的缘故            
(5星)	 经典。            
(5星)	 看过最好的港剧。片头曲想当好听。            
(5星)	 我喜欢这个结局，虽然Paul和Jackie没有在一起            
(5星)	 小时候就喜欢看这帮香港人。。。。。。。            
(5星)	 小时候很希望苏永康和蔡少芬一起            
(5星)	 29集：表白好感人；《天下无双》唱整首。。。看完第一部接着第二部除了男主人都换了╮(╯_╰)╭不中意续集大概就是因为对最初的感情太深%&gt;_&lt;%            
(4星)	 PJ!AH！            
(4星)	 TVB曾经出过那么多那么经典的剧            
(3星)	 看tvb越来越快了，ada这么嗲额女人怎么就嫁给张晋了呢。所以说年龄还是女人最大的敌人啊。            
(4星)	 大二看，开始喜欢蔡少芬            
(5星)	 IP电视点播再重温经典，还是那么好看啊好看～～～蔡少芬和吴启华最配最好看啦～！！！            
(5星)	 插曲好听。当年的梦想..            
(3星)	 绝对看过啊，我一直不喜欢马浚伟            
(5星)	 每一部都看过两遍！深夜重播也每集必追！我是有多爱这一部啊！            
(4星)	 tvb经典剧，不解释            
(5星)	 还会拿出来温习的好片子~~！！！            
(5星)	 很多经典的桥段 现在才逐渐明白            
(5星)	 出国前特地再下了一遍放着。。            
(4星)	 我真的觉得以后TVB再也拍不出这种片子了            
(5星)	 我是为了保老板            
(5星)	 TVB很少有剧能虎头虎尾的，它做到了；很少有剧能改变我对生活、感情甚至是自己职业的态度，它做到了；很少有剧能让我尝试模仿对白的表达方式并不遗余力沿用至今的，它做到了。曾经一度以为年龄和学医毁掉了自己对它的至爱，看过第三次才知道它的影响力从未改变。            
(5星)	 儿时梦想            
(4星)	 经典啊            
(4星)	 小时候很喜欢看            
(5星)	 每个人物的个性饱满都鲜明，忍俊不禁。好年轻的各路明星啊。能不时看到和工作相关的产品，也算一种新鲜。            
(5星)	 又迷了。。。            
(5星)	 生活的美好和不幸，爱是永恒            
(5星)	 头盘菜最好食。            
(5星)	 以前看的很多港剧，现在有的还真的想不起来内容，只记得很好看。            
(4星)	 印象中应该看过。有我喜欢的林保怡和那个什么珊的。。。真心忘了叫什么了。            
(5星)	 林保怡。。            
(5星)	 只针对第一部 必须五星            
(5星)	 属于tvb那个一去不返的年代            
(5星)	 典型的港剧，2、3就不好看了。这部最经典。            
(5星)	 虽然现在看回去以前早期的tvb，人物打扮什么都挺老土的，可是我觉得比现在的好太多了，很真实很平淡，里面的人物都很喜欢，特别最后一集最后几分钟，背景的音乐，小王子的书，还有等待着的人            
(4星)	 那一年，我真的好小啊。第一次看见这种片子，然后我看了鉴证实录。            
(4星)	 到现在这些港剧还是那几个声音哎！            
(4星)	 我以前是有看过多少港剧啊。。。哎            
(5星)	 经典啊~经典啊~            
(NA)	 看过再重温            
(5星)	 感觉就是从这部开始看起TVB的……            
(5星)	 好喜欢当年的蔡少芬...            
(5星)	 看了一遍又一看             
(5星)	 好好啊，每个人，每个配乐，朋友，生活，态度，语言，教会我好多~~            
(5星)	 最最经典的tvb剧！            
(4星)	 經典啊~            
(5星)	 那时候觉得蔡少芬真美            
(5星)	 经典中的经典，不时拿出来重温，比现在的tvb真是强百倍            
(5星)	 绝对经典。            
(5星)	None
(NA)	 我要看结局！=20111127=            
(5星)	 最经典！            
(NA)	 看了好几遍了。。            
(4星)	 I II III，第三部看的很揪心，为毛bowie和吴美珩不能在一起啊！            
(5星)	 身为上个世纪的电视剧，现在重温依然觉得好看真是不易……            
(4星)	 以前的TVB就是好！！！！            
(4星)	 我要重温            
(5星)	 医生情节的来源。。            
(5星)	 苏永康卖萌。。。            
(5星)	 最后一星给我遇见它的少年时代            
(NA)	 看的第一部香港职场片，很不错哦            
(5星)	 狂顶Henry  Paul&amp;Jackie             
(5星)	 我为我最爱的女人开脑！            
(4星)	 医生。吴启华。帅。            
(5星)	 after five，就像TVB的黄金时代~爱剧里的每一个人，尤其是ANNIE阿娇两姐弟~            
(4星)	 每個人之間的感情真的就不像在演戲            
(4星)	 小时候看的时候 就觉得人就应该活成这样的            
(5星)	 经典到不行啊！！无论剧情还是音乐还是演员都完美            
(5星)	 十年过看邓特希，果然走了下坡，吴启华在这剧里演的还真是形像正面。            
(5星)	 多年后再重温这部片，人物、台词、背景、音乐都给我不一样的感受。喜欢吴启华的温吞水的性格，喜欢林保怡的桀骜不驯，喜欢陈慧珊的特立独行，还有一直不喜欢的蔡少芬，开始觉得她曾经也那么可爱过。            
(2星)	 有点小巫见大巫了。            
(4星)	 Jackie被做手术那段好惊悚……假人……            
(2星)	 太老的片，每集情节没新意，貌似一直在讲感情，各种暧昧，无感            
(5星)	 TVB最有电影感的一部电视            
(3星)	 打发时间而已            
(4星)	 我爱林保怡 我爱吴启华 张家辉去死好吗亲            
(5星)	 林保怡憋了太久了，TVB职业题材的都是好东西            
(4星)	 和妈妈一起看TVB的岁月~~            
(5星)	 经典到不能再经典了            
(NA)	 经典中的经典            
(4星)	 电视上看的，吴启华蛮有书生像的。            
(4星)	 蔡少芬是多么的年轻漂亮，陈慧珊是多少的知性美丽，马俊伟调皮可爱，苏永康丑却很温柔，林保怡很有味道，吴启华还是那么温文尔雅。。。无线的曾经是多么美好，经典不再啊~~            
(5星)	 我最喜欢的陈慧珊演绎角色之一             
(4星)	 大爱啊简直            
(NA)	 我认为这部剧是TVB医务剧的经典，虽然每部都会有新成员的加入，但每个人的特点都很鲜明            
(5星)	 林保怡！            
(3星)	 三星半其实！            
(5星)	 很久前的记忆了 不过林保怡真帅 片子也好看             
(5星)	 我和我妈一致认为非常好看            
(4星)	 不记得剧情了            
(5星)	 一切的美好回忆。            
(NA)	 第一部完结~~演员都不是俊男靓女，但都是越看越有味道。小时候这个电视剧是央视八的十点档，只能把灯关了偷偷看两眼。我从这个时候开始恶补TVB还不晚哦~~~            
(5星)	 我是看着你长大的。            
(4星)	 吴启华气质很好。            
(5星)	 白领肥皂剧。            
(5星)	 我想，TVB再没有一部戏能够超越HH1那浓厚又迷人的小资情怀了            
(5星)	 小时候看的            
(4星)	 法医 警察            
(4星)	 保怡~~            
(5星)	 以前看过多少遍已经八记得了，但是现在却种马都看八完。。。            
(NA)	 喜欢Paul和Jackie，还有那帮男人在一起的台词            
(4星)	 警察戏后，又是一系列医生戏，不过这个是比较早期的，所以还是挺好的，只是为什么一直不喜欢蔡少花呢            
(5星)	 对医生的敬意更加一层。吴启华和林保怡令人念念不忘            
(5星)	 第一部是最棒的            
(4星)	 医生了            
(5星)	 风度翩翩的程志美医生当年就是我等心中的神啊            
(5星)	 人生            
(5星)	 拿出来复习，爱死了paul和jackie这对            
(5星)	 想重温一遍啊~            
(5星)	 经典之作，永远的After Five，永远的N.M。            
(5星)	 在after five的那一堆男女            
(5星)	 经典名著！            
(3星)	 医生很出名的            
(5星)	 那个时间段具体忘记了，应该是高中时节吧~经典之作，喜欢那种生活一群朋友一份喜欢的工作~虽然也憧憬过这个行业，然而终究不是我内心极度欢喜的去处            
(4星)	 程至美替Jackie开脑，有点心酸啊~~~很喜欢林保怡的调调，(*^__^*) 嘻嘻……觉得他和陈慧珊真的超级配~~~            
(5星)	 永远的经典，看了无数遍~             
(4星)	 喜欢林保怡演的harry~            
(5星)	 你要的爱情。另，每一个人都是主角的剧挺难得。            
(4星)	 我算是知道为什么这部片子为什么有那么多人喜欢看了            
(5星)	 看过之后，让我至今都很想当医生！            
(4星)	 妙手仁心系列            
