http://movie.douban.com/subject/3285416/	波士顿法律  第四季 Boston Legal (Season 4)
(5星)	 多么想再回去跟他们聚聚想念alan            
(5星)	 被这俩男人打动了            
(5星)	 大叔什么的最有爱了~            
(5星)	 Love is an ugly business, but we still live for it, the only belief that really matters. You&#39;ll be part of the solution or the problem.            
(5星)	 We are flamingos！            
(5星)	 要和和Alan斗嘴，英语学得再好也枉然            
(4星)	 有些台词写得真好。尤其是alan在最高法院的那一番陈词。            
(4星)	 越来越惊爆的话题了，比较好奇的是上一季出场的人物怎么没一句交待就离开了?仍然，中间有好几集看着双语字幕也不知道在讲些什么，但是看到alan的行云流水滔滔不绝的结案陈词却还是忍不住看完，而且看不懂的集数似乎是越来越多了。            
(4星)	 看完了S5再看的S4            
(5星)	 我太喜欢了，想收集完而已。            
(5星)	 上最高法院那一集简直看得我要高潮了~            
(5星)	 回家赶紧把剩下的，第五季看完            
(5星)	 一如既往的好            
(NA)	 一开头就震到我了...“Friendships are a little like back yard gardens. We plan to tend to them, we just always seem to put it off till next week. ”            
(5星)	 Nothing compares.            
(5星)	 Esteem now            
(NA)	 伟大的电视剧~            
(5星)	 越来越喜欢Shirley。一个怎样的女人，才能在岁月的风霜里越来越美，才能在浮华和机心里淡然自若，才能在生死威胁前仍肩挑大任。漂亮的花瓶女律师来了又去，只有Shirley,只有Shirley，做尽一切人不齿为，做尽一切人不能为，做尽一切人不敢为，于是便再也无人能取代。            
(5星)	 保罗爷爷去了哪里T^T...            
(4星)	 最后一集，alan的结案陈词让我感动。            
(5星)	 越来越发福的Allen Shore，年华也逐渐老去。看着他据理力争，有时立场的黑白并不鲜明，重要的是辩词与背景音乐。            
(5星)	 这应该是我看过的最好一部电视剧，不仅仅是美剧            
(4星)	 Jerry的分手信写得不错……            
(4星)	 感觉都没有前几季精彩            
(3星)	 呜，没有什么特别出彩的只剩下惯性了            
(NA)	 好！            
(5星)	 英雄迟暮            
(5星)	 dennis真漂亮            
(5星)	 最爱的剧之一            
(5星)	 最爱第十七集！            
(5星)	 BL            
(4星)	 接着看……            
(5星)	 看到一半 断了很久 寒假争取！2009/01/01 ||最后一集的patriotism 好片！            
(4星)	 呵呵~很不错呢~            
(3星)	 第一季那么精彩，第四季刚开始还挺精彩的。怎么越后来像是走小丑路线了呢？            
(5星)	 我的全五星美剧，爱死Denny 和Alan 啦            
(5星)	 律政剧，赞            
(5星)	 和Friends并为我最喜欢的两部剧。全5季，中间几季是最精彩的，尤其是第二季如果我没记错的话。            
(5星)	 第十七集            
(4星)	 没有第五季那么精彩 但依然很不错            
(5星)	 永远的经典            
(4星)	 direct and cross examination还是戏剧效果比重比较大的 opening and closing 基本被忽略- - 嗷 所以权当消遣来看吧  Alan对于Lorrance那感情也忒不真实了- -            
(5星)	 政治倾向及米国价值观戏份加重，核心两人从夜夜阳台庆祝友谊到夜夜阳台告白，喜欢CPS名字的玩笑，kitty猫越看越可爱，她和怪手的搭档有望赶超火箭队，黑MM第一印象糟糕但后面随着她穿衣品味的提升人格魅力也up了            
(5星)	 渐入佳境。            
(5星)	 期末论文季必备缓解压力之佳品            
(5星)	 Alan与Denny的基情...   有几集故事都很温情            
(5星)	 每年回顾一遍。。            
(5星)	 最爱            
(5星)	 稍微重要点的女主角都是金发碧眼，导演真够挑剔的了。。Katie看惯了之后还是很顺眼的。。。这个剧让我不再迷恋二十来岁的小女生。。。。            
(NA)	 这一季的政治色彩太重了，作为大洋彼岸的观众，对那些个奇怪的制度和法规表示不甚care呀。并且，鸡血打得集体有点过量呀…            
(NA)	 因为它的理性和人性，本想给它打十分，但结尾竟然以偏执地反华做终结，让我无法接受，我只想给它打八分。            
(5星)	 本季最后一集的设定真是太精彩了，膜拜编剧啊~~~            
(4星)	 终于把第四季看完了，果然各种OCD啊。            
(5星)	 这一季太赞了！！！每集都有亮点和大量金句！！            
(5星)	 觉得是律政剧里的翘首            
(5星)	 Lorraine是女神            
(5星)	 Alan Shore ，男人的标杆之一；另外之一当然是Denny Crane 。            
(5星)	 前五季是在2年前看完的，最近连续看了【Suits】【the good wife】让我分外怀念那两个又老又胖的男人，于是重温第四季，那熟悉的音乐，熟悉的黄色笑话，熟悉的每个案件的closing，熟悉的2人的阳台谈话。每个案件的逻辑都值得我们一学再学，而它依然是所有法律剧的经典，无人超越。            
(5星)	 五星打到底叭...            
(NA)	 best love            
(4星)	 为了第五集打了4星。            
(5星)	 1.很高兴Jerry加入常规，但paul居然走了 2.Denny对Shirley唱you are my sunshine时，看本剧第一次泪目 3.Katie一上来就有好感            
(5星)	 果然最适合ALAN的人是Denny了            
(3星)	 这一季真的只是一般般            
(4星)	 虽然你发福之后的口才杠杠地，但我还是crush你年轻时的容颜。            
(5星)	 神片            
(5星)	 联邦最高院出场            
(5星)	 从17集开始变成彻底的政治剧，但也是我所看到最痛快最爽的几集美剧，强烈推荐！！            
(4星)	 觉得第四季不够前面三季的案例好            
(4星)	 Katie不错。原来一群老美间的英音真的蛮好听的。            
(5星)	 很喜欢的法律剧集            
(5星)	 这季断断续续看了一年多，期间把practice8看完，里面ALAN的出场真是精彩。本季AIAN在最高法院辩护那集印象深刻，临走时那位女子对ALAN说，因他让自己重拾对律师职业的崇敬。就像practice8第一集中流浪汉对ALAN的感谢，都让我感动。            
(NA)	 20集            
(5星)	 只要allen还在，我就一直看下去。这季政治气氛很浓。            
(5星)	 越来越好看了            
(4星)	 Hon Clark Brown!             
(4星)	 也就这样了。            
(4星)	 第一集里，主角都有了新的角色定义，甚至有了在换血，喜欢Jerry，喜欢Clarence,不知道他的女朋友呢？10集解释了交代了次贷危机的来源。11集Denny的挣扎，他的张狂，他的偶尔怯懦~ 看着Jeryy爱恋过程，感叹他的生平。最后一集A与C的对抗实在是友谊与事业的对抗！            
(5星)	 看到后面 隐约感觉到经济危机前的浮躁            
(5星)	 denny crane            
(3星)	 满足人们的变态成功欲望            
(5星)	 赞就一个字            
(5星)	 male bonding is touching            
(3星)	 不喜欢他们那么说中国到这一季才知道crane poole &amp; schmidt是在crane纵容下的自由律师事务所波士顿的月亮是血红的            
(5星)	 alan shore很贱，也很感人            
(4星)	 还可以，后来有点扯淡            
(NA)	 (⊙o⊙)…  我喜欢这部剧，但是我讨厌喜欢这部剧的人，当然除了我自己！            
(5星)	 Gone Fishin&#39;~            
(5星)	 最爱的一部美剧。在各种忍俊不禁中学习美国的法律。            
(NA)	 一如既往的精彩            
(5星)	 Everybody needs somebody.            
(3星)	 已经觉得无聊了。越来越多的利用法官的性格，越来越多无聊的X笑话，没什么意思            
(5星)	 大爱此片，可以了解米国的方方面面            
(5星)	 就是喜欢，没办法            
(NA)	 职业精神。            
(5星)	 法律精神！            
(5星)	 不得不说 感谢了了 介绍我看            
(4星)	 没给5星是出于个人怨愤，演员大换血就够憋屈的了，好不容易才和S3的一帮人培养出感情来。加上剧情……你们是来辩护的还是来调情的？作秀让人叔可忍婶不可忍。            
(5星)	 Alan shore mua。。。            
(5星)	 神剧没什好说的            
(5星)	 Kate是个好女孩~            
(5星)	 既可娱乐 又可扫盲            
(NA)	 有点激进的第四部，与选举俱进的演出            
(5星)	 SHORE扣扣子最帅了            
(5星)	 e17牛逼到爆            
(5星)	 不用说也是5            
(3星)	 一句话：Whitney像凤姐~~不解释            
(5星)	 Alan很受艾美奖的待见，所以，第四部绝对称得上是质量上乘之作，没啥好说的了，见证两个男人的游戏！            
(5星)	 最后几集太好看了，特别是最后一集，关于康考特（暂时引用张爱玲的翻译）要从美国联邦独立出去，Denny说，这是叛国的行为，而allen答道，这个国家就是叛国起家的，顿时肉牛满面~            
(4星)	 死活不可能喜欢Alan Shore和Denny Crane            
(5星)	 越来越夸张 越来越欢乐 头尾几集不错 bromantic~ The Beatles - In My Life (BL E4S20, gone fishing~)            
(5星)	 舍不得看完             
(5星)	 虽然这一季政治气氛过浓，但依旧是无可质疑的五星。Carl最后几集里面嚣张的可爱，Katie聪明又高情商，她和Lorraine的英国口音让我好怀念Tara！还有，Judge Brown频繁出镜，人气很高嘛，不过倒是挺可爱的^_^            
(5星)	 爱死了，收藏了，心中最好的partners！            
(4星)	 跟！            
(5星)	 越来越娱乐了  恩 17的closing 哥快会背了            
(5星)	 唯一值得推荐的电视剧            
(4星)	 好像这季开始政治元素越来越多了~~            
(5星)	 悲剧，下不到……还剩最后两集，舍不得看了……            
(5星)	 一部伟大的电视剧            
(5星)	 有个金子心的卑鄙AL            
(5星)	 denny crane~~            
(5星)	 毫无疑问的五星。            
(5星)	 拿了艾美的Alan更帅了            
(5星)	 超赞的美剧，除了逃不出电视台的政治倾向以外。。。            
(5星)	 油菜！！！            
(4星)	 依旧不可战胜啊            
(3星)	 审美疲劳了            
(5星)	 持枪的DANNY，帅            
(5星)	 真是舍不得看完啊。            
(5星)	 爱死了这两个男人            
(5星)	 五星for BL,e17, ending and Lorraine……            
(5星)	 supreme court亮点，finale亮点，总体没有前三季给力了            
(4星)	 唉，Denise休产假了，Brad做检察官了，Paul和Claire干脆就消失了，我喜欢的好多角色都没了。。。            
(5星)	 值得看3遍以上            
(5星)	 非常有智慧的一部美剧！是老友记和实习医生格雷的混合体！            
(5星)	 后面部分牵涉了好多美国政治部分，实在不懂。如果去fishing，就在门口挂张牌：gone fishin&#39;然后就走吧!            
(5星)	 经典 没什么好说的～            
(NA)	 这样做律师太作兴鸟~不管美国法律环境是否真如所示，最起码有机会在审理的环节慷慨地陈述对法律、社会、民生的哲学思考。但在这里呢，关系活动大兴其道，连让你纠结法律文字的可能性都很小。            
(5星)	 Alan Shore!            
(5星)	 力荐！！            
(4星)	 不错            
(5星)	 There&#39;re places i remember,All my life though some have changed.            
(5星)	 like it            
(3星)	 ms很温情啊。。。Shirley靠在Denny肩头听他轻轻吟唱you&#39;re my sunshine...            
(5星)	 最后一集真叫人恶心            
(5星)	 好看            
(NA)	 迷人的Shirley            
(5星)	 台词经典            
(5星)	 Getting Better Entertainment From This Season            
(NA)	 看了四季了，接着看下去            
(5星)	 alan奠定了律师在我心中伟岸的形象。。。。            
(NA)	 换演员也至少交代一下原因吧            
(3星)	 第四季案件质量下降很明显            
(5星)	 绕啊绕啊            
(NA)	 finished            
(5星)	 最爱的五部美剧之一            
(NA)	 5.15夜            
(5星)	 Sack，老男人的魅力            
(5星)	 Alan~Alan            
(NA)	 hu            
(4星)	 将每个case完美的落场。温馨的工作场所，包容的上司，性格不同的伙伴……每天落幕后，心灵的对白。有人说1-3季更精彩，从第四季开始看，在我看来第四季最有感觉            
(5星)	 再见boston legal。还差第五季没有看了。想不到就这么end了。怎么看也是很好的剧啊。            
(3星)	 前三部更好看            
(4星)	 为什么我喜欢的人都没有了~？Dennis和Brad，不过也多了Carl，这个老头好可爱~~            
(5星)	 最喜欢的美剧～～            
(3星)	 追到第四部，失去了兴趣            
(5星)	  allen 在最高法院的绚丽演出            
(5星)	 第17集永远的经典            
(4星)	 延续精彩，DENNY惹上的官司越来越多了，没有很出彩的女律师，这点不喜欢            
