http://movie.douban.com/subject/2229576/	上错花轿嫁对郎
(4星)	 我觉得很好看啊=A=            
(4星)	 感觉这片子还不得快十年了。。。这里面的角色可都成名角啦╮(╯_╰)╭ 沙溢的傻样儿简直是一如既往啊哈哈哈 又想起春晚他内个插葱的动作了XDDDD            
(4星)	 我今天还坐在家里看 ＝ ＝|| 小时候觉得三公子很帅的好吗！！            
(4星)	 我当年是多喜欢青涩的黄奕和聂远这对小两口，哦还有沙溢我当时也很喜欢啊。可是现在╮(￣▽￣&#34;)╭            
(5星)	 黄奕在这部里多美呀 当年可喜欢了 怎么就去演了还珠3呢 = =             
(3星)	 女猪脚不错            
(2星)	 远不如书写得好玩。            
(5星)	 当年的黄奕还没有那么讨厌，我也暗恋过聂远。            
(3星)	 。。。。有点雷。。            
(5星)	 哎呀。。。这片子，只要重播，我都会看上两眼的，比如刚才。。。那时候觉得黄奕好漂亮啊。。。            
(1星)	 额·····贵圈好屌乱。            
(3星)	 我爸的最爱            
(3星)	 越看越无聊。            
(3星)	 其实挺好看的            
(3星)	 每次看的时候我怎么就开始YY锁麟囊的故事，囧            
(NA)	 记得那年是陪奶奶一起看的，好多年过去，奶奶去世了，唯有电视剧的印象犹在。            
(5星)	 初中时看的吧！            
(NA)	 貌似也是小学时吧            
(NA)	 貌似……有一两秒床戏……支撑着我看了下去……            
(4星)	 这是次时代的古装剧了吧。。。除了对那个“将军的SM癖好”还有“书生在明朝就会叠纸飞机”有印象外其他都比较模糊了。。。            
(NA)	 亏得我当时那么爱看那本书            
(3星)	 那时候觉得两个女主都不错..            
(4星)	 那个时候觉得蛮有意思的古装剧            
(3星)	 已经年代久远到记不了了····            
(4星)	 早年间看的，蛮喜欢            
(3星)	 很对不起席绢的原著。。= =            
(5星)	 小时候最喜欢的古装剧            
(2星)	 雷            
(2星)	 ★★☆            
(3星)	 比较喜欢李琳的扮相。            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 昨天我们还讨论。。年轻时的沙溢好销魂呀            
(4星)	 我小学他妈看了四五遍。            
(4星)	 我觉得几好看的            
(2星)	 价值观混乱            
(5星)	 黄奕当时多好看啊            
(3星)	 一般般            
(NA)	 电视台 一集就弃            
(2星)	 落差太大我无法接受            
(5星)	 ！！！！！！！！！！            
(4星)	 我妈当年很爱看            
(3星)	 这个时候的黄奕，符合我对李玉湖的想象，聂远的齐天磊也是。改编完全破坏了原著的精华。            
(3星)	 。。。没看小说前可以给推荐的，里面还有老白呢            
(1星)	 我看过哎！为什么呀，因为脑残电视台老是在暑假放啊！智商和视觉的强奸！            
(NA)	 我还能再shalow点吗            
(NA)	 囧            
(4星)	 内地拍得还不错的片子            
(3星)	 恩,我那时还是挺喜欢黄奕的            
(3星)	 呃 还是看小说靠谱            
(3星)	 老妈最爱            
(NA)	 小时候老看到            
(NA)	 不知道为啥看            
(3星)	 尴尬的电视剧。            
(3星)	 喜欢聂远。            
(3星)	 好像也不怎么喜欢 但还是看完了            
(5星)	 黄奕最好看的时候。            
(4星)	 除了袁不屈,都不错            
(5星)	 当时也是心头好 聂远聂远            
(NA)	 彼时的黄奕啊。            
(3星)	 年少回忆。            
(2星)	 那时候的黄奕还不像还珠3里的那么让人难以忍耐            
(NA)	 曾经的俊男美女            
(4星)	 那年过年很喜欢。            
(3星)	 小时候看得。            
(4星)	 很搞            
(4星)	 其实这个还不错 很有HE古装文的路数            
(3星)	 聂远和黄奕在里面还是蛮登对的            
(4星)	 那个时候的黄奕是个很精神的小姑娘！            
(4星)	 整合了席绢大人的两部小说。。好吧。。第一次见到聂远，认领帅哥一枚            
(1星)	 聂远那个帅哦 黄奕那个不舒服哦            
(3星)	 我還是看了我還看完了             
(3星)	 原著更棒，演员选得不错            
(NA)	 里面有沙益？            
(3星)	 还是看席绢原作好点。            
(NA)	 婆婆异常极度无比喜欢的一剧..珠江台的配音也不会太差.            
(4星)	 当时觉得黄奕和李琳太漂亮了。            
(3星)	 看时就在纳闷：所以，怎么可以拍出这么劣质的效果？！            
(NA)	 不及书好看。            
(3星)	 不及原著            
(1星)	 完全侮辱了席绢的书            
(1星)	 看过书，电视剧真够傻的            
(3星)	 还不错            
(2星)	 演员实在太不美型了。            
(5星)	 好不错的肥皂剧            
(NA)	 不为什么超喜欢这部            
(4星)	 那时黄奕多水灵。聂远也讨喜。            
(3星)	 马马虎虎可以看            
(NA)	 ...看不下去了....            
(4星)	 黄奕在里面很可爱很搞笑            
(NA)	 喜欢            
(NA)	 嗯。这个片子比较喜欢看李玉湖和三公子那一对。            
(NA)	 看了N遍的TV，黄奕也就这部比较能看一点，接下来的……就……            
(3星)	 黄奕那时蛮漂亮            
(4星)	 传统喜气~            
(3星)	 黄奕演技还可以啦            
(NA)	 还是小说好看            
(3星)	 凑合吧，茶余饭后用的。真实性，说真的，不怎么样。            
(4星)	 现在想起来也是很喜欢的一部剧~记得主题曲的歌词写的很不错呢~算是幼小的我的爱情观启蒙吧~            
(4星)	 我的童年            
(5星)	 超好看有没有啊 让我小时候变成了黄奕的脑残粉。。。            
(4星)	 我姥姥特喜欢看这个，每次都是我跟她一起看，因为我喜欢看各种尴尬和误会，当初很喜欢黄奕，现在是在对她无感...            
(5星)	 这个真心挺好看的……虽然镜头用得实在太傻            
(3星)	 将军的扮演者减分太多            
(3星)	 童年啊            
(4星)	 再看一下还是很经典，喜欢以前的这种化妆技术不高时的装束和人们的表演。对了，还有拿大鼠做实验的剧情呢，好生亲切。            
(4星)	 诶我今天还在电视里看到诶。。。居然有白展堂。。。            
(5星)	 从服装、何园的布景到编剧、演员表演、片尾曲都透着现在国产电视剧里难得一见的认真二字！！            
(4星)	 那时的黄奕与聂远是多么可爱和等对呐！            
(NA)	 竟然有沙溢！！！！！！白展堂！！！！！！            
(5星)	 真心喜欢。            
(3星)	 色情片啊尼玛            
(NA)	 童年..            
(NA)	 我现在还在疑惑……这尼玛是个啥啊！没看完……            
(4星)	 那时候的黄奕还蛮灵啊。。。聂远真心帅啊，man味港港的！            
(4星)	 黄奕当年还没去整容，聂远当年还没去削骨，沙溢当年还白白胖胖，李琳当年还没去经商。。。。。            
(5星)	 姐年轻的时候，还蛮喜欢席娟。。。－ －            
(3星)	 噗~~中学时候看过~~            
(4星)	 喜剧             
(4星)	 小时候多喜欢聂远啊~            
(4星)	 也是曾经蛮经典的剧诶，我发现好多电视剧我都没标呢            
(3星)	 我可以说我很爱看这个，而且觉得里面主角都是俊男美女吗？？            
(3星)	 跟原著出入蛮大的。。。尤其是床上那部分。。。            
(NA)	 嘻嘻            
(4星)	 这是她们最美的时候，20集也不腻，三段线讲得清清楚楚，红娘意识也很强，豪门恩怨也理清了。            
(4星)	 搞笑剧  小学哎              
(4星)	 当初很爱啊。            
(5星)	 小的时候真的好喜欢看啊            
(5星)	 哈哈，为什么我会觉得好看啊             
(4星)	 居然有老白！！！！            
(5星)	 我小时候喜欢得不得了！！！！！！多美的杜冰雁和李玉湖啊！！！！            
(5星)	 真的很喜欢那个时候的沙溢和黄奕~还有插曲~            
(4星)	 当年太爱这部小说……囧囧的少女情怀啊            
(3星)	 对的，果然人喜欢什么是不会变的，我记得小时候看这部的时候就不喜欢李玉湖，喜欢杜冰雁。            
(4星)	 小时候喜欢看呀            
(3星)	 那时候对黄奕和聂远印象挺好的            
(4星)	 那时候就想啊。黄奕跟李林怎么能美成这个样子。            
(4星)	 结局真好！            
(NA)	 经常在外婆家看着看着就不愿意回家睡觉了。            
(4星)	 很多遍很多遍……还是很喜欢扬州园林风……            
(NA)	 其实是基友            
(4星)	 当年看的时候 我最萌的是老白的沙平威和敖娇的小公主啊！            
(5星)	 当时非常喜欢            
(4星)	 原来我那么早就开始喜欢沙溢了、、、            
(3星)	 当年也是追过的啊            
(NA)	 觉得那时的黄亦最美了            
(5星)	 小时候很喜欢的电视剧，斗智斗勇什么的很好看…            
(5星)	 我觉得是小说改编电视剧很成功的例子啊~            
(3星)	 太小看的。。都没什么印象了。。            
(4星)	 那时黄奕多美~            
(3星)	 当时真的觉得两个新娘子都好美            
(4星)	 那个时候黄奕没那么招人厌啊……            
(3星)	 小时候看的哈哈哈哈            
(4星)	 黄奕也就好看过这么一回            
(1星)	 三俗！            
(NA)	 里面居然有白展堂。。            
(3星)	 黄奕最火的时候，她也就火过那么一阵。            
(4星)	 聂远内个时候多好啊，现在又胖又黑惨不忍睹            
(3星)	 还成还成。。不休喊杜小姐，嘴巴怪怪的。。好多唱戏的            
(2星)	 从来没有喜欢过黄奕和聂远            
(3星)	 最早看到老白的片子就是这部，那时候好年轻啊            
(4星)	 给四星是因为每年无聊的时候就找这部片子看……            
(NA)	 沙平威居然是沙溢…… 震惊……            
(3星)	 很适合消遣时间            
(3星)	 一直没看进            
(3星)	 第一次人认识黄奕应该就是这部剧了吧。            
(4星)	 我奶奶看过不下十遍了。。。还以此教育人。。。            
(3星)	 中学时代，席绢。            
(3星)	 这片子用来消磨时光再好不过，老套是老套，但不难看。喜欢黄奕和聂远这对，很有趣，大部分都是为了看他们。            
(5星)	 这个绝对赞！！！            
(NA)	 里面的一个丫环是我姑姑朋友的女儿演的  每次放到有她的镜头我姑姑就喊我去看   后来她不喊了 那天放丫环和那个男的上床神马的= =            
(5星)	 我……我……我可迷这个了！简直迷死这个了！            
(NA)	 当年天天晚上不睡觉的追着看，现在可没这激情了            
(4星)	 就记得有很好的片段            
(4星)	 那个年代喜欢的片子～            
(3星)	 说实话很有三言二拍的奇妙古感。            
(5星)	 难得有这样情节不拖沓的古装电视剧，很经典啊。里面的俗语都很好。            
(3星)	 聂远~~            
(3星)	 起码。你让我知道了席慕容。            
(3星)	 对黄奕的好感始于此，止于此。            
(4星)	 小时候的自己是有多不挑啊，杂七杂八并收，没有难咽的剧集。这个也算个经典吧。            
(4星)	 当年很喜欢 当年很喜欢黄奕。            
(4星)	 多少个美妙的下午啊            
(1星)	 黄奕是个瓜婆娘            
(3星)	 聂远沙溢，我勒个去            
(5星)	 不错不错            
(3星)	 个将军实在太难看...            
(3星)	 席绢原作挺好看的            
(4星)	 当年的黄奕还是很顺眼很漂亮的            
(3星)	 当时好像还颇为认真地看了一阵。里面有还未出名的黄奕和聂远。现在回头看看真是遥远。            
(4星)	 小说还算不错~~            
(3星)	 好吧... 其实 这个 也看过一些            
(5星)	 我就爱看聂远跟黄奕那条线…            
(NA)	 哎呀很有趣啊            
(4星)	 播一遍我就看一遍，很喜欢。特别是冰雁和将军搅基（大误）。            
(NA)	 记得有个女的是兔唇            
(4星)	 初一的水痘~那时候的黄奕啊聂远啊~~~            
(3星)	 席绢啊。。。那时候还是很喜欢的            
(NA)	 书要好多了。这演绎简直是毁灭性的，这可是席绢第一部改编成电视的小说啊，怎会如此惨不忍睹。o(╯□╰)o。            
(4星)	 当年特别喜欢，也不知道为毛            
(3星)	 记得挺好看            
(4星)	 当年的黄奕很惊艳。            
(3星)	 原来看过的电视剧还不少。。。但是 现在想来 好没意思 = =             
(2星)	 印象不深刻，所以只给两星了！            
(4星)	 其实我挺爱看这个的。现在演我也看。掩面..            
(NA)	 妈妈几中意呢出戏            
(3星)	 这个...记得有个将军很壮...            
(3星)	 20集我看怎么那么拖。            
(3星)	 那个时候觉得这是个恐怖片。超喜欢师傅师娘那样做夫妻的感觉。            
(4星)	 介个也很讨老人家的喜            
(4星)	 那时候的黄奕还是很有爱的，今天怎么就变了呢            
(NA)	 补：那时的黄奕多天然            
(4星)	 腹黑聂远啊啊 啊啊            
(NA)	 貌似。。。            
(4星)	 突然看到~            
(3星)	 开头很吸引人，懂啵，可惜后面有点狗血。            
(3星)	 扬州城事件            
(3星)	 白展堂居然演过？苍天呐，作弄人哎。当初还是一白脸小厮呃。。。为毛幼齿时看的电视剧评分都是如此之低，海报是如此低俗，现在也是一样嘞。。。            
(3星)	 最喜欢片头曲的歌词：善恶皆会得报应,祸福自然有天理,姻缘桩桩似线牵,万事幽幽当自立            
(3星)	 我怎么觉得这么囧呢            
(3星)	 我都忘记这是一部集合了老白……和教主的片子了！XDDD顺便……其实我看小言之后脑补的形象[仅限男性角色]不是这片子里这样的。/____\            
(3星)	 蛮好的嘛~小成本制作~            
(NA)	 好看            
(4星)	 当时很红啊~ 算不错啦            
(4星)	 好玩            
(3星)	 我很喜欢里面的某些场景而已            
(3星)	 = =            
(NA)	 我当时还觉得李琳巨好看后来...没吓死我             
(5星)	 怎么可以不贴加它呢~~            
(5星)	 李玉湖。齐天磊。很幸福。            
(3星)	 小时候觉得还蛮好看的=v= 那时觉得现在已经改名的那位好漂亮            
(3星)	 我居然看过这个，汗，只能叹一句年轻时真不懂事……            
(NA)	 黄奕初出茅庐            
(3星)	 虽然挺喜欢席绢的,虽然小学时很爱看这部剧            
(3星)	 没有小说好看~            
(4星)	 还有帅胡呢～帅胡和公主还有吻戏呢！            
(5星)	 原来这个里面有沙溢~？~？~？~            
(4星)	 诶呀！当年的沙溢可帅了！            
(3星)	 原来这是席娟的作品.            
(4星)	 扬州可美了            
(3星)	 额。里面居然有葵花派的人。            
(3星)	 现在都还有记忆。            
(3星)	 原来我还是看过很多中国电视剧的嘛~~这部不错。行的。            
(4星)	 以前也挺喜欢的。            
(4星)	 挺爱看 那时觉得两个女主角古装扮相都很美 。 老白那时很青涩么 傻小子一个            
(4星)	 剧情很简单 这时的黄奕我还蛮喜欢的            
(4星)	 剧本好。、。。。。。。。。            
(3星)	 看了前两集，典型的言情小说呵呵~~不过第一集里，李琳真惊艳啊~不过剧情上还是黄奕出彩。            
(4星)	 这部戏里最漂亮的是杜冰雁 这个后来改名为李佳璘的美女            
(4星)	 那时的我还没有讨厌黄奕，聂远还是挺帅的~            
(5星)	 虽然质量一般 但我就是特别爱看 不知道为什么            
(3星)	 爱情兜兜转转撞对。            
(3星)	 很神奇的古装剧 就那么好上了 ==            
(4星)	 唯一一部觉得还不错的黄奕演的剧            
(2星)	 没有一个顺眼的演员……            
(NA)	 俗俗的，还是蛮喜欢的。            
(NA)	 和爷爷奶奶一起看。            
(4星)	 不错...            
(4星)	 喜欢聂远和黄奕那对            
(1星)	 好傻            
(5星)	 看了好几遍好几遍            
(2星)	 小说不错。            
(3星)	 唱词挺多            
(2星)	 20            
(3星)	 剧和小说还是很不一样            
(3星)	 相信那时的这对情侣间确有真情            
(4星)	 一家人一起看了好几遍的电视剧            
(4星)	 因为席绢，喜欢这部电视剧。也是因为黄奕，回味了这片电视剧。            
(3星)	 不断重播不断看。。。            
(4星)	 话说~我真是挺喜欢看的~很少有肥皂剧重播我也看的哈哈哈~            
(4星)	 其实还是不错 如果不是黄奕就更好            
(5星)	 那时沙溢还不红            
(3星)	 席绢的            
(3星)	 喜欢故事不喜欢演员，喜欢聂远不喜欢黄奕            
(NA)	 小时候看过            
(3星)	 很以前看得,觉得题材蛮有趣的,没想到沙溢这么早就有了阿~            
(3星)	 黄奕和聂远的处女作...            
(NA)	 看过一点            
(NA)	 现在这四个人都红了！沙溢那时还挺瘦呢！            
(4星)	 当初看的时候还是很喜欢的            
(3星)	 认识了黄奕...            
(3星)	 席绢的小说            
(3星)	 李琳挺好看的 这剧最近又在播 我看的都快吐了 不过看一次的话还是可以的 聂远 不错            
(3星)	 唉~我真不想承认我看了这烂片= =++毁原著此剧一出谁与争锋！            
(3星)	 那时黄奕还挺顺眼的            
(4星)	 对于齐天磊那一对儿喜欢的厉害            
(5星)	 小时候暑假里放的。。超怀念。。            
(NA)	 没劲            
(4星)	 这部还不错            
(2星)	 造型差了。            
(NA)	 聂远。            
(4星)	 我妈特别喜欢看这个            
(4星)	 很搞笑的            
(3星)	 两个女主角很好看的            
(5星)	 那时候黄奕还是很有趣的。一部比较搞笑不要用脑子看的戏。            
(5星)	 轻松又好玩            
(NA)	 当时觉得黄奕很好玩。            
(4星)	 刚开始看这个觉得黄易还不错 后来越来越不行。。。            
(NA)	 上错花轿嫁对郎            
(5星)	 特别喜欢在齐家的那段            
(4星)	 两位美女啊            
(5星)	 很好看呀 米想到米想到沙溢有在里面雷            
(NA)	 老白在里边儿是紫衣少年。            
(4星)	 很久以前看过的``            
(2星)	 蛮有意思的。。            
(3星)	 姑且算作童年的回忆吧            
(4星)	 席娟的第一部            
(2星)	 黄奕贼拉磕趁，可是由于集群效应，我当时觉得她俩挺好看的。还有老白白展堂呢，真可爱。学会了一个词，断袖之癖～            
(4星)	 喜欢这时候的黄奕。            
(3星)	 黄奕装疯卖傻真的很傻！            
(3星)	 挺喜欢的，虽然演得做作，但是挺喜欢，喜欢聂远            
(2星)	 典型的家庭主妇喜欢看的片子            
(4星)	 消磨时间不错            
(3星)	 那时候的黄奕还不错，后来基本上有点残。还有男主之一是聂远。            
(3星)	 电视剧有点傻。。书好款～～～            
(3星)	 在扬州拍的~            
(4星)	 当时很喜欢……            
(3星)	 看过好几次了吧。            
(5星)	 看了好多遍一直都觉得很好看，不愧是席娟的原著            
(NA)	 哈哈，这个电视剧很早看过，大学重温了下，尽管不是在电脑看的，还是电视机里看的，精神可嘉            
(3星)	 没有书好看~            
(2星)	 玷污席大啊            
(4星)	 I enjoyed it.            
(NA)	 糟蹋了席娟            
(2星)	  黄奕 ，垃圾            
(3星)	 每次耿耿于怀的是没有字幕!            
(3星)	 上错花轿嫁对郎            
(3星)	 从这个片认识了黄奕．．．．想不到李玉湖后来成了小燕子．．．．            
(1星)	 基本上看过原著小说，就知道这部戏有多烂            
(3星)	 还不错            
(5星)	 不错，非常喜欢黄奕的演技            
(3星)	 黄奕当年多可爱啊            
(3星)	 当时觉得那两个女主角，漂亮啊            
(2星)	 囧            
(4星)	 很喜欢黄奕            
(4星)	 几个新人来演，感觉颇为清新。可能是我对这几个人印象最好的一出……虽然对原著改编不少= =+            
(4星)	 那时候觉第一感觉就是这根本就是改编自某部再寻常不过的口袋本言情小说啊！            
(3星)	 琼瑶~            
(2星)	 土就一个字            
(3星)	 看过一两集            
(4星)	 只记得驸马和公主了            
(5星)	 其实还蛮好看的            
(4星)	 想起了小时候^^            
(4星)	 那时候的聂远和黄奕很惊艳那~            
(4星)	 不管剧怎么样演员都是我喜欢的啊每次电视重播我都要看            
(4星)	 老白很萌的曾经。=￣ω￣=            
(NA)	None
(3星)	 当时觉得这片名好巧阿~~= =            
(4星)	 我就是喜欢聂远怎么着            
(3星)	 跟老妈看的...            
(NA)	 想想当年这部片子拍出来的时候我才7岁就看过一眼到现在那副画面还记忆犹新，很不错的片子现在古装片好差劲各种做作，金典不愧为金典，就是丫鬟都那么灵秀（感觉妆没怎么画很不错），李玉湖和齐天磊这对在剧里很有朝气，李玉湖很俏皮，前面不错后面那种争斗不喜欢。黄奕的那套嫁妆感觉挺不错的。            
(2星)	 我到底都看过什么！            
(4星)	 小时候觉得李琳比黄奕好看多了去了虽说当时觉得黄奕也好美的说，童年美好的回忆啊觉得聂远跟黄奕绝配啊~~~~~~~~            
(3星)	 小时候全家人一起看的            
(2星)	 子弹时间最早是我们发明得！！            
(4星)	 只要现在电视台播出，还是会停下来看            
(3星)	 那时的黄奕看了还算顺眼。。。            
(3星)	 黄奕和聂远……            
(3星)	 那个将军好帅            
(NA)	 不记得有沙溢            
(5星)	 虽然，剧情，其实，很庸俗，但发现我很喜欢这种庸俗剧情啊。。。。。            
(NA)	 我真不想承认我看过- -            
(NA)	 嗯  很老的片子  但是很喜欢             
(3星)	 那时的黄奕比现在顺眼多了。居然还有沙溢出演，啧啧。            
(4星)	 高中时喜欢的调调，那时特别喜欢聂远，            
(5星)	 超好看的国产古装片~~ 经典~            
(5星)	 比小说好一百倍            
(4星)	 这个必须看过。。。当时觉得黄奕真好看。            
(NA)	 一直觉得很无聊的片子= =            
(3星)	 我还记得主题曲。            
(5星)	 小时候看的，蛮经典的。。。            
(3星)	 黄奕其实也有不二的时候            
(4星)	 故事比较简单,小时候和妈妈一起看的,比较戏剧性,印象也比较深女主都很漂亮            
(3星)	 好欢乐的童年            
(5星)	 每一次重播必看的美好治愈系 有非常喜欢的聂远 Wow 原来沙溢就是那个可爱的傻小子沙平威啊            
(4星)	 打发了我一段颇长的青春年少            
(5星)	 至今仍喜欢那个片尾曲TAT小时候的电视剧真的比现在播的好看多了，不过长大了要求也高了，再也重温不了。            
(5星)	 扬州城里的小情调啊，风土人情表露无遗            
(4星)	 童年的回忆            
(4星)	 当时记歌词可辛苦了            
(NA)	 小时候  神一般存在的电视啊   想不到 我竟看过这么多电视剧            
(4星)	 高兴。            
(NA)	 那时喜欢聂远，也是小时候的回忆。            
(3星)	 看的时候很喜欢            
(4星)	 妙~~沙溢。。            
(3星)	 爱这个扬州小调            
(4星)	 我妈很爱 跟她看了一遍又一遍 安徽卫视 只记得聂远 黄奕和沙溢            
(3星)	 小学的时候...            
(4星)	 没认出聂远= =            
(3星)	 好早之前的片子了，黄奕那时候还算好看~            
(4星)	 小时候挺喜欢这部的，觉得那个女扮男装的好好看~            
(5星)	 天，小时候超爱的。。，。。百看不厌那时候。。很喜欢李玉湖和齐天磊，后来还特意买席绢的书来看，从此走上了台湾言情的道路 - -            
(5星)	 很欢乐的说~~而且有沙溢，这个太神奇了~~            
(4星)	 虽然现在看起来制作的有些拙劣，但是不可否认他真的是一部很经典的治愈剧            
(3星)	 谁小时候没看过            
(4星)	 很喜庆的一部剧，看几遍都不厌            
(4星)	 上错花轿这种事情啊，哈哈            
(4星)	 挺欢快的，美女多            
(4星)	 我喜欢            
(3星)	 虽然狗血了点但还能看下去，原著是席绢？！ORZ            
(4星)	 每年寒暑假都会放的电视剧            
(3星)	 为什么我以前觉得很好看！！！！！！！            
(5星)	 我小的时候好喜欢好喜欢这部电视剧，最近又播……看一次喷一次血…            
(5星)	 XXD            
(NA)	 这些分都拉的略低啊，在当时看其实还不错啦~~            
(4星)	 小时候很喜欢黄奕的！            
(3星)	 原来是展堂呀…            
(5星)	 里面的歌都朗朗上口丫            
(2星)	 就是不喜欢黄奕啊            
(3星)	 喜欢那时的黄奕，不管后面的八卦，依旧喜欢            
(5星)	 儿时的记忆啊            
(4星)	 矮油 第一次见到 白展堂 就是这个！！！            
(5星)	 和话王侃大山儿，黄奕最美的时候呐            
(NA)	 居然有老白，居然有聂远！ 那时候的黄奕还是不错的...            
(4星)	 这个剧情我喜欢。            
(2星)	 没看进去            
(3星)	None
(4星)	 很好            
(4星)	 小时候觉得很好~            
(3星)	 我妈喜欢看。。            
(4星)	 寒假时候电视总得放，那时候都好年轻啊            
(5星)	 很好看的剧，那时候几乎是全班同学都在看，火到不行            
(NA)	 奶奶的最爱            
(4星)	 还行。。。印象深刻的就是此剧鲜艳的色彩            
(NA)	 好 喜 欢 哪            
(3星)	 小时候身边的人老爱看了，这个时候觉得黄奕还是不错的- -            
(5星)	 那时候最喜欢玉湖的古灵精怪和天磊的幽默聪明。            
(4星)	 哈哈哈 居然也能看到这部 又是一部童年剧             
(5星)	 和现在一个模子里刻出来的那些电视剧相比，它有的不仅仅是创意。沙溢当年还那么纯。            
(4星)	 这是为了黄奕，和当年的欢乐，给的4星~！            
(4星)	 为毛评价这么低？！！童年心头爱啊！！我大爱的剧啊……            
(NA)	 三星。            
(4星)	 依旧经典，那时还买了一套DVD呢            
(2星)	 我还看过这么2的片子            
(4星)	 那时候最喜欢黄奕聂远那一对~单纯又有爱~            
(3星)	 原来看我过这么多电视剧            
(3星)	 片名很二啊~            
(4星)	 那时候，黄奕还不是很惹人讨厌~            
(3星)	 小学时看的。。好像现在电视上又在放了            
(4星)	 电视上看到，重新一遍            
(3星)	 初中的记忆了，原来黄奕也曾讨喜过            
(3星)	 以前小的时候陪奶奶看，讲给奶奶听，很怀念她还在的日子            
(4星)	 我也是后来才知道。。那个将军的弟弟，后来娶了公主的小白脸原来是沙溢。。。。。老白你也年轻过            
(NA)	 席绢的作品            
(4星)	 演员都挺养眼的。也都很年轻。加了很多分。            
(4星)	 杜冰燕和齐天磊那部分蛮逗的            
(5星)	 记得小时候好喜欢这个的！！！            
(4星)	 好日子里出了错，错也不算错，咱们巧解姻缘说善恶，一波三折 ，来到家中不是客，欢欢喜喜天作合，嘿！　　有情有义一定会有好结果            
(5星)	 连我妈妈那么挑剔的人都喜欢！经典啊！            
(NA)	 小时的记忆。            
(4星)	 回味一下 感觉挺真挺好玩的            
(5星)	 喜欢古宅的那一部分  好搞笑呀            
(4星)	 居然还有沙溢！！！疯了。。。            
(3星)	 李玉湖比杜冰雁好看。。。。            
(3星)	 我擦，小学时候的时候看过！            
