http://movie.douban.com/subject/3055383/	策马啸西风
(4星)	 当时还是很爱看的。不过巨不喜欢陶红和傅红雪那个发型~            
(NA)	 当时真的觉得很好看很好看            
(5星)	 我喜欢飞鸿姐姐的范儿啊！！            
(4星)	 偶喜欢吴京的流星 +V+ 和明月心挺般配的~~西门吹雪和中原一点红雷死人不偿命 =_=            
(3星)	 对老少配最早的理解，明月心明月心明月心明月心明月心            
(4星)	 原来小时候看的是叫这个名字。。。一直想不起来。。orz            
(3星)	 对傅红雪印象极深。            
(1星)	 小时候看觉得陶虹的脸好大             
(2星)	 话说除了俞飞鸿的美别的实在不敢恭维。            
(3星)	 流星蝴蝶剑。天涯明月刀。            
(3星)	 一句话，看俞飞鸿！            
(4星)	 俞飞鸿很漂亮..完全冲着吴京去看的 陶红好丑啊啊啊啊脸太大!            
(3星)	 里面人物造型特别的傻～我孤傲的傅红雪啊～            
(2星)	 唯一的记忆就是傅红雪的冲天辫和满身是字的西门吹雪= =            
(3星)	 孟星魂.星魂.我最爱最爱的吴京版的星魂。            
(2星)	 傅红雪造型简直囧死我            
(1星)	 胡编乱造的借用古龙的故事……            
(2星)	 Parts..            
(4星)	 -_-!。小时候还是蛮喜欢看的。暂且打这个分吧            
(4星)	 沖著俞飛鴻給的四星！！！！            
(NA)	 把流星蝴蝶剑和天涯明月刀的人物全部揉杂到一起来胡编乱造，编剧究竟怎么想的啊。。。            
(3星)	 一直误以为片名叫“流星蝴蝶剑”            
(3星)	 吴京当年也是美少年！            
(NA)	 当喜剧片看的~哈哈哈~~俞飞鸿美啊~~            
(4星)	 吴京和俞飞鸿是真正的古装帅哥/美女！！            
(4星)	 看过的最早的古装姐弟恋。杨艳和阿飞            
(4星)	 邢岷山            
(NA)	 这个改编太汗颜。            
(5星)	 配得上“古龙群侠传”，改编的很好，故事情节很有古龙风，只是没什么名气，市面上碟子和网络上的视频效果都很差。这部剧当时怎么没火呢。            
(5星)	 好看~            
(3星)	None
(4星)	 一星给美美的飞鸿姐姐，一星给京包子，一星给强大的编剧，其他人一星            
(3星)	 造型太雷人            
(4星)	 这部电视很多不好之处，但是仅为高玉寒和孟星魂这一对就必须看.俞飞鸿很美，和吴京姐弟恋CP太秒人了！            
(4星)	 很好看啊..小学看的 俞飞鸿真美            
(5星)	 终于找到这部电视剧了～～            
(3星)	 姐姐真是美丽~            
(3星)	 星魂和玉寒 仿佛他们真的能相依相恋一辈子            
(5星)	 我是心疼傅红雪多一点……            
(2星)	 中学暑假无聊看的，那个烂啊！情节大杂烩，演员做作，尤其陶红和那什么小蝶，真让我见识了啥叫渣演技了。            
(3星)	 改编的太雷了，至今不能相信俞飞鸿和吴京睡了，OH～～NO～～～            
(2星)	 从这部剧认识吴京的            
(5星)	 当年觉得蝶舞超漂亮。孟星魂和姐姐的感情在我心里种下姐弟恋的种子。风沙渡和小竹楼成为我一辈子yy的地方~~每次看到傅红雪一张老脸顶着冲天辫出现都会冒出一阵无名烦躁----当时小小年纪已经懂得替别人的丑害臊了:P            
(3星)	 完全是迷俞飞鸿...            
(1星)	 古龙死了你们也不能这么瞎搞啊！！            
(3星)	 某个暑假的记忆……            
(2星)	 改得乱七八糟            
(4星)	 喜欢俞飞鸿            
(4星)	 最后，他回了他的大漠，她回了她的苗疆。日后，他们每人的生活平平淡淡，只是，酒后不省人事的时候，心底的那个人那些事会慢慢发酵，成永远。            
(2星)	 白瞎了古龙俞飞鸿            
(4星)	 我是来看俞飞鸿美女 还有姐弟恋的 笑            
(3星)	 这片有够扯的。。只记得有个罗哩罗嗦的傅红雪。。            
(3星)	 大陶紅&amp;傅紅雪&amp;西門吹雪 雷死人不償命 = =            
(2星)	 大杂烩啊，我至今还记得傅红雪那个惨不忍睹的冲天辫~~            
(NA)	 纯喜欢俞飞鸿            
(NA)	 当初是为了这部电视剧去看的古龙原著《天涯》《流星》的。。结果发现这电视傻到家了。。。            
(3星)	 难得的不好看~            
(4星)	 因为喜欢，这么多年，念念不忘            
(2星)	 傅红雪接受无能            
(3星)	 现在回头看，何其雷！            
(1星)	 回忆啊            
(3星)	 傅红雪你那头发。。。看到高大姐死了我就弃了            
(4星)	 很喜欢俞飞鸿            
(5星)	 当年好喜欢孟星魂和明月心的            
(3星)	 小学看的 吴京演的孟星魂还不错 .........其他的不做评论.............            
(3星)	 看着吴京感觉很别扭。            
(1星)	 各种傻缺二逼，原著被糟蹋成什么样了。还有邢岷山！！游龙惊凤里的李靖那么萌，为毛要演这个坑爹的扫把头傅红雪！！            
(3星)	 俞飞鸿美啊美的我完全失去了是非观            
(3星)	 我的爱啊            
(NA)	 喜欢陶红里面的装扮。            
(5星)	 俞美人至今都是我唯一觉得美丽的东方美女标准。 无论是高老大，还是惊鸿仙子。最有气质又最具魅力。无视傅红雪，明月心等。 我喜欢古龙笔下的女人，个性生动鲜明，或被世界扭曲走极端路，绝不柔弱和花瓶。她们唯一的共性，可以牺牲一切的为爱执着。            
(4星)	  ╮(￣▽￣)╭            
(4星)	 这个推荐完全是给星魂和姐姐的 与其他无关            
(4星)	 为了俞飞鸿4星            
(1星)	 太TM恶心            
(2星)	 这个真的很诡异            
(2星)	 ╮(╯▽╰)╭ 怎么神马古装剧都看过呢             
(3星)	 那时候的俞飞鸿真美。            
(3星)	 =-= 我觉得古龙先生的早逝，对武侠片的质量真的是巨大的损失。。这片子小时候躲着家里人偷偷看，就为了吴京和俞飞鸿。。现在重看也是这理由。。所以打分不为剧情，这是那个时期里我看过最适合俩人的造型，够好看！            
(2星)	 其实不知道在演啥。            
(5星)	 吴京吴大侠。。。            
(3星)	 现在觉得这编剧真是牛X，竟然把古龙的小说全串联起来了            
(3星)	 完全冲着吴京去的            
(NA)	 一锅大乱炖-。-            
(4星)	 挺不错的            
(NA)	 那时候大家的造型实在太丑了，但好喜欢俞飞鸿啊            
(3星)	 傅红雪的造型啊。            
(4星)	 俞飞鸿真美。            
(4星)	 俞飞鸿啊  就是古大侠走得太走            
(3星)	 请问傅红雪和西门吹雪是来衬托主角美的吗？= =            
(3星)	 多一星是给寒星恋的            
(4星)	 我和姥姥最喜欢的一部剧 每当一讨论起来其他人自动变成空气 没办法整个一家子只有两个感性的人            
(3星)	 那些小时候的记忆拿出来晾晒一下，只记得当时很纠结星魂到底爱谁，今天看了评论才知道，当年还是太嫩了，他果然爱的是俞飞鸿            
(2星)	 无聊呢，看着困            
(3星)	 俞飞鸿  美啊            
(3星)	 俞飞鸿很美            
(NA)	 最记得的就是傅红雪的辫子……            
(3星)	 当年吴京蛮帅啊……天雷剧一部，造型剧情囧……可是吴京的病美男还是很销魂的~后来发现，很多人都和我一样很怀念孟星魂……            
(3星)	 其实 我是赞同寒星的            
(5星)	 一直记得里面的星魂。。。可惜，我一直以为这个片子叫《流星蝴蝶剑》...            
(2星)	 囧片~            
(2星)	 剧中人物的造型实在是。。。            
(5星)	 吴京先生的病弱美少年~            
(3星)	 哈哈哈哈~老怀旧了乜~            
(3星)	 吴京和陶红很配            
(5星)	 为了寒星恋            
(4星)	 虽然这部剧有点雷人，但因为吴京的完美演绎，让我忽略了它所有的缺点，并至今仍为孟星魂和明月心的结局而遗憾            
(3星)	 回忆啊。。那时候很喜欢吴京。。。但是剧情改得太狗血了。。。            
(3星)	 好老的剧啊            
(3星)	 潮流发型……俞飞鸿很美……            
(4星)	 哈哈没错，那个锅盖头啊雷死人，大饼脸啊你咋老捡帅哥配戏！            
(3星)	 俞飞鸿            
(2星)	 除了俞飞鸿通通是垃圾            
(NA)	 当年很喜欢            
(3星)	 01年的电视剧，真早啊。小时候不懂事，觉得拍得真好看。后来觉得真是毁了古龙的作品。我是男二号控。= =            
(2星)	 俞飞鸿很惊艳。孟星魂也不错。            
(4星)	 小学时候看的了。记得最清楚的就是星魂和他姐。。。==|||            
(2星)	 除了星魂的流星剑和俞飞鸿的红衣翩翩，其他人实在很雷……我为了他们俩，才忍着要吐的冲动看了很多集……            
(NA)	 当年觉得好看极了            
(2星)	 这部戏里吴京的杀手装束很顺眼，除此之外都很囧            
(4星)	 吴京的孟星魂和俞飞鸿的高老大还算靠谱            
(2星)	 小学的时候迷孟星魂迷的一塌糊涂...但是实在太雷了..            
(4星)	 俞飞鸿真的好美，吴京也很帅气，但只适合当年。            
(4星)	 还是喜欢吴京~            
(3星)	 没有陶虹就能更好            
(NA)	 我真不想承认这是改编自古龙的。。。            
(4星)	 喜欢望星楼            
(5星)	 神作！力荐！编剧们太谦虚，原著写古龙干嘛，他算啥，分明原作是你们啊，神们！！~~            
(NA)	 人物造型不是一般的雷，古龙的大杂烩，当年纯粹是为了看吴京和俞飞鸿            
(2星)	 已經不記得劇情了，不過記得很囧            
(5星)	 因为这部戏而喜欢上吴京的~            
(3星)	 当年 很爱看啊 明月心~·            
(2星)	 吴京亮点            
(NA)	 西门吹雪啊。。。HLL的西门吹雪就被KUSO成了白发魔男。。。            
(5星)	 很久以前看的，个人觉得还是不错的，当时还觉得吴京很帅            
(4星)	 那时我觉得吴京很帅            
(3星)	 虽然有人说很烂，但当时我还蛮喜欢的。            
(3星)	 俞飞鸿我喜欢            
(3星)	 特强悍了古龙的小说改编后，只有想不到，没有改不到            
(3星)	 很小的时候看的，只记得很喜欢俞飞鸿            
(4星)	 梦幻            
(4星)	 那个月光下舞剑的少年            
(5星)	 古龙的我真看不懂 但是演员不错            
(3星)	 太老了            
(NA)	 一直纠结他的发型，没专心看。            
(2星)	 。。。如果不是俞飛鴻。。。我連星星都懶得給。。。            
(2星)	 我关键是忍受不了傅红雪的冲天辫和西门吹雪的衣服……            
(3星)	 童年的回忆            
(3星)	 看人吧……除了傅红雪之外的            
(4星)	 稍微有点古龙的感觉 孟星魂和高老大。。。嗯 很不错            
(3星)	 这是《流星 蝴蝶 剑》的一个版本。            
