http://movie.douban.com/subject/4848610/	千谎百计  第三季 Lie to Me Season 3
(4星)	 &lt;13 完结&gt;TR叔的英伦口音越来越重了...不会就这么被砍再也没有了吧TAT            
(4星)	 出来了！！！            
(5星)	 太爱这对父女了～为毛不再拍了啊啊啊啊。。。            
(3星)	 看得疲劳  遗弃            
(2星)	 不比不知道，一比吓一跳：Tim Roth叔前阵子跟Gary Oldman，Adrian Brody等一票中青年明星走Prada秀，结果相比之下他穿了名牌也像路边摊……一声叹息啊。本集除第六集神棍外我完全无感——测谎的新鲜感早在第二季就耗尽了。穷途末路了。2012.2.2            
(NA)	 我不就是想看你们两个在一起嘛，你们两个给我不要再暧昧下去了！掀桌！            
(5星)	 小艾要和威廉姆在一起啊混蛋！            
(3星)	 视觉疲劳。            
(3星)	 终于KILL掉了。。越看越没耐心。。但就是有强迫症要播放一遍。。这样比较对得起下载时受伤的硬盘……            
(3星)	 ★★★☆            
(4星)	  Foster和Lightman赶紧在一起吧。            
(3星)	 第一季的华丽技术路线毕竟走到头了，到了第三季已经没有新东西可以拿出来了，所以被砍也是情理之中。            
(3星)	 看了这一季就明白为什么会被砍，编剧真差劲啊            
(4星)	 看到第七集。。看不下去了。。弃之。。。            
(NA)	 受不了。。弃了            
(4星)	 就这么完结了。            
(4星)	 作为单集有独立故事的美剧来讲算是不错的选择，故事性强，蒂姆·罗斯的魅力不减，女助手和女儿都很可爱。            
(3星)	 没有前两部好看            
(NA)	 他手上印的是truth hurts么            
(3星)	 第一季有惊艳之感，第二季勉强跟着，第三季看不完了……故事编得太耍小聪明了，特别是看完犯罪倾向再来看这个一下子被刷出几里地。            
(3星)	 原来这季早end了，早就没耐心看，可万一真被砍还无比怀念它，carl和gillian你们倒是来点儿进展啊!!!            
(4星)	 lightman女儿好萌啊。。。。            
(NA)	 E13            
(4星)	 还是等下一季出来吧。            
(3星)	 还是第一季好看            
(4星)	 CG在一起吧 EM的小鹿眼睛好萌            
(4星)	 Loker第三季有点zhuangbility，还有剧情紧凑点好吗？！            
(4星)	 越来越假            
(4星)	 LTM LOVES GF            
(3星)	 整季都在摇摆不定，Lightman时而正常些时而多动症神经质，剧情时而居委会大妈时而还有一些之前的亮点。有几集惨不忍睹，最后还居然突然扯出和Foster的感情来作结尾企图让人看下去。。。            
(3星)	 本来弃的剧被13集捉回来了&gt;&lt;受不了情节了。只看Foster和大叔有没有戏了！！！            
(2星)	 充满了废镜废话废帧的三废作品            
(NA)	 天马行空，变身绝对权力般的正义战士了。假看着他就想揍一顿。            
(3星)	 too arrogant            
(NA)	 为神马越追越没劲鸟。。。            
(3星)	 大叔依然是大叔 摇头摆尾的走路法 哈哈            
(5星)	 blurt into tears            
(4星)	 Let there be Lightman! 第三季结束，还算不错，剧情略有放松，Lightman有点儿神经质和事儿妈了。            
(4星)	 我、我恨FOX！剪刀手！            
(5星)	 追这部剧，很大程度上就是为了这个不靠谱的英国佬            
(3星)	 Bye-bye Lightman.            
(4星)	 个人剧其实没什么不好，不爱看的就别看了，支持第四季！            
(3星)	 越来越难看，弃。            
(3星)	 看了8集弃了 不够精彩了.            
(4星)	 Lightman越来越屌了。。            
(4星)	 终于又看到TR那张痞子脸了，心情大好///分析越来越少，情节照样走，看的吃力，谁叫我要求低。快在一起！！！烦死了！            
(4星)	 匆忙回归，质量欠佳，果然被砍啊            
(4星)	 还是喜欢看第一季、第二季。            
(4星)	 Locker和Torres彻底酱油了！lightman真的很讨厌！            
(NA)	 被砍了。。。            
(5星)	 他是1900啊~！！！！！            
(NA)	 难道任何剧集都难逃一鼓作气再而衰三而竭的宿命？难道莱特曼终于领悟到人生在世泡妞最大的真理？我彷佛看到一只发情的公鸡四处招蜂引蝶，先是强悍女警又来长腿女贼，还与福斯特玩起暧昧。大师俨然成了”大湿“。而牵强的剧情到第四集已经忍无可忍，矮油，还劫富济贫咧？别特么扯淡了好伐！            
(3星)	  我必须说 没有Emily 我根本不会看到现在            
(3星)	 故事越来越一般，决定不追下去了。。            
(3星)	 好吧 被砍了。。。。            
(4星)	 众人关系都很紧张，那两个毕业生很有潜力            
(4星)	 在Em越来越像老爸的情人的时候，CG终于快修成正果了。。另外Loker是越来越有爱了啊！看完之后觉得，经历了惊艳的S01无聊的S02拖沓的S03前半部分，最后终于找回感觉了~如果有S04，那个Ria认识的黑小子是不是要登场了。。。            
(3星)	 搞不懂lightman在干嘛……            
(4星)	 纯粹是为了TIM ROTH大叔啊。从《海上钢琴师》开始就仰慕不已。个性成功男人典范。            
(3星)	 这季完了，完得很是时候。一季比一季难看但却这么追完了            
(NA)	 目前还不错            
(3星)	 越来越腻味了            
(NA)	 被砍了？砍了就砍了吧            
(NA)	 讨厌Tim Roth ~做大猩猩样。。看呗~3.5*            
(4星)	 大叔越来越有爱啦！            
(4星)	 像炒冷饭了……            
(5星)	 依旧精彩            
(4星)	 其实有点烦了昂……            
(3星)	 since10.4 every Mon，不過開始打溫情牌？那個什麽SKI不太待見，比較少精彩的介紹識破撒謊的部份，都是情感交流，有些不給力了。也許這季開始BJ要走溫情牌，但還是希望能看到沖擊大的分析與矛盾激發。后面如果有的話我會回來再加一顆星的。            
(5星)	 没了么- -···            
(3星)	 总算补完了最后一话……告白在没有未来的前提下显得多么无力啊。            
(NA)	 13            
(NA)	 终于被砍了 我不用再看了             
(4星)	 完全是因为TR的个人魅力撑完的            
(3星)	 黑欲被咔咔带来的意外惊喜。lightman越来越有冒险精神了，但和这部戏原本的风格渐行渐远，微表情这么没搞头吗？没新意，这样下去，就算还有下一季，估计也离cut不远了。            
(3星)	 其实我不想再看第四季了。            
(5星)	 被砍，嗯            
(NA)	 除了 Lightman 的痞子气和他闺女，还真没什么理由要继续追了……            
(3星)	 后知后觉，S3就这么结束了?不得不说S3吸引人的更多是父女互动。            
(3星)	 这个剧还是停了吧，Lightman越来越自大，而且每次还都让他自大对了。OMG！            
(3星)	 se3很烂 还是一集集追完了，这季13集剧估计被砍了要            
(4星)	 自大狂！            
(NA)	 不曉得有沒有第四季。            
(3星)	 真的是越来越没意思了  勉强看完了            
(3星)	 gillian 那麼少戲份是要怎樣啊。            
(4星)	 一季不如一季            
(4星)	 崇拜光人综合症。you are &#34;light&#34;,I am &#34; man&#34;            
(3星)	 弃            
(3星)	 废。。。            
(4星)	 冲着Gillian我也要看下去。。。可惜被砍了。。。            
(3星)	 就這樣結束吧，嗯            
(4星)	 被砍了竟然！！！！！            
(NA)	 大叔加油！11车祸~12children~13隐射facebook？http://www.yyets.com/thread-323526-1-1.html第三季就此终结，希望还有下一季吧~~            
(3星)	 8后面越来越没意思了...弃            
(3星)	 真遗憾啊            
(5星)	 为什么被砍为什么！！！！！！            
(3星)	 弃了！！            
(5星)	 作为最后一季给个满星纪念一下吧……            
(4星)	 没以前好看了感觉7弃..            
(3星)	 太过分了啊，看了一整季，大叔和大妈的事情还是没定下来啊！而且据说此剧已被砍啊！？啊啊啊啊，打滚~~~这么配的一对儿啊！你没要暧昧到什么时候啊喂！……呃……看错重点了吧亲，这个剧不是测谎专家破案的故事么……好吧！这个十三点兮兮的大叔还是那么的有范儿~让人欲罢不能啊！可惜本季剧情略弱            
(5星)	 冲着老情人终成眷属也要五星一下            
(3星)	 终于等到他说真的爱她·            
(3星)	 lightman就是这么难相处啊            
(3星)	 比第二季還爛。。。            
(3星)	 很遗憾确实没能延续前2季的水准，虽然结局可以看到编剧牟足了劲准备写第4季可还是被砍了            
(3星)	 变味！            
(4星)	 感觉没第一部看的时候那么吸引人了~~            
(NA)	 第三季，提姆-罗斯一直抽风~             
(3星)	 看一半就弃了也算是看了吧。。。            
(2星)	 结果就是。。。弃了            
(NA)	 不晓得是哪个傻逼编剧残了这部剧            
(4星)	 求第四季~            
(NA)	 原来被砍了我说怎么一直不更新了5555            
(4星)	None
(5星)	 这一季又回来了，可惜还是被砍了。            
(5星)	 ep2写书的时候电脑居然变成windows的商标了。。之后某尸体眼睛又动了。。整容居然有这个好处~~liam is so Qt。。。我不认为这季比起以前差。。但是我同意lightman变成了到处沾花惹草的家伙。。            
(4星)	 Lightman已经有点神经质了…太过了= =            
(5星)	 藏着掖着不舍得看最终还是见了LTM最后一面，唉，为毛要砍掉呢！我再也看不到那个强势无礼清高自傲老奸巨猾不露马脚见谁都喊love自己却不敢say love的可爱的吊吊的痞痞的但确实很有一套的LTM大叔了，哭T^T            
(5星)	 就這麼結束了！也沒有第四季了！鬧哪樣啊love！(ノ=Д=)ノ┻━┻             
(3星)	 跟第一季比，弱了不是一点点            
(3星)	 基本只剩下劇情了。么行為分析了。都是假的。坑爹。            
(2星)	 为啥癫狂成这个样子            
(4星)	 到第三季灵气已经没有了，可是仍然伤心它被砍掉。。。            
(3星)	 新鲜感弱多了，吸引力就下降了不少。            
(NA)	 懒得打分。第三季真的是……活该被砍。表情学内容少的可怜。基本就是纯纯的刑侦剧。案子不是破的，是lightman独白表演的。剧情、节奏、台词都充满了浪费啰嗦&amp;硬伤。已经懒得吐槽了。            
(3星)	 看到后面完全失去了悬念            
(NA)	 就这么被卡了，我喜欢小女儿和Gillian，不喜欢大叔太嚣张……            
(3星)	 第一部太好看了，第2部剧情很感人，第三部你TM在拍点什么啊！！！结束是应该的            
(4星)	 在一起会死吗。。。不暧昧会死吗。。。            
(3星)	 越看越疲            
(3星)	 整个就是科普啊 完全淹没了主线情感啊！！！光叔的女儿越来越美了有木有？！！多看两眼就爱上她了有木有？！！！最后一集又把主线捡起来了，，，光叔你快对吉姐下手吧。。。            
(3星)	 一直觉得LM这人物形象很眼熟，终于想起来，这简直就是翻版的豪斯叔。只不过毒舌程度没有豪斯大叔厉害，但是疯疯癫癫不按常理出牌的性格比豪斯大叔过之而无不及。最后一季剧情乱的不行，看得出编剧有点力不从心了，甚至无法好好安排之前就穿插进来的配角的戏份，一堆散线收不拢，被砍只是迟早的问题。            
(4星)	 大叔的老脸真是看够了昂。。            
(3星)	 别长得太快，Em            
(4星)	 没有人像他一样见识过这么多的人心虚伪。 没有人想他一样领教过这么多的欺诈背叛。            
(5星)	 见好就收 结束！            
(4星)	 终于看完了            
(5星)	 TimRoth....最爱大叔之一。            
(4星)	 中意每集最后父女的磕磕绊绊。            
(3星)	 lightman越来越神经质了，闪光点能不能分点给别人啊            
(3星)	 cal的流氓样子太刻意了吧~故事平淡，人物越来越不讨喜            
(3星)	 Cal太自我了，喜欢Gil啊~ 剧情已经没什么新意了，我就想看两人的化学反应呵~            
(3星)	 明显不如一二部了呀，所以短命了……然后发现其实现实中没有办法做到辨识谎言的时候，其实也挺好的~            
(3星)	 腻了 弃~            
(4星)	 越来越觉得Lightman配不上Foster了            
(5星)	 以后会有多怀念、            
(4星)	 到13集被砍~没有特别喜欢的集~大叔的语言和行为越来越让人难以理解了，个人风格的过分夸张并不是件好事，结果也证明了这点~            
(5星)	 肿么才13集啊            
(NA)	 没有第四季了呀            
(NA)	 完了不能再看了，不然姐的反社会人格倾向都粗来了！！！PS：我教的第三季越来越越差啊亲，我忍了好久才不给你★★！！！            
(4星)	 看样子下一季有希望啊            
(4星)	 比起前2季差了好多。            
(NA)	 lightman很爱他的女儿            
(NA)	 弃剧            
(4星)	 又掉进美剧坑了。。            
(4星)	 原来一个季度只有13集。但第三季有点失望喔            
(5星)	 Cal Lightman越发神经了······越往后看，才看出点意思来            
(4星)	 Oct 8th,  2010 - Apr 10th, 2011            
(2星)	 强忍着看 烂剧情实在看不下去了            
(4星)	 继续追只是因为习惯...            
(3星)	 惨了，真的被砍了            
(3星)	 暴走大叔跟她女兒拌嘴的梗用到爛，其他角色完全淪為跑龍套，邊看邊抱怨看了好乏還是又看完第三季，犯賤            
(4星)	 医院假扮病人有点老套吧。。foster老了            
(4星)	 哎 这个结局很不妙嘛 差强人意            
(3星)	 嗷L竟然说爱Foster了，编剧啊你是想让我有多崩溃！　难道这样不清不楚得不好么……            
(5星)	 哎。。快点出来新的啊。。            
(NA)	 最后一集，老L是不是有点过。            
(5星)	 大叔在我心里坚不可摧            
(3星)	 对此剧基本无爱了。。。            
(3星)	 我终于看不下去了~            
(5星)	 还想再看到这些演员，拜托继续拍啊！（但是我很奇怪以前一集破两个案子，现在已经膨胀到一个了....）            
(3星)	 主线淡泊　吸引力锐减            
(4星)	 有一点腻了。            
(4星)	 其实我觉得还可以            
(3星)	 越来越没新意了            
(5星)	 越看越想S ~( ＞﹏＜)             
(4星)	 好吧，我承认有走下坡路的趋势，但也没那么糟吧，间或看几集还是蛮爽的啊，至于砍了么？？？！！！看这两人暧昧了两季了，好不容易有开始的兆头啊！美剧就这点最讨厌了！            
(3星)	 每况愈下            
(3星)	 小Em很萌...剧情偏于平淡且过场。            
(5星)	 EM最高！！爱屎了！！爱屎了！！            
(5星)	 五星给大叔毫无保留滴爱~~            
(4星)	 慢慢地習慣，大叔和每個人。大叔的軟肋，女兒和福斯特。            
(4星)	 怎么只有13集！！！！！！！！！！尼玛！！！！！！            
(4星)	 让我有点小失望的是。。不管是lightman还是foster都不再告诉我们，这个人这个小动作是表达了什么。。。。 公司财政貌似比第二季更加吃紧了。。。都见不到foster协助lightman了。。。= = 写着写着发现不止是小失望而已。。            
(4星)	 还行吧            
(4星)	 太痞了，喜欢8220和女儿，竟然就这么停播了            
(4星)	 小美女最后问出了从第一季开始一直纠结的问题。美剧的播放特点把一部能拿5星的剧变成了4星半            
(4星)	 太任性太自以为是太让人不知所措.            
(1星)	 3x11棄。            
(3星)	 明显越来越没意思            
(3星)	 这一季又好一些？没啥赶脚··            
(5星)	 Oi! Detective.            
(4星)	 现在每集最后都会有大叔与漂亮女儿的温馨时刻，挺受落的。又要苦苦等待下一季了。            
(4星)	 还是前面两季好看            
(5星)	 哎。。。虽然叔越来越一副屌爆样。。。但是我还是不想你被砍啊混蛋！！！            
(5星)	 I love every  character in it  cause I can read the read the love on  there face.             
(5星)	 一电视剧成功从拍概念到拍感情了，还能指望其他什么呢            
(NA)	 Cal 越来越疯癫 ... 继续看只是无聊的习惯而已了...            
(4星)	 我真是越来越爱他闺女  以及最后一集让我忍不住的想如果是我  会给谁打电话  又会是谁这样的来帮我维护我            
(3星)	 真不怨人家说您 真是变浪了            
(4星)	 看到cal和Wallowski的对手戏就想快进，再出4也不想看了            
(2星)	 真看不下去了，越来越无聊，lightman越来越神经。            
(2星)	 第三季过后真的没有必要再拍了……第三季本身就味同嚼蜡。            
(4星)	 原来又被砍了            
(NA)	 一季不如一季            
(5星)	 這一季好好看吖。            
(3星)	 没看完，看到第几集也记不清了，越来越趋于平淡，决定放弃。            
(5星)	 一定要继续出下去啊！！            
(4星)	 一部剧集里有一个又萌又抓人还负责各种吐槽的小萝莉食很重要的            
(4星)	 Roth 大叔魅力不浅，不过第三季貌似只剩Roth的魅力了            
(3星)	 ligthtman越来越爱勾搭，locker头发剪短了脾气也没了....很受很受伤，Torres少吃点三明治，再胖就没人要了，真的要向肉感俱佳看齐？-------------------------大叔，早点承认嘛，非要到最后一分钟才说，不都明摆着love foster=。=            
(3星)	 一季不如一季。            
(3星)	 唉，勉为其难。            
(3星)	 虽然可能失望，不过为了保持延续性，还是看看吧            
(2星)	 看到第四集，实在看不下去了            
(5星)	 我我我。。坚持看到了最后。。一脸为难给5星。。            
(5星)	 一定要坚持下去！            
(3星)	 4/5/6/7/8            
(4星)	 so so            
(NA)	 2话弃，LTM已经不行了。            
(5星)	 终于还是被fox砍了。            
(4星)	 真不能接受这是最后一季了，刚刚才好看点儿。。。            
(NA)	 第三部很不错啊   为神马会被砍            
(4星)	 被砍了 泪。。。            
(5星)	 剧情比之前的更加饱满            
(3星)	 真正的审美疲劳            
(NA)	 木有了啊木有了            
(5星)	 tim roth演的就是5分            
(2星)	 果断弃之            
(4星)	 可惜沒有第四季了…TAT再也看不到DR.LIGHTMAN發揮他的看相術了，再也看不到FOSTER與LIGHTMAN的情感戲了，再也看不到EMILY美好的臉蛋了，桑心啊…            
(3星)	 失恋疗效一等一，你就是出个9季，我都铁定有机会看完你。            
(4星)	 马上就要被砍了啊。            
(3星)	 擦那，腰斩了。我还在等14呢！！。。。。算赖，本来也就越编越差了。            
(4星)	 残存的印象里觉得好像比第二季好一点…………？            
(5星)	 被砍了好生伤心            
(NA)	 为什么lightman像个流氓一样的到处晃荡？我要是生的小孩成天那样，直接掐死去。哇哈哈哈~~好像直人们说同性恋啊~            
(2星)	 不如前两季了            
(NA)	 被砍。            
(5星)	 再見了Lightman大叔 雖然你被砍了 我還是一樣喜歡妳啊            
(4星)	 依然没有第一季精彩，但是被砍了还是很伤心，好歹也把这一季完结啊~~~            
(4星)	 停播鸟            
(NA)	 弃了            
(4星)	 这个结局是要暗示下一季我的Foster要和摇晃大叔在一起咩？。我的女人！            
(4星)	 啧啧啧，早死早超生。            
(4星)	 继续追这部剧吧~不过已经对我的吸引力淡了很多，比第一季差多了~勉强四星吧            
(5星)	 砍了。俺的大叔御姐还有小萝莉啊。。            
(4星)	 也许不是单元剧会好点 光是开枪然后判断有意无意的桥段就用了无数段 要不是timroth早就弃了 但是相比Walt大叔 他也不是那么给力了            
(3星)	 也越来越无聊。。。            
(4星)	 二人关系有望在第四季突破？            
(3星)	 弃掉了。尽管你是Tim Roth，但已不是我的1900。            
(NA)	 Tim叔，拜拜。            
(4星)	 我说怎么等了俩礼拜还没新的，原来这就完了啊？            
(3星)	 不如前两季有惊喜了，只盯着人的脸就能破所有案子了~            
(3星)	 大退步。。。            
(4星)	 赫然发现，lightman的新女助手是露西娅的情人女猪脚，哇哦，好大的反差...            
(2星)	 这个越拍越差了。            
(5星)	 受害妇女中有个叫ingrid，有个叫paula——她们是我的同学……的名字XD 而且俩人还总是形影不离……大西语主义满赛！            
(4星)	 没有前2季好看。原来s3就这么结束了，亏我还盼更新盼了几个月！！！            
(3星)	 撒了欢儿了啊 上来第一集就抢银行lightman越来越抽风了 弃            
(3星)	 还会有第4季么？            
(3星)	 我还当被砍了呢，怎么又出了……            
(4星)	 被砍了 之前有预感 没想到成真了 好爱大叔~            
(5星)	 太特么的好看了 我真的不懂 你在等什么            
(4星)	 可惜砍了            
(4星)	 第三季算是渐入佳境啊，可惜13集就被砍了，Time Roth &amp; 大眼妹，byebye~            
(4星)	 感觉果实架构越来越脱离创作本身了，不过吸引我看下去的最大的动力也由原先的心理学，变成萝莉和老爸的感情戏了            
(4星)	 Lightman真让人纠结~!!            
(4星)	 我讨厌腰斩            
(2星)	 越来越神经质            
(4星)	 真的就这样结束了？悲。。。大叔对他女儿说：不要长大的太快好吗？            
(3星)	 鸡肋了。            
(NA)	 原来只有13集。。。            
(3星)	 断断续续的也没看全，就为了loker看的，大叔演的太用力了，看着好累            
(NA)	 這一季會有jennifer beals嗎??            
(4星)	 竟然被砍了。。囧。。。哎。大概編劇編不下去了。觀眾也興奮度日減了            
(4星)	 完美落幕            
(3星)	 本身是不想看的            
(4星)	 第三季结束了，这部剧集的生命貌似也结束了            
(4星)	 越来越不知所云啊，真是            
(4星)	 最后一集最后1分钟。让我评论3星立马变4星            
(4星)	 最后几集案子还行            
(2星)	 ....吐槽无能。            
(4星)	 还没等到光男表白 LTM就被砍了            
(3星)	 不知道为神马不喜欢了。            
(3星)	 看得有点累了，Emily+事件+Emily的模式能不能换一换= =不过这一季最后几集的案子都还算精彩            
(4星)	 面对一个什么都能将你看穿的人，天然就处于劣势。庆幸编剧让对所有人了如指掌的DR.Lightman在最后一集终于表达清楚对gilian的态度；遗憾FOX的不续订，再也没后续叻，the end!            
(5星)	 2 3 6 8 11 13! What am I waiting for...? So tragic to lose it.             
(3星)	 讀顏術被徹底淡化 Tim大叔賣萌已經戳不到我的萌點了...            
(NA)	 节奏明显慢了很多。            
(5星)	 海報太給力了！！！！！！！！！            
(2星)	  越来越无爱，最终放弃了。。。。受不了Lightman的神经质！            
(5星)	 你在片尾終於吐出你愛她。            
(4星)	 停了一段时间后面几集又看上瘾，可惜已经被砍了= =            
(4星)	 就这样在E13的时候被砍掉了……            
(4星)	 就这么被FOX砍掉了&gt;&lt;又少了一个可以看的剧TAT            
(4星)	 好好的剧被腰斩！！！            
(NA)	 据说没续订            
(4星)	 编剧真的是江郎才尽了~~砍掉不可惜！            
(3星)	 没意思了            
(2星)	 MLGB, you are going down. (这是我半年前的评论，果然被砍了。)            
(4星)	 其实我还是蛮喜欢的啊 就这么被砍了！            
(5星)	 貌似不播了。            
(NA)	 很棒的第三季最后一集            
(3星)	 loker&amp;torres。要看的就是暧昧。            
(5星)	 我看好他女儿，哈哈！            
(5星)	 终于补完了            
(4星)	 最后几集还行阿~            
(3星)	 隔了半年最剩下两集看完，觉得还是Tim Roth比较亲切啊叔！            
(5星)	 真舍不得Lightman大叔啊！            
(NA)	 表示这一季没有坚持下来- -只看了一半……            
(NA)	 一直没舍得看最后一集 就这样被砍了？哎 大叔啊            
(4星)	 懶得追了            
(4星)	 MS被砍了。。。不过确实有些鸡肋了啊。。。            
(3星)	 不追了，越来越看不下去。            
(5星)	 呼唤第四季 小女儿Em太萌鸟~~~~~            
(3星)	 越来越无聊            
(4星)	 一般般了。。。            
(3星)	 11-28,to S03E06.            
(3星)	 美剧都完季了怎么办啊...            
(2星)	 和第一季比起来差了真不是一点半点。            
(NA)	 惨遭停播            
(NA)	 果然被砍了            
(NA)	 编剧到第三季有些无力，下季被砍还是觉得很不舍…            
(NA)	 弃            
(5星)	 一如既往            
(NA)	 终于被砍了            
(4星)	 what r u waiting for            
(4星)	 很难出新了            
(4星)	 编到最后觉得无话可说了呢。。            
(3星)	 比起1差了不止一点            
(5星)	 sorry 只能标记成看过了            
(3星)	 看完13集都一个月了才发现已经是季终，这是要多烂尾。。。            
(2星)	 如果不是看过第一季，我连一星都不想给。居然还有8.3，多少粉丝给打出来的高分啊？第一季没追完，断断续续偶尔看看，真的没什么看点。            
(3星)	 此剧渣了            
(4星)	 13            
(3星)	 自從光男和那個醜八怪女幹探搞在一起之後，我很淡定地結束了常規觀看。如果再看肯定是因為Loker torres的姦情還有emily。            
(3星)	  厌烦了lightman随时随地玩世不恭的调情             
(5星)	 LOCKER和TORRES你俩就将暧昧进行到底吧……LTM和GILLIAN也要抓紧了，S4等你俩好消息啊            
(5星)	 爽！            
(3星)	 这季封面怎么这么阴暗？剧情残了。。            
(4星)	 E13是光博士乱入The Social Network么，如果整季都是这样的crossover-movie模式还挺有看头。LTM的疲软是必然不论剧组想如何改变也很难翻出新花样，S3不见光博士“犯错”，之后恐怕再难见到了。            
(NA)	 有点无趣了后来            
(2星)	 荣幸成为我目前为止唯一一部中途弃掉的美剧，好在也被砍了，没有下一季了！            
(4星)	 第四季见，有第四季吧。。。            
