http://movie.douban.com/subject/2305334/	先生贵性
(4星)	 老罗扮相吓人了点，不过剧情不错~            
(5星)	 罗嘉良是质量的保证，那首主题曲很好听~~~            
(5星)	 11年后才遇到的经典!            
(NA)	 罗嘉良的女装打扮大概……一直都不会忘记吧，其实真有那么点雷虽然很像OTL            
(4星)	 771的老作品！初对片名很好奇才去看了，看完之后良久对捞家有种说不出来的喜欢又排斥的感觉！那个男扮女装的形象一出来我就喷了。。。山东大妈哈哈哈~结局留给了人一个大大的问号！值得一推的剧！就是看完了这部剧然后冲着捞家跑去重温天地男儿的反派，结果又喜欢上了里面的大仙。。倒！            
(4星)	 故事挺有趣的。捞家大突破。            
(4星)	 impressive            
(3星)	 劇情很不錯，可是羅嘉良金剛芭比模樣太嚇人            
(3星)	 捞家扮女人……            
(3星)	 看演技的来了！            
(4星)	 超好笑的小片子。            
(NA)	 很不错。            
(NA)	 记得好搞笑咖            
(5星)	 罗嘉良的演技！            
(4星)	 很轻松，故事情节也不错。            
(5星)	 超经典的，里面的情节、人物形象，过了好多年还能记得起来，比现在那一堆堆的看了就忘的TVB剧好太多了，笑过闹过又哭过，还在无形中表达了一些哲理和社会思考，非常8错~~            
(5星)	 羅嘉良很大的突破，好演技，DIANA很讚=3=            
(5星)	 好爱！            
(4星)	 以前的日子.......真难忘            
(3星)	 When i need you. Just close my eyes and i&#39;m with you...            
(5星)	 表姐家的米线和辣椒酱~~            
(5星)	 够创意            
(4星)	 很好笑！~            
(5星)	 我对罗嘉良本来不是很感冒 但是我为了江华去看这部电视剧 最后我也很喜欢罗嘉良了 他真不错演戏！            
(5星)	 when I  need you 很正            
(5星)	 巨好看            
(4星)	 很搞笑，看到捞家扮女人            
(4星)	 很多好笑的情节~不错不错~            
(5星)	 大学 捞家扮女人 嘿嘿            
(NA)	 童年記憶            
(4星)	 7.5            
(4星)	 结局好意外，却应该是最完美的了。            
(4星)	 好看            
(2星)	 剧情有点牵强，FLORA和捞家还是创世纪比较经典            
(4星)	 罗嘉良的男扮女装..            
(5星)	 Diana好耶！            
(5星)	 情节很赞，很特别的构思            
(2星)	 江华帅毙了~            
(3星)	 不一样的罗嘉良，但是扮相是在不敢恭维，毕竟罗的身板太过男性化~破绽百出，呵呵            
(5星)	 小学：很有味道嘅一部港剧~~            
(3星)	 他们的组合也就这一次吧，演的不错。被人关注的不太多。罗嘉良办女人还好，还好～            
(3星)	 剧情略显单薄 角色出彩            
(5星)	 一般，但不知为啥我很喜欢，歌好听            
(5星)	 卡司 劇情 演技            
(5星)	 戴安娜，哈哈。            
(4星)	 我记得看过了，但是具体的情节是什么的，我忘了            
(5星)	 前无古人，后无来者            
(5星)	 感动的故事，结局反转地不能接受。            
(NA)	 “罗记”代表作之一            
