http://movie.douban.com/subject/3040027/	美丽传说
(NA)	 这狗血大全编剧是王晶？？？小学看得一愣一愣的=_=            
(3星)	 影射各大明星！            
(5星)	 我是肿么了~哈 十年前的片拾起来重看，我真心觉得好好看好好看！！！！            
(4星)	 atv为数不多的好片            
(3星)	 亚视也有好看的剧嘛            
(3星)	 就那几人的故事，没什么好看的            
(4星)	 不忍心看下去            
(4星)	 当年电视台放了前20集就不放了，害我和同学跑遍了我们这里的影像店找下部，不喜欢陈法蓉那角色太软弱，MICHELLE挺可惜的，所以说每个人都要为自己曾做过的事负责！            
(4星)	 那时觉得任达华好man啊            
(5星)	 太好看。。记得当时迷李丽珍那个角色迷的要死就连后来起英文名用machelle都是学她= =            
(2星)	 印象模糊            
(4星)	 当时有追的            
(NA)	 太久太久。            
(4星)	 记得是从中间开始看的，感觉挺不错，任达华和李丽珍的感情线挺有意思的。            
(3星)	 我还记得一两个镜头            
(4星)	 各种影射，如今才明。            
(3星)	 没看全，据说各种映射，真是艺术来源于生活呀            
(4星)	 这个，这个，Christ太man了            
(4星)	 原来这部片子有影射明星啊o(╯□╰)o 小时候看 只当它是我和春天有个约会的姐妹篇 都是四个女生的故事            
(4星)	 当初很喜欢陈法蓉            
(4星)	 亚视经典！            
(4星)	 当年狂追            
(NA)	 ATV...看的真的超级少。这部给我印象很深刻的，选美为背景的人生沉浮。一堆美人，有机会再翻出来看。            
(5星)	 感动得死去活来！~好喜欢珍珍~~~~            
(4星)	 唔错嘅ATV剧集            
(NA)	 田蕊妮賤的我喜歡。            
(5星)	 不得不说，很好看            
(4星)	 非常好看。全家都追这部。            
(NA)	 亚视罕有的精彩作品            
(5星)	 李丽珍的角色演得真的很棒！            
(4星)	 我只记得里面女人超级多……            
(4星)	 关于港姐的故事……几好睇            
(4星)	 当年好喜欢RITA这个名字            
(NA)	 始终觉得陈法蓉女士又悲又老又唔靓.            
(4星)	 小时候爱看的~~最爱李丽珍的MICHELLE~~            
(4星)	 看过，觉得还蛮好看的            
(4星)	 也是美好的童年记忆~~~            
(5星)	 小学时候看过，印象很深的里面一场比赛，本来是李丽珍第一名的。            
(4星)	 很小很小的时候看的            
(4星)	 李丽珍真漂亮~任达华也好有型~~~            
(4星)	 唉  一直以为是TVB的……第一次看有关选美            
(5星)	 很不错的电视剧            
(4星)	 Chris很少见的完美男人，我想很多女人会向往吧！            
(4星)	 童年的记忆啊。。            
(3星)	 遗珠！            
(4星)	 很喜欢很喜欢的电视，不过我是只看T君这条线            
(4星)	 剧情越拍越离谱......但是演员我很喜欢....PS，里面得爱滋的影射的是倪震吧....哈哈....            
(4星)	 星姐的故事，            
