http://movie.douban.com/subject/2229437/	少年黄飞鸿
(4星)	 我特别特别喜欢牙擦苏            
(NA)	 释小龙还是那时候好看            
(1星)	 我们爱牙擦苏。。。            
(4星)	 就记得里面豆腐西施很美~郝蕾很美~            
(5星)	 这么好看的片你们都打三星尼玛！            
(4星)	 释小龙还是很喜欢的~            
(4星)	 释小龙，小时候迷恋过他的剧            
(NA)	 片名叫作 黄耆英的爱情比较合适吧            
(4星)	 一直忘不了牙擦苏和鬼脚七这两个诡异的名字            
(3星)	 牙擦苏            
(2星)	 我。。。我喜欢释小龙- -            
(3星)	 那时喜欢郝蕾来着            
(4星)	 =v= 又看了一遍昂            
(3星)	 很喜欢那种年少的单纯的友谊，即使闹矛盾，也很快就和好了            
(3星)	 十三姨还挺美的，那个装扮。            
(5星)	 噗。小时候大爱。            
(3星)	 这部剧里的郝蕾，很淑女。            
(4星)	 为什么飞鸿和小倩的感情戏不多点呢            
(4星)	 小时候很喜欢！觉得释小龙很帅-   =！            
(4星)	 挺好玩的啊，为嘛分这么低            
(4星)	 蛮搞笑的诶~~            
(4星)	 嗯小时候也很喜欢，我很喜欢郝蕾的十三姨。            
(3星)	 为什么有种悲情的感觉呢。。            
(4星)	 释小龙释小龙释小龙呀！这就是原因！            
(5星)	 里面的十三姨不错~~            
(2星)	 我就不喜欢怎么着            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(4星)	 因为这部觉得释小龙挺不错，有次他眼睛肿得要命而在追一个外国医生，那幕挺有趣            
(4星)	 这部剧在我小升初的时候出来的，当时电视上到处都是这部剧的声影啊~不过挺好看的            
(5星)	 何中华，郝蕾，释小龙，陈龙都是亮点！一部完美的点数据！当年迷上郝蕾了            
(5星)	 回忆。            
(3星)	 释小龙小时候真萌            
(NA)	 释小龙。。。你就是明星            
(3星)	 我就是喜欢释小龙啊。            
(4星)	 恩，那会儿男主还没发胖            
(3星)	 这里头有小孩子的恋爱            
(4星)	 当时很喜欢呢，可惜释小龙越长越残了            
(3星)	 甩~            
(4星)	 牙擦苏 -_-            
(3星)	 觉得十三姨蛮漂亮滴            
(4星)	 电视剧。三年级。许多武打场面至今记忆犹新            
(3星)	 释小龙这孩子不是展昭就是黄飞鸿了。当年经典的名词还有牙擦苏和马六甲海峡，现在听到马六甲还发怵。十三姨还蛮漂亮的呢，这次何中华终于演了个正面角色。不错@Home            
(3星)	 我喜欢梁宽来的。            
(3星)	 当时就觉得一般…            
(4星)	 我萌何酥酥。            
(4星)	 小孩儿都挺好看的            
(4星)	 挺不错的            
(4星)	 小时候的记忆,            
(2星)	 一般            
(3星)	 讨厌黄飞鸿他爹。。            
(3星)	 释小龙那时候还顶可爱的。。            
(4星)	 当时喜欢十三姨和黄飞鸿他爹            
(2星)	 周围同学看的不亦乐乎~我真不喜欢~            
(4星)	 觉得牙擦苏这个名字好可爱，不过人不可爱，中途还背叛过朋友。几个小兄弟挺有意思。结局很圆满。            
(3星)	 初中时候看的            
(NA)	 4            
(4星)	 一群青春少年。。。            
(3星)	 那时释小龙还是个可爱的小正太……            
(4星)	 释小龙，我小时候的梦中情人。啊哈。            
(5星)	 很喜欢的一个片子~内容也好看！喜欢郝蕾，超美~喜欢黄麒英和十三姨在一起            
(NA)	 当时怎么就这么痴迷释小龙呢            
(NA)	 这个没话说 原来看不腻的            
(5星)	 小时候很喜欢~            
(3星)	 记得有一集黄飞鸿他爹哼着本剧主题曲就出场了，雷得我~            
(3星)	 郝蕾演的十三姨还是不错的            
(3星)	 tv            
(3星)	 我擦，这部片给我的唯一印象就是那个毁容的女人和传说中可怕的马六甲。当年当鬼片看的。            
(3星)	 这个时候的释小龙已经没的展昭乖咯。            
(4星)	 不错，挺好看的            
(3星)	 十三姨            
(3星)	 这个也暗恋过            
(3星)	 还是小时候好看            
(3星)	 郝蕾不错~~            
(3星)	 恩恩，看过，一般            
(4星)	 当时看得很high            
(3星)	 释小龙小时候真是超级cute 越长大越残 这部剧情挺不错的             
(4星)	 很早以前看的了  很喜欢这部电视剧  电视台播这部剧是都会看一下  怀念一下我逝去的青春   释小龙已经好大了啊              
(3星)	 郝蕾真好看~            
(2星)	 爛劇。不知道 搞什么            
(4星)	 我真的不记得里面还有郝蕾            
(4星)	 十三姨跟黄麒英好的很累人...            
(NA)	 喜欢飞鸿他爸            
(4星)	 十三姨跟飞鸿他爸成一对了=  =那时候以为吴越一定会红呢。。。真可惜。那时候郝蕾多么年轻漂亮活泼啊~~再想想白银帝国……            
(4星)	 导演居然是杨亚洲。            
(4星)	 釋小龍是我覺得最帥的童星之一啊 從小就愛他            
(NA)	 为毛十三姨最后是跟黄飞鸿她爹在一起的……- -|            
(5星)	 小时候特喜欢            
(3星)	 小的时候看的 好像忘记了            
(4星)	 ...总觉着印象深刻的一部剧?            
(NA)	 寒假里看的，当时都在看吧            
(4星)	 释小龙当时还是挺帅的。            
(3星)	 何中华的演技没得说，小龙你就是这个时候长胖的……            
(5星)	 曾经很喜欢噢，管他好还是不好呢。五星就是了            
(4星)	 喜欢老爹何中华！那个牙擦苏很搞笑            
(3星)	 没意见            
(3星)	 还是可以看看的            
(NA)	 释小龙果真长大了，重点是比郝少文出落得好太多了            
(4星)	 非常不错！            
(3星)	 这个十三姨最后到底跟谁了，到底是他爹还是他啊？？？            
(5星)	 嘿嘿经典。            
(4星)	 豆腐西施很pp            
(5星)	 这个是老大这么多角色中，最喜欢之一，很英气的一个男人            
(3星)	 还行            
(3星)	 　清朝末年，洋人入侵，带来了民族 屈辱，也带来了中国人从未见过的新事物，就是这样的年代，中国人期待的英雄终于出现——少年黄飞鸿。　　少年时代的黄飞鸿，在同辈之间已是领袖级人马，广州城内一群少年（林世荣、梁宽、鬼脚七、牙擦苏），都视飞鸿为偶像。黄麒英的妻子吴娴竟与十三忍不住志趣相投，感情更是亲如姐妹，而淘气聪明的飞鸿京与十三忍不住十分投缘。可是，自从一次吴娴葬身火海后，黄家遂起了极端大的变化！其后，黄麒英突然被卷入一宗杀人案件，被指为杀人凶手，在飞鸿锲不舍追查之下，发现凶手别有其人，而此案件更与当日            
