http://movie.douban.com/subject/2140064/	栋笃神探
(5星)	 还是TVB的“老人”拍的戏好看，新出的，不知道是剧情单薄还是什么，难道是因为他们都太漂亮了吗，看来做演员真的不能只看外表，只是现在的演员越多的都是漂亮的，漂亮固然好，只是，不真实。            
(4星)	 和黄子华搭档上的女星总能令我改观，上一个是佘诗曼，这回轮到蔡少芬。            
(5星)	  看过的为数不多的港剧，从此大爱黄子华。            
(4星)	 现在看来剧情有点弱。。但是子华哥风采值得四星。。            
(4星)	 什么狗屁结局，happy ending不好么？！！！            
(5星)	 这是个悲剧的年代            
(4星)	 结局无法接受！            
(5星)	 雖然這個結局不落俗套，但是好遺憾，多希望他們倆也抱一對kuso兒女鬧日子^^多好            
(3星)	 完全是因为黄子华和ada才看的···傻的可爱的一部剧···最后结局怎么好嘎作孽哦            
(4星)	 没想到是个悲剧。嗯，其实我觉得两个人不是很搭。            
(4星)	 至今念念不忘的一部剧。因为太虐。也是因此剧认识黄生。勿怪我代入，因为看着很真实。            
(3星)	 取决于参考系            
(4星)	 蔡少芬乃港女最佳代言人。            
(4星)	 我不喜欢悲伤的大结局啊，哇哇哇哇~~~哭死了···            
(5星)	 真系好好笑...哮喘神探.. 最後你死了!!             
(5星)	 黄子华啊....~            
(5星)	 结局偶不喜欢，哭。。。。。。。。。。            
(5星)	 子华啊子华。你也太棒了吧。            
(4星)	 也许当年去那里是多多的原因？幸好没有来得及看结局。            
(NA)	 其实豆瓣的评分不至于啦。但喜欢黄子华和ada的搭配！            
(5星)	 黄子华+蔡少芬=无敌~剧本当然也是很过硬的。。            
(5星)	 怎麼可以是悲劇呢，莫作棟啊~            
(5星)	 编剧脑子进水了吧！！！点解要弄个悲剧收场啊啊啊！！！            
(5星)	 这是我看过的最好的爱情片            
(NA)	 还记得从黄鼠狼的电脑上看的，大四时候。            
(NA)	 我图你什么 ..            
(4星)	 恨死这个结尾            
(5星)	 卿本变态，奈何可爱~            
(3星)	 好看是好看。但太喜剧了，不适合我。于是决定放弃。            
(5星)	 个人年度TVB榜单第一名            
(4星)	 恶死VIVI - - 。无良抵死莫sir~             
(5星)	 !@#$%^&amp;*(            
(5星)	 真的很好看!!第一次發現原來我可以這麼不在乎結局~~            
(4星)	 给我一个莫作栋吧            
(NA)	 ~11            
(5星)	 超喜欢            
(3星)	 香港制造。            
(4星)	 搞笑            
(4星)	 案件太水了吧，但是演员不错~剧情也不错~            
(5星)	 两种结局两个都不喜欢都悲伤了点            
(5星)	 好看又好笑。            
(4星)	 久违的港式草根式幽默。编剧和台词都一流。            
(4星)	 有搞笑的黃子華,怎能不推薦呢            
(4星)	 我想黄子华最后还是死了吧            
(5星)	 绝对绝对绝对绝对经典!LOVE!!!            
(4星)	 不错..欢喜冤家凑成对            
(5星)	 最喜欢的TVB剧            
(3星)	 确实搞笑得挺弱智的。            
(5星)	 看过最有趣的TVB剧            
(5星)	 结果真让人伤心，我哭了            
(5星)	 大爱黄子华            
(5星)	 子华子华，8需要理由            
(3星)	 某虞同学引诱我看。            
(5星)	 BRAVO!EXEPT 结局.            
(4星)	 黄子华真甩。。。            
(5星)	 黄子华真的有才            
(5星)	 太搞了..            
(NA)	 喜欢原版结局。。。            
(4星)	 确实接受不了这样的结局，虽然这样更深刻。            
(3星)	 黄子华,怎么办,好喜欢好喜欢好喜欢好喜欢            
(5星)	 前二十集一直在笑，很搞笑，大结局的时候一顿哭，没想到这样的结局~~~喜欢芬芬的说~~~            
(4星)	 嗯，我爱黄子华            
(4星)	 我喜欢happy ending，能不能不要让让神探醒了又死啊！！！            
(5星)	 嫁人当嫁莫作栋！            
(5星)	 “我钟意的男人是和他在一起时可以无拘无束。 钟意做咩就做咩。 只要是我钟意的。不管他是没钱也好。样衰衰也好。 吃东西不付钱。送人回家也没车。我都觉得好。 ＂            
(4星)	 推理上毫无难度，案件一出便能知边个是凶手，感情线也相当老套。。。但是蔡少芬扮的女长人很出彩，最重要的是黄子华，脱力系正点到爆～关于这个BE啊其实我还很喜欢的，不像企业医生的结局太过破坏氛围我接受无能，正宗爱情苦情戏BE跟前24集形成反差还可以骗骗女性受众的眼泪，但是没戳到我的泪点呢QAQ            
(3星)	 我已经想不起来什么剧情了，只是记得看过            
(4星)	 记得男主死了~~~            
(5星)	 TVB是不是喜欢有两种结局，一个是大团圆，一个是大团圆的后5秒主角死了....            
(4星)	 先发痴三十秒！黄子华哦耶我的爱！！！！！！最后居然在一起了，好烂俗！话说回来，这种一路嘻嘻哈哈的剧情最后居然居然……居然是悲剧！！！！！！（后来又补了happy ending = =【减一星！            
(4星)	 TVB里面多奇迹~            
(NA)	 【2004-07-19】            
(4星)	 “我图你什么？图你帅还是图你有钱？还是图你顺路搭顺风车？我图你神探，就会抓贼？你这没用鬼，腿短又哮喘！”            
(4星)	 我还是比较喜欢正统的罪案剧            
(5星)	 两个人打打闹闹欢喜冤家一路走来。莫作栋默默的对李慧慧好。终于可以等来幸福。但是没想到是这个结局。我个人还是宁愿接受补拍的那个结局。哭死了好么。莫作栋这样嘴巴坏的人就应该继续没心没肺活下去么！也许推理很简单，但是莫作栋的幽默是这部剧的精华。QAQ            
(4星)	 除了这个令人怨念的结局……好爱DAYO            
(4星)	 则结局看完难过了我一上午            
(5星)	 完美“！！！！！！！！！！！BD赛高！！！！！            
(4星)	 结局好瞎.....            
(4星)	 混蛋啊。。不要死的这么惨啊。。            
(4星)	 黄子华和什么美女搭戏都不违和。            
(4星)	 和姐姐一起看过耶，VIVI姐~！            
(5星)	 笑了24.9集，最后一分钟心痛到不行。            
(NA)	 案子太简单了。            
(3星)	 等法政完结，看个超高分剧集。其实一般，黄子华都是这个系列的，竟然还死了。比三星其实高一点，但是又懒得打4星。            
(4星)	 莫作棟你告訴我，你沒有死，對不對            
(5星)	 还是喜剧结局看的舒服20111028            
(4星)	 太伤了= =            
(4星)	 因为这个该死的结尾减一星！编剧脑袋坏咗啦？为乜让阿栋死咗！恨~~~~            
(5星)	 为啥结尾是悲剧！！！！            
(5星)	 当时年纪小还不知道有栋笃秀，只觉得这个很搞笑。还记得那位厕所大婶还有给莫作栋的那一巴掌。最后莫作栋死了 我也哭死了            
(5星)	 信男莫作栋 戊申年三月初六生  受惊失魂 今堕迷雾 妻子心如刀割 苦心守候盼郎归 促天兵将失援手 四处找寻莫作栋魂魄 令三魂气魄速速归位 与妻子双双团聚，幸福快慰            
(4星)	 1.那个八卦通风口，配合蔡少芬和魏俊杰的失利得志很有起伏感；2.“剧中剧”的粤剧和剧情内容搞笑地进行呼应，关于粤剧长片的往事也有几分对香港昔日辉煌的怀旧和追忆，和“电影”相关的台词彰显编剧情怀；3.居然没有happy ending…虽然一向不鸟这种甜腻东东，但搞个杯具还真不习惯啊            
(4星)	 李慧慧和莫作棟，真的太可爱了！……            
(5星)	 他娘太有爱了~~            
(4星)	 大学寝室的日子            
(NA)	 哎，因为这部戏喜欢上了黄子华；才发现这么多年，原来自己的口味其实没啥变化            
(5星)	 哈哈哈笑死我了 若要人不知 智商别太低            
(5星)	 老早之前就被剧透了。。最后整三集都是哭完的。。            
(4星)	 莫作栋死了，扣一分！            
(5星)	 25集的电视剧，24集半了才和女主缠绵一下，20分钟后挂了，我勒个去            
(5星)	 子华劲！子华型！            
(3星)	 看了一半。            
(5星)	 我也要看多次！            
(1星)	 破结局            
(4星)	 现在才看这部04年的港剧。            
(5星)	  小乱学粤语第二弹，哎哟喂，笑屎寡人了。里面的演员个个喜欢            
(5星)	 再细看看再写。。。。欺骗我感情啊！最后什么都没了啊混蛋！            
(4星)	 连蔡少芬都几可爱~            
(4星)	 最后死了好可惜            
(4星)	 女长人短脚仔太有爱了 我都想要一个莫作栋！！！            
(NA)	 好喜欢黄子华~            
(5星)	 超级搞笑。            
(4星)	 那件屎黄色风衣外套真的没换过-。-            
(4星)	 前面看的越开心看到结尾越失落            
(4星)	 我愛死黃子華了！最後一集演得超讚！Vivi自己明白鍾意咗阿棟的那一幕都好好笑！看過馬上想起了《古靈精探》，本來很喜慶的劇點解要附上一個不開心的結局呢？最後補拍的happy ending反而會覺得牽強些。總之四星半。            
(4星)	 这片子的前24集，怎么会全是喜剧呢。。。从十多集开始就从里住外透着悲了。。。            
(5星)	 我图你什么啊短脚哮喘仔？为何要是杯具结尾？            
(5星)	 嫁子华！            
(5星)	 结局坑爹！！！！            
(5星)	 黄叔叔是我的偶像~            
(4星)	 忘记曾几何时看的了，俩主角都是心头好            
(4星)	 你个死人莫作栋！！！            
(5星)	 结局让人难以接受……            
(3星)	 听说是悲剧，不敢看结尾。            
(4星)	 这剧看着有种动画片情节的赶脚...华叔栋笃笑嘅gag都做埋台词=。=            
(5星)	 非常喜欢莫探员~~            
(5星)	 黄子华的毒舌真是无人能敌。从创作人的角度来讲，他的确是一个不可多得的人才。            
(5星)	 AUV这结局真窝心            
(4星)	 我要推倒唐文龙和韩君婷！！！！！！！！！！！！！！！            
(5星)	 嗯，剧情给4星啦。5星纯是因为黄子华的个人魅力            
(4星)	 终于找到这个比陈三元更衰的李慧慧了，真的是谁买她保险，谁就死            
(NA)	 some place good.全港为黄子华最后的“死”不甘，导演又加了特别结局。            
(4星)	 结局太伤感了吧。。其实案子没有什么特别的，但就是有渐入佳境的感觉。有些地方很有新意，虽然已经是6年前的片子了，但相比近日的TVB作品真是算诚意十足了。            
(4星)	 不知道有没续集呢？            
(5星)	 此乃黃生作品中我最喜歡的角色。莫作棟口臭猥瑣腿短哮喘，連70歲阿婆都跑唔贏，吃飯不給錢，送人又無车，但是他認真盡職聰明孝順善良，人生能有一個莫作栋已願足以。            
(4星)	 05年某人要我看的            
(5星)	 TVB 黄子华 蔡少芬             
(5星)	 真是很好看！但是我拒绝悲剧结局，所以最后一集看到一半决定不再看下去。这样在我的意识里，他们两个就会定格在筹备婚礼的那个过程里。我喜欢他们俩坐在医院长椅上聊天的那个片段，真好，真的很温馨。。            
(4星)	 黄子华的片子基本上休闲解闷儿的效果都非常好。。            
(5星)	 不可否认这个结局提升了整部剧~            
(4星)	 探案部分其实挺傻，一早知凶手系边个。亮点亦好多：粤语残片，喊惊，台词，悲剧结局，黄子华，蔡少芬同埋一群配角演员。            
(5星)	 张力足够。很好看。            
(4星)	 不赖 蔡少芬真的到位 依旧对黄子华没感觉            
(4星)	 tvb少有不是happy 大ending的            
(4星)	 黄先生一脸贱兮兮的模样，蔡小姐一张骚蹦蹦的小脸，看的很欢乐。            
(5星)	 居然还可以改完美结局 黄子华真犀利~            
(5星)	 超好看的TVB剧            
(5星)	 这部片子剧情没有多优秀也经不起推敲，但黄子华个人魅力够大，看上就会喜欢，而且剧中的经典笑点挺多。            
(5星)	 《栋笃神探》黄子华VS蔡少芬比《绝代商娇》黄子华VS佘诗曼的组合要好看三倍！《栋》里的案子还都OK，主要是看主角的演技，真是放得开！主题曲《边个衰》倍儿牛，一看词是林夕写的，佩服佩服！他真是个神！04年的这部戏，真是相见恨晚，哈哈。            
(3星)	 莫作栋啊莫作栋啊莫作栋啊莫作栋~~~你拯救了这部剧 = =！            
(5星)	 好看好看..記得當年的大結局還是在雅典奧運期間播的啊...            
(3星)	 好悲剧的喜剧..            
(5星)	 黄子华衰边个~            
(3星)	 只为黄子华。剧本很无聊。            
(5星)	 喜欢这种港味，可结局太虐了T T            
(5星)	 大概很多女观众看完这套剧都会爱上他，对，我是说莫作栋            
(5星)	 好中意，好中意，好中意黄生            
(5星)	 从某一豆列里找出的tvb老剧，才发现很多经典tvb剧没看呢。这部剧每个人都演得很好，人物也适合那些个角色，太赞了。黄子华扮这个性格的人物最合适不过了            
(5星)	 为毛不直接给我个HE？！            
(5星)	 这对太可爱了~子华蜀黍增帅气-_____,-+            
(5星)	 莫作栋....T T            
(5星)	 黄子华。            
(5星)	 没有陈小兽 也要给我一个莫小栋            
(4星)	 黄子华真棒。蔡少芬真棒。魏俊杰你以前真的很棒。唐文龙你是个帅男人。            
(5星)	 表結局虐，裏結局其實……更TM虐啊……            
(5星)	 好看啊！！            
(4星)	 有遗憾才能让人记住！            
(2星)	 蔡少芬变成鸭子一样吵吵闹闹、豆沙喉的女人            
(3星)	 现在来看。老了一点了。            
(3星)	 NNU校台 大家一起看挺欢乐的            
(4星)	 果然最后一集开始的欢乐是为了奠定最后的悲催            
(5星)	 真的很好笑。            
(5星)	 &#34;運氣好 什麽壞話都聽不見 什麽壞事都看不見&#34; 蔡少芬在這里好可愛 第十二集爬山好有趣 第十八集女飞侠好厉害啊            
(4星)	 我爱黄子华。            
(3星)	 勉勉强强都没看完。。。            
(5星)	 很很很好看！            
(NA)	 好有爱，滋润我干枯寂寞披头散发的心灵            
(4星)	 不是满分都怨结局            
(NA)	 08年看过！黄子华比较搞笑！            
(5星)	 我钟意的男人是和他在一起时可以无拘无束，钟意做咩就做咩。只要是我钟意的，不管他是没钱也好，样衰衰也好，吃东西不付钱，送人回家也没车，我都觉得好。            
(4星)	 原来睇过噶.. 仲以为未睇过添...            
(5星)	 黄子华好好好好笑啊！蔡少芬也演得好好！            
(5星)	 灰常喜欢黄子华            
(5星)	 宁愿他们就那样一直吵下去，谁也不迈出一步～            
(5星)	 正！            
(5星)	 精彩难忘，黄子华威武~！            
(5星)	 一出悲剧收尾的经典喜剧            
(4星)	 结局这个悲呀，不厚道的说，蔡少芬真的衰            
(5星)	 若要人不知，唔好太低B            
(5星)	 最爱的女演员蔡少芬+最爱的男演员黄子华，啊~ 如此一部剧，怎能让人忘记            
(4星)	 结束了。愿得一心人，白首不相离，不过如此吧~            
(5星)	 子华~~~            
(5星)	 案子真平庸啊，子华哥哥我爱你。            
(5星)	 那个莫名的结局            
(5星)	 黄子华 我爱你            
(4星)	 后半段比前半段好看……只是结局啊……            
