http://movie.douban.com/subject/2303714/	蜀山奇侠
(3星)	 依稀记得小时候喜欢的是紫琼，可如今却看不到那段情。现在比较喜欢温婉的类型，难道人的喜好真的会变，这是性格在变吗            
(5星)	 儿时的经典之作啊            
(4星)	 儿时的几部经典电视剧。            
(NA)	 拍得跟凹凸曼似的，不过故事还是蛮好看的            
(5星)	 最好看的武侠剧，&gt;&gt;射雕            
(4星)	 就是看着这些长大的！            
(5星)	 小时第一次去租带中心，要的就是这部TVB剧集。主要当时有点儿迷上了原著小说，当然那时太小，其实也看不懂原著小说。当时很喜欢这部剧，很喜欢紫青双剑的故事，还记得郭富城是演金蝉，还记得关礼杰最后为了救紫青两女而变了血魔，最后紫青双姝一起冰镇血魔，陪伴其左右，深情得让人伤感。            
(4星)	 每天走1个小时的来回，就是为了去同学家看这部电视剧，童年啊……            
(4星)	 小学看的，当时还学会了主题曲。。            
(NA)	 我看过，你看过么？！那时候我还是很萌关礼杰的一个什么都不懂得小姑娘！！！！！            
(4星)	 很久很久之前看过的            
(5星)	 警我師兄，多麼俊美的貌。關禮傑是我小時候的梦中情人。            
(4星)	 当时我是有多迷啊            
(5星)	 为啥我希望警我和沙艳红在一起呢 嘎嘎            
(5星)	 呀哈，为了一去不复返的童年，给五星。            
(5星)	 幼儿园时期的最爱啊~~哇哈哈哈！！            
(4星)	 马克，明天开始看            
(3星)	 还行，个人觉得没有仙侣奇缘好看            
(NA)	 记得里边乘着剑飞啊…………            
(4星)	 那时候的关礼杰好帅。这片里好多帅哥，好像还有郭富城。            
(NA)	 小学那段很喜欢看，迷恋            
(4星)	 少年偶像啊！            
(4星)	 放假的时候又重新翻出来看完了。虽说效果不太好，但是不得不说，关礼杰年轻的时候还是很俊的。            
(5星)	 小时候的大爱，最后一集哭了好几天，做梦都是挖宝剑            
(5星)	 好像是幼儿园的时候看的呐……大三的时候重看了一遍，还是很好滴。            
(5星)	 小时侯就被这部剧最后那个画面挑动情愫封住大师兄紫青双剑分坐左右，哎            
(4星)	 呃，当年我觉得关礼杰很帅            
(5星)	 走火入魔的丁隐，中毒白了头发的警我师兄。我再次追忆！            
(3星)	 看过仙侣奇缘之后，这第一部实在太soso            
(5星)	 好看啊。。好纠结的好看啊            
(5星)	 只有很模糊的记忆了，只知道很好看很好看            
(4星)	 MY GOD~这部真的算是最早看的港剧之一啦~            
(5星)	 重温了一半。            
(3星)	 还是童年的记忆             
(NA)	 当时刚装上有线，有线台经常放这些片子，很喜欢看            
(5星)	 我想里面的背景音乐呀!            
(5星)	 那时候觉得郑伊健好帅啊 陈松伶也很漂亮            
(5星)	 永远记得紫琼和青云为了陪上官而冰封在山洞里            
(5星)	 怀念，经典            
(5星)	 当时的郭富城还是个小角色哦，呵呵很青涩很可爱。关礼杰帅呆了。            
(5星)	 记忆，，            
(4星)	 也许现在电视剧的发展已经很成熟完美，但是武侠类的不能不看黄日华的郭靖，魔幻类也不能不看这一系列老旧的蜀山。不能说经典，但却是情结。            
(5星)	 就为这一部电视剧足够我爱一个人了OTZ(虽然现在想起来结局真是好不能满意囧RZ            
(4星)	 被冰封了            
(4星)	 前段时间还重温来着            
(3星)	 好像记忆深处有点印象~~寻找记忆的剑            
(NA)	 某人...9世童男            
(4星)	 我怎么看了这么多蜀山？这部算是蛮喜欢的。就是女主人公不是太漂亮，要命的是女三号长的还可以。            
(3星)	 年代风格的主题曲             
(NA)	 小学每年暑假必看武侠剧、～～            
(5星)	 真经典            
(NA)	 忘记了剧情。只记得准备看最后一集时家里停电了，我睡过去了，醒来来电了但已经演完了，一顿狂哭            
