http://movie.douban.com/subject/1786740/	还珠格格第二部
(NA)	 假期的时候就重播~还有西游记~真的已经10多年了~            
(5星)	 不可超越            
(5星)	 喜欢第二部            
(3星)	 香妃来了。            
(4星)	 延续了            
(4星)	 神剧2            
(3星)	 我确实看了的 还很失望            
(NA)	 我无耻的只是为了增加与大美的共同爱好            
(5星)	 我必须看过啊&gt; &lt;            
(4星)	 竟然有48集=  =现在回首真是不可想象的长度~            
(4星)	 喜欢刘丹啊，还喜欢演萧剑的那个！            
(3星)	 依旧很雷人            
(3星)	 那时觉得小燕子很傻很天真            
(NA)	 这个我他妈也看过            
(4星)	 后来湖南卫视天天播就觉得那什么了            
(4星)	 经典琼瑶剧。这是我20年来看的次数最多的剧了。            
(5星)	 经典。。            
(5星)	 还是好看··煽情怎么样··就是好看啊·            
(5星)	 一晃眼都十二年过去了。            
(3星)	 紧接着第一部的疯狂……            
(5星)	 启蒙 启蒙 大爱 大爱            
(5星)	 有一个姑娘她有点任性她还有一点嚣张 哦哦            
(3星)	 第二部就圆满了。。            
(3星)	 第二部还是不错的            
(5星)	 觉得很有爱啊            
(3星)	 不如一，但还是守着看完            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 回忆啊回忆.....            
(4星)	 比第一部差了点  但是至少那时候小燕子依然是小燕子 紫薇也依然是紫薇            
(3星)	 。。。            
(4星)	 好看            
(NA)	 经典中的经典            
(4星)	 经典的无话可说~~            
(5星)	 不管怎么样，我很喜欢。。            
(4星)	 一种回忆，一种情怀。第二部  比第一部差点            
(5星)	 就是爱            
(3星)	 大不了我和你浪迹天涯。额。。。忘了说，当年的有朋呀。            
(1星)	 完全不是演员的问题，是编剧~            
(4星)	 经典~            
(NA)	 我的少女时代都看还珠去了。            
(2星)	 我最讨厌蒙丹了！拿一把熨斗，把你的眉毛全部烫掉！            
(5星)	 那是一个时代            
(5星)	 狂爱容嬷嬷            
(4星)	 我的青春剧。            
(3星)	 这可真的是经典了            
(4星)	 到现在 还珠对我的意义似乎就是第二部朱宏嘉的箫剑了             
(3星)	 我先看了第二部才看了第一部= =当年我就很凹凸...            
(NA)	 真的看过呃。            
(2星)	 好吵            
(NA)	 经典啊   陪我长大            
(4星)	 一直把该系列当喜剧片可以饶有兴致地看。            
(5星)	 风靡一时的剧作，算是经典！            
(NA)	 小燕子瞬间变错其啊             
(3星)	 我竟然忘記了還有真么無敵的片子！！！求日語版~~~~~            
(NA)	 太经典了,那个年代谁没有看过这的啊            
(3星)	 我忽视第三部            
(5星)	 还是无比怀念的记忆。            
(NA)	 1好看…            
(4星)	 要说经典啊，还是还珠格格            
(3星)	 第2部还好            
(NA)	 当时多风靡啊~现在芒果台还在播.....            
(5星)	 每年湖南台播 每年我还都看 恩 良性循环啊            
(2星)	 一锅烧糊的粥。            
(3星)	 哈哈哈~            
(2星)	 明年暑假我不要看            
(3星)	 他们的牙都特别黄……            
(2星)	 雷            
(NA)	 囧            
(3星)	 高一暑假,一集不落,我爸居然是不反对陪我看的.            
(3星)	 还不错了 芒果台暑假必播的哈~            
(3星)	 初一和妈妈去天津。在天津旅馆里和邻房姐姐天天看……都没有好好出去玩……            
(NA)	 - -            
(3星)	 远远不如第一部~~除了萧剑！            
(4星)	 难道是一语成谶 香妃真的香消玉殒了 偶尔会想起那个拿降落伞作床罩的女孩子 这四星 是为她而打            
(3星)	 有点乱扯老。。            
(NA)	 小时候和妈妈一起煲过的电视...            
(4星)	 當時覺得巨好看~            
(4星)	 凑合着还是得看的。            
(3星)	 年轻时多疯狂啊。。            
(3星)	 这不好看            
(3星)	 年少回忆。            
(NA)	 小时候啊~哪个台演我看哪个            
(3星)	 集数好长，48集。            
(NA)	 香妃真的很好看。。。            
(4星)	 全家一起追，哈哈。之后全家从来没有再一起追过同一部电视剧了            
(3星)	 [昔时所看]            
(3星)	 红遍了大江南北啊~            
(5星)	 我的最爱啊            
(3星)	 明显逊色第一部...            
(NA)	 哈哈很有爱            
(2星)	 狗尾续貂            
(4星)	 你是风儿~~我是沙~~            
(1星)	 垃圾的电视剧            
(4星)	 儿时在被窝里看的电视剧，和我妈妈在一起时看的。            
(2星)	 好烂，小燕子变得无理取闹。            
(3星)	 小时候喜欢。现在看的想到吐了。            
(2星)	 太拖沓了            
(3星)	 哇，大家都疯啦            
(3星)	 一部不如一部。            
(3星)	 至今没明白当年怎么会那么入迷，全家出动每天什么事都不做就在那等着四集连播。。。            
(4星)	 说来奇怪。我倒最喜欢这部。            
(2星)	 小燕子应该是一个超级好学的旁门左道之人而不是白痴= =            
(3星)	 还是只能看一遍 第二遍会吐            
(4星)	 小学五六年级 无法割舍的情结            
(5星)	 小学 看了一个暑假            
(3星)	 …………            
(2星)	 回首惨不忍睹            
(NA)	 个人认为最好的一部            
(NA)	 当年啊~            
(4星)	 看了一。肯定看二。所以没话说。            
(3星)	 电视剧             
(3星)	 琼瑶阿姨为了圈钱，真是无所不用极啊~            
(3星)	 马马虎虎            
(3星)	 等第三部拍出来才发现，原来这一部也不是那么让人难以忍受。            
(2星)	 第2都是比较XO的是吧            
(3星)	 第二部已经很勉强了。            
(NA)	 记得有段配音很假~            
(3星)	 那时候我还到处和人说紫薇瞎了眼时弹琴唱的那歌儿真好听啊。。。MS当时还有同好。。。哦也。            
(3星)	 不如第一部！            
(NA)	 从小看到大～            
(3星)	 这个比较火  我就没什么好说的了  初中毕业那个暑假在贵州看的            
(3星)	 当年没有鉴赏能力            
(2星)	 2代更加可怕.            
(4星)	 那時候還真是喜歡看 現在都有南京話版了            
(3星)	 忘不了那个该死的容嬷嬷！！！该杀！            
(NA)	 喜欢            
(4星)	 经典            
(NA)	 还是喜欢看  感谢天感谢地。。。。。。            
(5星)	 十年经典            
(3星)	 一箫一剑走江湖，千古情仇酒一壶~~喜欢箫剑            
(5星)	 这一部也非常喜欢！            
(NA)	 圆满结局！            
(3星)	 第2部就...            
(2星)	 和1简直天壤之别            
(NA)	 每个假期都要看！！！！！！！！            
(1星)	 可咋整，自虐的倾向在年幼的时候就如此严重......当时是边看边骂啊......            
(NA)	 胡打乱闹又哭又笑            
(4星)	 人员不变就不错。            
(NA)	 越来越没劲            
(2星)	 那时，通街都是她，想吐            
(3星)	 虽然第二部比第一部扯了些，但是管它呢！我们这些还珠迷正烧着呢～            
(2星)	 相比第一部，这个部就是疯疯癫癫            
(4星)	 你是风儿我是沙，缠缠绵绵到天涯...第二部太缠绵了，以至于我真的不想看下去...狗血啊！！！！！            
(3星)	 依然是很感人的电视剧……            
(3星)	 2也好看啊可惜后半段失控了。            
(3星)	 香妃什麽的真心搞笑..            
(5星)	 = =            
(NA)	 【1999】            
(5星)	 作为资深粉丝当年我和我奶专门跑去买了一套正版VCD做收藏 280呢！            
(5星)	 再重播我也会看            
(4星)	 仍然献给我逝去的童年~            
(5星)	 不打5星对不起我童年            
(NA)	 童年..            
(3星)	 比第一部人物多了，剧情也复杂了~~~却仍旧没摆脱续集无法超越前部的命运啊！            
(5星)	 谨以此纪念那些逝去的青春。            
(5星)	 谁跟我去浪迹天涯从此踏遍红尘路！            
(5星)	 我小学时唯一追过的电视剧。。现在看起来简直就是最吊爆的喜剧！            
(5星)	 回忆            
(5星)	 打星的时候我还是选择遵从我小时候的心灵(︶ε ︶❀)            
(5星)	 那会儿我上六年级，我都要迷死了。            
(5星)	 情感戏较第一部多了很多。            
(5星)	 怎么说也是经典啊            
(NA)	 第二部里面还有孙树培导演的 第三部就没了。小学的时候看的，当时不觉得什么，最近翻出琼瑶老师的小说，发现和第一部最大的不同就在于宫斗、苦情戏太多。如果说第一部作品是琼瑶奶奶的创新，第二部开始大约算是延续她一贯的风格。            
(4星)	 完全喜剧            
(NA)	 这个一定要的嘛            
(NA)	 那时候第二部刚开播的时候就跟举国欢庆的大节一样，家家都蹲电视前等着看            
(3星)	 小时候看的            
(3星)	 你还记得大明湖的夏紫薇吗            
(3星)	 这里面人好看多了            
(4星)	 這部也不錯&gt; &lt;！            
(2星)	 从第二部穷摇阿姨就开始乱写了= =            
(4星)	 经典还是经典 紫薇也只有心如配演习            
(3星)	 含香惊艳，小燕子就是个傻子，还是第一部经典。            
(5星)	 伴随了我在米国初次独自做饭的几天            
(5星)	 老的就是经典，强烈建议网友们再去回温一下。            
(5星)	 那是我们共同的年代，不解释~            
(4星)	 豆瓣上面的分好低~都怪芒果台~            
(5星)	 最近看到新还珠受到刺激，才开始怀念这一系列旧片子。那真是个好时光啊，每天下课就跟女生们讨论着前一天还珠的剧情，为小燕子叫好为紫薇心疼为他们惊天动天山无棱天地合才敢与君绝的爱情而心动。缅怀我们的青春时代。            
(4星)	 当年买了好多小虎队的干脆面，就为了要还珠的卡（卡还是扑克牌忘了），现在也不都哪去了……哎~~             
(3星)	 童年记忆   首播时广告多的要死不说，剧本身也是狗尾续貂            
(NA)	 还珠2显然是在凑份子的感觉，特别是小燕子的戏份，像个疯子，毫无大脑。到处闯祸，连累大家。柳青和金锁在一起，也比较勉强。            
(5星)	 五星五星~~            
(3星)	 越来越没意思了 含香太挫气了            
(5星)	 因为有新版，所以爵着也要给个6星            
(5星)	 这部电视剧中含香无可替代，晴儿无可替代，箫剑无可替代，主角精彩延续，配角也异常夺目。很感慨，一部可以成为经典的作品真的是太多必然努力和偶然的机缘巧合的结合体，不是可以“求”来的，一如老版《红楼梦》《水浒传》《三国演义》《西游记》《新白娘子传奇》……复制品都是浮云，经典无可替代！            
(5星)	 ：）给童年的星星            
(5星)	 = =其实是没有第一部好的，但冲着赵薇也得五星不是~？            
(5星)	 可惜了含香啊。。多美的姑娘啊。。            
(5星)	 经典            
(5星)	 最是经典            
(5星)	 新版面前全五星！！！            
(5星)	 是什么能让小学4年级的小孩如痴如醉到处买书看……            
(5星)	 经典~            
(5星)	 好经典~            
(5星)	 不可超越的经典！            
(5星)	 哈，那个时候上完补习班赶回家看还珠的情景还历历在目呢，一晃就这么多年过去了。小燕子承载的是我们一代人的记忆···            
(NA)	 回忆城= =尼玛这个收视奇迹破不掉了            
(2星)	 疯疯癫癫            
(5星)	 第二部依旧很喜欢。就是那个，第三部就免了吧。            
(5星)	 必须比好看啊。。。是他让我有了懵懂的爱情观。。。虽然我那时才四五岁。。            
(5星)	 无敌剧，不解释            
(5星)	 还是很好看！            
(5星)	 又是看的差点泪奔            
(4星)	 明明大家都很喜欢，分数却这么低。哼，你们不诚实。            
(5星)	 原班人马！继续5星！            
(5星)	 这个够经典的啊            
(4星)	 啊！！！当年！！！！            
(5星)	 不如第一部            
(3星)	 果然2。。。            
(4星)	 集齐不喜欢香妃和孟丹这条线。            
(4星)	 虽然感觉上没第一部好看了，但还是很喜欢，如果不是这班人演的，就不会看了，第三部就没看            
(5星)	 经典啊经典……            
(5星)	 我是还珠迷，没得说。            
(5星)	 那个时候是闹木闹木的期望赵薇和苏有朋是现实中的情侣。现在想想，叹口气            
(4星)	 我还在上高中。            
(5星)	 小时候一家人看的            
(4星)	 。。。。。。            
(5星)	 为什么分这么低呢？！            
(5星)	 还要说什么，ktv必点有一个姑娘            
(4星)	 哈哈哈。童年啊童年。            
(2星)	 早年一屁。            
(5星)	 经典~            
(4星)	 童年的记忆就是和外婆一块看还珠格格            
(NA)	 第二部便傻逼了            
(1星)	 你是疯儿我是傻            
(4星)	 第二部依然经典            
(NA)	 看过就是看过，看过就无敌了            
(5星)	 干什么评价那么低！！都该给5星的啊！！！            
(4星)	 香妃香妃，那边也有蝴蝶绕你飞？            
(5星)	 真正的一代红剧！！！            
(5星)	 神作不解释！！！！！！！！！！！！            
(4星)	 介么经典的片子，小时候几迷恋。            
(5星)	 初中、高中的暑假都在霸在电视前。  湖南台到现在还不断重播。。。            
(4星)	 真的很经典！！！！！！！！当时疯狂迷恋苏有朋！！！！！！实在受不了尔康            
(NA)	 小时候嘛…            
(4星)	 每晚准时坐在电视机前。。            
(3星)	 年年放            
(5星)	 最好的过去            
(4星)	 好看。但是没第一部好看。            
(2星)	 还珠2就有点不能忍了，但当时大家还是追得很忠诚，初中班上没有一人不看的…            
(NA)	 妞妞爱看。            
(NA)	 青春偶像剧。。哈哈            
(3星)	 琼瑶阿姨弹尽粮绝            
(5星)	 现在就算是马桶台重播我还是会看的！！！            
(5星)	 感谢湖南卫视每年寒暑假必播此剧。怎么看都不过瘾。            
(3星)	 小燕子第二部不好看了！！！！！！！！闹太套！！太闹套！！！！！！            
(3星)	 群小反出宫闯荡江湖中、、、、、            
(5星)	 我爱。            
(5星)	 有没有地球人没看过的。。。            
(3星)	 小时候多迷恋啊 =  =            
(5星)	 经典，但不二            
(5星)	 就是喜欢            
(3星)	 中国的电视剧质量在倒退，不争的事实。            
(5星)	 就是喜欢就是喜欢就是喜欢！            
(3星)	 童年回忆了。。。            
(3星)	 第二部那个熊猫肖剑真亮点啊！            
(3星)	 回顾还珠格格，小燕子不是原来的小燕子了，尔康还是原来的尔康，金锁，，我就不说她啥了            
(5星)	 三太让人失望了  二还是很不错的说            
(3星)	 陪老妈看的。。。            
(4星)	 当年很喜欢            
(4星)	 第二部也不算差。            
(5星)	 一二都还行啦~            
(3星)	 鸡肋。            
(1星)	 假到不能再假            
(NA)	 ⋯⋯⋯⋯⋯⋯            
(5星)	 芜湖的赵薇            
(5星)	 继续M            
(NA)	 飞跃了好高一层，比之一，亮点姑娘们都瘦了美了。            
(3星)	 香妃他爹真是艾未未么....好歹我也去过香妃墓            
(5星)	 这有什么好掩饰的...你明明看过的嘛...            
(3星)	 好丢人我真看过            
(3星)	 我死活忘不了你是疯儿我是傻这首歌~~            
(4星)	 多的一星是香妃            
(4星)	 很久很久以前…………            
(3星)	 输在太狗血            
(4星)	 打得都是感情分            
(3星)	 我觉得，音乐真是不错。            
(3星)	 越到后来就越无趣了            
(4星)	 第二部也还可以            
(5星)	 暑假必备！！！            
(4星)	 这剧当年真红呐~            
(5星)	 继续前无古人，后无来者~~香妃真是可惜了啊……            
(4星)	 还是不错的。            
(3星)	 现在再看觉得我小时候多傻逼~哈哈哈哈            
(2星)	 贞烈女大逃亡            
(4星)	 真希望马桶台别再重播了            
(2星)	 每次紫薇和尔康对手戏我就换台，每次紫薇念台词我就很想掐死她，每次容嬷嬷未能掐死她我就哀婉时运不济女侠末路            
(3星)	 续集能拍成这样，已经很不错了，欢喜大结局            
(5星)	 神作啊啊啊啊啊啊啊啊啊啊            
(5星)	 有一个姑娘……            
(4星)	 谁木看过？            
(4星)	 谁小时候还没有看过还珠啊。顶。            
(5星)	 一样好看            
(3星)	 初一的时候，疯狂到每晚回家作业都不写，犹记得某次看到激情处把一整瓶墨水打翻在数学作业上。            
(3星)	 多少年前播到现在啊啊啊啊            
(3星)	 再开雷人新篇章            
(5星)	 原来是守到电视机全家人看            
(3星)	 含香 惊艳            
(NA)	 Princess Pearl II / My Fair Princess II。。。噗！            
(3星)	 想当年，我可是连广告都不换台，就怕错过一丁点剧情。。。            
(4星)	 谁能说不经典            
(4星)	 经典。。            
(3星)	 这个。。。怎能不加。。。仅用来纪念初中时光~~            
(5星)	 多年以后再看，就不是看剧情，而是在怀念某个时间内相信某事的自己~~~            
(3星)	 老子当年居然还追看，追看啊！！            
(3星)	 有一个姑娘            
(NA)	 。。。            
(NA)	 童年霸主地位= =不过完全记不得讲了些什么            
(4星)	 我觉得蛮好看的            
(NA)	 还是陪阿婆看的            
(3星)	 湖南台常播剧，越播越烦            
(4星)	 用妈妈的话“你居然又一次的炒冷饭了”            
(4星)	 香妃刘丹化蝶去            
(5星)	 含香那么美啊，后来……自古美人如名将，不许人间见白头！            
(5星)	 各种周边……各种恶搞……各种感动……五味杂陈            
(3星)	 當時很羡慕香妃娘娘 還做了紙蝴蝶擱自己身上!!= =            
(5星)	 啊哈哈，我和老薛子一起唱着歌~            
(3星)	 看了N遍~2            
(5星)	 推荐= =            
(4星)	 啊哈哈哈，奶奶爱看~            
(5星)	 我依然觉得是经典            
(4星)	 damn it! 为什么我百看不厌！            
(5星)	 小时候放到现在还在放的一部            
(4星)	 其实还是挺好看的            
(4星)	 也是记忆中的经典啦，很好很好            
(3星)	 不管怎么说，也算是经典吧            
(2星)	 2就比较屎了            
(3星)	 为了继续萌五阿哥看的，小燕子有点过了~那时坊间流传一首民谣“小燕子飞，五阿哥追，尔康在后面搂着滋味”            
(4星)	 好歹也是童年            
(NA)	 皇上，您还记得当年大明湖畔的夏雨荷吗            
(3星)	 超傻....            
(5星)	 更喜欢第二部            
(3星)	 = =谁没看过啊！            
(5星)	 最近看重播，还是觉得很欢乐很感人            
(NA)	 大眼睛姑娘，童年的快乐。至此怀念。            
(NA)	 晴兒這個小女孩多靈呀。            
(3星)	 我的电视剧启蒙——小学时代跟老妈一起看完的神奇回忆！            
(4星)	 都长变了，配音糟糕透了。            
(NA)	 哈哈哈            
(4星)	 补：哈……哈……            
(2星)	 看不下去            
(2星)	 好吧我承认我看过这个~~= =            
(4星)	 2010.06.01            
(5星)	 我们一起浪迹天涯            
(3星)	 先是自个看，然后陪老妈看，再后来是陪奶奶看，才发现有48集。。。OMG！            
(5星)	 真是难得的一集不落！            
(4星)	 咳咳。。。我马克只是突然怀念。。。            
(3星)	 好看            
(1星)	 换我童年之2            
(3星)	 有人没看过吗?            
(3星)	 一直还珠无感- -+            
(3星)	 你是风儿~~我是沙            
(3星)	 重复了就没味了            
(4星)	 最爱最后箫剑和晴儿的会心一笑~            
(3星)	 继续马克一下我的年幼无知。不过，我的无知也就到这部为止了。            
(3星)	 凑活            
(4星)	 第二部比第一部好多了=_=            
(5星)	 拜托！全国人民都在看能不经典吗？            
(5星)	 容嬷嬷最爱            
(4星)	 趴窗台上看后院的电视，哈哈～            
(4星)	 比狗尾续貂强些，因为第三部才是真正的续貂。            
(3星)	 成都有个电视台坚持不懈重播了好多年啊，囧            
(2星)	 3次。            
(5星)	 我是小燕子，你是谁？我是尔康！            
(5星)	 原班人马 继续5星！ 还是非常有爱的。。。            
(5星)	 没看过你就是没童年            
(5星)	 第二部也不错            
(5星)	 无论重看多少遍，我还是会在同样的情节里流同样的眼泪            
(NA)	 唉、~~~~~            
(4星)	 小时候爱看            
(4星)	 那时候我初三。            
(4星)	 这个好长，第二部很好啊，你不能以现在的眼光看，要记得当年是谁看得那么带劲儿            
(2星)	 2真是烂            
(NA)	 比1好看            
(3星)	 当做回忆。其实回忆也很美。不要笑话它，你能说你没看过吗？            
(3星)	 芒果假期必备~            
(4星)	 我无法否定自己曾经喜欢的东西。            
(4星)	 总体还算蛮经典的,,就是剧情有点拖            
(4星)	 还记得是一集一集的租来看的            
(4星)	 还是很经典啊，不过很漫长了，这部            
(2星)	 第二部小燕子真是蠢得令我桑心            
(4星)	 虽然不像第一部这么经典，但是他们从皇宫逃出来那段还是很不错的。            
(4星)	 第二部也很不错。            
(3星)	 第二部就有点冗长了…但是当时觉得香妃真的是天仙啊~            
(3星)	 最烦看紫薇瞎了以后，周杰的咆哮！            
(NA)	 开始厌烦            
(5星)	 小学时的电视剧，总有很好的印象            
(4星)	 小时候            
(4星)	 当初看得内牛满面来的            
(NA)	     这部还是比较有人看的~            
(5星)	 这是那个时代的代表作！            
(4星)	 第二部其实也还挺有爱的            
(3星)	 小学二年级。。。            
(2星)	 十分恶            
(2星)	 我姥姥名言：“这些人就没别的事情干了么...”            
(3星)	 凑数！一个字，傻缺！            
(NA)	 炯炯有神            
(3星)	 还是我爸最爱。            
(4星)	 它会火总有它的道理。            
(5星)	 羡慕你那刻骨的爱情            
(3星)	 据说那是范冰冰是要演紫薇的            
(NA)	 香妃变成蝴蝶飞走了~~~哈哈哈~~~琼瑶阿姨，你太有创意了~~~当皇帝皇后太后一干大臣都是白痴呢！            
(NA)	 好            
(NA)	 .....            
(3星)	 = =            
(4星)	 芒果台，放了都快十年了，别再重播了，一年一遍的，搞得我一看到就换台。没听过“相见不如怀念”么？            
(3星)	 电视上为何总是一遍又一遍地重复第二部。第一部好看多了。第二部感觉人物完全是为了电视剧情节精彩，完全不顾自己身上的责任了。紫薇也没那么贤淑了。            
(4星)	 琼瑶阿姨呀            
(3星)	  比第一部肉麻多了~            
(3星)	 纯粹看过。            
(4星)	 当年还是很喜欢的            
(5星)	 无敌啊~            
(5星)	 暑假必看,. 暑假的感觉....            
(1星)	 无聊。            
(5星)	 他們曾經如花美豔 我們如今似水流年            
(3星)	 不说了，就这样啦            
(NA)	 Princess Pearl...好洋气的翻译..            
(5星)	 ...还是最爱第一部            
(3星)	 第二部还是有点差了。            
(4星)	 小时候觉得真挺好看的~            
(NA)	 跟我妈看了很长时间。。            
(3星)	 剧情明显拖沓了，可就是被1勾住了。            
(NA)	 边练琴边看，苦逼的日子。            
(NA)	 没什么印象了都。。。            
(4星)	 比第一部搞笑。            
(3星)	 开始胡闹！~            
(3星)	 没有第一部的感觉了            
(NA)	 不会忘记皇阿玛，让我在二十岁高龄时依然能为了他的父爱哭得稀里哗啦。            
(5星)	 啊！还珠格格！            
(3星)	 不如第一部            
(4星)	 可惜了香妃消香玉损！第二部是服装化妆最精致的一部！原班人马很喜欢！            
(3星)	 穷聊的琼瑶啊。            
(1星)	 说过了那时候还小呢            
(NA)	 边看边睡。            
(NA)	 不错...            
(3星)	 跟第一部差的微远。            
(5星)	 有点闹哄~可我就是个闹哄的人~            
(3星)	 继续套路搞怪，还在能接受范围之内            
(4星)	 不如第一部，但也非常精彩            
(2星)	 超级无厘头……            
(3星)	 O(∩_∩)O~            
(NA)	 电视台老爱重播            
(3星)	 2005            
(5星)	 还好是原班人马。            
(4星)	 就愛看他們逃難的那一段戲。            
(NA)	 可喜欢看了以前~            
(1星)	 囧瑶大婶永远换汤不换药……            
(3星)	 2000年的暑假            
(4星)	 我也曾年轻过            
(3星)	 开始狗血            
(3星)	 沒第一部好了，有點扯            
(2星)	 从这年开始，琼瑶脑子坏掉。            
(5星)	 也许封建势力和新人类之间的矛盾，可以靠儒家伦理来缓解？太理想了吧？            
(4星)	 啊哈哈            
(4星)	 当年还是很有兴趣地看            
(4星)	 多少生活还有印记            
(4星)	 我。。            
(4星)	 ……比起第一部苦情不少……            
(3星)	 二部的衣服好漂亮~            
(3星)	 有点闹            
(3星)	 再抖——            
(3星)	 拍多了就没意思了            
(3星)	 最记得里边棋社里边的戏份            
(2星)	 比第一部差好多            
(NA)	 这是中国电视剧的一个时代。。。            
(NA)	 年轻其实是一瞬间的事。            
(2星)	 我居然把这个看完了。。            
(4星)	 第2部大家造型都好看了太多 RUBY更美丽了 剧情更丰富了             
(2星)	 这一部就有点无聊了...有点过了            
(4星)	 有第一部当然有看第2部的咯.第3的就么看.            
(NA)	 比第一部好点            
(2星)	 太吵太闹。            
(3星)	 嗯 没第一部好看            
(NA)	 可怜的香妃没出名多久就走了～～挺漂亮的～            
(4星)	 第二部相对也比较正常，相对的角度是说相对第三部。这部的肖剑有点小帅啊~            
(5星)	 这部很喜欢 主要是很喜欢香妃 香妃真漂亮 但是红颜薄命啊。            
(3星)	 怎么說呢，還是覺得第一部比較好看一些。            
(NA)	 还是经典的好            
(4星)	 第二部最好看啊！            
(NA)	 故事回味曲折            
(3星)	 一部不如一部            
