http://movie.douban.com/subject/1876781/	越狱  第二季 Prison Break Season 2
(4星)	 明显没有第一部震撼，但是迈克还是那么帅！            
(3星)	 已经开始狗尾续貂了。。。。SCOFIELD同志被爱情冲昏了头脑，蠢事做了一件又一件，形象尽毁。。。。            
(4星)	 到后期已经开始拖沓..            
(5星)	 好吧，即使你们都说我是个怪人，我也依然要高喊：我最喜欢看二。            
(4星)	 没有第一季好看了            
(NA)	 感觉哥俩就是衰神，没有碰不到的！            
(3星)	 和第一季差太多了            
(4星)	 赶上编剧罢工的可怜观众们……            
(5星)	 平淡与精彩            
(4星)	 啥时候才能逃出去啊？            
(NA)	 越狱：第二季            
(NA)	 越狱            
(4星)	 第二季给四星，如果故事到此结束，我便会永远怀念这部片子的。可惜它继续了。。。            
(4星)	 每一季少颗星            
(4星)	 呃，刚看完，刚看时有些失望的，前几集的确没有第一季精彩，但后面渐渐引人入胜，好看。Micheal，还是那么帅啊，智商还是那么高啊，T-Bag，我就不明白怎么会有（那么多）人喜欢他，实在是败类！当然，他的生存能力之强是毋庸置疑的。还有，喜欢Paul~            
(NA)	 之后我就再也不看这个越来越烂的美剧了            
(4星)	 没法要求还拍得跟第一季似的。编剧也是人。还好吧。            
(4星)	 和第一部衔接的比较好            
(5星)	 我觉得S2和S1不相上下，Miller在里面好性感的说。最喜欢Kellerman，据谣传他没死            
(4星)	 2重在情感上~剧情远不如1            
(4星)	 主角是T-bag。            
(5星)	 最感動的是一些details，讓人感到人性的光芒~            
(4星)	 继续红火..            
(2星)	 Well beginning isn&#39;t always half done, look how this season worked &amp; you get it.            
(4星)	 其实第二季还是不错的，特别是到后头            
(3星)	 饿…编剧开始哈七搭八了            
(3星)	 第２季就开始有点烂了……            
(2星)	 没看完删了            
(4星)	 因为马宏 喜欢上了摩托罗拉。。。            
(3星)	 狱都越完了，剩下就看编剧跟那儿穷折腾...            
(3星)	 有点冗长  没第一部简洁大方  但是还是喜欢            
(NA)	 迈克好累~~~            
(3星)	 还是觉得大家对于编剧过于苛刻            
(3星)	 其实，和第一季相比，这一季就很索然无味了，英雄的完美与胜利，是无论多少所谓的“摇摆”都改变不了的。相比之下，我们家的FERNANDO SUCRE就可爱多了啊。。。            
(4星)	 没有第一部那么吸引人的眼球..更不想看第三部了..            
(4星)	 还好啦。有点乱...            
(NA)	 相当爱            
(4星)	 依然激情不减の在看            
(3星)	 前半段“掘金”还好，后半段草草收场~            
(5星)	 一气苛成看完很爽.            
(4星)	 第二季看完。            
(NA)	 1比较好看啊~            
(4星)	 昏天黑地了好几晚，还是觉得第2部张力已经不如第1部，对第3部已经不抱希望，虽然一定会看            
(NA)	 第四季就算了吧            
(4星)	 逃，逃得无处容身            
(4星)	 逃亡生涯。            
(5星)	 很死脑细胞            
(5星)	 坚持在追            
(5星)	 看的快睡着了。已经从看剧情过渡到在看人了。没wm我就不追了的说！            
(3星)	 我们的目标是：豁出去！            
(NA)	 经典            
(5星)	 米帅太帅了            
(4星)	 第二季剧情杂糅，不如第一季            
(4星)	 Teddy Bear。            
(NA)	 不好看            
(5星)	 真的够了            
(NA)	 空间大了，可能性太多了，线索太多了，吸引力反而下降了            
(5星)	 北京是个大染缸啊            
(4星)	 好像比第1季差点            
(4星)	 这一部也还不错，吸引我全部看完了            
(3星)	 结局让人恼。            
(NA)	 耶耶～第二季            
(3星)	 恩            
(NA)	 依然经典            
(5星)	 比起第一季，貌似有些漏洞，情节不够严谨，但更多的温情很让人感动，估计会赢得更多的女性观众。（当然，不仅仅是都冲着帅米勒来的）            
(NA)	 再之后看了《基督山伯爵》            
(NA)	 不如前一季，不过还行            
(4星)	  越狱            
(NA)	 超好            
(3星)	 一季没一季好看            
(4星)	 第二季反映出了更深更复杂的人性。            
(4星)	 感觉有点没完没了...            
(4星)	 连续剧             
(5星)	 终于在071109看完了，真的很棒这季！            
(3星)	 没有第一季好看 － －            
(4星)	 哎呀，看到第10集，坚持不下去了            
(3星)	 越来越没劲了            
(4星)	 那个女的死的太惨            
(5星)	 监狱外的逃亡生活。。。            
(5星)	 ...            
(5星)	 第一季已经被米帅完全征服了....第二季么继续呀!!男人啊~~继续挖洞吧~~            
(3星)	 有点烂了。。铺太开。。太多感情戏。。michael弱了。。            
(NA)	 看这戏真的难受            
(3星)	 第二季没有第一季好总是这样 第一季的反映太好第二季就会超不出第一季艾            
(3星)	 一些情节有点牵强附会...            
(5星)	 在第二季里我深刻认识了T－Bag,,很喜欢他~~            
(5星)	 第二季值得一看            
(4星)	 S2            
(NA)	 连续一夜            
(4星)	 逐步逐步离谱了....            
(3星)	 不如第一季            
(NA)	 Prison Break: Proof of Innocence            
(3星)	  第二季显得繁荣拖沓，又再一次入狱，疲倦于这种追捕的剧情。累心            
(5星)	 第二季比第一季更精彩。而且女主角由律师变成了医生。律师看着很眼熟，应该是演过其他电影，但总想不起来，不过不是很喜欢她，皮肤不好，长相一般，虽然演技不错。sara多漂亮，虽然看起来比micheal要老一点点。            
(5星)	 实在太酷了~            
(4星)	 比第一季差，这是美剧和续集的通病            
(5星)	 虽然没有第一季精彩,但还是很不错            
(4星)	 没第一季牛屄            
(5星)	 依旧帅            
(NA)	 第一季比第二季好看许多            
(NA)	 超级棒！            
(2星)	 第八集才开始精彩            
(4星)	 2007/1/16-4/3            
(NA)	 风靡中 ..            
(3星)	 别再拍下去了。            
(NA)	 一直在坚持            
(NA)	 第一季比第二季好看            
(5星)	 这个编局组猛的，第二季还是很棒，期待第三季。            
(NA)	 还在继续~            
(3星)	 第二季开始烂~~            
(4星)	 第2季感觉不如第1季精彩。            
(NA)	 依然好玩  只能一个字 赞！            
(3星)	 反倒觉得比第一季好看            
(5星)	 很是吊胃口..本来以为2季一切都会结束..但最后还是失败了...一切又归为0...3季又会是怎样的呢&gt;??有种种猜测...听说哥哥会死去..情敌会出现..不想去预测将来发生的事情...只有静静等待            
(NA)	 等待新的一集            
(4星)	 没第一季精彩.            
(NA)	 关注中~~~            
(NA)	 八个逃出生天的一级重犯成为全国警力追捕的对象并展开新一轮的亡命旅途，在逃亡过程中他们面临着种种情况，于是故事接着发展。而且因为林肯被陷害与一宗政府阴谋有关，所以从第二季一开始，迈克尔·斯科菲尔德兄弟俩着重进行调查，希望能揭开阴谋背后的黑暗真相。而成功逃离监狱的5名狱友分别在美国中部逃窜，其中会有重新被捕的，也会有死于逃窜途中的。            
(4星)	 一直的期待            
(5星)	 恩恩!惊险的冒险片!            
(3星)	 hardly equal to season1 2007            
(NA)	 未完            
(3星)	 越来越。。。            
(5星)	 michael cool            
(NA)	 疯狂推荐            
(NA)	 看到了13集！好辛苦啊！14集还要等到圣诞节过后才有！            
(4星)	 迷惑中。。。            
(NA)	 在路边摊上买的D版（请不要B视偶），可是看到迈克喜欢的那个姑娘从汽车旅馆出来后被人用枪指着就完了。？是不是版本不全？。。。            
(NA)	 miller 无敌            
(NA)	 不及第一季            
(NA)	 一看过了，一直在等二出完了一起看~            
(4星)	 下坡路            
(5星)	 经典的经典            
(5星)	 连续剧            
(5星)	 等它出完，一整部season2下来看！            
(5星)	 不知道到底要演几年。。。            
(NA)	 出完在看，一季一季的看！            
(3星)	 时好时坏            
(4星)	 美国            
(NA)	 片名其实不应该叫越狱，第二季可以叫逃亡，或者追捕，或者哈哈哈警察抓小偷            
(4星)	 出了监狱还叫个屁越狱啊            
(3星)	 拖沓,,,,过多转折让人感觉很烦            
(5星)	 主要男主角还在，谁又在乎那些BUG            
(4星)	 有点儿絮叨了            
(NA)	 精彩！！《越狱》在第一季结束的时候，主角们已经逃出了监狱，最后一幕温特沃斯·米勒饰演的迈克尔·斯科菲尔德与几名狱友历漫长的令人喘不过气脱狱，逃出例如狐狸河监狱的封锁。但是故事并没有完结……　　在第二季中，八个逃出生天的一级重犯成为全国警力追捕的对象并展开新一轮的亡命旅途，在逃亡过程中他们面临着种种情况，于是故事接着发展。而且因为林肯被陷害与一宗政府阴谋有关，所以从第二季一开始，迈克尔·斯科菲尔德兄弟俩着重进行调查，希望能揭开阴谋背后的黑暗真相。而成功逃离监狱的5名狱友分别在美国中部逃窜，其中会有重新被            
(5星)	 继续精彩            
(4星)	 第二季果然不出所料，没有第一季好看了            
(5星)	 从音乐到剧情再到情节的连贯性都很棒http://movie.sun116.com/ClipDetails.aspx?TypeId=36&amp;ClipId=7786http://www.yoqoo.com/v_show/id_XMjU3MDc4NA==.html            
(3星)	 逃命吧            
(NA)	 感觉没第一季好看了            
(5星)	 Micheal实在是太帅了……何况本人还在芝加哥~在电视里看到好多熟悉的场景~~哈哈~~            
(NA)	 期待的第二季终于出来了 虽然不如第一季精彩 但仍值得期待            
(4星)	 nextnextnext每周二再见~            
(5星)	 很好看，尤其是对揭露阴谋充满了蠢蠢欲动的欲望            
(NA)	 第一季更吸引我            
(4星)	 当时追的多傻逼.            
(3星)	 峰回路转却又百转千回            
(NA)	 第三季看了开头            
(4星)	 看到最后一集很气结            
(5星)	 棒！            
(5星)	 真心觉得第二季也很不错！！！不比第一季差！！只是结局又好耸！！            
(4星)	 虽然是美剧套路 但是依然好看            
(5星)	 这一季的最后几集明显让人腻歪了 不过仍旧有险象环生环环相扣的情节在 勉强五星吧            
(4星)	 跳出监狱的范畴，视野和剧情更加开阔。威廉·菲德内尔真是追踪专业户啊，其加盟使得看点更多，剧情更丰满。            
(4星)	 最后几集有点生硬了，T-Bag 也有真爱啊            
(4星)	 不停的矛盾重复让人有点疲劳·不过还是好看的·            
(5星)	None
(3星)	 我喜欢他们在监狱里头。。。            
(3星)	 看到一半已经看不下去了。            
(3星)	 比第一季要好，猫鼠互戏颇费了点心思。剧情还是太梦幻，讲明了生存就是不断逃亡的主题，可依然还能屡屡得手。其实已经不太想看下去了，还是有始有卒吧。            
(NA)	 穷追不舍            
(5星)	 疯子疯子。很有爱阿。            
(4星)	 继续沦陷。。。            
(5星)	 大学时候的好时光            
(4星)	 才想起来好几年前还看过这            
(3星)	 败笔是几个配角死的太早了            
(4星)	 我真希望这一季就是结局。。。。。（-,-）怎么那么纠结啊！！！            
(4星)	 前半部分还是相当精彩的闪耀人性光辉的...从总统辞职开始明显觉得编剧江郎才尽啊...结局完全是另一个狗血的开端啊...            
(4星)	 觉得死了好多人            
(5星)	 爱上t-bag            
(5星)	 这一季好惨，LJ的父母死了，SARA的父亲死了，林肯的父亲死了，贝利也傻逼了，逃犯死的死，逃的逃，被捕的被捕，最后KIM死了还算合适，o(︶︿︶)o 唉好感人！            
(5星)	 比第一季好看.            
(3星)	 于是第二季就残了啊            
(5星)	 TBAG日渐癫狂，            
(NA)	 弃            
(5星)	 一天看一季 眼睛都要瞎了好么            
(5星)	 坚强的女人 伟大的爱 没有永远的朋友 只有利益当先            
(3星)	 不断的逃跑，逃亡。和生活有些相像            
(4星)	 特工都是好警察.            
(4星)	 中途感到一阵一阵的绝望            
(4星)	 比第一季饱满            
(4星)	 其实自我感觉第二季是四季里面最好看的            
(NA)	 这部就已经对michael无太大爱了            
(4星)	 编剧在耍人玩            
(4星)	 外面的世界也是个更大的监狱            
(4星)	 最喜欢“梵高”跳下来的那集。            
(4星)	 前一半到三分之二还行            
(5星)	 药别停！！！            
(4星)	 救赎自我的的新一季，喜欢的疯子死了，我不悲伤，因为看到他眼中的荷 兰，只要相信。开始喜欢马蒙了。            
(4星)	 烂尾剧            
(4星)	 真正的越狱才刚刚开始~~~            
(5星)	 迈克尔，你是悲剧英雄。            
(5星)	 放不下            
(4星)	 从这季开始就有点儿水了，情节也有些些拖沓。。。            
(4星)	 还成 有点儿慢。。            
(3星)	 跟第一季不能比啊            
(4星)	 够不着            
(3星)	 看好长时间 墨迹 当初就想看完第一季得了 谁想到自制力这么差 果然就上当了 这下好了 还得看第三季            
(1星)	 扯            
(4星)	 依然牛逼            
(3星)	 14-19集是高潮，其他部分昏昏欲睡。大结局很不真实，巴拿马警方不至于这么昏庸吧。            
(5星)	 哈哈，第二季依然不错            
(4星)	 又进去了= =            
(4星)	 结局勉强为了撑第三季。            
(5星)	 我爱费尔南多！            
(5星)	 一口气看完的。            
(4星)	 明顯不如第一季呀，不過留下的懸念讓我很想看第三季，卻有找不到下載。。。            
(5星)	 重温ING            
(5星)	 異常地喜歡馬宏~超有型的反派            
(4星)	 好吧。什么时候是个完结。Sara和Michael的戏这么少。o(︶︿︶)o             
(4星)	 第二季            
(5星)	 Michael ...             
(3星)	 也就是一般的烂俗段子吧            
(5星)	 哇唔。Prison Break Season 2 Episode 15 10&#39;53 处，The Big Bang Theory里的Penny惊现！            
(5星)	 华丽公路逃亡片 公路美景 michael依然智慧            
(4星)	 越狱什么的,太纠结了,纠结到最后,亲爱的小温又进去了...  人生啊!!!!痛苦啊            
(NA)	 惊现了一下penny！            
(4星)	 太拖。第一季欲罢不能两天看完。第二季得看且看纯粹混时间，看了一个多礼拜终于看完了。如果每个礼拜连着追倒还好，这样一次性看完真是没啥动力。            
(3星)	 疯狂追过            
(4星)	 Sara瘦好多好多！            
(5星)	 还是好看。            
(4星)	 完结。            
(2星)	 美国暴力 暴力反感星人 但我喜欢Sucre！            
(5星)	 我爱的米帅，以及越发出色的配角们！！            
(4星)	 没有第一季的好看。            
(1星)	 内个星星给马宏，胖子死开            
(4星)	 看疲了。。            
(5星)	 虐心。            
(5星)	 我最喜欢第二季 哈哈            
(NA)	 2007 暑假            
(5星)	 看的惊心动魄~            
(NA)	 快点完吧   真冗长啊            
(5星)	 Mahone出场了我崇拜他所以我还是五颗星儿~~~~            
(5星)	 也看就完美了   又出事了~哎            
(4星)	 其实作为侦探片质量真还行。            
(3星)	 第一季最好,其他的不评价了            
(4星)	 曾经，周二是每周最兴混的一天。            
(3星)	 真扯            
(4星)	 有点扯了。            
(5星)	 终于从监狱走出来，外面的日子也不好过诶            
(4星)	 放眼望去尽是坑            
(NA)	 我忍，还有点耐心看            
(3星)	 乱            
(5星)	 最爱火车上那一小段，逃得累死了，还是多来点love story吧            
(4星)	 我居然喜欢上了Kellerman            
(3星)	 前面几集还不错            
(3星)	 经不起推敲的地方太多了            
(4星)	 还好            
(NA)	 马宏，这个探员有时候真是让你欲语还休。            
(3星)	 狗尾续貂了            
(4星)	 凑合着看完了            
(3星)	 越来越白烂            
(4星)	 2009下半年 人蛙            
(4星)	 7/10            
(5星)	 真是让人欲罢不能 ...            
(4星)	 还是第一季好看，越到后面越印象不深            
(4星)	 091212还不错啊，不会太差            
(5星)	 还是更喜欢这一季。t袋是个缺爱的孩子，马宏是只迷路的羊羔，Paul是个害羞的小男孩。某种角度坏人更惹人心疼            
(4星)	 我有点不想看了            
(5星)	 帅哥亚你是真的帅            
(NA)	 没大差            
(5星)	 马宏！            
(3星)	 看完不想看第三季了            
(5星)	 2010.06.27            
(4星)	 没第一季那么紧凑了            
(NA)	 佩服编剧的想象力（或许是事实）            
(3星)	 情节拖沓，镜头切换太他妈频繁了，剧情连续性大打折扣。亚布居然给我第一个就挂了……靠……看T-Bag去……他们的宗旨就是，把更多的人拖下这淌浑水！……Linc你的命真值钱呀……            
(NA)	 磨机 情节老套            
(5星)	 很好            
(4星)	 抠墙壁的大叔们历险记II             
(NA)	 有什么M不擅长的？            
(4星)	 mahone出现,整个越狱中最喜欢的一个演员,特别他的眼睛.            
(4星)	 第二季有个不错的开头，Mahone和Michael的对抗很吸引人，但Kellerman的叛离和转变显得太突兀牵强。很高兴有情人终成眷属。最讨厌的人物是Bellick和T-bag，表演很到位，所以恨不得他们早些死。其次是C-Note，没什么比一个无脑的小人更令人反感了。            
(5星)	 crazy ..really...!!            
(3星)	 这部不如叫  &lt;跑路&gt;            
(4星)	 大学时代的美剧            
(4星)	 就这样又进去了么=    =这片奔上狗血路了。。。萌了马宏=    =            
(5星)	 我就是无可救药的爱米勒。。。            
(4星)	 每一季就少顆星~哎            
(5星)	 Mike 脑子太好使了            
(4星)	 逃亡的一季，围绕500w的越狱8人组 VS 小马特工和The Company特工进行。这一季估计是涉及到最多地点的一季，最后还出了国。            
(4星)	 神啊，终于看完了            
(3星)	 开始不断下滑了            
(3星)	 梵高同学死了我也不看了&gt;&lt;||||            
(4星)	 乱了点，很多情节还是喜欢的            
(3星)	 开始拖沓了，T-bag印象很深呐            
(4星)	 然后就再也看不下去咯            
(4星)	 止步第二季。            
(4星)	 四季里最喜欢的。            
(4星)	 二和一一样好看。我不知道为什么这么多人神化此片。            
(5星)	 第一部美剧。看到第二季。            
(5星)	 爱上自由             
(5星)	 Prison Break 2            
(5星)	 感慨。。。            
(NA)	 PB2            
(4星)	 Prison break             
(4星)	 第二部也很精彩！~            
(3星)	 只一季 足矣            
(4星)	 考虑要不要继续看下一季            
(NA)	 唉            
(5星)	 最疯狂的奔波与算计            
(4星)	 越不完了你还            
(NA)	 很好            
(4星)	 I&#39;m not that into Mike            
(1星)	 石马玩意            
(3星)	 编剧更扯淡而已            
(4星)	 Michael还是回监狱去吧。。。            
(3星)	 还是第一部惊艳            
(4星)	 唉..你说在这结尾多好..非得折腾折腾又进去了..话说那个将军到底是咋回事捏?            
(4星)	 还是觉得很好看，L其实也很man.            
(3星)	 看完这一季我就不想追了            
(4星)	 就从第二部开始关注起Mahone的，直到剧终，他一直是我最喜欢的角色。            
(3星)	 腻乎……太腻乎了……            
(4星)	 第二季还成，满世界乱跑，mahong 警探快被神化成妖怪了。            
