http://movie.douban.com/subject/4826770/	我的公主 마이 프린세스
(3星)	 啊宋承宪好帅~~跟我小时候看的一样帅！怎么不老呀混蛋！            
(2星)	 呃。。是去看宋承宪的。。结果觉得整部戏都好假。哎。好假。            
(1星)	 剧情老套，虽然有金编剧，但是不给力就是不给力，太无聊了这剧，在秘密之后，反差太大了。            
(3星)	 纯粹用来kill time的～～剧情太俗烂啦～～            
(2星)	 猪脚都好丑。。所有恶俗桥段都挤在一起。。矮油银生啊。。            
(2星)	 看不下去的韩剧 故事老套又无聊  我想如果不是女主角 我根本看不到第6集            
(3星)	 纯粹为了欣赏宋承宪。。。看不下去。。。。。。            
(5星)	 看了第一集~感觉不错嘛！主角我都喜欢=u=            
(1星)	 实在看不下去了...我为我曾经在看感到可怕...剧情还能更加恶劣一点么= =BB 不过...宋哦巴...已经不是当年的他了...当了个兵不得了了TVT            
(2星)	 半途被我废。此剧唯一于我的影响是，对宋承宪的改观。这个老实小伙子还是蛮帅的噢。金泰熙这个法令纹深大嘴巴演技做作的家伙，就不提了。这部戏开始蛮吸引人，但越到后越弱智。主线单一，人物个性分配的不合理，是让我弃之不觉可惜的理由，思密达。            
(NA)	 没看下去            
(4星)	 很暖很幸福……            
(2星)	 只看了一集 弃            
(2星)	 宋承宪果然不愧为我年幼时的梦幻啊~~~~ 这么多年啦！！！nia！ 剧情么子滴真不好看！！！七里八里的~纯粹看人被~  女2还要好贱好讨嫌！            
(3星)	 宫+MY girl加强版 作为最老牌韩剧制造商的面包车MBC电视台这几年感觉忒流年不利了             
(3星)	 此二人以今天的地位再来接这样水平的戏剧让我大跌眼镜！刚看完编剧师父金编剧的《秘密花园》再来看这部剧着实看不下去！《公主》的编剧是不是太早出师啦？剧的结构要靠编剧技巧，剧的台词拼的是灵气。感觉张英实不要说灵气，连技巧都没有。哎！            
(2星)	 事实证明，热炒的往往是滥片！！            
(3星)	 也就冲着演员给三颗星吧，如果不是题材占优势这个片子从质量上讲是打不过《sign》的！            
(2星)	 看到第三集看不下去了，金泰熙演这种角色显得好做作。            
(4星)	 金泰熙太可爱了！我的宋承宪啊@@@！            
(3星)	 看完宋承宪的裸体，我圆满的弃剧了            
(3星)	 剧情也太韩剧太假了            
(NA)	 卧蝉美女金泰熙还俗路人之作~            
(3星)	 剧情太俗太无趣，看了6集果断弃了，三颗星全是给宋承宪的美色。。。。。= =金泰熙的大瓷牙每次一笑我就觉得演过了，然后。。我实在看不下去了。。            
(2星)	 还是不喜欢女主。看不下去。            
(3星)	 请不要用美色来诱惑我看这种无聊又弱智的剧            
(2星)	 只有组合期待            
(NA)	 4            
(3星)	 宋承宪和玄彬都瘦得不行，是因为棒子的泡菜紧缺么？？            
(5星)	 挺温暖的，看看打发时间不错～宪哥一如既往地帅啊，金泰熙让我对她印象好多了～女二真是丑的一逼啊！！！教授那大眼袋让我怀疑他夜生活过于丰富严重睡眠不足～            
(3星)	 最后三集省略直接看的最后一集，宋承宪依然那么好看。            
(4星)	 宋承宪+金泰熙 完美组合！可是无奈剧情太不给力了……扣一星。            
(4星)	 后面怎么这么肉麻啊我去             
(3星)	 宋承宪的演技不行啊~看不下去了，剧情太扯了            
(2星)	 追看前5集放弃啦。。一贯老套路题材。。唯一看点是演员只不过已跨越偶像年龄。。还是蛮怀念‘爱在哈佛’+‘蓝色生死恋’。。人人都想当公主~\(≧▽≦)/~            
(2星)	 剧情相当地寡淡，只为了我家的李起光先生，咱家男人最近大势，卖萌卖惯了。            
(3星)	 我承认我只是为了打发时间才看的此剧。            
(5星)	 剧情这种东西，韩剧向来没有。男女主都很养眼就很难得了，更何况喜欢了这么多年的承宪GG还这么有型哇            
(3星)	 对贫民女加王子这种剧情越来越没耐心了~            
(2星)	 很明显有MY GIRL的痕迹嘛！金泰熙原来成这样的啊，牙齿最奇怪，感觉没有缝隙似的。女二和男二真是绝配，整容都手拉手去的！            
(3星)	 弃的原因是因为。。。这样俗套的人设真不是我的味口，我还是回到美剧怀抱去吧            
(2星)	 烂            
(3星)	 到第3集仍然未发现任何除了宋承宪腹肌以外的亮点。弃            
(4星)	 金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了金编剧你怎么了            
(2星)	 金泰熙的一排门牙 上面像糊了米饭一样连成一片            
(1星)	 大龄韩国剧星演出的青春可爱粉嗲偶像剧。喜欢宋承宪，但衷心希望看到成熟男人角色的作品。没什么意思，看到第三集，不看了。            
(1星)	 弃            
(3星)	 在《成均馆绯闻》里面演学士和皇上的现在调过来了啊哈哈哈哈哈            
(3星)	 只能看看脸              
(3星)	 剧本傻逼的一塌糊涂，当然，也可能是我老了，看在一个是我心目中的韩国第一美女，一个是我从初中时就无比迷恋的哥的份上，多加一星。            
(3星)	 剧情不好看，弃。对不起宋帅哥和金美女啦            
(3星)	 我只是想看肉而已 呵呵呵呵~女二一脸整残的样子 很久都没看女2心机重的剧了 有点难接受。后面感觉都是硬拖的 不过无所谓吧。            
(3星)	 这么强大的阵容还是完全没法不快进啊            
(4星)	 有点看不下去了~~~ 就那剧情 ╮(╯▽╰)╭我就是来看宋承宪滴~~ 为他还是酱帅+1            
(3星)	 为啥男女主角总是因钱而相遇 难道就没什么别的因素咯咩 俗套            
(3星)	 男女主都美型的一部~~忽然发现宋承宪那么帅。。。            
(5星)	 俊男美女 挑剔个毛啊            
(4星)	 哈哈哈怎么可以，性格和我一样！我就是那样开心爱心热心的活着！然后以后遇到一个宋承宪这样的帅身帅脸帅脑帅心的男人！剧情是跳跃着看的。感觉很好哈哈            
(2星)	 都没看完。这个剧情跟宫比差远了、浪费了2个大演员。但是过过眼瘾还是蛮好的。            
(3星)	 金泰西穿衣服好淘宝啊。感觉好低档。            
(3星)	 帅哥+美女，宋承宪还是帅，金泰熙笑起来太好看，哪像30多岁的人啊。女二的水平已经不是坏而是变态了吧。结局很烂尾。            
(NA)	 整部剧都在看金泰熙的大呲牙。。            
(4星)	 剧情连接的部分不太行 但是金泰熙太美了啊!            
(3星)	 此类韩剧简直是为了满足花痴粉丝移情欲望的流水线生产            
(2星)	 整个剧就靠金泰熙一惊一乍的夸张表演在撑着，故事老套情节拖沓以及各种闷骚似的纠结。就喜欢主题曲~            
(3星)	 仅仅是出于对宋承宪和金泰熙的喜爱。            
(4星)	 好吧，一直都很喜欢宋承宪=。=            
(3星)	 前面还行 后面越来越看不下去了。。。我真佩服自己。。。            
(2星)	 7集开始剧情滑向超级弱智，一星给男主，一星给女主，谁让你们这么养眼，不然我打零分。            
(1星)	 不喜欢公主 。 看起来像个坏人。 嘴巴很不好看 。而且整个剧情 太没趣了。            
(NA)	 大叔大婶你们还能再幼稚点吗！            
(NA)	 女2号像男人            
(4星)	 有些人越长越帅了，剧情什么的都是浮云            
(3星)	 还是忍不住看了~            
(2星)	 虎頭蛇尾，結尾不知所雲            
(5星)	 就是公主的IQ跟EQ好像低了点＝＝            
(3星)	 我陪妈妈看看得我好晕啊。。。=  = 泡菜国的哦吧们不得不说……真的是帅的。。。。            
(5星)	 只冲着宋承宪去看的，男女主角都是我喜欢的类型。看起来很美。经不起推敲。但是偶像剧么，肥皂剧一样去看就好。            
(3星)	 虎头蛇尾，越看越没劲            
(3星)	 亲娘咧终于看完了。。。看前几集感觉5星，到最后也就这样子嘛。。。            
(3星)	 为毛没有被剧情勾住呢！！！！            
(4星)	 动不动就拍宋承宪的半身裸……哧！            
(NA)	 看不下去            
(2星)	 越看越难看，弃之~            
(5星)	 五分都给你，承宪偶吧。            
(3星)	 真是不知道比玛丽外宿中强多少倍！！！！！！！！！！            
(5星)	 喜欢死了！！！            
(NA)	 男女主角太养眼了！！            
(3星)	 后劲不足。            
(NA)	 追剧真的好辛苦。。。。宋承宪怎么能这么cute！！！！            
(4星)	 哈哈 挺可爱的            
(3星)	 讨厌女二的苹果肌，对女二各种不满。剧本差，编剧差。金泰熙都有鱼尾纹了~！宋承宪大叔的身材保持的不错，不愧是当完兵回来的- -。。。三星都加给你了~不过还是得果断弃剧~！            
(4星)	 撇开剧情不说 这俩人也太养眼了~~            
(3星)	 纯属看看金泰熙和宋承宪。。。没盼头的剧情。。。            
(4星)	 看不下去了 猪脚的吸引力只撑到第四集            
(3星)	 二十岁的我已经不喜欢三十岁的你做这种十几岁的梦了。            
(4星)	 宋承宪哦~~~~            
(2星)	 頭兩集剛見好，接下來就是媳婦裹腳布般又臭又長兼萬年不要臉歹寒民國粹垢gimchi統治世界思密達。            
(5星)	 我是看了宋承宪的N块腹肌才决定追这剧的~~~追剧的日子总会让时间变得快一些过~~            
(NA)	 其实看到一半就弃了            
(2星)	 不知道为什么，如今的韩剧，总让我觉得后劲不足，最后好像连编剧自己都不知道自己要说什么了，剧情不但无悬念，且拖沓更松散。            
(4星)	 其实就想给三颗星，第四颗给宪宪，这剧啊要是没他我还真是看不下去。甜美艺珍哪去了，非把自己整这么老么。            
(4星)	 其实我本来是真的很想追下去的 奈何在学校看到更新到第四集的时候回到家我就没兴趣追了 哎 我是多么的喜欢宋承宪啊~            
(4星)	 。。。比起现在越来越扭曲的整容脸（锥子下巴，从眉根开始长起的鼻子，菱形眼，巨大美瞳），我更喜欢我小时候那一批棒子女演员（宋慧乔，金泰熙，全智贤），长得不贱，很干净。我光看女主角就饱了，剧情可以忽略。。。            
(2星)	 这剧让我多年对宋承宪的喜爱全都磨灭了            
(3星)	 3.5星。看男一和女二斗智挺有趣的。看了前几集还以为女一是智慧型，果然还错了么。。尼玛爱上个女人之后智商变太低了有没有，狗血啊太狗血了            
(3星)	 剧情基本靠编 收视基本靠脸             
(4星)	 宋帅真的还是老了呀 哎 不再是当年的恩锡哥哥啦 岁月不饶人            
(5星)	 超级爱啦~~养眼哈哈            
(3星)	 看了还剩一集 后面太拖了 这到底要不要复辟啊 不给力            
(3星)	 就是为了看男女主角了            
(3星)	 好弱啊= =            
(3星)	 如果不是男主比较养眼，这片实在看不下去@_@            
(3星)	 宋承宪越老越帅了。。。其他真不好看啊。。。剧情太烂。。。阵容太单薄。。。            
(2星)	 在宋承宪腹肌的蛊惑下看了第一集⋯⋯秉持从一而终的好习惯，好不容易坚持看完，感觉上这类电视剧就像一阳痿的帅哥，唉。看完我觉得自己情商和智商都下降了⋯⋯            
(NA)	 跟着朋友看的，朋友看的虽然投入，但对情节依旧很无语 - -   我只是觉得很无聊，那里面的人一叫公主，我就觉得恶心  = =             
(NA)	 没看完，发现最爱的是公主门口家那两只狗~            
(3星)	 。。真心的。。身材好是王道啊！！！！            
(4星)	 很久不看韩剧，这部不错            
(4星)	 the first series with u.....            
(3星)	 没看完的原因，是总觉的你在我眼前。            
(NA)	 某人让我来看衣服的 看不下去鸟            
(4星)	 小温暖，很适合过冬            
(2星)	 韩剧的剧情都是一个样呢，狗血死了，宋承宪的演技真差。            
(5星)	 尼玛 美啊！            
(4星)	 也就看看帅哥养养眼吧~            
(3星)	 也就宋承宪可以看看            
(4星)	 四星全部给男女主　剧情烂            
(NA)	 纯看脸 脑残编剧            
(2星)	 YY之极。。            
(4星)	 除了头尾几集，大概占1/3剧长是浪漫爱情喜剧，其他都不知所云。完全冲金MM的美貌和她华丽的公主LOOK。虽然好几个镜头都有鱼尾纹了，但是能有几人上30还能如此清纯漂亮。            
(3星)	 呃呃呃  我觉得还没有秘密花园一半好看呀  乱七八糟的  是看在宋承宪 的份上 给三颗呀            
(4星)	 就是因为现实太残酷，才喜欢这样童话般美满的结局。            
(4星)	 头一回追韩剧啊...宋哥哥....            
(NA)	 由于有bao他叔，我把这剧坚持看完了。            
(2星)	 后面烂了。            
(3星)	 养眼～～～            
(3星)	 情节不够紧凑，冗长。            
(2星)	 金泰熙的牙齿怎么可以这么大一颗 。。。            
(3星)	 最后一集还有点甜蜜。。。剧情太粗糙了。。。            
(NA)	 11            
(3星)	 宋承宪怎么都不老的啦 金泰熙也很好看的            
(4星)	 编剧是闭着眼睛写剧本的么，金泰熙和宋承宪都不适合再装嫩了。            
(NA)	 我都看不懂偶像剧了真是的。。。            
(3星)	 就冲着猛男去的            
(3星)	 变得又拖沓又无聊 弃            
(4星)	 劇情不切實際，與同期的秘密花園是沒得比了，不是兩位豬角，估計這題材連三星都麻油！            
(NA)	 全部跳着看宋承宪了  简直回到初中！            
(3星)	 看了半集 对棒子剧没什么好感 看不下去 不过宋承宪还是挺好看的            
(4星)	 就看15集就行了~            
(5星)	 我就吃宋承宪这套！！            
(3星)	 现代化意淫典范之作            
(2星)	 哇，长得好看就应该去多拍偶像剧哇~~~老宋还是这么帅呀~~就是一个长得好看又不大有智慧的姑娘，性格简单心地善良，就有许多男人愿意帮助她从灰姑娘变成公主的老套故事。 所以说，只要长得好看，再一般性格智商心地的女孩子都是可以相对容易的得到幸福的。 真是历朝历代的社会真理啊。            
(4星)	 收視還是要靠他們。。面包車喜歡拍這種題材。。            
(4星)	 哎，偶像劇不就這種功能嘛，讓你看到帥哥可以很開心地笑，看他們在裏面鬧來鬧去就好了~             
(5星)	 好久好久沒有這樣戀戀不捨一部劇了...!!            
(3星)	 被朋友拖来看的。。            
(4星)	 宋承宪 金泰熙 俩纯天然？            
(3星)	 为了美男而看……            
(2星)	 宋承宪眼神很勾魂，但是因为金泰熙太做作  弃之            
(2星)	 。。。垃圾。。。。。。。。。。            
(NA)	 虽然对韩剧越来越觉得那个什么了,但是遇到养眼的还是想看.第一次觉得宋承宪真的好帅啊,还有金泰熙虽然喜欢那张脸,但是有时候法令纹那儿看起来还是有点儿苦苦的.就让我再花痴一回吧!            
(5星)	 我爱金泰熙            
(NA)	 弃了            
(3星)	 看到第六集决定不追了 老掉牙的爱情故事            
(4星)	 果然老了            
(4星)	 弃。            
(4星)	 —你怎么能坚持看完的？ —完全不用管他们讲什么啊 盯着脸看就行了            
(2星)	 16集的韩剧我每次都是看完第十就看最后大结局……越到后面越拖，宋承宪还是帅的，可是金泰熙那个牙是怎么回事啊，做了外扩吗简直就是整排龅出来            
(NA)	 作为外貌协会的资深会员,闭门造车的生活也就看看帅哥美女养眼乐呵了,逆生长的宋大叔真给力啊,喜剧更考验演技哈...唉,就因为后知后觉地看韩剧,都被鄙视&#34;逆生长&#34;了哈            
(NA)	 春节期间漫漫长夜居家旅行必备            
(3星)	 我真的是脑残啊。            
(1星)	 太无聊了这故事，要不是男主角帅的没天理，还真不愿意看            
(2星)	 弃！            
(2星)	 看到一大半的时候 连追的兴趣都没有了            
(4星)	 后面吻戏无敌多……            
(NA)	 某人最稀饭的韩剧女猪脚            
(3星)	 不知所然，情节很不合理也，结局都不想看！            
(5星)	 “能不能快点出!!!”——很久没有这种想法了。好！            
(NA)	 为了第一集里宋承宪的身材，我居然坚持了16集！！这是神马精神啊！！            
(3星)	 寒假看剧第一波，剧情神马的都能猜到，但还是欲罢不能。后来就没劲了！键一好萌！            
(4星)	 狗血。。但是人太亮眼了==！！            
(3星)	 哎哟无法烂尾强迫症什么时候是个头啊！            
(3星)	 过年一直在看雪豹～突然觉得这剧追卜下去了！大概是没有特别想要坚守的谁来支撑着看下去～就浮云了吧～            
(3星)	 6 宋承宪帅- -            
(3星)	 宋承宪叔叔你是逆生长的人类么..瓦咔咔.最后两集..哎..就没那么好了..真是不能再追韩剧看了. 秘密花园之后.都追不来了..            
(3星)	 男女主角很养眼很登对。。只是剧情越来越无趣越来越狗血            
(4星)	 宋承宪偶吧~木嘛~            
(4星)	 赏心悦目！！            
(5星)	 金泰熙很乖            
(4星)	 俊熙还在记忆里温和的微笑，十多年之后宋承宪竟然还是不老的脸。记得初一的时候小p说她喜欢泰熙，可我更喜欢那个眉毛浓的化不开的，善良正直，温润如玉，多少有些优柔寡断的男人。            
(2星)	 我只能说，我纯粹是冲着宋承宪的面子把这部剧勉强看完。实在狗血到了极点。白白糟践了我的东哲和金泰熙这两位俊男美女。编剧真的应该面壁思过去！            
(NA)	 7←            
(3星)	 后面都是拖着看的，就前几集能看            
(3星)	 里面女的都太丑了 宋承宪最后犯贱的样子真是太可爱了~            
(NA)	 我受不了脑残……            
(4星)	 金泰熙越来越漂亮了。            
(3星)	 宋承宪突然变得好帅啊。。以前都无感啊无感。。            
(3星)	 真的非常一般。怎么能那么一般呢。可惜了阵容。            
(2星)	 除了帅哥美女，一无是处。            
(5星)	 纯纯的小甜蜜            
(2星)	 金泰熙老了；宋承宪没进步；朴艺珍毁了；宫廷戏滥了。            
(4星)	 宋哥哥还是这么帅的有味道啊 哈            
(NA)	 金泰熙你到底是年纪老了。            
(4星)	 追完了追完了~~~~            
(4星)	 尝试消除对韩剧的偏见..坚持看完了.剧情是无力吐槽了,主要的动力是男女主比较顺眼            
(4星)	 求宋承宪啊啊啊啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 秘密花园之后又一可追的啦~^^2011-01-07 S 很久没这么喜欢一部电视剧里面的衣服了，每一件休闲款式的外套都很喜欢！！特别是第三集机场那一段，星点衬衫、黑色软毛领帽外套~~（自己也买了类似的衬衫，至于外套，开太看中一款，也是黑色软毛领帽，但还在斟酌中。。。）            
(3星)	 最美加最帅棒子？            
(3星)	 有男主女主就够了 还要求那么多干什么            
(5星)	 我记住了一个又一个绵长深情的吻            
(4星)	 剧情很弱啊。。可是。。就。。都很美丽。。            
(2星)	 宋承宪迷了我一个七荤八素的，我看这部戏完全都是为了他。剧情真的很白痴+拖拉，金泰熙那条线是天生的还是整容的附属品？            
(NA)	 编剧有够烂，帅哥美女效应还是不错的。            
(4星)	 后面没有开头给力 = =            
(3星)	 没有美剧的日子很难熬啊            
(3星)	 剧情实在是太。。。也就瞅瞅人。。。            
(2星)	 看了12集就实在是看不下去了，弃之，以后可不敢随便追韩剧了……简直是公主病们的意淫和救赎。剧情老套、狗血，衣服又不够好看……为了宋承宪的肌肉和点点泪光还有金泰熙的美貌给2分。2011.5.30            
(4星)	 果真除了元彬还是宋承宪最帅啊，哈哈哈哈哈，还有我喜欢的金泰熙！            
(5星)	 超强期待啊！            
(3星)	 本以为帅锅与美女会有火花的 可是结果是 越看越无聊..            
(2星)	 2个星给男女猪脚~~~汗~~~~            
(3星)	 实在不晓得这部剧有何意义            
(4星)	 冲着2长很不错的脸才给4星啊。。。            
(3星)	 宋承宪 帅~~~            
(3星)	 这个剧情实在是不想评论            
(3星)	 我收回“渐入佳境”这个词，后面情节太混乱了，不知所云。            
(4星)	 好期待啊 。。。组合之强大，现在在放的哪个剧目都比不上哇。。。！！！            
(NA)	 只能说光是有演员是没用的！            
(4星)	 wuli泰熙公主的演技，真的是千年如一日啊，这么多年了，始终没进步。但是，谁叫你长得如此诱人呢，管她神马演技啊，光看你脸蛋就够给四星了。PS..I am a female...            
(3星)	 我的宪宪，还是那么地帅，oh no。可是泰美女，明显见皮肤下垂了，泪。看惯了励志日剧，偶尔换个小白口味也不错，呵呵            
(3星)	 2011            
(NA)	 宋承宪怎么还是那么帅呢            
(5星)	 五星全给宋承宪的脸和身材好嘛！！！！！！！！            
(NA)	 【2011-01-05】            
(NA)	 4倍速都嫌慢 宋承宪金泰熙都救不了这部剧            
(3星)	 越是忙得焦头烂额，越是要找些狗血的剧来麻痹自己，或者是撼动麻痹的心，拜托是哈皮ending吧！宋承宪的笑容很喜欢~            
(3星)	 宋你太瘦了             
(NA)	 看过呆子cut的举手= =            
(3星)	 女二号挺美的，但那个发型实在不适合她。            
(2星)	 冲着帅哥去的哎！            
(2星)	 一直都觉着宋承宪的五官长得不自然，给人很僵硬的感觉，当然就不觉得帅了。金泰熙还是很美的。            
(2星)	 只是为了看金泰熙。。。            
(1星)	 一集弃。            
(3星)	 没看完，剧情太扯            
(4星)	 宋承宪帅得一塌糊涂，不能够啊！            
(4星)	 伤心难过的时候，还有宋大叔这样的帅哥抚慰，想想我真是长情啊。。。。从初中开始粉他。。。金泰熙果真大美女，不过还是老了。。。挡不住的皱纹啊。。。            
(3星)	 开头还不错，越看越墨迹。。。。墨迹。。。墨迹。。差点没看下去。。。            
(4星)	 啧啧啧，金泰熙真是好看            
(3星)	 看了几集就没得想再看下去的欲望了。。。            
(2星)	 可是这两人长得太美了。。。            
(4星)	 果然俊男美女组合才是最高啊。还是看的挺欢乐的。            
(NA)	 宪哥太帅了！！有钱冬天也只穿西装衬衫，没钱就可以穿高领绒衣是什么道理啊？            
(3星)	 爱在哈佛之后再没有金泰熙了。。            
(2星)	 过了十年宋承宪还是能演偶像剧，就是脸僵了点。            
(4星)	 这些天韩剧里面还算有爱的一个 = V =            
(2星)	 这女主角是按照王祖贤整的吗？            
(3星)	 NZJ很帅            
(3星)	 这种题材的韩剧到底是要拍多少才甘心啊~            
(NA)	 除了女主的衣服好看 木有任何看点。。。            
(4星)	 好久没有这么追剧的感觉了。。。随着剧情哭着笑着，，温暖着·~·            
(3星)	 哎，又一个童话。。。            
(NA)	 一集弃            
(3星)	 严格说来没有看完，看了6  7集。完全是冲着宋承宪和金泰熙美男美女的组合去的。剧情确实有点幼稚，所以没有继续看下去            
(3星)	 没入戏过，            
(3星)	  其实这部片子不是太喜欢，是冲着男女主角来看的，可是没看几集就想弃剧了，金泰熙演技太让我失望了，编剧有没有情商啊，这个公主是无脑吗，都不会思考，剧情没有任何养分，只有看脸了            
(3星)	 啊。剧情太尼玛二了。不过宋金二人真是美啊            
(NA)	 宋欧巴 我沉沦了            
(2星)	 为了宋承宪买的碟 我愣是下面半张再没有兴趣看了 宋偶吧 你也救不了这剧            
(4星)	 明显都是腹黑            
(3星)	 衣服真好看            
(3星)	 那啥，宋承宪是一直很帅，金泰熙不如美女也烦恼里面好看，，，以及女二除了会眨眼睛，脸真的好僵。。。最后，少爷款好有爱呀。            
(NA)	 剧情太弱了，纯看宋承宪了            
(NA)	 还是宋承宪帅            
(3星)	 【剧情两星，宋承宪和朴艺珍加一星。】金泰熙的撒娇和傲娇都好别扭啊，真心觉得她不咋好看。            
(3星)	 。。不知为何两人就好上了。让人感慨爱情这事真是玄妙啊。还好泰熙妞的衣服换得又勤质量又高，当时装片看也不算是完全浪费时间。男女主都是俊男美女中的极品，应该极有可能是唯一一部合作之作，养眼解乏！            
(4星)	 就是看脸，脸就够了。            
(3星)	 帅哥美女养眼~            
(NA)	 用恶俗韩剧打发了悲催的小长假，宋承宪又勾起了我年轻时候的回忆啊。。。            
(3星)	 连拖带拽，只觉养眼。            
(5星)	 宋承宪叫宋沉陷好啦，太帅鸟简直受不了哇为了眼神也要5分啊含情脉脉的眼神啊啊啊啊啊！            
(3星)	 真心觉得韩国女人都是一个模子里刻出来的啊，辨识度好低！！！！            
(4星)	 偶吧还是那个偶吧！            
(3星)	 场面铺的太大收不住了，细节处理也一般，女二以前多漂亮啊，你看现在这~唉~~原来起光弟弟也进来打了酱油。            
(4星)	 老套剧情但也是经典剧情....就看脸..还是值得！尤其是宋承宪！            
(NA)	 嫩了一把，主演真好看，女二的美表示看不懂。            
(4星)	 善良，可爱，乐观的公主。喜欢金泰熙。            
(3星)	 特别喜欢金泰熙            
(4星)	 从这部剧可以发现宋承宪本人其实是个很软弱的男人，想起很多年前他塑造的另外一些形象，做演员这一行有时候真的会在镜头前出卖真实的自己            
(3星)	 韩剧的最大硬伤就是剧本太瞎了.可是.承宪欧巴真的好帅哟...            
(3星)	 宋怎么越来越年轻了            
(NA)	 和普通韩剧一样情节狗血。但是宪哥的那八块腹肌确实太亮了！！！            
(4星)	 剧情太过牵强，不过爱看韩剧的人还是可以忍受的，不够现实，嘻嘻哈哈的也算轻松，好在男女主角够强大，把这么一部不知所谓的剧集硬生生的靠个人魅力支撑了起来，宋承宪太帅了，摆脱了蓝色里忧郁的气质，这里很有喜感，也很硬朗。。            
(4星)	 宋承宪好帅！！！！！！！！！！！！！！！            
(3星)	 只有宋承宪可以看，女一的牙很像假的，女二的脸很曲折，男二很像便秘。总之每个人的脸都长得很不对称。看的1,2,3,4,5,16.over            
(2星)	 第五集时弃！！！！你们肿么了！！！！            
(4星)	 宋承宪是百年难遇的美男啊。。。            
(4星)	 好吧，我就这点追求~~            
(3星)	 有点蠢，却蠢得很单纯            
(3星)	 不记得看到哪集了反正就是不想看了            
(4星)	 就两张脸有点看头，剧情好拖沓啊~            
(NA)	 从我看过介摸多狗血韩剧的现状可以看出我的内心是有多摸虚空啊！            
(4星)	 我妈推荐我看的有木有 她比我还更爱宋叔            
(NA)	 我觉得有些地方超越秘密花园            
(4星)	 强烈希望他们在一起，好般配啊。韩剧偶尔看看还是挺好的~~            
(3星)	 越到后面越无聊            
(5星)	 宋承宪这么多年还这么帅。五星            
(4星)	 花了整整一天一口气看完的。或许你迟早会发现每个女生心底都有一个公主梦。多年不见的宋承宪依然还是很好地诠释一个“哥”的形象。结尾很是甜蜜哦，真的能感到那刻的甜蜜的！            
(5星)	 宋承宪越老越帅            
(3星)	 编剧很弱很狗血。为了男猪女猪忍了那么多集，实在啃不下去了，直接跳结尾，没想到还这么不给力。            
(3星)	 只因为宋承宪！！太帅了！            
(5星)	 不解释            
(4星)	 只为宋承宪，美死了~            
(3星)	 就算是没有公主梦的我偶尔也会想要个P君吧。            
(4星)	 要不是宋承宪，谁看呀~            
(3星)	 一般捏一般捏~~看脸呢看脸呢还是看脸呢-。-            
(4星)	 俊男美女，五星应该的应该的。            
