http://movie.douban.com/subject/2156663/	西游记
(5星)	 小时候一听到主题曲就兴奋并且自动搬小板凳到电视前巴巴等着看。            
(5星)	 最有爱的两场戏一是三打白骨精那出里唐僧赶走了火眼金睛的孙悟空，一出是唐僧泪别女儿国国王，我们全家都看出来美女再劝劝唐僧就扛不住了，唉，说什么王权富贵，讲什么戒律清规……            
(4星)	 吃俺老孙一棒！            
(5星)	 啊！悟空！            
(5星)	 哈，大爱西游记～只有六小龄童的最经典啦～            
(5星)	 永远永远 最好的版本 我老师也在里面扮演过            
(5星)	 大爱许镜清的配乐            
(5星)	 大师兄，师父让妖精抓走了。            
(5星)	 姥姥我想念你            
(5星)	 犹记当年 万人空巷            
(5星)	 童年每次重播必看，听到音乐就兴奋            
(4星)	 你挑着担，我牵着马，一路高歌，向天涯，向天涯啦啦，敢问路在何方？路在脚下，哈哈            
(5星)	 你挑着担，我牵着马～            
(5星)	 老爸录了录影带，看了无数遍。            
(5星)	 可爱的妖怪们            
(4星)	 最喜欢孙悟空～还有里面所有的美女妖精～95年            
(4星)	 只有妖怪可爱!            
(5星)	 经典中的经典啊，现在的戏顶多拍个一两年，这些人一辈子估计就拍了这部连续剧。25年后再看再看，还是那么好看！            
(5星)	 唐僧中途貌似换了三个角            
(5星)	 四大名著中西游记和红楼梦最受文艺青年们的追捧，因为一部写的是理想另一部说的是爱情……            
(5星)	 你挑着担~~~我骑着马~~            
(5星)	 我一直觉得，这部片子应该叫悟空和他的男人们            
(5星)	 哎。。。奶奶到现在还一直逼着我看            
(5星)	 一直是最爱看孙悟空，最讨厌猪八戒。            
(5星)	 小时候听到主题曲就算睡了也要哭着喊着去看            
(4星)	 死唐僧真是个活宝.            
(4星)	 到底有几个唐三藏啊！？            
(4星)	 但是片头曲里有惊天大bug!            
(5星)	 天下谁人不识君            
(4星)	 小时候我爸只让我看唐僧，不让我看妖精            
(5星)	 我心目中的奇幻大片始祖。            
(5星)	 我最近就是在折腾写新西游记的剧本。org            
(5星)	 直到现在，我看李连杰演的孙猴子，还在怀念六小龄童。            
(5星)	 就覺得三太子很帥-   -b            
(5星)	 话说我每年假期必看的就是这个了...            
(4星)	 其实看多了觉得妖怪RP都很低，遇到死猴子多管闲事。= =            
(5星)	 紧箍咒的时候：唐僧！卧槽泥马！            
(5星)	 翻拍就得死！            
(5星)	 初中的时候和前座可以一人一集把廿五集名字对下来            
(5星)	 好多唐僧            
(5星)	 到今天,依然还在看,无数遍了,经典就是经典.那首片尾曲也是我很喜欢的.            
(5星)	 曾经向往这一路的风景..            
(5星)	 看唐僧误会孙悟空的时候哭了……那师父叫得实在让人难过。            
(5星)	 你挑着担~~ 经典阿            
(5星)	 这是生命的一部分            
(5星)	 绝对牛逼，电子乐杠杠的            
(5星)	 光三大白骨精这段我就看了21遍~~偷吃人参果看了15遍，大结局看了12遍，第一集居然只看了6遍！那时候西游记充斥了我所有的暑假寒假~~看的时候心里还是美美的！！            
(5星)	 样子最好的孙悟空            
(5星)	 看过n遍 让我神奇的是每次红孩儿那集都有事情看不上。。            
(5星)	 偶尔哼哼的小调竟然是猪八戒在高老庄那一段的伴奏，里面什么台词什么动作咱是一清二楚，不过重播的话，咱还是抱着电视再看！！一定！            
(5星)	 每年7月份都会自觉地再看一遍            
(5星)	 收视率最高的电视剧             
(4星)	 百看不厌。电视台也百放不厌。            
(5星)	 搁现在看还是很爱！            
(5星)	 《渴望》剧组成员曾说：“在《渴望》之前，排电视的时候是不考虑好看不好看的；所以我们这次想排一部好看的，能火的电视剧。”            
(NA)	 看的断断续续的,还真不知道是不是全给看下来了,这次某电视台又在放,看了眼,一看就乐了,唐僧一遇到妖怪就呼唤悟空,还拽悟空的手,最内啥的,还非得给一特写= =            
(5星)	 三打白骨精之后，唐三藏要赶走悟空....那一段，哭的惨兮兮的。            
(NA)	 每年暑假的必温            
(5星)	 为什么给五颗星？ 看看其他版本的就知道为什么了            
(5星)	 嗯，电视剧还是老的好            
(4星)	 好。好。好。            
(5星)	 这大概是仅有的每年都能看到的电视剧吧            
(5星)	 小学时代每个假期的必看剧，看了首播看重播            
(4星)	 不知道看了多少遍。            
(3星)	 不可否认这是经典，但仔细想想，我确实不太喜欢这版本。            
(5星)	 御弟哥哥～            
(NA)	 主要是某人念及某人时 居然还能感动起来，不简单，不简单，            
(NA)	 黑白电视，集体观看            
(5星)	 经典！            
(5星)	 伟大。            
(3星)	 ★★★☆ 片子很老，所以看着特技什么的都挺好笑，但演得还是挺经典的呀。            
(NA)	 回忆            
(5星)	 没得说            
(5星)	 这几天央视还在放呢，我还陪我小外甥看了会儿            
(5星)	 一部好的电视剧应该是这样的。            
(5星)	 基本上无可超越……            
(3星)	 坚信书更经典。            
(4星)	 每个假期都在重播……            
(5星)	 难为豆瓣一直推荐啊推荐。。。但的确是经典中的经典～            
(NA)	 经典中的经典 百看不厌            
(3星)	 躲都躲不开的节目～            
(5星)	 呔！             
(NA)	 到现在电视里演 我还是会看上一会儿呢            
(NA)	 嘿嘿~~~            
(5星)	 还是这个版本最好            
(5星)	 最好的一部。             
(3星)	 想给四星的，但是无奈看重播的时候被小时候那残缺的审美给震了。            
(NA)	 无聊乱看．．            
(5星)	 电视上总播啊！            
(NA)	 难道有人没看过么?            
(5星)	 老式猴戏的绝唱，各种好，只惜主题偏离。女儿国王那段情很感慨。            
(4星)	 马德华 赵丽蓉 李玲玉 囧。。            
(5星)	 从小到大，百看不厌，无可取代的经典。            
(5星)	 魔幻            
(5星)	 越看越无聊            
(5星)	 必看经典            
(5星)	 盖世英雄。            
(5星)	 这还有什么好说的吗 早在我读幼儿园的时候 就已经开始看厚厚的原著了 而且是纯文字的 绝对不是小画书哦！ 以至于到现在我只要看到任意一个镜头1分钟 就可以马上回答你这是在讲哪个故事 挖哈哈 屡试不爽            
(4星)	 我小时候喜欢的。            
(5星)	 小时候很喜欢这些            
(4星)	 最喜欢车迟国那一集             
(4星)	 小时候非常喜欢 长大了当然就还好            
(4星)	 经典啊经典，第二部简直就是狗尾续貂。            
(3星)	 多而生厌            
(5星)	 真美！            
(NA)	 记忆中每个暑假都放一遍，无论看过多少遍都会再看。            
(4星)	 BC            
(5星)	 居然忘了添加这个~            
(5星)	 面对六小龄童，谁翻拍，谁倒霉            
(5星)	 我的童年伴侣            
(5星)	 画画的时候看，真是太美好了！            
(5星)	 过。            
(NA)	 唐僧又傻×又磨叽             
(5星)	 童年深深的记忆 百看不厌            
(5星)	 就不能给六星吗?            
(5星)	 音乐太电了            
(4星)	 你挑着担，我牵着马····总是那些片尾片头，让多年后的我唏嘘不已            
(3星)	 唐僧是性冷淡还是性无能 这是一个问题            
(NA)	  nnn遍            
(5星)	 看过无数遍也能看进去的不老传说            
(5星)	 的丢丢丢丢~~~蹬蹬蹬蹬~蹬蹬蹬蹬~~~~            
(5星)	 完美嘛            
(5星)	 = = 豆瓣啊.... 非要我勾掉才算完么....            
(3星)	 我咋对这个就是不感冒呢……            
(NA)	 别再给我推荐了神经病            
(5星)	 以前看觉得很傻，现在觉得真是棒啊！            
(4星)	 暑期必备            
(4星)	 到現在都還在看呢！ 太經典了！            
(NA)	 你咦~挑嗷~着担~~~~~我哦~牵着马~~~~~分明是八戒唱给沙和尚的            
(5星)	 又一部伴隨我童年的。。。            
(5星)	 口唇期的替补产品            
(4星)	 那时候百看不厌            
(5星)	 经典！            
(4星)	 小时候的最爱……之一            
(5星)	 不说什么了，太经典了。            
(4星)	 情节都可以到背了 虽然现在看来有点幼稚 但是经典就是经典            
(5星)	 经典呢。            
(5星)	 百遍不厌的故事            
(5星)	 555太好看了太基情了55555            
(NA)	 小时候总在想无花果是多么的好吃~更何况唐僧呢~            
(5星)	 好好讲故事，认真讲故事，怎能不爱看呢？            
(5星)	 喜欢得不得了。。            
(5星)	 经典无需多言            
(4星)	 妈呀，都看过几百遍了            
(5星)	 哎哟喂……            
(5星)	 经典吼~~            
(5星)	 童年时光……            
(NA)	 当年煽情的部分，我还看哭了。            
(5星)	 呵呵，小时候的最爱！            
(NA)	 到现在也对这部名著不感冒，或许它才是最深刻地？            
(5星)	 童年的美好记忆呵。            
(5星)	 每年暑假必放的电视剧，            
(1星)	 我小时候极讨厌 因为我是外貌协会            
(5星)	 看了无数遍吧            
(4星)	 豆瓣给我推荐的第一个居然是这个...            
(5星)	 经典就是经典 任凭现在特效再好 也无法超越原来的经典            
(5星)	 经典啊            
(4星)	 百看不厌，每次看都有新的收获。在80年代能拍出这样的效果，实在令人佩服，叫人称赞。是古装戏的巅峰作品，没有别的能代替和超越。无论是景色，角色，服装，道具，剧情结构，都是一次典范。            
(5星)	 续集在我眼里就是一坨大便！            
(4星)	 儿时的最爱            
(5星)	 80后的童年            
(5星)	 百看不厌            
(NA)	 谁没看过            
(5星)	 以前每个暑假都会看            
(3星)	 他演得不错，但没必要去批评其他跟他不一样的孙悟空。            
(NA)	 每个暑假看三遍。            
(NA)	 我爱孙悟空 最爱最爱最爱最爱.....            
(5星)	 呵呵,这个不会有人没看过吧            
(4星)	 国产当年的经典，支持一下，虽然现在看来特技很2            
(4星)	 小学时的最爱            
(5星)	 多说累赘的童年经典。            
(3星)	 好像到现在还是每个暑假都会放.            
(5星)	 这个看了不止一遍。            
(4星)	 比较贴近书本的创作，但永远难以超越原作。            
(5星)	 年年重播，看到就转台。            
(5星)	 看在他是经典的份上。。            
(5星)	 经典！！！            
(4星)	 重播n＋1次，有点厌倦，喜欢开头不喜欢结尾。            
(5星)	 嘿嘿            
(4星)	 经典中的经典            
(5星)	 以前看过的            
(4星)	 续集基本没看……            
(5星)	 经典的电视剧            
(3星)	 从没觉得有多经典！            
(5星)	 无法评论，太经典。除了特技因为科技水平限制略粗糙了点。但是突破是相当多的。            
(NA)	 中国人应该都看过吧…唐僧可以换很多次，孙悟空永远只有这一个！            
(5星)	 神囧 神CULT            
(5星)	 最经典的西游记            
(5星)	 经典            
(4星)	 当年的欢乐            
(5星)	 不解释            
(4星)	 一星给片头神一样的剪辑和配乐            
(5星)	 每次电视播放  总会看啊啊啊            
(5星)	 经典            
(5星)	 其实这么多年我一直没看到孙悟空从石头里蹦出来那一场戏，三打白骨精倒是看到了一遍又一遍。。。            
(5星)	 惊为天作，永恒经典。            
(3星)	 其实我不是很爱看~电视开着没事做随便看看的！小时候=。=            
(5星)	 我们心目中最经典的。            
(5星)	 超经典。演员都很有气场，对比现在，唉            
(5星)	 中国大陆重播次数最多的电视剧。            
(5星)	 史上最好看电视剧,没有之一            
(5星)	 太好看了........            
(5星)	 以后也可以放给我孩子看……            
(5星)	 就看着，不说话。            
(5星)	 谁能告诉我为什么主演有曾轶可            
(5星)	 必须给力。。。            
(4星)	 当年的央视还TM半夜才放 二死了            
(5星)	 这个海报是怎么回事（怎么看也应该用师徒4人的比较合适吧）……http://bilibili.us/video/av44488/            
(5星)	 無數次的看            
(5星)	 不看也不行吧~            
(5星)	 小娘子~~~嘛呢？？            
(5星)	 情味足            
(NA)	 祸害百姓的妖怪上边都是有大人物照着的，解决问题还要靠人际            
(2星)	 表演做作。特效令人无法接受～            
(5星)	 片头曲非常非常的牛逼            
(2星)	 老版西游表演实在太好了，但改了原著本意，使其意义肤浅许多。等看了原著后，发现这和原著讲的本不是一件事，那也就算不上名著了。希望今生有机会可以见到忠于原著意义，但又表演到位的版本。            
(5星)	 百看不厌            
(5星)	 还能在经典些么？            
(5星)	 经典~童年~            
(5星)	 六小龄童无人可比！            
(5星)	 因为小时候看西游记的关系，对长得像猴子的男银很有好感            
(5星)	 靠这个过暑假            
(5星)	 观音真得很观音            
(5星)	 谁说改编的最好的是红楼梦……            
(4星)	 其实真的觉得是四大里拍的最不耐看的一部呢……偏偏每次地方台重播的最多的就是它            
(5星)	 这个版本是比较经典了，特别是六小龄童~            
(4星)	 年年重播啊年年重播。。            
(NA)	 86年！            
(5星)	 暑假来了！！！！猴哥看起来哟演起来哟！！！！大喜来收妖了喂来喊师傅了喂！！！！            
(3星)	 严重的脱离了文本原著！            
(4星)	 童年。★★★★☆            
(5星)	 n遍            
(5星)	 百看不厌！！！            
(5星)	 百看不厌            
(5星)	 每年暑假都会放，看啊看啊，看到这么大了，哎呀，真是回忆呢            
(5星)	 无数次。            
(5星)	 回忆无限美。            
(3星)	 小时候天天看啊。            
(5星)	 无法超越的经典            
(4星)	 谁没看过央视一套以前天天播            
(3星)	 这片拍了20多年后，现在电视台还在播呢            
(4星)	 原来只有25集            
(5星)	 经典！            
(3星)	 央视剧最经典，没有之一            
(3星)	 特技太差了，该重拍了            
(4星)	 真的有必要在每个寒假 暑假都播吗？            
(4星)	 陪伴了我无数个暑假            
(5星)	 没啥说的            
(5星)	 啊哈~            
(4星)	 相信每个走过幼年的人都爱看的片吧，因为是正片，大人们都不介意我们看看，要知道，小时候看电视的时候完全由爸妈决定的            
(5星)	 童年的回忆.            
(5星)	 童年印象            
(5星)	 小时候多喜欢的。。            
(3星)	 不想捂着良心说它好            
(5星)	 经典无法超越！            
(NA)	 经典            
(5星)	 无法磨灭的经典纪念!            
(NA)	 各个台反复的播...            
(3星)	 儿时的回忆吧            
(5星)	 小时候最爱看            
(5星)	 爷爷奶奶还是很爱看~             
(5星)	 这个应该是每个小学生必看的。            
(5星)	 看了无数遍了。。。            
(4星)	 当年的暑假CCAV反复的放……            
(3星)	 小学的时候看的            
(5星)	 没看过的不是中国人~~~            
(NA)	 ccav-8重放就跟着又看了遍。五百年五行山下，无字真经。又跟儿时的气味缠绕在一起，就有种莫名的穿越感=.=            
(5星)	 居然从来没有看厌过            
(5星)	 多么经典啊！            
(5星)	 童年的经典回忆啊。            
(5星)	 西游～～～            
(3星)	 童年美好回忆啊            
(5星)	 隔几年就看一次。。            
(5星)	 四大名著            
(4星)	 童年啊童年            
(5星)	 看了无数次，今天还在看。            
(4星)	 小时候还是很喜欢的~            
(5星)	 最好的童年回忆～            
(5星)	 虽然特技现在看来差了点，但故事和演员都挺好            
(5星)	 怀念逝去的人和事            
(5星)	 童年的回忆            
(5星)	 这注定了将是最经典的版本。就像朱总老爱教训人的一句：“重要的不是器材，手机也能拍出好照片！”一样，那时的设备再怎么落后，都无法掩盖住导演、演员内在的才华。            
(4星)	 (*^__^*) 嘻嘻…… 難道這個會有人沒看過嚒？            
(5星)	 看了n遍~毫不犹豫的给了5星            
(NA)	 谁都看过！            
(5星)	 谁没看过呀             
(5星)	 我的童年就是西游记和我爱我家            
(5星)	 看了N遍永不腻            
(4星)	 暑假时光。            
(4星)	 经典都不足以形容了            
(5星)	 小时候每放一遍我看一遍            
(4星)	 中国古典浪漫神话故事。            
(NA)	 谁没看过。。。            
(4星)	 除去极其山寨的特效之外，其他真不错！            
(4星)	 那个时候天天看            
(5星)	 不解释            
(NA)	 这个不用评价了 不看也得看的东西            
(4星)	 又在CCAV看到了，真JB经典啊，特别是特效啊今日看来真逗。            
(5星)	 只要电视上放我换台的时候就一定会停下来看            
(5星)	 看了N遍....现在电视放还会看            
(3星)	 小时候看的六小龄童真神奇。怎么看都不像一个人。=v=现在都老了，哎~            
(5星)	 有些经典是无法超越的            
(4星)	 百看不厌            
(5星)	 同一部电视，同一个梦想。            
(5星)	 补注。            
(4星)	 每年暑假都能看到            
(NA)	 这个绝对是经典 看过几十遍那也不是瞎说的哈哈            
(5星)	 呵呵，年年暑假都看，多少年了都            
(5星)	 看过了101遍，101遍！            
(NA)	 一直在播,一直在看            
(5星)	 这部戏已经不需要任何说明了            
(5星)	 有谁米看过咩...寒暑假必播的神作...囧rz            
(5星)	 儿时记忆的美好，也证见了童年的记忆。            
(5星)	 最经典的就是这个版本，我几乎已经完全会背了，但是还是一直反复看也不会腻，喜欢得不得了。最喜欢天竺收玉兔那一集，妈妈最喜欢的是盘丝洞的那一集。觉得以前那个年代美女好多啊，西游记里面所有女人都很美，除了铁扇公主和女儿国里的蝎子精稍次一些。嘿嘿。            
(5星)	 赞！            
(5星)	 六小龄童帅爆了! ps.爷爷最爱.            
(5星)	 童年的回忆。            
(5星)	 永恒经典            
(4星)	 还是要推荐的，伴随童年走过的电视剧            
(4星)	 childhood            
(5星)	 想我当初看了多少遍啊~~            
(5星)	 在记忆中看的第一部电视剧~~            
(5星)	 我外公是追看~~~一直            
(NA)	 看在我们师徒几个的份上收藏一下            
(5星)	 我百看不厌。            
(5星)	 中国大陆            
(5星)	 经典            
(5星)	 这个怎能没看过呢？又在重播了！            
(5星)	 谁没看过谁没看过。。。举手！！！            
(4星)	 应该算作中国的长篇史诗。            
(NA)	 本来是挺喜欢的，据说小时候妈妈还抱着我和家人们一起看点十，就知道偷看《西游记》了。。。。不过再好也不能一年三百六十五天都有电视台播吧。。。。疲儿了            
(5星)	 小时候的最爱            
(5星)	 老版真是经典啊            
(5星)	 永远是这部最最百看不厌...            
(5星)	 奶奶最喜欢看的一部电视剧，一看到孙悟空她就会笑。所以直到现在我的手机铃声还是西游记的主题歌            
(5星)	 每次都会很投入的看~            
(5星)	 每年暑假看一遍            
(4星)	 [昔日所看] 经典。            
(5星)	 分只是给第一部            
(4星)	 谁能说不经典呢。            
(4星)	 人物塑造不錯不過我不喜歡佛            
(4星)	 经典挖！            
(5星)	 那时候晒稻谷，我们兄弟姐妹几人轮流去远处的谷场翻晒谷子，每一个都是顶着烈日用最快的速度往返家中，用最潦草的方式翻稻谷。现在还有用五年做一部电视剧的吗？这是很有味道的一部电视剧啊，表演很成功很生动，从此我知道了有一种表演叫真诚。86版《西游记》 拍摄时间：1982年—1999年 拍摄进度：1982年—1985年拍完前十一集，于1984年2月3日播出了《计收猪八戒》、《三打白骨精》两集，1986年春节期间播出前十一集。1988年2月1日起，前25集全部播出，1998年7月开始拍摄补拍的            
(NA)	 看的最多遍的影视作品，算珍贵吧。            
(5星)	 今日欢呼孙大圣            
(5星)	 基本重复的看了超过10次。。。剧情都能背出来了。。。80后们的经典集体回忆            
(5星)	 一年365，西游记重播日日有……            
(5星)	 说啥啊，从小就看的            
(5星)	 每个假期必放的..虽然拍摄技术有限..但也是个经典！无法被超越！            
(5星)	 西游记只有一部。            
(5星)	 百看不厌            
(3星)	 唐僧叔叔是美男.            
(5星)	 CG技术不行，但是演员各个都很赞！            
(5星)	 这个就不说了，超经典。            
(NA)	 中国人都看过把            
(5星)	 大爱经典。            
(NA)	 电视台没播的就播这个。。。我没看的了就看这个。。。            
(5星)	 陆续看了15遍            
(5星)	 还是旧版好看            
(5星)	 不能再经典了！            
(NA)	 每年暑假都放，看了不知N遍。            
(3星)	 80后不可能没看过            
(4星)	 奶奶喜欢看。所以多少遍。我都陪她看。现在也是。            
(5星)	 台经典了，不知道张纪中那人又要怎样糟蹋一部经典            
(NA)	 到底有多少季没看到？            
(5星)	 哎呀，经典            
(4星)	 =.=            
(5星)	 六小灵童            
(3星)	 啥也不说了,小时的期望            
(NA)	 册呢，这个是经典。            
(5星)	 谁没看过啊  小时候迷死了            
(4星)	 童年不知陪姥爺看了多少次            
(3星)	 那时候的特技就不说了            
(NA)	 据说拍了１８年，中国的经典电视剧，每年都放            
(3星)	 游佛·神·妖世界，原来神话近在咫尺！            
(5星)	 再加一万个星            
(5星)	 也太经典了            
(NA)	 西游记            
(3星)	 不说什么了            
(4星)	 童年经典            
(4星)	 百看不厌            
(5星)	 重播无数次            
(NA)	 谁会没看过?            
(4星)	 经典啊,同志们!            
(5星)	 西游            
(5星)	 不知道火了多少年~            
(5星)	 這部西遊記深入人心，小時候經常看            
(3星)	 确实挺“古老”的～～某男某个暑假都会看一次～～            
(5星)	 无理由            
(5星)	 经典            
(NA)	 小学时很爱看。虽然四大名著中对西游记是最缺乏兴趣的。不过六小龄童真的是演得很好            
(5星)	 台词都能背了……            
(4星)	 每个假期必看！            
(4星)	 我小外甥女超喜欢看的~ 因这老跟我强遥控器 她才5岁             
(4星)	 每年暑假必放，不知道现在还是不是，因为我已经没有暑假了。            
(4星)	 幼稚園,當時的流行,現在的經典!            
(5星)	 现在电视台还在播放            
(5星)	 新的是狗屎，奶奶每年必看            
(5星)	 新版西游记的上映越发地衬出老版的经典！            
(5星)	 现在回头看，里边全是美女丫！            
(NA)	 敢问路在何方。            
(5星)	 寒暑假必播剧啊频繁到都快《寒（暑）假之友》一样成标签了。现在看来吐槽点众多可放在当时确实堪称完美。各种腐，还有一个赛一个漂亮的女施主女妖精，86年全中国的漂亮姑娘全都去《西游记》剧组了吧。            
(4星)	 童年经典            
(5星)	 哈哈～今天在重温！还是这部最经典！只看过这部！            
(5星)	 这个绝对看过的，哈哈哈哈~~~~~~~            
(5星)	 童年.            
(5星)	 http://v.youku.com/v_show/id_XMzM5NDg4Mjc2.html            
(5星)	 超棒好么 那一年又一年的暑假啊 我就靠它和白娘子过活了！！！！            
(5星)	 从小时候看到现在，，每年暑假寒假电视上都演，可是我就是没看全过            
(5星)	 小时候真是觉得好看死了            
(4星)	 其实看过原著，才知这不是一部神话小说。            
(5星)	 居然是9.1，还以为会是10。。            
(5星)	 童年啊！还有 谁把曾轶可放到主演名单里的··············            
(5星)	 看过无数次了，主题曲还会背啊            
(5星)	 暑假到了的标志之一            
(NA)	 童年..            
(5星)	 为什么老版的四大名著的封皮要是这种古董级别的老照片色调？ 好吧，西游记是看了无数遍的，所以要比其他三部多一颗心~            
(1星)	 佛家把中国国教道教搞残废自己也像煞笔一样被取代            
(5星)	 原来只有25集哪，为什么我却看了十年寒暑            
(4星)	 每年暑假必看            
(5星)	 暑假 凉席 西游记            
(5星)	 儿时的记忆            
(4星)	 不知道怎么说，CCAV一年放几次，我好像从来没从头到尾一气看完过。            
(5星)	 童年回憶。            
(5星)	 ╮(╯▽╰)╭凭毛这剧才9.1啊凭毛啊！！！0.2%打一星？！你们是瞎了呢还是瞎了呢~&gt;_&lt;            
(5星)	 除了六小龄童，别人演的猴哥都不算猴哥！            
(NA)	 当年看真假孙悟空，唐僧赶走孙猴子那集，看哭了            
(4星)	 haha~~            
(4星)	 六小龄童！            
(5星)	 老少咸宜 哲理丰富            
(5星)	 永远的经典~~~            
(NA)	 以前就是看这些长大的。            
(5星)	 神作没有之一！！！！            
(5星)	 比新的好多了！！            
(5星)	 西游记这部电视剧在我心中的地位是其他电视剧永远无法超越的, 尽管现在看来特效很拙劣, 但是, 任何缺陷在六小龄童饰演的孙悟空面前都不算什么了...            
(5星)	 悟空好帅的！            
(5星)	 本尊在此，谁敢造次！！！            
(3星)	 除了童年回忆真就没剩下啥了            
(5星)	 童年记忆            
(5星)	 没看过的没童年吧!            
(NA)	 好好看&lt;(￣ˇ￣)/            
(5星)	 效果居然和82年的侠客行有点像。。。            
(4星)	 童年的回忆，从我10岁到20岁，每年假期的卫视频道都在播。            
(5星)	 哈哈哈，怎么忘了你！            
(5星)	 现在想来是cult类。各大地方电视台重播中~            
(5星)	 不下看3遍！！！！！！！！！！            
(5星)	 那个奋进的岁月，总有唯美的记忆。            
(5星)	 1986年首播……            
(5星)	 童年时的大爱，看了一遍又一遍            
(5星)	 心目中永远的经典啊！            
(NA)	 小时候看过的             
(NA)	 很多很多遍            
(NA)	 噗～片头曲那个，咚咚咚……            
(5星)	 陪伴了我整个童年。。。。。            
(5星)	 太好看了            
(5星)	 大家都给高分的大部分原因是舍不得童年的回忆啊……            
(5星)	 这个必须给5星            
(5星)	 无比经典            
(5星)	 看过不少于30遍            
(5星)	 难以忘怀 现在看 仍然经典            
(5星)	 最童年的记忆。            
(5星)	 要说什么是经典？这就是经典。有哪几个人没看过，恐怕没有吧            
(5星)	 太经典了。。儿时那个夏天呀，令人难忘。最近刚读完《西游记》，这部电视剧和原著神似。            
(5星)	 没啥好说的鸟            
(5星)	 我靠 完全可以超5星级 有没有？？？从小轰炸一直到盒子里。            
(1星)	 无数遍的重播。            
(5星)	 我咋没标记啊！这么经典滴！            
(4星)	 这还用说嘛~重播n次也照样看了n次的经典剧目= =            
(4星)	 每次放假就有重播……            
(5星)	 上世纪90年代的经典            
(NA)	 看过无数遍            
(4星)	 六小龄童好帅！            
(NA)	 猴哥！师傅快得羊角疯了~            
(5星)	 以前很喜欢 年年暑假播的我乏了~            
(5星)	 貌似我看啦快20多遍了(￣▽￣&#34;)             
(5星)	 太可以了，爱赵丽蓉，高老庄以及盘丝洞那几集            
(5星)	 暑假必播剧。            
(5星)	 居然只有25集            
(5星)	 没人比六小龄童更像猴哥了~            
(5星)	 敢不敢不重播了？            
(3星)	 一直不太喜欢看            
(NA)	 毛脸雷公嘴的和尚            
(5星)	None
(5星)	 六小龄童，我从小就佩服你了~妈妈别~真的吊，我真的觉得一个没有前辈可以去有个参照的人，把孙悟空的形象塑造的这么好真他妈是开了个好头啊！！各种形象都是各种深入人心啊！！！不知道这算不算一种先入为主~            
(5星)	 经典！            
(5星)	 绝对的经典，每放必看……            
(5星)	 最经典，不可超越            
(NA)	 …            
(4星)	 靠谁没看过            
(3星)	 每年都放……            
(5星)	 经典中的经典中的经典中的经典            
(5星)	 看过不少遍了吧，现在电视里放还会看的。            
(4星)	 最喜欢虐悟空            
(5星)	 六小龄童            
(4星)	 每年暑假！            
(4星)	 小时候的爱恨情仇……小学汇报表演的时候弹的就是《敢问路在何方》            
(5星)	 你才是傲娇你全家都是傲娇！！            
(5星)	 猴哥            
(5星)	 戏曲范儿，经典            
