http://movie.douban.com/subject/2259843/	皇太子秘史
(4星)	 赵鸿飞和胡静在里面演得太nice了，就是冲他们的感情戏去的，赵鸿飞演得四阿哥真赞，其实我都不看清装片的，可这部冲着他我愣是看完了！胡静演得是很不错啦，不过这部戏里她很显胖/_\            
(2星)	 这个剧杯具了。            
(5星)	 五颗星，全部给赵鸿飞的表演，你晓得的            
(5星)	 雍正！！            
(4星)	 教主相当的极其的让我倒胃口            
(5星)	 偶不论皇太子，偶只想说，赵鸿飞的四阿哥胤禛，太出彩了，目前为止，除了雍正王朝，这个版本的胤禛可谓是我心中完美四阿哥形象~            
(2星)	 咆哮帝那个时候还不是很咆哮嘛！一般性，宫闱秘史看多了都一样。@Home            
(3星)	 四阿哥演得还是不错滴~            
(4星)	 为里面的老四打四颗星。。。与其他雷人雷剧情无关。。。可惜他不能去演步步惊心。。。            
(5星)	 曾经最爱的一部电视剧，为那份父子之情而唏嘘不已。            
(3星)	 皇太子秘史一般啦。 还是孝庄秘史好看            
(5星)	 射正王，适合去中国队            
(5星)	 为了赵鸿飞的四爷，给五星！            
(2星)	 为了赵鸿飞看的 马景涛让我吐血            
(4星)	 我爱四爷            
(3星)	 我以为是雍正王朝的家庭生活版……            
(NA)	 谁晓得我其实有时也爱看豆腐剧            
(1星)	 这本来就是个悲情人物。            
(4星)	 有帅哥美女的古装剧            
(4星)	 还是为了赵鸿飞去看的。这剧本真吐血。            
(3星)	 拍死编剧~~我是正宗的清穿迷~~            
(4星)	 胤礽走出城门的那会儿特心酸。。            
(4星)	 绝对是为了鸿飞帅锅哇            
(3星)	 马大教主的咆哮功力果然非同凡响，不明白了很多p大点事儿用得着那么那么歇斯底里的亢奋么？！很多事情都是被他嚷嚷闹大的吧！更让人跌破眼镜的是小白女主，无时不刻不费尽吃奶的力气散发圣母光辉，打着爱的旗号害了多少冤大头，还喜欢端着大彻大悟样来一句“乃们不懂，介是爱！”oh,NO!!!!!            
(3星)	 四阿哥啊~            
(3星)	 赵鸿飞的四爷在我心中已然超过了何鼻孔，赵鸿飞好帅啊/以前挺不DJ戴娇倩的，但是发现她动态还蛮不错的。。。剧情神马的跟史实有很多不合，不过没关系，我只是去围观赵鸿飞的            
(3星)	 为了看赵鸿飞……            
(NA)	 秘史系列俺都看过的。            
(3星)	 其实最好的还是第一部太后秘史            
(3星)	 看这种片 要历史没历史 要什么基本没什么            
(3星)	 这剧唯一的贡献就是我认为最帅的少年雍正了－赵鸿飞，他的清朝剧造型那是相当的帅气，英气十足，以至于他其他时代的剧的造型我都不待见            
(3星)	 我是那个懂得你万丈雄心的女人。            
(NA)	 咋说呢，还是孝庄秘史好啊            
(2星)	 因为戴娇倩去看，中途却爱惨了胡静和赵鸿飞的角色CP            
(NA)	 跟着我妈看的。             
(5星)	 当时被感动，超级            
(3星)	 很讨厌所有婆婆妈妈自以为深情的男人……所以很欣赏四阿哥，一直都是四阿哥党~~            
(4星)	 这四星是给四四的            
(2星)	 无映像剧            
(NA)	 戴娇倩            
(NA)	 四爷啊~~~            
(5星)	 这一个系列的  都 好好            
(NA)	 景涛！！！            
(3星)	 喜欢四阿哥和紫瑛。            
(2星)	 历史就这样被戏弄            
(3星)	 这是我完整地看下来的秘史系列第二部还成吧，片头片尾曲赞没什么特喜欢的人物            
(NA)	 3.5            
(3星)	 纯粹是奔四四去的~            
(NA)	 马....            
(3星)	 一颗星给四阿哥，一颗星给紫莺，还有一颗给结局。            
(1星)	 看过两集，看不下去，表示戴姓女性说话时候那个装13的样子真是恶心到呕血            
(3星)	 对四爷和隆科多很满意.....            
(4星)	 为什么这么多年来我还是这么固执地喜欢这部戏里面的胤禛，这么喜欢胤禛和紫瑛的这段感情呢~~~            
(4星)	 怀旧唉。。。。典型腹黑加闷骚型滴老四            
(3星)	 我现在都想不通，为啥秘史系列的时候觉得咆哮马超级帅，超级有型啊。咆哮马肯定恨死天涯了，呵呵。            
(3星)	 和孝庄秘史差远了            
(2星)	 唯一让我眼前一亮的只有舒畅~~            
(4星)	 为了赵鸿飞，我也得给四星。            
(3星)	 没有孝庄秘史好看，但是里面赵鸿飞的老四很有魅力，可惜他与紫瑛的一段情……            
(4星)	 可怜你我，生在帝王家。            
(4星)	 凯哥演的康熙不错，咆哮教主扮相也是很不错的，只是台词让我浑身发冷。女眷的表现也是不错的，比如云儿，太子妃。只是很讨厌德妃和明珠一口一个奴才，说自己只是皇帝身边的一条狗。额。。。            
(4星)	 看点都在胤禛和紫瑛身上。。。            
(3星)	 果然只能看剪辑版。。。不过台词还是很雷啊啊啊啊。。。。赵鸿飞感觉不错~~            
(4星)	 除了雍正和紫瑛的那段，其他自动跳过。            
(3星)	 记得 有段时间一直在秘史中转            
(4星)	 这个系列的都很壮观            
(3星)	 反正看完后大爱雍正，大爱赵鸿飞啊！！！！            
(NA)	 上班时的消遣。。o(╯□╰)o。。还是弃了。。-  -            
(4星)	 忘了，就马景涛吧。其实，喜欢苏沫儿演的女刺客，她的白发姐姐忘名儿了            
(4星)	 不太靠谱的电视剧，尤其受不了马景涛。但是紫瑛和胤禛，一见难忘。倔强的女子，胸怀天下的男子，悲伤却注定的结局。爱死紫瑛~            
(NA)	 四爷啊~~~我爱死我们家四爷和紫瑛了~~~~！！！！被这对冤家虐了有差不多六年了~~~~            
(3星)	 焦晃爷爷慈祥多了，在对比的力量之下深刻的指导下数字军团中四爷的真实可爱，八爷的愣头青，二爷的上帝一样的博爱他与世人同在普度众生。深深的呼唤一句十三爷您在何方？            
(2星)	 与正史相去太远，居然只字未提十三！赵鸿飞演的胤禛太合我心中四四的形象。只是为什么要把胤禛描写得这么心狠手辣、冷血无情？！四四心中也有爱的！            
(2星)	 雷也不带这样雷成这样的~~（咬手绢）            
(5星)	 很喜欢赵鸿飞的胤禛，里面的胤紫恋很感人            
(3星)	 赵鸿飞演的不错            
(3星)	 对剧本身不太有兴趣……大概是兴趣点转移了囧RZ            
(NA)	 四四啊~~            
(3星)	 喜欢赵鸿飞演的雍正！            
(5星)	 三部秘史系列最喜欢的一部            
(NA)	 马景涛            
(3星)	 三星给赵鸿飞            
(3星)	 这些四爷里，还是赵鸿飞这版最接近            
