http://movie.douban.com/subject/4011034/	大女当嫁
(5星)	 我很感动 真的 我觉得能一部能进到内心的剧就是一部好剧让我感受到了人的真实性 特别是后面几集 赚够了我的眼泪啊生活 就是这样            
(4星)	 很高兴看见最后她和程闯一起了。。最近很萌宋佳，喜欢她的淡定！            
(4星)	 为了这个人，我愿意一直等下去。很幸福，很幸福            
(4星)	 大龄女青年寻了一圈，最后是个异地恋。挺实在的片子，ZZ你也看下吧，哈哈            
(5星)	 演员都很棒啊，小宋佳演技真好。奶奶好可爱~~~            
(5星)	 和老婆话了3个晚上看完，上班哈欠连天。宋佳的演绎很到位，几个男角类型都很到位，过程起起落落，剧情对白也很有意思，值得一看。提出不满意的地方：1.张耀扬和姜大雁的结尾很仓促，尤其是张耀扬心理的变化不到位。2.和陈闯的感情戏比较淡化，过多加入大雁的“宫颈癌”。虽喜剧但是仓促。            
(5星)	 老奶奶怎么说死就死了呢。            
(4星)	 “从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”             
(4星)	 喜欢这个电视剧的音乐，说话的洒脱劲儿~~            
(4星)	 宋佳给人的感觉很舒服            
(4星)	 宋佳在这片子里演得真是精准到位，喜感十足。好久没看到的于小伟又出来演戏了。不错不错。很轻松很搞笑。            
(5星)	 喜欢小宋佳，充分体现出了现在的剩女的境况            
(4星)	 小宋佳真挺逗的            
(4星)	 挺实在的戏，特别是大志            
(5星)	 向姜大雁学习！ 凭什么将就某个混蛋！            
(5星)	 这片应该拍成电影 还找小宋佳演            
(4星)	 从后面几集开始看的，小宋佳、于小伟演的都不错，现在这个题材太热了~~~            
(5星)	 小宋佳让人亲切的表演，令我着迷， 喜欢她大笑，喜欢她大哭，更喜欢她发火的样子，尤其喜欢她戴眼镜大造型            
(4星)	 看出了挺多的乐子，尤其是广播征婚，电话转移的那段~结尾感觉有点草率，为什么就选择了这个校长了呢~            
(4星)	 小宋佳，粉不错~~            
(5星)	 就是喜欢 很简单的感觉 就是要找个人来爱我 结婚 努力奋斗的日子  感觉自己不属于这里  只属于你 属于彼此            
(4星)	 我也是大女……碗底粥稠？            
(4星)	 特喜欢姜大雁这人。觉得自己跟她既像又不像的，呵呵呵呵~            
(5星)	 再不相爱，果然就老了……            
(5星)	 我看到奶奶去世那段，直接哭死了。            
(4星)	 奶奶去世时，我哭了。            
(5星)	 我喜欢的电视剧。很有看头。围绕一个33岁的女人尚未出嫁和家里人一起列的事情。挺高兴。里面的语录很经典。。“我是个法医，但是我看不懂活人的体检报告”当场笑喷了~            
(4星)	 完全的翻版，吓了一跳。            
(4星)	 看第一集的时候我就觉得像非诚勿扰，不停地见一个又一个的人，但这不电视剧还是与电影非诚勿扰不一样的。中间还参杂着家庭的众多因素，台词也比较搞，所以还是值得一看的            
(5星)	 喜欢，跟咱家一样···            
(4星)	 最喜欢那个爱吃甜食的奶奶，好可爱哟~~~            
(5星)	 找个有感觉的结婚真的很奢侈吗            
(5星)	 宋佳 好看！            
(4星)	 这简直就是利用了广告上的恐惧诉求。。。            
(4星)	 如果没有宋佳、刘德凯，估计我不会看。虽然是有点折腾，但现实就是这么回事。婚姻不是这么好对付的。            
(NA)	 N小姐的推荐。            
(4星)	 用了三天时间一口气看完了，感觉还不错。作为男的我挺喜欢大雁的，也许她那种才是我真正想要的。我会看这部戏的原因是我的EX GF说我极度像里边的张耀扬，我很好奇，结果看完之后觉得真的很像，甚至他跟大雁之间的某些对话就是我们以前争吵时的对话，那你们觉得张耀扬很差吗？起码他真的是很喜欢大雁啊            
(4星)	 女大当嫁！            
(5星)	 小宋佳，演技越来越好了            
(4星)	 喜欢小宋佳            
(4星)	 我就是真的不喜欢臭屁的周杰！            
(5星)	 剩女心态的淋漓展现，捧腹的喜剧情节和家庭关怀让人感动            
(4星)	 小宋佳真的是个好演员！原来我们一直不缺好演员，而是缺制片 导演和编剧还有整个团队！最后肖翊歌唱的片尾曲很好听，一看原来出自刘沁之手，真是才女啊！            
(4星)	 导向性的电视剧，好几次 被做作的演员和 台词，看出了眼泪。可能真的是需要比较容易让人看穿的东西来感动城市的钢筋水泥。            
(NA)	 片尾曲唱的我心痛            
(4星)	 一个人的家庭很重要啊，看看彭坦，再看看他那家庭，哭了啊，幸好大雁没有嫁给他啊。。这男人太恐怖了            
(3星)	 喜欢片尾曲的那声&#34;唉&#34;            
(4星)	 宋佳演的很不错！            
(NA)	 宋佳在片子里的风格就是我想要成为的样子。            
(4星)	 向姜大雁同志看齐~            
(4星)	 如果说真正的爱情是需要等待的，那我也会忘记年龄，等待下去，可是真的会有那样的爱情吗？            
(5星)	 好爱宋佳的表演，感动不已！            
(3星)	 “为啥男人四十不结婚还能当钻石王老五？女人一过三十就成剩女了？” 就是阿，为嘛            
(4星)	 不错，值得一看，宋佳的表演很自然。            
(4星)	 人物群像塑造丰满，台词相当生动，节奏很棒。            
(4星)	 小宋佳小宋佳~然后蛮喜欢里面的音乐~            
(NA)	 看到剧中奶奶离世，哭的难受            
(4星)	 小宋佳挺有意思的 大龄剩女跟见龙卸甲里头的小姑娘角色反差很大 演的都很有味道 这个题材……国产的电视剧比电影可贴近生活多了 难道电视的审查更加宽松一些？            
(4星)	 俗是俗了点，还是不错滴！片尾曲很好，哎，找个人来爱我            
(4星)	 我相信，那个对的人终会出现，所以之前的时光，我要好好过，我不将就某个人，我要好好过，因为我相信            
(5星)	 感觉就是在写自己，喜欢小宋佳，于小伟成熟男了，不再是小白脸            
(5星)	 &#34;到我这个年龄还谈感情也太奢侈了吧&#34;听到这句话时真悲凉,也真害怕......            
(4星)	 找個人......            
(4星)	 全剧都透着股轻松和幽默，虽然这是一个都市年轻人严肃的恋爱话题．虽然有点淡淡的忧伤，但语言很生活化很真实．小宋佳演得真的很好的！赞一个！自然不做作！感情没有年龄之分，女人，不论是什么时候都不能太草率地对待自己的爱情！            
(5星)	 在这个世界上，不会有人像爸爸妈妈那样爱你。其实像大雁这样的女孩子只是想要一个自己爱而又爱自己的另一半，需要的是信任和安全感，衷心希望她这次能幸福。            
(5星)	 小宋佳很有味道~~~~            
(4星)	 很能表现当今社会单身女性择偶中的种种问题，总要找到一个适合的才能在一起，不能为了结婚而结婚，那婚姻能幸福么？相知相守一辈子的确不容易，所以，剧中的大雁一直坚守着自己的信念，最后也找到了真爱。            
(5星)	 有笑有泪的家庭剧,很真实,可爱的一家人.小宋佳很痛快,演戏越来越好了.~            
(4星)	 大雁很老实，爱情很简单。最忘不了的是那位可爱的哈根达斯奶奶...            
(4星)	 我的宋小花儿~            
(4星)	 我很喜欢小宋佳            
(3星)	 找个人来爱我。。。和彭坦那段还不错后来那几个桥段就不靠谱了 没意思            
(4星)	 从十五岁起我就跟自己说，不能因为寂寞而和没感觉的人谈恋爱，为了这个，我一直等到现在，我不能现在才把自己给将就了，要不我前面遇见的人不是白错过了吗。我还可以继续等，大不了再等几年。没谈过恋爱而已，有什么大不了的。            
(5星)	 看来我还是喜欢稳重些的女性……            
(4星)	 小宋佳波波挺大的            
(4星)	 挺欢乐的剧阿             
(3星)	 我挺喜欢小宋佳的，虽然这是一部轻喜剧，里面的表演还是稍显夸张            
(3星)	 天啊我骚到这种片儿都看起来了            
(4星)	 找个人来爱我            
(4星)	 年轻真好            
(5星)	 别看一家人平时挺不着调的，可那感情都是实实在在的。            
(4星)	 奶奶。。。            
(3星)	 = =!危機意識            
(3星)	 很久没看电视剧，开头挺吸引，亲情氛围很好但是有的地方处理过犹不及，小宋佳演的失控状态挺假，癌症剧情更是画蛇添足，结局还不是和于小伟好了何必浪费那一年时间呢。电视剧就是电视剧呀。但是很喜欢奶奶呢，奶奶总要吃哈根达斯，，赤裸裸的广告啊，老年人哪有舍得花那冤枉钱的。            
(NA)	 很多台词不错  找个时间慢慢摘抄之 ，其中一个龅牙妹哭着跟女主说，医生说我可能要提前闭经。我不想闭经了还是个处女啊！！！！            
(4星)	 挺爱内陆的一拨电视剧。就实诚这点就够了。当然不排除一些戏剧性情节设置的硬伤，但硬生生划了个口子之后，看它洒什么药，只要药上得对上得好，这伤口总归是漂亮的。            
(NA)	 宋佳 萌            
(3星)	 还不错啊。那一家人挺喜感的。看的后面几集，挺狗血的。            
(3星)	 完全是冲着小宋佳看的 爱吃哈根达斯的奶奶也是亮点 但广告植入的也太没水平了 奶奶过世的时候都不忘把哈根提到病床上。            
(4星)	 我也心思重。            
(NA)	 喜歡這一大家子~感覺很好！            
(4星)	 生病期间只有电视看然后看的，不错，姜小芸很不错            
(4星)	 幸福啊~天天都在吃哈根达斯            
(5星)	 第三遍看時候還是看哭。我太能理解大雁了。。。。。。不知道是不是因為等待和準備的時間太久太長，於是會太難動心，但如果動心了，大概再難收回來了。真正一個人的生活也并不會太糟糕，畢竟其實，一個人不會孤單，心裡有想念的人才反添孤單。            
(3星)	 ★★★☆ 鼻孔周绝壁是演人面獸心衣冠禽獸的实力派!!            
(3星)	 片尾曲好听            
(5星)	 超级喜欢她妹姜晓芸~            
(4星)	 这于小伟演过谁啊，忒眼熟            
(4星)	 这剧集真的不错，跟爸妈一起看，很有感触。面对当前汹涌的剩女潮，找个人来爱我，竟变得如此奢侈。            
(4星)	 你妹~            
(4星)	 无意中翻台看到的，就觉得女主角有气场，原来是阳光同学特喜欢的小宋佳。|胜在故事和演员，在内地剧中算佳作了            
(4星)	 好看的很哦            
(3星)	 找个人来爱我....            
(4星)	 大院，大家庭，奶奶。。。后面有点蛇尾的意思哈，有点闹过头了，不过还算有趣儿。还有从头到尾的琼瑶式恋爱，看来阿姨还是有市场的。俩主角的品性千里挑一了好不好，太理想化。。。另小宋佳长得哈像杨采妮            
(4星)	 台州之行的一点美好            
(NA)	 满可爱的，对女主人翁这种大龄女性的心里揣摩我觉得挺到位的···很可爱            
(2星)	 讨厌 演技垃圾的人们            
(NA)	 若果能遇到大雁这样的剩女，我要。。。。            
(4星)	 好看～            
(4星)	 剧本不错            
(3星)	 我多爱那个有活力的小老太太。            
(4星)	 不久后的将来，我也会变成大剩女==            
(5星)	 喜剧的效果总是在杯具里发挥得更极致            
(NA)	 我喜歡這結尾曲            
(NA)	 看得我好欢乐！            
(5星)	 特别可爱            
(1星)	 編劇不怎麼樣  導演不怎麼樣 . 總之不怎麼樣 ..            
(5星)	 人物个性鲜明，剧情展开令人信服，电视语言的运用流畅，剪辑节奏明快，表演风格比较夸张怪诞，有喜剧效果，台词写的好，生活气息浓。主要演员表演都可圈可点，宋佳的服装也很有风格。近年来难得一见出色的肥皂剧！！！            
(NA)	 好久没跟麻麻一起看电视剧了            
(4星)	 你妈逼你结婚了么……            
(NA)	 编剧为了把剧情串起来 有的情节很勉强            
(NA)	 老妈每次电话都剧透,无奈地听着台词背书,发现还真是逗...            
(4星)	 编剧不错！演员不错！台词不错！音乐不错！剩女真是悲哀死~            
(4星)	 小宋佳~~~~~~~~~~~~~~~~~~~~~~~~~~            
(4星)	 对于婚姻来说，爱情果然是奢侈的吧？            
(5星)	 恩，我目前几乎差不多每天面对的就是我娘的不间断轰炸。。。真的让人快崩溃了。。。话说。。。我看到20集的时候。。。就开始一直哭一直哭一直哭。。。真心的心酸啊。。。唉。。。            
(5星)	 我觉得挺好看的！~和我妈一起看的~恩片尾曲好听~找个人来~~爱我~~~~~~~~~我不害怕~~~~~~~孤独~~~~~~~~~~/            
(4星)	 每晚看cctv2演，还挺有感觉的，看到奶奶过世那段，自己快泪崩了。            
(4星)	 一部大龄剩女的辛酸血泪史            
(3星)	 虎头蛇尾，后半部分太差            
(4星)	 “30几岁还谈爱情，是不是奢侈了点”←我觉得我也会是个大龄剩女！            
(4星)	 小宋佳，美            
(4星)	 其实挺喜欢张耀阳的..            
(3星)	 讨厌小宋佳………            
(NA)	 挺好看的....每天做完晚饭准时边吃边看==            
(4星)	 不错的大陆剧 笑死了            
(4星)	 就算是大女也有自己想要的人生哇！            
(5星)	 我喜欢            
(4星)	 我居然看完了嗷嗷嗷。。。那个小朋友指着X光片里的戒指求婚真是笑死我了。。。            
(4星)	 到底要经历过多少错误的感情，才能找得到自己最好的爱...            
(4星)	 好久没有看到这么难得出色的电视剧了。并且汇聚了北京、上海、台湾三地出色的演员阵容，是难得的精品。            
(4星)	 奶奶太可爱了            
(4星)	 我真的挺喜欢小宋佳的，呵呵。78女。很生活很真实。            
(4星)	 喜感异常            
(4星)	 问题要加紧解决为好。嗯。            
(NA)	 小宋佳好萌哦~奶奶也很萌~~~            
(4星)	 看到最后几集时哭的我啊稀里哗啦的。编剧的功力很不错，演员的功底很不错。            
(1星)	 垃圾。             
(4星)	 除了姐弟恋的部分怎么看怎么像在模仿败犬女王别的还是挺搞笑的            
(4星)	 绝对相信爱情 或者向现实妥协 这是个两难的命题            
(4星)	 过分夸张了            
(NA)	 哎……            
(5星)	 好朋友推荐《大女当嫁》，25集，端午节三天一口气全看完了。最大的感受是——感情需要等待，也需要争取；只有双方彼此珍惜，才会共同拥有幸福；是你的永远是你的，不是你的莫强求；相信爱，就一定能找到令自己幸福的另一半。谢谢你，我亲爱的朋友，是你让我拥有这么多深刻的感受！            
(4星)	 大雁这样的女人真好，做梦都想讨来做媳妇。姜小云真恶心            
(4星)	 “从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”             
(4星)	 还成。感觉就是skw未来版。应该折腾再少一点。国内演员演技好啊。            
(3星)	 就姜小军的长相和老妈有分歧，我的审美遭到了唾弃 - -！            
(3星)	 既然选择被剩，就不要为别人而活，想清楚自己要的东西，然后去争取。至于什么所谓的大女小女，全是个屁PS，活的不够纯粹的另类最辛苦            
(4星)	 很欢乐的一家人~~~            
(3星)	 女孩只要自信，只要美丽，婚姻永远不是终极的目标，不是结了婚就怎样了。每个女孩要自信的去面对生活，不要把所谓的社会的压力太多放在心上            
(3星)	 未来的我    。            
(4星)	 我不知道對待愛情我會不會堅持這樣的偏執...            
(3星)	 我们居然看这剧笑点狂多~这片子像锅煮着的汤药什么的，虽然有溢出来的地方，但还是不错~            
(5星)	 每次看到小宋佳就跟看到我师姐是一样一样的            
(NA)	 小宋佳长的耐看“从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”            
(4星)	 反映主题很现实，也很直接，将一些女人的心理描写得很到位。虽然部分桥段看上去会有演戏的痕迹，但是仍能接受，毕竟有着很真实的感觉。喜欢几位演员的表演，对于情感的拿捏很到位，不做作、不矫情。喜中带泪，可能这就是现实给我们的最直接的感受。感觉，很玄妙，却又不能不要。为了幸福，值得等。            
(4星)	 挺好看的，真的！            
(4星)	 张耀阳 = =            
(4星)	 我陪我妈看完了整部剧。很搞笑。            
(3星)	 大雁她妈妈跟我妈妈太像了..简直...            
(4星)	 最后几集实在难看啊...            
(3星)	 啊呀呀，喜剧。前面相亲挺搞笑的，反映了当前人的婚姻心态吧。。。其实挺没意思滴，适合女孩子看吧~            
(3星)	 这部片告诉我们，像小宋佳这么任性又没礼貌的女人注定被剩到最后...小的小的不要，老的老的不要            
(3星)	 就是苏如是那段没看全，感觉那段很有戏……            
(4星)	 我和妈妈看得心有戚戚焉 ...            
(NA)	 太狗血了，姑娘们赶紧嫁了吧～            
(3星)	 于是我又无聊了，还行吧，就是觉得女主真可怜，家里只要一吵架就赖她身上“就因为你没结婚”。唉……            
(3星)	 标准的京片子，小宋佳表演也不很做作，挺逗的。            
(4星)	 很别扭的老姑婆            
(1星)	 峰哥推荐的            
(5星)	 剩下并不可怕，最怕找错对象。            
(3星)	 喜欢那个张老师~~ 哈~~            
(4星)	 33真不算大            
(5星)	 我爱上了那个善良坚强的女孩子。看完之后，我一定要努力生活！            
(4星)	 是个好连续剧。            
(4星)	 ！            
(4星)	 催泪弹哪            
(3星)	 看完以后倍儿感压力啊！本小姐要给自己找个对象！            
(5星)	 政府什么都管，怎么不帮人解决对象问题呢？哦哈哈是啊            
(3星)	 有时候会莫名其妙的闹腾~这是我最不喜欢的一点~~            
(5星)	 雁过留声            
(4星)	 后面几集姐一直在哭。。。好在结尾是个好结尾            
(3星)	 小宋佳演的挺好            
(4星)	 我将步你后尘。            
(4星)	 大陆剧要照这么拍，我还是愿意守在电视前的~            
(5星)	 电视一出来，我家那位就说，这指定是电视剧版本的&lt;征婚启事&gt;，果然不错。我一个人看的又笑又哭的，作为电视剧来讲，是很不容易的一件事情，突然发现小宋佳好漂亮好可爱啊            
(3星)	 婚姻是女人的宿命吗？            
(3星)	 呵呵 狠喜欢妈妈朱茵            
(3星)	 34岁的恨嫁女多少是有点尴尬的 一定要结婚的话还是趁早吧。。            
(4星)	 切身感受啊~            
(4星)	 其实应该说女主角是幸运的，现实生活中不可能碰到如此极端的男人们，正因为这样，也就不能使女人们有一定要离开他们的原因。即使身边有另一半，也并不一定真心欢喜……            
(4星)	 这编剧也一资深剩女吧？            
(3星)	 宋佳带眼镜穿职业装确实有气质             
(4星)	 中国电视剧就是这样，人物想的都能引起我们的共鸣，但是做出来的事情怎么就那么不靠谱？            
(3星)	 没有看全            
(3星)	 节奏太慢……            
(5星)	 笑死……            
(NA)	 这剧名真凄凉，真写实，家人总是高估给我们舆论压力的承受力，没错。            
(4星)	 我喜欢幼齿恋人！            
(5星)	 笑死我了，真生活，哈哈            
(4星)	 真实 很有同感            
(5星)	 从奶奶去世开始几乎每集都会看哭~这一大家子人都太可爱太生动了~            
(4星)	 纯粹的爱情，也许只是年轻时候特有的奢侈品吧。            
(4星)	 我觉得自己以后就会变那样呵呵。。。要是能碰上个于小伟也不错。喜欢小宋佳            
(3星)	 活闹鬼相亲记。啧啧这一大家子人统统一颗恨嫁女儿心哟都快恨成失心疯了吧我看。还好最后女猪终于奔着真爱去了不然我就再也不相信爱情了。            
(NA)	 还不错啦。            
(NA)	 这两年剩女题材的电视剧开始流行鸟            
(3星)	 中午跟老妈一起看了一集...压力好大...            
(5星)	None
(1星)	 骂了一个月的片子，什么乱七八糟的玩意。            
(5星)	 相亲的过程是痛苦的，又是美好的，只有在一次又一次的失败之后才知道自己喜欢什么样的，才能遇到自己喜欢的            
(4星)	 某台八套还是几套看的，当时是从姐弟恋那段开始看的。            
(3星)	 周杰这个讨厌鬼！！！奶奶太可爱，大志好可怜。            
(4星)	 小宋佳特别特别的美            
(4星)	 爱大女，爱小宋佳。很欢乐的片儿，但是后来哭的稀里哗啦。人生当有追求啊，我才22，我也绝对不能就这么把自己对付过去了！            
(4星)	 剧情还行            
(4星)	 只有懂她的人才知道她在想什么，不然一定以为她无理取闹            
(4星)	 编剧是老外？            
(4星)	 什么时候有同志题材的大男当娶……            
(3星)	 剧还行 但是女主吧……活该嫁不掉            
(3星)	 越看越无聊            
(4星)	 非常好看的一部国产剧，每个角色都特别饱满，演的都特别真实，对话也很精彩，看的又哭又笑的。            
(4星)	 這樣的片子適合剩女            
(4星)	 额 得癌症的那段很狗血啊 我一直在骂女主傻逼 好吧 最喜欢张耀阳的那段了 多好的一娃 姐弟恋哎             
(NA)	 　奶奶可爱。三十四岁依然孑然一人，姜大雁成了姜家上下最大的心病。尤其是姜家最小的孩子姜大芸热热闹闹把自己嫁出去之后，姜大雁的婚姻被姜家更紧迫地提上了日程。　　家人、亲戚、朋友都关心姜大雁，到底想找个什么样的乘龙快婿？！身高、体重、职业、相貌、家庭情况……姜大雁真说不清楚。            
(4星)	 终点：于小伟            
(4星)	 找个人，来爱我。只因华灯初下，已无可遁形            
(4星)	 各种笑点，喜欢奶奶的表演……            
(4星)	 被剩下，我也不想。            
(NA)	 可爱的奶奶            
(4星)	 用心了的电视剧，除了结局都不错。            
(NA)	 ( &gt;﹏&lt;。)～呜呜呜……            
(5星)	 不敢想象，当我30+还孑然一身。。。            
(4星)	 哈根达斯的植入广告太彪悍了……            
(4星)	 “从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。”             
(3星)	 那些靠谱儿和不靠谱儿的            
(5星)	 看完了，加一颗星。越来越精彩！特别后5集，又哭又呕又笑，，，还好，结局满意。男配里面，张耀扬最出彩，最喜欢程闯。奶奶演技就不摆了。妈妈很真实，非常感人。爸爸开始挺遭厌，渐渐发现可爱。妹妹、弟弟，，，一家子都很有个性！女主，宋佳，以后开始关注她的戏。还有哈根达斯，，，漂亮！            
(4星)	 越来越老越难找~~~            
(NA)	 有共鸣，找个有感觉的容易吗。            
(3星)	 原来嫁不掉是为了爱爱爱            
(5星)	 算不错的。结尾略显狗血。            
(4星)	 总体来说不错。            
(5星)	 一波三折的，仿佛在看10年后的自己            
(5星)	 “从23岁开始，我就和自己说，爱一个人才能和他一起生活。为了这个人，我等了10年。我不能就这样把自己对付了，不然我不就白等了么。大不了，我再等10年。” 找个人来爱我吧            
(4星)	 剧情真朴实，小宋佳的演技真不错，最后几集狂飙眼泪了……不错，真不错。            
(5星)	 实在太搞笑了~现在开始去相亲！~            
(4星)	 和喵在家            
(4星)	 那家人什么的···真是··            
(5星)	 挺好看的啊~            
(4星)	 1，看到家里人一旦女儿有点风吹草动就欢欣雀跃，或者一筹莫展.......大龄剩女和大龄剩女的父母，都不易。2，是将就妥协还是坚持再坚持？3，你要什么就奔着什么去吧，愿赌服输。            
