http://movie.douban.com/subject/3621940/	雷雨
(5星)	 杯具了。            
(5星)	 不能被不公平给打倒。            
(3星)	 我被雷到了...打分居然还这么高= =            
(5星)	 好 看            
(5星)	 怎么都是语文课看的??我也是 哈哈            
(4星)	 以前语文课没看完，现在补上了。            
(NA)	 2004上海留念            
(3星)	 cctv 6看的            
(4星)	 濮存昕和潘虹演的周萍和蘩漪无可挑剔            
(NA)	 我最喜欢的一本书，也是最喜欢的一部话剧            
(4星)	 怎么都是语文课看的 我也是两节课连上的            
(4星)	 年轻的演员演得不到位。。。。姜还是老的辣啊。。。            
