http://movie.douban.com/subject/6714078/	吸血鬼日记  第三季 The Vampire Diaries Season 3
(5星)	 i really wait for a long time, nina is my favorite.             
(4星)	 one star for Caroline&amp;Tyler            
(4星)	 泡沫剧开始 哦 哦 哦            
(NA)	 我已经不想吐槽这剧更新速度了~擦，要等明年了，擦~！            
(NA)	 3集弃            
(5星)	 damon的眼神依旧那么迷人啊~~~~            
(5星)	None
(5星)	 坚定的大爱damon            
(NA)	 本季又快结束了吧？            
(NA)	 追到大概第13集就不追了 实在是太难看了……            
(5星)	 圣女爱S也爱D！ 女巫B爱J！J爱V也爱A！历史大叔爱一个死一个！芭比爱M爱T将来会爱K酒窝么？S爱D D也爱S！这是个充满爱的剧！贴吧里时时都充满着欢笑！呵呵！ps 又停了 我习惯了            
(3星)	None
(4星)	 米国人拍电视剧跟玩一样，又要停播3周！            
(4星)	 个人觉得，再好看的电视剧太长了就像老太婆的裹脚布，第一部是经典，后面就别看了，失了原味            
(5星)	 其实这个系列的剧情还是挺有连贯性的, 从现在追溯到过去, 可以发现浪人和吸血鬼种族千丝万缕的关系.. 还是那句话, 好女孩喜欢坏男孩, 好人随时可以变成坏蛋, 反之亦然. 阴间的超自然生物的复活这个剧情就有点狗血了...PS:  John Gilbert和Michael两个男演员真的很帅, 酷毙了!            
(4星)	 还行..            
(5星)	 -_-大爱的damon            
(4星)	 Damon变好之后失了邪气就不甚喜欢了，不用看狗血三角恋，original family太帅了，个性都碉堡了            
(3星)	 各种暧昧各种狗血。            
(5星)	 灰常的喜欢这部剧～～            
(3星)	 我怎么觉得这一季。。越看越无语。。。。乱啊。。            
(2星)	 追到第三季第九集，实在追不下去了……这剧情变得要多二有多二            
(1星)	 太墨迹了，敢出的快点吗！！！！！            
(5星)	 Klaus的华丽伦敦腔啊~~失控中            
(5星)	 大爱吸血鬼！            
(NA)	 klaus，嗯嗯，看好你！            
(5星)	 希望会一直一直的更新下去            
(5星)	 我爱stafen，i fancy klaus too~~            
(5星)	 以叔尼玛回归的太帅了！！！！！！！！！！！！！            
(5星)	 剧情越来越给力了，十四集的Elina真心美爆了。女神            
(5星)	 十分值得一看的吸血鬼题材的电视剧。各种美女，帅哥云集，眼花缭乱。            
(3星)	 越来越狗血，越来越玛丽苏。不过整体是部值得追看的片子            
(4星)	 米有之前好看了捏            
(4星)	 难道TVD也要开始排列组合了么……            
(4星)	 还不错，就是有一些情节不必要的，有点拖沓            
(4星)	None
(5星)	 爱Damon            
(5星)	 目前位列美剧顺位第一，Demon不要K，也不要E了，就纯D吧~BJ大妈您就可着劲虐吧            
(5星)	 狗血……但还是想看！            
(5星)	 让人欲罢不能            
(5星)	 好看            
(5星)	 两天追了11集。。好吧又没剧看了。。。            
(5星)	 第三季越来越精彩了~            
(5星)	 那些年，我们追过的吸血鬼们。。。。。。。。。。。            
(5星)	 萌死老K            
(3星)	 越发觉得无趣了……先弃了再说 313             
(3星)	 好嘛好嘛 情节一环扣一环什么的            
(4星)	 TVD第三季...嘛，相比第一季，明显剧情更紧促更崎岖了。但是有些时候会觉得有些过了。尤其是各种莫名其妙就突然产生的爱情啊，想要让剧情丰富所以大量生产的金牌老抽啊。其实第二季结尾时剧情已经足够复杂，足够吸引人了，编剧完全没必要再多加这么多弯路的。            
(5星)	 爱Damon，爱Stefan，爱Elena，爱Ketherine，爱Klaus……            
(5星)	 我给这一季打满分            
(4星)	 豆瓣越改版越让我难受[[我在说什么！！回到兽性的Stefen真是我的菜~            
(5星)	 D的亦正亦邪让我神魂颠倒啊~            
(5星)	 支持SE forever            
(4星)	 女主过于玛丽苏了，扣掉一星。这戏纯粹为其中男人们马克。            
(4星)	 ····纠结的要死要活······            
(4星)	 等更新啊。。。            
(4星)	 那些年兄弟俩一起追的女孩            
(5星)	 终于更新了·····看到13集 期待            
(5星)	 之间影评越来越高！！！！哇咔咔~~~我爱Damon！！！！！            
(5星)	 不要剥夺别人的选择……            
(4星)	 人长得美，也比较有剧情            
(NA)	 坑爹不止一点点系列3            
(3星)	 尼玛女主残到渣了            
(NA)	 怎么可能不喜欢？            
(5星)	 感觉第三季比第二季好看诶~~~            
(5星)	 最爱DE            
(3星)	 情圣轮流做，这季到谁家；闲时搞搞基，锦上又添花！再见，吸血鬼一大家。            
(NA)	 主演好帅好美             
(4星)	 可能精品出多了也会有些没意思，剧情还可以，但是总感觉新鲜感不如前两季了            
(1星)	 我是來幫忙拉低評分的。            
(5星)	 这便是熬到每周六的巨大动力！！            
(3星)	 两个男猪脚加起来不及女猪脚美            
(5星)	 GG如果完了就剩VD来拯救我了            
(NA)	 love it~!            
(4星)	 就当练听力了            
(5星)	 这季可以的！ 看到Stefan对Damon说，&#34; I luv Elena, Damon&#34;  Damon说，&#34;So do I&#34;的时候，为啥赶脚或许这是我对这部剧一直以来最大的期待呐！三角的好精彩。            
(2星)	 挖不下去了。            
(5星)	 第一个我实在等不了看完再给五星            
(5星)	None
(3星)	 剧情没前两季好            
(4星)	 差点要弃剧了 不过13看到boss的母上大人出现了 还是决定继续观望。。            
(5星)	 其实我还是喜欢Stafen ，时刻保持头脑清醒，意志坚定，身处困境还能肩负苦难不屈服……我喜欢。            
(5星)	 集集有惊喜~            
(3星)	 弃剧了 大爱damon            
(5星)	 好有爱~大爱Damon            
(4星)	 圣母尼玛的是传统么？？？我要疯了。。。这是个圣母接二连三的向上找祖宗的剧啊！！！            
(3星)	 Poor Rick 死了又活活了又死...            
(5星)	 必须满分            
(NA)	 等待很漫长 很讨厌女猪和达蒙在一起的感觉。            
(NA)	 everyone is sexy.            
(5星)	 D党誓死捍卫VD            
(5星)	 13集什么时候出来阿阿阿我天。。            
(4星)	 人鬼世纪恋什么的还是算了吧。。。            
(5星)	 没治了啊 实在是太吸引人了~            
(5星)	None
(5星)	 就很想知道克劳斯最后的结局            
(5星)	 满分不多说，看过的人都懂            
(NA)	 感觉要追不下去了            
(NA)	 怎麼13集還沒出來            
(5星)	 从第三季开始喜欢damon！！！！！！！！！            
(5星)	 继续追！            
(5星)	 不可能不看的拉，这一季真的超级郁闷的，苦透了            
(5星)	 开始发现，编剧真的很强大，越来越复杂了            
(3星)	 嘛 Damon帅气依然 就是等待得太漫长 搞得我看的时候 总是忘记上次讲到哪里 囧。。。            
(5星)	 超爱大蒙儿~~NINA很漂亮，但是故事明显没第一部好看了            
(NA)	 追着追着我就觉得美国人对自己真是太好了……什么理由都能放假            
(3星)	None
(NA)	 我的最爱……吸血鬼……            
(4星)	 喜欢！             
(NA)	 看到Klaus在Caroline床边说话时，那性感的小嗓音，当时就沦陷了            
(4星)	 追的肝儿疼            
(4星)	 Elena那个面瘫的脸。。。            
(5星)	 一直在追            
(4星)	 沦陷            
(4星)	 好爽            
(5星)	 爱！            
(5星)	 我最爱的Damon……            
(5星)	 正在追啊追            
(3星)	 弃。            
(4星)	 DE终于有眉目了。不断重复的故事，开始审美疲劳。            
(4星)	None
(5星)	 蛮帅的，偶像剧            
(5星)	 讲述真爱            
(4星)	 终于赶上进度了。            
(4星)	 已经搞不清人物了 让我弃了这部 色彩一直太阴暗也是一个原因            
(3星)	 快要弃剧了            
(NA)	 亮点在于俊男美女 情节一般般            
(4星)	 最完美的是第二季             
(2星)	None
(NA)	 期待回归，2.3            
(4星)	 等啊等            
(4星)	 囫囵吞枣般地看完一、二季，现在一周一集耐心地追着第三季 丝毫没有生厌。体现了美剧很成熟的流程，配乐、机位、剪辑、演员的眼神和台词，都很赞。情节也足够起伏+浪漫 演员养眼。            
(5星)	 从第一季刚出的时候就开始追起，到现在ED恋总算有点眉目了。大概编剧看Damon太受欢迎了吧。哈哈，继续追吧            
(5星)	 DE恋还是可以的...S越发2了...            
(5星)	 烦死人，还得等十来集            
(NA)	 埃琳娜终于爱上达蒙了~生活中也是如此~就是等的真是纠结            
(5星)	 最烦一星期一星期的等了，可见他的吸引力了吧            
(4星)	 为啥有点快看不下去            
(4星)	 其实有点乱套了，追到现在完全是因为大萌和caroline            
(NA)	 boring！！！！！！！！！！！！！！！非常不喜歡！！！！！！！！！！            
(4星)	 【如果两个人无法抉择 那么选第二个。因为如果你真的那么爱第一个人就不会对第二个人动心了】但是感觉Damon注定会悲剧。。。            
(5星)	 E D !            
(5星)	 会在这一季结束吗？大胆猜测            
(4星)	 真觉得后面越来越乱了 好吧  喜欢C和T这对 还有我是S党！！            
(NA)	 我语言一下，这部剧从这季开始走下坡路了。剧情太无聊了，什么跟什么，也太假了。            
(5星)	 各种帅哥美女，各种赏心悦目~~~            
(5星)	 追到头了 这可叫我怎么熬            
(5星)	 超爱啊！！！就是每周一集好漫长呢 TT            
(NA)	 虽然我期待DE在一起之后SK会有什么发生…………但是除此之外，真的是一部很棒的剧。高三生依然追的很欢乐就可以看出。~！            
(4星)	 3还是陷入所有美剧的共同点。k女王和damon是我唯一坚持了。            
(4星)	 你爱我还是他~~            
(4星)	 比第一季更精彩。            
(4星)	 一如既往的地粉吸血鬼题材哈哈。            
(5星)	 继续追！太好看了            
(5星)	 我爱戴蒙            
(5星)	 大爱没得说            
(3星)	None
(3星)	None
(4星)	 我相信它会越来越精彩的。            
(NA)	 好看好看，不错等的我纠结了哎~~~  超喜欢            
(5星)	 ssssssssssss~            
(4星)	 是我的错觉吗？感觉没以前好了- -！            
(5星)	 萌点很多。ian的所有以及以叔的moral，好像也有人喜欢hybrid始祖。想想也有些明白了。nina不说了吧，身材太好，太完美了。            
(NA)	 How I wish my stephen could show up.            
(2星)	 剧情已然不可控了~~果断弃剧……            
(4星)	 每周五。。。            
(2星)	 跟看GG样的 手贱啊            
(4星)	 开始的时候我更喜欢弟弟，后来你会发现哥哥更深情。            
(3星)	 纯粹只是为了看帅锅和镁铝~~            
(5星)	 果然性格魅力比长相重要            
(3星)	 就是从爱情惊悚奇幻剧演变成米国家庭伦理剧~~越来越难看~~            
(NA)	 sookie和Eric都守得云开见月明，S和Damon的春天还会远吗？？？            
(3星)	 快看不下去了。。。            
(NA)	 下滑的厉害            
(4星)	 season3 12更新了 刚看完 Elijah复活了呀 哈哈            
(5星)	 嫩牛五方脸速速退散吧哈哈哈哈哈哈哈！！            
(5星)	 大爱            
(5星)	 哇哦            
(5星)	 时不时来点小惊喜            
(3星)	 已经不想再看了            
(4星)	 你妹，也等太久了 吧。            
(5星)	 剧情紧凑，而且很有爱~~            
(5星)	 DAMON 大爱~ 好迷人的说。。。            
(5星)	 越来越复杂的剧情            
(4星)	 剧情多元化一些，  不过男一号你真 的还是男一号么    男二号的眼睛好迷人，还是不喜欢男二号和女主一起···            
(5星)	None
(4星)	 不打算放弃关注            
(5星)	 实在很喜欢，剧情跌宕起伏            
(4星)	 还是喜欢ES配对~            
(4星)	 超爱Damon            
(5星)	 剧情演员都喜欢            
(NA)	 here,damon kiss elena................            
(2星)	 这部剧已经快到头了我感觉到了。            
(4星)	 等的好辛苦……            
(5星)	 比暮光好太多了            
(NA)	 期待下一季。。            
(4星)	 总是纠结，跟着看有些许累！            
(4星)	 很好看哦，不过有走下坡的趋势            
(NA)	 对于一直喜欢S的我来说，看这一季是有些煎熬的，但是在这一季中我感受到的是那种刻骨铭心的爱和宿命，很多事情真的是有蝴蝶效应的，当初不经意的一撇在未来也许会是你永远无法战胜的弱点。尘世嘈杂，我们还是选择相爱吧            
(5星)	 已经看过两部，越看越上瘾。呆萌和艾琳娜的进展是我看下去的动力~~❤_❤~            
(3星)	 为了Klaus和Caroline才看的，结果发现这季还不错，玩起脑子来跟看三国似的。。但是只要主角那二男一女每次出现，就需要快进了。。实在长的太新市民了啊！！！            
(5星)	 The Vampire of Diary has became the part of my life            
(4星)	 可不可以把女主杀了  实在受不了这个女主了 什么情况呀            
(4星)	 剧本水平、演员质量远高于暮光之城，期待结局            
(4星)	 DE脑残粉路过            
(3星)	 小狼人真是越来越蠢了！枉费了他那身肌肉啊！            
(NA)	 这部剧可以说是我追的第一步美剧，也是我最满意的！演员养眼，剧情环环相扣，大爱！            
(5星)	 真心好看！喜欢D E S C B T J ........            
(2星)	 每个人都老是换战线,看得人可烦~好多事都是自己换来换去惹出来的!            
(NA)	 一直在跟            
(4星)	 尼玛。这绝对是我看过连载里两集时差跨度最大的了，两个多月更一集啊，看到更新的我眼泪掉下来，哈哈哈哈            
(NA)	 喜欢 一直看            
(5星)	 这是我唯一追的一部美剧~            
(5星)	 为神马出到10 。。            
(5星)	None
(5星)	 其实这个对练口语蛮有用的。看到后面的孩纸应该都会比较爱D了吧，等S在第三季的表现            
(5星)	 各种元素综合在一起的感动……            
(NA)	 第三季回归了，精彩依然！            
(NA)	 编得好乱            
(3星)	 我觉得有点gossip的感觉了 吸血鬼史的追本溯源 但是不是那么吸引了 有点想弃了            
(5星)	 追剧中。。。            
(5星)	 真的真的很精彩！！！！！！！！            
(4星)	 达蒙，你应该再勇敢一点。斯达芬，你应该再聪明一点。克劳斯，你应该再残酷一点。埃琳娜，你应该再无耻一点。美剧呀，你应该再快一点。            
(4星)	 Damon貌似终于要和Elena走到一起啦，又期待又失望，总觉得还是触不到的恋人最完美~            
(5星)	 爱得要死            
(5星)	 damon太帅啦~elena演双重性格演的真好~~~            
(NA)	 在追。一直在追            
(5星)	 S一个人的战斗？            
(NA)	 这故事来来回回有点纠结，不过帅哥美女，不看情节也是好看的            
(4星)	 越来越吸血鬼版琼瑶了·····            
(5星)	 期待第四季            
(5星)	 冬歇终于结束了！！！            
(NA)	 吸血鬼一直都爱真的很爱，如果可以我愿意变成他们            
(5星)	 俊男美女 ，加上环环相扣的精彩情节，让人欲罢不能            
(5星)	 嘿嘿，追着看ing            
(5星)	 治不了的花痴病  Damon让我心痛让我爱               
(5星)	 超级爱            
(5星)	 KC一定要在一起！！！！！            
(5星)	 绝对值得看，每一集都是经典、            
(4星)	 开始天马行空了。。。            
(4星)	 东西太多类 没有前两部赞            
(NA)	 有木有觉得越来越狗血了            
(NA)	 最迷的美剧，终于又开始更新了            
(5星)	 最棒的美剧。绝对的。            
(4星)	 stafen 已经退居男二号了，好伤心啊！！ps：怎么看都比暮光之城好看            
(4星)	 第三季比第二季给力好多，突然有燃起了对VD的热情            
(4星)	 追            
(5星)	 喜欢。没有理由。            
(5星)	 不说了，很经典的校园版爱情、魔幻、惊悚、三角恋、吸血鬼、巫师、美男靓女。各种商业流行元素都有了，你说它能不火吗——学习！！编剧！！编剧很棒，经典美剧模式！！！ 再次学习            
(5星)	 klaus is actually kind attractive            
(5星)	 发现追了好多CW的剧。。            
(NA)	 就是为了看ian和nina才看的，完全青春偶像剧，看过一遍完全不想看第二遍那种            
(5星)	 第一季过后都挺好看的，被吊着的感觉真不好受～            
(5星)	 第一季实在难啃，第二，第三精彩~            
(4星)	 就三季嘛，我有耐心追            
(NA)	 不予评价            
(NA)	 为什么Vampire都长这么漂亮～明明是邪恶又带着人类历史情感的生物！            
(5星)	 我实在太爱了~达蒙~            
(5星)	 编剧太强大了，几乎所有的超自然体都进来了。。  吸血鬼、狼人、巫师、吸血鬼和狼人的混血、鬼魂、、、、  敢不敢再有啊？！            
(5星)	 逆转啊！！D有机会了！！我还是喜欢K女王。。            
(4星)	 感觉比第一季紧凑点            
(3星)	 有点无聊啊            
(4星)	 某天突然觉得有点鸡肋了            
(4星)	 吸血鬼系列真的很帅。。只是剧情过于纠结了。。            
(5星)	 坚定的DE党 如果不是D对E太深情我就坚定拥护D和历史哥了啧啧            
(4星)	 期待快出更新啊。            
(5星)	 很棒            
(5星)	 人性与爱            
(5星)	 欧也~~~等我考过试就更新啦 啦啦啦             
(2星)	 本来想给三星的~~看到梅森叔和嘎嘎姐在一起的消息减一星~~            
(4星)	 纠结和先进的剧情，能不能快点更新啊啊啊 啊~~~            
(5星)	 格外喜欢第二季。么么么么么。            
(5星)	 damon我们爱你不要怕 没有人可以欺负你！！！            
(5星)	 Paul多帅~            
(5星)	 为什么看不到了555……            
(5星)	 越来越爱凯瑟琳这个气场强大的女人！            
(4星)	 更新太慢了 慢到我都快忘了情节 只是即使追到了第三季 还是不喜欢这个女主角            
(5星)	 期待ED能在一起……实在不行给大蒙来个更好的姑娘吧。            
(3星)	 女主太美了            
(5星)	 不止是大红的主角~~剧中所有人物都很有亮点~~不得不爱！！            
(5星)	 女主角很好看            
(4星)	 人物设置接近现实，节奏明快，剧情还是比较有张力的，就是剧情上偶尔会出现bug还是有一些遗憾的，推荐~            
(5星)	 好看，比暮色强多了            
(5星)	 五颗星给我爱的 elena, Demon，caroline和Tylor。            
(5星)	 爱不完            
(5星)	 第三季却又觉得很好看……            
(4星)	 Stefan 　　TT﹏﹏TT            
(5星)	 大爱            
(NA)	 是我最热衷的美剧，巨期待!            
(5星)	 喜欢Damon和Stefan的兄弟情。。。            
(5星)	 虽然我爱看，但是个人觉得剧情没有真爱如血好看            
(4星)	 完全倒戈啊            
(5星)	 很喜欢，大爱            
(4星)	 剧情进展有点慢啊，最近几集的编辑有点无厘头            
(3星)	 尼玛开始狗血了            
(2星)	 从逐季递减的观影人数和逐季递增的分数，我是否可以理解为最后留下的都是打高分的脑残粉            
(5星)	 继续跟踪....            
(5星)	 很好看的美剧。可惜现在没播了，也太难等了。            
(5星)	 快回归吧~~            
(2星)	None
(NA)	 快继续播            
(4星)	None
(5星)	 啊！！！追剧追的好辛苦，快回来吧。            
(4星)	 太黑暗了...太纠结了....开始往流水账方向发展的趋势            
(NA)	 剧情越来越复杂了！佩服编剧啊。。我爱Damon！            
(5星)	 心头好呀            
(3星)	 三颗星给IAN SOMERHALDER            
(5星)	 等更新中，剧情够紧凑            
(4星)	 超级能扯的编剧。。。            
(4星)	 编剧太胡扯了！主角都死遍了，开始鬼魂复活！            
(3星)	 看了两集就不想看了……            
(5星)	 明年才能回归。            
(4星)	 尼玛还得等个把月呢            
(NA)	 快点结束冬歇期吧            
(NA)	 还只看到9集，等着更新。            
(5星)	 好喜欢坏哥哥！个人觉得女猪脚各种脑残不解释~美国的个人英雄主义再一次显露无疑            
(NA)	 虽然关键时候有点扯 但是我爱Damon啊！！！            
(3星)	 不如之前两季，开始扯了            
(5星)	 DAMON ~~TAT            
(5星)	 可以称作是奇幻爱情剧么。。。            
(5星)	 看着这部电视剧，我想说：亲情才是最禁得起时间考验的。兄弟永远是兄弟，不管曾经多么恨对方。            
(NA)	 青少年标准剧            
(3星)	 情节开始瞎搞了,闻到了烂尾的味道,帅哥美女是唯一看下去的动力了             
(4星)	 爱3~~~            
(5星)	 一如既往的好看，，达蒙，爱你啊~            
(3星)	 这片太拖拉。。。。            
(3星)	 继续追            
(5星)	 还是日记是我最爱的剧啊~~            
(4星)	 没有真爱如血好看~看看帅哥美女~            
(5星)	 被感动，一直让我纠结的不能自拔            
(NA)	 嗯 先前只是听别说很好，后来看了一点也觉得还可以。但在不知不觉中就被吸引了 = =            
(5星)	 爱死了            
(3星)	 这电视越来越搞了            
(NA)	 爱死！            
(4星)	 虽然S真的很苦逼..我还是会喜欢好男人啊，我还是SE党啊！            
(5星)	 9            
(NA)	 剧情越来越忧郁！斯蒂凡变得好复杂！            
(5星)	 Damon的爱够深沉            
(5星)	 第三季我终于爱上了Demon。客串过迷失~            
(5星)	 5星给达蒙的。            
(NA)	 第二季就没意思了....            
(5星)	 一如既往的力挺！！冬歇了 让我们乙肝TVD迷何去何从~~            
(5星)	 大爱啊~~~~            
(4星)	 还好吧            
(5星)	 什么话都不说了，就等跟新了。。那个焦急阿            
(5星)	 我是伟大的DE党！            
(5星)	 大爱中的大爱            
(5星)	 真愁人 怎么就不出新的了 还要等多久 没有更新真难受            
(3星)	 开始有点勉强有点扯淡了            
(5星)	 冬歇啊！！            
(5星)	 大爱，我从ES到ED，会事这样吧            
(5星)	 快到1月6好吧             
(5星)	 强大如Claus,最大的弱点竟然是don&#39;t wanna be alone.一句轻描淡写的No one cares any more就可以让他不堪一击。假如有一天，所有你爱的和爱你的，都离开了这个世界，那  活着  还有什么意义......            
(5星)	 很精彩啊！！！可惜要明年才能看到了            
(5星)	 半夜看真心有点吓人            
(4星)	 fans的支持果然强大。美女帅哥也是继续挺进的理由。新东方一老师形容男主的脸像被打扁了- -她好爱daemon.我看一部电视剧，如果男主不废，往往还是对男一有好印象。后来觉得daemon很深情，不错。            
(4星)	 我是SE党啊浑淡！            
(5星)	 剧情很给力。总给我惊喜。            
(NA)	 虽然还没看过1 2季             
(4星)	 矮油 终极BOSS就这么死了竟然！            
(NA)	 无法不爱·            
(5星)	 第三季太精彩了！！！！            
(5星)	 大萌~~            
(5星)	 updating更新啊…            
(5星)	None
(5星)	 一直挺好的            
(3星)	 就这样了 一群无知的俊男美女们            
(NA)	 1月出第十集。。。郁闷            
(4星)	 编剧烂透了。。给四星完全是因为Ian要演Jobs了- -            
(5星)	 爆喜欢 女主超正啊            
(4星)	 D和E的CP化渐渐明显=，=    PS...停播你妹啊            
(5星)	 依然帅气的人物和吸引人的情节~~~            
(1星)	 sb偶像剧 看台湾看韩国韩日本的就低俗 看英美偶像剧就高雅 豆瓣果然是装b者的天堂            
(5星)	 She told me that TVD is nice.Then I began to after it.It&#39;s the last September...I&#39;m still after TVD,but where is she now             
(5星)	 我觉得翻译们都很有才，中文字幕搞笑了，我们家Damon还是很帅            
(5星)	 剧情跌宕起伏，演员真情流露，到了第3季都依然如此好看。            
(4星)	 一周一集？  还是喜欢一次性看完 ，我打算过几个月在看剩下的            
(5星)	 等明年回归。            
(NA)	 看到9集            
(5星)	 还是喜欢demon            
(NA)	 我的爱！！但是冬歇了！！            
(4星)	 Elena和Daman快在一起吧~            
(4星)	 赶快出完吖，            
(4星)	 一家吸血鬼终于团聚了  不知道后面会怎么发展            
(4星)	 那摄人心魄的邪笑哇~~~            
(3星)	 越看越扯~~~~~  看不下去了            
(5星)	 大爱大爱大爱            
(3星)	 青春偶像剧第三季，目前第九集感觉剧情越发鬼扯。            
(5星)	 我会想你们的 等着呢            
(5星)	 damon            
(5星)	 我的达蒙~~DE啊            
(5星)	 DDDDDDDDDDD~            
(3星)	None
(5星)	 非常有爱的DE            
(5星)	 好看好看好看！~            
(5星)	 好看，，好看            
(3星)	 都烂成这样了评分还这么高~~无语了~            
(NA)	 崩溃的是更新到9集米有了，无语的是明年1月份回归，着急啊            
(5星)	 环环相扣的剧情，真的好精彩啊。5555.。。可是因为圣诞节停播了，等待明年。            
(3星)	 过程太久，反复纠结，就不能来痛快点？            
(5星)	 一直在关注，从没放弃的喜欢            
(5星)	 开始看第一季还没有怎么被吸引，但是越到后面越精彩，高潮一个接着一个，不得不说编剧真是很牛逼。现在已被damon完全吸引，深情专一性感，好想他和elena 赶快在一起            
(5星)	 越来越好看了，但是上周为啥没有更新啊            
(3星)	 不用费脑的娱乐吸血鬼幻想连续剧，有帅哥美女养眼            
(5星)	 彻底变耽美以后反而变好看了？            
(NA)	 我等的好难过            
(4星)	 最苦的莫过于等美剧,就这么停留在了第9集,又进入了漫长等待...            
(5星)	 蛮好看的              
