http://movie.douban.com/subject/1304397/	欲望都市  第一季 Sex and the City Season 1
(3星)	 只是这样。            
(NA)	 大龄女性 呵呵            
(5星)	 星空下比格将再次孤单，老天爷也许是不公平的，但有一点毫无疑问的是，人是多么的多愁善感。            
(5星)	 经典啊～～            
(4星)	 纯洁滴俺始终觉得太露骨。。。。。            
(5星)	 有闺蜜真好            
(4星)	 高三毕业的暑假一口气看了前三季，看完脑子里都在讲英文。。。            
(NA)	 好看好看好看~            
(4星)	 女性性文化启蒙第一剧            
(NA)	 d            
(NA)	 90集。噢液！            
(5星)	 启蒙的美剧，果然没让我失望，里面的造型太让人流口水啊            
(5星)	 必须珍藏！必须不断温习！            
(5星)	 结束时，热泪盈眶。            
(3星)	 HDVD            
(5星)	 学到很多东西            
(5星)	 good~~            
(5星)	 四人的单身或又不单身的日子，谈论男人和性，我的生活我主宰，有朋友在，一切都不会孤单            
(2星)	 惊喜是看到了alanis morissette客串一个女同性恋。            
(NA)	 心中的美剧number1            
(5星)	 10——10分            
(NA)	 Smile            
(NA)	 第一部比较完整看下来的美剧，当时很红，不过几个姐妹一起看遇到敏感镜头还是觉得尴尬，呵呵            
(4星)	 看不漂亮的女人如何演绎风情。            
(5星)	 每个女人都该看一次！            
(4星)	 广州孤独美少女寂寞芳心俱乐部            
(5星)	 一看再看            
(4星)	 为什么有人说我一男的不应该看啊？8－（            
(5星)	 每个女人都该看的。            
(3星)	 done!            
(4星)	 物质.            
(5星)	 狠好看             
(5星)	 女人。season 1-6, 他送的生日禮物。            
(5星)	 喜欢的理由 我是女的            
(5星)	 就是喜欢            
(5星)	 emotionally engrossing...a feast both to the eyes and to the mind            
(5星)	 都市生活，这样开放的观念 可能离我们还有点距离吧            
(5星)	 女人，还有什么比女人更重要？女人的世界。            
(3星)	 abso-fucking-lutly!            
(NA)	 the four of us            
(NA)	 女人世界            
(4星)	 終於從頭到尾看完了            
(3星)	 少儿不宜            
(5星)	 虽然有些夸大，不过很典型            
(5星)	 未婚女子必看！            
(2星)	 the series is really not bad. I would have recommended it if it&#39;s not because of Carrie&#39;s narrative. This character and her voice so ruined the show.            
(5星)	 没看大结局            
(5星)	 I like it！！！            
(4星)	 姑娘们            
(NA)	 看欲望都市突然惊觉，同老友记一样，美国女性总是能很快发现自己和那个男人是否合适，是因为那些男人不以自己的缺点和怪癖为耻，并且希望对方欣然接受。但是在国内这种事情就鲜有发生，中国男人会刻意表现自己最完美的一面，不到婚后拒不会露出丑态，所以受骗的总是我们中国女性。            
(3星)	 情节紧凑。。。但故事，也就那样吧~~不会特别吸引人。。某些台词还是比较有道理~            
(NA)	 第一次看好震惊啊，太不CJ了o(╯□╰)o            
(NA)	 Ugly            
(4星)	 不是特别理解这种交往了几个月睡了几个月，也没有第三者，却还不承认是恋人的Mr. Big，但是理解了电影版里的他为什么好端端地逃婚            
(3星)	 讲模特和回归现实那两集很有意思。            
(4星)	 女人戏的鼻祖。            
(5星)	 my all time fave dramas            
(4星)	 翻老美剧来看~            
(4星)	 时间是把杀猪刀            
(5星)	 经典。            
(4星)	 谈不上特别喜欢。绝对是每个女性都该看一遍的经典~BIG一朵花！喜欢Samatha！！！马脸姐声音好听！顺便看了几个评论都是清一色的花痴MR BIG&gt;&lt;            
(5星)	 现在终于有些能看懂了 o(╯□╰)o            
(5星)	 20100125稀饭，二十多分钟刚好，看起来不累            
(3星)	 很美国 很女性 很复杂            
(4星)	 果然好想好想谈恋爱是学这个啊连人物设定还有剧情都一模一样。。囧 不过各有各的风格 这个尺度更好~哈哈~所以说98年的美剧真是违和得要死~衣服各种vintage居然有很多oversize大衣让我中意~继续继续~             
(5星)	 五星，不解释~            
(5星)	 欲望 都市 女性 很好            
(NA)	 爱情时尚双标杆            
(NA)	 我是有多无聊...            
(4星)	 HBO神马的真是不同凡响！！！            
(5星)	 6 seasons from 1998-2004。女人爱情和友谊。            
(3星)	 各种各样的sex            
(4星)	 其实还蛮好看的也。            
(4星)	 以女性视角看两性关系            
(5星)	 准备圣诞节之前将自己溺死在欲望都市里面。            
(4星)	 几年后再看，性商情商上突然释然，或许，经历过之后有些新的体会~人不能仅仅无法正视完美的爱情，觉得只要不完美就无法面对……人应该学会自己去面对自身的变化，和知道自己需要的是什么~有些也应去尝试，年轻时候多尝试会有最好的体会            
(5星)	 没有DH好看，因为这四个女主都是单身并且有换不完的的Sex partner~更重要的是她们关于男人的每一句警言都让我后悔没有早一点看这部剧&gt;＜            
(5星)	 everybody&#39;s happy. we finally got big&#39;s name. every time big appeared, i thought about you. they can fight for 6 years, 3 years is nothin&#39;            
(5星)	 我已经开始无聊到看这个了。。。ORZ            
(NA)	 留个坑，我要写。            
(3星)	 对我来说，看懂其全部还是有困难的。            
(5星)	 人人都是凯西            
(5星)	 漂亮女人 情感分析 还有什么理由让人不追这个剧            
(5星)	 欲女心经            
(4星)	 这扰乱我的爱情观么            
(3星)	 拍得那么早，现在看的确是有点土，哈哈～            
(4星)	 Sex and the City            
(4星)	 原来我闲到把第一季都看完了。。。            
(3星)	 除了夏洛特,其他几个女人都不是很喜欢.这么出名的片子,看一遍也就厌了.            
(4星)	 回想了一下，这好像是我最早看过的美剧~~真的很喜欢，大概是回忆加分吧....            
(5星)	 单身女人的感情史。很多感情理论很值得学习。            
(3星)	 无聊，马脸            
(4星)	 是我内心深处忒爷们儿了么？为什么我总是看不完这套剧（囧）~            
(5星)	 看完之后我觉得自己在禁欲TTTTTT            
(4星)	 6            
(4星)	 她的电视剧才是永恒的经典            
(3星)	 不是很感冒            
(4星)	 生猛-_-&#34;            
(NA)	 最爱的美剧。时不时的复习。            
(3星)	 不太感冒            
(4星)	 好想好想谈恋爱的美版            
(NA)	 玩转NY的四个女人            
(4星)	 饕餮~            
(NA)	 让性回归到一个个个体一个个有血有肉有故事有生活有自我的人身上，这在美国是一个创举，性和LOVE不再是符号。            
(5星)	 真不错            
(4星)	 第一季好看是因为刚开始看觉得很有意思。到第三季第四季很勉强的看完了。第五季开始变得不一样了。第六季很温情很感人吖！尤其是Smith和Samatha!!! 我爱Smith!!!            
(3星)	 嗯。。。。            
(5星)	 大爱            
(5星)	 超爱            
(5星)	 再次证明生活就是由小烦恼组成            
(4星)	 看的第一部美剧            
(NA)	 感动我更多的不是爱情，而是四个女人的友情            
(4星)	 看完后能让人愉悦就是好东西~~~            
(3星)	 其实就是时装秀，电视的意义只存在那么一点            
(4星)	 哎。。。心水            
(4星)	 不错            
(4星)	 sex sex sex            
(3星)	 其实还不错~~~但是我的影子比较少不适合我            
(5星)	 最喜欢的美剧            
(5星)	 Samantha!&gt;_&lt;            
(4星)	 永远的心头之爱            
(5星)	 非常非常的喜欢这部剧，极力推荐！            
(5星)	 又在冲击我的价值观了= =            
(5星)	 witty and helpful            
(4星)	 这几个女人很强悍。            
(4星)	 好想再重看一遍~            
(NA)	 cute            
(4星)	 非常有质量的soup. 把专栏改编的如此活色生香，说经典不为过。            
(4星)	 还不错了……            
(3星)	 一季都木看完，和预想的一样没击中萌点。            
(5星)	 它出那会儿我还不知道怎么叫追美剧了吧。一季一季的慢慢看完，直至电影版的再度出现。跟着Carrie和Mr.Big还有那一帮乱七八糟的事前进。其实第六季完结时已经是个好结局了，那样的生活我过不来，看看还不行么。            
(5星)	 Totally incredibly fantastic!!!            
(5星)	 谁的心中都有一个童话故事，这是现代版。            
(4星)	 为了女人的友谊，给四星。可以没有爱情，不能没有友情。            
(3星)	 还行是因为前四季，只能说这片子一点指导意义也没有。也许，too selfish是无法让我打动到最后的。            
(5星)	 09.05.23。看完第一季            
(5星)	 终于赶在五一前看完啦~~~~~~！            
(4星)	 可不是讲一个女人脱衣服一个男人裸体的事情，全纽约都在脱，一个一个，都在脱！            
(4星)	 6季            
(2星)	 不喜欢            
(NA)	 我总是会想起电影版里的那句话:女孩们来到纽约 为了只是两件事 奢侈品和坠入爱河.            
(5星)	 一个寒假看完了6季。很喜欢Carrie。喜欢她的瘦骨架以及穿衣风格。纽约时尚风向标。            
(5星)	 经典            
(5星)	 top10之7女人要对自己好一点            
(5星)	 我的爱，明明还在            
(5星)	 一直被模仿，从未被超越            
(5星)	 绝对哲理~狂顶            
(NA)	 赞下            
(NA)	 爱死瑟曼撒了            
(4星)	 一季接着一季看,每集都有闪光点.            
(5星)	 sex for fun or sex of love            
(5星)	 看之前听说里面有很多光鲜的名牌，所以在看完老友记后我一直控制自己去看欲望都市 怕自己更物质有名牌欲望 结果是没控制住但是边看着边知道原来自己懂事了长大了~~~             
(5星)	 纽约时尚女性生活指南            
(3星)	 这个倒是看完了，那时比较闲            
(5星)	 爱。            
(4星)	 看完第一遍，马上想看第二遍。            
(5星)	 美剧是最喜欢就三部:CSI,SUPERNATURAL,还有就是这部了            
(5星)	 这是一部任何一个敏感女人都会爱恋的美剧            
(5星)	 love and labels            
(5星)	 很不喜欢女主角，很做作~~相比之下更欣赏萨曼莎和米兰达~~够真实！            
(NA)	 arent there any new seasons going on? or what am i watching now..            
(4星)	 睇过四季度甘啦，后来睇唔落去啦            
(NA)	 大一学习            
(5星)	 你想做里面的谁？            
(4星)	 All about English~            
(3星)	 我喜欢看的美剧            
(5星)	 又一大爱,就是他妈地恶心Carrie            
(5星)	 没得说，我对于物质还是有很强的渴求的            
(5星)	 这得看到什么时候去啊。            
(4星)	 纠结于Carrie和她的Mr.Big.            
(3星)	 作为一个下里巴人，浮华性爱让我咀嚼不能。            
(3星)	 ……我怎么就不那么爱呢~            
(4星)	 还是满搞笑的~            
(5星)	 最爱的一部剧～完美～～            
(5星)	 对当年对sex，fashion之类十分无知的我起到了一定的教科书的作用            
(4星)	 分析很透彻哦。。但是有时太过仂            
(5星)	 可惜我讨厌Kelly的口音            
(5星)	 looking forward to the restart.            
(5星)	 经典..最喜欢的之一啦            
(NA)	 Sex and the City            
(NA)	 喜欢凯莉的衣服            
(5星)	 THIS IS A WINDOW~            
(5星)	 真不舍得它就完了            
(5星)	 什么时候看都是经典            
(5星)	 女人 都市 真爱            
(5星)	 虽然已经过去十来年，但是姐姐们的风骚还是打动了我~            
(5星)	 里程碑            
(4星)	 一个男人不管做了多么不靠谱的事,让女人受了多大的委屈只要那个女人还爱着你.女人总是会原谅你的爱与被爱如此伟大            
(NA)	 I  LOVE  IT            
(3星)	 基本就看了连季            
(NA)	 从第一次结束这电影，不是很适应她们的表达方式……渐渐的 开始喜欢！最后被感动～不管你以什么方式生活，真诚地相互温暖就好！！最后一集的MR.BIG 和凯莉 之间的美好 你能感受到吗？            
(4星)	 不是我的菜。。            
(4星)	 只有sex没有city            
(4星)	 虽然有些许文化差异，但依然有部分共鸣            
(3星)	 离过一次婚的男人是个宝，离过2次婚的男人是根草。充分理解这个话的含义了，离过三次婚的，干脆别害人了。            
(4星)	 如果可以成为光鲜的曼哈顿女子，愿意孤单            
(5星)	 大爱            
(5星)	 一口气看完6季加一个电影版!            
(3星)	 四个女人无休止的yy。有几个男人比较好：Carrie的男友们（除了Big和俄国人），Samantha的小男友Smith，Charlotte的光头男友，Miranda的矮个子老公Steve。我搞不懂，这些女的一个个都不是公主，也不是什么极品，怎么对男人这么挑剔呢？诶，太自恋了，太叽叽歪歪。            
(NA)	 看过很多集，基本上还行，yy鼻祖            
(4星)	 必看~            
(4星)	 少年時期紀念作啊            
(NA)	 girls just wanna have fun            
(5星)	 这个暑假没白过！            
(5星)	 men come and go, women stay.            
(NA)	 句句是真言只是陷入爱情的女人哪里能够明辨是非呢？            
(5星)	 2005.DVD：Maybe some women aren&#39;t meant to be tamed.  Maybe they&#39;re supposed to run wild until they find someone, just as wild, to run with.            
(NA)	 非常喜欢的剧集之一            
(5星)	 美轮美奂的服装和鞋子……            
(5星)	 不推荐爱情观易受他人左右的人看            
(5星)	 经典            
(4星)	 女性的友谊，学到了很多            
(NA)	 when the love is pain...let it go.go again....keep it in the deep            
(NA)	 一次追完的  越到后来越不喜欢carry            
(NA)	 我们一起欣赏性和美女            
(5星)	 性感时尚兼备            
(2星)	 会不会我是惟一一个一集不落看完却只给两星的人？承文同学真遂我心，一个字，肤浅。这帮心虚自恋本质上却自怜自贱的事逼女人们啊。相对喜欢samantha，性态度放一边，主要是仗义坚韧又会用词，跟她最配的就应该是那个上司richard，可惜分了。charlotte惟一美女，一典型双鱼，为什么要插在牛粪上。天下还有比carrie更讨厌的女人么？事逼做作到极点，还columnist，既无文采眼界亦无风格气度，越到后面对carrie的厌恶越无以复加。而且说什么竞争对手，SJP比aniston那是一个等级么，太云泥泥泥泥            
(5星)	 我追着看的~            
(5星)	 我总是一遍一遍的看，任何时间，任何地点            
(3星)	 我真的不爱看灰暗系阿灰暗系            
(5星)	 don&#39;t talk to me if you don&#39;t like the show.            
(5星)	 千万不要晚上一个人寂寞地看！            
(4星)	 多学习            
(5星)	 羡慕他们的友谊            
(5星)	 learn to love            
(NA)	 短小精悍，百看不厌！            
(NA)	 sex and sex , very well , but I think , 尺度有点大了 &gt;___&lt;            
(3星)	 怎么会有人喜欢这部剧？            
(4星)	 小学的时候就跟着老妈一起看过的美剧=。=            
(5星)	 四个女人一起看，美好的回忆。            
(NA)	 看的第一部美剧,期待最近的电影            
(NA)	 Mr.Big，快来做爱的奴隶吧            
(4星)	 大女生看的哦            
(5星)	 很好很强大，很向往的生活……            
(5星)	 性与爱            
(5星)	 呵呵 希望我以后也有几个这样的私房蜜 现在貌似已经有了            
(5星)	 never to be exceeded            
(3星)	 从中产阶级女性视角探讨两性问题            
(4星)	 不行了            
(NA)	 看了N回！不明白性是什么的，可以去看！~喜欢大姐~~~            
(5星)	 一直在寻找对的人，寻找属于自己的真爱。            
(5星)	 好好睇嘅电视剧,有point,有靓衫            
(NA)	 关于女人的世界。            
(5星)	 怎么办 真爱这剧 结束的时候心里那个纠结。            
(5星)	 比较经典了            
(5星)	 love and friendship.狂迷            
(5星)	 爱上美国大街            
(5星)	 我想打6颗心的            
(5星)	 教科書            
(5星)	 經典的經典!            
(5星)	 经典啊，我的sex观念很受感染            
(5星)	 I love Carrie!!!            
(5星)	 女人都应当看看的一个好剧，认识自我和爱情的一个教科书            
(5星)	 就是放不下。。。            
(5星)	 呵呵，女人！            
(5星)	 反正我很喜欢，做女人尤其是中国女人什麽时候能活成这样这辈子“值了”~~！            
(5星)	 浅黄色小笑话            
(5星)	 THE BEST!            
(NA)	 很好 很愛~               
(5星)	 光怪陆离的都市            
(4星)	 感觉            
(5星)	 好多漂亮的衣服            
(5星)	 剧情精彩，台词经典，服装精美            
(NA)	 看似荒谬的一群女人 不经意间教会我很多生活和爱情的真谛            
(3星)	 才看了一季，不过有的地方还挺有道理的            
(4星)	 怀念            
(NA)	 两个幸福的关键词的自由的女性的解读            
(NA)	 影響終生...            
(5星)	 经典            
(5星)	 看看别人在想些什么做些什么            
(4星)	 不错            
(5星)	 我的最爱            
(5星)	 大人物是爱凯莉的，我相信！只是他们真的彼此适合吗？也许凯莉真的找到真爱了吧！            
(5星)	 正面教育            
(5星)	 十年的电视剧。还是很不错的。            
(4星)	 fashion women            
(5星)	 我的最爱！            
(4星)	 为什么十年前的美剧现在看起来却也没有脱节的感觉.            
(NA)	 第一季都没坚持下来==h后来，还是坚持下来了...这是什么话....            
(4星)	 经典剧集。            
(5星)	 独立而文笔好的女子总是很招人喜欢            
(NA)	 喜欢夏乐蒂~            
(NA)	 6季连看的感觉啊。。。            
(5星)	 我想我会再看不止一遍.            
(NA)	 纽约,纽约            
(4星)	 拾起来            
(4星)	 这部剧的第一季原来这么早就有了，所以说在很多方面中国都比美国慢了将近十年的时间！现在才看第一季也不会太过时，里面的观点、想法、思想，似乎现在还是很入时！不过那也可看作是西方思想和东方思想的差别，或许再过几十年也不可能转变的观念！ 这是一部熟女片，似乎我还没到那样熟女的年龄，不过提早观摩也是一种领略！但似乎又少了些许青春洋溢，多的是成熟与稳重！我喜欢冷静聪慧的女人！ 除了在电视台里放的欧美电视剧外，这也许是我第一次认真看下去的欧美电视剧了！感觉还不错，节奏很好，简洁而精炼！喜欢里面的话题，虽            
(NA)	 挺好看的            
(5星)	 best hbo show ever!.            
(NA)	 最爱的美剧，no 2            
(NA)	 很多人排斥这部戏，我是全部看完的了。感慨的。            
(5星)	 sex and the city 其实是 love and friendship。好羡慕四个女人，坚持友谊，寻觅自己的爱情，很感动。慢慢体会回味，真的很好看。            
(5星)	 初起是从陶子口中听到，由喜欢到喜欢画了个圈。伟大的话就不讲了，有目共睹。            
(NA)	 美国电视剧            
(5星)	 很好看            
(5星)	 终于全看完了，神剧啊～最后一季好感人～很温馨的结局～            
(5星)	 超喜欢            
(5星)	 入木三分            
(3星)	 看过一季，觉得一般            
(5星)	 女人&amp;G的圣经            
(5星)	 喜欢MR BIG             
(NA)	 不是很喜欢            
(NA)	 越来越喜欢米兰达。            
(5星)	 看过会有点郁闷            
(5星)	 我看的第一部美剧            
(5星)	 行动，自省，追问，一定要过有爱的人生。如是我们都能活得丰盛。            
(5星)	 lOVE IT            
(5星)	 经典            
(NA)	 欲望城市》是发生在纽约曼哈顿四个单身女人身上的故事。她们都事业成功，都时髦漂亮，都已不再年轻却自信魅力四射。她们共享彼此间牢固的友谊，也都面临共同的问题：在这充满欲望和诱惑的都市里，寻找真正的爱情和归宿。而弄不清楚的是到底是情欲还是色欲？　　 《欲望城市》自１９９８年首播以来，不但深受电视观众喜爱，而且还得到了艾美奖、金球奖最佳喜剧、最佳女主角、最佳女配角等诸多奖项的肯定。除了归功于四位美貌与演技并举的女主角外，编剧更是功不可没，他把一直以来被视为“禁忌”的性话题成功地融入都市单身女子的生活故事之            
(4星)	 看一个时代。            
(5星)	 看了n遍。期待电影版。            
(NA)	 了解了关于“性”的一切，很像中国的《好想好想谈恋爱》。            
(4星)	 陈丹青说和美国的实际情况相符...谁知道了，也许吧...            
(NA)	 just love it            
(3星)	 故事不错但是演技不行，尤其是那个女作家。            
(5星)	 太精辟了，太好看了！            
(5星)	 切~正宫在此。            
(NA)	 一部分美国人的生活方式。与中国截然不同的性和生活。这样的为自己而生活。            
(5星)	 自信            
(3星)	 只看了一季            
(5星)	 经典            
(5星)	 美劇入門！            
(NA)	 where is my Mr.Big            
(4星)	 我就搞不懂米国佬的思考为什么无处不在            
(5星)	 太经典了...希望快点看到四个人的电影版...            
(5星)	 Sex and the City            
(5星)	 good show            
(4星)	 说不清，但是真得很有意思            
(4星)	 如果不是看见Carrie就烦，简直就可以反复看            
(NA)	 很爱            
(5星)	 我看的第一部美国电视剧，之后才是老友记。婚后在老公单位ftp开始看，后来老q赠送了一套dvd，不知道是不是婚后反而更能体会其中的某些东西，感觉很不错。            
(5星)	 寻找爱的女人们……            
(4星)	 感觉不错            
(4星)	 更懂了美国，视界豁然开朗。在爱情面前，每个女人都一样            
(5星)	 只要你还活着,就拥有追寻爱情的权利.            
(5星)	 小姑娘都该去看一下            
(5星)	 happy ending finally~~实在好喜欢这部剧            
(5星)	 Are you ready for more?             
(NA)	 favorite tv show            
(5星)	 changed my life            
(NA)	 学英语             
(4星)	 四个年过30岁骚屄的事儿            
(NA)	 只看过第一季。说不上喜欢。            
(5星)	 很好~值得一看。。。            
(5星)	 看了无数遍还是喜欢carrie            
(NA)	 点到为止，没有意思            
(NA)	 -            
(4星)	 1季            
(3星)	 大开眼界            
(4星)	 可惜我没那么女人            
(5星)	 经典 很难很难被超越            
