http://movie.douban.com/subject/2282470/	绝世好爸
(3星)	 最喜欢陈豪在这部剧里面的角色！            
(5星)	 穿西装有点点青涩与羞涩的MOSES，好男人的开始啊~~~恩，最爱这部，初恋永远是最好的            
(3星)	 传统喜剧            
(NA)	 突然发现梅小青又当导演又做编剧的好多。。。            
(4星)	 好好的爸爸啊            
(4星)	 2004            
(NA)	 开开心心的一家人，团团圆圆的一家人            
(4星)	 我也有个绝世好爸            
(NA)	 很温馨的一部剧            
(4星)	 我老爸也很好!哈哈            
(5星)	 每个人都好和谐哪，当时觉得陈慧珊和陈豪才是绝配！            
(3星)	 很有爱            
(4星)	 蛮喜欢刘锦玲            
(NA)	 蛮好看蛮温馨的。            
(3星)	 温馨，感人            
(4星)	 爸爸真辛苦 女儿很孝顺            
(5星)	 One of my all time favorites!            
(4星)	 很亲情            
(NA)	 可惜忘记了结局。            
(4星)	 陳豪轉型之作。            
(NA)	 。            
(3星)	 第一次注意陈豪            
(4星)	 还不错            
(4星)	 还是喜欢吃醋岳父些            
(NA)	 呵呵            
(3星)	 第二次看就快进了，因为很喜欢萧公子而很喜欢了陈豪一阵。看《洗冤录2》是有个路人说：“我去一个朋友家，他叫萧显辉，人称萧公子。”小笑一下。            
(4星)	 8.3            
(4星)	 当年这部剧让我迷上陈豪            
(NA)	 陈豪的萧公子真的不错，地道的港剧feel            
(4星)	 呜····土豆上看不到了····            
(NA)	 就是看了这个开始喜欢陈豪的啊            
(5星)	 我就是看了萧公子才喜欢陈豪的，怪物甲，怪物乙哈哈。喜欢佩怡            
(5星)	 要是我也有那么多姐妹该多好 .            
(4星)	 陈慧珊 郭羡妮 都是很喜欢的            
(NA)	 很温馨的呐            
(3星)	 你在绝世好什么，碰到脾气太好的人我会受不了，也不知道在好些什么            
(5星)	 儿时记忆啊。。。好喜欢秦沛爷爷演的拔拔。。。。拔拔就应该是这样！！o(￣ヘ￣o* )[握拳!]             
(5星)	 刚刚还想说在找这部电影...真想翻出来看看。。。            
(5星)	 Paul哥的爸爸戏最后一集催泪必中弹，没有浮夸起来的刘太和陈毛毛多么得人爱            
(4星)	 看完没记住            
(4星)	 这么说来，我也是喜欢过陈豪先生的！            
(4星)	 家家有个绝世好爸            
(4星)	 很轻松很温暖            
(4星)	 萧公子，陈豪最好的角色            
(4星)	 小时候的记忆啊            
(5星)	 小时候除了玩就是看电视。            
(4星)	 秦沛是我好中意的香港老爹爹~~~~~那一年郭羡妮还好纯情            
(4星)	 里面的陈豪也不错哟~~             
(5星)	 真心觉得这个好看！            
(5星)	 好温馨的剧            
(3星)	 秦沛好爸爸            
(4星)	 很温馨            
(3星)	 有这样的老豆真的很幸福，温馨小品，TVB典型的家庭剧，包容理解。是一个家庭最大的幸福。            
(NA)	 这部爱上陈豪的...啧啧            
(5星)	 支持阿MO            
(4星)	 挺温馨的家庭剧，喜欢郭羡妮在里面的扮相！            
(5星)	 很好看            
(5星)	 平淡生活里的明媚色彩            
(5星)	 记得很温馨             
(NA)	 是从哪部开始喜欢郭羡妮的呢            
(3星)	 陈豪是一个惊喜            
(4星)	 萧公子            
(5星)	 啥都不说啦。。。全是回忆啊。。            
(4星)	 这个剧给我最大的感受是，我们的生活到底是给别人看的，还是过我们自己的生活。陈豪可塑性很强啊~~            
(3星)	 秦沛，赞。            
(4星)	 老豆！            
(3星)	 真是好爸爸！            
(3星)	 温馨小品            
(5星)	 温情啊。            
(3星)	 一般般            
(NA)	 看过创世纪之后，再看这个片子。发现秦佩不仅可以演冷酷精明的商业巨头，还可以演四个女儿滴温情的爹地～看最后一集的时候还哭了的。            
(4星)	 闪光点只在陈豪            
(4星)	 老片子了，不过以前TVB的剧都很好看            
(3星)	 印象中是典型的TVB家庭温馨小剧，上学时在电视上追来的。            
(4星)	 喜欢这类温情的家庭剧            
(4星)	 跟爸爸一起看的~嘿嘿~            
(4星)	 很温馨            
(NA)	 点点            
(3星)	 就真の老一般の。。。温情牌的样子            
(4星)	 温馨喜剧。最闪亮是陈豪啊，第一次演喜剧，没想到温文儒雅的他能把一个有些爱耍赖的男人演得那么放那么搞笑，从此奠定了他一线小生+喜剧能手的位置。陈豪+陈慧珊是不错的配对，可惜只合作了一次。            
(4星)	 珊珊的姐弟恋~~            
(3星)	 喜欢秦沛！            
(5星)	 四个女儿正好可以打麻将 老爸可以煮甜汤 哈哈            
(4星)	 典型的TVB家长里短！            
(4星)	 是一部很温馨的片。            
(3星)	 有点啰嗦            
(5星)	 这里的郭羡妮是我第一次看到，一出场就给我惊艳的感觉，瞬间秒杀了我。剧情也很温情搞笑，记得看这部剧是我当年最放松的时刻。            
(3星)	 梅监制的小温情..喜欢秦沛！还有记忆中萧公子真是可爱..            
(4星)	 老爸租给我看的碟。非常有教育意义。。。。            
(4星)	 那个时候看黑白电视，是熊岳台放录像看完的，那时候不知道什么叫tvb呢，但是就觉得演的很好~            
(5星)	 温情            
(4星)	 陈慧珊演的二姐            
(5星)	 温暖 Flora的女王气场~            
(5星)	 很喜欢这种温情片            
(5星)	 看了很多遍            
(3星)	 一直都很喜欢陈慧珊，觉得她好有气质。            
(5星)	 这片子我觉得特搞笑            
(3星)	 也是初中，每天下午饭的时候看，好看。            
(4星)	 无法抗拒的家庭温情剧～            
(4星)	 我看最后两集看哭了。。。。。经典啊！~            
(4星)	 印像中是头一回在网上看了全集的港剧，很喜欢陈豪在戏中的角色            
(4星)	 美好的回忆。。            
(5星)	 珊珊，为你而看            
(NA)	 很喜欢片尾曲有缘人，做铃声很久~            
(NA)	 温馨家庭剧            
(NA)	 我是真真儿的喜欢TVB的那些熟面孔！这部片你说有什么吗？比起很多TVB的经典片子，它真没什么！甚至找不着！可是我就是喜欢，你有什么办法？片尾曲一听就不行咧~~            
(4星)	 还是以前的好看            
(4星)	 温情牌~            
(4星)	 萧公子！            
(NA)	 好看。            
(3星)	 印象不是很深了 陈豪是这部开始才当并列男一的好像 秦沛这个爸爸演得好             
(3星)	 温馨小片。            
(3星)	 秦沛大哥的角色好重复...            
(4星)	 萧公子的确不是浪得虚名，大光明也很是积极向上。            
(3星)	 是一个慈祥的爸爸            
(5星)	 好笑又温馨。陈豪太喜剧了。            
(4星)	 温情片好温情            
(4星)	 温情。            
(5星)	 momo可爱得紧            
(3星)	 陈豪很帅哦，萧公子!            
(4星)	 爆笑。            
(5星)	 学粤语时用的教材，百看不厌，阿Mo的萧公子终于使我接受了这个长得不帅的男演员，话说我太爱陈慧珊，谁爱她我就喜欢谁。            
(4星)	 很久之前的剧了，只记得最后那个爱心树的故事...            
(4星)	 秦沛是真正的老戏骨阿            
(5星)	 很温馨~~喜欢陈豪~~            
(5星)	 个人觉得陈豪最好的一部戏～            
(5星)	 这部剧里吵闹的时候，差点没把我笑死。。。            
(4星)	 温情的片子            
(5星)	 超好看            
(4星)	 很久很久之前看的，真的很溫情啊            
(4星)	 显华和佩怡在路灯下，把手表扔进江水中，《有缘人》响起，忽然就动了容。            
(5星)	 秦沛~~~O(∩_∩)O~            
(4星)	 温馨，甜蜜。            
(4星)	 还不错啦            
(3星)	 电视台成天播            
(5星)	 梅小青早年还是监制过不那么离谱的剧的。。。            
(NA)	 怪物甲，怪物乙            
(NA)	 秦沛            
(4星)	 萧公子，开始对陈豪有好感的角色            
(3星)	 温情路线            
(4星)	 一个好爸爸、四个好女儿~真的很好看~            
(4星)	 萧公子经典            
(NA)	 众多儿女的热闹！            
(4星)	 萧公子开始放彩            
(4星)	 很温馨啊。喜欢。            
(4星)	 喜欢陈慧珊的《有缘人》....            
(5星)	 经典！！！陈慧珊陈豪巨配啊在里面            
(3星)	 ．．．．．噢可            
(2星)	 又是梅小青大姐的？            
(5星)	 喜欢秦沛大爷和陈慧珊。很感人。            
(5星)	 从这部电视剧爱上陈豪的            
(5星)	 陈豪在里面的角色好笑死了            
(3星)	 还OK啦，秦沛演的很不错~~            
(4星)	 很温馨            
(5星)	 我当时很喜欢郭羡妮的角色            
(5星)	 小剧            
(4星)	 最能让我感动的一直是亲情。。            
(NA)	 蕭公子~            
(4星)	 我喜欢陈慧珊            
(3星)	 典型港式家庭剧~~            
(5星)	 当初快速糊弄完作业的动力            
(4星)	 温馨            
(4星)	 亲情            
(5星)	 梅小青这一路的片子都很治愈            
(5星)	 萧公子~~~~~~~~~            
(4星)	 好爸爸~~            
(NA)	 好爸爸            
(4星)	 黑暗的世界最需要这种温馨亲情剧            
(4星)	 很温馨。            
(3星)	 是冲着慧珊姐姐去看这部剧的，发现陈豪还不错。那时候的陈大哥，还是半红不紫，现在嘛……升天咯！我真有预见性！            
(3星)	 又是上演温馨家庭的！            
(NA)	 超爱的温馨家庭剧            
(4星)	 当时每天晚餐时间看的~~是套很不错的温情小剧~~~~            
(4星)	 很温暖的片片~            
(5星)	 真的不错呢            
(NA)	 秦沛            
(NA)	 秦沛!!            
(5星)	 适合举家一起看的温馨家庭剧。            
(4星)	 陈豪的翻身之作啊（导致林峰没奖拿导致我苗没奖拿），喜欢这样温馨的剧            
(5星)	 温馨家庭剧！Mose！好男人啊！和Flora真配！            
(3星)	 啊~~又是很多年前的~~            
(NA)	 挺经典一家庭剧~~~  不过最爱仍是“婆媳过招70回”  哈哈 嘎嘎            
(4星)	 温馨的家庭小品。。            
(3星)	 温馨小品            
(5星)	 最大的遗憾是居然……居然至今没去看到最后一集囧！！            
(4星)	 又是，一部浓浓的亲情剧。父母总是为儿女付出很多很多。。。            
(NA)	 很喜歡這部劇里的陳豪～            
(3星)	 还不错,喜欢陈豪陈慧珊            
(4星)	 喜歡秦沛 啊            
(4星)	 看完后开始喜欢陈豪..            
(4星)	 好爸爸和四个女儿            
(4星)	 陈慧珊怎么最近没消息？            
(5星)	 因为这部片开始喜欢陈豪~            
(4星)	 很温馨的电视剧            
(5星)	 我对tvb的爸爸剧很有爱，，这部剧也很温馨，，依然是秦沛伯伯演爸爸            
(3星)	 家庭剧。            
(4星)	 很温馨的一部剧~            
(4星)	 结局比较俗套            
(NA)	 很久以前            
(NA)	 不错            
(3星)	 喜欢里面的bobo~剧情老套了~            
(5星)	 很好的一套家庭剧            
(4星)	 喜欢里面的萧公子  ~~~~太灵了~~~            
(5星)	 从这部剧开始喜欢ＭＯ～            
(5星)	 暖流            
(4星)	 秦沛是个老戏骨。。            
(5星)	 很好看的剧！！            
(4星)	 我想老爸了～～～            
(3星)	 还行            
(4星)	 因为很温馨。父爱。            
(3星)	 喜欢这个爸爸~~~我也有个好爸爸呀，哈哈            
(4星)	 温情片，再看一次粤语版的时候感动了。            
(NA)	 陈慧珊拿台庆女主角的戏？            
(4星)	 家庭剧。。。            
(NA)	 创世纪叶孝礼化身好爸爸~            
(3星)	 老爸不易            
(5星)	 太温馨圆满了！轻松的，很好            
(NA)	 TVB拍的电视都是讲职业方面的故事开头的  这部特别的 讲亲情的```            
(4星)	 陈豪太有喜感了~~            
(4星)	 老爸好好            
(3星)	 我最爱秦沛            
(4星)	 又想翻出来看···            
(4星)	 很温馨的家庭剧。喜欢好爸。            
(3星)	 一般            
(4星)	 sonija kwok 港姐NO.1            
(NA)	 温馨的一部剧～～～            
(5星)	 特别喜欢秦沛            
(4星)	 喜欢陈慧珊            
(4星)	 四角俱全，除了大姐的那段比较拖沓，二三都不错            
(5星)	 好看吖~            
(4星)	 有正版VCD的说，温馨家庭剧            
(5星)	 看陈女人在这部戏里的打扮,实在很漂亮!~~~            
(3星)	 好爸爸。            
(4星)	 [BSc] 陈豪开始上位            
(5星)	 好看。陳豪在這部戲里表現很好，所以說他還是適合演喜劇。            
(NA)	 好看捏            
(NA)	 喜欢温馨的家庭剧            
(4星)	 when i came home ,i watch this            
