http://movie.douban.com/subject/4202127/	读心神探 讀心神探
(4星)	 莫要再抄袭美剧啦~~~加入感情戏份还是比较美好滴            
(NA)	 这个抄LIE TO ME的也太明显了吧。TVB怎么都要抄欧美剧的啦。难道就写不出好的剧本了            
(4星)	 不太喜欢那字幕            
(3星)	 片尾林保怡对着镜头唱歌的样子总是会让我燃起看下一集的热情。            
(3星)	 受不了lie to me，我居然可以用翻版杀时间            
(3星)	 就是有点磨叽            
(4星)	 虽然剧情就是这样 但是还是会觉得好看 宗仔 林保怡             
(3星)	 11.16-11.26 对这种破案方法还不是很认同~他爸最后居然被感化了还挺失望的~人格分裂也是,很不喜欢~哈~还好有黄宗泽~啦啦~            
(3星)	 林保怡好唐僧哦~            
(4星)	 完全给面子男女主            
(2星)	 为了凸现神探的观人术，而放大罪犯的动作，显得罪犯有点白痴。看完前5集以为后面会好看，结果狗尾续貂（还不算是真正的貂），尤其是最后一个案子拖沓得要死，还有那个半开放的ending，也实在狗血到极至。            
(NA)	 TVB版LIE TO ME~8~10~15~16黑帮戏才是TVB的范儿~估计18是人格分裂的戏了吧~19剧情变烂是港剧要结束的标志~20TVB式结局~            
(4星)	 大结局真sweet哟~            
(3星)	 如今的TVB  看就看 没啥可评的            
(3星)	 lie to me ~? TVB 版..?..            
(4星)	 中规中矩。希望后面有突破            
(3星)	 读心读的太刻意了，情节不自然。            
(1星)	 抄吧抄吧抄吧抄吧，偶直接看原版得罗~            
(2星)	 俺是为了看林保怡的。看不下去了。            
(4星)	 我发现我越来越待见林保怡和田蕊妮了            
(4星)	 看来不是很山寨，保哥气质很帅            
(3星)	 虽然很明显是抄袭美剧“lie to me&#34; 但是对于TVB这短时间没一个叫好的时装 尤其是侦探剧来说，不错了……哎            
(NA)	 我没看完 lie to me 的第一季 只看了几集还是文化背景的不同 我个人反而更喜欢tvb的风格             
(4星)	 终于断断续续追完，外界褒贬且不论，对于林保怡和田蕊妮的组合很是欣喜，希望以后有机会继续合作，另外里面饰演赵文海的男演员蛮帅的，演技也不赖，看好他。            
(3星)	 预估有第二部。            
(2星)	 看过lie to me的看了开头根本看不下去orz好了。我去看谢雪心的剪辑好了T T            
(4星)	 美剧什么的我就不说了 冲着演员给的4星 一众配角都十分黄金 田蕊妮的气质一直很喜欢             
(2星)	 本来觉得还行，后来去看了美剧，完全不是一个档次嘛            
(3星)	 有点假 一看就看出来            
(1星)	 勉强撑了半集，这个质感的电视剧，还真以为观众还是十年前的水平那么好糊弄啊？            
(4星)	 林保怡啊林保怡~~黄宗泽啊黄宗泽            
(NA)	 TVB版lie to me...可是有bosco~~~            
(3星)	 港版lie to me，期望田蕊妮同林保怡快快擦出火花XD 点解陈茵微出出剧都同一个造型你吾闷我都闷……当然不能少的还有港剧精典的狗血家庭纠纷………            
(3星)	 idea是来自《lie to me》就算了，卧底、人格分裂这些桥竟然是最后的终极，太老了| bowie遇到青梅竹马的那集，茶室被枪杀案似源于《香港“亿万富豪”林汉烈遭遇冷血杀手前后》http://news.sina.com.cn/s/2002-12-13/1414840129.html            
(4星)	 这剧全靠林保怡和众演员撑着。剧本烂到一定境界了。可见TVB给编剧开的工资有多低。            
(3星)	 到底还是TVB知我心            
(NA)	 啊哈哈哈林疯搞完伽利略林保怡又来搞lie to me了。            
(4星)	 港产lie to me，充满奸情的小组。刑警那隊不給力            
(NA)	 开追。跟lie to me的区别就在于“我要看”和“我不要看”。看完之后的评价只能是“麻麻地”。            
(4星)	 剧情三星，阵容大块田加两星，陈茵薇减一星。为什么最后三姑六婆没有跟他们和好啊。。这帮人也太没素质了伐。。            
(NA)	 山寨lie to me.            
(2星)	 TVB啊TVB~編劇可以再懶一些  再差勁一些........抄也好好抄好不好？            
(3星)	 港版lie to me。。            
(4星)	 又是一个仓促的结局= =            
(3星)	 剧集好短，没有主线。。仓促的2010TVB            
(NA)	 太失望了            
(4星)	 麻烦那些给差评的人摸摸良心再评啦            
(3星)	 本地化还行            
(2星)	 还好只有20集。。。又是24billy             
(4星)	 没看过lie to me 表示这剧还可以，符合喜欢的口味，杀人 情杀 侦探 惊悚 不错还~结尾曲ost还不错是林保怡唱的吗。此剧对林保怡印象分提升了不少~~            
(3星)	 哇哇哇好喜欢田蕊妮好喜欢黄宗泽好喜欢林保怡昂～大半夜的看最后一个人格分裂的案子被小吓到了啊。我的恐怖点真是太低了～还不错啊剧            
(3星)	 冲着林保怡才看的。            
(NA)	 一开始觉得这是LIE TO ME和CM的山寨，看不下去。后来被迫看了几集后，看出点港剧的意思。有些案子还是很有意思的，比如说记忆宫殿，比如说玄灵子。            
(3星)	 看TVB这类片这么多年，人格分裂和同性恋十有八九是压轴了... 说真的我想找找那个记忆宫殿的资料来看看，还有《24个比利》那本书。            
(3星)	 好久没有看完一整部电视剧了            
(3星)	 純屬模仿            
(3星)	 我还沉浸在对儿时《鉴证实录》带给我的那个曾sir林保怡的幻想中。            
(3星)	 你在说谎~~~            
(NA)	 追看剧~微表情~            
(4星)	 能学到很多东西            
(NA)	 非常好看啊 每天下班到公寓就忍不住想看 下午可以有第二部            
(4星)	 还是那句话--好看！虽然概念上有很多模仿LIE TO ME 的痕迹，但是TVB就是能把个西人的故事变得那般香港化，于是家常亲切起来。            
(3星)	 现在港剧里德判案剧都这么傻逼么            
(3星)	 还不错            
(4星)	 剧情紧凑，案件简单，读心实用，免不了被说成像 LIE TO ME，不过林保怡演的还是不错的~ 值得一看哦~            
(3星)	 即使知道模仿LIE TO ME，即使没有LIE TO ME精彩。还是偶尔想听一听TVB的配音演员们的声音。仿佛回到了学生时代，看着安徽卫视放着TVB，抄着暑假作业的年代。            
(3星)	 名字好囧…片尾曲开头林保怡那张脸迷屎我了…            
(3星)	 虽然很多地方抄袭LIE TO ME ，但是还是很有TVB的风格            
(3星)	 虽然抄袭，但是都习惯了。还是比芒果台有看头的。            
(4星)	 我还没看过lie to me呢。。益智~            
(4星)	 和故事情节和细节比起来 我的TVB情节更多             
(3星)	 借鉴是可以的，只是这个结尾实在是虎头蛇尾            
(4星)	 熬夜看完了 ~~~            
(3星)	 太一般了。            
(4星)	 轻松打发时间            
(4星)	 好多年没看过TVB了  感觉还行 不知评分为啥这么低            
(4星)	None
(4星)	 其实……还是满长知识的……关于微表情那块……虽然大部分都是抄的lie to me，但是抄得很港剧也算是成功之处了。另外，田蕊妮真是太有女人味了。其中有几个案子可无聊了一开始我就猜透了= =            
(4星)	 美剧移植，能本土化就是成功。从各种方面上看，它都充满着TVB的气息。另，相对于lie to me 它更接地气，把行为学阐述得更有理有据            
(3星)	 可能是没看过lie to me，所以我真觉得还可以，没豆瓣上评的这么低。现在的豆瓣真是个神奇的地方。            
(2星)	 no            
(3星)	 有些情节实在看不下去...没看全            
(NA)	 TVB 版 lie to me            
(4星)	 TVB的老套路啊，不过看看林保怡，杀杀时间还是很不错的啊            
(3星)	 拖沓            
(3星)	 感觉就是照搬lie to me好不好/  看这个是为了黄宗泽            
(NA)	 江苏卫视 不见不散 LIE TO ME加港式恩怨情仇什么的。。。            
(4星)	 看了一下午=。=爱林叔叔！！！            
(3星)	 就算不看lie to me也知道这是山寨剧咯            
(4星)	 还不错            
(NA)	 TVB的剧真是很给力啊，林保怡也很帅啊            
(3星)	 案件弱智            
(3星)	 太牵强            
(2星)	 DIU ..            
(4星)	 还算好看~就是每集重复的Micro Expression分析看多了让人有点烦……林保怡man，黄宗泽帅！多给一星~            
(NA)	 lietome 没抄好            
(4星)	 我觉得蛮好看的，真的很TVB阿，哈哈…虽说抄袭lie to me，但是现在的电视不都是你抄我我抄你吗，演的还不错，可是我不喜欢林保仪那张要死不活的死人脸            
(3星)	 我可是从小看着林保怡演得警官长大的，杜太太田蕊妮也不错啦            
(2星)	 痕迹过重，编剧比Lie to me差了8个街区            
(3星)	 开头几个案件还不错，最后两个有点拖沓，总的来说比大陆剧要好很多。            
(4星)	 虽然模仿了lie to me 但是总体还是不错 实在喜欢林保怡&gt;.&lt;            
(3星)	 我觉得挺好的啊。林保怡啊！！不过就是感觉是lie to me             
(3星)	 普通案件、好友案件、家人案件、双重人格案件。都是这个套路。            
(4星)	 港版lie to me 么？ 本人表示对林保怡说教式形象以及台词都无法接受。结局和妈ADM的那一抱，，，，是不是也太……忽悠人了。这就完事啦？？？晕~            
(3星)	 一般= =            
(NA)	 其实还不错，也是看到男主才去看的            
(2星)	 林保怡也老了啊.......这片很作啊.........            
(3星)	 看了几集不知为什么就是看不下去 剧情不带感!!            
(4星)	 黄宗泽好帅啊！            
(3星)	 扯了点啊。。            
(3星)	 其实我觉得这部还算中规中矩，只能说，没有特别烂。            
(4星)	 最爱保佑            
(NA)	 香港版LIE TO ME            
(NA)	 我终于认识黄宗泽了！！！yeah！！            
(3星)	 TVB的编剧太体贴观众了，演员的微表情做得要多夸张有多夸张，就怕观众看不到。每次回顾一些刚发生过的细节，又拿当时的镜头重放，真是怕观众老年痴呆记不得啊！硬生生拖慢了剧情发展。            
(4星)	 感觉是模仿的lie to me~~但是港剧比较大众化，适合我这种不爱动脑子的人看~~哈哈哈~~            
(5星)	 tvb抄袭啊~不过我很喜欢破案片啊思密达。喜欢黄宗泽！            
(2星)	 披着LTM外衣的传统家庭纷争戏            
(3星)	 黄宗泽是tvb里我喜欢看到的男演员,演的了萌傻呆大丈夫,装的了瘸腿黑社会,撑的起大场面,扮的了配角小龙套,真心是个好演员。              
(NA)	 没看过lie to me，所以没压力，TVB拍成啥样都还好啊            
(4星)	 不管剧情多么千篇一律，我始终是忠实TVB的忠实粉丝！            
(3星)	 我要学习记忆宫殿了，呼呼~~            
(NA)	 纯粹冲着林保怡去的，不过么，剧情没啥大新意，打发时间还可以。            
(2星)	 这个真的太弱了。。不过黄宗泽好帅 刘大状也好帅！            
(3星)	 听粤语听得我好嗨            
(3星)	 完全学lietome。。但是很牵强            
(3星)	 准备看LIE TO ME            
(NA)	 【2010-10-04】            
(3星)	 说着不咋好看，也还是看完了。。            
(NA)	 追完就是胜利            
(3星)	 罗里啰嗦的林保怡            
(3星)	 剧情狗血了点儿 卡司还可以            
(4星)	 看了这个，然后再看LIE TO ME。。。            
(4星)	 终于找到一部还可以的港剧了。感觉演员还是很牛逼的，港片都这么几个人，但演什么角色还真象什么。            
(3星)	 喂！自虐也要有个底线啊……不能以粤语为借口对狗血剧上瘾了好不好……╯▂╰            
(3星)	 林保怡唱歌好好听啊            
