http://movie.douban.com/subject/2153590/	欲望都市 第六季 Sex and the City Season 6
(3星)	 看这个剧之前没觉得自己会喜欢，结果看完最后一集才发现还是多不舍的。            
(5星)	 终于追完袅，欲罢不能！四个不同格调的女人，体验、寻找与选择！在爱与不爱的迷失中慢慢修复关系和自我！            
(5星)	 我喜欢这结局。            
(5星)	 最后两集 流了好多眼泪 爱她们 非常            
(5星)	 我觉得最亮点的是你们都不喜欢的旁白部分~            
(5星)	 the last scene made me cry            
(5星)	 真爱Big的表情～            
(5星)	 终于看完最后一集 我要的是耗尽心里的 谁也离不开谁的爱 他不在这个豪华套间里            
(5星)	 一直在重复看。            
(NA)	 Carrie十足的自私物质女。。不理解怎么有男人like her   脑子被门卡了            
(5星)	 Thank you, the girls!            
(5星)	 当carrie离开纽约时，我知道，这是一个时代的结束。最后两集冰冷的现实只是为了在六年的尾巴上能开出最美的绝地之花么。百转千回的爱情和始终如一的友情。还有比这更美好的纽约童话，纽约故事么？！我爱你们每一个人。            
(5星)	 完美。            
(5星)	 第六季是我最爱的一季 四个女人在追求爱的路上成熟了            
(5星)	 带我回家            
(5星)	 看完心里堵得慌。年龄不同，追求的快乐也不同，不忍就这般落幕，虽然是最好的结局            
(5星)	 dam sex and city            
(4星)	 好难得，S变得如此柔情脉脉。            
(5星)	 Classic&amp;irreplaceable!            
(NA)	 I love you, but I love me more.            
(5星)	 太好看了~~~~            
(5星)	 最后一集，温暖来            
(5星)	 妈的，我有一年没有看片子哭得这么惨了            
(5星)	 这季最好看啦~看到萨曼莎坚强的样子泪点马上崩溃了。            
(5星)	 教人成长，尤其是情感。            
(5星)	 big看见凯利在第上捡项链珠子的情节太萌啦~            
(5星)	 第六季实在经典。            
(5星)	 这一季最精彩的是关于坚强的Samantha的故事            
(5星)	 就这样结束了。。。。看哭了我。。。            
(NA)	 历时挺长才看完全6季，现在想起来也算是个经典了。当中几次停顿，因为厌倦了女人间不停地谈论男人。但真的完结之后才觉得没有这样的谈话已经不习惯了。最后的结局算不算最好我不知道，只是每个人都需要一个结束，无论是什么。            
(5星)	 大结局的时候，MR.Right哭啦！好感人哦！            
(5星)	 怎么可能没看过这部剧集！喜欢凯利（大龄女依然拥有少女味）、萨曼莎（坦率的欲女）、夏洛特（傻得可爱地坚持自己的公主梦），不喜欢大先生，太老了，而且那么有钱，太假了。            
(5星)	 眼泪最多的一季            
(NA)	 from lu            
(5星)	 收藏了最后2集。。。其实我想买碟            
(NA)	 除了女主角奇形怪狀，其余OK。            
(4星)	 温情回归 happy ending            
(4星)	 Sex and the City             
(5星)	 the best season overall.            
(5星)	 The Best ！            
(NA)	 前三个季看得我心里最难过了。第五季第六季比较轻松了。但最后几集和大结局实在无聊、俗滥得狠。总之这个剧现在看已经过时。再有同类题材的剧不会是这样处理。            
(5星)	 Every girl is Carrie! Therefore,surprise,there must be a Mr Big Jerk Asshole, who makes her life messed up in a beautiful way            
(5星)	 carrie，you are the one            
(5星)	 haha ,i love them women!            
(5星)	 当不了夏绿蒂 就当社曼萨！            
(5星)	 默默地就看完了。。            
(5星)	 看完六季，最爱samantha            
(5星)	 戒剧的时候到了！虽然欲望都市的时长很适合课间休息…好剧真是看一集少一集啊…ep11，这集好看。ep12、13黑人和俄罗斯人的调情手段也真是受教了所以说好的剧本和台词对生活是有指导作用的。太理解ep16饭桌上的小尴尬了。            
(NA)	 最爱，没有之一。            
(5星)	 虽说巴黎篇是单纯为了结束而结束，但还是好喜欢。            
(4星)	 我想起，凯莉经常很sexy地扭来扭去，要是换一个不那么好看的女孩儿，一定就是daisy女神常说的“扭成鞭毛状”，真是造化不公啊^_^            
(5星)	 太完美了            
(5星)	 HBO出品，必属精品。            
(NA)	 必须得有几个闺蜜  几个当中只觉得 萨曼珊对朋友挺仗义的            
(5星)	 全五星            
(5星)	 看到carrie电话miranda那里，泪鸟，果然是 年纪大了么||||||||||||            
(5星)	 开始以为他们游戏人间，最后才发现他们比谁都认真。结局已不再是狭义的男女之爱，而是人与人之间的关爱和理解。最后一个镜头告诉我们，最适合你的人，不一定要带你在漫天飞雪中坐马车在城市中漫步，而是，走在街头你接到他的电话会聊的前仰后合旁若无人。经典中的经典。            
(4星)	 It is over.            
(5星)	 Life goes on and I&#39;ll always love you.            
(4星)	 电视里总是有太多圆满的结局。现实里又有多少人能够获得这样的圆满？            
(5星)	 连音乐都变温情的最后一季，每个人都有了好的归宿。对于一个女人来说，有三两闺蜜，有一个深爱自己的男人，有一份事业，就是对完美生活的定义。big在carrie众多男友中绝不是最好的一个，但磕磕绊绊走过六年，总归是最熟悉的一个。也许是到了最后，都看遍了也看累了，才会回头选择最熟悉的人。            
(3星)	 电影版垃圾至极            
(5星)	 It took me really a long time here, but I&#39;m here            
(5星)	 从倒数第三集开始泪目，最后这集变得沉静温和美好，所有的感情都沉淀了下来，所有的归宿不是完美却是最好，独居的这一个星期，她们陪我度过，我觉得很幸福，很幸运。            
(5星)	 最好看的一季，温暖的结局。            
(5星)	 6季通通翻来覆去看了N遍。再也不可能有这么一部剧被自己当做圣经。            
(5星)	 我最喜欢萨曼莎的男人。            
(NA)	 把它看完了，可是觉得像是没有结束            
(5星)	 在这个明媚的初春午后 看完了这四个女人的十年 寻找爱情那么痛苦 可是每个人还是在执着地寻找 每个人都头破血流 改变了信仰 信念 原则 一切都变了 最终都有个美好的结局 或许生活不是电视剧 或许没有美好的结局 但总有个结局等着你 请加油 眼泪不要掉了            
(5星)	 她们都是勇敢聪明的女人            
(5星)	 最后都看哭了            
(4星)	 大学时代完整看完的两部美剧之一。那是一个时代。            
(5星)	 samantha演讲的那一集很感人啊！            
(5星)	 全了。            
(4星)	 才看了一集，不好看了。            
(NA)	 最后一集每个人都是好的归宿，终于看完全部剧集，有点怅然若失的感觉。            
(5星)	 最后几集看得太感动了，热泪盈眶。            
(5星)	 终于在这个假期完结它。我们都喜欢Samantha，因为我们都做不成她那样的女人，还好，她找到了the good one.            
(5星)	 挺喜欢Samantha的。唯独这一季有个happy ending            
(5星)	 喜欢就是喜欢，需要什么理由哦！            
(5星)	 爱与被爱才是永恒的话题。            
(4星)	 爱 是永恒的话题            
(5星)	 I love love love love love mr  big!!!             
(3星)	 Goodbye, SEX AND THE CITY.            
(5星)	 结局太美好            
(5星)	 和她们走过的日子~推荐给每个女人。            
(5星)	 我爱这个             
(4星)	 He Is Not Just Into You. Friend Or Foe            
(5星)	 满满感动，意犹未尽~            
(5星)	 人类马戏团 100921            
(4星)	 watch out. Carrie is getting bitchy and bitchy.            
(5星)	 最后她们都找到爱了            
(5星)	 我爱死最后几集了 各有MR.RIGHT的四个姑娘 她们怎么能一直那么好那么好那么好那么好那么好!!!!!呢????????            
(5星)	 生活就是因为不完美才会这么美好的            
(NA)	 一气干完六季～            
(5星)	 当看完之后才明白为什么看了那么烂的电影版粉丝还是感动不已。            
(5星)	 虽然并不是很满意大结局，但是实在想不出有什么比这更符合市场口味的结局了。总的来说，i love you all!            
(5星)	 so good            
(3星)	 所以都追下来了…… 电影就不用了吧            
(5星)	 。。。还好最近没抽疯。。要不就要看第四遍了            
(5星)	 很好很强大            
(5星)	 finally 這季猛            
(5星)	 friendship。            
(5星)	 很好            
(NA)	 大学时代女生们的最爱            
(4星)	 只有在秋冬才更容易感受到爱意和温暖，perfect ending~~            
(5星)	 五星是给最后两集            
(2星)	 美国人是世界的宝宝，纽约客是美国的宝宝；虽然是女人都贪心，但比起其他女人，这群曼哈顿女人更加无知，控制狂以及自以为是，却忘记了她们想要的其实她们自己配不上。            
(5星)	 my old Russian             
(5星)	 美剧中的第一，永远都不会过时。4个女人的那些衣服，carrie的那些鞋和包看到现在都依然是经典；现实的剧情和犀利的台词更成为了前世界所有女人的恋爱教科书，女人要的一切都能在这里找到。片面地说，如果你作为一个女人而不喜欢这部剧，我有足够的理由怀疑你到底是不是个真正的女人。            
(5星)	 这是一部多么美好的电视剧啊 最后的最后 圆满又温馨 四个女人各自找到了爱            
(5星)	 她们都老了，我也长大了！女人就是这样恋爱的！            
(5星)	 最后几集看得我哭了笑，笑了又哭.. fabulous！！！友谊、爱情.. 都是命中注定的.. 看完我更想快点回到我的city去了..            
(5星)	 当史密斯为了萨曼莎而理光头发的一刹那，我竟被感动到嚎啕大哭。当萨曼莎本性流露，勇敢的揭去假发，我再次被感动到泪眼婆娑。当最后的最后，四个“女孩”找到全新的自己，我再再次被感动到泪流满面。我知道，这很傻气，然而这种感动是我无法克制的，傻就傻一回吧——            
(4星)	 这部剧呢 我很落后地追.然后看一集删一集。这一季删到最后舍不得下手了。relationship.reality.love.            
(5星)	 你们终得圆满。            
(5星)	 拖了几年 终于看完 泪 太爱了            
(5星)	 开始的时候我只喜欢Samantha，喜欢她的野，喜欢她的狂，喜欢她的荡。但到第六季的时候我爱她们每一个，就像看完了老友记，每一个都让你感动            
(5星)	 半老徐娘们带给我的勇气和爱。            
(5星)	 能让我追下来的是精品中的精品，不看古装剧，偶像剧，日韩剧也看不下去。就靠美剧了，第一集，小囧娃看爸妈互相往脸上涂便便，omg.第九集，诶，俺知道什么叫吸茶包了，建议纯洁的同志都来欲望都市上上课。最后一集，舍不得这个剧，很棒，you got the love,Maranda.me            
(5星)	 i love it. 看了不知道几遍了            
(5星)	 结尾多好的，虽然不喜欢凯瑞，不过还是希望看到她和BIG在一起，还有好喜欢的SAM也恢复正常了！HAPPY DENDING!            
(5星)	 依然还是缺最后一集，那俄国佬实在太好了，不忍心看到女猪为了BIG飞蛾扑火而抛下他。            
(4星)	 介不是当年那启蒙篇咩？            
(5星)	 突然觉得被这部自己以前不屑的片子抓住            
(5星)	 最爱的美剧之一            
(5星)	 爱情，在转角            
(4星)	 The girls all has a reasonable ending.            
(4星)	 令人感动的友情            
(4星)	 这一季改走温情路线            
(5星)	 凯莉最后跟BIG在一起，最纠结的情种找到了归宿。            
(NA)	 经典            
(3星)	 我不喜欢第六季，神经质女人总是不能让人忍受更多哪怕一分一秒            
(5星)	 还是美剧比电影好看，我果然走的温吞路线，要慢慢来            
(5星)	 fabulous!            
(5星)	 Just fabulous.            
(5星)	 &#34;You are the one&#34;            
(5星)	 这部男猪脚和女猪脚我都讨厌的剧，居然还看完了=v=            
(5星)	 任何时候，都不能失去自我。            
(5星)	 tai zan le !!!            
(5星)	 oh...太感动了！！            
(4星)	 凯莉和大先生纠结了六年...            
(5星)	 结尾内牛满面～            
(5星)	 女人情感励志片。            
(5星)	 终于看完了最后一季，除了CARRY部分有些情节牵强外其他都非常精彩，喜欢SAMANTHA~            
(5星)	 love Samantha!!!! And Harry Goldenblatt is hot too!! (gees, what&#39;s wrong with my taste? :P)            
(4星)	 最后一季很好看            
(4星)	 最后的结局太过温情，只是一点安慰，当不得真            
(4星)	 　            
(4星)	 每年都会重温欲望城市，每次重温都有不同的体会。凯瑞的专栏被粉丝叫做纽约生存指南，那欲望城市大概就是都会单女的生活写照了。从最初看时讨厌BIG的三心二意，到最后终于承认他才是凯瑞的真命天子，追看心仪美剧有这样一种感觉：剧中人有如亲友一般，与我们一起成熟变老            
(5星)	 不喜欢CARRIE, 更喜欢samantha, miranda. 总共6季，看了无数遍，每个场景，每个细节都牢记在心了。。。永远的经典。如果让我电脑里只能留两部片子，这绝对是其中一个。            
(5星)	 爱死这部电视剧了！            
(5星)	 最后一季实际上是一个童话，如今依然感动，但不相信了。            
(5星)	 i love it            
(5星)	 兜兜转转，终会遇见            
(5星)	 让人开始流泪并且不止一次的一季~Smith陪着Sam剃头，听她的乳腺癌演说，送她那一盆待放的水仙。。。临走前四个姑娘的聚会，Miranda红红的眼眶~还有开始爱的Big~拜拜了~I heart SATC~泪~~~            
(5星)	 555~~~好感人啊`~~it&#39;s not simply about sex and the city...            
(4星)	 欲望是生存动力。            
(3星)	 编剧估计有点累了。。。这一季真不是特别好，最后的HAPPY ENDING似乎不是顺其自然的，更像是编剧与女主角年龄之间的一种妥协。            
(5星)	 萨曼达改造了男模，米兰达终于和史蒂夫结婚了。            
(4星)	 居然看哭了。。。            
(4星)	 很好莱坞            
(5星)	 这个就不用说啦，最爱~~            
(5星)	 有时候攻占一个人的心很难，但你还是爱他。            
(5星)	 大爱的一季，第四遍看，继续受益匪浅            
(5星)	 第六季反复看，看的很伤心            
(5星)	 结束不是爱的终结。            
(5星)	 大爱最后一集Candi Staton的You Got the Love            
(5星)	 大爱6季的结尾，，，一切都很美好~            
(4星)	 Carrie终和Mr.Big一起了www            
(5星)	 。            
(5星)	 自认为这一季最大的亮点，不是Carrie，我对她的作家男友和那个俄国人都没什么好感。最大的亮点是Samantha吧，真是爱极了这个女人，只要有她出现，就能遮盖住所有人的光芒。又何止是男人爱她呢 我也爱她！            
(5星)	 deeply moved            
(5星)	 happy ending            
(4星)	 看到CARRIE就最小化            
(4星)	 电影已经背离了电视本身的初衷,变成了华丽的fashion show,但是,我还是会看            
(NA)	 我看完了一部妇女剧……我的第一部看完了的美剧……            
(5星)	 看着他们最后的归宿，虽然个别段落有些过于戏剧化，没有我喜爱的深入研究感情的架势，但依然深得我心。最后，大家好像都意识到了最珍贵的是什么。结局时我忍不住还是跟着剧情起伏留下眼泪。            
(5星)	 人性            
(5星)	 和四个女人一同成长            
(5星)	 爱啦            
(3星)	 疯癫。太疯癫。            
(5星)	 还有什么好说呢。            
(5星)	 老实说，这一季里我最不喜欢的就是Carrie。这一季里其他人多少都变可爱了，Samantha打开心防去爱那个小男生，Miranda开始去宽容身边的人并学会表达爱，Charlotte不再那么吹毛求疵。可Carrie却越变越自私，容不得别人的意见，还强迫别人要接受她的想法。总之，这一季里不喜欢她。            
(5星)	 BIG只有在最后一集才像个男人，我喜欢Smith童鞋            
(5星)	 第二遍            
(4星)	 终于看完了第六季~            
(5星)	 我终于看完了            
(5星)	 You are the one. Fantastic ending.            
(5星)	 六部。。终于看完了~~真的很精彩~            
(2星)	 能有什么新意？            
(5星)	 最喜欢            
(4星)	 最后一集的最后十几分钟到现在都没有看，一直放在我电脑里。。结局，就让它留下吧            
(5星)	 好看            
(5星)	 灵啊~            
(5星)	 哦，最后你重投big的怀抱，但是我知道，这都不是我们的心意。            
(5星)	 喜欢啊，特别是最后！            
(NA)	 剧本总是应该有一个结局。i wish it works in the same way in reality.            
(5星)	 为什么现在不继续拍了呢            
(5星)	 我一直以来最喜欢的，原来是samantha.            
(NA)	 最不愿看到的就是所谓mr big...我总是忘不了你们。            
(5星)	 终于结束了，哎~~~~法国之旅啊，只存在内心的深处。突然想起那句话，关键不在于旅途本身，在于和谁一起..            
(5星)	 just me            
(NA)	 我的至爱~            
(5星)	 米兰达这季变美。我喜欢这季这种篇与稳定和长久relationship style. They are more serious.            
(5星)	 终于看完了 我的第一部完成版美剧            
(5星)	 无论身边的人来来去去 我知道你们总在这里 不变的感情 四人一起往前走            
(4星)	 我看的还是法语的.真是想想不到我可爱的Caral讲法语,我居然忍受了.            
(5星)	 fabulous！！！！！！！！！！！！！！！            
(5星)	 girls, be brave!            
(NA)	 看了电影版的SATC 最终还是决定花可以看很多部电影的时间来把6季全部看完            
(5星)	 纽约的风光片。ANYWAY，结局还是我喜欢的。至今为止最喜欢的一部美剧了。            
(4星)	 看完第六季的最后一集，叹出了一口长长的气。            
(NA)	 曾经很喜欢。            
(5星)	 四個女人回歸生活，感動的真實。C&#39;est la vie..            
(5星)	 这季的封面特别好看            
(5星)	 其实电影版纯属画蛇添足            
(5星)	 难得精品            
(3星)	 samantha的smith真是太完美的男朋友了。            
(4星)	 這季怎么這么好笑～～拍桌子，哈哈哈……            
(4星)	 部分是真实的，但必竟我比她们年轻，身上还有属于东方女性的传统价值观。            
(5星)	 Fabulous！            
(3星)	 还是有很大的文化差异吧，电视剧就是电视剧，现实生活中的夸张情节。            
(5星)	 That&#39;s just the one            
(5星)	 永远经典            
(5星)	 看完了，结局很赞！所以说真爱无敌，就算有那么多混乱和盲目的过去！            
(5星)	 四个个性的女人玩累了然后踏实下来的故事。第六季很好看，怎么后来感觉像是励志剧了。。不过加上配乐，的确触动了我的情绪。也许现实会不如这个结局美好，但我喜欢这个结局。            
(5星)	 对一部电视剧的感情，可以深到这个地步。            
(5星)	 太棒了，classic. Sex is just surface, and the essence is love &amp; friendship.最后几集的时候真的有些飙泪，这里面有太多让人思索的东西，想写一篇日志了。ps.终于知道为什么有人能一直追剧了，it&#39;s about growth.            
(5星)	 永远的精神食粮            
(5星)	 迄今为止我唯一一分钟不落看完的美剧，不知不觉就没有下一集了，怎么就结束了呢,离开了你们，怎么会淡淡的失落呢？I LOVE YOU FOUR GIRLS!             
(5星)	 对人有欲望，对一个城市亦然。            
(5星)	 那些年，對你不離不棄的女孩們！            
(5星)	 很代表美国，花很短时间看完，说明他还是很好看的，又不会造成很大的心理压力，很喜剧的感觉，喜欢samantha            
(5星)	 最后一季怎么着也得给满分- - CARRIE跟俄国佬的老婆一起吃饭我勒个去气质差了多少。。高下立判高下立判。。。            
(4星)	 1月17号到2月6号，六季共94集看了21天终于结束了。Samantha真是太棒了Smith也是个好孩子嘤嘤嘤…纵使我那么不喜欢Carrie觉得她发生的一切不幸都是自作孽，在最后一集还是被其他三个女人（咦…）的结局感动落泪了。            
(4星)	 -1，dont like carrie            
(5星)	 四个女人由内而外都让人更喜欢了            
(5星)	 最后一集终于让人红了眼眶。残酷的成人童话，最后青蛙王子与女王们幸福地生活在一起。有时候，青蛙王子也没什么不好的，因为关上门冷暖自知。            
(5星)	 消磨时间，紧凑有料。            
(5星)	 Samantha值得最好的男人。            
(NA)	 超练口语！            
(5星)	 这是经典！必须看            
(4星)	None
(3星)	 不明白为什么CARRY会答应那个俄国佬的求婚什么的～～～觉得很扯淡。            
(4星)	 终于看到最后一季了            
(5星)	 当Big赶到巴黎找到蹲在地上狼狈的carrie时真是激动的让我落泪。是你的,总归是你的,如果得不到,是因为老天给你准备了更好的!!!!            
(4星)	 you  are  the one ! take me  home !            
(NA)	 很不错            
(5星)	 从初中到现在这么多年了。今天终于有勇气说要看完大结局。虽然剧是老了一点。但仔细想来也算是我的美剧启蒙了。爱她们的友情。以及那些美到爆的时装。所以。无论从哪种意义上说。都值得纪念一下~            
(5星)	 哭            
(5星)	 sometimes it&#39;s hard for us to separate what we want to do from what we should do.            
(5星)	 唯一一部可以一口气看到最后的美剧。迄今为止最棒的美剧。Big&amp;Carrie always hit me~            
(5星)	 又一部经典好剧看完了            
(4星)	 经典的美剧，爱情，友情，生活，时尚，喜欢他们，那么的戏剧又真实~~郁闷的是经常欲望都市找不到全部集数的，虽然说全部六七季我都看完了，但好像中间还是会漏了几集……可惜啊~            
(4星)	 爱情反反复复，朋友一直都在。            
(4星)	 其實我挺喜歡那個russian的...要是他們能live happily ever after in paris 難道不好麼...            
(4星)	 传播学老师最后一节课给我们放这个。。  又越尺度了，反正这些早晚都要被麻木的  班上女的反应很大 ，表示很新鲜            
(4星)	 一切都刚刚好，在2011的最后一天看完了整整6季的欲望都市。看尽了她们的生活百态，得到一个充满爱和希望的结局。我们一定都会有美好的归宿的，一定！            
(5星)	 额我考完试就基本跳着把SATC重温了一遍 = =            
(5星)	 1.金色短发，爱！2.每个看似完美的人，都有你不能忍受的很多！3.最让我着迷的，友情！ 4.爱博 sier  法克 路雷！            
(4星)	 在止疼片和一块500卡路里tiramisu的陪伴下，终于看完了！            
(5星)	 尽管Carrie的戏份越来越多 四个女人也越来越优柔寡断 看第二遍早忘了自己喜欢谁 但是 真的爱 四个女人好美 再多的赘肉也遮不住的光            
(4星)	 一直以为不好看，可看过之后就迷上了，对纽约这座城市的印象多数来自于friends和它。            
(5星)	 I love Samantha!!! love Miranda!! love Charlotte!!每次打友情牌我的泪点就扛不住。。T_T。。。我也想要跟girl friend们一起Brunch talk啊啊啊啊啊。。。2011年的第200部电影，呼啦~            
(4星)	 第六季是最好看的一季 虽说这剧本质就是个言情剧 但是女生的劣根性就摆那了也没办法 而且还是有很多桥段以及人物挺吸引人的            
(5星)	 完結之後 不知所措              
(5星)	 除了friends，第二个看的美剧，sex  friendship  &amp;fashion 完美结合，mr.big 和Carrie什么时候能在一起啊            
(4星)	 居然一直没更新这个            
(NA)	 看过这么多美剧 Sex and the city 永远好评～            
(NA)	 非常的喜欢，结局部分也很好！            
(5星)	 最后大泪崩……            
(5星)	 当初就知道会是这个结局，凯莉注定会和Mr. Big在一起的。最后一集看得好感动哦，每个人都有了自己的归属，四人里面还是最喜欢萨曼莎，最直爽，她的这季男友超级性感超级帅的！！凯莉就是一典型的小女人，每次与男人在一起就没方向了，然而久了又会暴露出她的很多缺点，只有Mr. Big才能制服她。            
(NA)	 好看            
(5星)	 如果满分是五颗星，那我就是十颗星加,无限温暖与给力。            
(5星)	 这季太好了！            
(5星)	 New York is the one.            
(5星)	 每次一气呵成几天宅在家里看到第六季最后一集，总会哭的不成人样，欲望都市，陪我度过了很多，总共六季看了不下10次，每次都在同一个地方感动，开心，落泪。谢谢你。永远的青春与放肆。            
(5星)	 看完了            
(NA)	 很喜欢的一季，越往后看越忍不住随主人公的喜悲或笑或哭（眼泪居然快酝酿出来了）            
(5星)	 虽然是让我骂Carrie骂得最多的一季，但也是我为结尾感到最开心的一季。BIG oh BIG。            
(NA)	 ★★★★★★★★☆            
(5星)	 最终我把六季sex and the city看完了，abso-fucking-lutely fabulous            
(5星)	 在去上海工作的前一个晚上，我终于全部把它看完了。结果我在上海却没有好际遇            
(5星)	 第六季            
(5星)	 终于看完了，有点刻意的Happy Ending，还是感人至深。有四个如此的好友实在是可遇不可求的人生大幸，对于我来说一个已足够。PS：竟然发现Mr Big也有点秃头了，T^T...            
(5星)	 Good luck Miranda,samantha.            
(NA)	 Carrie的羞涩 Samantha的奔放 Miranda的独立 Charlotte的顾家 最棒的Sex and the city            
(5星)	 HAPPY ENDING            
(4星)	 结局其实不太合理            
(5星)	 真心为大家都有好归宿高兴            
(5星)	 女主就是一颗老鼠屎，坏了一锅好汤。            
(5星)	 It all comes to an end.            
(5星)	 最后一季啦！有点不舍得看啊！            
(5星)	 看完了我很失落啊~啊！啊！啊！            
(5星)	 剧中每个人最后都得到了自己的幸福，给了我很积极的影响，再次力荐一个！            
(4星)	 perfect ending            
(4星)	 一不小心就看完了o(╯□╰)o            
(5星)	 i adore mr big soooooooooo much!!!!!!!!!!!!!!!!!!            
(5星)	 太喜欢四个女人之间的友谊了            
(5星)	 我看哭了噶……哎，还好还有六人行一直舍不得看完……            
(5星)	 恋爱范本            
(4星)	 最后一季了，于是剧组成员们大呼——大家都要相信真爱啊！            
(5星)	 完美收场~            
(5星)	 泪点在六季的最后一集。笑了那么多，最后真是喷涌而出。            
(5星)	 这季带给我超多感动。。            
