http://movie.douban.com/subject/2983389/	寻秦记
(4星)	 虽然跟书有很大出入，但是这剧伴随俺在深圳度过了一段很无聊的日子            
(3星)	 电视台老放，也就看了一下。            
(4星)	 还好伐。。。            
(4星)	 古仔！            
(4星)	 某年寒假  我追看了很久            
(5星)	 好看            
(4星)	 太长了~            
(NA)	 非典时期校电视台播放的，从头至尾一集未漏啊……电视剧把黄易原著里的香艳YY情节删节不少，可惜可惜            
(3星)	 其实书是一部带色的书！            
(4星)	 看粤语版。时在广州            
(3星)	 本人就是喜欢现代古代乱串的俗辣剧情  后面显的有些沉闷了            
(NA)	 一般般咯，谁让项少龙这么多女人啊，真是~            
(3星)	 古天乐太棒了            
(4星)	 虎头蛇尾，很多事情没有交代清楚，其实按小说发展来拍的话，有一二百集可拍            
(NA)	 比原著好多了，黄易的武侠真垃圾。tvb的编剧一流，情节紧凑，引我入胜。里面的女的都不好看。古天乐还行，呵呵，一直挺喜欢他的            
(NA)	 2007年6月26日            
(5星)	 小的时候喜欢古天乐！呵呵            
(5星)	 喜欢古天乐和宣萱            
(4星)	 當時感覺剧本很creative            
(3星)	 吐槽小天王…… 出来混，身手再好靠的还是一张嘴！ 项少龙就是秦始皇的叮当猫啊！！！            
(NA)	 哈哈            
(5星)	 把项少龙排成韦小宝了            
(NA)	 其实我一直觉得乌廷芳和善柔比较配【喂】，林峰最近两年真是大变样……            
(5星)	 如果按照原版拍……一定爽极了……            
(4星)	 重温着            
(4星)	 穿越題材、TVB出品、玄幻武俠原著，奉旨令這部01年的劇充滿了違和感。            
(4星)	 自古乱世出英雄，穿越剧中的经典。最喜欢的角色是善柔，最喜欢的演员是宣萱和阿古，最演技派的是林峰。            
(5星)	 好经典啊            
(4星)	 古天乐            
(5星)	 古天乐和宣萱太配啦！            
(4星)	 那个时候还不错。            
(4星)	 原著据说是种马文，见一个收一个……所以说穿越不是不能连续剧化，要连续剧化也得学寻秦记靠点谱儿么~~~虽说是港剧，可人家的一些历史细节比咱们注意多了。            
(5星)	 还有大唐双龙传也很好看，但是后来的覆雨翻云就不行了。            
(4星)	 感觉寻秦记以后 TVB就没出过什么好看的古装片了            
(4星)	 古天乐电视剧的收山之作            
(1星)	 看过原著你就知道这个有多不堪了            
(4星)	 十年前的经典，现在看情节有些许漏洞，不过瑕不掩瑜，值得一看！            
(5星)	 穿越之王呀（我没看多少- -），但当时他们个个都是正当时，靓。这也是我会觉得林峰好看的源头(￣_￣|||)喜欢滕丽名的源头（我很out我知）            
(3星)	 这都看过吧            
(4星)	 当时林峰年纪小            
(4星)	 其实小说更好看。            
(5星)	 古天乐原来这么帅啊            
(4星)	 曾经好喜欢的剧集之一啊~各种爱····            
(4星)	 古天乐啊 帅啊~            
(5星)	 看了三遍吧。。            
(2星)	 ..这个我不喜欢看..不过好多人都是因为这戏喜欢上林峰的..我没啥感觉..            
(4星)	 江华            
(5星)	 喜欢雪儿            
(5星)	 真是无敌好看。。。还有比这个更好看的穿越么。。。古天乐帅屎了好么！！！！            
(4星)	 我后知后觉的觉得古天乐好帅啊。。。            
(3星)	 原来是在涿州影视基地拍的啊……OTL            
(NA)	 我喜欢小说            
(5星)	 看到sonija在围脖上又提到当年《寻秦记》的事情....这海报好囧            
(4星)	 还是很不错，不过女猪脚没几个喜欢的，滕丽名还行，不过不喜欢他那个角色            
(4星)	 好多年前的记忆哦。。当时喜欢单柔            
(4星)	 当时我爱死了            
(5星)	 超爱宣萱和古天乐            
(5星)	 我的乐乐呀~~~            
(4星)	 后面太纠结了。一个男人，有那么多女人爱，难得这就是现代人的魅力吗            
(4星)	 我最喜欢善柔，一束发菜，果敢决绝的女杀手。现在回想起来，在我的眼里，她反而是整个故事里最可爱的女子，依然是我最爱的那个女子。她的可爱轻轻袅袅不留痕迹，一如她的果敢敏锐…… 　　 　　 我以为，善柔与项少龙间，只是差一句话的，然而，她没说，他没问…… 　　 剧尾，她站在他面前，头            
(NA)	 我终于看完了～            
(4星)	 2010.02.18 也算是穿越题材的鼻祖了，虽然很多地方都有漏洞，但还算是同类题材的佳作。            
(3星)	 只记得当时寝室一屋子人一起看，还有流星花园            
(3星)	 改变的很多很多            
(3星)	 第一次喜欢古天乐            
(4星)	 不错了 很早的穿越            
(4星)	 那时的林峰..内造型.内长相- -败笔啊..            
(4星)	 以前很喜欢这个剧。            
(5星)	 江华帅疯了            
(5星)	 古天乐这次红得很彻底~~            
(NA)	 啊~~~古天乐！！            
(5星)	 配角很出彩，嫪毐和善柔            
(4星)	 穿越剧  至今仍无同类型片可与之匹敌            
(NA)	 好看好看            
(4星)	 以前看，补录。            
(1星)	 比原著差太远。            
(4星)	 是不是最早接触的穿越情节？            
(4星)	 改名。。。改名。。。不要叫项羽好哇？            
(5星)	 我喜欢。            
(4星)	 其实嬴政深爱项少龙，可惜是单恋，小项执意离去，于是小政因爱生恨动了杀机。这是部关于项少龙与嬴政间不得不说的故事XD所有与小项有段情的女生里最喜欢的还是善柔，有勇有谋武术亦强劲，点解小项不与善柔在一起！果然男生喜欢的女生与女生喜欢的女生是不一样的TAT            
(5星)	 简直是引发了穿越文的始作俑者            
(4星)	 古天乐的古装扮相真是帅，宣萱的刁蛮可爱让人喜爱            
(5星)	 穿越电视剧 哦也            
(5星)	 大概是我接触过最早的穿越剧            
(5星)	 时空穿越之古天乐神作            
(3星)	 爱古仔。            
(5星)	 太美好了            
(4星)	 終於煲完……            
(5星)	 儿时的记忆到现在还喜欢。            
(5星)	 我那时候可是每晚必看啊            
(3星)	 前面好，后面就次了            
(NA)	 其实我真不知道这部剧为什么那么经典。。。。            
(4星)	 很喜欢前面，后面有点压抑            
(NA)	 看的時候大概只有小學三、四年級，當中回到過去的情節促使我思考第一個哲學問題。            
(4星)	 不喜欢乌廷芳            
(4星)	 穿越系            
(4星)	 有点百看不厌的味道            
(2星)	 没劲            
(4星)	 对于我这种严肃呆板的人来说，这也基本上到了恶搞历史的底线了，不过戏本身很好看。            
(5星)	 因为有古天乐和宣萱才看的这部片子，典型的港片剧情，可惜这里古天乐不是属于宣萱一个人的，小小的不爽。大一暑假去影视基地看到了那个军营，那个宫殿，还有宣萱跳舞的大鼓，亲切又激动~            
(4星)	 其实我看的不是主角..是林峰-_-            
(4星)	 犹记得 宣萱衔花而舞 最是动人            
(3星)	 每个人都有一段悲伤，想隐藏却欲盖弥彰。            
(3星)	 年少回忆。            
(5星)	 好看~~过瘾,郭的琴清很惊艳，但是她还是演坏人的脸~~~~            
(5星)	 太娱乐了~太欢乐了~            
(3星)	 已经忘了这部戏讲的什么了 穿越？            
(3星)	 穿越祖师爷？            
(4星)	 没原著好            
(NA)	 古仔！！！！！！！！！！！            
(4星)	 古天乐最迷人的一部。            
(NA)	 太迷人            
(4星)	 当时非要看！            
(5星)	 看了几遍~~~            
(2星)	 古天乐根本就太嫩，和项少龙没法比。不过话说回来，如果按照书上去演，就是NC17了。            
(2星)	 有点意思            
(5星)	 喜欢喜欢..            
(4星)	 古天乐在这部剧里面就很黑了。MAN。            
(4星)	 一束发菜            
(4星)	 某年过年跟西西一块儿看的。其实这才是TVB剧的经典风格。            
(3星)	 想当年6点宿舍有电准时起来看！            
(NA)	 正!            
(2星)	 穿越时空的爱恋哈哈哈。            
(NA)	 话说我现在已经不喜欢电视剧了            
(2星)	 可惜那么好的剧本了...            
(4星)	 中国香港            
(4星)	 古天乐 很有爱            
(5星)	 还是很值得推荐的一部穿越题材的片片~喜欢古仔的机灵.            
(5星)	 比比古天乐和林峰谁更黑？            
(5星)	 每个人心中的一段历史重现            
(5星)	 豆瓣果然是吮么都找得到。            
(4星)	 构思很不错。            
(4星)	 前半部很精彩            
(4星)	 古天乐，一场好看的戏，一段精彩的故事。            
(4星)	 项少龙 大爱            
(4星)	 古天乐式的无厘头。            
(5星)	 最近正在又一遍重温中~~            
(4星)	 天明最高~~            
(NA)	 当年看的多少则进。偏偏我喜欢的两个最后都没跟男主在一起。闷。- -            
(4星)	 TVB难得花了这么大本钱拍这样的戏，里面的衣服做的棒            
(2星)	 我不喜欢黑了吧唧的古天乐            
(5星)	 海报怎么这么帅            
(4星)	 唉.古天乐原来穿越回去..是为了有两个老婆...            
(4星)	 恩哈哈            
(5星)	 喜欢故事多过人物            
(NA)	 很Q很开心            
(5星)	 太喜歡了            
(3星)	 林峰~~~            
(4星)	 ···无语            
(4星)	 挺有意思的            
(4星)	 穿越片的经典            
(5星)	 虽不及书的十分之一，古天乐仍是项少龙的最佳代言人。            
(4星)	 古仔你桃花也太旺了吧。。。最爱滕丽名演的善柔，也是唯一一个没和项少龙在一起的女人。            
(5星)	 容我叫你一声鼻祖            
(4星)	 比原著好看N多            
(5星)	 又是一时空穿梭啊，我也想穿梭，穿梭到远古时代去跟恐龙作伴。            
(3星)	 冲撞喜剧。            
(4星)	 还不错            
(4星)	 古天乐还是帅啊            
(3星)	 柯。你在我记忆旅行，每步也惊心。            
(4星)	 古天乐 哦哦哦哦            
(5星)	 他帅，可是他太花心            
(NA)	 还不错~            
(NA)	 穿越时空战争、爱恋英雄、美人项羽是项少侠的儿子...亏他想得出来。HAHAHA~~            
(3星)	 有点扯            
(4星)	 改編得不錯            
(NA)	 很喜欢这片子.因为偶尔看到古仔才去看的结果喜欢上了林峰.女主角们都很不错.            
(4星)	 第一次知道古天乐是谁：）            
(5星)	 天命最高            
(NA)	 一部以男人我最大为中心思想的意淫小说以及电视            
(3星)	  TVB的都一样            
(3星)	 这就是我们最开始租碟子看的东西            
(NA)	 KUSO精神。            
(5星)	 跨越时空的感觉真好玩！            
(3星)	 没仔细看,古天乐怎么还不老啊            
(2星)	 [昔日所看] 整体的情节倒也好玩，但是有些乱七八糟的就别看了……            
(5星)	 为了黄易的小说            
(5星)	 一夫多妻的幸福时代            
(NA)	 这么长的连续剧我都看完了，怪不得学习不好            
(3星)	 当年寝室无聊一起看的            
(4星)	 不败的经典啊            
(5星)	 在大一的某个短暂的时间段里，我跟同学呆在宿舍，坐疼了屁股，连看了好多集这部编自黄易的电视剧。但，终归是没有看完。然而，这部科幻剧集与现今的美剧科幻剧集一样吸引人，甚至多一些有趣之处。。。。。。。            
(5星)	 雪儿这个角色不好``选错人了。。            
(NA)	 在图书馆看旁边的人在看，于是偷窥了几眼            
(4星)	 喜欢这部电视剧的调调。不能改变历史，因为今天一切的存在基于历史。很符合蝴蝶效应要表达的意思。            
(5星)	 可爱的古天乐依旧~            
(4星)	 后来仿这个剧的 都蛮无聊。。。            
(5星)	 项少龙绝对就是古天乐，古天乐绝对就是项少龙，这个角色可以说和他天人合一，除此之外，想不到第二人选。非常好玩呢~~~            
(4星)	 没看完，不过觉得还不错。            
(3星)	 尽管和小说很不一样,还是挺有意思的            
(3星)	 当年大学时候追看，一大帮子男生挤在我的小家看，没有书那么诱人！            
(4星)	 黄易的书是男人的超级意淫；而电视剧也是超级地不尊重原著哈哈            
(4星)	 我始终是觉得　项少龙是应该要回去的            
(4星)	 古天乐很适合这剧啊，林峰有时候很决绝但最后为了项少龙说假话焚书坑儒什么，还是有理可循的╮(￣▽￣&#34;)╭ 这部剧我最大的收获就是认识了两个新字：嫪毐，囧rz...            
(4星)	 终于看完了！            
(5星)	 还是很好看的嘛            
(5星)	 我惟一一部不讨厌，且非常喜欢的穿越剧！            
(3星)	 那时候觉得古天乐帅死了            
(4星)	 没有长开的林峰一度被别人说成长得像那个谁。。哈哈哈哈。。。确切的说。。是黑的像。。            
(NA)	 【2001-10-15】            
(4星)	 喜欢萱萱            
(5星)	 最好的穿越剧，没有之一            
(5星)	 最棒的穿越戏！            
(3星)	 可能看过原著后  我就不太喜欢看电视  包括金庸剧也是 。。。古天乐我的最爱  还是喜欢他专情的样子            
(3星)	 颇有趣的穿越剧 比现在的好多了            
(5星)	 大学里看过好几遍啊。            
(NA)	 不喜欢宣萱不喜欢郭羡妮            
(3星)	 昂~我竟然从头到尾看了一遍！~            
(4星)	 回顾了一遍，嗯，现在的穿越剧完全看不下去。            
(4星)	 穿越的始祖            
(4星)	 好吧看这部的时候我喜欢林峰，现在还是算了……            
(4星)	 虽然是男版玛丽苏的穿越，但还是很经典滴~~            
(5星)	 现在看来还是最靠谱最好的穿越剧            
(4星)	 古天乐那造型太难忘了            
(4星)	 看过，觉得女主不够漂亮            
(3星)	 对本子无话可说，对片子也一样。            
(4星)	 8.14-9.13 @PPS   那时候的林峰稚嫩到只会瞪大眼来表示他的愤怒和哀愁。            
(NA)	 瞧瞧这穿越剧多棒~            
(3星)	 善柔最聪明啦。这种花心大萝卜有什么好的。廷芳应该跟着善柔走才对！            
(NA)	 查漏补缺            
(4星)	 小时候竟然没有看过这部穿越剧鼻祖，电视剧总还是没有原著精彩，人物也都没有原著里的洒脱、有血有肉，不过比起这几年的宫心计什么的已经算很好的了，这些女人里面最喜欢善柔，其实最烦的就是项少龙和乌廷芳了，哈哈。            
(4星)	 只喜欢看前半部分            
(4星)	 10年前的电影，还是让我捧腹大笑。古天乐就适合演喜剧            
(3星)	 电视使人弱智啊，最近智商越来越低。。。            
(4星)	 假期吃饭时看的，好看            
(4星)	 学粤语啊学粤语…还是挺有武侠的神，项少龙是杨过和韦小宝的变奏。            
(3星)	 湖南台几乎一年一次的放            
(4星)	 好看            
(4星)	 算比较优秀的港剧了            
(5星)	 这个真的是童年美好回忆！！！！！！            
(5星)	 穿越之风早就有了。            
(4星)	 我看过头两部穿越剧其中之一            
(5星)	 最最好看的穿越剧            
(4星)	 最近又重温了一遍            
(3星)	 混乱            
(5星)	 复看寻秦记，实乃穿越系之始祖大作。            
(3星)	 不喜欢。            
(4星)	 近期在看重播，还是很不错。            
(4星)	 寻秦记又火了，反正我信了。            
(4星)	 初中的时候上完夜自修骑车回家看这部剧            
(NA)	 穿越= =            
(1星)	 第一集就出現騎兵衝鋒，莫有馬鞍和馬鐙的騎兵傷不起啊            
(3星)	 种马穿越奠基作品之一……见证种马是怎样改编成人见人爱的，只能说古天乐确实有气场有本钱，换了旁人未必撑得起来。            
(4星)	 当时林峰逊毙了 哈哈 时隔多年看 笑点依旧没变啊~最后为善柔心痛下             
(3星)	 岁月不饶人，时隔十年，大家都长残了            
(3星)	 断断续续的，但也算看过吧。林峰那个时候还很嫩，气场也不够强大，当时好喜欢宣萱哦。            
(5星)	 古仔最帅的一部。            
(3星)	 原来秦始皇焚书坑儒是为了我呀？            
(NA)	 鱼与熊掌兼得            
(5星)	 黑早就看过 现在决定重温 完全是穿越剧的鼻祖！！！！！            
(4星)	 其實最勇敢最動人的就是善柔，最後肩膀的一靠後從此不見。            
(NA)	 不知道看过这个的朋友是出于什么想法才看的！！！我的答案是：《寻秦记》这小说是本黄色小说，所以咋一看到寻秦记电视剧时，哈哈哈哈哈哈，不言自明的期待与可想而知的失望啊！            
(4星)	 当年在英国无比匮乏的文化生活中，发现这剧拍的真的不错。喜欢上滕丽名。            
(5星)	 这么多年了，古仔你没有和李若彤在一起，没有和宣萱在一起，也没有和吴彦祖在一起，我再也不相信爱情了。            
(4星)	 一直没机会看电视剧来着，这4天终于连着看完了。改编得不错，不过删了纪嫣然，我很不爽啊啊啊啊！！！            
(5星)	 初中时候看的，我的第一部穿越剧？比现在的好看多了！怀旧一把系列~相当的怀念！            
(5星)	 内容充实　情节紧凑　台词考究　演技一流　还有豪帅的明星阿            
(NA)	 这才叫穿越剧啊~            
(4星)	 到现在都不知道结局            
(NA)	 好像是初中时看的、宫锁心玉出来之后我就一下暴怀念寻秦记了、立马翻出来又看一次。            
(3星)	 大概就是由呢部野开始知道林峰的存在            
(5星)	 十年前看的第一部穿越电视剧，很上瘾！还想看一遍呢！            
(4星)	 一束发菜            
(4星)	 古仔好帅            
(4星)	 应该回到现代            
(3星)	 后来看了许多穿越剧后 觉得还是这部比较靠谱            
(5星)	 很好的片子 但是结局是一男2女就有点接受不了了~            
(3星)	 这部戏本来可以有起码“推荐”的，因为古天乐和郭羡妮等的一众演员的确都很不错，但死就死在郑雪儿身上。她太是突兀，一个人硬生生把“推荐”变成了“还行”。那时就是因为她，我才放弃看完此剧的。            
(5星)	 啊啊啊 我到底是肿么了最近 怀旧咩- -b            
(3星)	 学粤语用~编剧真能扯~~            
(NA)	 谁求谁，春秋只听天地号令。谁无谁，乱局亦一样人定            
(4星)	 黑黑的，又健康又年轻，那时候爱死你了。            
(4星)	 那时的古天乐，可真是帅呢！            
(5星)	 赞的            
(NA)	 真是好剧，好剧啊！            
(5星)	 我也想穿越了  古代的女子就是好              
(4星)	 我们家古天乐真是帅            
(4星)	 好喜欢宣萱啊。。            
(NA)	 2010-11-27            
(4星)	 古天乐!!!            
(5星)	 古天乐这部演活了~林峰也很有范啊，虽然是个配角 但也很抓眼球            
(4星)	 穿越剧中的经典            
(5星)	 题材新颖构思经典            
(NA)	 我是看着这些长大的            
(3星)	 当年看的是国语版的。。。            
(4星)	 后面情节有点拖沓            
(NA)	 这么好看 我怎么才看啊....            
(4星)	 以前特喜欢看。感触就是人担心做多少是会改变历史，但是历史有自己的大方向，压倒性的还原。但我想，蝴蝶效应也罢，历史的定性也罢，没可能重新来过，没办法去验证。            
(5星)	 曾经的挚爱……            
(5星)	 最近又复习了一遍            
(5星)	 经典啊            
(5星)	 好好看啊            
(3星)	 本想给四颗星，但想起雪儿演的那个公主还是没打下手去。            
(3星)	 最大的收获是林峰            
(4星)	 穿了越了 穿越...            
(NA)	 赵国公主还提到白雪公主            
(NA)	 &#34;剧情的发展一直是展现项少龙身上的现代自然科学成就，从三棱镜到体能训练到侦查技术，无一不是现代科技文明的体现。而这幅虽然经典但事实上与现代人的生活并不密切相关的图像，真真体现了人类对自身的认识。&#34;            
(4星)	 这完全就是RPG嘛            
(5星)	 最好的古穿越            
(3星)	 历史，就这么在嬉笑中被篡改，可是，谁又去在乎呢？            
(5星)	 好吧又是一喜歡得不得了的電視劇，印象最深刻的地方是宣萱被推……………………………………………………………………握草！            
(5星)	 虽不如书好看，但古天乐和林峰的表演相当到位，拍得很不错。            
(5星)	 改编归改编，我觉得比原著提升多了……古仔您老人家什么时候再回tbb拍一个啥呗……T.T            
(5星)	 古天乐，我还能说啥呢，杵在那就是一个帅字。            
(4星)	 和妈妈看电影真是美妙无比的时光。对我来说缺是70%的奢侈。            
(4星)	 其实和小说一比，我觉得这剧里的项少龙居然还勉强能算专情了……            
(5星)	 正在煲~~好看            
(5星)	 感觉剧里面的古天乐很帅            
(3星)	 那时候没看全，这下补齐了            
(4星)	 作为一部穿越剧真的已经很好了（虽然还是有很多BUG…不过最后一集真的很值得吐槽啊尤其是嬴政你焚书坑儒就是为了不想再听到项少龙的名字喂你到底有多傲骄啊！            
(4星)	 回想起来。项少龙竟与韦小宝的境遇略有几分相似。主要还是想起了曾经演李莫愁的雪梨。里面的赵雅人如其名。一颦一笑。盈盈小步。可惜向来缘浅奈何情深。            
(3星)	 项少龙            
(4星)	 那些借碟看片的岁月……            
(3星)	 虽然剧情什么的很白烂可是还是看了很喜欢…            
(5星)	 這個好經典啊~!            
(NA)	 现在才意识到实的习无聊真是极度了 我竟然有耐心把这些都重新看掉。。            
(4星)	 好喜欢善柔啊！            
(5星)	 天命最高~            
(4星)	 强大的商业剧，古天乐太帅了orz改天我去看看你白的时候|||滕丽名造型简直是欺负她嘛，爆，但结尾甚好……了不起，滕丽名的结局，连晋的一瞬，秦王的脸……爆，都是甚好，古天乐看的都厌弃了，没想到回头看第一集还是被煞到，帅哥帅哥~顺说这书极低俗，居然被改编成这样，真是狗屎运！            
(4星)	 挺逗的。            
(4星)	 那时候可是追着看的            
(3星)	 古仔很帅            
(3星)	 把小说里的精彩部分都去掉了            
(NA)	 补：当时的宣萱啊~~~~            
(4星)	 金姐姐当年强力推荐，当时少有的一部又无厘头又感人的港剧            
(4星)	 感觉还不错。。喜欢善柔            
(2星)	 没什么劲，不过此剧开创了穿越剧的风潮            
(2星)	 哎....不能接受穿越原来是从这开始的            
(3星)	 扯            
(4星)	 租着碟和老哥窝在家里一集一集的看完 在那个时候能拍出这样的剧已经很了不起 项少龙最后可真够福利 但我最爱的始终是善柔             
(NA)	 书好看            
(5星)	 很有创意            
(4星)	 看过的嗷？            
(5星)	 哈哈 想起来还觉得好好笑。真经典            
(4星)	 和原著差好远。            
(NA)	 原来偶看过的电视剧这么多。。。。            
(NA)	 小时候看的,怀念            
(NA)	 我不喜欢赵国公主            
(5星)	 经典啊            
(1星)	 琴清的造型雷到我了。龙阳君一点也不妖娆。纪才女貌似没有出现。tvb总喜欢将原本多姿多彩的故事情节改编成狗血的样板剧情。            
(4星)	 我记得看完这个，我又去啃历史书了            
(3星)	 里面有个我讨厌的抱兔子的女主角            
(5星)	 为毛是二女共侍一夫？！为毛为毛为毛！！            
(4星)	 一直都很喜欢秦始皇的霸气。            
(3星)	 古天乐指着宣萱的鼻子说:哇,黑头...我妈爆笑~            
(4星)	 当年就穿越了 如今穿越才火            
(4星)	 年轻的古天乐连我都爱了            
(3星)	 香港孩子乱编的功力很深恨深。            
(3星)	 虎头蛇尾了点。            
(4星)	 看几遍都还是好笑            
(3星)	 纯粹为了YY帅哥~            
(4星)	 好好睇啊~~睇过好多次            
(NA)	 我记得那时候等到晚上十点以后看哈尔滨新闻频道播一集，我好像最喜欢雪儿吧            
(4星)	 穿越~            
(3星)	 盘点以下部分当中的错误。前三集中看到玉米，这东西是明朝后才传入中国的；剧中人多次念到“关关睢鸠，在河之洲”，这是乐府诗的一篇，西汉的产物；原著说赵穆是春申君第五子，事实上春申君姓黄；龙阳君和信陵君是兄弟关系，剧中是死对头；赢政老妈叫赵姬，不是朱姬。剧情不够扣人心弦。            
(3星)	 结局有点交代不明，查了原著也是，之前秦王墓里出土个接收器没有下文啊，那两千年后的项少龙还在不在呢。。。            
(3星)	 不知道到底用了多久才看完的            
(4星)	 对这题材感兴趣,拍得嘛~~~so so~~            
(4星)	 古天乐啊古天乐`~~~~            
(5星)	 当年看得我那个叫津津有味啊            
(2星)	 3次。            
(4星)	 没原著的好看。。这是事实。            
(5星)	 江华好帅。。。            
(4星)	 古天乐演绎生涯中仅次于杨过的角色！            
(5星)	 追起来追起来~~我要穿越秦朝！！！！天乐锅~            
(5星)	 重温            
(4星)	 项少龙和他的女人们            
(5星)	 经典，必看。有我超爱的天乐啊。            
(4星)	 为什么是一个男人多个女人呢？如果倒过来，男人怕是做不到吧。虽然女人不为难女人，但是仍然很心痛……            
(5星)	 小学的时候觉得好看死了啊            
(NA)	 我第二喜欢的影视剧！超越时空的爱情，古灵精怪搞笑智巧的古天乐！            
(NA)	 这个电视我从来没有从头到尾看完过            
(5星)	 打開我對時空的探求！            
(3星)	 后来才知道原来有穿越文这个题材。。。            
(3星)	 好长,没耐心,所以没连着看,对我来说,看不看无所谓的一部            
(4星)	  古天乐最有项少龙的调调            
