http://movie.douban.com/subject/2157131/	少年包青天
(5星)	 之所以把这都找出来是因为又一次夜聊时，我们竟然惊奇的发现，对于这少包1，大家都一致好评。。。而那晚的主题是寒暑假各卫视广告中必插播的电视剧。。。            
(5星)	 当时我觉得世界上最好看的电视剧就是他了            
(4星)	 周杰...日...片子本身还可以忍受的            
(3星)	 过年期间看得很开心~            
(4星)	 小时候最喜欢了，又怕又要看！            
(3星)	 印象中还挺好看            
(4星)	 还挺喜欢看的            
(NA)	 真相只有一个～～ 一切谜底都解开了～～ 我在看柯南和金田一的山寨版～～            
(5星)	 当年可喜欢看了。            
(2星)	 周杰那操逼样            
(NA)	 原来包大人是靠鼻孔破案的！！！            
(4星)	 好看啊            
(4星)	 金田一 柯南            
(5星)	 可惜了周杰不能演第二部第三部            
(4星)	 四星完全是给各位努力的演员们的。这部剧的编剧实在是太烂了，且不说网上盛传的抄袭金田一的事情，句法、情节什么的漏洞百出，词语、成语不懂还乱用，总之编剧烂到我不知道该如何形容了。            
(3星)	 三年级暑假，，吓死我了            
(3星)	 现在看到周杰就恶心！            
(4星)	 没想到 当年里面的小丫头已经成长为现在的巨星了~~~~~~~LBB你凭什么啊！            
(3星)	 哈哈哈哈哈哈            
(4星)	 故事还算吸引人~~~            
(4星)	 ★★★☆            
(4星)	 很好看             
(3星)	 抄袭的都是二手的。。。            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 高中看的，确实还不错，杀人犯很养眼情节很扑朔，何中华刘晓虎富大龙几个配角都红了，我说我当时看杀人犯最顺眼呢。            
(3星)	 我一个人在家看得不敢上厕所……            
(3星)	 抄了好多金田一的案子！！！！！！！！！！鄙视编剧！！！！！！！！！！！！！！！！！！！鼻孔教主演的还不错的！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 我真的覺得男主角太醜。            
(4星)	 每次杀人来验尸我就激动            
(4星)	 峰哥和舟舟又在重温了。。一块儿剧透还是有点意思的∩_∩            
(3星)	 周杰这个垃圾为数不多还行的戏            
(3星)	 以前看了会怕...            
(4星)	 还是很不错的            
(4星)	 这部比陆毅那部好。。别管现实周杰咋样            
(4星)	 “朋友授之一物，如同万金。”“真相，永远只有一个。”            
(4星)	 虽然周杰人不怎样，但还是这部感觉最好。            
(5星)	 喜欢赖床的我，曾经每天6点起床看，看完再睡觉            
(3星)	 没有张卫健的少年系列二，看周杰不爽            
(4星)	 当年看的时候被吓到了= =            
(4星)	 其实第一部好看。            
(4星)	 相对于之后的這个系列，这个绝对是四星级应该米人反对我TOT            
(5星)	 当年好爱= =即使剧情抄的也爱，所以给5星！！            
(5星)	 恩 时光            
(4星)	 想当年很喜欢看的 -.-            
(4星)	 当年和老弟守着电视机看的            
(4星)	 两首歌都不错。。。这部还算可以。。。            
(1星)	 抄死人不偿命            
(3星)	 案件太傻了            
(3星)	 其实还可以啦            
(4星)	 当时爱的不行~~            
(4星)	 少包            
(4星)	 念初中的时候看的吧，当时看的很起劲。            
(1星)	 抄袭加泄底~            
(3星)	 我看过的。。。。。            
(5星)	 从此开始迷任泉            
(3星)	 好多copy的            
(4星)	 前一二部很好看 第三部都不行啦 陆毅胖了            
(5星)	 还是一好看，这部剧充分证实了十部续集九部差！！            
(2星)	 墨迹            
(NA)	 我最早看的推理orz...抄袭太那啥了。。。。。但是除去抄袭其实拍得不错= =#            
(3星)	 暑假专看剧。其实有点傻。            
(5星)	 童年~这第一部我还是很喜欢的            
(2星)	 垃圾呀垃圾，还抄柯南            
(4星)	 年少回忆。            
(5星)	 不得不说 这是少年包青天拍得最好的一部             
(3星)	 向金田一和柯南的致敬作            
(4星)	 小时候很喜欢的电视剧。            
(3星)	 中国古装黑皮版《名侦探柯南》 明叔的八贤王啊~ 啊啊啊啊啊            
(NA)	 豆瓣猜说我看过－．－            
(NA)	 我姐姐还会做梦梦到真相～            
(NA)	 道明蜀黍萌            
(4星)	 1比2好看 2比3好看            
(4星)	 虽然周杰很恶，但是这部电视剧其实还不错            
(4星)	 此剧后遗症：初二做几何数学题遇到瓶颈时总爱闭眼，然后灵光一闪。            
(5星)	 最喜欢周杰版的!~~            
(4星)	 第一次觉得周杰其实挺可爱的。            
(4星)	 很多剧情都是柯南里的桥段~            
(NA)	 这个也好的 哈哈            
(3星)	 我也看过。。。            
(NA)	 第一部 还是很为编剧惊艳的 后来的陆毅邓超 却没有认真看了。            
(3星)	 人生中看的第一部BL片.            
(5星)	 这一部真的比较经典。            
(3星)	 很久以前            
(3星)	 这部其实挺喜欢得            
(4星)	 初一的片片 当时很迷            
(3星)	 结尾歌不错            
(NA)	 整一翻版金田一            
(3星)	 第一部还行            
(4星)	 第一部还是不错的            
(4星)	 智慧型男生，多有腔调。            
(NA)	 好一个不服输的公孙先生            
(5星)	 第一部是最好看的。            
(NA)	 少年包青天系列只喜欢周版的。。。。貌似看完这个再也没怎么看过周杰的电视剧了。。。。。            
(5星)	 喜欢  尤其是最后出来的&#34;六子&#34;..            
(4星)	 原来包大人的口头禅是跟柯南学的。。            
(4星)	 虽然很多段子有抄袭嫌疑，但是大陆能出这样的电视剧，还是应该鼓鼓掌了。。            
(5星)	 我觉得第一部相当好            
(NA)	 还是觉得周杰版包拯最经典。            
(3星)	 [昔日所看]            
(4星)	 第一部还可以看看。            
(5星)	 八贤王            
(5星)	 周杰叔虽然现在是真不咋地了,但是这片子还是他拍的版本最经典.            
(3星)	 喜欢那个时候的冰冰~            
(3星)	 电视剧            
(4星)	 劇情很抵觸。但在國内還算不錯了            
(3星)	 看到阴森的情节有点害怕……            
(3星)	 少年包青天也就第一部能看...            
(3星)	 妈的，抄袭痕迹累累            
(4星)	 感觉还是第一部的姑娘们可人...            
(3星)	 很一般，剧情还是“盗版”，就演员看看            
(4星)	 名侦探上青天            
(4星)	 第一部还可以啊，第二部就无聊到看不下去            
(2星)	 我当时觉得太恐怖了，说不定我现在也觉得            
(5星)	 绝对是我某段时间的大爱~~~            
(NA)	 黑包子- -            
(5星)	 寒假过年，我甚至早上7点就起床看这电视，探案的故事我总是很喜欢，以为看多了我会变聪明点……            
(3星)	 就这一部最好看了            
(4星)	 他演的不错 比陆毅强多了            
(4星)	 小时候和外婆一起看的，虽然不喜欢周杰，但是片子满好看的            
(4星)	 不错不错哈~~个人觉得很有意思            
(3星)	 剧情太做作  不过有些集还好            
(3星)	 明叔            
(4星)	 尽管故事都非原创。            
(5星)	 我多想再看次            
(3星)	 抄袭金田一的呗..            
(2星)	 有点无聊            
(NA)	 好像是初中看的吧。还可以            
(1星)	 给一星是因为抄袭！            
(4星)	 初中时期很喜欢            
(3星)	 虽然不待见周杰，可他演的比陆毅强多了。            
(3星)	 “令年轻一代能及早的接触传统美德 认清大是大非 寓教于乐……” -_-&#39;&#39; 怕是有点 过了哟 不过还是可以动哈脑筋 倒是真的             
(4星)	 中国古代版本的柯南            
(3星)	 最大的遗憾，这部片里面李冰冰配的是周杰而不是任泉，还是和任泉比较合衬。剧情抄袭金田一太多了，不过庞飞燕很可爱            
(4星)	 这个系列还是第一部比较喜欢~            
(4星)	 曾经有段时间一度让我觉得“恐怖”的片子～～忘不了“干尸”那一集啊～～            
(3星)	 我喜欢断案。各种各样的。            
(NA)	 最喜欢这些演员扮演的            
(3星)	 还是周杰的版本比较好看。            
(4星)	 当时第一次看侦探片，觉得可过瘾了！            
(3星)	 这个对柯南金田一也“借鉴”太多了……但总算人物感情线还有点看头，后两部就不必提了，看了一点后不打算看            
(3星)	 就是被这玩意把我的占星术杀人魔法给剧透了的……            
(2星)	 找周杰算是毁了片子了            
(4星)	 虽然是抄的，但抄得相当经典            
(5星)	 超好看的啊            
(2星)	 擦，我还真看过这个。欢乐无比。            
(4星)	 童年回憶            
(4星)	 周杰和任泉！！！原来我当年就是个腐女啊，2000年我才10岁啊我靠！！！！我一直觉得女猪是多余的，展昭是小三啊！！！当年我就喜欢白嫩嫩的傲娇型小受啊，公孙策是我大爱的男纸啊，45°的忧伤真的伤不起啊，失明什么的、失踪什么的，老子蛋疼菊紧乳酸到各种一紧啊！！！！！ヾ(≧O≦)〃嗷嗷嗷~~~            
(5星)	 最好的一部少包~~            
(4星)	 我想给三星半            
(4星)	 话说还是鼻孔周演得第一部好看！            
(4星)	 小時候還覺得挺嚇人的            
(2星)	 抄袭剧情让人不可忍耐。            
(4星)	 第一部还是很有趣的  周杰那时挺好看的啊            
(NA)	 童年..            
(4星)	 当年的他还稚嫩。            
(3星)	 嘻嘻闹闹~~~悬疑也感觉是故作姿态，，，嗷~            
(4星)	 有一些还是好惊悚的说            
(NA)	 小时候看得很起劲，后来的几部续作都不如这部好。奇怪同样是抄的为什么就这部可以看得下去？            
(4星)	 基本所有的推理都是从柯南那抄的。但是还是挺好看的。。哈哈            
(4星)	 任泉好帅♥            
(4星)	 满好看的，小时候暑假追着看。里面的案子都很精妙。            
(4星)	 增！好！看！            
(5星)	 反证我小时候就是爱看！！！            
(3星)	 抄袭金田一……            
(NA)	 咋一部换一人呢！            
(5星)	 你陪着我长大的呀            
(4星)	 少包三部曲之最爱……（陆毅弱了，邓超弱爆了）            
(4星)	 那时候天天追，大家都很有爱。            
(4星)	 八贤王啊啊啊啊啊            
(5星)	 看了大概10遍以上有的。。不好看也变好看了。。            
(3星)	 还有这个不能少~            
(4星)	 现在电视重播还会瞄几眼，堕落            
(4星)	 那时候老子多年轻啊            
(4星)	 八……八贤王（¯﹃¯） 我记得当年还挺喜欢任泉的(﹁&#34;﹁) 那一定是被外星人劫持大脑了            
(4星)	 当时看剧情可入迷了。            
(4星)	 鼻孔周不错的一部作品            
(5星)	 我觉得超级好看啊。            
(3星)	 现在电视还在放耶  我还看耶            
(4星)	 鼻孔的演技还不错 和公孙策搞基吧            
(3星)	 看这个挺害怕的...到现在都会担心躺在床上的时候会有刺客从楼顶丢下暴雨梨花针正中脖子或者脑袋orz。。。            
(NA)	 我纯属搞笑            
(1星)	 抄襲！！            
(5星)	 好看。            
(5星)	 个人觉得第一部拍的很好            
(NA)	 緊接啊。            
(4星)	 童年记忆            
(4星)	 第一部还是挺好看的！            
(5星)	 我的青春！！！！！            
(3星)	 那时候看觉得是柯南，后来发现还有金田一。注意了一下片头字幕没有编剧署名，还算知耻。虽然是抄袭，人物设定和整体想法还算不俗            
(4星)	 十几年前曾喜欢过的电视再翻出来看才知道其中模仿的痕迹太明显了连案件和台词都有过多雷同……不过抛开周杰的人品不说，演技很不错（虽然丑）；李冰冰竟然没有那会看的觉得那么丑；道明叔嫩啊；以前讨厌的庞太师现今变成最欣赏的一位。            
(4星)	 前段时间要绣东西想找部国语的电视来看就想看这了，好多年前看过现在再来看觉得那个时候的配音啊打扮啊还真是，不过依旧觉得这部戏还是很不错的，话说当时看周杰还挺顺眼(▔/﹏\▔)            
(4星)	 我是来看明叔的            
(4星)	 其实小时候多喜欢看办案的。。= =            
(NA)	 完全不记得了            
(5星)	 至今还会想重温            
(5星)	 再次看过激情四射            
(5星)	 周杰也就这部。            
(4星)	 真的蛮好。周杰也没那么讨人厌。任泉小白脸貌似让我小时候很倾心。释小龙也没有长大。多好。            
(4星)	 n遍的看            
(NA)	 少包呀            
(4星)	 演的最有味的还是陈道明            
(NA)	 觉得李冰冰在里面特丑。            
(5星)	 鼻孔兄演技很不错的。            
(5星)	 每次放我每次都会看 还有次做梦都叫出来了^0^            
(4星)	 真好看…当年看了还哭过鼻子HOHO            
(4星)	 我真心觉的挺好看的            
(5星)	 因为有友邻说“暴雨梨花针”什么的。( ′ 3`) sigh~当年觉得这个好惊悚啊            
(NA)	 小时代            
(5星)	 看得可投入了！另外片头片尾难忘有没有！            
(4星)	 哈哈哈 http://v.youku.com/v_show/id_XMTc3Nzg0MjA0.html            
(NA)	 桥段上抄袭的太多了            
(4星)	 几部包青天中这部算最好的。小时候看得很投入- -。            
(5星)	 鼻孔帝！！！！！            
(4星)	 童年神马的。。            
(4星)	 第一部最精彩，后面的，算了咱不想骂脏话            
(4星)	 释小龙和任泉都很帅哟~            
(3星)	 现在回头看觉得挺二的            
(5星)	 经典，回温一下。。。当年大家都年轻啊。。。            
(4星)	 那时候周杰还没这么有名！！            
(5星)	 小时候老爱看了！！八贤王~~~一身正气。庞太师的：“老夫一手遮天！”给我留下了难以磨灭的印象……            
(4星)	 当年周杰的鼻孔还是挺正气凛然的            
(5星)	 第一部真心喜欢。。            
(3星)	 还不错。            
(4星)	 第一部挺好看的！！！            
(4星)	 一到放假电视就播╮(╯▽╰)╭            
(4星)	 每次去K歌都要唱这个主题曲有没有！！！好吧~我承认我怀旧了~~            
(NA)	 这里面的插曲 才叫传唱一时呢            
(4星)	  2000             
(5星)	 那时候觉得很恐怖 晚上睡觉都不敢睡了            
(3星)	 很好看，比续集强很多。            
(NA)	 = =            
(4星)	 唉真好看，虽然抄得太多。            
(4星)	 老只喜欢啊！！！！妈比那时候还他妈好喜欢周杰！！！我日你妈啊尔康！！现在想起来完全是对老子的一种侮辱！！一种不堪！！玷污了老子的清白啊！！！！！！！！！！            
(3星)	 小学看的~康哥哥演包公也是这么傻屄XD             
(4星)	 记得第一部还是能看的～            
(3星)	 冰冰姐还是包子脸  尔康~             
(4星)	 白天重温ing……            
(5星)	 没有比少年包青天更好看的电视剧了。没有了。肯定没有的。哈哈            
(4星)	 这应该是我最早开始看的探案剧。            
(NA)	 周杰最好的作品，李冰冰还没有整容            
(3星)	 案件都还算耐看。            
(3星)	 第一部其实还可以的。            
(1星)	 少年包抄抄            
(NA)	 当初灰常喜欢            
(5星)	 小时候跷课去看的。。天天看，喜欢死了。侦探，悬疑恐怖，尸体 ，死人，神秘，线索。。喜欢            
(2星)	 你还我金田一！！            
(3星)	 今天看见电视里又演这个，记得小时候还挺投入，哈哈            
(4星)	 虽然不喜欢周杰，但是部好剧，有几个案子都很不错            
(3星)	 周杰太做作了……            
(4星)	 (*^__^*) 嘻嘻……            
(5星)	 我草小时候的热爱啊~~~~~~~~~~~~~~            
(4星)	 尔康你这部剧我好喜欢你啊！            
(4星)	 氛围 又要破案啦            
(5星)	 虽说天下破案一大抄，但果然最开始的才是最好的。            
(3星)	 给我来一个香辣鼻孔堡！！！！！！！！！！！            
(5星)	 非常好看！            
(3星)	 李冰冰早期的作品吧            
(4星)	 第一部最给力好吧！            
(3星)	 本来分要再高些，毕竟三部里最爱第一部，任泉和周杰屏幕搭得挺腐，释小龙那个时候还是有些可爱的。只不过看了金田一后对剧本很郁闷。            
(4星)	 大鼻孔去掉一星。。。。喜欢释小龙和任泉(*^__^*) 嘻嘻……            
(5星)	 当时看的时候也真是喜欢            
(4星)	 又抄柯南又抄金田一，不过这部还不错了，周杰也就这里演的好点，喜欢里面的庞飞燕~            
(5星)	 真的是，挺好看的            
(4星)	 那是真觉得好看到爆。昨天都突然想起还会有再看一次的冲动。            
(2星)	 就知道抄！            
(5星)	 从此喜欢上这个系列…最喜欢的电视剧之一~            
(3星)	 周杰当年还是可以搞的，现在不知道在哪里逍遥            
(5星)	 在我心目中，公孙策和包拯那就是真正的朋友，公孙策和庞飞燕那就是真正的爱情。后来公孙策没有和庞飞燕在一起，我就是那时起再也不相信爱情的了！！！！            
(3星)	 当初好像喜欢公孙策来着            
(NA)	 当时挺不错的觉得。            
(1星)	 抄袭是不对D！            
(NA)	 隐逸村是哪个里的  抄袭岛田庄司  以至于后来看书的时候少了很多乐趣            
(4星)	 为庞飞燕马克            
(NA)	 周杰版的好看，其他的就别看了。            
(4星)	 我记得好多桥段都是翻的柯南。。。            
(4星)	 你不得不说。周杰正义起来很有假正气            
(4星)	 这部剧拍的很好，周杰如果接下续集，也不会埋汰掉            
(4星)	 还不错了             
(3星)	 据说此剧完全抄袭某部日本动漫            
(4星)	 窝在北京小旅馆里抓着遥控器换那换。。。为啥会这么颓废。。。            
(NA)	 第一部其实还蛮经典的            
(4星)	 当年很喜欢。湖南经视火了之后两三年全国才火。            
(3星)	 剧情很山寨，刘怡君很不错，当时看的时候，年纪还小，但是特喜欢她，不知道为什么。。。哈哈            
(5星)	 啊其实我觉得挺好看的虽然有些柯南剧情…            
(5星)	 电视重播又看了一遍，人不评论，剧是好剧            
(4星)	 任泉(¯﹃¯）            
(4星)	 一个人的时候不敢看这个...            
(3星)	 我记的对那个庞飞燕姑娘真是又爱又恨            
(3星)	 杰哥再怎么装逼还是残了            
(4星)	 为了八贤王，四颗星值得！            
(3星)	 演员都挺讨厌的 二和三更讨厌            
(4星)	 六年级每晚让我妈叫我起床跟的片            
(4星)	 少包            
(5星)	 惯例            
(4星)	 小学时候就超爱推理剧 少年包青天系列最爱这一部 虽然现在发现很多案件都抄袭的 但纯粹从讲故事角度 我还是觉得这是一部出色的电视剧            
(4星)	 我小时候还看的怕的哭过            
(5星)	 对包青天的印象比尔康还深            
(4星)	 反正比续集好看。            
(5星)	 直到现在，我也很喜欢它。            
(4星)	 还是第一部最经典，虽然对周杰没什么感觉            
(4星)	 我喜欢看侦探的            
(NA)	 周杰这个别扭 - -            
(5星)	 第一部我还是很喜欢的~            
(4星)	 有不少诡计是抄的.......            
(4星)	 好看            
(4星)	 第一部我还是很喜欢的 &gt; &lt;            
(4星)	 看過很多次..不喜歡周傑            
(4星)	 喜欢！            
(4星)	 原来啊，原来，都抄袭金田一...            
(4星)	 不错看，我始终没看到狸猫换太子那集。郁闷。            
(3星)	 当时看很恐怖哎             
(5星)	 推理嘛....            
(5星)	 小时候迷死了= =            
(4星)	 当年看得津津有味，对那个侉义族心存畏忌。            
(4星)	 第一部是我心中最好的一版，当然在看了一堆推理小说的今天这部剧已不算什么，但童年无限美            
(4星)	 还是不错的，最起码，能在重播的时候，有兴趣再看一遍            
(4星)	 当年好喜欢，喜欢的案子一个一个都可以背下来，没想到当年貌不惊人的女主现在一线了，没想到当年大红的男主人品这么差，没想到当年这么萌的公孙策的CP第二部就换人了。。。。。。            
(4星)	 第一部虽然抄袭严重  还是迷倒了当时的我            
(4星)	 想当年看的炯炯有神的...            
(4星)	 当年李冰冰那个婴儿肥哦。            
(4星)	 泡面卤蛋凉席空调，外加一台电视机。记忆里平淡又深刻的五年级暑假，最早的宅时代            
(3星)	 周杰啊周杰，兔子的尾巴            
(4星)	 陈道明的八贤王~虽然我不是叔控但也迷了很久。            
(3星)	 除了恐怖一点的还比较好看，其他几个案子太平淡了，看到出场人物就能猜到结果            
(NA)	 其实当年直到现在我觉得任泉还是帅TVT~            
(4星)	 补：当时大爱公孙策x庞飞燕~            
(3星)	 丫的成功吓到过我……            
(5星)	 当年最爱古装剧~公孙策丫~包大人丫~楚楚丫~演得多好丫~剧情多惊悚啊~            
(4星)	 觉得这个还挺耐看的，每次电视上播了都要看上几眼。里边的人是非恩怨也好，爱恨情仇也好，都是有情有义，也算是感人。只是太多命运弄人，太多身不由己的无奈。            
(4星)	 哈哈 只看第一部            
(5星)	 也是小时候的最爱            
(4星)	 和老姐熬夜看的日子啊……            
(4星)	 最喜欢这部了，现在电视台又在放            
(4星)	 挺好的案情。            
(4星)	 那时的李冰冰怎么那么可爱！            
(4星)	 第一部最好看~~            
(4星)	 为周杰减掉一星，丫臭了，办法。            
(NA)	 下午深圳台重放这片，突然惊觉包拯x公孙策是多好的CP啊，小学时候拿这个当恐怖片看的我真是太纯洁了            
(3星)	 那些日子啊。            
(5星)	 那个年代觉得真不错呢~~            
(5星)	 哎呀小学的时候每天期待看却又不敢看的电视剧- -。2010.06.01            
(4星)	 童年的记忆            
(4星)	 还是周杰演的好            
(3星)	 当年的李冰冰和周杰还没那么讨嫌。            
(5星)	 小时候的大爱            
(3星)	 李冰冰怎么当时接的戏全是一个路子的啊。。。好吧，陈道明是亮点。            
(1星)	 讨厌用鼻孔表演哒            
(3星)	 这个还是不错的            
(3星)	 小学时觉得这剧神乎其神啊            
(4星)	 八贤王最高，不解释！            
(4星)	 没看过金田一少年也不打算看的人看看也不错            
(NA)	 童年回忆啊不要问我评价！            
(5星)	 那会真觉得特不错~~我上高一吧...            
