http://movie.douban.com/subject/2988993/	皇朝太医
(4星)	 罗海琼很美，人格分裂这个设定记得很清楚。曾经去医科大学上补习班，在桌面上面写我是素问，第二周再来的时候竟然有人在底下写我是灵枢..真TM吓我一身冷汗。            
(4星)	 当初深深HC过 其实制作蛮好的            
(NA)	 孙耀威的电眼啊            
(5星)	 我喜欢素问这个名字。            
(3星)	 印象不深            
(4星)	 当年觉得还蛮好看的=。=            
(4星)	 两个罗海琼啊。这是我第一次见人格分裂。            
(4星)	 当年很喜欢孙耀威和罗海琼            
(4星)	 我这也是对电视剧难得产生的兴趣。            
(5星)	 小时候可喜欢看了            
(5星)	 呵呵呵 当时第一看到罗海琼~  演的很好玩啊~  算演的精神分裂  我喜欢晚上出来的灵枢~  素问也不错~嘿嘿            
(4星)	 后来那什么双重性格太纠结了。不带一个女主当两个使得            
(4星)	 当时真的觉得很好看啊~~~~~而且喜欢孙耀威            
(4星)	 孙耀威罗海琼大爱！            
(5星)	 当年电视台播出时，追的特别带劲儿            
(5星)	 凭着那个叫小猪的盲女的双重人格角色！我印象深刻，五星！            
(NA)	 我了个去啊。。。那个姓孙的。当时怎么感觉他那么帅呢？            
(5星)	 靠啊。。我一直记得罗海琼演过人格分裂的，就是记不起，还以为自己人格分裂了。。。。！！！            
(5星)	 当年...            
(5星)	 以前爱死了~~            
(4星)	 在乡下，和堂哥、堂姐一起看的            
(NA)	 女主角甜的。。但是俺不喜欢犬夜叉式的。前女友和现女友的对比。而且前女友必然温柔，现女友必然活力。男主角个变心的家伙阿。。。            
(4星)	 灵枢和素问都喜欢平常，所以草堂很生气            
(5星)	 很喜欢            
(3星)	 我的收获是知道了【灵枢】【素问】是两本医术的名字            
(4星)	 最近一直在想这部剧，突然就看见了....最可爱的小孙童鞋...            
(5星)	 古代，医学，武功，感情融为一炉的力作剧，好看呀，可惜总是看不完全粤语版。            
(4星)	 精神分裂还蛮精彩的。。            
(3星)	 2003 高一            
(4星)	 围脖的评论真是经典：教会我什么是精神分裂的片儿~            
(NA)	 当时特希望男猪能跟素问在一块~话说怎么也没想到任泉的结局是这样的            
(4星)	 罗海琼演的人格分裂给我的印象太深了...中国很新颖的题材吧            
(4星)	 罗海琼~喜欢喜欢            
(4星)	 昨天又拿出来看了下，同学被我忽悠着一直在看，现在，还在。。            
(5星)	 中考结束的那个暑假……            
(4星)	 任泉怎么是反派，孙耀威挺好，素问怎么那么美            
(3星)	 小时侯很喜欢的            
(4星)	 多么令人怀念的剧。真不容易一般原来看过的电视剧现在想想都囧来雷去的。            
(NA)	 极其有印象！！！            
(4星)	 我当年好迷恋精神分裂的赶脚            
(NA)	 同样是大爱！^^            
(4星)	 很有港剧feel            
(NA)	 当时看的还蛮开心的            
(3星)	 灵枢 素问~~~            
(3星)	 孙耀威在里面好可爱，罗海琼很清新            
(5星)	 那个时候发现孙耀威比任泉还要帅            
(3星)	 灵枢素问            
(5星)	 就是因为他我才开始学习中医的            
(4星)	 初中时超爱，女主双重人格的设定很赞，满喜欢这部电视剧，就是后面有些烂尾，不喜欢这样的结局，太难过了……            
(NA)	 我是这时候开始喜欢罗海琼的。            
