http://movie.douban.com/subject/2377264/	雪花女神龙
(2星)	 以前没娱乐居然硬生生看完了            
(NA)	 完全是为了看小乔            
(1星)	 一颗星完全是给乔振宇的欧阳飞鹰的            
(1星)	 看了不到一半。。。撑不住了。。。。            
(NA)	 小白脸真的好有受样！太受了【捏】            
(NA)	 .............            
(2星)	 很遗憾的，我看过这部            
(NA)	 我不能忍受不能忍受绝不能忍受！啊~~~~~~~~~~~我真的是每次逼迫自己去看几分钟，自虐一下~强烈推荐片尾，自虐升级版…            
(NA)	 我妈很喜欢欧阳明日            
(3星)	 “赛华陀”可以看看。            
(NA)	 喜欢赛华佗～乔振宇            
(1星)	 每次都不打正眼看，但是不知道为嘛电视台这么情有独钟，让我一次又一次恶心，最后终于完了！            
(3星)	 小时候觉得董璇长得真是漂亮，然后觉得乔振宇好小生==            
(2星)	 两颗星都是献给乔振宇的！            
(3星)	 欧阳明日+1            
(2星)	None
(1星)	 吐血剧            
(4星)	 多年之前看过，乔振宇那眉心一点红啊，啧啧啧啧            
(2星)	 小时候看过哇            
(NA)	 how many years ago?            
(3星)	 除了欧阳明日，无亮点。            
(3星)	 噗小时候超爱看 成天和李晋他们讨论剧情神马的            
(2星)	 配角均成炮灰--看的时候电视上三集联播，最后几天成天死人：冰心先死，神童接着；星儿先死，弄月接着；真欧阳小姐先死，假欧阳小姐接着；还有弄月的干娘，一腔深情错付人。            
(NA)	 小时候就觉得巨雷……            
(3星)	 就记得女神跟欧阳明日还是欧阳明月了，冲着这俩人给三星吧            
(4星)	 哎呦我天~看过的最帅的国产电视剧~~            
(NA)	 囧            
(3星)	 对董璇和乔振宇印象颇深⋯⋯            
(4星)	 女神龙很好看太英气了。乔振宇从此踏入了弱气男的排列。            
(4星)	 怎么不好了？？不错啊            
(3星)	 我看了这个超爱咬头大的爷爷            
(1星)	 男主角长得像牛顿            
(1星)	 雷剧            
(4星)	 江湖问路不问心。真没想到因为女主角我还重新回顾了一下这种无奈苦情片。。。            
(3星)	 那时候觉得乔振宇真是美绝了！            
(2星)	 此剧出了个欧阳明日，美艳天涯！            
(4星)	 只为乔振宇            
(4星)	 初中的看的当时是冲着乔振宇看的             
(2星)	 那泡面头以及美人痣等等 边看边捶地            
(4星)	 啊啊。。。那对CP            
(NA)	 哈哈哈哈哈哈哈哈 当时我是瞎了吗            
(1星)	 哈哈哈哈哈哈哈哈哈！！你妈的神作啊！！！！狂风啊暴雨！！！            
(5星)	 小学时觉得这个真棒            
(3星)	 其实欧阳很好            
(2星)	 一颗心送给明日，另一颗送给弄月 嚯嚯            
(NA)	 我也是冲着乔振宇去的～            
(3星)	 三个星星都是给我家明日的~~~~=。=然后发现我自己居然看多这么多古装电视剧= =            
(4星)	 单纯为了乔振宇那身装扮            
(2星)	 大概就是从那时开始女演员们就不知道原来演戏是要用表情的了            
(4星)	 我也不知道 但是很喜欢 这里的董璇            
(2星)	 雷得无力吐槽..但小乔还是让我魂牵梦绕            
(1星)	 介个，我真的不知道我为什么会看完，可能因为那是家里电视台少！            
(3星)	 什么结局啊，还留个悬念啊，真是的，明日真是令人心疼的男配啊，乔振宇好帅啊，不过坐轮椅比站着帅            
(2星)	 初见乔振宇。            
(4星)	 美啊美            
(3星)	 被董璇迷得七荤八素的            
(2星)	 神龙你妹            
(3星)	 哎呀基本三颗星都是给小乔的            
(4星)	 小时候看了的，那时候觉得董璇很漂亮的，然后两个男主角我一点印象都木有了，只记得另一个男主欧阳，即使坐轮椅也很似竹拟玉，眉心一点红~            
(4星)	 乔家公子俊秀啊            
(3星)	 = =女主角老帅了            
(3星)	 一口咬住頭髮 髒不髒呀            
(4星)	 乔振宇很帅，女猪很pl啊，其实泡面头的男猪当时我也觉得很不错，~(@^_^@)~还记得乔振宇有个忠犬仆~~            
(NA)	 算是一个小时候的回忆            
(5星)	 五颗星送给公子            
(NA)	 苍天呢。。我还记得它！！！            
(4星)	 男主真是丑啊！！！剧情真是雷啊！！！但是欧阳明日很惊艳啊！！！所以四星。。。            
(1星)	 能有零分我真想打个零分！            
(3星)	 最近看被遗弃的秘密又看到小乔了，无比怀念当年温软如玉的明日公子，本想再看一下这剧的，结果看了几分钟我就受不了了，真不知道当年是怎么看完的，估计当时只顾着看小乔流口水了            
(3星)	 好吧。。我是冲着乔美人看的。。。            
(3星)	 三颗星都是给了小乔            
(NA)	 剧情记不得了，反正男女都是美人，董璇那时候多水灵            
(2星)	 泡面头南主和欧阳明日的故事            
(NA)	 中学时在姐夫那看的碟片，当时很着迷，女神龙好酷，台词跟散文似的            
(2星)	 年幼的时候神了啊哈哈哈哈 女主很漂亮啊鲁            
(NA)	 个biang片儿，当年我还真痴迷过。。。            
(3星)	 5星给乔美人，1星给雷剧，平均得3分。            
(NA)	 555同时想起了我们家明日~~~妈的比二次元还帅啊乔振宇古装扮相尼玛眉心那一点朱砂痣啊 怎么那么好看啊555            
(3星)	 在当时【小学】的时候很喜欢来着。现在嘛。千差万别            
(4星)	 明日公子撑起来整部剧啊，，，，实在搞不懂 女主为什么一开打 就含头发╮(╯▽╰)╭            
(2星)	 此片画质剧情确实不敢恭维，完全只捧红了欧阳明日这个角色一人            
(5星)	 当时看的时候，那剧情深深的吸引了我。导致一下子看了四遍，最后一次看的时候差点吐！董璇最近也结婚了。婚姻快乐            
(3星)	 各种囧萌            
(2星)	 陌上人如玉，公子世无双//当初看剪辑版的时候...也是顶着天雷，全靠着明日公子看下来的...            
(1星)	 神作……            
(3星)	 就算董璇那时候多难看，也比现在好看多了……            
(2星)	 小时候看的 记得有个头发像泡面一样的男主 长得丑 发型更丑 戏份超多的。。完全是觉得乔振宇很萌才去看的。。            
(3星)	 ......            
(1星)	 当时没电视看，看这个真是折磨··            
(2星)	 那之后乔振宇就残了，所以绝对不看爬得太高。            
(3星)	 喜欢董璇之后才发现很久前有看过她的戏，虽然有印象，但不深            
(2星)	 很久之后才发现是董璇主演的，女神龙超美的，但看多了就厌了  董璇还是比较适合美女如林那样的角色  有个性            
(3星)	 不好评价            
(4星)	 哎呀董璇好纯冷的            
(4星)	 只觉得那个女主好漂亮~~ 那个男主实在是太太太....            
(1星)	 如果不是乔振宇太帅了。。董璇又是大美女。。。            
(4星)	 乔振宇 连凯 陈孝萱 别的人……我真奇怪这电视剧真的是04年拍的吗？？无语了            
(1星)	 狂风啊暴雨！狂风啊暴雨！别得意！欢乐的主题曲！            
(3星)	 烂俗复姓+恐怖特技，也萌过乔美人            
(4星)	 今天才知道女主是董璇。。。话说乔振宇真的帅啊，可是为什么一直没红呢            
(2星)	 江湖让我背对着你姨姨姨姨姨~~~            
(2星)	 天雷大剧            
(4星)	 很有乐趣            
(3星)	 当年小乔拉起女神龙的被子，那神色，那姿势，无比销魂啊~            
(3星)	 那时候其实我们班整体都很迷这个，主题曲也唱得很顺溜。            
(NA)	 喜欢董璇            
(5星)	 我就是要打五星！！！            
(3星)	 其实我只想给演员星星            
(NA)	 当年的自以为的经典啊             
(2星)	 2*片子，5*欧阳明日，乔振宇那造型当年真是 萌翻了啊            
(4星)	 槽点无数 但是有乔美人~~            
(3星)	 不明白女主是如何瞎了眼喜欢那个鬼见愁= =，乔兄那会真是惊艳的美丽啊，比女主还好看（所以女主才不选他吗？？）            
(2星)	 董璇耍酷，男主角是不是潜规则了啊？            
(3星)	None
(3星)	 温习了下小乔剪辑版的。发现里面的配乐除了那首雷人的歌外其余全部抄袭犬夜叉！连泡面头都是照着奈落烫的！            
(NA)	 不晓得当年为甚会看            
(NA)	 小学时候我一女同学和我说她太喜欢看了            
(1星)	 真TM不想承认我看过这个雷片            
(2星)	 华丽丽的全明星阵容啊！            
(NA)	 当时看的时候一点都不觉得那个轮椅少年有什么特别的            
(3星)	 完全为了欧阳明日- -。            
(2星)	 乔同学美死了            
(2星)	 这剧唯一的贡献就是小乔的扮相            
(5星)	 雪花女神龙 年少时的女神啊~！            
(5星)	 原来是董璇....从小就有崇拜倾向啊            
(2星)	 很烂，除了欧阳明日君……            
(3星)	 三颗星都给乔振宇，你怎么就不红捏            
(2星)	 董璇长得真像董洁            
(NA)	 当初被雷得内焦外嫩啊            
(4星)	  喜剧 !            
(4星)	 哎哟我又开始码以前的了.. 乔振宇古装多好...            
(1星)	 一颗心给乔振宇的扮相！            
(3星)	 看得太早了，剧情基本忘光光，记得女主和男主似乎都是野人造型，唯一三颗心给华丽的欧阳明日吧            
(3星)	 当时就觉得那个女主角好漂亮~            
(2星)	 囧得叮当响＝＝            
(3星)	 龙儿。。。长风哥哥。。。。。。            
(3星)	 三星全给明日公子的美好。请直接忽略剧情。            
(NA)	 小乔用丝线掀起红被子。            
(1星)	 。。。cp            
(2星)	 感觉好雷- -            
(3星)	 我是去看乔振宇的，女猪脚没看中你，那是她眼瞎            
(3星)	 美女董璇。            
(3星)	 囧囧的一部剧            
(3星)	 就记得女主很帅气的把头发含在嘴里了= =，还有个帅男纸            
(3星)	 当年真的觉得除了男主之外别的都很好看orz 啊到现在还记得主题曲肿么唱= =            
(2星)	 我只记得哪个泡面头了            
(NA)	 小乔            
(1星)	 哈——哈——哈            
(4星)	 说实话压根没看过多少  对男主无爱  但董璇不错            
(3星)	 童年时的回忆。我就爱看这种东西...            
(3星)	 三星给小乔            
(1星)	 天雷滾滾~            
(5星)	 明日            
(2星)	 很雷诶。            
(5星)	    当年的董璇已经不是现在的董璇，当年的乔振宇还是现在的乔振宇。            
(5星)	 终于找到了 当年最爱的电视剧啊            
(3星)	 一颗星给董璇，两颗星给乔振宇。            
(4星)	 惊艳的赛诸葛            
(5星)	 只为了明日！            
(3星)	 其实我就是看帅哥来的~其余的都不重要~            
(3星)	 有点早了呢= =            
(2星)	 虽然没看过，里面一个个的造型那叫一个囧囧有神            
(NA)	 女神龙好漂亮。            
(4星)	 当初觉得不错 剧情够黑            
(1星)	 让我呼唤一千遍吧，小乔……            
(NA)	 忘了什么时候看的了已经。。。偶然看到欧阳明月的一张造型，想起了里面那个让人惊艳又心疼的男生。倾尽天下，只为那眉间一点朱砂~~~~            
(3星)	 明日美人~            
(5星)	 我自己一直超级喜欢的，不管品味如何不管雷不雷人～～            
(2星)	 两星给乔振宇，他是这电视剧里唯一能看的  。。。美人啊。。            
(2星)	 我居然连这种东西都看过。。。假期是有多无聊啊            
(2星)	 两星全给乔振宇            
(1星)	 烂！            
(4星)	 四星，只爲喬。振。宇。            
(2星)	 男主的泡面头····            
(5星)	 这个我必须给满分  就为了赛华佗  我不多说  如果看完你不喜欢赛华佗  我请你吃饭            
(5星)	 五颗星纯粹是送给小乔的..其他不值一提..            
(2星)	 单纯是为了乔振宇            
(3星)	   还能看的，当年老子看的还是津津有味的            
(3星)	 为乔振宇给的三星。。。其他太雷略过不提与星无关。。。            
(3星)	 那个，那个，额头点红的…            
(5星)	 永远的经典！            
(4星)	 那个时候觉得董璇很漂亮~~            
(2星)	 很！难！看！但！是！欧阳明日很！好！看！            
(1星)	 仅仅是为了乔振宇。。。雷点不计其数            
(3星)	 永远的欧阳公子            
(1星)	 单纯是为了乔振宇，明月美人啊就埋没在这部烂剧中了            
(3星)	 泡面头啊啊啊啊啊，当年我还追着看来着。。。。            
(2星)	 哈哈            
(2星)	 两星全给美貌的明日公子……另外台词因为太傻，反而有种奇异的萌感            
(4星)	 我就记得初中那阵儿特喜欢。            
(3星)	 乔振宇最帅！！！！            
(3星)	 咩哈哈哈、老久之前看的、男主角叫鬼见愁对么、            
(3星)	 三颗星全是给乔振宇的。。            
(4星)	 爱明月x弄月这对cp~~哇咔咔            
(3星)	 虽然是烂剧，但是是我阴暗的封闭式的高三生活中周末学校唯一给在电视上放的电视剧，除了在草稿纸上下五子棋的唯一娱乐。。。我淡定的支持一下。。。。            
(3星)	 噗，这部剧我好像看完了            
(1星)	 怎么找了个野兽和美女搭戏。董美人真漂亮啊！            
(3星)	 片很烂！但是大爱欧阳明日！！！            
(NA)	 诶哟 我想起来这个人了 乔振宇            
(3星)	 乔振宇是所有古装电视剧中最美的受，唯一的！            
(3星)	 我只看赛华佗。。。            
(1星)	 好像还是一集不漏看下来的            
(4星)	 好看            
(3星)	 就是看乔振宇嘛~~            
(1星)	 唯一亮点就是帅哥乔振宇            
(NA)	 欧阳明日（¯﹃¯）。。            
(3星)	 女神龙那个发带我还迷了一阵了            
(3星)	 记得是升高中的暑假看的。。            
(2星)	 那时候乔振宇是真帅啊，瘸子我也爱啊。            
(1星)	 乔振宇很帅。            
(2星)	 大囧~~~            
(1星)	 当时我就想，我擦，鬼见愁长得真是人见人抽啊！那神马女神龙长成那德行，全天下的男人眼瞎了吗？！眼瞎了吗？！导演你怎么选人的？你眼瞎了吗？！你眼瞎了吗？！            
(3星)	 = =怎么说呢 好歹是青春中的一个回忆啊            
(3星)	 有美貌的欧阳公子和明月公子~~            
(3星)	 啊 原来是小学5年级时候看的- -            
(5星)	 女主我的大爱 5星！！！！百看不厌 哈哈哈            
(3星)	 就记得女神龙杀人时候咬起一缕青丝的情景了            
(1星)	 就看乔振宇……            
(3星)	 电视剧很烂 可乔振宇孙耀威很灵            
(NA)	 乔振宇实在太迷人了- -            
(3星)	 男主。。。太丑了。。。惨不忍睹            
(4星)	 我就看看欧阳明日            
(3星)	 童年的回忆。记得一次寝室的人唱起它的片尾曲。那个时候，我们笑得站不起来。我很想你们。            
(3星)	 女主角太丑，但是里面人物的名字居然都是复姓，什么上官啊，司马啊，欧阳啊，诸葛啊            
(3星)	 很喜欢乔振宇。            
(5星)	 看到男主角那个头发我就崩溃了，为什么给五星，纯属锻炼我的意志力，让我知道这世界上没什么是真正可怕的，我天天中午看这个吃午饭从头到尾看完，没有什么能难倒我的            
(3星)	 标三星是因为它让我们寝室在半夜整整狂笑了十分钟哈哈哈            
(3星)	 为了欧阳明日~挺待见董璇的长相的~~女神龙蛮帅滴~~            
(3星)	 星星全给小乔。。。            
(3星)	 明日公子惊艳，女主你怎么喜欢那个泡面头呢。。。。。。。            
(2星)	 除了乔振宇，另外都算了吧。            
(NA)	 怀旧中            
(3星)	 很好 第一次被雷的感觉！            
(4星)	 纯粹为了乔振宇            
(NA)	 没看全过。。除了小乔其他人果断无视~            
(1星)	 男主深深地令我反胃= =董璇多好看啊！！！！鲜花插在牛粪上……            
(2星)	 天雷的剧！！！泡面头男主其实是个型男的只怪得罪造型师了摊手，女主角过于偏袒泡面男主导致女主也小白了，真是白瞎小乔的欧阳明日美人！            
(2星)	 哈哈哈 我就没看懂这片子意义来啊 哈哈哈            
(1星)	 跳着看了欧阳明日。。。花痴了            
(NA)	 很久以前看过的，当时很喜欢，不知道怎么现在都没怎么看到了            
(3星)	 我想说我还蛮喜欢董璇的。就是因为女神龙啊！就是剧情比较瞎诌！@Home            
(2星)	 补档 捂脸 纯粹为了乔振宇             
(4星)	 有个上官燕来的，还有我的乔振宇。            
(2星)	 我很纳闷我小时候怎么看完的            
(NA)	 实在太囧了            
(NA)	 女神龙。赛华佗。臭豆腐。            
(NA)	 各种披头士~            
(4星)	 貌似乔振宇很红在，哈哈            
(5星)	 以前真是饭点全家必等的一部剧啊。。            
(3星)	 要不是有乔振宇和连凯是不会看下去的            
(2星)	 乔振宇还是很帅滴，虽然人家在片子里行动不便。。。            
(NA)	 里面的男的的形象都很古怪            
(4星)	 乔振宇！！！！            
(5星)	 这个五星纯粹是给乔振宇一个人的，这么个烂剧，却出了个绝版诱惑，唉~一见明日误终身啊……            
(4星)	 乔振宇！！            
(1星)	 为了明月公子我忍了            
(3星)	 除了欧阳明日这个人物实在是太吸引人了~其他的拍的确实很。。。低端            
(3星)	 内谁！ 明月公子~XD            
(3星)	 方无。。眉心一点红= =             
(3星)	 造型有几个雷人的            
(1星)	 天雷滚滚……欧阳明日……            
(3星)	 有一集女神龙从男装换女装 那很震憾            
(4星)	 演员都很喜欢~            
(NA)	 囧。。            
(1星)	 很无聊，没看下去            
(NA)	 唯心的说乔乔是与腐绝缘的。            
(3星)	 当初看觉得还好 不知道豆办上怎么这么多人说  只是没看完            
(3星)	 以前很喜欢，现在很无语            
(2星)	 当时被女神龙迷得晕头转向了……还有那把绯红的剑，记得沧月鼎剑阁系列里面有吧绯红的剑吧~            
(1星)	 为了小乔留名= =            
(NA)	 看到他上快乐大本营的那期我好郁闷，快乐家族那帮XX的，就知道追着XX曾哥！            
(2星)	 =.=我只能说我看过……            
(3星)	 我好爱你，我好想想想想··你            
(5星)	 我就是喜欢我就是喜欢 其实我都忘了内容            
(3星)	 为乔振宇吧            
(2星)	 曾经看囧片            
(3星)	 小乔，小乔啊~~            
(NA)	 单纯是为了乔振宇……………………            
(2星)	 太难看了            
(2星)	 当年觉得明日很帅。董璇很美。。现在也是。不过是部烂剧            
(3星)	 当我还是以天真纯洁无辜少女（自PIA）还不晓得雷啊囧啊是什么时就已经觉得天雷滚滚了= =可是……可是……我就是为了人物才看得才多给的俩星怎么样啊哼            
(NA)	 其实大家都是为了小乔……            
(3星)	 基本上是为了明日兄看完的…不过董璇也满漂亮的…            
(3星)	 我也是来看明日公子的……囧            
(3星)	 成功塑造了一个欧阳明日，在乔振宇的光辉下，任晶黯淡了黯淡了！！！            
(NA)	 喬振宇  董璇  看這個劇除了這兩個人沒別的理由            
(1星)	 除了当年青葱小乔的颜之外一无是处的JP烂片            
(2星)	 唯一的优点是女主长得好看。            
(NA)	 欧阳明日，别亦无他            
(3星)	 剧情漏洞百出，但是，但是，女一号实在是很有气质啊，当年就是从这部戏开始喜欢董璇的，她的声音也很好听，低沉的女声对我很有杀伤力。另一个亮点是欧阳明日，长得也太好看了吧，可惜之后再没见乔振宇有比这更养眼的角色出现。好吧，看这个剧纯粹是为了看这两人的。。。。。            
(NA)	 小乔很惊艳            
(3星)	 小学时最深刻的回忆之一。欧阳明日惊萌了。            
(2星)	 真正喜欢一个演员的最好证明就是为了他去看一部活生生的雷剧。乔振宇，你办到了！            
(3星)	 怎么想都想不明白为什么女主没有选欧阳明日……            
(5星)	 乔振宇好帅啊。我第一次迷恋一个残废啊。               
(4星)	 我喜欢那个坐在轮椅上的人。            
(4星)	 不多说了，明日公子整片就是个大雷，唯有明日公子            
(2星)	 我喜欢的欧阳明日  那个萌啊~~            
(NA)	 看了点点  不好看的说            
(5星)	 正就一个字不解释=A=            
(NA)	 我后悔我看过- -            
(3星)	 本来冲着欧阳明日的扮相和女神龙初出场给我的惊艳感，应该给个四星的，但是……我只能说不光是鬼见愁，我见了那头华丽的方便面头，我也愁……            
(4星)	 力挺欧阳明日            
(1星)	 片头片尾曲治疗郁闷~乔振宇哟~~~~~            
(3星)	 冲着明日才给的三颗星            
(3星)	 乔振宇乔振宇乔振宇……            
(NA)	 我超爱的旋啊            
(2星)	 这片只成就了乔振宇这只小受= =            
(2星)	 剧情很无语            
(1星)	 好狗血啊艹……我好想撕了男主角那坨臭泡面，又老又丑又恶心。 = =但是公子一人拯救一部剧。这部剧的名字应该改成神医赛华佗。囧。            
(2星)	 唯一的看点是欧阳明日，他的风采确实值得好好欣赏。不过其他情节都很烂，建议跳着看就好了。            
(NA)	 小乔            
(1星)	 貌似当年就是为了小乔童鞋看的~~现在再重温遍发觉真是一部大烂片。。。。            
(2星)	 哈哈哈哈哈哈哈哈哈哈哈            
(4星)	 董璇啊.            
(4星)	 只对董璇印象深刻来着 可这女的怎么就没红？            
(5星)	 烂出水平！！！烂到俺反复看，经常看~~~~烂到极致~烂到掉渣~闹太套~~            
(1星)	 猪蹄曲！            
(3星)	 有个什么神医的长相好。            
(1星)	 咋能有这么烂的东西播出来            
(3星)	 居然真能找到。。囧囧有神的一部剧            
(NA)	 |||||||||||||||||||||||||||||||||||||||||||||||||||||            
(1星)	 其实这一颗星星是负的~            
(4星)	 片子雷死人~~但是乔振宇的扮相实在是惊艳死人~眉间一点朱砂~还有谁能点得比他好看！！那四颗星全部给他~不过董璇也蛮pp的~            
(2星)	 好囧的剧情~~雷人的女猪泡面头。本来不断自我催眠，为了明日公子咱忍了，一看有45集，还是算了吧那个主题曲，实在是极品逆天大雷啊            
(2星)	 看的时候总是觉得很囧。台词，剧情都很在人的意料中。缺少了点唯美吧。很粗糙的感觉。可是女主很漂亮，跟剧的介绍倒是很一致。演员都不错。就是拍得感觉很怪。            
(1星)	 我是被迫看得。。简直是太烂了。。。            
(1星)	 雷神            
(4星)	 哈哈哈 搓的片子用搓的眼睛看…演员很有亮点的呀 喬振宇坐在輪椅上太可惜了            
(3星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 当时觉得董璇太他妈的好看了            
(2星)	 看在乔小受的份上给你两星            
(2星)	 姐姐狂推喬振宇的時候看得，不過也沒看多少，因為實在是太囧了！！！開頭10分鐘都撐不過去，最後也就看了個歐陽明日的總集就撤退了（遠目            
(2星)	 主题曲依然囧囧有神。。。            
(2星)	 巨囧堪比江湖恩仇录            
(NA)	 瑜哥……            
(1星)	 天哪！光名字就把我雷焦了            
(3星)	 雪花女神龙            
(3星)	 …………当时还很喜欢那个泡面头鬼见愁…………耻辱啊            
(NA)	 雷剧的经典代表！！！            
(3星)	 呃~~~只是突然间盟欧阳明日~~~乔振宇那张脸真是很美好~~~(@^_^@)~            
(5星)	 完全因为小宇            
(3星)	 我给小乔5星，这部烂剧1星，平均下……话说小乔除了演烂剧还是烂剧啊……            
(3星)	 乔振宇演得角是讨人怜的男二号，但我就是不砸喜欢他。            
(1星)	 垃圾。            
(NA)	 很多年前看的一场电视剧，最爱的是片中的欧阳明日，至今无人可以替代~            
(4星)	 欧阳明日。还有董璇的标志性动作            
(1星)	 那句话说的对啊！女主角没这么面瘫的！            
(1星)	 有帅哥美女依然摆脱不了烂片的命运            
(NA)	 很一般的剧情。。。。。            
(1星)	 雷飞            
(4星)	 不记得剧的结尾了，记得好像没看到。记得是一天一集地看。            
