http://movie.douban.com/subject/3918663/	那一年的幸福时光 那一年的幸福時光
(4星)	看到评论的才知道这部戏的宣传是“累了，你就回家，回到那一年的幸福时光”这个宣传真的好贴切！演员演得好好，真的好生活化。家，总是让人感动。看到阿馨去台北之后阿馨和林英杰的演都跳过，还是江陈博他们一家人的戏好看。
(4星)	因为隋棠才看，看了两集得知第五集才出现于是乎木有耐性的我直接看了剪辑版，国芬恋很阔爱，没啥立场打分所以就算了╮(╯▽╰)╭
(4星)	吴念真不错
(3星)	結尾倉促了 超喜歡江陳博和黃國芬吶~~
(4星)	纯纯的~
(3星)	对不起贱人、坚持不下去=-=
(4星)	这画面这声音也太亲切了吧。真心觉得又年轻了，这世界最不缺的就是美好了。
(5星)	不矫情 不做作
(4星)	不完满但温暖
(3星)	还是逃不开 偶像剧的影子
(4星)	虽然有点闷，但是后面有很多点都很touch~
(4星)	其實，如果再一次回到小時候，我們唯一的念頭，應該就是回家，家，永遠裝載著那一年的幸福時光。
(NA)	从头萌郭采洁和杨一展的cp，为什么最后居然没有在一起。。温升豪卖萌装傻顽强不让人讨厌，郭采洁后来疯了的时候搭配上剧情的卖萌也算让人受用＞＜。。有个哥哥真好啊，有个温馨的家真好。这部剧还不错。虽然结局不甚完美，但还是让人不禁嘴角上扬。
(3星)	海报也太日系了=W=
(5星)	结局不是很喜欢。素馨在里面好精彩
(3星)	淡淡的时光，“超赞的！”生活
(3星)	爱这个主题，永恒的家。后面的编剧有点扯，其实英杰这个角色可以写的更立体更生动些。喜欢郭采洁，真有范晓萱的小样子，吴念真也喜欢。。。很多人说喜欢隋唐，为何每次都觉得她好像不太会演戏哎。。
(5星)	喜欢，就是这部我才发现原来咱Amber潜力无穷啊，高考那年的幸福篇其一！不觉得狗血，很温馨，家的味道很是浓烈呢！
(3星)	被图片吸引，看了几集，感觉就是随时都可以不看，看看也行
(5星)	虽然好看 终于看完了！
(5星)	馨杰看得我难过死了...编剧你真是什么狗血都往这两人身上撒。学长隋棠amber的演技都让我惊艳，更不用说老一辈了，还顺便被杨一展秒到。很用心很温暖很感动的剧本。要是馨杰两人最后在一起就更好了。
(4星)	国芬和陈博这对真可爱！几个台湾老演员好棒！
(NA)	回头就能看见你
(3星)	主要是看温昇豪的，结果江陈博这个角色我一点都不喜欢，还是隋棠演的黄国芬更好些~~
(4星)	有一个全心全意爱着你的废柴哥哥多好
(4星)	江博博~~
(4星)	温馨！温暖！萌！虐！远赴天涯找的幸福却近在眼前，你的身旁才是会开花的世界。我告别闪耀却迷乱的一切，在风里回来，温暖又让麻木的灵魂重燃感觉。
(5星)	隋棠的角色太乖了
(NA)	沒耐心看完了
(4星)	 后半段差一点 还算喜欢 
(5星)	温升豪卖萌呀！
(4星)	虽然情节有时候也会俗套，人物举止有时候也会不过大脑，剧情有时候也会为了高潮而生拗（矮油，很押运哦），但可贵的是让我看到了温暖、平等、开放的可能性，我从中看到了生活本质原该具有的美好。
(NA)	太拖沓了，看了大概6、7集，看不下去了
(4星)	温馨。郭采洁的片子都充满阳光。只是杨一展的结局悲了些。
(3星)	没看完
(4星)	感觉好纯真
(4星)	喜欢陈爸爸
(5星)	非常推荐这部剧
(NA)	台剧力算好的了。。
(4星)	累了，你就回家，回到那一年的幸福时光
(4星)	抛开几个狗血的剧情来说，不错的台剧~~另，编剧是想改变一下大团圆天下的局面吗？就是努力不够，以至虎头蛇尾了~
(4星)	兔子推荐的，当时看得眼泪汪汪的。。。说真的。很感人。结局我没有看，结局不重要了，重要的是这部剧开始，我有回家的打算。然后导致后来走的每一步都让我特别想家，最后回来。
(5星)	       放下从前 找的未来却近在眼前 　　你的身旁 才是会开花的世界 　　我告别 闪耀却迷乱的一切 　　在风里回来 温暖又让麻木的灵魂重燃感觉
(5星)	  大爱amber
(NA)	追到第五（?）集，平静的生活太美好，有机会再看吧。
(NA)	完全冲着吴念真和黄韵玲的组合去的
(NA)	拍的很現實，人在生活中，人在社會中，人在選擇中的無奈一清二楚的呈現
(4星)	看了这部 喜欢隋棠的
(4星)	真挺感动的，吴念真是亮点
(5星)	虽然每一集一个多小时，但是我一点也不觉得拖拉，很喜欢这样的剧情，累了，就回家。
(5星)	平淡而甜蜜的幸福时光
(5星)	无比真实，无比温暖
(4星)	林英杰，活生生的一个大杯具~
(4星)	——我——要——治——愈——系。
(4星)	小清新的连续剧，夹杂暖暖幸福感
(5星)	那一年的幸福时光   对爱的渴望与期待
(NA)	边哭边笑着看完  很爱郭  结局有点遗憾
(NA)	很温暖，很感人。喜欢这个调子，在外地的半个月，多亏有这部电视剧。
(5星)	很好。。
(2星)	太墨迹了，没看完，但是男主角长得很像男人，所以算还行吧。
(1星)	我管你看过没有！叫你抄袭，你就值一颗星！
(3星)	过一个很平凡，很简单的生活。
(NA)	很温馨的一部电视剧。结局虽然不是完美的那种，但是真的不错
(5星)	看海报就是喜欢的样子
(4星)	喜欢，不浮躁~
(5星)	近来难得能静下来看的片子没有跌宕起伏的情节 却透露着幸福与遗憾的味道
(3星)	明明是偶像剧非要搞成文艺片
(5星)	久久的漠然之后的深深感动，我总想再看一遍，但是那曾经感动的感觉不想去改变……
(4星)	累了，你就回家，回到那一年的幸福时光。傻傻的江陈博，豪爽的黄国芬，喜欢看他们的斗嘴
(3星)	简简单单，幸幸福福
(4星)	折腾的几家人。好乡土气息的台语。
(4星)	台湾还是这种剧比较好看~~
(5星)	好久没有这么被感动过了，虽然结局拍得不怎么样，不过过程很精彩。
(5星)	温情.的 ..
(5星)	终于看完了，首先我喜欢的amber！！  最后林英杰的死比较出乎我的意料，但是，如果林英杰不死，那也不叫那一年的幸福时光了，这个标题指的应该还是英杰和素馨吧在你伤害别人的时候，你也在被伤害
(4星)	 不错的电话剧~~尤其啊阿胜叔的演技，感受到浓浓的父爱。
(NA)	温大~帅啊
(4星)	温馨的家，如同“说不出的爱”给我的感觉，细水流长的生活，我喜欢，却又那么的，不够现实
(5星)	很安静
(2星)	神 我真的不知道在看什么
(NA)	吴念真。
(5星)	这部戏剧 收视率并不高 但是对于我 它是无法替代的
(4星)	大爱杨一展~
(5星)	这么多年过去了，我一直那么排斥看偶像剧这几天看了这部戏什么都是淡淡的，什么都让人想哭泣
(4星)	为了看江成博和黄国芬，太喜欢了
(5星)	我看过这部电视剧虽然描述商场斗争的那段戏实在是不怎么样但是他对人的感情的描述是非常的准确的，特别是对家的描述。
(4星)	这部台剧算清新不做作，不是偶像剧。江陈博和黄国芬这一对如果是主角就更好了
(4星)	嗯嗯，觉得隋棠演的角色不错
(4星)	超出预期的电视剧。
(4星)	这是一部充满温情的电视剧，适合想在都市生活中放慢脚步，慢慢细嚼的人，坐在电视机或电脑前面，为某个情节微笑或流泪。它不是纯粹的偶像剧吧，我觉得，它主打的是亲情，爱情为辅，只是爱情结局太悲了，受不了在虐人的过程中，还无法满足观众在悲欢离合后的一曙希望。
(4星)	2010年4月27日 21:03:57 开始下载了。2010年4月30日 13:54:38 快速的看完了。隋棠主演的剧集好像就没几部
(4星)	本来想因为陈博和国芬给5星的 但整体剧在妹妹那段总少点什么 感觉  音乐很出彩
(5星)	感觉很不错亚~ 这部剧的感觉就像这张海报一样 淳朴 真挚比较特别的一部台剧
(NA)	故事悠悠地细细地道来，一如春日午后的阳光，温暖而亲切，宁静而深刻。。。
(5星)	在累的时候，回家是最好的。
(5星)	好幸福哦～～
(4星)	很温暖的片子 被清新脱俗的画质吸引 因为很有幼年时的环境观感 拉我入回忆 青梅竹马 绕马青梅~~~喜欢隋棠 美美的 不过与以往有别~~~才想说郭采洁很适合演傻子 她果然就成了傻子 太有傻子的气质 不知是好是坏~~~
(5星)	优质剧。可为什么英杰跟阿馨最后没在一起。
(NA)	幸福，幸福，大城小事，时光回不去，所以要抓住所有的在身边的幸福。睁大你的眼睛，看清你所拥有的幸福。台湾的清新，乡村可见，城市里也可见。。。
(4星)	唉~~~~~
(4星)	我帮它当成垦丁一样的淡淡剧集，淡淡的
(5星)	帅啊 靓啊…… 给有故事的人们
(NA)	淡淡的温馨，小小的悲哀，很温暖的氛围，很幸福的时光。
(3星)	   結尾好草率 
(NA)	中间五集左右跳过，有些老梗的剧情。。
(4星)	那个郁闷啊...
(4星)	幸福其实很简单
(3星)	要找一個在他面前可以做自己的男人~
(4星)	去点洒狗血的，不失为一部温馨、平淡的生活小品，，，配乐和画面色调都不错，吴念真演的爸爸很朴实、感人，，家的感觉真好~~
(NA)	09年看过的最好看的一部台湾电视剧，江爸爸江妈妈真的好像我的父母~
(4星)	赞生蚝。赞宜兰。赞清新。
(3星)	小郭令人失望啊，老吴和小温同学顶起了整部戏
(4星)	小玲棒棒~~
(5星)	那一丝丝质朴生活中渗透出的甜蜜，是幸福
(4星)	从第一集就开始追着看~每周一集等得抓墙~最后的结尾狗血的想找阎魔爱诅咒导演和编剧~因为演员档期问题毁了一部好剧~
(5星)	累了，就回家，那一年幸福的时光
(5星)	家人 亲情 爱
(5星)	林馨恋太过纠结，或许是我活的太过理想，但我真的不喜欢林英杰这个把灵魂出卖了的男人，也不喜欢素馨的痴心就算最后他们都醒悟了。坚持看完这部剧完全是冲着国芬和博博的甜蜜爱情去的，好想有一个国芬一样的老婆，同时爸爸和妈妈也十分真实可爱，相信我一定会记住这段甜蜜的幸福时光。
(4星)	本来我把它也归为台湾无聊偶像剧之一的.后来想想海报上写的&#34;累了 你就回家,回到那一年的幸福时光&#34; 觉得 还是简单最真.
(4星)	曾经的幸福时光...
(4星)	累了，就回家回到那一年的幸福时光
(4星)	阿馨全家好～
(4星)	结局怎么可以这样？
(5星)	好想有这么一个哥哥……
(3星)	只是被片头吸引，郭采洁沉静的脸以及隋棠在大树下拿起的书，还可以如此纯粹吗？
(3星)	一颗星给温升豪和隋棠 一颗星给郭采洁（纯属个人情感） 一颗星给吴念真 以及闽南语 以及这个海报。
(4星)	隋棠和温升豪部分太喜欢。
(3星)	总会想起康熙来了中 郭采洁的光额头！另，隋棠漂亮！
(5星)	迷郭妈是对的.郭妈是无敌的.迷郭妈才有前途.迷隋姐是正确的.迷隋姐才有明天.
(4星)	郭采洁  你是我的型。
(5星)	家之所在，心之所在
(4星)	为人父母很辛苦
(4星)	结尾收得比较快，但细想，其实生活就是这样残酷，我和绝大部分人都是冲着happy ending去的，所以看完心里特别憋屈，不过对林英杰来说，这可能是最好的解脱方式，伤一个人太深，不要指望还能说“对不起”，眼泪只对希望而言，对绝望，眼泪不能代表任何华语。珍惜你的每份情感，每寸时光吧！
(NA)	杨一展和王传一长的真的好像,刚开始我都以为是王传一饰演的.剧情很贴近生活的感觉,特别是饰演郭采洁哥哥的演员,非常自然,郭采洁片中失忆后的样子演的非常好.不错不错.我喜欢
(5星)	累了就回家~
(4星)	温馨
(3星)	不喜欢另外一对。。只喜欢江＋芬
(4星)	英杰心中的阴暗没能被完全融化，结局有点遗憾，少给一颗星
(4星)	很清新的一部电视剧~怎么也没想到郭采洁竟然就是演三宝饭的那个女生~
(4星)	终于看完了,最后一集蔡振南嫁女儿说那些话的时候,眼泪偷偷滑了出来.PS:结局的交待太含糊了~海报片花和片尾误导了我丫!
(4星)	累了~就回家吧~
(5星)	总是会让人感到淡淡的幸福，结局过于局促，过于不解。 还是那句话，累了就回家看看，回到那一年的幸福时光。
(4星)	结尾有点次~但总体感觉还是温暖的有人情味的~而且画面很美~
(5星)	喜欢台湾乡下的闽南语和人情..好看...即使结局些许不美满..确实是那一年的幸福时光
(4星)	乡土剧
(5星)	想家了。
(4星)	喜欢这种温暖的感觉。喜欢江陈博和黄国芬。结尾有些仓促...
(4星)	累了，你就回家。
(5星)	如果结局不带遗憾,,能美满一点就好了..他们的爱情也只能是那一年的幸福时光..
(4星)	虽然又是偶像剧，但喜欢它的主题
(5星)	喜欢 国小老师 江陈博的师傅 林孟瑾 隋棠  音乐也很好听
(4星)	幸福有很多种  无论平淡 或轰轰烈烈  
(4星)	还蛮感人的说.第11集,放弃.
(4星)	一部《光阴的故事》的现代版
(5星)	虽然被定义为偶像剧，却看不到一丝做作与矫情。浸润在慈父般的温暖之中，宜兰的风土人情令人心生向往。年少轻狂时对外界的向往与沉淀之后对家的回归，头破血流之后，却获得了人生的智慧。曾经拥有过的伤痛，在家的包裹之下洗练成最珍贵的记忆与财富。各自有各自的人生，领受着那一份代价。
(4星)	爸爸妈妈和海报都没有那么残。。听说最后一集不好看，就不看了。。
(3星)	累了你就回家。
(NA)	温暖的感动
(5星)	我喜欢的色调内有这样的幸福 也有那样的幸福
(5星)	等勇气消失之前 一定要不断地尝试我爱这句话 家之所在，心之所在只不过在电视剧外感受这句话容易 但是真正去体会 还是需要自己经历过了才知道 它的宝贵 它的价值
(4星)	这两年唯一看有没看完的湾湾剧，还不错
(3星)	允浩学长完全脱胎换骨了耶~~杨一展 终究撑不了全场
(4星)	让人有哭有笑的好剧~
(3星)	其实 我很想给4星 但是结局太太郁闷啦 郁闷得要死要死 于是我极端的给了一颗星星太郁闷了 不过估计是告诉人们不要为了面包而背叛爱情 有惩罚滴
(4星)	好讨巧，灰姑娘和草食男的爱情故事。
(5星)	很宁静，很美好，彻底告别喧闹的台湾偶像剧，我大爱，看得舒服得不得了，而且片头曲又如此的好听、耐听
(4星)	其实郭采洁演的挺好的
(3星)	台剧有时就满满是家的感觉，台语很亲切。郭采洁很可爱，还有学长。黄韵玲是妈妈，超有韵味的乡间妇女，一切以夫为天，以家为天，跟我们妈妈一样传统美好的女人。吴念真是爸爸，跟我们爸爸一样大男人主义，捍卫家庭，在社会上不是顶天立地却很爱我们的爸爸。。
(5星)	顺其自然生活
(4星)	家的感觉很美好
(4星)	很温馨的感觉
(3星)	没看完
(4星)	幸福的时光  
(5星)	純樸的鄉土劇... 有別於另外的偶像劇!
(4星)	温馨可爱的幸福时光
(5星)	清醒自然的风格，很朴实的人家！
