http://movie.douban.com/subject/6778677/	绝望主妇  第八季 Desperate Housewives Season 8
(NA)	 这么多年~他们真心变老了都。。。岁月无情哇。。。            
(5星)	 第8看完就没了~还有好剧吗？            
(5星)	 很多人都说DH越来越扯越来越狗血，但它最好的地方就是再怎么扯都能回归生活            
(5星)	 追了好多年。。。            
(5星)	 追的最完整的美剧            
(4星)	 挺好的呀~            
(4星)	None
(4星)	 追了这么久，终于要结束了，可是还是很不舍            
(4星)	 narrator 声音很棒            
(5星)	 最爱的美剧，没有之一，从初中追到大学！            
(NA)	 练习英语！            
(5星)	 第一季到第八季全部看了。。。。。很爱这部剧            
(4星)	 从头看到尾 不过该结束了            
(5星)	 真是让人放不下。            
(4星)	 追到现在，发现是该有个结局了~~            
(NA)	 自从lynette家的娃长大后，我就不追了。终于要结束了。            
(5星)	 最爱~~木有之一~~这季就ending了TAT            
(NA)	 看到E12~            
(5星)	 从第一季追到最终季。。不离不弃的好看。除了中二的Susan一直不喜欢，其他都爱到爆！            
(4星)	None
(5星)	 唯一一部一直追，一直追，一直追的片子，七年了，最大的希望是不要停拍。。。            
(5星)	 生活，悬疑。经典之作我的最爱！            
(5星)	 越来越精彩的剧剧            
(2星)	 没以前好看            
(4星)	 Finally。            
(4星)	 美剧就这样看着看着，也就季季都看了。。。            
(NA)	 没想到结局很悲剧            
(5星)	 太好看了，特别喜欢，每个housewife都有她自己的特点，都很喜欢，每周都等着看，希望结局她们都好            
(4星)	 极好的消遣片            
(5星)	 啊啊看不下去了。Susan太傻了吧，又埋下禍根了。給什麽支票啊如果想幫助那一家人現金不就可以了。難道不清楚做這種事情就不要留下任何線索的么。自己解脫了豈不知後面禍愈惹愈多。            
(3星)	 susan个事儿逼 编剧编不出来的话应该S7就直接END 看到主妇们各种脑残很难受哒            
(4星)	 这是最后一季吗？真的是吗？我猜bree精神分裂使自己步入深渊了。chuck有可能是她杀得，字条也可能是她写的。只是解釋不通mary alice的故事。well，還是那句話，我不喜歡susan。she is a trouble maker！而且看起來，她還要去o洲再創出一季節的貨            
(5星)	 很AMERICAN!            
(5星)	 这四个女人真是经典了，看了这么多年，在她们身上，你总能找到一个像自己性格的人。当你迷茫的时候，就看看她们是怎么做的。最后你会知道，没有什么是过不去的            
(5星)	 很期待更新啊！            
(5星)	 是不是换了编剧，这季超精彩            
(3星)	 从大学一直追到现在，终于到了最后一集，希望主妇们不要再有波澜了，这么多年，都太纠结了            
(NA)	 终于看完了，有点小失落。期待更新。            
(NA)	 这季明显比上季好看多了。。。。不客气的说上季太白开水了，，，，当然夏日特饮是凉白开。可惜它是冬日的凉白开。            
(4星)	 看了百感交集。第一部美剧，无可替代。            
(4星)	 Bree是愛爾蘭語“力量”的意思；Gabrielle是希伯來語“主眷顧我”的意思；Lynette是法語“美人”的意思；Susan是英語“純潔善良”的意思。絕望的Bree問死去的Mary Alice：“你快樂嗎？”Mary Alice答：“至少不痛苦。”她握著珍珠把柄的小口徑手槍，指向自己的太陽穴。            
(NA)	 看完第10集 Bree活下来了。剧情总是峰回路转            
(NA)	 最爱的美剧，木有之一~            
(5星)	 大爱的美剧！NO.1！            
(5星)	 看过这么多美剧 这部是我一集都没落下来看的 我的大爱~在剧里看到了同样的迷茫 要面临的各种选择。。。            
(NA)	 一部超级值得推荐的电视剧。他们经历人生的大起大落是这样去面对的，深深令我敬佩和喜爱。我多想成为她们的邻居。我都看过三遍了            
(5星)	 真心好看啊。            
(5星)	 一直追，舍不得放弃哦  可惜只剩下这最后一季了            
(5星)	 非常喜欢 可惜最后一部了 出的也很慢 真是绝望了             
(NA)	 放弃了            
(4星)	 竟然到了最后一季            
(5星)	 好看的美剧代表作            
(5星)	 好看            
(5星)	 看到第九集，心都碎了。Bree，please don&#39;t.虽然没追看八年，但也有三四年了吧，things change，告诉我这是最后季了，真是舍不得！！            
(NA)	 还记得初二的时候对这部剧的迷恋，终于是走到结尾了有点不舍            
(5星)	 一年一年又一年 不曾舍弃 似相识            
(4星)	 停播的时间实在太长了            
(3星)	 这季就完结了吧，。。            
(5星)	 升级版的柴米油盐酱醋茶！            
(5星)	 以后没有了。看得时候还一直对Grace念念不忘的~            
(3星)	 太囧长了 没有看下去的动力。。。            
(4星)	 反而极想知道结局了，没有了以前淡然看剧的心情            
(NA)	 看得心好累啊 纠结            
(5星)	None
(5星)	 原来我也会爱看这种有点肥皂的剧。看了好几年啦~虽然第二季的时候弃过一阵子，可是后来又捡起来了。乐滋滋的看到现在。听说已经是最终季了，还有点舍不得。真的不用羡慕别人，看起来光鲜亮丽的人们，都有不可告人的秘密。Mary的旁白很有feel啊~            
(5星)	 很喜欢。。。            
(5星)	 三年前,印象特深的偏执的喜欢SUSAN,喜欢GABY,不喜欢BREE,厌烦LYNETTE,反感EDIE~到第八季,再往前看,觉得最不容易的就是BREE和LYNETTE了,BREE破碎的家庭和没有依靠的爱情,LYNETTE软弱的丈夫和勉强下去的婚姻,实在是撑得痛苦.9集.BREE想要结束自己生命的时候,真心难受了.不想说再见啊,希望编剧给个好结局            
(5星)	 就是太纠结…………            
(5星)	 看到第八季，还是最喜欢Gabi。虽然她自私又任性，但是丝毫不影响她的真实坦诚和可爱。            
(3星)	 EP04，09   不想继续追了，Bree的结局难道是自杀吗。以前最喜欢她了。            
(4星)	 susan真是讨厌极了，这一季的女人们行为都有点过            
(4星)	 每一季都喜欢不同的女主角，看到现在很喜欢Bree，很讨厌Susan，预测一下Bree不会走的O(∩_∩)O~            
(4星)	 即使最后一季了 质量依旧在的！            
(5星)	 这么久了。。还是喜欢啊！            
(4星)	 为什么我从来都不想笑            
(3星)	 快完结吧。。。            
(5星)	 我的青春啊，8年            
(5星)	 各种人生        别忘了自己是主角            
(NA)	 四个女人虽然各不相同。。。。。但是坚强能概括所有  友情更是让人欣赏            
(5星)	 Bree的冷静中掺杂入了一丝柔弱，完美的主妇背后其实也是有着不可肩负的悲伤。Susan一如既往的讨厌，Gaby一如既往的自私，Lyneete变得有些不像她了。很期待后续剧情的发展。            
(NA)	 嫌疑1 本，嫌疑2 卡洛斯，但是本人认为嫌疑最大的是本。蕾妮去找他的时候他大门紧锁，有作案时间。他的底细一直不知道，虽然一直在为他好人的一面不停的铺垫，但是“惊喜”总是不断；况且这个事件是与他的利益相关最大，首先是挖出尸体知情不报，随后又找人处理掉尸体，倘若事情暴露他会很“难堪”。             
(4星)	 各种闲言碎语~盗版闲人马大姐~            
(5星)	 唯一至始至终看下去的美剧~            
(4星)	 还挺好看的样子            
(5星)	 虽然对本季中围绕主妇杀人这点来展开感觉很无趣，但是还是愿意追看下去~            
(5星)	 想看美剧 不知道看什么 就看紫藤郡这群性感 美丽 可爱的主妇吧…… 她们其实算不上真正的绝望 她们是真正的女人            
(5星)	 再也不是小清新            
(4星)	 从不绝望！            
(5星)	 从第一季到第八季 看得最完整的美剧 Bree真是太让人心疼了 其他的主妇们还有丈夫或者孩子可以依靠、安慰，但是Bree总是自己再默默承受 希望终季里会有一个好的结局            
(5星)	 对苏珊简直已经无法言语了...........            
(5星)	 【美剧】Desperate Housewives S08：绝唱            
(5星)	 DH是一季比一季好看了。。。。第八季超爱BREE            
(5星)	 非常喜欢            
(5星)	 还是挺好看的啊            
(4星)	 生活剧            
(5星)	 竟然到完结季了。我有多爱lynette，就有多讨厌tom。            
(5星)	 要等到一月份才有第九集啊啊            
(NA)	 有木有第二个男人在看这个！！！            
(4星)	 最后一季了，farewell            
(5星)	 追了五六年，不解释            
(5星)	 到底是谁写的恐吓信啊我去！            
(5星)	 陪伴自己整个大学生涯的电视剧，必须5星，如同一个时代的结束。            
(5星)	 好舍不得 家庭剧总想一直看下去            
(5星)	 这真的是我最喜欢的一部剧，没有之一            
(5星)	 一口气把你看完才过瘾            
(5星)	 大爱啊，这么多年了，居然要结束了，额！！！很痛心，结束之后再从头看一遍！！！            
(5星)	 永远的最爱            
(5星)	 快快更新吧            
(5星)	 最后一季啦，别了，主妇们~~            
(NA)	 梦到好几次。觉得他们就是生活的一部分，每次吃饭的时候都要看一集，喜欢这样的感觉。            
(5星)	 有些悬念太显而易见了            
(4星)	 之前苦等第八季等不到，搁下一阵，上周突然发现已经出了八集了，一口气看了六集。觉得剧情似乎更夸张了，不过还是看得很高兴。susan依旧很神经质，希望Lynette能和tom和好，Gabi老了，bree也老了。            
(4星)	 kiss goodbye            
(5星)	 迫不及待想看结局了            
(5星)	 last season, come to final eventually, give it five stars for all these years&#39; wonderful experience with DH             
(5星)	 大结局了            
(5星)	 虽然还没开始看，但见到这帮主妇我就满足了~之前说第8季是final season，天啊千万不要是真的！            
(3星)	None
(5星)	 最后一季了，无关剧情，无关人物，无关收视率，挺到底！            
(5星)	 从第一季一直看到八的美剧，只有这一个            
(5星)	 追看了8年，当然心中的5星。。。            
(NA)	 走到最後一季了，應該是我追得最為完整的一部美劇，從開始到最後，雖然還沒有到大結局。很想找曉雨同學聊聊，順便回憶一下當初看第一集時對各位主婦的評價分別是什麽。            
(5星)	 一个可以出到8季的聚集的魅力自然不用说，虽说就是经常所见的一些家长里短的事，但动辄几集出现的尸体等，还是挺让人悬心，另外，很佩服编剧，情节真好，还有很多人说的话虽然不时刻意地搞笑，但是却很有意思！~            
(5星)	 满满的都是回忆，只希望永远不要停止。            
(5星)	 看的时候感觉情绪很悲悯啊~我就纳闷了~结尾季不要这么悲伤呀~            
(NA)	 唯一一个看了通宵的美剧            
(5星)	 在继续中。。。哈哈期待每一集。。            
(5星)	 这么多年。。thx!            
(5星)	 等啊等啊等结局~~~其实很不舍~~            
(5星)	 最爱之一            
(5星)	 绝对必须好看啊 又搞笑又温馨            
(3星)	 还没看出精彩之处啊~最终季可别狗尾了。            
(5星)	 最爱，再见            
(5星)	 这一季根本就是各种绝望啊 每个主妇都让人揪心的疼 各种泪奔啊             
(4星)	 剧情很精彩~！            
(4星)	 让我先把第七季的恶补完 再来好好看            
(3星)	 lynette也和tom分了。看到老友记，果断放弃掉绝望主妇，各种价值观、道德观的冲突，忍无可忍了            
(5星)	 最后了，第六集挺恐怖的。            
(5星)	 不错！            
(5星)	 最后一季？唉。。。。听说苏三和其他祝福不和？该结束了，善始善终吧            
(5星)	 别停拍～～            
(3星)	 除了Mary Alice的片尾独白仍然让人感触，剧情和笑点都已经撑不起来了。完结季是该来了。            
(5星)	 哎哟呵一个夏天默默把绝望前7看完开始追8了！吼吼！            
(5星)	 看了6、7年了。。。哎            
(5星)	 不舍555555555，不要告别我们……T_T            
(3星)	 赶快完结了算了吧。。。            
(4星)	 看这个剧现在纯粹是习惯了……            
(NA)	 新一轮迷雾重重 可惜要说再见了            
(5星)	 喜欢            
(4星)	 这一季从一开始奏不对劲，不单纯是the life of desperate housewives了已经，奏是纠结的杀人犯和他的邻居们，不忍心再看了，怕一路走来到第八季虎头蛇尾的难堪。。。            
(4星)	None
(5星)	 从06年开始追这部戏，陪伴至今            
(4星)	 期待结束！            
(5星)	 最后一季了吗？就要结束了嘛。。。。            
(NA)	 看你们最后什么收场！            
(5星)	 好吧，你们都看gossip girl...可我就是喜欢看主妇调情ORZ            
(5星)	 第一集其实不是那么精彩，bree收到同样的纸条，如同一个轮回，最后一季，无论怎么样都是五星。谢谢，这几年有你。            
(4星)	 唯一一部看过很多季。但是知道还是通过CCAV8的！尼玛后来放到一半就不放了我擦！            
(5星)	 开始恢复death desperation 今天更新哈哈            
(5星)	 再见了主妇们。再见了青春。            
(5星)	 尼玛 好激动啊 终于来了            
(4星)	 有点无聊了，到底要不要弃剧            
(4星)	 终结季，小伤感一下            
(5星)	 越来越悬疑了            
(5星)	 温情 激情 友情 爱情 这部剧包含了太多太多 据说这是最后一季了 有点小纠结            
(4星)	 Desperate Housewives終於回歸了！主婦們的生活依然苦逼啊，只是畢業后不能再和室友們一邊吃飯堂打包一邊看。第八季依然有血有肉，有眼淚有歡笑，謎團接踵而來，一個星期一集太吊胃口了！！            
(5星)	 给一个完美的结局吧 八年了。。。。            
(4星)	 善始善终好了，送你离开，千里之外。            
(NA)	None
(1星)	 这剧还在上演？            
(5星)	 第一集很棒，笑点不断，悬念也不错            
(4星)	 本来上个季度恨下心来弃了DH和GA，但是既然要结束了，当然这一季还是要看，第一集依然老样子，最后一封信难道要全面回归第一季？            
(5星)	 爱            
(5星)	 最后一季了，55            
(NA)	 看不下去了            
(2星)	 越来越没有意思，放弃。            
(5星)	 不想说再见            
(4星)	 第一集不精彩阿            
(5星)	 不知道要以什么心情来这最后的一季            
(NA)	 最终季了...追了这么多年...从friends结束那一年开始...            
(5星)	 语速很适合我，哈哈哈            
(5星)	 Bree 真美            
