http://movie.douban.com/subject/2357372/	最后的格格
(2星)	 陈键锋和严宽童鞋又被大陆的狗血BJ毁了一回，霍思燕童鞋继续天雷的万能圣母路线，《女人汤》中那个偏执毒辣却又有血有肉的烈性女子已经一去不复返了            
(2星)	 无比悲情，快赶上台湾的水准了            
(3星)	 编剧真是脑残。            
(3星)	 编剧功力太差            
(4星)	 编剧到最后，实在是离谱了~~            
(3星)	 严宽陈键锋大帅哥。            
(3星)	 剧情烂透了            
(3星)	 苗苗在里面的角色实在是特悲了，而唐宁在里面最后怎么成了一个老鸨似的角色- -严宽在里面就是我喜欢的男二类型呀~还有，还看到那个赵柯也，当时觉得这女的超挫器的。            
(NA)	 娘看过，所以我看过【歪理！】            
(3星)	 虽然看得我好痛苦（对内地剧依旧无感……）为了苗颜而在不断努力看~彻底杯具的良玉啊 你要是选开心多好 我的苗宁啊！            
(4星)	 演员都很经典了            
(2星)	 这个是跨越了几代啊 霍思燕是挺让人无语的            
(5星)	 天天看 喵~            
(3星)	 霍思燕 的 中老年装 太不像样 了 啊也演不出来似的            
(4星)	 感人的            
(NA)	 些许的哀愁啊，最后的一幕让人很心酸，为了芸香的88刀都没有让他倒下，在春天来临的时候倒在儿子的枪下            
(3星)	 最后的落幕，无尽的哀伤。            
(2星)	 为了苗苗才看的，于正的剧...++|||没有最雷，只有更雷            
(5星)	 我喜欢苗苗！！            
(4星)	 挺喜欢这悲剧丫            
(4星)	 痴儿，真的世间有这么多痴儿吗？不仅误终身简直都变态了            
