http://movie.douban.com/subject/2347231/	奇人奇案
(4星)	 剧情很特别，我记得有生化危机情节- -            
(NA)	 记得当时年级小            
(3星)	 一堆大蝙蝠。。。            
(3星)	 人很帅            
(4星)	 看过的噻~            
(4星)	 太久以前的剧了。我只记得好像还蛮好看的。            
(4星)	 那个时候觉得严宽好帅。            
(4星)	 有点吓人的...李若彤爸爸那个异装癖很毛的...            
(3星)	 这个剧当时有点吓人的             
(4星)	 以前觉得好恐怖啊            
(3星)	 ED男人哭吧不是罪            
(5星)	 十年后重温，深夜，心里填满了纯净的温柔。。||小时候看过的电视剧本来就不多，这部是极少几部印象深刻的，当时当恐怖片看了。。耿乐很帅！！            
(NA)	 小时候觉得挺吓人的。            
(4星)	 貌似初中时的记忆            
(5星)	 吓得我一直难忘。复仇的严宽贼帅啊            
(NA)	 内容已经模糊..只记得那巨型蝙蝠.            
(4星)	 最后一集很杀            
(4星)	 当初看的时候，觉得这片怪里怪气的。灵异电视。。            
(4星)	 严宽阿～            
(3星)	 不喜耿乐！！！            
(4星)	 好恐怖的非鬼片公映电视连续剧            
(NA)	 小时候看的~~很冗长~不过还是好看地            
(3星)	 年少的回忆            
(3星)	 搞到最后，原来就只讲了一个案子，在里面李诺彤可真漂亮啊            
(NA)	 当时觉得每个人的戏都很好看            
(4星)	 小时候看的电视剧            
(4星)	 我记得很恐怖，又很可悲            
(NA)	 ！！！！！！！！！！！！！！！美！！！帅！！！吓人！！！！            
(3星)	 吃老鼠            
(5星)	 小时候没有电脑 不去电影院 就是在家守着像这样的电视剧看。当时超爱这部剧 现在依然是 最美的回忆。            
(5星)	 小时候爆喜欢的剧，灵异又血腥，可惜至今只从头到尾看过2遍，有时间一定要翻出来再重温一遍！            
(4星)	 那时的严宽啊~~~            
(5星)	 小时候的阴影啊有没有！！！我要重温！！！重温！！严宽你真太好看了！！！！！            
(5星)	 小时候最爱的一部电视剧 恐怖 幻觉 复仇 爱情集一身 现在看来特效有点假 当年非常喜欢郑国霖            
(4星)	 当时看还挺恐怖的啊            
(5星)	 终于被我找出来了！！这个片子和方谬神探一样是奠定我现在深井冰性格的主要功臣啊！！            
(5星)	 小时候特别爱看            
(4星)	 喜欢吃小老鼠的医生，是我童年的阴影，当时就觉得天呐 真的有恐怖电视剧哎            
(5星)	 宽美人~            
(4星)	 相當詭異的劇情 ...            
(4星)	 小时候看的 只记得那些蝙蝠了 又爱又怕啊            
(5星)	 将人物心理展现得很精彩！            
(5星)	 很久之前看的，那时才小学一年级吧，不知为什么，特别喜欢看这部戏，所以这么多年了，竟还能如此清晰的回忆他，美好的回忆啊~~~~最喜欢里面的女配了~~~~还有宽爷~~~~~没有看过李若彤版的小龙女，所以竟也没怎么注意，后来才发现从这部戏之后几乎在没看过她的戏，遗憾呐..........还有肥猫，永远的经典            
(4星)	  李若彤 严宽 耿乐   这三个都爱~  对那个蝙蝠记忆尤其深刻            
(5星)	 小时候吓死了好吗            
(5星)	 巨喜欢             
(5星)	 那时候上海滩的种种啊！！！小时候的经典~~~~！！            
(3星)	 李若彤很亮            
(NA)	 那时觉得恐怖好看。主题曲是刘德华的“男人哭不哭吧不是罪”。严宽就是大凶手啊貌似？            
(5星)	 当年我坚定地认为耿乐比严宽帅，不控制服控文青            
(5星)	 很想买碟回味一遍。。。。            
(NA)	 很小的时候看的一部片子  李若彤还是那么漂亮~~            
(4星)	 小时候看的啊~~大爱啊~~可是忘记结局了- -            
(2星)	 看了两集，看不下去了            
(4星)	 小时候看这个吓死了，还做过不少噩梦。。。不过这部片帅哥真是多啊~~            
(5星)	 那时候严宽还不红，爱死谢家树了。            
(4星)	 吸血蝙蝠 好看哦            
(5星)	 小时候看过的最吓人的电视剧            
(NA)	 记得小时候在沙发上看着都不敢坐着把脚放在地上。。            
(NA)	  小时候看过，现在才发现有严宽。            
(5星)	 又怕又喜欢看。只是当时为什么耿乐和严宽都不红呢。            
(4星)	 严宽+李若彤+耿乐，都是我喜欢的啊            
(4星)	 那时年少各种剧~            
(4星)	 又一次配角控，喜欢耿乐            
(5星)	 吓的不敢睡觉·······            
(4星)	 难得印象深的国产剧            
(5星)	 还记得上学的时候看的时候，是晚上放的，第二天要上学，在自己房间里，投投的听外面的电视声            
(5星)	 怀念到现在的电视剧 。。小时候一直守着电视看的 但是后来忘记片名了 现在大了还一直印象里的就知道主角叫白一飞。。。哈哈              
(3星)	 绝逼是阴影啊！            
(5星)	 国产惊悚高质量电视剧，力荐！            
(5星)	 在天涯看造型八卦贴忽然想到我曾经也看过这么一个片，严美人年轻的时候更米丽啊，李若彤完全娇俏可爱嘛！            
(4星)	 这大概是严宽最帅的时候吧，白西装很衬他，也只有他把白西装穿得特别好看。            
(3星)	 当时湖北经视放到的时候还在上小学，印象最深的是插播的广告时间长到够我去洗个澡顺便把头发吹干= =            
(4星)	 对郑则仕和蝙蝠印象超深刻，还有《男人哭吧不是罪》片尾曲。找个时间重新看！            
(4星)	 是的我喜歡嚴寬……            
(5星)	 重新看！~！！            
(4星)	 从此爱上严宽            
(4星)	 帅哥+美女            
(4星)	 玉树是这里形象最丰满的人物了，其实他才是男主吧！            
(5星)	 叶玉树超级帅            
(5星)	 小时候看被吓到了……那时候喜欢耿乐            
(4星)	 好害怕            
(4星)	 叶医生            
(4星)	 小时候看的！印象特别深刻！大爱啊啊            
(3星)	 初中时候看的            
(5星)	 再把十年前小学看过的电视剧再看一遍，那感觉很爽啊。。那个时候的蝙蝠男严宽真的很嫩啊，肥猫好可爱啊。。宽爷该红了，姑姑就是好看。。童年的记忆！！！强烈推荐。。            
(5星)	 最近看倾世皇妃，看着严宽，想起来了这部电视剧。。但是名字竟然是这个。。。。满是回忆啊，吸血鬼那时候怕死了            
(5星)	 我一眼就喜欢严宽的开始！！ 李若彤美的没话说！！            
(4星)	 那时的宽哥真帅  小小期待下 倾世~~            
(5星)	 小时候超级喜欢。第一次看到严宽，真帅。第一次知道钻牛角尖这个词。            
(3星)	 小时候看这个会一个人不敢上厕所我会到处说吗            
(4星)	 还记得当时的主题曲是男人哭吧不是罪            
(4星)	 小惊悚~            
(3星)	 当时竟被吸血鬼和蝙蝠吓到~~哈~严宽只有在这里面还不太让我难受。            
(5星)	 我很喜欢严宽，也记得胖子，当然最开始是因为小龙女才看的，可是后来我记得的不过是一群蝙蝠和刘德华的《男人哭吧哭吧不是罪》，你看，事实与记忆总有出入。            
(3星)	 嚴寬好美    0 0            
(NA)	 那些诡异的蝙蝠啊，木有想到凶手就是帅气的男二啊            
(4星)	 你没看过？！            
(4星)	 记得小时候看的时候觉得有点恐怖            
(3星)	 严宽很帅。。。没了            
(4星)	 以前真的很喜欢看            
(4星)	 小学还是初中的暑假挚爱~ 小诡异什么的~            
(5星)	 小时候超喜欢            
(NA)	 最后的蝙蝠血清和自杀未遂的o my god I&#39;m coming            
(4星)	 小时候的恐怖电视剧= =。            
(4星)	 一看到这片，耳边就回想主题曲“男人哭吧哭吧不是罪。。”            
(5星)	 真心觉得严宽好帅好帅            
(4星)	 喜欢的说            
(5星)	 小时候好喜欢的电视剧 又重看一遍 严宽当年帅惨了啊            
(4星)	 结局很有深意            
(4星)	 蝙蝠蝙蝠蝙蝠，哈哈，记忆中印象很深刻的电视剧            
(5星)	 勾起了我的回忆            
(3星)	 要吃素是吧。。。            
(NA)	 。豆瓣电台听到刘德华的“男人哭吧不是罪”想到这片子。还有里面的蝙蝠。= =            
(NA)	 我的童年，记得总要查看家里是不是有蝙蝠~~~~            
(NA)	 小时候看得晚上不敢睡觉 第二天还是很迷的。            
(5星)	 非常赞！！！            
(5星)	 OH NO~严宽同志~实在是太惊艳了~            
(4星)	 为了李若彤，加一星~            
(3星)	 啊啊啊童年的记忆啊啊啊            
(4星)	 突然想起了李若彤 严宽为啥红不了            
(NA)	 猜到凶手了            
(4星)	 看这部电视剧的时候我还是初中的时候吧~作为一部国产的电视剧，内容放在现在来看也算是非常新颖的——吸血蝙蝠、变异等等。有种想重温一下的冲动！            
(5星)	 严宽啊严宽 为嘛你就是红不起来            
(4星)	 好好看+1            
(4星)	 好好看！！╯_╰            
(4星)	 我觉得是中国大陆拍的最好的一部科幻剧！我要重温一下！            
(4星)	 小时候的阴影            
(3星)	 蝙蝠啊 医院啊 怪物啊 好多阴影~            
(4星)	 哈哈，看到有人推图才想起还看了这么一部，小时候看的时候真觉得恐怖啊，貌似有吸血蝙蝠什么的吧~            
(4星)	 严宽~            
(5星)	 当年超爱啊，就喜欢这种风格的            
(5星)	 到现在都记得里面可怕的蝙蝠            
(4星)	 严宽好帅啊~            
(3星)	 小时候觉得还蛮惊悚的。            
(5星)	 严宽啊，为什么没红呢，当时那个帅啊。剧情很紧张，小时候看的，有点怕怕的。            
(4星)	 好几年前看过的 悬疑 逗乐 推理挺不错的            
(4星)	 当年给我唬的一愣一愣的            
(4星)	 小时追着看            
(5星)	 那時候趕腳嚴寬可帥氣了好嗎？！老闆娘有味道的不得了好嗎？！！            
(5星)	 挺喜欢            
(NA)	 感谢洁洁帮忙回忆，要不打死想不起来名字。记得一个场景，一个人站在楼梯上，然后突然飞进了大蝙蝠。            
(3星)	 印象深刻            
(5星)	 严宽帅啊啊！！            
(5星)	 童年恐怖回忆，再看都是萌点。            
(5星)	 好大的蝙蝠。            
(4星)	 小时候爱死这剧！！！严宽好正有没有！！！！            
(3星)	 记得当年的大蝙蝠吓死我了 严宽不错诶            
(4星)	 中学时的记忆，李若彤好美！            
(3星)	 小时候看的了。李若彤和严宽的颜。。。蝙蝠。。。            
(4星)	 小时候记忆很深的一部片子，蝙蝠超级恐怖            
(4星)	 当时严宽同学二十出头，帅到让人改变三观，以至于我一直以为他才是男一……            
(3星)	 小时候看着还有点怕?            
(4星)	 又名&#34;真人真事&#34;有没有！！！！！            
(4星)	 一宿舍人想了半天这名字 把演员全报出来以后 “《真人真事》？”“对对对！！《真人真事》”= =            
(NA)	 吸血大蝙蝠神马的            
(4星)	 话说当年我很喜欢那个小丫头和那个小警官            
(3星)	 当时觉得很恐怖= =            
(5星)	 当年对严宽惊为天人！            
(4星)	 很喜欢的            
(4星)	 爱。            
(4星)	 19歲在德宏看的。            
(5星)	 当时对郑国霖印象深刻            
(5星)	 小时候看的超好看的剧之一            
(3星)	 小时候看的呐，那个什么巨型蝙蝠又给我留下童年阴影。。严宽真是标准的古代俊男，剑眉星目，唇红齿白。            
(5星)	 爱上叶玉树 无可救药            
(4星)	 我小时候真吓坏了！！            
(4星)	 严宽很帅            
(5星)	 严宽帅呆了！！！            
(5星)	 啊~喜欢的很！！！！！            
(5星)	 当年好爱 啊。            
(4星)	 被叶玉树秒杀。。。            
(4星)	 记忆犹新。            
(NA)	 吓死人了 现在还有阴影            
(5星)	 还是有那么一点悬疑+惊悚的            
(5星)	 很小很小的时候看的，每次看完了总要害怕很久，可是第二天还是会继续看            
(NA)	 我终于找到这个了= =名儿跟神探柯蓝记混了。            
(4星)	 “童年阴影之一 严宽为什么没红为什么为什么”             
(5星)	 有些詭異，精彩~            
(4星)	 挺好看的，严宽那个时候真粉嫩啊。            
(5星)	 我儿时的阴影。。。            
(NA)	 惊悚片。            
(4星)	 老记得蝙蝠神马的，还有耿乐坐天台上大喊“许如侬”，许爸爸穿女装好囧= =            
(4星)	 突然之间想起这部童年看的电视剧，其实没有那么多复杂的情节和高超的效果，可是仍然看的津津有味，严宽和李若彤在剧中的表演都十分到位，耿乐和不倦，白一飞和老板娘每一对都有自己的特点。            
(4星)	 小时候看的，满眼的蝙蝠            
(4星)	 当时那个类得啊            
(4星)	 小时候可喜欢那个蝙蝠啥的了。。            
(3星)	 很早的片子了，比较粗糙。            
(5星)	 当时觉得很好看，现在还是记忆深刻            
(4星)	 小时候老爱看了=，=            
(4星)	 男主抱着女主跳的那段真的印象深刻啊            
(4星)	 小时候看严宽真好看站好看            
(4星)	 小时候看的了，貌似挺诡异，剧情神马的完全记不清了。原来是在这里知道严宽的啊            
(3星)	 节奏慢的吓人。。。有必要拍成35集吗。。。原谅我拉快进和看剧透。。。直接跳到下一集看，居然不觉得剧情跳跃。。。            
(5星)	 具备好剧的一切      不落俗套             
(NA)	 哇！这部剧。            
(5星)	 小时候的最爱啊！！看了后觉得到处有蝙蝠……=  =            
(5星)	 帅            
(5星)	 以前觉得好好看。天天追= =            
(5星)	 那个有恐怖大蝙蝠的片子 也是娱乐频道放的！            
(4星)	 曾经觉得很很很很吓人呢&gt;&lt;            
(3星)	 这是部我觉得还可以的电视剧            
(4星)	 诡异片，叶医生，乐宾超帅            
(NA)	 晕···怎么看到这片子了···小时候真是把我吓死了·····················            
(4星)	 喜欢看带点悬疑的、那会几个好朋友一起看。            
(5星)	 我喜欢乐斌……            
(NA)	 当年超爱李若彤            
(5星)	 太好了            
(3星)	 那时候看还是有吓到。于是对蝙蝠有点阴影 &gt;&lt;            
(3星)	 那时我只记住了严宽            
(3星)	 小时候看挺吓人的  蝙蝠tv            
(4星)	 童年记忆中的经典！            
(3星)	 童年的蝙蝠啊...            
(5星)	 有时候还会翻出来看看。            
(4星)	 小时候一度很爱。            
(4星)	 印象比较深刻。。。            
(4星)	 小时候的记忆啦·····            
(4星)	 小时候看的，记得还不错，剧情忘光了~            
(4星)	 我喜欢            
(3星)	 严宽好帅。耿乐真敦厚。            
(4星)	 这部片还是很不错！            
(4星)	 秒人的严宽+可爱的李若彤            
(3星)	 喜欢李若彤，美丽的女子。你应当幸福。            
(3星)	 叶玉树帅得~            
(3星)	 目睹拍摄 李若彤郑则仕人都很好            
(3星)	 喜欢李若彤去看的            
(3星)	 吃老鼠那段印象超级深刻，小时候吓得都不敢睡觉            
(4星)	 那时候当恐怖片看的            
(4星)	 被吓过~            
(5星)	 很早前看的，还有点印象，很好看的说~            
(NA)	 这个剧太惊险了            
(5星)	 当初看的时候的那个欲罢不能，想看又不敢看的心理啊真是折磨了好久~~现在终于不怕了~~~严宽帅死了~            
(4星)	 好老的片子，有时间还想再看一遍～            
(3星)	 哇噻个小白脸，为了看你，我小时候每天晚上看完蒙头躺在我奶奶旁边，等蝙蝠等到天亮！最后发现你是坏人，立马原谅了你。            
(3星)	 哇 小时候看的也 其实是囧片特技超假 但李若彤好美严宽好帅老板娘太有味道了 被勾引重看一遍 欧欧郑国霖你在这个里面耍帅耍得太过了啊！！！我要发花痴了。。。            
(4星)	 我记得挺好看的，里面有大蝙蝠还有刘德华的《男人哭吧不是罪》，好听~            
(5星)	 我当时觉得这个超级超级好看的，帅哥跟变态，蝙蝠跟胖子。很可爱也很恐怖。            
(5星)	 当年巨爱！严宽好帅，还记得主题曲“男人哭吧哭吧不是罪”！            
(4星)	 很好看很恐怖！！！！內地高質懸疑偵探電視！！！那個蝙蝠好巨型啊！！！！            
(5星)	 小时候看过，被吓过记得主题曲是《男人哭吧哭吧不是罪》            
(4星)	 嗯 当时看的时候 吓得我够呛            
(4星)	 冲着严宽同学和李若彤的美貌，该片就值得一看，严宽同学继续一如既往让人自动屏蔽男主角            
(4星)	 想当年觉得很恐怖的。不过好像剧情好看的。            
(4星)	 小时候超喜欢看            
(3星)	 多么久远的记忆             
(5星)	 腹黑的叶玉树啊！            
(4星)	 很不错的国产科幻悬疑电视剧            
(4星)	 严筒子真是颜如玉啊。。。。            
(5星)	 那个严宽演那个真的有点恐怖的，还有那个蝙蝠！！！            
(4星)	 这片子没耿乐就好了，完全冲着严宽和李若彤~~~             
(NA)	 好看 严宽很帅~            
(4星)	 小时候很喜欢            
(3星)	 为了李若彤看的这部片。。。只记得什么蝙蝠咬了人人就变僵尸之类的。。。            
(5星)	 被严宽惊艳了            
(5星)	 我也会爱上这样一个坏人            
(4星)	 每天和老妈一起看~男人哭吧不是罪！            
(3星)	 恩，上初中的时候看过几集，后来被要求住校，没有看完，一直是个遗憾。            
(5星)	 http://photo.blog.sina.com.cn/smile33欢迎大家去我的博客看看，裏面有一篇专门为奇人奇案写的文章，相册里又很多自己找的剧照图和制作的截图            
(5星)	 那个时候觉得严宽是最帅的            
(5星)	 当年没看到结局 呜哇哇 还好补上了            
(3星)	 情节完全不记得了，不过貌似当时有被蝙蝠吓到~~耿乐真可爱~~第一次看到小严同学，惊为天人            
(5星)	 绝赞            
(NA)	 有点恐怖。。。蝙蝠很吓人。。。            
(NA)	 蝙蝠啊~~~            
(5星)	 严宽不佝偻的作品。            
(NA)	 （章靜 上海女孩麽？） 諸多上海影視城採景的 好多鏡頭前後剪切有問題啊            
(3星)	 小时候看的，别人说长得像李若彤，看的时候挺害怕的            
