http://movie.douban.com/subject/2997320/	僵尸道长 僵尸道长1
(5星)	 虽然刚看了几集,但我相信给它4星是绝对没有错的,或许等看完我会回来修改评分:只会更高,不会再低.看这部只因为最爱的&lt;我和僵尸有个约会&gt;系列提及林正英,原来僵尸剧那时就可以拍得这么好看\\三天时间看完了，想了想，决定再给它加一星，因为再没有这么似道长的林正英了            
(4星)	 小时候和姐姐看的。            
(4星)	 小时候在凤凰卫视看的            
(4星)	 主题曲好有爱            
(5星)	 小时候晚饭必看！            
(4星)	 经典之作..             
(5星)	 国产的必看的            
(4星)	 儿时经典~            
(5星)	 就是喜欢林叔            
(5星)	 重温            
(5星)	 还有这片儿。。。            
(4星)	 “匡扶正道”眼泪喷薄            
(4星)	 很小时候看的。            
(4星)	 初中逃课的原因啊！！！            
(NA)	 月亮光光月亮光光            
(5星)	 搞笑又吓人  现在怎么不出这种片了            
(4星)	 作为老的电视剧很不错。有可能对茅山术很感兴趣，非常喜欢            
(5星)	 记忆补完            
(5星)	 最后一部分有些拖沓            
(4星)	 英叔的僵尸电影一定要推荐，没事做就天天看僵尸片。            
(4星)	 经典            
(4星)	 林正英的僵尸道长形象永远铭记！~记得还是小时候看的，印象特别深，再次温习回味...发现杨飞云这形象塑造的太强大了，能坏成这样也是少有啦~剧情撇去一些细节上的问题，故事还是挺吸引人的，即使放在今时今刻。            
(4星)	 虽然不太吓人啦。。            
(4星)	 尼瑪，嚇死我了！害我一個月都不敢開電視。            
(3星)	 NND小时候被吓死了好么！            
(NA)	 英叔的经典            
(5星)	 林大哥            
(4星)	 看完才知道我和僵尸有个约会的致敬是怎么回事，几乎所有桥段的原型都在这里面了            
(4星)	 有一把桃木剑是那个时候最大的理想            
(NA)	 年代太老了，画面不清楚啊            
(4星)	 林正英的僵尸片简直是经典啊！            
(3星)	 看完了，第一季剧情不是太好啊...            
(4星)	 林正英的僵尸系列已经算是无法超越的经典港影了。            
(4星)	 小时候很迷僵尸剧，各种僵尸，林正英很棒，这也是香港特色            
(5星)	 小时候，感觉相当经典。一个人还不敢看            
(5星)	 你能理解小时候又怕又要看的心情咩，亚视的经典啊            
(4星)	 小时候的回忆，每天晚上6、7点，一个人在房间看的时候总是感到毛骨悚然            
(4星)	 月亮光光 月亮光光             
(5星)	 小学看的吧。凤凰台周一到周五晚上6点半。主题曲我都还记得呢哈哈哈。            
(4星)	 好好看哦  那一阵子的香港僵尸电影            
(4星)	 最近都在缅怀。            
(4星)	 凤凰卫视播的            
(NA)	 喜欢各种僵尸片。            
(4星)	 粤语片启蒙啊~~最近重温了一遍，结尾太仓促了是个小遗憾。。主题曲配合得太好了，听到就心颤。            
(4星)	 鬼片还是看林正英的！            
(4星)	 好像在凤凰卫视看的？            
(4星)	 是小学时候看的 当时很害怕 当初那个年代的国产 觉得还不错了             
(5星)	 月亮光光 月亮光光 小时候觉得超级恐怖            
(5星)	 哈哈哈            
(4星)	 小时候凤凰卫视真是经典哪！            
(NA)	 好看            
(5星)	 有林正英的恐怖片都不会怕，因为我知道他会把所以恐怖的东西都消灭掉            
(4星)	 英叔。。            
(NA)	 小时候妈妈没回家在看偷看的片子            
(4星)	 小时候吓死我了...特别是那首“月亮光光”            
(4星)	 发现大部分僵尸片都是在ATV看的。。咳咳            
(4星)	 反正我看林大师的电影都觉得可爱~            
(NA)	 好看，。。。。            
(4星)	 英叔啊            
(5星)	 林正英一共拍了2部电视剧，这是其中一部，很好看，里面有很多与僵尸有关的剧情，可惜下不到高清的。            
(4星)	 林正英代表了一个时代            
(5星)	 星空卫视播放过            
(5星)	 我和僵尸有个约会 向您致敬！            
(4星)	 小学时候好爱看僵尸片%&gt;_&lt;%            
(4星)	 经典            
(5星)	 道长的经典之作……            
(5星)	 童年最害怕也是最喜欢看的电视剧！            
(3星)	 很小的时候觉得好看.            
(4星)	 钟邦 好帅！            
(5星)	 英叔 永远的经典            
(5星)	 小时候多喜欢啊            
(5星)	 经典啊。。。            
(4星)	 可惜英叔走得太早啊            
(3星)	 当然片子很吸引人，很真，，，，很，，，好看吧            
(2星)	 号称经典，原来是粗制滥造，主要是编剧莫名其妙漏洞百出太失败，剧情狗血混乱，人物极品，不是天生下贱，就是死活犯贱，看的很烦躁，演员表演生硬，除了苑琼丹和林正英也没啥可看的，一直等丹仔强吻林叔，结果等啊等一直等到最后一集，最后一个镜头，累得我            
(5星)	 英叔呐  英叔  经典..            
(5星)	 英叔，小时候的回忆            
(4星)	 想到僵尸就想起林正英，怀念那段和臭臭一起看这些的日子。这应该算是我看过为数不多恐怖片里面的经典了吧。            
(4星)	 经典            
(5星)	 好看            
(4星)	 小时候晚上都蹲电视机前看的。哈哈            
(4星)	 儿时记忆            
(4星)	 哇哈哈哈，这类片子经典哇            
(3星)	 小时候晚上看的片子。            
(4星)	 凤凰卫视            
(5星)	 小的时候一直想拜道长为师!            
(4星)	 由林正英开辟的僵尸片电影            
(5星)	 具体情节不记得了，基本上林正英的所有系列都看了，不过喜剧人人爱            
(NA)	 没看完啊~~            
(3星)	 当年真系僵尸片噶盛世啊            
(NA)	 林叔的电影永远都是经典！            
(4星)	 永远的僵尸道长林正英…            
(NA)	 林正英的大部分僵尸系列都在大二上学期时同室友一起重温补完，不恐怖反而看的颇嗨。            
(4星)	 经典            
(4星)	 小时候可喜欢看林蜀黍的鬼片了~            
(NA)	 好看。            
(4星)	 凤凰卫视一到新闻联播就没个正经            
(NA)	 我为英叔的看似呆板而沉迷了一个童年。。。            
(5星)	 好看的 林阿伯好帅的~            
(5星)	 永远的经典啊~            
(5星)	 给那时代致敬            
(5星)	 林正英给我的唯一印象就是 大仙。小时候好崇拜他，还学他画符。-0-            
(5星)	 .......不多评价了，真的很不错...            
(5星)	 经典            
(3星)	 以前看的...........            
(3星)	 ~~~            
(5星)	 很小很小时看的，当时真的觉得好好看啊。。。            
(5星)	 经典            
(4星)	 托LS time 凤凰卫视电影台的福。。80年代的港台片 看了N多。。            
(NA)	 不记得什么起  喜欢看他的片子  不过真的不错  把老祖宗的矛山术表现了下  看这个片子不需要什么深刻的意义 学到什么东西              
(5星)	 回忆~~~            
(3星)	 很久以前和邻居一起追的电视剧~那一段关于ATV和凤凰卫视的日子啊            
(5星)	 主题曲的旋律好诡异。片子也有点恐怖，不过挺好看的。ATV的经典了。            
(5星)	 当年觉得无比好看的我=▽=            
(3星)	 经典，相当得经典。回到那个时候，绝对是相当好看的电视剧。但是现在看来，整个故事不够紧凑，连接性和逻辑性是在不敢让人恭维。说白了，就是好假。不是僵尸好假，是人好假。不过，小尊变僵尸那段，真的是非常让人感动。            
(4星)	 当年把我吓得不敢出气            
(NA)	 英叔在这部影片中真的是英姿昂扬啊，很好看！            
(NA)	 月亮光光月亮光光……            
(3星)	 商天娥老演不讨巧的角色，难怪一直做龙套，哪怕红极一时的《我和春天有个约会》也救不了她            
(NA)	 很喜欢看林道长的电影，僵尸片            
(4星)	 记得小时候凤凰卫视播出的，看完吓得晚上不敢睡觉，还忍不住每天要看            
(5星)	 很是喜欢当年亚视的几部僵尸片            
(4星)	 不知道为什么很喜欢看林正英的僵尸片 看这个我会有想笑的冲动            
(5星)	 80后的回忆            
(4星)	 苑琼丹跟林正英的对手戏都非常精彩，可以看出两个人之间的默契。            
(4星)	 看了一部分，当年看了就在想看，可惜是华语卫视播的，自家那时还没有卫星锅，可惜了很长一段时间            
(NA)	 童年就没学好            
(5星)	 精彩            
(5星)	 经典啊            
(4星)	 经典            
