http://movie.douban.com/subject/2364060/	隋唐英雄传
(5星)	 大爱罗成，太帅了。            
(4星)	 比价真实吧~            
(NA)	 叹罗成！！            
(4星)	 小呆家。10.05.08。            
(4星)	 表哥到处勾搭的故事么……            
(3星)	 老爸的最爱            
(4星)	 有一种小时候看连环画时那种感觉……历史、侠义、英雄、儿女情长……虽然有时觉得服装布景什么的挺粗糙的可还是让我有了共鸣纳闷为什么啊            
(4星)	 喜欢～～            
(4星)	 那段时间电视总播，各种电视台都播，个人觉得还不错，但是一点不觉得聂远很帅，不过罗成很男人~黄海冰给人感觉像小白脸，可能是长得太白了，而且长相有点奶呼呼的，哎，总之不知道怎么形容，电视剧不错，只可惜我历史学的不好，不知道这电视剧是否符合史实，看看热闹吧~            
(5星)	 黄海冰无敌的帅~            
(4星)	 都是我喜欢的演员...            
(NA)	 雄伟            
(3星)	 玄武门事变兵力太少了吧，群众演员多点呀            
(2星)	 哈哈 。一直期待有部电视剧能描写那段历史。真的很精彩。但是他不是。他太无厘头。太做作了。特别是QSB和CYJ            
(NA)	 李世民俩哥哥的镜头，背背山了啊喂            
(5星)	 曾经特迷这，尤其是那片头还是那片尾曲            
(2星)	 《说唐》这小说就不靠谱，拍个电视剧结果也是必然的不靠谱。。。            
(4星)	 不错的作品            
(3星)	 我喜欢裴元庆            
(3星)	 貌似以前都没看完            
(5星)	 义            
(4星)	 很不错的电视剧啊            
