http://movie.douban.com/subject/1968578/	西关大少
(4星)	 虽然有纨绔子弟的成长、商场上的波涛风云以及王子灰姑娘间爱情等等的大胃口，但是觉得剧情特别的别扭，总像是在敷衍什么似的。还有，平妻是什么？            
(3星)	 发型失败            
(NA)	 真好看。因为有张智霖！            
(4星)	 不大喜欢这个年代的戏，但是真的满好看的，有句刚句。。。            
(4星)	 这部剧+张智霖+佘诗曼=某程度上是为了弥补《澳门街》的遗憾。整体上故事不错，刘松仁和赵雅芝还是最抢镜的，张智霖和佘诗曼的故事无法超越《澳门街》的经典，但最后还是在一起了，也算是那样了。            
(4星)	 这样的阵容，实在少见，尤其是赵雅芝的演出，很惊艳。            
(NA)	 文初哥哥的又一部~            
(5星)	 卿本佳人！芝本佳人！            
(5星)	 张智霖有一把好嗓子 TVB我认可的声音只有他和林峯 这部剧真的精彩            
(4星)	 03TVB台庆剧。。前半部最好看。。CG和Angie每个眼神都是戏。。            
(4星)	 麻麻地            
(4星)	 几时很老套，但是不反感，喜欢张智霖和啊佘            
(3星)	 还是刘松仁和赵雅芝更出彩一些。            
(3星)	 难得看到芝姐重出江湖！            
(NA)	 喜欢西关系列            
(4星)	 突然发现张智霖的每一部戏都好看都不行啊            
(4星)	   大家都是为了看 赵雅芝的啦~            
(4星)	 为我留给陈键锋的眼泪，原谅我对张智霖无感            
(3星)	 我很不想承认我居然看过，但好像看到三十几集就没看下去了，所以结局是什么我好像是不知道的            
(2星)	 真是纠结这部剧....张智霖~唯一的亮点            
(3星)	 张智霖还是帅！            
(4星)	 少了一颗星是为了这个结局，狗血的结局，何双喜不值得天赐这样为她付出            
(5星)	 很好看。幸亏结尾很俗套。让我的眼泪没有白流。果然。还是有情人终成眷属最合我的意。            
(4星)	 前半部爆笑！            
(NA)	 这片子我印象最深的一句话是，败家子有什么不好的，至少人家还有个可以供他败的家！XDDD            
(3星)	 很久没有看到赵雅芝出来了。。。顶顶            
(5星)	 好好看            
(5星)	 超爱的！！！            
(2星)	 少爷。四喜！你们咋就那么纠结            
(3星)	 印象最深的就是   堂哥堂哥堂哥堂哥            
(4星)	 最让人心疼的天赐！！！chilam!!!!            
(NA)	 好看吗？不觉得啊，难道是我眼光堕落了            
(4星)	 这里面还算喜欢佘诗曼~            
(4星)	 这也是河北卫视教导我的那是我还不知道刘松仁，没注意到陈键锋，只知道赵雅芝，有着酒窝的张智霖还有被他捉弄的何双喜。            
(3星)	 趙雅芝徹底展現熟女的美啊            
(5星)	 喜欢赵雅芝            
(2星)	 太过着于痕迹～            
(5星)	 最爱的TVB经典剧            
(4星)	 双喜这结婚又结婚这感情看不懂了！            
(5星)	 家族外争内斗，西关大少，一语双关，看两位大少如何在商场情场中取胜。。            
(3星)	 刚开始挺好看的，怎么后面那么难看啊！~            
(3星)	 我美丽的赵雅芝            
(3星)	 唯一看点是兔牙，可惜太早就再见了。            
(3星)	 意料之中的结局~            
(NA)	 很欢乐，很伤感，很无奈。            
(4星)	 很喜欢主题曲。            
(5星)	 刘松仁的演技太到位了。            
(NA)	 曾经感动得掉眼泪            
(NA)	 张智霖~\(≧▽≦)/~            
(3星)	 当年第一次见到帅帅的阿苗……哦……            
(NA)	 唯美的主题曲。            
(5星)	 感动！            
(4星)	 赵雅芝            
(3星)	 所有人的角色都不太喜欢除了赵雅芝~ 佘的角色真村姑！            
(4星)	 初中放学的时代。。。            
(4星)	 当年超喜欢的~            
(5星)	 经典之中的经典！喜欢张智霖！            
(3星)	 一对欢喜斗气小冤家。            
(5星)	 编剧狠狠虐了把张同学 我宁愿相信双喜的挚爱只是天赐 “何伤喜，一生何来伤心，一生何来欢喜”或许张同学的相爱无梦最能诠释这段感情：跟你抱着 未等于爱上 不再抱着 未等于不想 你我在这分钟说过无缘再见 下秒钟再凑巧碰上 即使一起 貌合却又神离 分隔两地日夜挂着愁眉 再各自结新欢...            
(3星)	 喜欢首主题曲~            
(4星)	 冲大仙我也要给四星。            
(3星)	 我印象最深的 还是郑嘉颖演的那个小白脸            
(4星)	 冲着芝姐看的 那是还不知道苗苗呢            
(5星)	 芝姐演的當然看過了、支持            
(4星)	 民国版流星花园            
(4星)	 挺逗的。            
(4星)	 少数几觉得SSM顺眼的剧            
(NA)	 喜欢张智霖到骨子里。。。            
(4星)	 传说的西瓜大少..            
(4星)	 还好            
(3星)	 刚知道原来赵雅芝也出演了。汗。依旧是那句阿佘好美好美，大概是看了这部喜欢上她的            
(3星)	 西瓜大少            
(4星)	 所有的主演都是大爱，大眼仔鬼马无比，松哥太搞了 哈哈            
(3星)	 我深爱的苗苗啊~就这么被圣母糟蹋了~极其讨厌佘诗曼！！            
(4星)	 对于当年的苗苗完全没有概念 只记得大仙和阿佘            
(4星)	 我真的喜欢张大仙吖            
(5星)	 找影帝来拍绝对是个正确的选择，找佘诗曼来拍绝对是个错误的决定。            
(4星)	 不喜欢后半部，为什么天赐要这么惨啊~~双喜很差劲！            
(3星)	 有的时候有的人的改变，可以接受，但不可以原谅。经历了那么多，甚至是能够生死与共的感情，怎么可能说断就断，怎可原谅。但是结局，还好……            
(4星)	 喜欢他们读书的时候            
(5星)	 2对情侣档都是经典中的经典~！            
(4星)	 主题曲好听            
(4星)	 港版王子与灰姑娘...            
(2星)	  看的我哭了 在讲什么东西啊 不过主题曲真的很好听            
(4星)	 真是喜欢张智霖的角色            
(4星)	 大仙~~~~歌也好听            
(3星)	 恶心那里面的佘诗曼...不记得我什么时候开始有讨厌女主的情节了...            
(4星)	 很好看，少爷和平民女的爱情故事            
(5星)	 挚爱            
(5星)	 太正，太经典，看得我痛哭流涕。双喜和天赐的爱情。。。            
(5星)	 郑嘉颖啊郑嘉颖。。。。            
(3星)	 哎哟喂，当初看这个可真不容易，等碟等的要崩溃，纯粹是为了看佘和张的配对。            
(4星)	 被刘松仁的演技震撼的没话说，实在太强悍了，台词从他嘴里说出都觉得是活的，芝姐也很棒。。。            
(3星)	 两人最后跨越了阶级的阻隔            
(5星)	 看到17集，足够了轩哥，说了再见，就一定会再见的            
(5星)	 演得太棒了            
(4星)	 张智霖太搞笑了~很好看~            
(4星)	 我讨厌佘诗曼，还跟大仙二度合作。。。那年惊艳的三苗同志。。。            
(3星)	 前面还可以            
(4星)	 里面的演员都是我喜欢的            
(3星)	 跳着看的。看到周明轩死为止。”大王饶命“。            
(3星)	 我并不是很喜欢看这个年代的剧，也就是因为有喜欢的佘诗曼和张智霖，况且这是两人再度合作看了，不是很感兴趣吧。            
(3星)	 松哥正啊～            
(3星)	 编剧差了点            
(3星)	 赵雅芝和佘诗曼的对比太强烈！赵雅芝太美了，佘诗曼太难看了~            
(4星)	 看的时候真为张智霖不值啊。。。            
(4星)	 苗苗~苗苗~苗苗~            
(NA)	 一般吧            
(5星)	 感觉好笑。。            
(NA)	 一般。            
(4星)	 张智霖和苗很好。            
(4星)	 唯一的感慨就是，芝姐宝刀未老啊！            
(3星)	 那时候很喜欢张智霖~·            
(4星)	 冲着张智霖看得，内容就不咋样了            
(3星)	 中间有几段蛮搞笑的，张智霖捉弄佘诗曼            
(4星)	 蛮喜欢佘诗曼的            
(NA)	 CHILAM真是我的爱。            
(4星)	 主题曲蛮好听的，曾国邦很好看，棠哥太贱。。            
(3星)	 初哥哥和君好穿越时空终于在一起了            
(3星)	 08年中午重播，有一次和ashley，车，thomas在餐厅边吃印度菜边看，彻底雷倒：抗日战争没开始呢，张智霖在宴会上唱‘如今的南泥湾啊，啦啦啦啦啦。。’港人呀港人，，，，连编剧都是文盲            
(4星)	 赵雅芝 张智霖 刘松仁             
(5星)	 东山飘雨西关情怎么超得过你            
(4星)	 荔湾，旧称“西关”，因区内有“一湾青水绿，两岸荔枝红”美誉的“荔枝湾”而得名。广州繁华地带．            
(5星)	 我是说本部的双皮奶那个西关大少咋那么熟悉-。-            
(4星)	 結尾的劇情無奈~心痛張帥~55~佘在裏頭醜挖(額~表PIA我)...            
(3星)	 &lt;相愛無夢&gt;            
(4星)	 开头真搞笑挖            
(4星)	 2003            
(3星)	 讨厌双喜～            
(3星)	 张智霖那个油油的头发。。            
(4星)	 张智霖好逗，佘诗曼好蛮，欢喜冤家！~~~            
(4星)	 佘诗曼在里面显得很老            
(4星)	 這部我也滿愛看的            
(4星)	 ms高中看的，有一点点印象            
(NA)	 赵雅芝不老神话。。。佘佘演夜香妹啊            
(5星)	 挺好看的            
(3星)	 有空看看            
(3星)	 去看张智霖。。。和阿佘挺配的            
(4星)	 good look            
(3星)	 虽然卡司坚强 但是很平淡            
(4星)	 就是后面好啰嗦哦！            
(NA)	 苦情            
(NA)	 这个是高考时候的吧?好象是            
(NA)	 初哥哥和君好，双喜和天赐...chilam&amp;charmaine            
(5星)	 精彩            
(4星)	 劇情人物都好好！            
(5星)	 帝女花            
(4星)	 charmaine+chilam            
(NA)	 赵大美女·～～纯粹捧场··            
(5星)	 张智霖太帅太帅            
(5星)	 十月初五的月光续            
(3星)	 一直么看全            
(NA)	 2003年            
(3星)	 还是赵雅芝和刘松仁的戏比较精彩            
(NA)	 赵雅芝怎么就始终这么漂亮呢            
(NA)	 看过的还想看            
(3星)	 剧情还不错。            
(4星)	 [大学] 看到一半 后面的跳着看 主题曲《相爱无梦》好听            
(2星)	 不是不喜欢,而是看后很生气            
(3星)	 看过几集            
(NA)	 不错的台庆剧，张智霖很帅！            
