http://movie.douban.com/subject/3542424/	呼叫大明星
(1星)	 充分说明了明星其实都是工具而已。偶像剧这种电视剧方式对人民群众尤其是未成年女生的智力水平的整体下降有着不可推卸的责任。这是媒体的阴谋。等她们因为极品成为剩女的时候就可以做相亲节目了，我这样想            
(2星)	 直接看最后一集就行了            
(3星)	 真的是 很白痴的剧情哎            
(3星)	 我只想知道某帅哥你们KISS的时候是何感受。。。            
(3星)	 俺觉得男二不错，其他的一般            
(2星)	 阿力 小开无敌            
(4星)	 剧情虽然狗血了一点，帅哥美女还是比较养眼的~            
(NA)	 男二 哎...              
(NA)	 撒也老了啊····唉不过还是挺美的~            
(NA)	 不想打分，什么烂玩意儿啊，别糟蹋阿sa了。            
(3星)	 热播的时候，离婚的新闻出来，怎么看sa姐都不能再少女了··            
(NA)	 没见过那么NC看得那么窝火的剧 没看过的童鞋只看最后一集就好 拍死编剧 -1星！            
(2星)	 真的很烂…………我就靠着男二撑了，结果他圣母了，我靠            
(1星)	 真的是很囧的剧情|||除了看sa就没其他的了...            
(5星)	 爱要大声说出来            
(3星)	 狗血啊狗血。腐啊腐。不着调啊不着调。            
(3星)	 我也希望能有一个高兴就好的人生。            
(1星)	 為了阿sa才看的，不過看了3集挺不住了。台劇|||            
(2星)	 看不下            
(3星)	 啊哈 拯救了我一个失意的夜晚            
(2星)	 额。。小美最近伙食太好吗，浮肿得怎么厉害。。。            
(3星)	 四角恋+异母姐妹+千里寻亲+贫穷大明星+叛逆大少爷+若干误会+明恋+暗恋=呼叫大明星。            
(3星)	 阿sa、小美，让我们忽略剧情，只看颜就好！            
(NA)	 一般般。。            
(3星)	 2010            
(2星)	 弃剧            
(1星)	 陪老婆吧吧                                      
(NA)	 即使看在小美的面上...我也再也不能忍受阿仨啦！            
(1星)	 弱智到极点，我居然还看了7集= =            
(3星)	 很假仙的偶像剧……            
(NA)	 阿呸 这样的剧不是为了阿Sa我才不会憋着把她看完            
(3星)	 为什么阿SA会演这部片子阿~狗血的来~            
(3星)	 看來看去看阿力帥哥還不錯            
(2星)	 俗            
(1星)	 讨厌离婚女人还要扮嫩！！装什么纯纯小女生啊，没别的戏路了吗            
(3星)	 完全冲着SA姐去看，完全冲着SA姐给的评分~~~SA姐，咱要不还是去演电影吧，香港电影~~~台剧什么的或者大陆电影，一概都免了吧~~~            
(4星)	 纯粹为了看A Sa            
(2星)	 太…… 看不下去了            
(5星)	 其实很一般啦...            
(1星)	 算我疯了，竟然点开你 =  = 那小甜甜，把老子耳朵都要给叫聋。弃之！            
(2星)	 就一部迷妹附身的台剧，弃！            
(2星)	 ╮(╯▽╰)╭，我不得不說是小美讓我撐著的。其實阿力好看。            
(2星)	 阿sa的发型 这么梳~~~那个脸型就就就咋这么大呐！弃之！            
(NA)	 木看下去            
(3星)	 又一本没看完的。估计应该是happy ending ~            
(2星)	 sa sa            
(2星)	 放弃了，烂到不行的剧情~            
(3星)	 好无聊            
(3星)	 没有传闻的一集弃这么严重 偶像剧嘛 不都这个样子啊            
(NA)	 有阿sa也还是衰            
(NA)	 阿sa和小美的组合是我看剧的初衷。但是这个剧情其实可以更搞笑更甜蜜的，结果呢，反倒觉得男二更讨喜！另外，其实喜欢这对组合的JMS不必每集都追，直接看大结局就好，有爱的镜头大杂炒。关于那张彩票，有必要说一句：以后打扫任何地方都要仔细仔细再仔细！三亿啊~居然就躲在楼梯的夹缝里！！！            
(2星)	 没有预想的那么好 不追了 或者以后无聊的时候再说吧            
(5星)	 真的很感人喏……我都是看一回哭一回呢！            
(3星)	 我只关心三亿元的彩票。故事的出发点很特别，能吸引人，但也容易让人忽略掉男女主人公的故事主线。所以我只看了两集，因为太想知道彩票的事情了....            
(2星)	 阿sa讲话太慢了            
(NA)	 看过一集 就知道大概套路了            
(3星)	 跳着看的            
(3星)	 额 看过的 有阿sa。。很傻很天真            
(2星)	 去掉豪门、灰姑娘认爹等万金戏码,看点就在明星风光的背面困窘和阿sa的可爱真挚。我边快进边看完,感叹终于戒掉电视剧了。            
(4星)	 虽然有些剧情不太实际，但贯穿整条线的感情线还是有点看头的，阿力的伟大让人佩服，有时看看老片还是挺放松的...            
(3星)	 剧情还能再弱智一点吗！还能再凑巧一点吗！每次到了关键时刻说话还能再慢吞吞又说不清楚一点吗！真是让人捉急啊！冲着阿sa加了一颗星，不过依然是无以复加的烂片。看到17集了，每次都喜欢男二号啊尼玛！ ps 有两首插曲蛮好听的，准备下来听听            
(3星)	 阿sa在里面很普通啊~~~~特别是发型            
(NA)	 这部剧 是为了毁掉啊sa吗 贺军翔为何那么丑！！！！！！            
(1星)	 垃圾            
(3星)	 剧情无语了。。。只为看人～～            
(2星)	 阿sa的港普~~哈哈            
(1星)	 看不下去- -好像只追了三集            
(2星)	 看不下去~            
(3星)	 阿sa怎么那么僵硬，整部剧就是不知所云，拍摄太粗糙了点(^O^)            
(2星)	None
(2星)	 看不下去了，没看完，不知道怎么评价。            
(3星)	 蔡卓妍和贺军翔很不搭的，蔡卓妍的国语呀。。            
(3星)	 好像从第一集直接跳到了最后一集 然后结局我还不记得了= =            
(3星)	 阿sa的剧啊 要支持.而且看完之后对贺军翔改观很多呢.不过有和内地合拍的就是会被盗版啊..里头贺军翔的妹妹就是后面的新还珠的小燕子...            
(2星)	None
(NA)	 一集弃            
(3星)	 终于把这部连续剧看完了。。。本来是冲着小美去看的。。。看法看法觉得。。。这部片子里貌似陈至恺更赞一些。。。O(∩_∩)O哈哈~反正都是帅哥啦~~~剧情不是很好看，相当的纠结- -            
(2星)	 要命的...我都快進地看...不然真的要死了            
(2星)	 啊sa的声音、、、、            
(3星)	 很幼稚。。。不过男人果然不可靠啊            
(NA)	 没甚激情            
(2星)	 阿Sa你是经济危机了吗，为什么要接这种无聊的剧!QAQ            
(2星)	 不知所云            
(3星)	 沒有阿SA的話就超無聊了！            
(2星)	 情节发展很雷人。一点都不合乎情理。大家骗来骗去。第一集看的还蛮欢乐的。之后就越看越气人。。。            
(3星)	 真俗……            
(2星)	 因为很有表演实力的阿Sa才坚持看完这部剧情很狗血的烂片。            
(3星)	 坑爹的电视剧  我曾经多么看好你可以有演技  3颗星只因为我无条件喜欢你            
(3星)	 男女主角都很美            
(3星)	 演员我都还蛮喜欢的，女二太傻了！！！那么难看的！！！            
(2星)	 268 268 听到请回答~~就对这个还保持着好印象了~~剩下的烂剧一部！            
(2星)	 为了看阿Sa            
(2星)	 很一般……没看完都……            
(2星)	   那啥，我想說，很瞎很白爛，雖然男女主角演員我都蠻喜歡的，但也沒有能讓我把片子看完            
(NA)	 噗~            
(2星)	 一见钟情在偶像剧里怎么就那么脑残。第一集弃。陈志恺蛮帅。            
(3星)	 贺小美，你真的变残了，我实在看不下去了，真有翻出《恶魔》再看一遍的冲动啊！！！            
(2星)	 点阅之。            
(2星)	 那个灰尘难看死了            
(2星)	 一般般...            
(1星)	 我承认我的习惯不好！！一定要看完一部~就算是雷片！！差点没把我雷哭了……不知道阿Sa为什么要接这种……更让我觉得贺军翔那个龌龊样儿~那个武林外传神马的就是来A钱的~还有最后那个烂故事把整个剧情说了一遍，我汗死，直接看最后就好了啊~太言简意赅 清晰明了了~            
(3星)	 主要是想看阿sa，所以坚持看完的。。            
(1星)	 要不是有小蔡~~            
(1星)	 阿力～～            
(3星)	 演员都很值得期待，只是剧情让人挺失望的            
(3星)	 阿Sa的偶像剧啊？？？！！！            
(NA)	 为了男女演员而看，剧情实在是差劲            
(NA)	 不喜欢德馨这个角色。。。。            
(3星)	 本来对阿Sa就没啥感觉，出现在台剧里感觉怪怪的。对小美越来越无感了~倒是陈至恺不错哦~ 过去在《真命天女》&amp;《转角遇到爱》里面印象就不错哦！            
(3星)	 只看了Westin的部分...想家了...            
(2星)	 看了2集 看不下去了            
(3星)	 一部男主女主男配的颜都让我心水却仍然看不下去的神奇的剧            
(2星)	 这个、真难看！            
(3星)	 我承认我看的就是帅哥美            
(3星)	 为了阿sa看完了。好青春也好清纯，不过这演员什么的和蹩脚的煲冬瓜之类的。。。咳咳。。            
(2星)	 说实话。看之前期待太大了。结果咬紧牙关看了12集。看不下去。两主角的造型都不是一般的丑化啊。剧情也，NC了。            
(3星)	 小美和阿SA好怪啊。。。            
(NA)	 贺军翔            
(2星)	 为了阿sa我看了，但是很抱歉，剧情无力的让我看不下去~~            
(3星)	 听阿sa的国语就像听小美的英语。整难过啊！套路相当的偶像，结局太过迅速，太美好了！@Home            
(2星)	 前几集嗷的我头疼，真无聊            
(2星)	 我居然看完了...            
(4星)	 好吧 我完全是花痴小美~~            
(3星)	 很喜欢阿力。。。            
(NA)	 结局永远是最2的            
(5星)	 一切因sa而美！            
(3星)	 小美不清纯咯，不过还是一样的痞。            
(3星)	 陈至恺好帅~ 钟威力好帅~            
(3星)	 没什么好说的            
(2星)	 观众表示，Sa姐别再演偶残剧了！            
(3星)	 好狗血啊…两天我还一集集看完了…= =|||            
(5星)	 支持SASA!看到她的脸就高兴了！还好声音也是她自己的，才能让我看下去！            
(3星)	 欧，这个蛮挫的……半夜里不知道为嘛在看叶子频道放来着……            
(3星)	 我是来看人的            
(3星)	 直接看最后一集。男女主角把剧情全部讲完一遍。。o啦。。看最后一集够了            
(3星)	 阿力真的帅，比贺军翔帅多了。。。。阿sa傻傻的。            
(5星)	 贺军翔好帅，阿sa是我的偶像            
(3星)	 哎。。。。我完全是看贺军翔和蔡卓妍去的。。。            
(3星)	 其实我觉得吧。只要看最后一集就可以了。完全冲着男一男二去看的。阿SA的国语实在让人无奈。            
(3星)	 瞎~~~~~加一颗星给男二            
(3星)	 其实还不错了，但是我还是跳着看的，国语实在听不下……            
(2星)	 小美你现在专门负责拍烂剧么            
(3星)	 小美虽然很帅 可是阿SA演的也太做作了吧 再加上生硬的普通话 一度放弃..            
(2星)	 两分给男二的颜。不解释。            
(1星)	 唯一的一星给阿sa            
(3星)	 三亿三亿啊。。。            
(3星)	 SA啊 台湾偶像剧不适合你拉·            
(2星)	 看不下去了            
(2星)	 超爛的劇情，三億三億三億，最差是那個父親角色，又是另一個錢錢錢，還有那句如芝如蘭，夠了嗎？看不下去了。唯一的看點居然是mina二人組和阿力，死未？            
(NA)	 我知道我疯了。            
(2星)	 除了阿SA，别的都没看头            
(5星)	 小美一直都这么帅，每周日都期待，真是等不急了啦。            
(2星)	 连狂拉快进都无法看下去。            
(3星)	 越来越不想看~~~但很喜欢阿Sa和男二号，不太喜欢贺军翔在这部戏里的角色···            
(3星)	 剧情一贯的老套,平凡人和大明星的爱情;想说的是剧中演员们的衣服真的好难看.            
(1星)	 歪瓜裂枣啊            
(3星)	 弃~贺军翔你再不转型就完了..            
(3星)	 很一般，不太喜欢蔡卓妍，现在觉得小美也没有什么演技。看来我老了，不适合看了            
(5星)	 very  good!!            
(5星)	 很喜欢这部偶像剧，每周都很期待，支持小美！            
(2星)	 狗血的剧情！主要为了挺sa~~给两星            
(3星)	 完全想看看阿sa在台湾剧里啥样            
(3星)	 完全冲着阿sa！她还是适合香港电影。            
(NA)	 a sa 我就冲着你去的，不过你还是不适合演台湾电视剧            
(5星)	 脑残剧就脑残剧吧，连个四十五度仰望天空带点文艺感的名字都木有！！！呼你妹叫啊你以为是芒果台的娱乐节目么！！！哎，在蔡卓妍的作品上永远是盲目的，不过蔡小姐以后还是少演点这样自降身价的鬼东西吧。            
(5星)	 说实话，有点失望的            
(2星)	 故事非常的老土，人物情节很夸张，A SA没用配音感觉整个人蠢蠢的。周彩诗实在好难看，即是花了那么浓烈的妆都遮盖不了她的丑！小美是里头最正常的一个，可惜被整个乱七八糟的故事给毁了！            
(4星)	 偶像剧的通病，美好的开头，拖沓的剧情，平平的结尾。不过里面的演员给人的感觉很好，很舒服！            
(4星)	 阿sa和小美都好可爱啊~阿力也可爱~！其实我觉得还是挺好看的，特指看阿sa和小美！剧情嘛，在台湾的偶像剧的耶属于中上啦~~            
(3星)	 一样没新意            
(4星)	 为SA 4个星            
(3星)	 我是因为蔡卓妍才看这部我实在看不下去的偶像剧             
(3星)	 哈哈，司机每天都在干什么呀...只追星，不开车            
(5星)	 阿力阿力~~            
(1星)	 原谅我根本无法看下去，，，            
(1星)	 够了.....  为了sa....   我坚持            
(2星)	 总算是拖着看完了，我竟然看完了！难得的台湾小言会有两个主角比配角还贱。            
(3星)	 爲了老蔡辛苦的看完了...            
(4星)	 喜欢a sa 才看的。。。            
(3星)	 为了阿sa            
(3星)	 对不起，阿sa，我没看完。            
(3星)	 没看完。。            
(NA)	 剧情虽然有点灰姑娘童话色彩，但是阿sa扮演的德馨真的好可爱，有些地方还是蛮感人的，我会被感动，.................................            
(2星)	 阿SA的中文啊，听得很别扭。弃。            
(3星)	 一集，老套，没意思            
(2星)	 无聊            
(3星)	 怎么说呢~觉得剧情编排的很一般~不是特别的吸引人~            
(4星)	 林合隆加柴智屏的阵容我很喜欢            
(1星)	 真是够烂，怎么能拍成这样，哪哪都看不顺眼。            
(NA)	 小美好迷人啊至恺好帅啊 这剧也就看帅哥了 很别扭阿sa的口音 有几个情节浪漫 比如仰卧起和结局~            
(2星)	 男女主角都很喜欢，包括男二，只是剧情实在太烂了，太偶像剧了，所以快进的速度看了两集就极限了            
(3星)	 只爲阿sa·            
(3星)	 带腐。。陈至恺长发不错。。适合古装。。虽然喜欢啊Sa。。3集弃            
(2星)	 腐剧啊            
(3星)	 有阿sa在，多雷也追~            
(NA)	 有阿Sa在,所以我决定不打分. 顶到第三集,顶不住了...            
(3星)	 随便看看            
(3星)	 唉 贺军翔最近的都不是很好看唉            
(2星)	 阿力还是蛮可爱的            
(NA)	 男2演技也很做作~            
(3星)	 弃之~            
(3星)	 剧情太狗血了= =            
(3星)	 喜欢陈志恺            
(3星)	 要不是a sa= = ~雖然賀軍翔也小帥~            
(2星)	 看了第一集就看不下去了            
(2星)	 不咋滴            
(2星)	 就是跳着看的……对小美同学实在没感觉……            
(3星)	 好久没有看过台剧了，刚看完一套时，我都会变一点点台湾腔，比较有印象的是《恶魔在身边》，要说最喜欢的，应该是《爱情合约》，喜欢那首中间。巧合的是这两套里面都有小美，不过我好像都更喜欢女主演。而且，小美的样子已经变了。一个高兴就好的人生，我看完了却不高兴。            
(3星)	 没追完            
(3星)	 纯粹为了看阿Sa，顺便看看小美。结果，勉强看完了╮(╯▽╰)╭            
(3星)	 其实只要看最后一集就可以了，最后一集绝对可以的            
(1星)	 如果没有sa姐...            
(3星)	 追不下去了            
(2星)	 雷人的剧情~二星只给小美~女二演的太假了            
(2星)	 现在的偶像剧啊！            
(3星)	 老蔡我对不起你..ww剧果然不对味            
(2星)	 烂！            
(2星)	 无聊了...            
(2星)	 看了8集，很多次想打开继续看，不过还是没有那个勇气。。所以我放弃了。。此乃鸡肋！真实服了阿Sa了，也委屈了小美了！            
(1星)	 差得都不好意思说了            
(NA)	 因为阿sa和男二再狗血也要看下去。。。。            
(2星)	 要不是因為SA姐那張臉我真撐不下去了，能撐到第七集我已經到極限了...棄了            
(3星)	 三颗星全给小美 其它的狗血剧情啊阿sa啊之类的就算了吧。。            
(1星)	 以后再接这种烂片 你就可以被PIA飞了。             
(4星)	 结局完美但是太仓促,还想看很多268和大明星的故事.            
(3星)	 柏野对陈德馨的感情来的有点奇怪。。。            
(NA)	 蔡小SA 真的不适合演偶像剧 感觉她跟台湾的演员表演方式完全不一样 容不进去 不过贺小美真的长了一张好漂亮的脸            
(4星)	 sa！虽然难看但是我还是支持你！            
(3星)	 阿sa難得拍偶像劇~當然推薦下            
(2星)	 阿sa怎么会接这部戏            
(3星)	 看一半 最终还是没兴趣了            
(2星)	 2 星期一            
(2星)	 王耀庆，对不起，为了你我也还是坚持不完这剧。。。            
(2星)	 剧情无聊至极，阿sa蹩脚的普通话和港味的表现在台湾偶像剧中显然水土不服，贺军翔表现一般，仍然摆脱不了偶像的影子。男二的嘴就像马诺的嘴，你就不能捋平了好好说话！决定不追了            
(3星)	 阿SA的国语怎么听怎么别扭。            
(2星)	 垃圾。。2星给小美            
(3星)	 为了她，但实在无聊啊= =            
(3星)	 看过几集，无吸引，除了阿sa            
(2星)	 不好看            
(3星)	 小美诶~许久不见            
(2星)	 两粒星给啊sa~            
(2星)	 这个组合我喜欢            
