http://movie.douban.com/subject/2155265/	白眉大侠
(4星)	 那篇头的口令现在还记得！            
(3星)	 #刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！            
(NA)	 小时候印象可深了，天天都念叨那几句傻逼歌词。            
(NA)	 刀是什么样的刀？青丝大环刀！剑是什么样的剑？闭月羞光剑！我操！我还记得片头曲！            
(4星)	 我擦，童年的记忆。我还记得那首主题曲刀是什么样的刀，金丝大环刀。 　　剑是什么样的剑，碧月羞光剑。 　　招是什么样的招，天地阴阳招。 　　人是什么样的人，飞檐走壁的人。 　　情是什么样的情，美女爱英雄！！            
(NA)	 飞檐走壁的人            
(4星)	 童年记忆            
(5星)	 ！！！！！！！！！！！！            
(NA)	 剧情忘记，但主题曲都记得。            
(NA)	 老迷林正英了~            
(NA)	 国产武侠。山东出品。“刀是什么样的刀？”大俗大雅主题歌，不是太能欣赏。            
(4星)	 我因为白眉大侠被老师罚过站！nnd            
(4星)	 当年停电没看到大结局，现在也不知道结局是怎样的，真遗憾。            
(NA)	 只记得主题歌~~~            
(5星)	 好早了，现在都记不清楚了，当时真的挺迷的。            
(2星)	 我和***的共同怪口味            
(4星)	 “刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！ ”            
(5星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！             
(3星)	 刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人            
(4星)	 情是什么样的情，美女爱英雄            
(5星)	 房書安是誰演的來著？            
(5星)	 单田芳先生的评书也是我童年重要回忆！电视剧里的白云瑞其实没我听评书时候想象的那么帅~~~可是也超经典的！            
(4星)	 很小的时候看的，现在只隐约记得几个名字了。            
(5星)	 小学的时候睡着以后又被爸妈看这部电视的声音吵醒            
(4星)	 总之应该算是男人的电视剧吧。。。那时候估计没看懂。。。            
(4星)	 “达达米尔九公主”            
(NA)	 其實一個情節都不記得,只是記得小時候看過一部戲,男主角浪跡天涯,男主角叫白毛大俠.            
(5星)	 刀是什么样的刀，金丝大环刀。            
(4星)	 刀是什么样的刀，剑是什么样的剑，人是什么样的人，情是什么样的情~            
(4星)	 哥第一次去录像厅看的！！            
(NA)	 刀是什么样的刀，金丝大环刀；剑是什么样的，闭月羞光剑；人是什么样的人，美女爱英雄，哈哈哈哈……印象深刻啊~            
(4星)	 那时候尽想着把头发也染白来着。            
(NA)	 情是什么样的情！            
(NA)	    真过瘾 ！            
(NA)	 为毛我的记忆中尹建平和白眉大侠是一个人~~~~            
(3星)	 这个记得真清楚            
(5星)	 童年最喜欢的3部剧之一。            
(3星)	 大概是两到三岁时看的，只记得主角眉毛是白的＝ ＝            
(4星)	 好久远的记忆，还是1995年……             
(5星)	 疯了！真的有这个条目。。。啊 我童年时代的白云瑞啊！            
(5星)	 特别喜欢，刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！            
(4星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！招事什么样的招？天地阴阳招！人是什么样人？飞檐走壁的人！情是什么样的情？美女爱英雄~~~~            
(4星)	 刀是什么样的刀？金丝大环刀！ 　　剑是什么样的剑？闭月羞光剑！ 　　人是什么样的人？飞檐走壁的人！ 　　情是什么样的情？美女爱英雄！ 　　哈哈哈哈哈~~~~~~            
(NA)	 我倒是想看看我有印象最早的电视剧是哪部= =            
(NA)	 刀是什么样的刀？起码有50%的80后看过吧。。。            
(4星)	 刀是什么样的刀，金丝大环刀……            
(4星)	 刀是什么样的刀            
(NA)	 我艹，这都有！            
(4星)	 小时候的经典，还是大陆拍的            
(3星)	 一度成为小学班上的第二天话题            
(4星)	 等世事化云烟，待沧海变桑田，再酬却这段情缘......小时候的记忆总是很深刻，连小时候的电视剧都比现在的有嚼头有人情味当时觉得小英小倩姑娘真有气质，后来她就演了《英雄无悔》红了            
(4星)	 房书安！！！            
(4星)	 牛逼啊，大侠啊，当年我因为白云瑞的死，还哭了呢囧            
(3星)	 那主题曲~~！！！！！            
(4星)	 只记得那个搞笑的房书安最后好像死的很惨！            
(4星)	 妈的我也抹过白眉毛            
(4星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！............................             
(3星)	 俺山东产。            
(NA)	 小时记忆            
(5星)	 所谓侠者。。。            
(NA)	 第一部。            
(4星)	 刀是什么样的刀？金丝大环刀！ 　　剑是什么样的剑？闭月羞光剑！ 　　人是什么样的人？飞檐走壁的人！ 　　情是什么样的情？美女爱英雄！            
(3星)	
(3星)	 小时候真是爱看这个啊            
(5星)	 好销魂。            
(1星)	 当时那么小，我都觉得这片子够烂            
(NA)	 刀是什么样的刀~~~            
(3星)	 现在想来，真的很囧=.=|||            
(4星)	 电视机坏了，天天去别人家看。            
(4星)	 白眉大侠姓徐哦            
(5星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄~~~~~~~~~~              
(3星)	 原来我看过，可是忘了            
(5星)	 刀是什么样的刀？剑是什么样的剑？人是什么样的人？情是什么样的情？美女爱英雄！            
(3星)	 该片可以不看，主题曲不可不听            
(NA)	 　　刀是什么样的刀？金丝大环刀！ 　　剑是什么样的剑？闭月羞光剑！ 　　人是什么样的人？飞檐走壁的人！ 　　情是什么样的情？美女爱英雄！ 　　哈哈哈哈哈~~~~~~            
(NA)	 幼年的电视剧了。。。            
(3星)	 是记得这个白眉毛的.            
(3星)	 模糊的记忆了            
(3星)	 我印象更深的是片头曲。。            
(3星)	 女：情~是什么样的情？男：美女！爱英雄~~~~            
(NA)	 怀念阿            
(3星)	 曾经很迷的···            
(4星)	 白眉是不是挺像卡恩的。            
(4星)	 别TM说 小时候看得多起劲的            
(3星)	 小时候觉得不可思议的白眉毛            
(4星)	 我还记得那个有趣的片头曲：刀是什么样的刀，金丝大环刀；剑是什么样的剑？闭月羞光剑。。。人是什么样的人？美女爱英雄。哈哈哈哈哈哈哈~~            
(4星)	 刀是什么样的刀，金丝大环刀……前几天看到湖南台放，觉得效果还过好的，就是白眉大侠丑了点……            
(3星)	 神啊………………            
(NA)	 就记得“美女配英雄”            
(3星)	 哈哈哈``今天居然在芒果台看到了，我狂倒了要            
(NA)	 童年的爱啊~            
(3星)	 我一直记得这电视剧的名字，但是剧情真是想不起来的。            
(4星)	 豆瓣无奇不有            
(NA)	 我看着个看的神魂颠倒~~            
(4星)	 刀是什么样的刀～金丝大环刀～～剑是什么样的剑～闭月羞光剑～～            
(NA)	 也是小时候看了N多遍的破电视            
(5星)	 我们那是怎样好的童年啊……            
(3星)	 原来真有这么一剧啊~我还以为是幻觉~            
(3星)	 忘了...但一定是个低能的东西            
(NA)	 天啊，居然还有人记得这个...            
(3星)	 刀是什么样的刀，金丝大环刀            
(4星)	 给回忆+1            
(4星)	 当年各种颜色的爆炸烟雾。            
(4星)	 还有人记得这个吗？感觉比张纪中那套牛逼多了            
(4星)	 ！！            
(4星)	 小时候看的哈哈            
(5星)	 金丝大环刀！过年的时候放的，那时候到亲戚家里第一件事就是打开电视看白眉大侠            
(3星)	 刀是神马样的刀            
(4星)	 很傻啊            
(5星)	 当年最喜欢白云瑞了！！！            
(4星)	 竟然是单田芳编剧啊    好神奇   刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！             
(4星)	 80末出生的人是这样成长的～            
(NA)	 小时候的偶像~正义的大侠！            
(4星)	 编剧赫然出现单田芳。。。            
(3星)	 我小时候看这个大多只为白云瑞。。。。。。            
(4星)	 当时可是万人空巷。            
(3星)	 小时候觉得刑岷山长的真帅啊            
(4星)	 超好看的！！            
(3星)	 我好像看过，不记得了~            
(3星)	 那首歌永远忘不了，这么朗朗上口            
(4星)	 为童年，打四星            
(3星)	 “刀是什么样的刀。。。 剑是什么样的剑。。。” 是不是这个             
(NA)	 我就记得片头了            
(5星)	 曾经全班男生拿白粉笔擦眉扮演，被班主任发现，一顿暴打……            
(3星)	 。。。我小时候迷得不行。。。            
(3星)	 到现在都没明白，白云瑞到底爱不爱双胞胎的姐姐            
(4星)	 记得小时候山东卫视最喜欢放这部了，那时和我妈经常一起看这个，有次我还偷偷地用粉笔把自己眉毛描白了            
(5星)	 小时候追着看的。。。都记不得具体情节了，只知道白眉大侠武功很厉害，使刀。。            
(3星)	 金丝大环刀！闭月羞光剑！            
(5星)	 绝对的回忆。人是什么样的人？美女爱英雄，哈哈哈。            
(NA)	 用录影带看的 每年只能看一次            
(4星)	 小时候看的，具体讲啥都忘了，但是还是记得这个片名~~            
(4星)	 小时候天天在那说几句台词，刀是什么样的刀，剑是什么样的剑，人是什么样的人            
(3星)	 尼玛！我记得我看这个最入迷的时候有用雪花膏涂在眉毛上Cosplay！            
(2星)	 小学的时候就特讨厌这个电视剧，感觉里面的演员的表演跟剧情巨弱...            
(4星)	 小时候看得入迷，曾想过要把眉毛漂白            
(4星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！             
(3星)	 刀是什么样的刀            
(5星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！            
(3星)	 怀旧只是一种情感，真的去看会发现很幼稚            
(5星)	 难以想象我四岁就看了！！！！！！            
(NA)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！            
(3星)	 小时看的，剧情都记不清了，就是看着这些长大的            
(3星)	 哈哈哈哈哈哈哈 为什么我突然想起这部电视剧            
(3星)	 每个人都争做白眉            
(4星)	 内容已然不记得，那主题曲却至今会背：刀是什么样的刀，金丝大环刀，剑是什么样的剑，闭月羞光剑，人是什么样的人，飞檐走壁的人，情是什么样的情，美女爱英雄，哈哈哈哈            
(3星)	 太值得回忆了。            
(4星)	 哈哈哈，英雄爱美人！            
(3星)	 我在和舅舅玩拍手游戏的时候，还唱着：刀是什么样的刀，金丝大环刀！ 剑是什么样的剑，闭月羞光剑！             
(5星)	 很多很多年前，我们曾经也是可以拍经典的武侠片的！            
(5星)	 忘了            
(3星)	 老早以前的电视剧，拍的不错            
(4星)	 “刀是什么样的刀，金丝大环刀。 剑是什么样的剑，碧月羞光剑。 招是什么样的招，天地阴阳招。 人是什么样的人，飞檐走壁的人。 情是什么样的情，美女爱英雄！！！” 尼玛，太怀旧了好吗，都快哭了好吗！！            
(3星)	 记忆力最厉害的大侠            
(NA)	 OH~ 白眉大侠！            
(3星)	 道是什么样得到            
(4星)	 童年的记忆            
(4星)	 初中的时候看的  电视剧还是有它的局限性 没有评书精彩            
(NA)	 当年非常爱看啊，直接暴露年龄。单田芳老师也一直说书说这部。            
(5星)	 记忆中的第一部电视剧。            
(5星)	 看这剧起码是十年前吧……            
(3星)	 这是记忆            
(NA)	 就那几句口诀记住了，故事情节忘光光了            
(3星)	 主题曲太雷人！白云瑞哪里有那么多风花雪月啊啊啊！            
(4星)	 那主题曲是不是人尽皆知啊            
(4星)	 当时很奇怪地哑怎么能钻到地下呢，唉，童稚未开啊；            
(NA)	 童年啊啊啊！！            
(NA)	 童年的回忆            
(5星)	 记忆中看过的最早的一部古装剧，有个胖子叫啥房书安的，哈哈...刀是什么样的刀，金丝大环刀...我记得曾经问过爸爸，白眉大侠和杨过谁更厉害            
(3星)	 主题曲太雷太雷了。。。            
(NA)	 倒是什么什么样的刀  金丝大环刀 认识什么样的人 飞檐走壁的人  （不晓得我有木有记错）            
(5星)	 呵呵，不多说，经典！            
(3星)	 哎呀            
(4星)	 经典            
(5星)	 刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人……我原来可喜欢念这个了            
(3星)	 好像当时很喜欢大侠他弟弟            
(5星)	 刀是什么样的刀，金丝大环刀剑是什么样的剑，闭月休霜剑人士什么样的人，飞檐走壁的人情是什么样的情，美女爱英雄呵呵            
(3星)	 哈哈哈            
(4星)	 小时候看的，历史悠久的古装武侠剧，编剧里面居然有单田芳，貌似根据评书改编的。            
(3星)	 金丝大环刀！            
(4星)	 童年的回忆。            
(3星)	 我的金丝大环刀拿去砍蚂蚁！！！            
(5星)	 武侠剧经典            
(4星)	 《白眉大俠》。。我哈哈哈~~~  ( ▽＃)            
(5星)	 小时候爱到不行的白云瑞。。。。永远的白马王子。还有让人记忆深刻的双胞胎美女            
(4星)	 演了那么多遍  就没看过第一集            
(4星)	 刀是什么样的刀，金丝大环刀。 剑是什么样的剑，碧月羞光剑。 招是什么样的招，天地阴阳招。 人是什么样的人，飞檐走壁的人。 情是什么样的情，美女爱英雄！！！            
(5星)	 还想再看            
(3星)	 就记得那把大刀            
(4星)	 陆小英是亮点，真的是貌美如花的聪慧女人！            
(5星)	 啊啊啊，我记得那时候我号称是白眉大侠呢，我妈现在还说起过！            
(NA)	 刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人            
(5星)	 当年的白英瑞可帅了！            
(NA)	 我眉毛有一块白的 小时候也去医院看过 但也没查出什么原因 但一直被我姐姐弟弟叫白眉大侠 O(∩_∩)O~            
(3星)	 情节完全忘记，只记得有个戴面具的老女人很怨妇的样子……            
(3星)	 “刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人……”只记得这首歌了            
(3星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！....            
(3星)	 刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人……            
(5星)	 小时候天天守着电视机等着看的那个年代的武侠巨制。            
(5星)	 五星给了童年的记忆，哈哈！            
(4星)	 一集没落的看过。            
(NA)	 白眉大侠。。my god。。。想当初那几句一直会背。。            
(NA)	 哈哈哈哈哈哈哈 木有眉毛的人都叫白眉大侠            
(4星)	 陆小倩，这个名字记住了！            
(NA)	 刀是什么样的刀，金丝大环刀；剑是什么样的剑，天地阴阳剑……现在找不到了，还想再看一遍呢！            
(3星)	 不记得了            
(4星)	 一切只为：刀是什么样的刀，金丝大环刀。剑是什么样的剑，碧月羞光剑。招是什么样的招，天地阴阳招。人是什么样的人，飞檐走壁的人。 情是什么样的情，美女爱英雄！！！            
(4星)	 印象很深啊，虽然情节忘了。            
(3星)	 好老的片啊。在定家业看过。忘的差不多了。            
(NA)	 除了记住白眉，就是大环刀了            
(4星)	 我还能记得名字            
(4星)	 我追溯记忆的最远处，那里不是妈妈年轻的面孔，而是白眉大侠            
(4星)	 哇靠！刀是什么样的刀，金丝大环刀！            
(NA)	 学会一个成语：我师父那是前无古人后无来者白眉大侠            
(NA)	 记得最后陆小英死掉了，那时候好伤心的。            
(NA)	 太老了，如果能按单天方的评书从新拍我觉得收视率会很好。纯武侠剧 肯定不错  我好期待            
(4星)	 白眉大侠 我印象很深            
(3星)	 那金丝大环刀呀，想忘都难。            
(NA)	 当年跟弟弟拿着自制的匕首对战，那场面，真不输拍电视剧的~            
(4星)	 牛逼的主题曲啊            
(NA)	 印象最深的是各种消魂的武打音效            
(3星)	 武打片            
(5星)	 看过的第一部电视剧！            
(5星)	 刀是什么样的刀···黄鼠狼太可爱啦            
(4星)	 传说中他有绝对精彩和浪漫的身手。刀是什么样的刀？金丝大环刀；剑是什么样的剑？闭月羞光剑；招是什么样的招？天地阴阳招；人是什么样的人？飞檐走壁的人；情是什么样的情？美女爱英雄！哈哈哈哈哈。。。。。            
(3星)	 难忘主题曲            
(5星)	 姓龙的女主角的耳环。。。印象好深            
(5星)	 小时候，白眉大侠就是世界上最牛逼的人物了，觉得他比超人上帝和佛祖都厉害            
(4星)	 很小的时候经常在家等着看甘十九妹和这个。            
(3星)	 刀是什么样的刀？金丝大环刀！            
(5星)	 经典呐，儿时记忆至爱的一部。许多场景模糊又熟悉            
(5星)	 天聋地哑            
(3星)	 3.5貌似是当时为数不多的武侠，制作粗烂，但是很爽啊，哈哈哈哈~~~            
(4星)	 朗朗上口的片头曲功不可没。            
(NA)	 是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！            
(3星)	 主题曲深入人心            
(3星)	 现在想想 也不知道小时候为什么看得那么津津有味~可能小孩都爱看热闹吧~            
(5星)	 刀，是什么样的刀？金丝大环刀！   剑，是什么样的剑？闭月羞光剑！   招，是什么样的招？天地阴阳招！   人，是什么样的人？飞檐走壁的人！   情，是什么样的情？美女爱英雄！~~（然后仰天大笑）挖哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈。。。            
(NA)	None
(3星)	 刀是什么样的刀！！那时一直认为白云瑞极帅            
(5星)	 这是我最爱啊～！！！            
(4星)	 经典的主题曲呵呵            
(5星)	 “刀是什么样的刀，金丝大环刀。剑是什么样的剑，碧月羞光剑。招是什么样的招，天地阴阳招。人是什么样的人，飞檐走壁的人。情是什么样的情，美女爱英雄”，一时无二的台词            
(3星)	 小时候看过             
(3星)	 记得那年在邢岷山身上第一次体会到啥叫时间是把杀猪刀……            
(4星)	 在我童年的时候就萌了徐良和白云瑞这一对。。。房书安居然是导演客串的。。。            
(4星)	 童年的回忆            
(5星)	 当时真是很喜欢看            
(NA)	 幼儿园时代吧~~~~~哈哈~~~~~            
(NA)	 刀是什么样的刀，金丝大环刀，剑是什么样的剑，闭月羞花剑……五六年级？            
(4星)	 刀是什么样的刀~~房树安~~            
(4星)	 我有记忆起第一部电视剧，当时才四五岁呢，对主题曲一直念念不忘，很久以后都能随口背出几句，还记得当时整个供销社大院家家户户都在追看这一部电视剧，家里没有稳压器，电压不稳的时候爸爸就带着我们去王伯伯家看，无忧无虑的童年仿佛就在昨天。            
(4星)	 小时候的回忆            
(3星)	 貌似里面有一个女子叫蝴蝶，生得很美            
(4星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！ 曾经为看你跟哥哥打架抢电视，最后跑邻居家看，我是有多迷恋你啊！！！            
(4星)	 我什么都不记得了，就记得这响当当的“白眉大侠”四字%&gt;_&lt;%！            
(4星)	 刀，是什么刀，金丝大环刀；剑，是什么剑，闭月羞花剑。            
(5星)	 从小就觉得白云瑞好帅 哈哈~~            
(4星)	 丫的除了他徒弟和主题曲和女猪之外（还有她蹩脚的点穴）啥也记不住了            
(4星)	 回头看，很幻灭啊。            
(3星)	 和甘十九妹差不多一起看的吧 当时就想 这白眉大侠怎么那么丑~~~            
(NA)	 哈哈哈哈 以前男主角那么丑还看得下去            
(4星)	 二十的记忆            
(4星)	 剧情其实已经忘记的差不多了，但是始终记得帅气的白衣男二号，但是吧，他竟然是《策马啸西风》里的傅红雪，杀了我吧。            
(4星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！  最喜欢的还是小片刀房书安            
(3星)	 以前多喜欢啊，唉            
(4星)	 我靠····虽然是大陆的一点不逊色小侠龙旋风啊            
(NA)	 当年就是觉得白云瑞帅得惊天动地，最后还没那啥个姑娘好。。。别的没了            
(5星)	 刀是什么样的刀            
(4星)	 我是85后的，这部片子有点模糊印象，但是具体是一点儿也不记得了。            
(4星)	 孤            
(4星)	 看过，不过是小时候，忘光了都！            
(3星)	 和甘十九妹是同时看的……            
(NA)	 笑翻。            
(5星)	 小时候超级迷的 。。            
(NA)	 刀是什么样的刀            
(4星)	 1997年            
(4星)	 为了这货我连沈阳都不去了。            
(3星)	 情節完全忘記            
(3星)	 貌似是我看过的第一部电视剧。而且经常是在床上趴着看。以前我真腐败啊。但是已经记不清了，印象中只有一个人长了白眉毛。。。            
