http://movie.douban.com/subject/2142656/	又见一帘幽梦
(2星)	 想当年到底是怎么看完的啊……            
(NA)	 保剑锋和我姐夫真TM像            
(NA)	 天哪  费云帆的情话啊  大叔啊              
(2星)	 我得有多无聊啊，看这个片子。            
(2星)	 为了方中信那张脸，我加一星、            
(3星)	 纯爱大片            
(2星)	 雷            
(3星)	 秦岚是嗲呀            
(1星)	 紫菱竟然可以這麽笨 費云帆竟然可以這麽矮            
(2星)	 紫菱 你又走边边了。。            
(4星)	 好羡慕。。。明知道是假的又希望是真的。。。            
(2星)	 雷。。。            
(3星)	 跟老版相比，一个字：差            
(4星)	 那时候和八妹超爱方中信            
(1星)	 我深刻的记得每晚看完这句去百度贴吧看他们骂紫菱，然后我对着电脑狂笑到凌晨4点~            
(NA)	 跟风看。            
(3星)	 女主角太可爱啦！            
(3星)	 大爱方中信！！！！！！            
(2星)	 喜欢方中信 其他的就懒得说了            
(3星)	 女主杯具的演技            
(5星)	 方中信要不要这么帅的呀            
(4星)	 推荐巴黎 推荐普罗旺斯 推荐法国            
(3星)	 跟着老妈瞅了两眼。很湖南台的电视剧。            
(4星)	 普罗旺斯，很爱云帆,喜欢方中信！！摩天轮！！            
(NA)	 我妈妈~~~            
(3星)	 没事去翻拍干什么。。吃饱了。。            
(4星)	 台词真的很狗血没错 可是 费云帆 还真的是我迷的一类啊 &gt; &lt; 过去了过去了 抛开那很妖孽的桥段和剧情 这四星我投给过去的自己            
(2星)	 方中信还是不错滴.            
(NA)	 高考后的暑假            
(5星)	 现在很少追的电视剧之一            
(4星)	 谁能解我情衷            
(1星)	 我真是疯了在家里每天下午追看这个把人往死里恶心的片子。。。            
(4星)	 无论如何，我都不会是&#34;紫菱&#34;，不会是......            
(4星)	 瓊阿姨最好的一部劇！！！            
(2星)	 话说这部连续剧很惨，我们在宿舍边鄙视边看，最爽的是还会演，哈哈，我是帆            
(3星)	 台词弄得我鸡皮疙瘩掉满地。            
(3星)	 还是喜欢费云帆，还是喜欢老版的            
(3星)	 个人不喜            
(NA)	 喜欢在法国的情景，为啥，因为衣服和景色漂亮呗            
(4星)	 秦嵐的演技真的不錯            
(3星)	 某人眼里的百合片。            
(5星)	 每个男人都应该看一下            
(5星)	 景色不错             
(4星)	 琼瑶小说里最喜欢的一部。。于是。。也看了看电视剧。。            
(4星)	 其实翻拍的还可以了            
(3星)	 11年前看《一帘幽梦》，最让小女生们动心且至今念念不忘的，就是紫菱丑小鸭变天鹅的美妙经历，这是几乎每个女孩子都会有的梦想啊，当然这梦里需要有一个温柔的男人，费云帆那样的，足够成熟，足够浪漫，足够有财力，可以毫不费力且心甘情愿地提供所有实现你梦想的奢侈条件。            
(1星)	 我姐一看我就斜她一眼 可是最后我也跟着他看完了 完全只是抵御不了方中信            
(4星)	 四星都给方中信，每次看到忘年恋的小说总觉得男主角应该是方中信在这部戏里的样子。为了他特意跑去看原著，个人认为演的比费云帆还要费云帆，但为什么不换一个配音演员呢？            
(2星)	 衣不如新，戏不如故。            
(2星)	 一星给秦岚 一星给方中信 其他不行！            
(3星)	 只能说，普罗旺斯真美。            
(3星)	 要把一部十几年前的电视剧再次搬上荧屏，我知道这是有一定难度的。要从台北市跨越到上海市，我知道这也是有一定难度的。要从赤果果的婚外情变成二十年前就相识的轰轰烈烈的爱情并衍生出了爱情结晶，我知道这更是有难度的。我想我看了一部非常有难度的电视剧。我为我自己的毅力感到骄傲和自豪。            
(3星)	 三星全部给秦岚。            
(1星)	 据说这片子最后是一连十几个我爱你，我不知道要有多脑残的人才会看这种片子            
(4星)	 好喜欢里面的方中信……后面太罗嗦了。如果只看方中信的部分我一定给五星啊！！！            
(2星)	 假            
(2星)	 一度还喜欢上保剑锋，我是哪根筋撘错了吗            
(NA)	 我以前很喜欢方中信的。。- -            
(3星)	 台词很肉麻~~~            
(4星)	 最近总是在看loli和大叔的电影 我总是这个癖好            
(5星)	 风景电视剧            
(4星)	 喜欢方中信的男人味！            
(3星)	 砸重金啊，所以那个古堡真的很古堡。            
(2星)	 这尼玛以前看过多少破剧啊。。揉脸            
(5星)	 O(∩_∩)O哈哈~其实我还觉得不错呐            
(3星)	 昨天失眠 快进着看完最后5集    情节设计还算不太俗套   演员做作的可以......    越是忙碌期越是想看些无聊电视剧  神马毛病......            
(3星)	 挺好的呀又是给弱智少年回忆往昔看的哈哈            
(3星)	 配台词笑死了            
(NA)	 史上最丑紫菱， 说她是花瓶都是抬举她！囧            
(2星)	 烂片            
(2星)	 方中信撑起半边天            
(4星)	 老实说，我就是为了里面的城堡和风景才看……遮脸            
(3星)	 不知道为什么好多人骂张嘉倪？至少从这里看来，她是一个美丽的女孩子呢。            
(3星)	 哎呦，里面的演员就没一个喜欢的。。。不过还是看了，女人啊，不管多大年纪，或许都需要这样的爱情故事满足自己。            
(3星)	 吻戏真多QAQ            
(NA)	 有时候会很想把芒果频道弄不见            
(NA)	 我理解的浪漫和這些勞什子一點關係都沒有。            
(3星)	 我第一次讨厌保剑锋的时候，想踹飞他。            
(3星)	 和花花一起度过的夏天~            
(3星)	 除了法国风景，别无。            
(3星)	 懂得知足就是人生最大的财富～            
(3星)	 好吧，衣服很好看，方中信很帅，紫菱傻死了，绿萍变态得很变态。            
(3星)	 秦岚            
(NA)	 真可怕。。。尤其是那被删的激情戏。。。            
(3星)	 这部剧从戏里女猪脚紫菱到扮演张嘉倪 都是败笔中的败笔~秦岚是亮点~琼瑶大妈歌颂小三的代表作~谁叫大妈也是小三恩~            
(3星)	 。。。            
(1星)	 翻拍之前，请动动脑子。            
(4星)	 呵~虽是老片，情节也弱，但是随意看看倒是蛮放松的。            
(NA)	 秦岚和保剑锋赞！            
(2星)	 - -            
(2星)	 别拦我，我笑一会儿            
(1星)	 给我留下了深深的心理阴影。每次换到芒果要是在放这个就以秒速换台，换完后还心有余悸地大喘气            
(4星)	 紫菱            
(1星)	 OMG            
(NA)	 我是瞅着保剑锋和秦岚才看的            
(5星)	 感叹一声秦岚真是天姿国色啊            
(4星)	 有人会觉得很假，但哪个女孩儿不希望像紫菱那样可以做一场王妃般的梦呢？！            
(3星)	 雷剧~            
(4星)	 只有秦岚是这部剧的唯一亮点 她演的真好 其他人 面无表情的呀 ~ 有了秦岚 这部剧才有了唯一的看头。            
(3星)	 绿萍后来有点变态了            
(2星)	 哎。。。什么时候配音不再那么假。            
(3星)	 翻拍里面很能看的。            
(3星)	 我晕我晕我晕晕晕。            
(3星)	 老版的人好看 新版的房子好看            
(5星)	 还是挺喜欢琼瑶的            
(2星)	 莫名其妙的剧情，小时候很喜欢紫菱的灵气，长大了发现其实她是最无理取闹的一个，这样的人也值得幸福，是因为价值观扭曲吗？            
(1星)	  没看过，专门来打一星的。狂吐！！            
(3星)	 看的时候只记得普罗旺斯和他们结婚时的豪华景象啊。            
(NA)	 ..            
(3星)	 我是被这个紫菱雷的一塌糊涂            
(4星)	 喜欢它的演员阵容.方中信的费云帆很成功~绿萍也很成功~紫菱真的很漂亮..            
(3星)	 画面够美！剧情受不了。。。            
(2星)	 只为了普罗旺斯的美景，剧情不作评价            
(3星)	 拍这戏的人真惨。就是哭。            
(2星)	 这个就啥都不说了            
(2星)	 可以娱乐。            
(1星)	 我晕！            
(4星)	 我很爱很爱费云帆。            
(3星)	 这是个小三横行的年代            
(4星)	 《一帘幽梦》是当年我最爱的琼瑶小说。费云帆多好啊，真是最最理想的恋人......嗯，方中信演得很好。            
(3星)	 秦岚终于知道真相崩溃的那场戏我百看不厌啊            
(3星)	 方中信和费云帆，最喜欢的两个男人结合在一起~~            
(3星)	 湖南电视台真神奇            
(3星)	 因为那片紫色的薰衣草，那个令人神往的普罗旺斯，而留下深刻印象            
(4星)	 蛮喜欢的            
(5星)	 小费叔叔~            
(3星)	 其中有一句话:是天堂或是地狱,都在自己心里.(这剧里台词也太雷人了吧~)  = =            
(3星)	 真是很矫情            
(2星)	 太长了。除了张晨光，没有人会演戏，保健峰尤为恶心，猥琐。            
(NA)	 这是典型的小三养成教育片！败类啊！！！            
(2星)	 看了部分...还是喜欢萧蔷版的...            
(3星)	 没啥好说的 我把结局给忘了            
(2星)	 老版难以超越。            
(4星)	 我还是蛮喜欢这一版的 没有那末那末的悲 而且把法国拍得很漂亮            
(4星)	 70岁的琼瑶仍有杀伤力            
(3星)	 ………………沒有上一部好看，除了景致好看些。出了兩個大主角以外，其他人物貌似比上一部好看。            
(3星)	 爱做梦            
(5星)	 很好            
(3星)	 湖南卫视的折腾剧            
(NA)	 我坚持只看一点不太纠的部分，喜欢秦岚。            
(5星)	 好看好看好看好看好看~~~            
(3星)	 看的时候很投入的亚，觉得好美，但是看完以后马上回到现实中去了，呵呵。。            
(3星)	 我喜欢方中信            
(NA)	 亏我凭着年少的记忆去看。            
(3星)	 又让我做了一回梦,我开始做不现实的梦了            
(3星)	 HNTV宣传成那样 很少人会不看..            
(2星)	 再怎么糟糕，还是借由方中信和费云帆勾起了潜伏已久的灰姑娘和老男人情结。            
(3星)	 很恶心的台词~不过秦岚演很好~            
(3星)	 童话再天真，仍旧是美丽的童话            
(4星)	 没想到没逃出琼瑶阿姨的魔药爱，普罗旺斯            
(3星)	 女人真不应该看这戏             
(3星)	 有些很狗血,秦岚演得真好            
(NA)	 琼瑶矫情,琼瑶造作.可是仍有那么多人喜欢这部片子.归根结底大家喜欢的不过是完美的爱情,或者只是对完美爱情的憧憬.            
(4星)	 喜欢普罗旺斯            
(2星)	 超长的做作，秦岚很漂亮            
(4星)	 主要是因为法国。            
(2星)	 四不像。。            
(2星)	 只能叫“又见”一帘幽梦            
(NA)	 普罗旺斯的薰衣草梦            
(5星)	 让别人知道我看过这部电视剧            
(5星)	 现代版的服装、绝美的场景，还有普罗旺斯，单听听名字就已经够浪漫了，早就应该重拍了。            
(2星)	 延续做作的台湾风格呵呵            
(NA)	 费云帆（大心）            
(5星)	None
(2星)	 秦岚！秦岚！加油把他们都杀了！            
(2星)	 补遗            
(2星)	 我不过就是为了看看秦岚保GG再顺便感慨一下方蜀黍而已            
(2星)	 两个星是给方中信的...            
(1星)	 看见紫菱那种随时随刻都怨念的脸就想吐。。。            
(1星)	 秦岚亮了，因为剩下人太矬了            
(3星)	 我居然忍了琼瑶奶奶恶心的台词和面瘫做作毫无演技的张嘉倪一直挤眼泪，我对方中信绝对是真爱啊！！！费云帆帅到我已经快要察觉不到这部片子所反映粗来的扭曲价值观了，肿莫办！！！            
(NA)	 老版很经典，这部也不错。            
(3星)	 琼瑶剧最佳男主角——方中信 饰 费云帆            
(4星)	 我的无聊青春呦。。            
(3星)	 - -            
(2星)	 两颗星全给秦岚            
(3星)	 普罗旺斯美翻了！多少女孩心中的梦想之地~            
(3星)	 爱死费云帆了！            
(3星)	 法国景色很美            
(2星)	 走边边你妹￢_￢ 普罗旺斯的风景确实不错            
(1星)	 剑锋 听帅的 果然是琼瑶小说改编么 我妈是她粉丝呢很多年前            
(3星)	 费云帆才是完美的            
(NA)	 一如既往的苦大仇深，话说巴黎的取景很漂亮滴~            
(4星)	 为了方中信            
(2星)	 紫菱真烦人            
(2星)	 就记得励志的绿萍姐姐，神吐槽曰：做人要做绿萍姐姐啊！~~~其实当时看ZJN还算顺眼，近年来越发觉得一般且小家子气- -            
(4星)	 五年前看的  现在看还是一样喜欢小费            
(3星)	 现代琼瑶剧啊...为了一帘幽梦那首歌去看的，不过没看完额            
(2星)	 何必翻拍            
(4星)	 比想象中好看            
(4星)	 沈随心。            
(2星)	 噢，云帆，我要晕了~！            
(1星)	 要这么毁方中信么；印象中的难看。            
(1星)	 一颗星给方中信。。。            
(3星)	 女一实在丑            
(3星)	 秦岚演的真不错~后面演的相当变态，方中信的配音感觉和情深深雨蒙蒙里古巨基的配音一样            
(NA)	 翻拍是多么讨骂            
(1星)	None
(4星)	 神啊，给我一个费云帆吧！！！            
(NA)	 高考之后的那年，特意买跌看的，感觉不错。紫菱真是傻人有傻福。            
(1星)	 父女之恋。。。            
(3星)	 绿萍演的不错，后期挺瘆人。女一太差劲了。在电视上一顿选，选这么一个。            
(1星)	 卧槽。。。            
(1星)	 梦你妹             
(2星)	 其实取景真的不错。            
(2星)	 方中信这种成功人士是我的梦想之一。            
(2星)	 张嘉倪其实挺好看的 方中信也还好 我讨厌保剑锋            
(2星)	 吐槽大作^_^            
(1星)	 这分是打给方中信的            
(2星)	 也是NC剧            
(2星)	 看不下去，女主太矫情了            
(1星)	 超讨厌紫菱和楚濂。就喜欢绿萍            
(4星)	 方中信 关注点在费云帆和汪紫菱的情感戏            
(NA)	 费云帆 哈哈哈            
(2星)	 烂！！！            
(4星)	 虽然不如原作，但也不错哈。            
(1星)	 女主太丑了 跟姐姐站在一起你不羞愧么            
(2星)	 已经拍不出那种味道了，琼瑶已经不行了            
(3星)	 跳着            
(3星)	 真的不喜欢大陆的各种翻拍，干嘛把陆港台日韩的差距摆在台面上            
(2星)	 哭得我脑仁子疼            
(3星)	 方中信还不错啦，新紫菱真的好做作！            
(NA)	 不喜歡！！            
(2星)	None
(1星)	None
(2星)	 感觉是各种冲突和刻意美的组合            
(1星)	 本想为了方中信看的……但是……太可怕了……紫菱已经成了个疯傻丫头，而绿萍从一开始就是个妒妇，还有那些配角……那爸那妈……天呐…………太惨了！太惨不忍睹了！            
(2星)	 不想说什么。。。            
(3星)	 糜乱            
(3星)	 第一集的法国景色很美，方中信很有魅力，珠帘也做得不错，姐姐的舞蹈还是能交代的，妹妹就有点二，喜欢她神马啊。            
(4星)	 方中信            
(2星)	 普罗旺斯真是漂亮啊，还有一帘幽梦网站也很不错            
(1星)	 雷晕了~~~~~~            
(4星)	 初三的时候看的还是高一的时候？每晚九点半守在电视前  顶着被爸妈骂的压力  如果不是张嘉倪的演技太差 并且几年来一直那么差 我会打5分果断的            
(2星)	 秦岚真美丽            
(3星)	 给我一个费云帆吧！！！啊啊啊啊啊             
(NA)	 看几集就看不下去了 女主角讲话啊还是配音啊？能不能再难听一点啊 我声音控啊我            
(1星)	 我怎么会看过的...            
(NA)	 最喜欢的原著.地点好多.比如说上海.......还添加了网络时代的元素.            
(3星)	 嗯，还过得去吧。只觉得一个好年轻一个好老，感觉不是很好。其余么。。。就觉得有点儿乱伦，不过那些风景确实不错啊啊啊。            
(NA)	 囧··            
(4星)	 只看细心周到，多金体贴，又宽宏大量的费云帆和美美的普罗旺斯            
(2星)	 矫情~！！            
(4星)	 最后一集那10语言的我爱你 很震撼啊            
(2星)	 徒有其表，没有演技。            
(3星)	 当时装剧了            
(3星)	 喜歡女主就夠了。            
(3星)	 其它的就不评论了，法国真的很漂亮，这是看到的外景最给力的电视剧。            
(3星)	 紫菱选角很有问题            
(3星)	 本来很讨厌演知画的秦岚，这次演了个疯狂的女人居然开始看她顺眼了？~！            
(2星)	 无聊~~~~            
(1星)	 我讨厌那个张什么的            
(5星)	 我是来看美女的，与原著差好多啊            
(4星)	 挺好的~~            
(3星)	 最近跟着青海台又过了一遍。            
(3星)	 无聊啊            
(3星)	 帅哥美女，还有美丽的巴黎，虽然情节一般，拍得也一般，配音很假~            
(4星)	 不小心重看到电视上的重播   我还是想说我喜欢费云帆这样的男人哈哈            
(3星)	 为什么都对这部戏评价那么差呢？？我觉得挺好的啊…最喜欢秦岚了，演技超级棒            
(2星)	 各种受不了！            
(4星)	 我爱汪展鹏，方大叔都被比下去了            
(2星)	 我看见这个演员阵容的时候就毅然放弃了~            
(5星)	 不管怎么说 我还是非常非常喜欢这部剧 费云帆和紫菱 一直是我梦中的爱情童话            
(4星)	 费云帆~唉，我的梦中情人~╭(╯3╰)╮            
(2星)	 不喜欢张嘉倪。            
(3星)	 妹妹就是一贱货，我觉得，如果我是姐姐也会痛恨她。可惜了方中信啊。演这样一角色            
(1星)	 极度讨厌这个紫菱            
(3星)	 这个费云凡到底多有钱啊？？？            
(NA)	 我有一帘幽梦~~~            
(3星)	 张嘉倪愣是让芒果台给捧出来，纳闷，演技不到家呀。一星给秦岚，一星给琼瑶，一星给普罗旺斯。            
(2星)	 我去！！！            
(2星)	 秦岚还是美丽，最重要的是她是绿琴。            
(3星)	   我是为了保剑锋和方中信才看的，电视是华丽了不少，可是怎么就这么假呢，看了直掉鸡皮疙瘩~            
(2星)	 又是没看完。。            
(1星)	 我在普罗旺斯。。。            
(2星)	 想吐            
(NA)	 琼瑶阿姨看女生的眼光在下降啊            
(3星)	 秦岚演技真的VERY GOOD 费云帆要是换个帅哥演就好了= =|            
(NA)	 方中信演得好啊   青岚演坏女人真让人恨  保剑锋这部戏演技有突破啊  张嘉倪啊  演啥都像个天真孩子- -            
(1星)	 把女主拖出去            
(1星)	 又见你妹·            
(3星)	 一帘恶梦            
(3星)	 我想说的是，紫菱太做作了，太假了，和她是新手没关系，后来演的那个神马的也是一样效果...保剑锋也没有18岁的天空里面那么帅了...不过我超级迷方中信呀！555，这种类型的男人有哪个女生不迷恋呢？最关键的是，他总是及时的出现给紫菱安全感~~~            
(NA)	 07年和牛牛一起看剧的时光啊            
(4星)	 那个夏天的疯狂。。。            
(3星)	 我娘很喜欢，顺便就看了。            
(1星)	 梦你妹            
(2星)	 高考过后的暑假曾经围观过。。其实绿萍还不错~其他照老版就差太多，台词和场景改得乱七八糟，琼瑶果然老糊涂了。。            
(5星)	 the most gorgeous love I enchanted            
(4星)	 感情分 大爱的一帘幽梦            
(5星)	 很喜欢，我是一个梦女孩，梦女孩……            
(3星)	 。            
(2星)	 我印象中马桶台成为雷片聚集地就是从这个片子开始的，从此后，马桶太的电视剧我都要有心理准备再瞅瞅。            
(3星)	 爱情是什么？是爱人还是爱爱情？            
(3星)	 默默路过...我以为是讲慈禧的那个一帘幽梦的后传...            
(3星)	 最讨厌的紫菱            
(3星)	 方中信可以五星！！！            
(3星)	 还是喜欢一帘幽梦啊            
(3星)	 我是从这个开始喜欢方中信的 哦漏！！！！            
(3星)	 方中信！还有他在法国的房子神马的真是很赞。            
(3星)	 为方中信看的            
(2星)	 各种囧剧            
(1星)	 一星给保剑锋            
(NA)	 高考前吧我记得，当时还小喜欢            
(3星)	 2星给紫菱和费云帆            
(NA)	 受不鸟            
(4星)	 翻拍的还可以，喜欢秦岚~            
(2星)	 只有吻戏能看            
(3星)	 反正风景是有够美。            
(3星)	 对于我完整的电视剧，我不忍心让它不及格，秦岚的爆发力真好！！            
(2星)	 被雷翻了。。。实在和经典无法相比。。。从此痛恨芒果台。。。            
(2星)	 喜欢秦岚的演绎。还有楚濂的一段独白。            
(4星)	 在高中某个假期期间热映，回学校发现当时一起玩的几个都看了。。。很囧            
(5星)	 「一切患得患失为了你 所有骄傲自尊都失守 这样的感情让我害怕 但是我绝对不会逃走」是现实太苍白无力了吗？总之我是爱死这部了！！            
(4星)	 其实我觉得拍的还不错啦。。。每集看着紫菱都是羡慕嫉妒恨            
(2星)	 后面改得各种不伦不类。当琼瑶阿姨想紧跟时代= =、            
(4星)	 秦岚 保剑锋~~~~~  @-@  普罗旺斯~~法语！！            
(1星)	 大烂片！！一星给绿萍·············- -            
(NA)	 =v=            
(3星)	 就觉得秦岚超级好看， 声音也好听            
(3星)	 琼瑶大婶真是没得说的.... 没一个角色符合常理的.... 但是方中信让我居然开始做老男人的梦了... 崩溃.....            
(3星)	 依旧还是越早越经典，很多情节雷人化了~不过法国那段拍的还是很浪漫的，旅行旅行去也！            
(5星)	 很好看 很纠结 喜欢紫菱~            
(2星)	 看了还珠三几眼就无比讨厌秦岚，然而再看《又见》和《南京南京》，觉得秦岚的演技真的是很好啊。。一星为秦岚，一星为刘威葳。。。剩下的全部忽略不计。。。            
(4星)	 就冲着方中信 我给四星了！            
(1星)	 太折腾了            
(2星)	 多一颗星完全是因为我小时候喜欢楚濂……谁年轻时没爱过一个楚濂，谁长大了不爱费云帆？            
(5星)	 我们台的自制大剧            
(NA)	 城堡~~            
(5星)	 方中信加星~~~其实真的挺吸引人去看的            
(NA)	 喜欢紫菱，是因为觉得自己跟她很像，爱做梦，失意，走边边，平凡，被忽略…            
(1星)	 五分钟都看不了            
(2星)	 乱糟糟            
(2星)	 绿萍错在纠结楚濂爱上紫菱这事上，应该直接抛弃楚濂勾引费云帆去。            
(3星)	 方中信好有男人味啊。            
(3星)	 俺就是生气 把俺那么好滴方中信给那谁谁了！！！！！！！            
(1星)	 陪同学被迫看了几集。这种片子真让我恨不得点下边的“不让别人知道这次收藏”。            
(NA)	 拍的像恐怖片。。            
(3星)	 芒果台的            
(3星)	 高考完和妈妈看的...委屈紫菱鸟》。。            
(1星)	 恐怖的张嘉倪            
(3星)	 雷得还可以            
(2星)	 宁可看琼瑶的古装戏。。            
(NA)	 张嘉妮和方中信，别扭的组合            
(3星)	 ···我更喜欢老版            
(3星)	 绿萍太神经质，紫菱太想当然了。            
(1星)	 我呸，糟蹋紫菱            
(3星)	 保剑锋，方中信~            
(5星)	 独独钟情。无原因。            
(4星)	 方中信这个老男人还是很帅的            
(3星)	 秦岚加分            
(1星)	 给方中信            
(NA)	 烧初二暑假            
(NA)	 郭德纲治不好我的抑郁，琼瑶阿姨治好了。不得不说这段用来复习英语的时间用来观赏又见一帘幽梦有多么值得。我上一周过得穷困潦倒，差距在于，我不会说“不要嘛，人家哭的肠子都断了。”琼阿姨，我服你。            
(3星)	 这个紫菱不好....还是喜欢原来那个版本的..            
(4星)	 喜欢紫菱~感觉里面的男人都不配            
(3星)	 琼瑶真正的内涵或许没有表现出来            
(3星)	 雷死个人            
(4星)	 本来觉得好垃圾的电视剧，经不住湖南台每天上午的播啊，于是我每天早饭就靠着这电视剧来打发无聊了。哈哈            
(4星)	 很喜欢在法国拍摄的那一段，虽然有时候有些台词看的起鸡皮疙瘩，但是还是很喜欢那段浪漫的故事还有跟着这部影片游遍法国的美丽心情！   花田海岸古堡，把我处处围绕~~            
(3星)	 方中信~            
(1星)	 要不是为了法国的外景，一颗星都不想给            
(3星)	 张嘉倪到底是新人，演得太假了。不得不承认秦岚确实演得很好，但是和萧蔷比还差一点~~~我喜欢绿萍 甚至觉得自己就是绿萍 我知道骄傲 自尊没有那么容易被打败。            
(3星)	 方中信，你不该演啊。            
(5星)	 所有女孩的夢            
(1星)	 方中信是唯一戏骨，只是那满脸胡渣的憔悴样，跟紫菱道歉时完全一副受气小男人样，简直楚濂第二。。绿萍同学嘛，太用力了，不过那种狠样和知画如出一辙，秦岚你的戏路怎么都是那一套啊。。。紫菱那就不说什么了。。小眼睛单眼皮还丹凤眼的女人最讨厌了。。            
(2星)	 嗷嗷嗷…老版好老版好真的还是老版好。            
(3星)	 翻拍的不是很好。            
(2星)	 我纯粹是在看古堡            
(3星)	 每每看綠萍發瘋，我都感覺很好！很洩憤~~~額~            
(5星)	 我怎么就这么爱看呢。。。品味低俗的具体表现么。。。            
(1星)	 天雷滚滚            
(1星)	 真烂真烂真烂            
(3星)	 这个记得还不错            
(4星)	 欧洲的外景真的很浪漫 无论是电影还是电视剧 都那么恶心楚濂 都那么喜欢费云帆 刘德凯 方中信 我喜欢的类型            
(3星)	 仅爱方中信的深情。那吻戏拍的真是懒啊。            
(1星)	 看过之后就很讨厌方中信            
(3星)	 我晕~            
(2星)	 虽然我喜欢方中信，但是这剧也太坑爹了。。。。            
(3星)	 琼瑶得厉害！揪心啊。其实几个主角长得不错的，就是被台词玷污了。@Home            
(3星)	 呕。。。差点么吐出来。。。。都是神马啊。。。各种烂。。毁了我的费云帆啊。。。            
(3星)	 我不喜欢紫菱，绿萍比较惹我心疼。。            
(3星)	 见不得张嘉倪。黑黑的，瘦瘦的，还装的一副情圣模样            
(5星)	 不是挺好的嘛            
(4星)	 虽然有点脱离现实，但总体来说给人比较有感触，对婚姻，人生都有了新的看法。            
(2星)	 方中信的费云帆不知为啥透着股猥琐气。。。            
(2星)	 仍记得那十三个‘晕’的排比句            
(3星)	 紫菱那声音是怎么回事            
(5星)	 费云帆啊费云帆            
(4星)	 我爱你！            
(5星)	 我心中也有一帘幽梦，不知与谁能共，谁才是我的云帆            
(4星)	 07年的那个暑假，记得去东辰了还和大门讨论            
(3星)	 現在想想這麼多槽點當初是怎麼看下來的 OTL            
(4星)	 秦岚棒棒            
(4星)	 秦岚演得好！            
(4星)	 其实乐呵呵看一些就好了。何必强求            
(3星)	 还好啦，我姐姐喜欢。            
(3星)	 书桓的配音用在他身上好恶心            
(2星)	 无话可说            
(3星)	 配角要出彩的多！            
(4星)	 方中信，一直都很有魅力。            
