http://movie.douban.com/subject/1878360/	金枝欲孽
(4星)	 很想看看粤语版            
(5星)	 去也无从去 住也如何住            
(3星)	 最后的真善美悲情结局让我无语 最欣赏如玥 这样的女子背负了太多 却也懂得人间真情            
(5星)	 绝响哇            
(4星)	 打发时间看的，其实除了一堆女的斗来斗去其他的也没什么~兴味寡然~            
(5星)	 种因结果然后万劫不复。主题曲和片尾曲真是忒好听啊。TVB近年最好的一部戏，TVB再也不可能有超越这部戏的宫斗戏了。            
(5星)	 女人心。            
(4星)	 好几年没看过这么好的电视剧了~            
(5星)	 曾经最爱的清宫剧，然后被步步惊心取代了... 但是还是赞叹一下迷死人不偿命的林保怡~             
(5星)	 这是最让我记得tvb的一部剧。            
(5星)	 主题曲好听            
(5星)	 百转千回的事            
(NA)	 黎姿真好看            
(5星)	 好看！！！！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 ....可怜之人必有可恨之处`            
(5星)	 经典！！！            
(5星)	 非常独特的古装剧！            
(5星)	 不要惹到女人            
(4星)	 大概一年前看过 喜欢尔淳。            
(4星)	 邓萃雯啊            
(4星)	 还算好看            
(5星)	 堪比美剧            
(5星)	 我脑海中的TVB经典大戏。            
(NA)	 香港人能拍这样不错了么            
(4星)	 tvb的经典。            
(4星)	 TVB经典大戏            
(4星)	 金枝妖孽            
(3星)	 和老婆看的。            
(5星)	 我爱玉莹的敢爱敢恨。            
(3星)	 喜欢如妃            
(5星)	 砒霜            
(4星)	 四个字概括就是：勾心斗角。            
(4星)	 争斗啊争斗，阴暗啊阴暗            
(5星)	 War and beauty     长恨人心不如水  等闲平地起波澜            
(5星)	 真好看呀麼真好看            
(5星)	 从第一幕就喜欢如妃            
(3星)	 黎姿自己评价最高的作品            
(5星)	 真不赖！最爱茹妃~            
(5星)	 花开花落自有时，总赖东君主~            
(5星)	 可以一口气十集的那种。            
(5星)	 小爱TVB···            
(4星)	 就算有多么不如意的事也好，也要自己对自己讲：我忍得住！就算有多么大的挫折也好，也要对自己讲：我撑得住！就算有多么伤心绝望也好，也要懂得对自己讲：我看得开！”              
(5星)	 最喜歡的還是雯女~            
(5星)	 编剧万岁            
(4星)	 还可以，勾心斗角的！就爱看宫里一群女人内斗！！            
(5星)	 最爱如妃~            
(4星)	 女人何苦为难女人～            
(4星)	 短暂的生命里浪费了不少时间看这些港台大陆小肥皂剧            
(5星)	 这部的结局好。新的希望新的开始            
(3星)	 有人的地方就有勾心斗角            
(3星)	 不错不错            
(4星)	 后面没什么突破，要不然给满分            
(3星)	 其实看完了有点儿莫名            
(5星)	 再坏的人也会为了情这个字而改变。            
(4星)	 数年前看《鉴证实录》爱上了林保怡，数年后看《金枝欲孽》再次加深了这爱。            
(5星)	 皇帝也爱制服诱惑~            
(5星)	 三个女人一场戏。            
(3星)	 傻女人~            
(5星)	 完整的故事，美丽的女人，细致的心思，精致的布景和服装            
(4星)	 “好看”的剧。女人心，海底针。后宫的女人，更处黑暗的海底。找到光亮的那一刻，却是生命的终结。ps.看到曾经的杨小蝶化身如月，还是唏嘘一番。            
(5星)	 彻底对了我的味            
(NA)	 ⋯⋯我还真看过⋯⋯            
(4星)	 宫斗            
(NA)	 又感性又冷静的雪骐生活            
(NA)	 完整不落地追完的剧集，我以前怎么就那么喜欢张可颐涅？            
(5星)	 个人非常喜欢            
(4星)	 女人们勾心斗角的戏码还是很精彩的            
(5星)	 我在最合适的机会看完了,但我身处斗争中却不知所措,离开是唯一办法            
(5星)	 勾心斗角的精美后宫剧，超好看……音乐也很棒            
(5星)	 权利争斗            
(4星)	 2009，05，11            
(NA)	 大爱            
(5星)	 TVB回光返照之作            
(5星)	 高二暑假看的，哇靠，经典的很            
(NA)	 555            
(5星)	 那些勾心斗角的女人们..集体演技大爆发，尤其是邓萃雯。            
(5星)	 好看，呵呵            
(NA)	 個人認爲港產片還是非常好看的            
(4星)	 第一次通宵只为看连续剧，只是不会再看第2遍 了。            
(NA)	 邓萃雯还是有那么点威严            
(5星)	 编剧很不错，玉莹小主最不讨人喜欢            
(4星)	 女人之间的勾心斗角。个个都挺聪明            
(4星)	 雯女的如妃演得真是好            
(5星)	 绝了            
(5星)	 真爱那人心争斗，有力道。            
(4星)	 TVB没帅哥了。。。两男主应该叫两男猪吧。。。            
(5星)	 大爱            
(5星)	 这部港剧很作很我喜欢~大爱如妃            
(5星)	 尔纯为何看望宝蝉回徒没有饭盒呢?大悲剧            
(5星)	 喜欢如妃HOHO。            
(4星)	 后宫的勾心斗角!很喜欢邓萃雯            
(5星)	 如妃最高            
(5星)	 活脱脱TVB的古装版            
(5星)	 黎姿水浒无间道            
(5星)	 让我强烈感觉我很贱的连续剧，看得生气，气的直哭，还在看            
(NA)	 不错~            
(NA)	 办公室里的金枝欲孽~啦啦啦            
(5星)	 太好看了            
(5星)	 TVB翻身之作            
(4星)	 悲。            
(5星)	 我的尔淳！            
(4星)	 TVB剧集咸鱼翻身之作            
(NA)	 看了这剧以后觉得黎姿好漂亮            
(5星)	 TVB垃圾了这么久终于有个好作品了!! &gt;_&lt;            
(5星)	 这个世上，每个人都很苦，可是我们还是想善良。无论现实多残酷，人间还是充满真情。            
(5星)	 邓萃雯!            
(5星)	 两天内看完这部剧 那叫一个纠结啊~邓萃雯演技超好！            
(NA)	 从这里开始烦佘诗曼。            
(4星)	 还不错……            
(5星)	 喜欢尔淳和孙大人，笑。不过没看完，也不记得看到哪里了，真是…            
(5星)	 牛逼！            
(4星)	 我从来都不想当孔雀，因为只有凤凰才能欲火重生。            
(2星)	 很詭異··            
(3星)	 莫名开始喜欢毒药            
(3星)	 它开启了宫斗时代            
(NA)	 女人与女人之间可怕的心理战争。为爱情，死~为权利，死~不知怎样才能活着~            
(4星)	 人生自是有情痴，此恨不关风与月             
(NA)	 好啊，有很长一段时间用啊咦...那段音乐做铃声            
(4星)	 张可颐的淡 黎姿的艳            
(4星)	 16岁的玉莹，黎姿那洋洋自得的样子。            
(5星)	 最最最经典了吧            
(4星)	 一切旨在原来            
(NA)	 千山万水，你给我的礼物。            
(5星)	 余音绕梁的咏叹调            
(4星)	 火了很久之后才看，对白不错。            
(5星)	 很好看！            
(4星)	 到底是谁算计了谁。            
(5星)	 充斥着尔虞我诈波谲云诡，可是女人多难做，就算再坏的角色也让人恨不起来了。尔淳对孙白飏、孙白飏对玉莹、如玥对孔武，最后还不都是无望的痴心。不是每个后宫里的女人都有如玥的气场的~ 这么无敌的卡司阵容~到了09年六大主角终于变成四大视后+两大视帝的大满贯了。            
(5星)	 我的室友强烈推荐的。以为看我们会成熟很多，阴柔很多，其实，没有……            
(NA)	 还不错的哦~~~我们加佘佘很可爱            
(5星)	 看过最好的古装戏            
(5星)	 超爱            
(4星)	 tvb翻身之作啊。。。            
(4星)	 全是一個“情”字            
(5星)	 斗            
(5星)	 慢慢地在补看错过的经典电视剧，真好看~            
(NA)	 看到最后泪了。            
(4星)	 陈红姐姐说他的教授老师推荐的。再来推荐我。            
(5星)	 大爱～每次看后的感想都不如同～            
(4星)	 难道从这里再看人事斗争            
(5星)	 心战            
(NA)	 哎哟~            
(NA)	 女人之争，如妃、安倩            
(5星)	 喜欢安茜尔淳孔武！            
(5星)	 嗯。            
(3星)	 女人啊可怕啊            
(5星)	 看過的最精彩的宮廷劇            
(4星)	 看到后期好难坚持呀            
(5星)	 勾心斗角            
(NA)	 一开始喜欢安茜.最后最同情安茜.我依然承认她是最善良的.            
(5星)	 其实最后没有对错是非            
(NA)	 这个故事。。。。。            
(5星)	 TVB近年来最好的电视剧            
(5星)	 勾心斗角从来在在香港不乏作品，这一部却演绎的入木三分。            
(5星)	 多少年后，都会记得那句：我手写我心——安茜.            
(5星)	 深宫啊深宫。我是玉莹派。            
(NA)	 金枝欲孽            
(3星)	 还是最喜欢安茜            
(5星)	 最近看的入迷了，一入皇宫深似海。也为难那些女人了            
(5星)	 高中住宿的时候无聊看来着的 很喜欢            
(4星)	 前半部看争斗，后半篇看爱情PS:最后一个镜头让俺真有错觉是在看当年喜闻乐见的还珠格格。。。            
(4星)	 陪我妈看的。囧。            
(NA)	 看着黎姿曾经很天真的模样 看着张可颐与陈豪那曾经真挚的感情 看着如妃一开始就高傲霸道的模样 后来 后来 后来...            
(5星)	 香港近年来难得的好剧~            
(4星)	 还是喜欢黎姿!            
(5星)	 负命的美丽而聪慧的女人是尤物亦是毒物。做女人当如如妃，做男人当如孔武。            
(NA)	 好害羞            
(5星)	 看完一声长叹~            
(4星)	 介绍片里的恐怖画面曾一度让我以为这是鬼片..            
(4星)	 女人不好惹.女人不易做.爱情,只是一种假象罢了.            
(4星)	 还真的追着看了一下            
(3星)	 只看了一点            
(4星)	 女人真可怕。            
(5星)	 好看            
(NA)	 我觉得我甚至学到了做人的道理            
(4星)	 侯佳玉莹。            
(4星)	 看完了            
(5星)	 现代穿越取材素材库            
(NA)	 他们没得选择么。或者她们更愿意这样选。结果都输了。            
(5星)	 喜欢这个故事,每个人的命运写得很自然亦深刻.            
(NA)	 2007.6            
(4星)	  金枝欲孽             
(5星)	 一夫多妻的不幸时代            
(4星)	 女人，谁都不简单            
(5星)	 安茜            
(5星)	 然而，呼喊痛苦拉扯可是对？            
(NA)	 炒得很热，但个人并不太感兴趣            
(4星)	 林保怡。......孙白杨生命中的四个女子。青楼红颜、贤淑妻子、清透后妃、........。            
(5星)	 简陋并大好的剧目.            
(5星)	 惨啊惨~~我爱安茜！我爱孔武！            
(4星)	 死光光＝0＝            
(4星)	 女人之间的勾心斗角体现得淋漓尽致~            
(5星)	 近年来为数不多的几部不错的港剧。衣服好漂亮            
(4星)	 如花美眷，似水流年~~            
(4星)	 看着复杂啊，后宫的斗争永不停休            
(4星)	 宮廷的鈎心鬥角縯繹得淋漓尽致，连续剧中的精品            
(5星)	 嗯，现在看比较有感觉            
(NA)	 像安茜一样生活；白杨vs孔武：            
(5星)	 邓萃雯一直是我很喜欢的女演员.            
(NA)	 在我看来,这部剧之后,TVB再无超越.当然,在此之前,也没见精彩如此剧的.            
(5星)	 福雅和安茜，孙白杨和小禄子            
(5星)	 重，并且痛。            
(5星)	 四个女人在进行战争。只有人会输，而从来都没有人赢。            
(5星)	 噢~我的安茜~~            
(4星)	 经典            
(4星)	 TVB近几年最成功的一部戏            
(5星)	 无数女人的心路历程            
(4星)	 所谓宫廷斗争，其实说白了就是人心的斗争。想到那句：有人的地方就有江湖，呵呵。            
(NA)	 沒有看完整..            
(5星)	 一个情字无敌了 如妃太牛比了            
(4星)	 秋学期期末考，四个人在宿舍一边抓狂地通宵温书一边愉快地看这部港剧，属于我们的紫云五舍222的回忆。            
(4星)	 当年看时赞叹人物塑造之复杂丰满，如今再看只感慨女子之命运。两个男人都不错，至于最喜欢的人物还是没办法，第一我喜欢聪明人，第二我喜欢Maggie            
(NA)	 TVB巨作            
(5星)	 看了这个我对后宫有了本质的认识··汗，好吧，百看不厌            
(3星)	 孙白杨还是很赞!! 不过现在看, 这部剧不是一般的不合逻辑, 尤其是黎姿(从头到尾)及后半段报仇的安茜... 最后的陈爽更是狗血到不行... 囧囧囧!!!            
(4星)	 俩母女追住睇            
(5星)	 一个字，就是好。            
(5星)	 非常非常棒的电视剧。尤其喜欢对白。写的太有味道了            
(4星)	 没人推荐的话我一向不看连续剧=  =b            
(5星)	 一个计谋层出的故事,一个掺杂了牺牲和爱的故事,精彩纷呈.            
(5星)	 无法超越的经典啊，尽管《甄嬛传》各种精致，但是金枝欲孽还是我最爱的经典啊            
(3星)	 在泰国闲着无聊大铁锅收中国电台看的~            
(3星)	 再看这个剧感觉好奇怪，皇帝还不如自己的太医，抢来抢去抢一个gay太医......            
(5星)	 如妃～！！！            
(NA)	 还行 好剧本 好演员            
(4星)	 剧本真心写得好            
(NA)	 字字珠玑            
(NA)	 林保怡姐的爱            
(5星)	 虐心虐肺虐死人啊！！！保怡叔来演第二部嘛&gt;&lt;            
