http://movie.douban.com/subject/2040705/	皇太子的初恋 황태자의 첫사랑
(4星)	此剧成功在外景拍摄部分，剧情也就是两兄弟争一女，还好，男一终于以他忧郁的眼神，执着的追求，蛮横的作风，憋屈的经历赢得了女孩的心，同情绝对可以转变成爱情。印象最深的还是热带岛屿，大溪地，我的梦想之地。
(3星)	两个可爱的演员
(NA)	很老套的故事，只是换了情节，换了人和风格。知道成宥利是宋承宪的前女友时特意看了一眼。
(3星)	巴厘岛的景色很美
(4星)	有彬！我也要做乐观的女孩！
(5星)	虽然结局含糊，但是仍然值得一看。
(4星)	承贤，长得好像我喜欢的那个人 不喜欢结局
(4星)	成宥利&gt;v&lt;
(3星)	配角比主角帅
(NA)	为什么呢，很喜欢蝙蝠侠呢哦，结局实在太令人伤感了，那个车那么秀的所。。。郁闷啊，不过还好，对于巴厘岛的外景相当的满意呢~~~
(NA)	又是老一套
(3星)	还可以
(5星)	和我的初恋
(5星)	太喜欢崔健熙了
(4星)	上大二时和同学在教室看的
(NA)	我就说成宥利选剧本有问题吧。。。你看，这就是印证！！！！
(3星)	当年看的，一直以为室长会和宥利在一起的，没想到居然和车太贤了~
(2星)	补遗
(3星)	花吃剧。善良又漂亮。
(3星)	男二实在不喜欢。。。
(5星)	在我心目中不可磨灭的韩剧
(NA)	哈哈 大晚上来挑小时候看的连续剧
(3星)	。。。。。。。。。更没有印象了。。
(4星)	看了这部戏 爱上了大溪地  但是一个女的连自己喜欢的是谁都不知道……
(NA)	韩剧很多，但是让人看过还想再回味的就很少，这部还算是能让人回味回味的。车太贤演技很赞，女猪脚好漂亮， 男二号太楞了。 前面很有意思，后面未免落入熟套。
(2星)	无语问苍天
(NA)	还不错的 车太贤演技棒！话说灰姑娘式的剧情还是看不厌的
(2星)	成宥利完全就是个面瘫==
(4星)	评价和海豚湾恋人一样。有时过了看偶像剧的年龄，就看不懂了。另外成宥利的打扮发型衣着，一直都很爱♪(´ε｀ )
(2星)	车太贤真是贱贱==
(3星)	爱有许多种。 健熙的爱，呈贤的爱，有彬的爱，健熙父亲的爱，呈贤母亲的爱，有彬父母的爱...... 挺喜欢男主角的演绎，富家子的一点无赖，和对爱情的无比坚持。再有就是，爱，要让你的她知道。.
(3星)	当年看的为数不多的韩剧之一
(4星)	很小的时候看的，入迷啊有木有
(5星)	只记得2005年的夏天 六月 当时刚中考完在电视上看的 每天等到10点~~~电视上看的电视剧都会觉得比较好看……当时很喜欢里面的成宥利和车太贤！或许看这个电视剧的时候是我觉得比较开心的一段岁月吧~~
(3星)	高中毕业那年在热播？
(4星)	小时候看的啊...
(4星)	成宥利可爱
(2星)	看过几百遍的棒子剧。。
(3星)	以前苏州台放的，好像当时是暑假，在家没事
(4星)	最开始我妈拉着我看，后来反复看了好几遍。我被女主角和巴厘岛迷得神魂颠倒的
(4星)	轻松又青春。谁没傻过，没傻过的人生才无趣呢。
(4星)	韩剧套路
(4星)	犹记当年两部皇太子题材韩剧那个火热啊！
(5星)	矮油 评分这么低啊 就是因为这个喜欢上成宥利的
(3星)	只记住了巴厘岛
(4星)	小时候觉得好好看哦。。。
(3星)	关键是男主和男二都……我不评价了 虽然车太贤确实是可爱的
(3星)	当时觉得看着还行，就是结局有点不明不白= =
(4星)	有我家成宥利。
(2星)	各种无感觉
(3星)	我还是多喜欢车太贤。。。虽然长得丑了点。。。但是耐看哈
(4星)	经典！好看！
(NA)	画面看起来很老的。。
(4星)	老早的了
(NA)	太贤 太傻
(3星)	我怎么觉得车太贤不好看？
(3星)	电视上老放
(4星)	哈哈，女主角和车胜贤之间真的有点纠结。男一爱女主，女主爱男二，或许也没有男一男二之分。面对在喜欢你的和你喜欢的中选择一个，故事的最后，似乎都彼此相爱了。可是我觉得男二（室长）只有在夏威夷准备返韩又回去找她的那瞬间看到了他的爱情，其实的时候很多但是是一种责任。
(3星)	教育台一直放的，我妈的爱，我只觉得成宥利还真得好漂亮呀～
(5星)	成宥利哈美丽可爱~~~！！
(4星)	里面的景色不是一般的漂亮啊！！！大溪地和巴厘岛我都是因为这部剧才产生了向往的~~还有，成宥利挺可爱的，车太贤么，长得有点对不起观众但是看久了还是有点小可爱滴~~
(NA)	简介是错的。。什么巴黎啊 明明是巴厘岛 印度利西亚啊亲 club med下的度假村啊
(4星)	跟着老妈一起看
(NA)	我当年竟然能坚持看完，佩服我自己啊。
(3星)	超级瓜的男主角
(5星)	矮油！美好的高中回忆
(2星)	只喜欢宥利~
(4星)	男一和男二都太丑了···只有女主好看~~~很早以前看的了
(4星)	车太贤长的是不咋地，不过一直叨叨叨，叨叨叨的好可爱～GO，十一上海面试，去不去呢~
(3星)	他们说初恋就是没好结局的，我没看到结局。
(NA)	去爱不爱自己的人不容易啊……
(4星)	不错
(1星)	。。。
(3星)	其实一直觉得男1好搓啊= =|
(3星)	有的时候剧情可以很无理
(4星)	当年在电视上看的 追啊追 当时超喜欢 大爱健熙 成宥利很漂亮~
(4星)	我喜欢成宥利！
(NA)	也是跟我婶婶看的。。。后来自己看了一遍。。这个真好看 然后我爱上了大溪地
(3星)	记得还挺感人的
(3星)	又一部在电视上看的韩剧啊
(4星)	喜欢女猪脚，超爱大溪地！我也想当GO！~
(4星)	大一时候每周逃了语文课去学校电子阅览室借碟片看。。。- -
(5星)	因为这个爱上大溪地
(2星)	不喜欢这里面的成宥利
(3星)	挺好的挺好的
(4星)	第一部仔细看完的韩国泡菜剧。
(1星)	我是要给所有看过的思密达剧标一颗星豆瓣才会停止跟我推荐思密达剧么。。
(3星)	我就不喜欢车太贤~~
(4星)	演员都好喜欢 那时候的他们都纯纯的
(3星)	这个 一般吧
(3星)	哈哈  和妈妈一起看的。。女主角还是有点可爱滴~
(4星)	男二号超帅。
(3星)	不知女主神马时候开始喜欢皇太子的。。。
(NA)	没看完，剧情也不太记得了
(4星)	看了这个之后疯狂的想留那种贝壳刘海～～
(NA)	怀念听花海的时候
(3星)	一般韩剧
(3星)	为数几部在电视上看的电视剧，哈哈，车太贤的演技不用怀疑，难得他演部电视剧 
(3星)	。。。不喜欢男女主角，喜欢男二号，可怜的人在最后被摆了一道。。。
(3星)	还好。。。但是一直都么有觉得车太贤长得帅过呐
(3星)	还可以，我不是很喜欢车太贤呢，没有看完。
(4星)	小时候和麻麻一起看到深夜的韩剧
(3星)	还行
(3星)	看过一点点
(4星)	很多年前的美好记忆
(NA)	起初就是看这部认识车太贤的
(3星)	当时只觉得成宥利很漂亮
(3星)	在电视台看的，当时唯一的感觉是男二，你怎么可以这么丑呢
(3星)	成宥利很可爱 不过不喜欢车太贤啊
(5星)	成宥利不错，看好她
(3星)	高中暑假的时候看的，当时觉得还不错，可以看下去，可是现在丝毫没有重温的想法
(3星)	歌都超棒
(NA)	CTV
(3星)	烂尾
(NA)	很不喜欢蝙蝠男，巨丑
(4星)	因为有大溪地，我很喜欢。
(4星)	很喜欢女主成宥利
(3星)	女主漂亮奥
(4星)	我妈妈的最爱♥д♥
(4星)	在很久之前的韩剧里算很好的了~
(4星)	又和表妹一起看电视剧了 看到女主一直拒绝男主 失去男主时候的痛心疾首感到心酸
(4星)	歌好听，
(4星)	喜欢可爱善良的有彬。。
(5星)	成宥利好美~
(NA)	又臭又长
(3星)	初三毕业考试前一个月看的~~我是有多不爱学习~~只记得巴厘岛的美景了~
(4星)	不记得看完了，不过是不错的剧，就是车太贤有那么点。。。。
(3星)	!!!现在才发现女主是成宥利啊。。。
(3星)	其实蛮喜欢成宥利的  风景灰常不错  
(NA)	车太贤还是适合演搞笑轻松电影的男主角~
(5星)	我认识我家yuri的第一部戏啊
(3星)	被同学扯着看了一点
(3星)	对孩子气，搞笑，执着的男人真是抗拒无能啊
(2星)	这女人有什么好爱的？？？！！！
(3星)	那套和服把我惊艳到了，整部剧看完就记住那套和服。
(5星)	一见成宥利，男主角太装了
(5星)	初中看的 女主角很漂亮!
(3星)	早看的了，有点幼稚！
(4星)	算是启蒙韩剧
(4星)	车太贤啊。。。
(2星)	男主角都不喜欢。。。结局很无语
(5星)	较早看的一部韩剧~~车太贤演得多好的 ，虽然不是很帅。喜欢成宥利~~~不过在雪之女王里面虐死玄彬了~~~
(4星)	认识车太贤成宥利的作品还不错，不过这段爱情到最后才被发现
(NA)	初中时候一直会看到高中才看完，对自己有点无语
(4星)	看过的为数不多的韩剧 很清爽的片子
(NA)	年少無知呀
(3星)	皇太子和理想型不符
(3星)	小时候觉得很好看。
(3星)	....这部电视剧给我印象最深的就是那个词....三流大学....
(3星)	喜欢上巴厘岛
(3星)	两个男人都很丑
(3星)	我觉得除了女主角其他都丑死了OAO
(2星)	成宥利在《雪之女王》里的成长可不是一星半点。PS：此片浪费了车太贤的好演技。
(3星)	求皇太子的爱……
(NA)	纯粹用来认识一下男女主角这两个演员~
(3星)	大溪地風景不錯~
(4星)	很奇怪每次跟妈妈去外地的时候电视台就放这个，很开心的记忆。妈说：车太贤怎么越看越耐看越可爱了~~
(3星)	看这部剧的时候 很喜欢成宥利呢。
(3星)	我就不懂了为什么女主就跟车太贤在一起了!!!烂剧情!!
(3星)	花花公子变身有担当的男人顺便终于俘获女主的心，车太贤你不帅这不是你的错……
(4星)	风景很美
(5星)	好看，情节挺复杂的
(2星)	为了看成宥利。。。。
(4星)	车太贤 不错的啊
(4星)	大溪地！！！
(4星)	因为有人说我像成宥利，坚持看完了
(5星)	我最爱的韩剧，超喜欢他们相识的开始，也贼喜欢里面的风景，北海道，大溪地等等
(4星)	初中就看韩剧
(4星)	蛮经典的还~
(4星)	哈欢喜健熙虐有彬呀。。。承贤特阴阳怪气了，长了啊哈怪。。。开始欢喜成宥利了。。。
(3星)	女主角在两个男人之前徘徊不定。。。。
(3星)	原来是成宥利呀，我一直以为是尹恩惠是个可爱的剧，就是忘了结尾了
(2星)	不是很喜欢车太贤，感觉他笑得好廉价。
(3星)	我喜欢代表
(3星)	一般一般 
(5星)	至今手机铃声还是 ...
(4星)	大二啊大二
(NA)	讨厌这里的猪脚们
(NA)	奔车太贤看得···最终也没看完结局···
(5星)	由这部戏喜欢上成宥利
(5星)	喜欢这样的喜剧～～喜欢里面的海岛～～景色很美～～
(NA)	汗一个，怎么觉得当年我就是韩剧大婶啊
(2星)	老套的剧情。还是喜欢野蛮女友中的车太贤。
(3星)	突然一下6年
(4星)	感动于男主的一往情深。
(3星)	我只记得蝙蝠侠了。较早年看的韩剧之一。
(2星)	所有都很丑。
(3星)	第一次见成宥利，惊艳了
(4星)	巴厘岛
(1星)	男主角是谁选的？？演技好不代表可以演偶像剧，实力派和偶像派是不能混为一谈的
(4星)	车科长怎么可以丑成这样！
(1星)	我看过的最讨厌的韩剧没有之一，没找到任何一个亮点，女猪贱，男主丑男二更丑，没救了
(4星)	盗版碟产物~
(4星)	不错，成宥利漂亮
(3星)	说实话，车太贤真不好看啊。
(4星)	成宥利不错
(4星)	前几集 金有彬的衣服很漂亮
(4星)	车太贤真可爱～～
(2星)	韩剧什么的最狗血了
(NA)	不知道是不是车太贤的第一部电视剧～～～70分
(2星)	韩剧什么的最狗血了
(5星)	超爱成宥利。。。
(3星)	就是看看风景吧
(4星)	狗血
(5星)	成宥利 车太贤 电视上看的 看了很多遍 很好看
(5星)	oh！巴厘岛！还有美女 成宥利！~还有美丽的爱情~~
(3星)	额~~这个女人表演的太做作
(NA)	啊啊  超不爽成宥利在里面的角色的
(NA)	4
(3星)	巴厘岛的确不错。
(2星)	印象中就只剩下女主角的那俩细腿了。
(4星)	喜欢成宥利~不喜欢结局。。
(3星)	好吧··哪那多初恋！呵呵···
(4星)	女主很美丽。
(4星)	好玩，搞笑，浪漫
(3星)	看在成宥利的面子上打三星
(3星)	富家单纯的少爷，但是后来很有作为，也很能牺牲~~躺在大溪地嘴角流着血说我都不想回去了的时候...觉得好惨啊！！
(4星)	还是会选择爱你的人~~
(4星)	挺好看的，车太贤演的不错，可爱
(2星)	电视里放过来着。。。
(4星)	成宥利好看呢
(1星)	太丑了
(NA)	大溪地,巴厘岛.
(4星)	憨憨的有钱哥哥
(3星)	没怎么看完
(3星)	又是麻雀变凤凰的故事。
(3星)	怎么看到现在大红的成宥利的时候怎么也无法跟这部片子里的她对上号呢。
(1星)	一开始觉得车胜炫不勇敢，后来了解那是对爱情的珍视。他才是真正懂爱和如何真正去爱一个人。很讨厌崔健熙，这个人骨子里很自私。自己喜欢的就一定要得到，死缠烂打。也很看不起选择了崔健熙的女主角，喜欢一个人的心意那么不坚定。只看到14集车和金由宾一起回汉城了，后面不看了。
(NA)	好玩
(5星)	上高中的时候看过的 刚看的时候觉得特搞笑 笑的我都不行了 也不知道为什么当时笑点那低 大溪地的风光真是NICE 到现在都有想去的冲动 成宥利可真漂亮啊 结局....另外剧中的几首歌曲真的很好听 
(3星)	又是三角
(3星)	大溪地.....
(5星)	第一次接触韩剧就是这一部~虽然忘了剧情~但是印象当中是一部很可爱的作品~喜欢车太贤~~!
(3星)	老妈大爱。。。。
(3星)	蛮搞笑的一部韩剧
(NA)	我只想说 成宥利是我喜欢的女孩儿长相
(3星)	看过一点，但不是特别多，还行吧~^^
(5星)	看的第一部韩剧。爱死了爱死了。
(3星)	再帅再优秀的男二也还是男二，注定得不到女一。
(2星)	只看他们去日本那几集
(2星)	鱼肠嘴啊
(4星)	Yuri!!!!!!!!!!!!!!!!
(3星)	想不通当时我是怎样把它看完的
(3星)	韩剧就是磨叽
(4星)	很早了，好像还和哥哥一起看过
(3星)	对成宥利的感觉始终一般啊
(3星)	成宥利很可爱，怎么就跟车太贤了，编剧啊
(3星)	因为车太贤才看的这部剧，因为这部剧喜欢上了成宥利！还不错吧....
(3星)	相比较于阳光般的温柔女人也许更爱霸道的温柔吧
(4星)	成宥利太可爱了
(4星)	当时挺好看的
(3星)	wo也想去巴厘岛..
(2星)	车太贤实在不适合演偶像剧。。
(NA)	成宥利
(3星)	成宥利很美貌~~
(4星)	挺有趣的 没那么多家庭反对啊绝症啊误会之类的 又有海景又轻松
(NA)	还不错
(3星)	那个时候怎么会这么喜欢金有彬小姐呢，我的成宥利？
(3星)	还是初中的时候看的吧，那时候感动得不行，现在觉得又傻又假......
(3星)	爲什麽灑脫乾脆帥氣的人兒 一碰到愛情 就都痿了呢 一點不好。
(3星)	成宥利蛮可爱的。。。
(4星)	很久以前的片子了，里面的男男女女我都很喜欢···其实我比较难同时喜欢男一和男二的（仅针对韩剧），不过这个剧就都挺喜欢的
(3星)	喜欢女主角、喜欢傻傻的爱情、
(NA)	看过不过没有太深的印象~~~~~
(4星)	搞笑系列的~男2挺帅的~
(5星)	車太賢超搞笑
(4星)	看完后我竟然喜欢上了车太贤
(5星)	车太贤真可爱，成宥利真漂亮
(3星)	车太贤鲜有的NC剧
(4星)	记得早年租光碟看的 = =。貌似那时候觉得还可以。
(2星)	毫无卖点
(5星)	车太贤车太贤！！！
(3星)	真麻烦。
(NA)	成宥利 
(3星)	还行
(NA)	喜欢车太贤
(3星)	觉得是我挺早看的片了，也是因为这个 开始喜欢成宥利的。 当个GO也不错~
(3星)	还算不错
(4星)	成宥利真是我看过团子头最美的女艺人啦！
(NA)	车太贤无论什么时候都可爱
(3星)	忘了剧情，但是喜欢里面的造型。。
(3星)	两位男士实在太抱歉了！~
(3星)	车太贤就是可爱。
(NA)	不好看
(3星)	喜欢女主角。
(4星)	和家人看。
(2星)	韩剧真的没法看。看韩剧真的比看漫画还折磨人。喜欢看韩剧的女生都没有小脑。脑子有病，根本不可能是真的，还那么做。毛病。
(NA)	有点搞笑，喜欢成宥利
(3星)	傻傻的男主...女主很PP...
(3星)	额  蝙蝠侠很让人失望 
(NA)	我是个韩剧迷，但凡韩剧真没有我不知道的，这部很老了，那时候看的感觉是男配角比男主角舒服多了，女主角呢，身材特棒。
(2星)	没劲
(NA)	当时太喜欢这种感觉
(4星)	斷斷續續看了很多遍，仍然喜愛的片子^
(3星)	女主很漂亮，两个男主都很丑，不知道说什么好了！
(5星)	相当好看成宥利太可爱了，活泼好动
(3星)	成宥利很漂亮
(3星)	无聊的时候看还行。
(3星)	不是很喜欢，故事情节有点乱~
(4星)	曾经很喜欢  也很为男配惋惜  不管怎么说 还是值得看的小白剧
(3星)	看过的第二部韩剧。。。完整看
(NA)	挺有意思的
(3星)	感觉没有意思， 可能是因为男主角不帅 ，不能吸引我的原因。如果说看完的话，也不过是左一集，右一集看完的。 
(3星)	成宥利皮肤真好啊
(3星)	除了两个男主角不好看，其它都还好
(NA)	纪念纯真的岁月。韩剧，看了以后，会让你活在幻想的世界里
(3星)	又是一对我不是很讨厌的演员，演了我非常讨厌的戏！
(3星)	俩男主都这副尊容。。。。。。
(3星)	成宥利当时娃娃脸的，。。后来大概整过了ORZ
(NA)	我喜欢男二号唉
(3星)	很爱成宥利
(3星)	成宥利
(5星)	喜欢成宥利啊，觉得巴厘岛好漂亮
(4星)	惊叹自己體过
(3星)	那个女的挺好看的
(3星)	也是在电视台上看的，一般吧~还行
(3星)	很美的女主。很丑的男主以及男二。
(3星)	里面的度假胜地我很想去~~巴厘岛很美
(3星)	景色宜人
(3星)	只能随便看看。
(3星)	与旅游有关，看看
(4星)	N年前看额，为了车太贤
(3星)	外景超级吸引人~
(2星)	有我喜欢的女主角，但还是不得不说，真的是不好看
(5星)	车太贤好可爱~~~
(4星)	都喜欢。
(3星)	!
(3星)	善良美丽的有彬~
(NA)	额
(4星)	在这里认识了小乖和非常棒的车太贤
(3星)	我不喜欢车太贤和成宥利在一起
(2星)	很久以前看过的
(4星)	虽然又是老掉牙的剧情，出于女主角可爱
(5星)	成宥利
(NA)	因为女主角的身材和性格 特别喜欢着电视 不过剧情有点悲伤哦 也许女人就是这样 期待的都是不现实的 
(3星)	成宥利不错~~
(2星)	开头还多搞笑的
(NA)	宥利
(3星)	很喜欢车太贤 这部剧也还不错
(3星)	肥皂剧一样的..没看多少...
(NA)	女主角感情有点乱，建议编剧把感情转移的情节过渡再细腻点。中文配音版本嗲得很折磨。。
(NA)	女MM还是可以的吧男GG也凑和着吧
(2星)	要不是为了成宥丽``
(4星)	妈妈喜欢看，我觉得还行
(5星)	其实不怎么喜欢结局，我还是觉得女主角应该和科长在一起.
(4星)	从这里喜欢成宥利……
(NA)	男人有钱！
(3星)	各大旅游胜地的景色的确不错~~！
(5星)	初三的时候很迷恋这个
(4星)	很可爱的有彬
(NA)	女主角的形象真让人喜欢
(3星)	不能忍得男二号，不能忍得男二号的老爸与老妈。咕~~(╯﹏╰)b
(5星)	很喜欢女主……
(4星)	成宥利很美~很阳光。喜欢科长，因为他稳重，温柔，专一，也有阳光的一面。GO是个不错的职业。大溪地，梦一般的地方~
(3星)	那时候的小乖完全木有演技可言……然后金南镇真丑，真的……
(5星)	人生有时就是这么的难以琢磨，不经意间的偶然就可能改变一生的命运。
(3星)	因为这部戏喜欢上了热裤，呵呵
(3星)	我家成宥利的，，但是剧情很一般
(5星)	超喜欢的韩剧
(NA)	皇太子很滑稽
(3星)	一般般
(NA)	蛮喜欢女主角的
(5星)	我老爸喜欢里面的成宥利
(NA)	虽然很滥俗的剧情，但是车太铉和成宥利的表演让人很轻松，能让人开心和笑得电视都是不错的～
(3星)	般般
(NA)	巴厘岛！我的梦想天堂
(NA)	皇太子的初恋 
(3星)	女主反反复复。。感觉很怪。。
(1星)	烦死人的韩剧。男猪和男配长得奇丑。两个丑男的斗争史，你说有什么好看的？
(4星)	……
(4星)	好看
(NA)	没看完
(2星)	不好看，建议不要浪费时间
(NA)	成宥利 我喜欢
(NA)	前面说过了 最喜欢女主角了呢
(NA)	挺好玩
(4星)	很好笑的片
(3星)	还好啦~
(NA)	车的片子 满有趣的
(NA)	就是很奇怪
(4星)	很舒服的女主角
(3星)	现实生活中根本不可能发生的事，简直是为了男主角生硬扭转剧情
(4星)	2005-9  十分佩服车太贤的勇气与屡败屡战的精神，最终赢得真爱
(2星)	实在没有亮点
(2星)	垃圾
(3星)	一般的剧情··
(3星)	一对欢喜冤家的故事，可以看看～
(4星)	3.8 车太贤
(3星)	开头很有意思  但结尾一般韩剧都很磨机，完全遗传。
(NA)	在朋友亲戚家看的
(3星)	多么不容易啊，又一部韩剧
(NA)	在电视上断断续续的看了，还可以吧~只有这样
(NA)	很好看 喜歡成宥利
(NA)	最后的一部分还是很感人的，我看得都哭了。
(3星)	因为看了雪之女王，所以迷上了女主角哦。不过这部片子里，她没那不漂亮呢
(3星)	高三的假期看的，所以印象深，一般吧，不喜欢女主角总是咬嘴唇。
(2星)	要不是有车太贤，我根本就不会去看
(3星)	没什么印象。
(4星)	恩???恩...
(4星)	成宥利~~~呵呵,赞一个就是两位男主角长得不咋的
(3星)	风景美
(4星)	喜欢成宥利和车太贤
(NA)	252
(3星)	没看完``
(5星)	车太贤太可爱拉~
(2星)	片子太老了,不喜欢男主角.
(2星)	一般
(NA)	要不是成有利 打死我也不看车太贤
(3星)	还行吧，车太贤确实有实力，剧本都被他比下去了
(NA)	唉
(3星)	男主角眼睛都太小了呢...
(NA)	车太贤
(3星)	断断续续看完觉得女主角的衣服和耳环好漂亮
(NA)	电视上放了N遍吧...
