http://movie.douban.com/subject/2190931/	刑事侦缉档案IV
(5星)	 绝对的好看。。我发现我现在再看这个电视剧居然会觉得害怕。。            
(4星)	 就是喜欢看古天乐和宣萱的情侣档            
(5星)	 这一系列是我的大爱 虽然演员换了 但一点都不影响质量            
(5星)	 20081206又看一次，徐飞是不是从来没爱过俏君？果然主动的女生没有好结果？            
(4星)	 他俩分手分得太撕心裂肺了吧。。。            
(5星)	 最喜欢的电视剧也是最让我伤心的电视剧            
(4星)	 还是喜欢陶大宇版的。            
(NA)	 我最喜欢的电视剧。结局哭了！            
(2星)	 挂羊头卖狗肉~~~捧红了BIG BIG WORLD~            
(NA)	 其实4和前面没什么关系,,但是很好看..            
(5星)	 大一的暑假，我每天看6集以上。我弟高二，我妈说我带坏了他。            
(NA)	 古天乐啊            
(4星)	 古天乐好帅啊            
(NA)	 刑事侦缉档案好像只看老第四部 觉得古天乐在里面太帅老！            
(5星)	 好看的电视剧            
(4星)	 俏君，开到荼糜花事了            
(5星)	 這個當成全新的刑事來看吧            
(3星)	 TV            
(5星)	 最爱的电视剧之一啊            
(5星)	 我的最爱。。。剧情和台词都能背下了。。。            
(5星)	 徐飞和俏君！！！个人认为是TVB情侣档的经典啊~~            
(3星)	 经典的徐飞俏君...            
(5星)	 四部中最喜歡,結局不讓人滿意,古天樂對不起俏君~亨~~~            
(3星)	 武俏君有魅力么？没看出来            
(5星)	 视后!  武俏君!!!!!  小学五年级时的最爱～可惜最后都系......            
(3星)	 BIG BIG GIRL~            
(4星)	 我是冲陈锦鸿看的。            
(4星)	 感情戏太多了,查案的也不错..            
(5星)	 快放开我 不然我会舍不得            
(4星)	 除了古天乐和珊珊没谁想看的了，情节还不错，TVB刑侦片也就这样了吧            
(3星)	 和前两部没的比~            
(3星)	 一星给古天乐，一星给强大的配角，一星给剧情，唐心是个碍眼的败笔角色，萱萱也很一般            
(5星)	 如今的TVB已经日薄西山。再也拍不出当年这么精彩的戏了。            
(4星)	 该死的结局！            
(4星)	 老剧新追！！！            
(NA)	 以前好讨厌向海岚的            
(NA)	 【1999-03-29】            
(5星)	 难忘的是，短发的武俏君和酷酷黑黑的徐飞...是我心中的TVB最佳银幕情侣档..p.s.原来已经12年了啊...            
(5星)	 只对后面十集有印象，于是重温一遍。最喜欢萱萱了~\(≧▽≦)/~            
(5星)	 最近又翻出来看。。当年古仔好帅啊~对徐sir为什么不和Miss武在一起这个问题纠结十多年了。。。            
(4星)	 这什么烂结局啊！！！ 每个人都可以肆无忌惮地伤害最爱自己的人！！！是吗！！！            
(5星)	 爱，哎。            
(4星)	 情节设置的不错哦，起码比别的案件比起来，不很容易猜到结局。少给一颗星还是想说情节很狗血。            
(5星)	 TVB难以超越的经典嗷            
(3星)	 这剧的情感戏弱爆了，刑侦也虎头蛇尾，亮点是配乐。            
(5星)	 古天乐这个角色有点闷  糖心和佘诗曼演的角色都好讨厌呢  一个太做作  一个当小三             
(5星)	 这个系列也超喜欢            
(4星)	 陈锦鸿！            
(4星)	 感觉烂尾了后面够不可思议。唐心死左之后不敢看了，总会想起吖锐，明明前一刻还跟你开玩笑的人说没就没了，人，真的很脆弱            
(5星)	 如果不是偶然重看我都不会记得原来喜欢的第一首英文歌是这部剧的插曲也不会记得原来这部剧叫&lt;刑事侦查档案&gt;.12年前..自己还是小孩子他们还都年轻得让人想哭.一定一定要看的剧我一定会推荐这个系列就像陀枪师姐.经典总是难以复制.            
(4星)	 主演身边的人一个个都死了，这也太悲剧了……            
(NA)	 第一次看是十一二岁的时候了~最近又翻来看一遍            
(5星)	 令人难过            
(5星)	 又开始闹不住了。。！！要控制自己啊看个毛线啊！！（不过变性人那个小时候看的时候觉得好怕- -b 但现在感觉好微妙。。。一个倾国倾城的小受啊。。            
(3星)	 黄石街（七证人）这个案子是我看过的华人电视剧中最棒的抄袭，没有之一。注意：我没有贬义，该单元篇既解决了原著的烂尾问题，还添加了孤岛内和孤岛外的双线交替叙述，最主要的是这案子极大地展现了TVB众甘草演员的精湛演技            
(5星)	 虽是三角恋还坑爹的有两对，不狗血也不俗气。Miss Wu 让多少人动了做心理医生的心思啊            
(4星)	 爱情是成全吗？            
(4星)	 看着看着越看越狗血啊            
(4星)	 我觉得我半梦半醒之间看完所有的 = =~            
(4星)	 好年轻好年轻            
(4星)	 那时候多爱宣萱，佘诗曼连样子都记不住。            
(NA)	 查漏补缺            
(4星)	 要不要这么虐啊            
(5星)	 想再看一遍。            
(3星)	 感情戏太多 案件好牵强。。            
(5星)	 年轻真好~~            
(5星)	 黄石街！！！！！            
(5星)	 我爱古天乐            
(NA)	 内地又改名 什么正义 还有正气            
(5星)	 徐飞和武俏君的结局实在是引起了我的内伤，也明白了原来真的存在相爱无法相守的情况，爱不能代替一切，因为还有种东西叫责任。            
(4星)	 1.感情戏太重了，有时都等上两集了还没有新案子出现…2.果然侦探剧已经模式化了，好几个是直接借鉴电影的，《十二怒汉》的群体决策、盖里奇风格的多线索巧合《撞车》、《奇迹餐厅》里也偷了个段子…可惜电视剧处理起来太粗糙，没有节奏感的精髓；3.尽管剧本的模式化已很严重，但几大规律还是很工整严谨            
(5星)	 徐飞我恨你            
(5星)	 好多年前的片子啊~~~~经典！            
(NA)	 还好最后唐心死了            
(5星)	 爱情都是一场遗憾喜欢唐心如，就让那些总骂小三的人去碎碎念吧            
(5星)	 不管到哪里都要好好照顾自己，因为心里有个牵挂，在彼此心中。最后揪心的对白。            
(4星)	 永远的徐飞和武俏君……曾经的TVB也回不去了！            
(5星)	 因为最后没有在一起，所以大家都念叨至今            
(5星)	 黑面神 徐飞！！！！！！！！！！！            
(4星)	 这部剧是永远的遗憾。            
(5星)	 老妈说，破绽太多...            
(4星)	 哎。。。还是以前陈谷八十年的电视剧好看            
(5星)	 记住了徐飞和武俏君            
(5星)	 如果最后命悬一线的是俏君，结局会不会不一样呢            
(3星)	 这部系列剧的感情线全是各种各样的三角恋。。。            
(5星)	 陈锦鸿啊 我的梦中情人啊啊啊啊~            
(4星)	 看个破案片看的我如此揪心。。最后你们还是没有在一起。。            
(3星)	 到后来越来越吐血，感谢杜芊芊最后终于出场，以其坚韧的牺牲精神重新赢得男一号，而古天乐最终就背负着责任感接受她，可怜的萱萱只是个超级替补，只能退出，太令人郁闷了！编剧怎么想的出来的。            
(4星)	 案件比较扑朔迷离，比较有吸引力。不爽的是最后一集，徐飞居然还是和梁芊芊在一起，无语。            
(5星)	 文初和君好。徐飞和俏君。            
(5星)	 十年的念念不忘，经常把一些片段拿来看。以前的官配怎么看怎么顺眼            
(4星)	 古天乐居然用子建的配音 俏君的颜比雪凝 有过之而无不及 我去 之前因为感觉不如同名前三部 只看了一点点 原来他俩之歌是big big world             
(4星)	 这个IV居然分数最高。话说我这部里面特别不讨厌向海岚，我觉得芊芊挺不容易的。            
(5星)	 相当的经典，其制作之细腻，现在的港剧无法望其项背。            
(4星)	 佘诗曼厉害            
(4星)	 有幾個案子確實不錯，但是沒有靚女，而且感情戲也太多太無聊了。            
(5星)	 唐心如好动人            
(4星)	 如果电视剧结束在45集就好了，唐心死的也太狗血了。看到最后抱着俏君的徐飞无奈纠结的眼神，我又哭了，如果我是徐飞也会选芊芊的吧，徐飞和子山是幸福的，有两个女人为他们牺牲，为他们祝福。            
(NA)	 我承认我很无聊，又看了一遍            
(5星)	 牵手很甜蜜            
(4星)	 看了一半。            
(5星)	 =。= 看了以后觉得 爱情永远都是人生的主旋律啊 我喜欢唐心 不过这个演员演的角色都没有得到爱情 都是苦情女            
(NA)	 我始终还是没有在感情这件事上学到成熟。实在是不喜欢这部戏的感情线。如果有一天俏君失踪了，你也会找她三年吗？会一直找吗？这个问题让我想到苏州河。            
(NA)	 心愿已了。            
(5星)	 曾经最爱的一部戏.奠定了小古在我心中的地位.以及那首big big world            
(4星)	 结局很不喜欢            
(5星)	 港剧中的经典啊            
(5星)	 经典得没话说了，连电灯胆唐心我都爱，但阿man我死也不爱            
(4星)	 最爱剧目之一，无比无比希望古天乐和宣萱在一起~~            
(4星)	 结局不像TVB的一贯手法，所以也就经典了            
(5星)	 第四部也是经典！案情、感情都吼犀利！            
(5星)	 那时候的宣萱真美 第一次看港剧会哭 港剧女主角和脑残偶像剧不一样 都是有自己份工 独立 坚强的女人 徐飞俏君没在一起 man子山不知道结局 但是有些东西 不用讲出来 一辈子都会在心里 这是看过的最好的港剧之一了            
(5星)	 回味，回味，经典不可超越！我还是对两对的结局无法释怀。。。            
(4星)	 此系列一贯的喜欢~            
(4星)	 最后几集终于看得我起伏了点。并且出现了本剧最爱男性角色，郑东成……在他面前那俩男主都是个毛！！还有看一半的时候就在想，EX总是强大……唐小姐最不抵了！            
(5星)	 俏君。。很虐            
(5星)	 两段不同样貌的三角恋 如果放在一年前我再来回顾这部剧 可能会有满腹牢骚 然而现在 所有的遗憾所有的不圆满我都能自我说服 就像江子山说的 控制不了事情的发展 只能控制自己 谁都没有错 命中注定 得之我幸 失之我命 如此而已            
(4星)	 promise dont come easy            
(5星)	 并不是所有的圆满才是最好的。。            
(4星)	 有了古天乐这个故事，亮点就来了            
(NA)	 眼泪小丑，赢了爱情，却输给了命运            
(5星)	 就为了最后萱萱还钥匙的那一幕。既然不舍得，干嘛要理智啊？            
(4星)	 现在看来好多TVB的大牌哦 随便一捞就是一堆：林文龙，徐濠萦，魏骏杰，滕丽名，佘诗曼，邵美琪，总之好多...米啊哈哈哈            
(1星)	 太虐了= =            
(3星)	 古天乐啊~~~可惜没跟宣萱成为一对。。。唉。。。            
(5星)	 TVB最经典的系列之一。最爱武俏。当年TVB最佳情侣最佳影片。可惜，故事结局，一声叹息。            
(5星)	 古和宣真是太配了，不过还好宣没跟古在一起，各种风评看起来古是个咸湿佬啊。            
(4星)	 各方面处理比较平衡的剧。徐飞是古天乐角色里比较经典的一个，真心不觉得他离开TVB投身大荧幕是个明智之举。武俏君的个性太干涩，Man太嗲太苦逼，唐心还不错比小棠菜讨喜            
(NA)	 还是喜欢这样拖拉的，不习惯短平快            
(4星)	 港剧不能让人死心塌地的喜欢在于它的残忍……            
(5星)	 哎哟，萱萱和陈锦鸿怎么在一起了啦，哎哟~~~            
(5星)	 一切都因古天乐            
(4星)	 比阿凡达的剧本好多了&amp;看这么两段纠结的三角恋简直是自虐啊&amp;结尾太牵强了&amp;多年以后，仍难释怀            
(1星)	 编剧你狠!            
(4星)	 这么经典的剧我居然没完整的看过,最开始放的时候在电视上一看过但总觉得根本没看全,但等我想在电脑上追的时候,那个画面效果实在入不了我的眼,所以,可惜了.......            
(4星)	 这个令多少人纠结至今的结局呀~~~哈！不过，直到今天，我还是愿意做武俏君和唐心那样的女人......            
(5星)	 这一系列的都喜欢            
(5星)	 我只记得有人评价这一系列是亚视的噩梦。            
(5星)	 无言的结局……            
(NA)	 经典之三 绝对经典绝对绝对            
(5星)	 当你不相信命运的时候，你就开始杯具了。            
(NA)	 10年前的港剧真的好好看啊~~为什么TVB越来越天雷了？！看完宫心计雷晕~~            
(5星)	 剪不断理还乱            
(4星)	 案件BT，三角恋细腻而揪心。            
(5星)	 五十集看下来不容易啊。最喜欢碳头和阿成的故事。剧透唐心中途死了，所以从她出场时就在想会以什么样的方式死，保护子山吗，在哪个中途死，等了好久，眼看着就要结婚了，急啊，在编剧的指示下终于顺利死掉了，松了一口气ORZ~            
(5星)	 大爱            
(4星)	 世界上最无可奈何的三角关系            
(5星)	 雄哥的头，哇！！！            
(5星)	 从此不敢听big big world~            
(3星)	 似乎他们身边的人天天有命案···纯属消遣            
(4星)	 古仔不错            
(5星)	 飞君是心中永远的痛……            
(5星)	 个人少有的那么喜欢的TVB剧            
(5星)	 古天乐当时帅的，流口水啊            
(4星)	 又看了一遍，从三星到四星            
(5星)	 古宣。我最爱的一部。            
(3星)	 结局郁闷到了            
(3星)	 徐飞是应该珍惜芊芊，可是跟俏君分开还真是挺让人遗憾的~~~另外很不喜欢陈锦鸿这样的墙头草            
(5星)	 徐飞和俏君终是没有在一起。            
(3星)	 黄石街的案子好看            
(5星)	 徐飞，武俏君：“再这样，我舍不得”            
(NA)	 徐飞&amp;武俏君……            
(4星)	 永远的飞君。            
(NA)	 重温一遍，勾起初一回忆~~~感情戏经典，胜过刑侦戏            
(3星)	 古天乐最后和宣拥抱的时候,心疼.            
(5星)	 突然想再看。。            
(4星)	 武俏君是个好女人            
(5星)	 结局有点伤感，很喜欢宣萱这个角色。印象比较深刻，剧情波澜起伏。            
(5星)	 好好看呀：）            
(5星)	 大爱~            
(5星)	 TVB经典            
(4星)	 结局阿            
(4星)	 big big world因为这部剧变得好红            
(4星)	 乐乐            
(5星)	 有些事情一辈子都会放在心里，一辈子都会牵挂。不管在不在身边，都会在心里面。             
(4星)	 哎呀這個結局哦，把我糾結的            
(5星)	 香港破案剧的巅峰。            
(5星)	 案情、节奏、情感都很赞。            
(3星)	 无聊，感情戏泛滥，案子没几个精彩的。对于婉兰的做法极度不屑。            
(4星)	 有时间要重温            
(5星)	 以前觉得长 又不是原班人马 一直没看是SS给了我勇气 的确经典            
(4星)	 大爱君飞恋！            
(5星)	 俏君，你是我偶像！            
(5星)	 结局太差！！            
(NA)	 俏君 徐飞            
(4星)	 结局实在是。。。            
(4星)	 经典的“飞君恋”，我当时看并没有很大感觉，时候回忆觉得很值得品味，两个相爱的人最后没能相守，而如果他们得以相守，那一定是放弃道义的相守，如果他们能相守，是不是还会继续相爱呢？俏君会喜欢那个不是徐飞的徐飞吗？一开头就决定了结局如此。            
(5星)	 好遗憾            
(4星)	 大概看过挖。。。额。。。            
(5星)	 最爱徐飞～～～！！！            
(4星)	 太长了            
(5星)	 好好看！            
(5星)	 应该算是古天乐的经典之作，至今不能满意古天乐的喜剧电影！            
(NA)	 从此古天乐变成了回忆            
(5星)	 结尾徐飞没和俏君在一起真遗憾。为什么明明相爱却不能在一起            
(5星)	 永远令人唏嘘的飞君恋            
(5星)	 这一系列最喜欢这部            
(5星)	 刑侦剧中的经典。            
(4星)	 越看越替宣萱憋屈            
(3星)	 不喜欢这部。尤其不喜欢当徐飞最终还是回归了旧爱            
(5星)	 TVB中我的最爱，演员、剧情、配乐，一切的一切，都是那么恰到好处的经典。            
(5星)	 超喜欢古天乐和宣萱的搭配。            
(5星)	 最喜欢的一部            
(4星)	 男女主角转着圈的好            
(5星)	 最近重看，以前的故事真是编得好，不过真心不喜欢这个结局。兜来兜去，就是这个样子，天命难违。            
(4星)	 1999            
(5星)	 最后萱萱和古天乐的那个拥抱一直让我记忆犹新。            
(4星)	 宣萱和古天乐很配啊！            
(3星)	 看到36集看不下去了……            
(5星)	 永远的俏君徐飞            
(3星)	 结尾实在太烂了            
(4星)	 给了我很多惊喜啊！！            
(5星)	 经典爱情段子            
(3星)	 还有几集不想看了，虎头蛇尾            
(4星)	 可怜的唐心如啊            
(4星)	 子山配俏君？            
(3星)	 有狗尾续貂之嫌……好感不大。            
(NA)	 没前几部好看,但是喜欢古仔和景鸿            
(4星)	 那个时候还觉得佘诗曼很不错。。。            
(5星)	 两对都很般配！            
(3星)	 没原来的经典            
(5星)	 我不要求做你心里的唯一，但是，如果连第一也做不到，那我们还是算了。              
(4星)	 古天乐和萱萱这对好可惜~            
(5星)	 就算重来一次 我依然选择你            
(5星)	 90分。凶手都隐藏得不错。            
(NA)	 喜欢这部距~~最爱俏君            
(5星)	 令人心疼的俏君 完美的古萱            
(5星)	 宣萱和古天乐在走廊的离别。。。一直是那段时间很伤心的事            
(5星)	 这部侦缉档案非常精彩            
(4星)	 黑色皮肤的古天乐，开始中意！            
(5星)	 我的俏君啊。。。            
(4星)	 最后的拥抱让人泪流满面            
(3星)	 古天乐 宣萱 美丽组合 最佳情侣档 视帝与视后            
(5星)	 热爱！！！            
(5星)	 刻骨铭心的港剧！            
(3星)	 BIG BIG WORLD由此出名            
(5星)	 超感人！！            
(4星)	 武俏君            
(5星)	 黄石街一案堪称经典！            
(5星)	 该死的徐飞，让人又恨又疼的徐飞，懂事的俏君，坚强的俏君，啊啊啊，最最可恶的是编剧！            
(5星)	 I like it very much            
(5星)	 big big world这样的结局 虽无法接受 但也最适合宣宣            
(NA)	 大爱的电视剧，俏君转身离开的那一幕也成了最心疼的一段故事，另外佘诗曼那时还婴儿肥，很可爱的说            
(4星)	 古天乐果然演什么都差不多            
(5星)	 8.6            
(4星)	 她的名字是武俏君            
(4星)	 经典，TVB不复当初            
(4星)	 继续开始看电视。。。            
(3星)	 狗血的结局            
(4星)	 徐飞和武俏君的爱情啊⋯一声叹⋯⋯弄得我当年听big big word都特别伤感            
(5星)	 我最爱的古仔            
(5星)	 徐飞和俏君，Man和江子山，一声叹息            
(5星)	 曾经沧海难为水，除却巫山不是云            
(NA)	 广为称颂            
(5星)	 刑侦系列最喜欢的一部，当初看的时候很纠结徐飞和俏君没有结果的感情。重温了一下结尾，竟然发现最后和俏君在一起的是子山？！！！OMG~~~            
(4星)	 终于把50集啃完了，最初是冲着破案去的，却最后被戏里的感情纠结住。多希望徐飞和俏君可以在一起，但徐飞愧于芊芊，他们不会幸福的。我没有那么喜欢阿Man，倒是喜欢唐心的性格，然而任然唏嘘子山最后的孑然一人。旧爱和新欢，尊重心的选择吧。            
(4星)	 上来第一个案件就扣人心弦，情节一波三折！当年的古仔，当年的宣萱，好怀念TVB，现在狗血剧横行，经典如斯永远不复            
(5星)	 古天乐刚变黑没多久，我还在适应期            
(5星)	 剧情真的超不容易。            
(3星)	 太长了，案子不错，但是感情线罗里吧嗦，看着很累。光凭案子来说可以给个四星··但这纠结的感情戏实在是····            
(4星)	 刚重温过，案子还不错，就是不喜欢宣，对不起古            
(4星)	 难道冷静理智坚强的那一个就活该被伤害啊？            
(3星)	 被剧透，真难受            
(4星)	 古天乐。剧情好老套 = =            
(4星)	 去掉一颗心是因为狗血的唐心            
(4星)	 不错，123都是很小的时候在电视看的，虽然4的时候演员都变了，还可以            
(4星)	 看不够啊            
(3星)	 ，，，            
(4星)	 可惜了这对。。。            
(5星)	 很精彩！！！            
(5星)	 经典，纠结。相当不错。            
(5星)	 继续看第四季咯，不过主角全部换掉~~毕竟大勇和高婕已经在一起了~~现在看我们家的乐乐~~             
(5星)	 很久之前电视上看过，陈锦鸿vs佘诗曼，古天乐vs宣萱，只不过一直不记得是刑4...            
(5星)	 一个电视剧，编剧非要写成文艺悲情结局。烦不烦！徐飞就该跟宣萱在一起！            
(4星)	 看这剧喜欢佘诗曼的，喜欢阿man，让人心疼~可惜现在阿佘确实没有以前好看噜。            
(5星)	 古天乐最帅的时候都是当年拍电视剧的时候。。            
(5星)	 古天乐此后好像就没有演过这么正常的角色了            
(5星)	 看过最好看的刑事剧  每个案件都那么用心那么有创意            
(4星)	 古仔好帅             
(5星)	 我想编剧一定是个性情中人 相比案情纠纠缠缠的两男四女更煽情啊 不过故事的一开始我就知道唐心会死她一定要死不是死也是失踪否则会失去了故事的美感 最后一季还是看哭了 MAN要走了 最后在小酒吧里的那段徐飞远远的看着俏君电话的另一头是芊芊的声音 我想他此刻是有答案的 诶...编剧快去写            
(4星)	 我发现懂事的姑娘都没有好下场            
(5星)	 第一次看让我最揪心的是武俏君和许飞，后来再看我心疼唐心，也越来越喜欢MAN，还有被很多人忽略的芊芊，好好先生江SIR，每一个人都是鲜活的，都市中在他们身上似乎都可以找到我们的影子。尤其在纠结的三角恋里，他们每一个都那么勇敢却又那么善良。我心目中的经典之作            
(4星)	 那时候的港剧还是挺有意思的,虽然后面狗血了点            
(4星)	None
(NA)	 追过。            
(4星)	 真心觉得徐飞应该配俏君，芊芊应该配郑东成            
(3星)	 案子还蛮好看，比现在的片有脑子点，可是越到后面感情戏太让人看不下去啦，直接跳过两集看大结局。。。            
(5星)	 无法释怀的结局~            
(5星)	 唐心的死是在不能接受！子山跟唐心真心配！            
