http://movie.douban.com/subject/1761707/	天桥风云 모델
(5星)	这个剧狠神 暑假时电视台一二部连着播 我就这样看完了。那群模特 真是意气风发。
(5星)	经典中的经典～
(3星)	我一直覺得我沒怎麽受過韓劇的荼毒，結果算來算去還是看了不少。。
(4星)	高中时候看的，喜欢金南珠．
(5星)	我最易喜欢的韩剧，让我感动和感慨的成分都很多。
(4星)	矮油 这部当时还是留下了很深的印象的!!!!!!!!!!!!啧啧
(4星)	小学时候的最爱啊！边看电视边写作业！结局特别扯之外，当时觉得挺好看的。当时没觉得东健哥哥长得帅，现在也没觉得好丽友吃的惯~~~~
(4星)	觉得模特好洋气
(5星)	我的韩剧启蒙，年幼时的幻想对象——韩宰锡。。。
(4星)	从此往后恨死了张东健……。
(5星)	无法超越的经典。
(5星)	他们当年很年轻
(4星)	初一时跟家人到十二点的剧里面的每一个人亦好亦坏，很精彩
(4星)	看太阳的女人的时候想起当年的韩载硕~~赵远钧~~远钧哥~~再帅再好的男人也是要变老的~~
(4星)	原来我也看了这么多部韩剧~
(5星)	当初就是凤凰卫视播的这部片子把我领上道的。我那时候才十几岁啊～～张东健帅到家了，儿！
(4星)	第一部看的韩剧
(5星)	这简直是传奇和经典之作
(5星)	成就一大帅哥张东健
(NA)	非常非常非常长!
(4星)	我也年少过啊
(4星)	当年曾守在电视机旁看着他们的爱恨情仇，何其痴哇~~
(5星)	韩剧最爱
(5星)	初中
(4星)	最经典
(5星)	初中时候的最爱
(5星)	第一部完整看过的韩剧,难以超越的经典
(5星)	比起李政。。。我更喜欢赵远均
(NA)	最后个结局哭得我啊~~~~
(4星)	第一部看到韩剧
(NA)	唯一一部看完的-。-
(4星)	声色犬马的悲凉。
(4星)	还想再看~~韩剧启蒙之一
(5星)	经典。
(5星)	宋庆琳啊，看的时候哦很郁闷她喜欢张东健
(5星)	好老好老了……
(5星)	韩剧里最喜欢的。宋庆龄TAT可惜这之后对韩剧就“……”了
(5星)	也就那时候的韩剧好看点  现在都烂掉了
(4星)	彼时觉得很好看。
(3星)	看得较早的韩剧了，印象还不错
(NA)	永远记得自己看的第一部韩剧。永远记得最后张东健穿着金南珠为韩载硕设计的衣服在T台上的表情。
(5星)	我小时候对韩剧的唯一印象
(4星)	最早看的韩剧
(4星)	第一次见识韩剧怎么弄死男2号。。。
(5星)	我发现两件事！第一，小时候遭虐的脸长大以后都会变型！唐宋、宋庆哲还有GTO里小栗旬发育期三张脸放在一起长得一模一样。第二，我发现了张赫==
(NA)	那个遥远的年代啊，好怀念。
(4星)	小时候觉得情节有些拖沓,现在好多年没看了,不知道又会是什么感觉呢
(3星)	很久很久了
(NA)	东哥真帅
(4星)	拜我们那的地方台所赐。
(4星)	第一次看是小学六年级那会，为了当时迷恋的小政哥，我得给四星！！
(4星)	只看过两部韩剧——之一鄙视韩剧
(5星)	初中时奉为经典
(5星)	可以說是一部勵志電視劇吧！瘋狂的喜歡上主角，瘋狂的愛上裏面的主題歌,甚至連韓語都瘋狂的學習起來..已經成爲生命中不可磨滅的記憶
(4星)	小时候很喜欢看
(NA)	整容真神奇
(5星)	基本上是唯一喜欢的一部韩剧，看了很多遍还是喜欢~
(5星)	高中时最早开始接触的韩剧．．剧情，演员的演技．．都赞到没话说．．印象深刻之深刻．．
(NA)	还不错，没看完
(4星)	当时觉得很好
(4星)	看的第一个韩剧
(3星)	喜欢里面的金南珠，觉得她好有气质
(4星)	唯一看过并喜欢的韩剧。
(NA)	韩剧－－入门篇
(NA)	???
(5星)	最爱的一部韩剧了...嗯。no.1
(5星)	最先接触的一部分韩剧之一，十分迷恋。。。庆琳、远钧、小政。。。纠纠缠缠，对于韩载锡出演的角色，怎么老是让人家就在得到真爱前一刻突发车祸身亡阿。。。狗日的导演
(5星)	韩剧经典，美翻了……
(5星)	很好看的韩剧
(5星)	这恐怕是我看的第一部韩剧啦。初中的时候一直追着看呢。现在回头发现，那些昔日的新人如今已经是大明星了，好奇妙的感觉。
(NA)	经典之作
(4星)	阵容五星，剧情三星。完美的远钧，为日后的苦恋男二号们树立了一个太高的标准。
(5星)	金南珠的假脸真的美爆了
(5星)	摔！我说怎么那么眼熟，天桥风云里的远均哥啊！！！小学时候的回忆好么！！！每天中午吃饭的时候跑回去看，每次都为了能多看几眼下午上课迟到！！
(5星)	TAT 小政哥 当年超爱啊
(5星)	女主角叫宋庆琳一直一直记得。。。
(5星)	一下都找回来了
(5星)	远钧  
(4星)	这不是我小时候最爱的电视剧吗
(3星)	大概是我看的第一部韩剧…… 张东健太帅~~
(3星)	看过的第一部韩剧，然后就再也没看过韩剧。。。
(5星)	张东健！！！！！！！
(5星)	算得上是最早看的韩剧了 小学陪妈妈看的
(4星)	韩剧要是都能保持这个水准多好~
(NA)	小时候还不愤青。。张东健蜀黍真好看。
(4星)	韩剧曾经很好看
(4星)	瓦靠。小时候看得阿。当时觉得女主脚实在是太美了，长大后我才知道tmd是整地。男副一度成为理想的男副= =#
(4星)	原来我从小到大看过那么多韩剧..
(5星)	凤凰卫视追看完的第二部剧。那会儿寒暑假我妈不让我看电视，我都偷跑到邻居+我发小家看，有一天中午我睡过了，接到她气急败坏的电话：“快点过来！小政哥和宋庆琳上床了！”当时急死我了快，脸都没洗就冲过去了。以及，朴秀儿真是我永恒的爱。
(5星)	老经典的片了吧。
(4星)	不看韩剧很多年后跟迷韩剧的同学说起这部小学时跟邻居家姐姐一起看的韩剧来她们居然都没看过……
(4星)	最早看的韩剧，那个时候我就喜欢御姐型配角了！！今生的御姐配角本命！
(NA)	小政哥能不能不那么激进
(3星)	我试着去回顾老剧，但是失败了。不是因为剧情，只是服装造型道具都太老旧了，没法让人接受。很多东西就是这样，错过了就是错过了。再经典，《天桥风云》也只属于哪个90年代。
(4星)	早期的韩剧还是很好看的
(5星)	那个喜欢张东健的光头女印象很深。
(4星)	小时候看的，韩宰锁很帅啊。。棒子剧里好看的
(4星)	那个时候韩剧看起来....真好看...orz 
(5星)	实在很完美在当时
(1星)	电视抢不过妈妈，只好看之5
(4星)	最早看的韩剧
(3星)	看的时候就一直讨厌，宋庆龄那个角色，现在也是。
(5星)	印象中我看的第一部韩剧。金南珠美死了！
(5星)	印象至深
(4星)	这绝对是我韩剧的启蒙老师。
(3星)	小时侯看的了,但对演员的优秀演技过目不忘/
(4星)	当年的小政哥啊~~~
(5星)	我看的第一部韩剧
(NA)	看电视啊看电视。
(5星)	第一部韩剧。
(4星)	当年被李政迷得五迷三道的，这就叫男人不坏女人不爱，害了宋庆林，也害了我们这帮跟着流口水的花痴
(4星)	铁窗大概就是这里面的吧
(4星)	小时候的记忆啊~
(4星)	long long ago
(4星)	赵远均啊啊啊啊啊啊啊啊！！！！
(4星)	结尾太烂了。故事人物饱满，节奏不拖沓，不错的韩剧。
(5星)	我爱韩载硕
(5星)	梦开始的电视剧
(5星)	经典。
(4星)	之前有集没集的看过. 
(4星)	巨星云集！
(5星)	一部命运交响曲。
(4星)	我看的第一部韩剧啊。。
(5星)	好久远的记忆啊
(5星)	韩剧永远无法企及的高峰。我基本对第二男主角没有印象，从头到尾盯死小政哥
(4星)	心爱的人走了 留在心里 真的不好受啊！
(4星)	韩剧启蒙片
(4星)	唉
(4星)	韩剧启蒙。
(NA)	人生的第一部韩剧,但不是最喜欢的一部,最喜欢的是夏娃的诱惑.韩剧看的实在少.不感兴趣
(NA)	六年级的时候
(5星)	很喜欢的片子 金南珠和张东健真是般配啊
(3星)	相当有年代了。。。
(5星)	是韩国的韩剧中很出色的一部虽然是老片子但绝对具有收藏价值看无数遍都不会腻的片子
(5星)	唯一觉得好看的韩剧，断断续续看过挺多编，金南珠真是漂亮啊！
(NA)	原声也很棒
(4星)	张东健！！张东健！！
(NA)	06年的暑假~张东健的脖子怎么好短啊~~
(NA)	很早以前看的了^^
(3星)	我现在才发现我以前好喜欢看韩剧
(3星)	一群时尚前沿的俊男靓女，一出爱恨情仇的青春长剧，那口红涂得真叫红！
(5星)	初二还是初三 爱死远钧这样的傻男人啦
(5星)	我看得第一部韩剧
(3星)	只记得金南珠火红的嘴唇了，还有那华丽的扇子
(3星)	张大叔
(NA)	看过一部分
(4星)	是泡菜剧里面出类拔萃的一部，风格很欧美，主题也是。
(3星)	当时困扰于觉得远钧这个男人好好，为什么庆琳一直不珍惜？
(5星)	很早之前的韩剧 依旧很经典
(NA)	还不错
(3星)	故事太长太长了。。。剧情反反复复的
(NA)	小时候对他和她，对那些天桥上的人，羡慕得不得了~
(NA)	哎呀那时候觉得张东健好帅啊……
(4星)	看的第一部韩剧*
(2星)	这应该是我看的第一部韩剧了。
(5星)	喜欢金南珠与张东健。
(3星)	現在想來劇情很八點檔
(4星)	初中那个爱看啊..
(5星)	经典！
(3星)	第一部韩剧
(NA)	第一次看的韩剧
(4星)	看的第一部韩剧~
(NA)	我看的第一部韩剧--播于凤凰卫视
(4星)	看得人神伤~不知道结局.
(5星)	小时候看的最好看的韩剧
(3星)	一般般。
(5星)	小政！曾几何时，守着电视，只为天桥风云！
(4星)	啊! 小时候的最爱！~
(3星)	最早接触的韩剧之一。
(4星)	……可年的远均童鞋
(3星)	应该是我看的第一部韩剧。那时候被男二号电死了。
(4星)	到今天我只记得朴秀儿的身材是真好，最喜欢看她优雅的脖子~~
(NA)	俊男美女
(5星)	最爱看的韩剧
(5星)	韩剧启蒙~~
(5星)	太经典的剧了。。
(4星)	看过的第二部韩剧
(4星)	其实算挺经典的韩剧呢。
(NA)	俺家jdg
(5星)	韩剧中的经典之作
(4星)	从那时起开始有点儿喜欢模特这个职业~
(NA)	某人看的第一部韩剧~哎~那个小色魔~当年被电的。。。。。。
(4星)	还是比较喜欢以前的韩剧
(5星)	没那个韩剧能超越这部了
(4星)	纠葛
(5星)	为了小时候的最喜欢。为远均哥！
(5星)	这是看过的最经典的韩剧
(5星)	ms是我看的第一部韩剧。很喜欢里面的韩宰硕和金南珠。
(5星)	真相永远不如谎言美好，爱情永远比现实脆弱。
(4星)	很早就看了这部剧,那时候还小只是赵远均死的时候让我很伤心
(NA)	张东健，帅的……
(3星)	广州.妈妈.
(NA)	like it.
(5星)	经典啊，一直是最爱
(5星)	那会减肥的动力就是这个电视剧
(4星)	我的韩剧启蒙篇
(NA)	n早年前看过
(5星)	 一个时代的经典 抱着电脑狂哭
(5星)	喜欢
(4星)	第一次完整看的韩剧
(4星)	 天桥风云 
(NA)	1996？
(3星)	很老的片子
(4星)	从此我的韩剧史开始了
(NA)	启蒙
(NA)	觉得一般
(4星)	哈，從這片喜歡了張東健金南珠
(NA)	张东健！怎一个帅字了得？
(3星)	东健哥哥好帅-0-
(4星)	LOVE李政~~
(NA)	好看
(5星)	我爱的人他却不爱我天桥上在风光又如何
(4星)	唯一喜欢的韩剧
(5星)	我心中最经典的韩剧！
(5星)	教科书级的韩剧 
(3星)	有点忘了，很长
(NA)	貌似是第一本看的韩剧
(NA)	有关记忆的...
(NA)	对我而言  唯一的韩剧
(5星)	一见李政误终身
(5星)	我非常喜欢。金南珠太漂亮了
(5星)	小政哥真是帅啊.把韩国模特界的一些现象反映出来,很真实的嘛感觉
(5星)	最喜欢的一部韩剧
(3星)	金南珠整得真好看！
(4星)	爱情的影子笼盖多久？
(3星)	第一出看的韩剧，感觉挺新鲜的．
(NA)	这应该算是我看的第一部韩剧了~！
(NA)	接触韩剧的开始
(NA)	我看的第一部韩剧
(NA)	这也算是经典了~
(4星)	当时觉得金南珠真是太漂亮了。后来看了整容之前的..幻灭了
(4星)	利用在家午睡时间偷偷眯着眼看的旧时光
(5星)	当年绝美的帅哥们啊~~~~~~~~~~~~~~怀念啊！！！
(4星)	小学五年级。
(4星)	算是接触的早起的韩剧。对金南珠印象尤为深刻。
(5星)	经典不解释！
(NA)	【1997-04-09】
(5星)	我的韩剧启蒙剧，就是因为这部片我看了这么些年韩剧。
(4星)	这是我为数不多喜欢看的韩剧....
(5星)	当年张东健太TNND帅了
(NA)	我曾經很愛看吖親!!!
(4星)	小时候熬夜看的片子。伸展台，爱恨情仇。女主像蔡少芬。
(4星)	浙江台影视文化频道吃晚饭那个点，不知道什么剧场，每天放一集来着。
(NA)	只记得最后绝症死的那个菇凉。
(4星)	唯一的韩剧情结
(4星)	最早看过的吧，有些情节印象深刻。但现在提起，第一个想起的竟然是那个搞婚外情的model流产后躺在病房里对着来探望的女主角默默掉了几滴泪然后马上赶去公司化妆走台……对坚强女人的印象就是这么开始的吧
(4星)	当年我追着看完的。
(5星)	十年前和妈妈一起看的韩剧还不是脑残的韩剧
(4星)	小学看的
(4星)	有山楂的回忆。
(3星)	在看完《夏娃的诱惑》后看这部简直是一种折磨，好在当时对张东健的喜欢支撑完了全剧。
(4星)	可牛逼了
(5星)	韩宰硕太帅
(NA)	启蒙！谁没爱过远钧呢
(4星)	很早看的~
(4星)	这是我的第二部韩剧~~~我一去不复返的童年啊！！！
(5星)	早年的韩剧经典……
(5星)	这是童年啊！
(5星)	当年看的很来劲
(4星)	当时脚的好好看噢。。T____T..
(4星)	果然豆瓣是80后的天下，凡是属于80后的记忆的都是高分
(5星)	这应该是看得第一部韩剧吧，凤凰卫视开启的韩剧启蒙，然后是夏娃的诱惑
(5星)	全是美女~
(5星)	经典的小政哥
(5星)	童年 
(NA)	我到现在才明白原来天桥就是T台的意思 
(5星)	白沉迷了....现在在干吗都不知道
(5星)	初中韩剧军团扛鼎压轴呀！整个那种纸醉金迷的感觉，残酷的模特界以及又帅又无情苦逼的李政君！
(NA)	岁月不饶人啊 我是真爱你啊小政哥- -
(NA)	早期韩剧。
(4星)	年轻时候不可能不看的。。。
(5星)	记得以前是中午时段播出的，其实李政和远钧都挺好的。
(NA)	初中看的…暑假…凤凰卫视在播…对韩剧最初的记忆
(5星)	每天中午不睡觉啊。
(4星)	看了一半懒的看了，最近耐心大减，还是boss这种给力点
(5星)	最早进入中国的一批韩剧之一，初中时看的还是中文配音，即使这样，依然芭蕉到不行，反复看了好几遍，每每看到庆林在水中哭泣那一节就忍不住眼泪掉下来。
(4星)	一共没看过几部韩剧，当年这部喜欢啊。
(NA)	我的韩剧启蒙。真的好看极了！两大帅哥啊
(4星)	我已经遗忘了的经典。
(NA)	看的第一部韩剧
(4星)	这大概是我看的第一部韩剧...而且是小学4、5年级的时候，记忆这东西挺可怕的，一个小学生把天桥风云这几个字记了十几年...
(5星)	金南珠
(2星)	差不多是最早看的韩剧
(5星)	超爱的时尚剧，一下子回到过去了
(5星)	小时候完整看完的韩剧
(4星)	第一部韩剧，，，伸展台的故事那么惊心动魄，那年，还不知道什么才是最好的爱
(5星)	不得不说，我是看韩剧长大的孩子&gt;&lt;~
(NA)	这是小学看的吧。。。
(5星)	相当经典！人生中接触的第一部韩剧，那时还是初中时期每晚下了晚自习跑回家看，在凤凰卫视播放。反复观看了多次，每次都觉得这是韩剧中的极致！这么多年，除了人物造型相比之下有些土气了之外，其它完全无可挑剔！相当经典！绝对值得品味！极品韩剧！
(4星)	大概是看的第一部韩剧了~小时候每天下午守在电视机前看的~那个时候频道还没有改版~好像是十四台
(NA)	那会子我还因为赵远均死了哭的背过气去呢，真是怀念
(5星)	以前的韩剧还能看
(5星)	很早但却是非常赞的一个剧，剧本好
(NA)	那时候好喜欢看的
(5星)	接触的第一部棒子剧还是看的凤凰卫视中文台 后来通过电视台和借了CVD才全部看完连出得很山寨的小说也买了 每当一个人物要黑起来就真黑得给力 狗血+虐得很惨+伦理 好几年后都看不到这么腹黑情节的韩剧 坚持认为两男主最后绝对搞了基（当然现实中两位基友确有Y的表现资本 真心人不只我一个吧
(3星)	第一批引进的韩剧吧，逼着逼着也看了不少呢。
(3星)	韓流來襲首部曲,棒子劇啓蒙&amp;鼻祖
(4星)	总觉得没有完整看完
(5星)	我心中永远无法超越的韩剧！高二的时候为了小政和庆琳一度纠结不已。李政也自此成为我心中的经典。天桥是以剧情和人物性格取胜的，爱情，友情，事业，复仇，没有一部韩剧能把它们展现如此淋漓尽致！
(3星)	韩宰锡以前还是不错滴
(NA)	韩剧的开始
(5星)	我的远钧啊
(NA)	曾经很爱这部戏。
(5星)	我的赵远均~~
(5星)	经典中的经典 我的最爱！
(5星)	我心目中电视剧的NO.1，没什么可说的，让我再看多少遍也不觉得多。
(3星)	韩剧中的经典，小学时候迷上
(5星)	最爱的韩剧，没有之一。
(5星)	小时候看的韩剧，经典啊
(5星)	第一部韩剧 小学
(5星)	每个人物性格都很鲜明  都很喜欢
(NA)	有没有人跟我一样最喜欢看罗祥亮出场的 囧
(5星)	对金南珠印象深刻
(5星)	最爱的韩剧，没有之一。
(1星)	没想到我真的看过
(5星)	好多年前的经典
(5星)	第一部韩剧啊····
(3星)	童年的记忆啊~
(4星)	看的第一部韩剧
(4星)	这个片子的强悍就在于演出阵容暴华丽 == 可能那个时候大家都还没出名……金珠把某男二给害了 ORZORZ 于是某男二几乎就一直延续了对女一痴情却都得不到好下场的戏路了 ORZ
(5星)	经典之作。
(4星)	那叫一个令人难忘。。= =
(5星)	现在找这片子看 都找不到 很小的时候看的 小学还是幼儿园大班啊？小学吧..
(4星)	张东健 经典
(5星)	经典的电视剧，有智商。
(5星)	我想给十颗星行么
(NA)	两位老牌帅哥啊！！！
(NA)	十几年了，我看的第一部韩剧啊。话说那时的韩剧，比现在好多了，现在都口水化了。
(5星)	有时翻出来看，觉得里面的服装夸张的不得了，但是丝毫不影响情节，人物，这是我最早接触的韩剧，但也是现在最喜欢的之一。
(4星)	当年大爱赵远均
(4星)	虽然李政很坏，但是这时候的张东健真是帅啊~~~
(5星)	看的第一部韩剧 很喜欢 
(5星)	苏志燮
(4星)	能让我想看多遍的剧
(4星)	我已经忘了我爱的那个男人的名字了……韩宰硕是么……
(5星)	看的第一部韩剧，经典！
(5星)	初中时的记忆
(4星)	差不多第一部韩剧了
(NA)	唯一一部看得比较全的韩剧。
(4星)	我的韩剧启蒙
(5星)	总觉得编剧编得有点问题，，，但仍是很爱
(4星)	车祸。。。唉。。棒子就是喜欢悲剧
(4星)	已经有点不记得.金南珠很有范er.
(4星)	我的第一部韩剧 话说那时我还是小学生.
(NA)	张东健很好
(4星)	越看越觉得乱的片子
(NA)	经典啊，我那一去不复返的哥啊姐啊
(4星)	老早的了 还有印象。
(NA)	极致经典
(5星)	赵远均。
(5星)	神一般的存在～
(5星)	從此喜歡上張東健！
(4星)	仿佛是我看的第一部韩剧呢。赵远钧死的时候，全班女生都哭了。
(5星)	第一部韩剧
(3星)	美女和帅哥。其实剧情蛮脑残的。
(5星)	好看~~~
(5星)	我人生的第一部韩剧 那时才上小学 啊 却记忆深刻
(5星)	我觉得没什么好多说的类.这是我最最最最最喜欢的电视剧之一.韩剧之最啊
(5星)	太早的片子 勾起初一的回忆 那时西安有限5点半开始播。。。。一天两集。。但那会儿上学从姥姥家吃完饭回家都7点了，只能看个20分钟。。。实在不过瘾。。。不过还好紧接着的那个寒假。。。有重播。。才算了了我心愿。。。。ps:还有当时剧中宋庆龄这个名字实在让我雷了好久。。。
(5星)	哇 我的小学
(3星)	看过的第一部韩剧…血淋淋的嘴唇
(NA)	韩剧启蒙。。。
(5星)	悲伤，不愧依旧是韩剧
(NA)	大概是我看过的最爱的韩剧吧，韩剧之辉煌！勾起了我无限回忆，啊啊啊，还要再看！！
(5星)	张东健美美的手指呀，庆琳的短头发
(5星)	重看发现，张东健只有姿色，没有演技
(4星)	我人生中的……第二部韩剧！
(5星)	看的第一部韩剧  
(4星)	这样想来。。。
(4星)	完美的赵远均。。。
(NA)	看全的几部之一
(5星)	太经典了······
(5星)	人生中的第一部韩剧。
(5星)	我也想说一句，我的少年是献给了卫视中文台
(5星)	蛮喜欢的一部韩国早期的作品，后来看了第二遍还是觉得蛮不错，比起现在的韩剧那种不痛不痒的剧情真的好很多
(4星)	小时候，好怀念啊
(4星)	看的第一部韩剧依稀记得当时是很喜欢的
(4星)	小学时候的剧。就记得小政哥了....
(4星)	某女的最爱。。我没看全。好长啊。。
(3星)	小学到初中时候的片子，最近翻出来过了一遍，发现还是那时候的电视剧有意思~~~
(4星)	很小很小很小的时候看的。。。貌似是第一次看韩剧。。。。。
(5星)	帅哥美女啊~~~
(5星)	不喜欢看韩剧,初中的时候却跟了一次风. 感觉特别.
(4星)	高一看过
(4星)	小时候看的韩剧，只是记得还挺喜欢的，但是印象已经模糊了，只记得韩宰锡后来貌似被撞死了，模糊到看到这个介绍之前记忆中的女主是金喜善...
(5星)	那一年超级爱张东健
(5星)	当年很经典的片子
(5星)	心中的韩剧经典，无可超越！！
(NA)	绝对经典的韩剧，虽然金南珠整容整得夸张了点儿，但是张东健就是凭这个剧深入我心的
(3星)	让人期待的开始，终草草收场
(4星)	多年前狂迷东健阿加西时看的。李政那样的人是把握不住的，远钧那样的人是会被感动但不会爱上的——这就是我初中时的感慨。。。
(5星)	我一定要完整地看完它迟迟不能释怀的韩剧最爱
(3星)	小學看的第一部韓劇
(5星)	俊男美女 情节紧凑，韩剧少有的
(NA)	有天晚上去洗脸，哭了。妈妈问我怎么了，我说：　　“远均死了。”
(NA)	应该算是我接触最早的韩剧之一。
(5星)	我很惊讶，当我第一次看到这剧，居然有何我理想那么相似的角色——宋庆琳。
(NA)	初中毕业 暑假在广东
(5星)	这部相当好看啊！赵远钧啊赵远钧
(4星)	第一次看韩剧就是这个，儿时的回忆了
(5星)	都是我的青春啊。
(3星)	刚到美国的时候无聊得紧，别人给了这个DVD，天天窝在家里看，看得要吐，feel guilty得不得了，所以想到这个剧就想到guilty。
(5星)	寒流来了
(4星)	算是看过的第一部韩剧吧可圈可点
(NA)	真正喜欢韩剧的开始。
(5星)	一直没看完。。。但是看过的都说好
(4星)	忽然想起我也不是一部韩剧没有看过的
(4星)	至今喜欢
(5星)	李政李政李政好吧，我就是外貌协会的
(5星)	看了两三遍，第一次接触韩剧
(5星)	我看的第一部韓劇。
(2星)	那个年代的妆好老
(4星)	很经典的韩剧。我的启蒙啊~
(NA)	10年过去了 窝在角落里再看这部电视剧还是不停的掉眼泪。每个角色我都很喜欢。看到远钧深情的模样就想哭。心疼李政的毁灭，无可救药。喜欢庆琳的可爱，坚强，专业。不知道为什么，看这部电视剧，就会无法抑制的抑郁好久。
(3星)	还好吧
(5星)	我心中的经典，对远钧的死感到非常遗憾。
(4星)	我是真的喜欢那个时侯的张东健和金南珠啊~
(5星)	看过的第一部韩剧哦
(5星)	这部时装剧很好的记载了那个年代最好的时尚。
(4星)	第一部韩剧 
(5星)	我看的第一部韩剧
(5星)	那个时代还属于金南珠和韩宰硕~
(3星)	初二
(4星)	很久以前看的了，那时候很喜欢但是不懂，现在懂了，却也没那么喜欢了~
(4星)	那时候买了碟，一遍又一遍地播。。。。。。
(4星)	经典的韩剧~经典的韩星~剧情很紧凑~很嚣张~
(4星)	又一部童年的韩剧
(5星)	我深爱的 远钧 ~！！！！！！！！！！！！
(4星)	开始注意一个叫苏志燮的家伙。
(4星)	远钧~~~
(5星)	赵东健超粉
(NA)	我也想短暂的失忆
(5星)	韩剧里总有一个犯傻到死的人
(5星)	当年看的不想去上学，太喜欢张东健啦！！帅的一塌糊涂啊
(5星)	爱死赵远钧~
(3星)	小时候看的~张东健很帅~
(5星)	年轻时候的DG  帅！
(NA)	我的第一部韩剧
(NA)	我看的第一部韓劇
(5星)	当然是最经典的~~~
(5星)	最早看的韩剧
(5星)	无法超越的经典。
(4星)	彻底颠覆了我对男人的审美
(NA)	好老
(5星)	.额的第一部韩剧。
(5星)	就是忘不了
(4星)	很久很久以前看的……
(2星)	太长了..
(3星)	YB&#39;s beloved:)
(5星)	我就是喜欢远筠哥
(3星)	看的第一部韩剧
(5星)	看的第一部韩剧，张东健你太帅了
(3星)	早期韩剧不错,这个是俊男美女啊..后来的韩剧没诚意,只为出口到亚洲别的国家赚眼泪赚钱.
(4星)	小政哥~喜欢金南珠
(4星)	真是一经典韩剧，诚然，是一部无法超越的电视剧，即使是小学时候看的，也都印象深刻，他们的世界原来是如此复杂，所有光鲜的华衣，遮掩着人心的复杂
(3星)	最喜欢的一部,大家都在里面!!!
(5星)	远钧
(5星)	小时候看得无法自拔
(4星)	前几年又重温了几集发现还真土啊
(5星)	张东健在里面太帅了。
(4星)	好看！看十遍也好看
(3星)	忘
(5星)	天桥风云 张东健 金南珠 韩宰硕 经典
(4星)	我喜欢韩载硕
(4星)	我看的第一步韩剧
(4星)	早期看过还觉得好看的韩剧
(3星)	大概太长了，而我比较土，跟不上时尚
(4星)	好像是我看的第一部韩剧。很喜欢张东健，那时候。
(4星)	喜欢她是源于《我心荡漾》里的韩艾琳··
(5星)	帅哥美女云集的一部经典电视剧....
(NA)	我的第二部韩剧  
(4星)	偶看的第一部韩剧
(5星)	第一部开始看的韩国电视剧。
(4星)	首部韩剧
(5星)	从此迷上韩剧
(4星)	她跟李政一起就好了
(5星)	如果韩剧中有什么经典，那就是这个了
(4星)	“巨”片啊~
(5星)	韩剧中的最爱，
(4星)	我的第一部韩剧 觉得真的不错!
(5星)	张东健那时候真帅啊。
(3星)	老牌了
(5星)	小时候看的,非常喜欢
(NA)	姐姐很喜欢金南珠
(5星)	我的韩剧入门篇。
(2星)	小时候看的，都不记得了。
