http://movie.douban.com/subject/1786743/	老房有喜
(NA)	 初中是看过吧。            
(NA)	 赵薇的几个剧里，应数这个最值得回味了            
(4星)	 嚯嚯            
(5星)	 那个时候的苏有朋是我的初恋。            
(5星)	 犹记得那年的小鹏哥帅的呀……一塌糊涂的……            
(NA)	 这碟我有 其实还珠格格一整套我也有            
(3星)	 青春阳光的两只一去不复返啊~            
(2星)	 SB剧目。            
(2星)	 再次被胁迫            
(5星)	 我的最爱(*^__^*)             
(NA)	 挺早的了            
(3星)	 上海的风味            
(NA)	 陪看            
(NA)	 那个时候觉得苏小鹏真帅啊。吉祥真美啊。这部是我觉得赵薇演的最好的剧了。不骗人。            
(4星)	 那时竟然还喜欢苏有朋！            
(3星)	 大眼睛无敌 还有点张爱玲            
(3星)	 n年前看的了，哈哈            
(3星)	 两个人的爱情            
(3星)	 还珠格格的附属产物            
(3星)	 还不错。            
(4星)	 简单的小幸福。            
(5星)	 暑假，童年，老房子~            
(4星)	 蛮好笑的。。。            
(5星)	 这部超爱的 很喜欢那个里面的上海老房子和那些老故事~看了好几遍呢。。            
(4星)	 为什么你俩没有在一起……            
(5星)	 好经典啊。            
(5星)	 一集不落啊            
(5星)	 怀旧过来mark下            
(5星)	 偶像剧有没有。。            
(4星)	 初中那会儿看的吧，很温馨的夏天故事            
(NA)	 五年级？那时候好像超流行的= =            
(5星)	 不停看牙看，还是觉得他们俩应该在一起            
(5星)	 小时候好喜欢呢~            
(4星)	 80后都看过的吧~~~             
(NA)	 我外婆的最爱诶~            
(4星)	 小时候很爱看这个哎，一直脚着那个楼真有生活气氛            
(4星)	 那时候我正怀春。            
(5星)	 当时觉得老好看了！！！配角也很有爱            
(5星)	 有些东西不是用来分析来研究，只是用来回忆我们生命某个时段。            
(4星)	 当年看的很欢乐……同样很迷编手链这种= =            
(5星)	 最近老是翻出这些老片来看呀。发现十几年前上海的片子拍得都很有诚意呀。            
(5星)	 这部剧在回忆里格外美好~~            
(4星)	 童年的记忆总是很美好            
(5星)	 -v-那时候你们都还年轻啊，我还小啊-v-            
(3星)	 记得当时是沉浸在《还珠》的印象中，对这对是没有抵抗力的。现在回顾，真是单纯又简单的时代。            
(3星)	 ╮(╯_╰)╭老上海            
(5星)	 怀念。。            
(4星)	 国产偶像剧中还可以看的一部。反正比硫酸雨要强。            
(3星)	 邰哥在里面太有爱。            
(4星)	 薇薇和有朋我都喜歡~            
(4星)	 神奇貨 最近比較煩比較煩比較煩            
(5星)	 好看！            
(2星)	 那时候就觉得，这凑巧凑的还真是……巧啊……            
(4星)	 喜欢的。其实这个拍的挺好的，真的。            
(4星)	 我还真挺喜欢这部的            
(3星)	 小夫妻真可愛            
(3星)	 我成长路上的电视剧            
(3星)	 那时候觉得超级不错。赵薇和苏有朋的那种感觉            
(4星)	 预备班时热衷            
(3星)	 上海故事 曾经在火车上看见一个人像极了女二号            
(3星)	 我K，我当时是怎么看完的……            
(5星)	 那时候 小朋好年轻 哦            
(4星)	 不是98年长江洪水的时候的剧吗？            
(NA)	 朱桦阿姨转死人的月亮代表我的心            
(NA)	 补遗            
(3星)	 年轻就像卫生纸 看着很多 一用就没了            
(NA)	 天天在家里偷看            
(4星)	 那个时候还是不错的= u =            
(4星)	 很喜欢这片的感觉，可能是自己小时候见得太少了吧……            
(4星)	 当时喜欢赵薇得很呐！ 剪她剪过的发型 买她背过的包包！            
(5星)	 是一种回忆的情结吧。            
(4星)	 啊。。。初中时还蛮喜欢的。            
(4星)	 我記得有“楊貴妃”？            
(3星)	 邰志源            
(4星)	 和我姐一起看，挺怀念的            
(NA)	 关于这部剧的回忆只剩下小时候唱月亮代表我的心会被妈妈骂少儿不宜。。            
(3星)	 巫启贤的片尾曲，还很好听。            
(NA)	   很爱很爱很爱很爱很爱很爱            
(4星)	 我还写过续集呢            
(5星)	 很喜欢这个故事。            
(4星)	 挺动人的说            
(NA)	 年轻的时候真TM傻            
(4星)	 这部戏但是还是很喜欢看的，觉得苏有朋和赵薇真是绝配。            
(NA)	 VIVI～            
(4星)	 那会赵薇很年轻            
(3星)	 我外婆特爱看，主题曲很逗~            
(NA)	 那时候我上初三我同桌叫王艳冰，句号            
(NA)	 哇哈哈哈哈哈哈  豆瓣太可爱了  这都有            
(4星)	 赵薇苏有朋乘胜追击的一部......其实也还不错            
(5星)	 当时。当时。这个还是个很好看的片子的。总追着看..            
(2星)	 表哥表妹少爷。怎么可能？编剧秀逗了肯定不是上海人吧。            
(NA)	 我年轻时候的精神生活是多么贫乏啊~~~            
(4星)	 那时超级喜欢赵薇和苏有朋==            
(NA)	 第一次看他们的现代装，觉得很棒            
(3星)	 印象就是片尾曲：最近比较烦，囧啊            
(5星)	 女神啊女神。            
(4星)	 个人非常喜欢这部，那时的赵薇和苏友朋很青春的感觉            
(2星)	 人有那么象的概率？？            
(4星)	 这部我倒真觉得不错            
(4星)	 播出时段总和反法轮功冲突            
(5星)	 赵薇苏有朋演的电视剧中最喜欢的一部。经典。            
(3星)	 小时候满喜欢的。            
(5星)	 哈哈哈。老房有喜。            
(NA)	 表妹很喜欢看吧.在她家一起看了.故事够匪夷所思拍的够无言以对的...            
(4星)	 可年轻了            
(3星)	 还不错啦~            
(3星)	 还满有趣的，看了两遍，还在上海试图找那座教堂            
(3星)	 赵薇唯一一部让我不吐的片子 真不容易            
(5星)	 永恒的经典！            
(NA)	 。。我觉得很好看哎~            
(3星)	 呃 初中的回忆            
(3星)	 想当初初中暑假一日下午看的时候中途插播了某著名新闻            
(3星)	 那个时候的赵薇真可爱            
(3星)	 初中看的吧            
(NA)	 ??½ 1999 ???Ӿ            
(4星)	 很喜欢上海的感觉            
(5星)	 小时候最爱看了 ＝ ＝～～～             
(4星)	 当时姥姥爱看我就跟着看。小学时候了~            
(NA)	 我已经记不得故事的内容了            
(4星)	 哈哈哈哈！！！！！！！            
(4星)	 居然超级大配角是邰智源。            
(3星)	 ……            
(5星)	 表妹吉祥。虽然那个时候你的牙齿还是黄色的 但是我已经不能自拔的喜欢你了。            
(NA)	 吉祥表妹。            
(4星)	 当年很爱，追很紧！            
(4星)	 重新看，苏有朋当年帅气得简直能把眼睛刺瞎。            
(4星)	 那时候的赵薇才好呢            
(5星)	 还是你最好看~~            
(5星)	 童年的经典            
(4星)	 “我要你知道，这世界上有一个人是永远等着你的，无论什么时候，无论你是在什么地方，反正你知道，总有这样的一个人。”             
(5星)	 唉，现在的偶像剧也没有以前的水准了。。。            
(5星)	 当年可喜欢了，可惜没怎么重播过            
(3星)	 情节都有点忘记了==             
(5星)	 那时觉得多好看啊！！！！！每天吃饭就和爸爸妈妈一起看这个！！            
(5星)	 五星级回忆。            
(4星)	 童年的记忆！！！！            
(4星)	 那时候很喜欢啊！！！            
(5星)	 小时候可喜欢了。。            
(5星)	 绝对五星！            
(4星)	 很平实很诚意的电视剧            
(4星)	 赵薇苏有朋绝配            
(5星)	 最近在重温，关于上海，老房子，梧桐树，夏天，爱情的故事。            
(5星)	 怀念小时候。            
(4星)	 我觉得这是当年中国大陆最好看的青春偶像剧啊不容易啊            
(NA)	 我只是马克一下            
(5星)	 什么时候看都喜欢~            
(NA)	 哎哟我的妈当时我还小啊            
(5星)	 在一起在一起~            
(5星)	 你问 我爱你有多深~            
(5星)	 那时候很喜欢苏有朋            
(4星)	 那时候很喜欢啊 十二年了啊             
(5星)	 当时特别喜欢赵薇。。            
(5星)	 小鹏～～～帅死人！            
(3星)	 那时候多青春啊！！！            
(3星)	 算带一点喜剧吧。            
(5星)	 五年级的时候为了这部剧偷偷溜出去到同学家里看，那么多年回过头来还是那么干净那么有爱~            
(NA)	 表妹！            
(4星)	 我爱看这个，喜欢那一大串珠子。            
(5星)	 爱你。等你。上海。张爱玲，静安寺路。等一个人。。            
(4星)	 其实当时很好看的~和妹妹在姥姥家，看第二遍老房有喜的时候，突然发现还珠格格上2了，赶忙换台看还珠2。小孩啊            
(4星)	 森森地怀念青翀地睡月            
(NA)	 呀 很好看            
(4星)	 好喜欢，MD苏有朋那时候太帅了！简直成了我以后择偶的标准！哈哈……那时候就希望他和赵薇是一对呢~~            
(4星)	 吉祥。            
(4星)	 更多的是承载了年少时的记忆            
(NA)	 过去的回忆～呵呵            
(5星)	 当年太喜欢这一对了            
(5星)	 这好像是我对上海的最初印象。老房子。少年滋味。            
(4星)	 当年我好希望赵薇和苏有朋是一对啊。。如今小海燕都和窦骁同班了！！！哎~            
(4星)	 最近比较烦，比较烦，比较烦~~~~~            
(3星)	 海燕都大了            
(4星)	 当年，赵薇和苏有朋真般配，各种搭            
(3星)	 以前看的            
(5星)	 觉得里面的一切都美好。            
(NA)	 我无耻的只是为了增加与大美的共同爱好            
(4星)	 很自然 我挺喜欢的 小学五年级的时候            
(4星)	 苏小鹏和吉祥妞儿            
(5星)	 初中暑假的回忆。至今还能记起坐在电风扇下看吉祥和小少爷谈恋爱的感觉。            
(5星)	 真好看的童年            
(NA)	 苏有朋和赵薇的组合很经典。但一晃多少年过去了。小燕子也已经有了小小燕子。印象深刻的是这里面月亮代表我的心。            
(NA)	 当年好喜欢            
(3星)	 很早之前看的，记得不错看，挺温馨，而且邰哥演的那个秘书很好笑~            
(3星)	 当年为了看这部剧和爸爸妈妈打游击战的日子唉，一去不复返···            
(4星)	 带着回忆            
(5星)	 当时是多么的想赵薇和苏有朋在一起啊            
(NA)	 哈哈哈            
(4星)	 哈哈哈！            
(4星)	 比还珠格格二好看            
(4星)	 他们那时候那么年轻            
(5星)	 当年觉得这里面的苏有朋好帅            
(NA)	 额 小时候看的好起劲            
(4星)	 当年觉得他俩好配啊            
(5星)	 当时超级喜欢看╮(╯▽╰)╭            
(5星)	 經典哇。拍得很棒，每個晚上追著看。            
(4星)	 那个镜头苏有朋的笑容迷倒了多少人啊            
(3星)	 还挺喜欢这部戏的 多多少少有种上海味道            
(5星)	 苏小鹏~            
(5星)	 很温暖的回忆。            
(5星)	 好怀念 好怀念            
(4星)	 喜欢吉祥外婆那个年代的感觉，虽然还是赵薇演的，但感觉很安静，温柔的女子            
(3星)	 忘了啥内容了            
(5星)	 好喜欢当年的 赵薇啊            
(NA)	 记忆犹新            
(4星)	 那时候觉得苏有朋和赵薇真的很配啊~~好希望他们能在现实生活中在一起哦~~老上海  充满历史味道的房子~~            
(5星)	 某个夏天很喜欢的剧，很清凉舒服的感觉。            
(5星)	 表妹吉祥！！！好哇。太感动了。很喜欢在小房子里发生的那一件件小事。            
(4星)	 我觉得很好，那时候赵薇和苏有朋多年轻啊，喜欢这里面很纯真的感觉            
(5星)	 曾经温暖的回忆            
(4星)	 比较喜欢那个时候的赵薇。            
(5星)	 我还想看···            
(3星)	 印象最深的是那改编过的主题曲月亮代表我的心，连我妈都觉得好听！            
(5星)	 好怀念啊，一遍一遍地看            
(5星)	 喜欢 回忆里有快乐            
(4星)	 李梅...我记得那时候是FALUNGONG，新闻联播要播到很晚很晚。导致贵州电视台要延到十点才播。当时还没有电脑网络，概念也没有。就傻等着看。            
(4星)	 看完还珠就看这个了            
(5星)	 你问我爱你有多深~~            
(5星)	 又一老牌偶像剧了 喜欢            
(4星)	 那时候多爱赵薇和苏公子             
(3星)	 那时候的赵薇和苏有朋如此粉嫩~            
(3星)	   就是有时候居然会想再看一遍            
(3星)	 对上海的印象是从这里开始的            
(3星)	 当年，很青涩，很纯美            
(4星)	 童年的记忆            
(4星)	 那时候赵薇+苏有朋绝对是梦幻组合啊！就是有一天下午放了一半突然开始插播fa lun*gong，印象深刻            
(4星)	 印象深刻的赵薇！            
(5星)	 吉祥、苏小鹏~~好喜欢呀！！            
(3星)	 经典老搭档：赵薇和苏有朋.......            
(5星)	 不知道为什么评分这么低 我觉得很好看啊            
(5星)	 小学时期每天去上学的谈资。            
(4星)	 小的时候很喜欢 看过很多遍 现在想想那是多么纯真的年代 还有苏有朋和赵薇的那个手链 找了很多地方都没有买到一样的 遗憾            
(5星)	 童年难以忘怀的经典啊 帅气的苏有朋。。啧啧            
(4星)	 表妹~苏三~那时候赵薇和苏有朋好年轻啊~咱也很年轻~            
(3星)	 好怀念去院子里面的小朋友的家里扎堆一起看国产剧的日子。            
(4星)	 剧情不记得了 就记得看得很欢乐            
(4星)	 很久之前一部很喜欢的作品。            
(NA)	 这个很好看啊！拍的很有味道            
(4星)	 以前看的时候，觉得连火车双侠的故事都很梦幻。我总觉得大陆现在的“偶像剧”走了歪路，真的偶像剧应该是这部这样的。            
(5星)	 我很喜欢很喜欢很喜欢的 回忆 呵呵            
(5星)	 梦中情人，里面有我的            
(4星)	 哎呀 赵薇为什么没和苏有朋好呢            
(4星)	 苏小朋好帅。。            
(5星)	 青春啊            
(5星)	 还是记得插曲，我是真的爱你            
(4星)	 还是喜欢看到他俩演情侣。            
(4星)	 那时候的赵薇苏有朋啊~            
(5星)	 那时的赵薇和苏有朋很纯            
(4星)	 小海燕是个早熟的娃            
(5星)	 儿时的记忆，总是美好的。            
(5星)	 苏有朋太帅了啊啊啊啊啊啊啊啊。。。。。。。。。。和赵薇是绝配！            
(NA)	 演戏有时候就是如此，对于赵薇和苏有朋，有些角色，与他（她），不过一朝一夕，说忘就忘，与你与我，却是一生一世的怀念，道来，是我们青春的一段回忆·········            
(3星)	 很清新的味道            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 在《还珠格格》后赵薇和苏有朋再合作的电视剧。。。。怎么说呢，对里面的情节还蛮有印象的，。老房子里住的人。。。。            
(NA)	 只记得当年笑癫狂了            
(4星)	 那时候的你们年轻美丽            
(4星)	 月亮代表我的心。。            
(4星)	 匪我思存评价这个女人 赵薇其实我也很喜欢 有一种情意 随时可以温暖            
(4星)	 当时相当喜欢的电视剧啊~            
(4星)	 那时候我好喜欢苏有朋的。            
(5星)	 那时我们都还年轻，那样青葱            
(5星)	 纯纯的            
(5星)	 想想剧情都会笑出声~想当年 想当年            
(3星)	 纯粹是因为赵薇和苏有朋看的，╮(￣▽￣&#34;)╭             
(5星)	 评分居然这么低~想当年我不知道看了多少遍            
(NA)	 “我要你知道，这世界上有一个人是永远等着你的，无论什么时候，无论你是在什么地方，反正你知道，总有这样的一个人。”             
(4星)	 别说，我每一集都看了，记得还哭过一次，两岸三地演员都有啊！！            
(4星)	 对吴有利印象深刻。。。            
(4星)	 里面的角色塑造的很棒，无论主角还是配角的戏都让人看得津津有味            
(5星)	 喜欢赵薇 喜欢苏有朋~            
(5星)	 这应该算是最喜欢的电视剧了吧. 这么多年了,很少再遇到这么单纯美好的电视剧了..            
(5星)	 大爱大爱，纯纯的，理想的，现实中不会发生的，生活，正适合我这样的理想主义者。            
(NA)	 三代人的爱情故事  父辈的不幸让子辈明白真爱  吉祥和小鹏~很可爱的大孩子。院子里面的老老小小 喜怒哀乐。喜欢老上海的梧桐树，喜欢老房子的潮湿，喜欢纤美的大闸蟹，想尝尝阿庆嫂卖不出去的包子。小海燕现在变得真是漂漂亮啊。十年了，忘不了的美好~~            
(4星)	 当年的最爱,噢哟..当年看那个心揪得~            
(5星)	 这部片子勾起了一段回忆。            
(4星)	 这是我看的第一部偶像剧            
(3星)	 爱这两人的组合            
(5星)	 回眸一笑百媚生            
(4星)	 那时候真的觉得他们戏内戏外都是一对儿来的            
(4星)	 好喜欢的说，觉得赵薇和苏有朋好配！            
(4星)	 小时候的记忆哎~            
(NA)	 年年花相似 岁岁人不同。            
(4星)	 曾经我是多么的迷恋苏有朋...            
(3星)	 小赵飘起来的一部戏，在这部戏里，我是真的觉得苏有朋喜欢赵薇的            
(5星)	 当时超爱苏有朋赵薇！！            
(5星)	 喜欢的人，喜欢的地方，喜欢的故事            
(4星)	 为毛这个后来再也没放过了            
(5星)	 我好喜欢看            
(5星)	 印象中的经典，儿时最珍贵的回忆。那时候的“吉祥”很青涩，那时的“苏小鹏”很帅。            
(3星)	 以前可喜欢赵薇了            
(4星)	 看了好多遍，还幻想过。。=。=            
(5星)	 终生大爱@@##~！！！            
(4星)	 年轻时大爱。            
(NA)	 不得不说这绝对是经典的一部电视剧.....            
(5星)	 非常喜欢的国产电视剧，纯粹、清新，有点小曲折，没有半个坏人，不管吉祥的前男友还是吴有利都不是。。。这里的街道邻居三弦嫂们还是那时的赵薇都是我所喜欢的自然淳朴。。            
(4星)	 喜欢。            
(4星)	 这片挺好看的....            
(4星)	 我一直希望他们会在一起的~            
(4星)	 好看。。。哈哈哈哈            
(3星)	 呵呵。。好尴尬            
(4星)	 很狗血 但我当时很爱看            
(NA)	 看过的~            
(4星)	 该年代的电视剧这个还不错……            
(3星)	 赵苏2同学唯一一部能看的片子            
(NA)	 片尾曲是赵薇延长的月亮代表我的心，如果没记错的话，当时很喜欢，不记得是哪年播出的，只记得每天都在等着个电视。结尾的地方小感动了下，赵薇引用了张爱玲的一句话来表达对小苏的等待。我的神啊，那个年代，确实很感人。            
(5星)	 当时为看这个经常迟到            
(3星)	 童年。            
(3星)	 还珠之后，因俩主角的缘故，此剧稍热过一段时日。            
(4星)	 温软夏天·····初中            
(4星)	 小学时候看的。。            
(NA)	 “最近比较烦比较烦比较烦”            
(3星)	 到底是为什么大家不喜欢赵薇阿。挺好的姑娘啊。            
(4星)	 早期很有爱的一部电视剧            
(1星)	 有苏有朋在，就不会不恶心            
(4星)	 那会儿就觉得吉祥的名字咋那么好听。            
(5星)	 要放到当年看，不能用现在的眼光。            
(4星)	 有些对白非常非常写实，上海就是那个样子            
(NA)	 貌似不喜欢来着，可能都没看全...            
(4星)	 多年前夏天的回忆～又重温了，好怀念那些旧时光~~~            
(NA)	 仍旧记得看到一半突然变成发愣功了= =            
(4星)	 我真是老了吗。            
(3星)	 我当时还想，哈，又是你们俩            
(4星)	 我喜歡看誒。            
(5星)	 恩。            
(3星)	 N年前的赵童鞋~~            
(NA)	 完全玩弄观众智商。            
(NA)	 小时候好喜欢！            
(4星)	 当时的偶像们演的剧，也叫偶像剧吧            
(3星)	 其实这个真的还可以啦。            
(3星)	 喜欢片尾曲~            
(3星)	 小学的回忆            
(4星)	 那年我还年轻~            
(4星)	 暑假里看的..有爱的是老师那个类型..            
(5星)	 十年前,此片让我最不忍的是那段民国苏三李眉恋,可怜乱世小儿女.他们再也没有那样清亮的眼神了,SIGN!            
(4星)	 呃 小学时候看的 对上海的最初印象来自这里            
(NA)	 啊哈哈            
(3星)	 初中看的呢 觉得那时候他两很般配            
(2星)	 有喜了。。到**女子医院呀。。。            
(3星)	 真是奇妙的故事。很早很早之前。            
(3星)	 为赵薇趁热打铁拍的 不过一般啦            
(2星)	 我怎么当时就迷上了。            
(3星)	 剧情不靠谱，纯看美女帅哥，period.            
(3星)	 现在都不太记得剧情了~~反正就是有点儿故弄玄虚的样子~            
(4星)	 多年前的暑假            
(4星)	 挺可爱的一电视剧。趁还珠的热打铁型。赵薇很纯净。            
(NA)	 难得清新岁月            
(2星)	 简直是为老编故事而编故事            
(NA)	 小时候和妈妈一起煲过的电视...            
(4星)	 怀念            
(3星)	 想當年還是狠狠的讓我喜歡過的。。。            
(5星)	 哎哎哎            
(4星)	 原琳姐姐那时的最爱.            
(4星)	 小时候明亮的记忆            
(4星)	 表妹吉祥            
(NA)	 比情深深雨蒙蒙强多了            
(4星)	 那时候多喜欢赵薇的发型啊~~~~            
(3星)	 剧情很糟。当年搭着还珠的顺风车。不过上海的老房子还是很有味道。            
(3星)	 当年的模范小两口 二度合作啊            
(NA)	 喜欢            
(NA)	 G的家。没有心事的早晨。            
(3星)	 小时候看得            
(NA)	 只记得最近比较烦和月亮代表我的心了。            
(4星)	 小学的时候我好喜欢看啊=.=            
(4星)	 曾经可爱的赵薇~            
(NA)	 苏有朋画的是美少女战士吧            
(3星)	 对赵薇有一集里暗红配墨绿的衣服相当清晰，当年她真年轻            
(4星)	 这个~            
(4星)	 我就挺喜欢赵薇和苏有朋的……= =            
(4星)	 上海 老房 表哥 表妹            
(4星)	 挺好看的！            
(3星)	 上海里弄里的故事            
(4星)	 当时比较流行的言情剧            
(4星)	 邰智源 演的 吴有利 .....             
(5星)	 好看，吉祥和苏晓鹏！我喜欢他们。要是真能成一对该多好！            
(3星)	 记得那个吉祥。。。            
(3星)	 我非常喜欢苏在里面的女朋友~            
(NA)	 呵呵，高中那帮姐妹一段时期的谈资，女人是可以为了爱情不顾道德的，你说的没错。怎么能不老啊，我们这一代人的青春期都拖得太长，小海燕现在都开始演《一不小心爱上你》。            
(NA)	 曾经有爱。            
(3星)	 肥皂泡泡            
(4星)	 当年赵薇多青春啊~~            
(3星)	 那时全中国人民都对着赵薇笑            
(3星)	 初一            
(4星)	 看到现在的赵薇总是想到当年刚出道的时候            
(NA)	 还在读初中的时候看的吧。            
(3星)	 表妹吉祥~~~            
(5星)	 吴有利最高 ooo。。。。。。。。。。            
(5星)	 不厌其烦。            
(4星)	 喜欢那个歌 ~最近比较烦 当时多喜欢的             
(NA)	 据说是她自己的衣服            
(4星)	 苏小朋,李媚~主题曲是月亮代表我的心...            
(5星)	 小时候就觉得上海人特势力。            
(1星)	 叫什么吉祥，真够老帽的            
(NA)	 还珠效应。            
(4星)	 那时很风靡...            
(5星)	 萌啊            
(3星)	 刚看完还珠格格看的             
(3星)	 怀念，还是怀念            
(3星)	 没什么印象了已经~            
(4星)	 小时候跟妹妹一起看            
(2星)	 后面纠结的真可怕~            
(5星)	 因为这部片子才开始喜欢赵薇……            
(3星)	 上海的典型故事            
(3星)	 继还珠格格后赵薇和苏有朋继续合作的爱情片..那时刚小学毕业..傻兮兮的追着看..            
(3星)	 好老的片子啊……怀念。现在看起来，苏同学的名字起的真有特色……            
(4星)	 其实我想说我还挺喜欢~            
(2星)	 这个我没话说            
(3星)	 还珠格格趁热打铁的后续，高中的我竟然还真兴致勃勃地看完了。可怜啊，大好的学习时光啊，就这样被我糟蹋浪费了。            
(4星)	 很有上海的感觉            
(NA)	 小学吧~~也看了很多遍~~            
(3星)	 神。俺不记得放了什么内容了。            
(4星)	 上海和台湾的气息。金童玉女。            
(4星)	 当然好看。上海的印象一部分来自它。            
(4星)	 令我有无数冲动想去上海            
(3星)	 还行的            
(NA)	 这个是小时候看完还珠格格后又一个吸引我眼球的力作,确实好看!!灰姑娘故事嘛~~            
(NA)	 赵薇苏有朋～            
(NA)	 当时很则近            
(4星)	 曾经被感动过。            
(NA)	 古            
(3星)	 初中看的            
(3星)	 因为赵薇 所以看看。苏有朋在这里有点奶油 有点帅。赵薇的头发像狮子            
(3星)	 。。。            
(5星)	 赵薇的为数不多的不招人各应的作品            
(3星)	 觉得他们很般配是从这里开始.很喜欢上片子关于上海关于民国关于命运.最终他们在一起了.这就是命运.            
(NA)	 好可爱的故事            
(NA)	 不好意思我看过= =            
(5星)	 我还真挺喜欢这个的。            
(NA)	 那时候的赵薇很红，那时候觉得这部片子无比轻松美好。            
(5星)	 初中时候曾经给我过我寒冬中的温暖            
(NA)	 喜欢            
(3星)	 很多年前看过的GB向国产连续剧               
(3星)	 清純的趙薇            
(4星)	 真挺好看的!            
(4星)	 高中时看的电视剧！            
(NA)	 哈哈，又是小学时候看的。            
(4星)	 多配的一对啊！猪吉祥，吉祥猪！            
