http://movie.douban.com/subject/4922426/	绝望主妇  第七季 Desperate Housewives Season 7
(5星)	 秘密和同情，是女人之间友谊最好的黏合剂。            
(4星)	 本来是想打三星的，中后段实在有点儿boring，不过finale再次让我振奋，尤其是Lynette这段，虽然一如既往的对这个角色无感，但是那种感觉还是能够体会            
(NA)	 carlos赞爆了！！！！            
(5星)	 现在我也是看到S8E9的人了 等着冬歇回来一集一集追了            
(5星)	 呜呜呜不舍得，就快大结局了，lynette和tom真让我生气！哼！            
(4星)	 第10集我哭的好惨。。。            
(5星)	 很            
(4星)	 这一季剧情稍微力不从心，前面过于和缓，最后三集才算紧张起来。虽说天下无不散的筵席，不过还是希望lynette和tom不要分开。最后一集，四个女人穿着火红的衣裳在商讨怎么隐匿尸体，cool。            
(4星)	 太好看又看完了怎么办，第八季还出啦？            
(5星)	 不知不觉又看完一季了，secret。。。。            
(4星)	 估計第八季就是那啥警察跟bree因為幫兇事件鬧翻吧            
(4星)	 比上一季精彩            
(NA)	 无限欢乐            
(3星)	 岁月的痕迹在Susan和主妇男人的脸上留下了深刻的迹象。然而这一季明显编剧有些抓头挠额了，卖Bree&amp;Gaby的腐点、Chuck被疑似Gay、Paul和阴森老太的未了事，╮(╯▽╰)╭。完全没料到Lynette会和Tom分手，结尾又是大坑！【烦死Susan了！！！            
(5星)	 累死我了，一共追了3年了            
(4星)	 这一季非常喜欢RENEE            
(4星)	 这一数，发现都看了五年了T T            
(4星)	 这一季没有什么亮点。。。V加盟完全是打酱油的！还好最后一集来了个大逆转~~~            
(4星)	 季终集看完有点舍不得……            
(4星)	 这季没多少亮点了，除了lee婶。W女王太酱油，远不如上季的angela。            
(5星)	 习惯了主妇们的存在，五年的风雨，都有你们的陪伴。无论被选为最不值得看的美剧，或被批斗，我都是那堆固定观众中最铁的一个。            
(5星)	 終于！            
(3星)	 一集弃            
(5星)	 本季最后一集，主妇们齐心协力让我惊呆了！！！！            
(5星)	 结尾也太绝望了吧。。。            
(5星)	 &lt;22&amp;23 完结&gt;新来的Renee气场绝不输四位主妇啊，希望下一季还在。这季最惨的应该是Gaby吧，好不容易找到自己的亲生女儿却又要被迫分开，那几集是这季最好看的。Bree的春天是一拨接一拨的啊XD断指阿姨太恐怖了。            
(5星)	 carlos没有胡子的样子很怪。renee也代替不了edie的地位。bob和lee依旧是最喜欢的。这一季的情节很一般。但是看了这么久，第八季还是会追下去的。            
(NA)	 坚持追的不多的美剧之一            
(3星)	 随便拿几集美剧来剪一剪，弄成90分钟，就超过“白蛇传奇”这种国产大片了好么！            
(5星)	 这是一部真正的好剧，讲的是真实的生活和人性。它既没有锦衣华服、没有狗血情节、没有惊悚暴力，也不会让你痛哭流涕，但是它容纳了各种人生的缩影，相当意味深长。            
(5星)	 期待大结局~~爱死你们了            
(NA)	 可怜的Gaby...可怜的Carlos....            
(5星)	 越看越好看！            
(5星)	             
(NA)	 终于看完了 破羊回归了就好玩多了 有S1的感觉 但是我还是最爱S6 下一季居然要大结局了 虽然感情木有很深 但是还是有点不舍的 突然想到OTH还能如此坚挺真不容易 不知道是哭还是笑啊            
(4星)	 编剧也觉着susan招人烦所以这季让她有点儿小可爱了吗？期待下一季，很难想象lynette和tom会分开。            
(5星)	 最爱。 能追到现在已经感觉她们四个就在身边了。 这季最后Lynette和tom好戳心啊 七季下来最终还是要分道扬镳了 susan还是我的傻大妞 又乐观又乐呵 mike你一定好好好爱好好保护 garb还是我的garb 9月25快点儿回归吧             
(5星)	 finally finished! 情节紧凑流畅。从第三季直接跳到看第七季，基本可以顺利接上~            
(4星)	 Online            
(5星)	 莫名其妙感觉这是最近在追的最好看的美剧了！！！不知道是因为它自己太好还是因为别的太烂！我不明白！！！            
(5星)	 最不可能分开的，Lynette和Tom居然分了！Bree和警探好有火花。            
(4星)	 這季感覺沒啥看頭阿            
(4星)	 主妇们又成功的坚持了一年Gabriel 和 Bree还是这么美            
(5星)	 S7给5星。又有了最早的那股子desperate劲儿。            
(5星)	 这季Finale太棒了。            
(5星)	 时间跑呀跑，我在后面追呀追。第七季finale了，是不是每个看DH的女孩纸，最后都将成为绝望的主护。            
(3星)	 好几次处于停看的边缘，基于惯性看了下来，细节越来越粗糙了，靠大剧情走向带着人走。            
(4星)	 一切都出于善良            
(3星)	 太无聊，很失望。            
(4星)	 又一季结束了~            
(NA)	 演Paul Young的那个演员肿么久那么像小布什            
(4星)	 呼~哇。。。再一看觉得都好可爱的人们呵呵。。。            
(5星)	 我真的太佩服美国的编剧了！！！！矛盾冲突矛盾冲突我爱矛盾冲突            
(4星)	 没前3季好了            
(5星)	 W的尖牙利齿 就是冲这个来滴！！！            
(5星)	 无论如何都最爱的美剧。            
(4星)	 虽然还是围绕这群生活无聊、整天在一起八卦的女人，但是还是吸引我了三年            
(NA)	 23            
(3星)	 老梗了            
(4星)	 我其实一直觉得paul young挺可怜的不过这集所有的主妇确实都表现得可以红色入党一般高尚了点儿，gaby继父是ugly betty里面betty的爸爸- -~而且这算是客串吧！so快就死翘翘了~L和T这一对让我很难过，不知道为什么忽然之间忽然之间就这样了，希望他们还像原来那样            
(5星)	 某人说看了能提高EQ  带着这个意识看 还真有那么回事            
(5星)	 carlos剃了胡子都不认识了...还是大胡子可爱!!            
(4星)	 Renee这一季完全是打酱油啊，当初第七季把她宣传得那么到位，片花海报都以她为主，可是一季完毕，却发现Renee完全是一个打酱油的角色啊。不过这一季主妇们的变化还真是大，Su不再傻里傻气；Gaby越来越像一个妈妈；Lynet与Tom的婚姻也出现危机；Bree也为了爱情牺牲了很多。            
(5星)	 太好看鸟！！！            
(5星)	 又开始漫长的等待 自己@燕窝            
(5星)	 最爱Gaby~~~            
(NA)	 暑假了……            
(4星)	 男有TOM女有SUSAN，你们可以携手去死了NC一口一            
(3星)	 破羊回归2小时终结版以为是大结局了，结果居然说还有第八季啊。。。            
(5星)	 多么难得，七季了还是这么好看……            
(5星)	 我会不会成为下一个lynette?            
(4星)	 开始没有那么讨厌SUSAN了。            
(5星)	 这季的结局真是留了一个很大悬念啊            
(4星)	 到后面开始给Susan乱安性格特征~为了讲故事而讲啊。。            
(4星)	 丑女里的Williams带着她的尖酸刻薄来到了主妇的身边            
(3星)	 kinda boring            
(5星)	 为勇敢坚强的GABY鼓掌，越来越喜欢BREE，L和TOM终于分了            
(5星)	 classic!!            
(3星)	 三星半，这一季真的是使之无味弃之可惜啊。当年是多棒的一部剧集啊，转眼就要走到剧终了，内心各种感情，真是说不上来啊。            
(5星)	 看一集，感叹一次美剧编剧团队的强大            
(5星)	 追了这么多年了。。。            
(5星)	 每个周一都是DH night=3=最后一集实在长。破羊听了苏三那句你是个好人选择了自首。精神病终于在逃跑的时候也发生了意外。这个困扰好多集烦死人的问题终于结束了。L&amp;T这对渐行渐远分开也是解脱。susan有几集实在恶心。bree终于开心些了！最爱719！            
(4星)	 我真的是爱看DRAMA剧。。。== 哈 下季继续追！            
(4星)	 终于完了。天哪7年了，还有下一季！            
(5星)	 本季的最后两集好伤感。            
(3星)	 居然从大学开始也追了七季了。下季暂时不打算追了。            
(NA)	 bland...            
(4星)	 焦急等待第八季            
(5星)	 尼玛有十星吗？            
(5星)	 依然喜欢。            
(5星)	 赶紧出第八季啊！！！            
(3星)	 熬到第七季必须平庸了，但最后Carlos变成杀人凶手，Tom家离婚，使得第八季居然能神奇的够昂~~好吧我继续追            
(NA)	 剧情越来越突兀，可还是要看不然哪里又有八卦又有谋杀，有够无聊。            
(4星)	 又是悬念狗血的结尾啊 这季。。。            
(3星)	 弃之            
(4星)	 结束鸟~泪奔            
(4星)	 看完了 后面四集连着看的 感觉编剧已经很疲惫了。。。            
(4星)	 結局有點不給力啊.. 看到第七季根本就不記得以前發生過些什麽了            
(4星)	 有人想要摆脱过去，有人想要留住现在，有人渴望新的开始，又一个精彩的结尾，真希望可以一直演下去。这季刚开始很无趣，但后半部分越来越好，雷乃也越来越进入角色了，大结局里她没有走，难道会成为常规角色？            
(5星)	 Paul啊…            
(4星)	 最后集吊大胃口了，总是不免唏嘘你们的绝望，不免偷偷佩服你们的小聪明            
(4星)	 Willie和Betty的爸爸啊！            
(4星)	 The end will be OK.            
(4星)	 不如前面几季，vanessa的加入不痛不痒，gaby的戏份比较无聊，唯一好评是bree的新男友            
(3星)	 最好看的果然还是宣传片,当初看到W女王来临,那个激动,似乎能在紫藤接掀起一场腥风血雨,结果是那样的虎头蛇尾,后面干脆每集打一个酱油就完事了. 只能说是延续了五六季的平淡无力. 不过最后一集让人看到了好转的迹象,人物事件穿插的颇为自然,很有前四季的风韵,寄希望于第八季了!            
(5星)	 终于等到了！千呼万唤始出来！            
(NA)	 ... 繼續等season 8            
(NA)	 第七季完结            
(NA)	 转眼七年。看完这季，难过得厉害。。。            
(5星)	 这季的人物性格好鲜明,Renne真有味儿,练听力也不错~            
(5星)	 爱死bree了            
(3星)	 那个继父太年轻了好嘛            
(3星)	 这就是完成任务一般看完的一季。很多无缘无故的仇恨无缘无故的闹剧。那个黑子来不知道除了得瑟还有什么其他作用。苏三大婶越来越傻逼了。bree也骚的不知跟个什么似的。有那么饥渴么？            
(4星)	 继续胡搞瞎搞一锅粥            
(5星)	 真心愛。            
(5星)	 为毛越来越阴郁了。。。我想接着当个傻乐的二货也不行吗？            
(5星)	 终于我对susan有所改观了，友谊是无价之宝!!            
(4星)	 真的好烦Susan！Gaby依旧美丽！Bree是这季我的新欢！            
(5星)	 从大一开始看哈哈。哪能看第八集喔            
(4星)	 七年了，第八季都出来了诶。            
(3星)	 每况愈下            
(5星)	 没有胡子的carlos我以为换演员了。。            
(5星)	 编剧大人心情不爽么？这一季写得忒灰暗了            
(5星)	 第八季就要剧终了。。。唉            
(2星)	 臭又长            
(5星)	 唯一追的美剧            
(NA)	 susan delfino represents everything i hate about women！             
(4星)	 这个郊区真不安宁            
(5星)	 恩仍然非常喜欢。本剧除了第四季折腾了点，其他的我都非常喜欢。            
(4星)	 这一季太零碎了，感动时刻是Lynette对Tom说，“那一周里我在家看着妈妈在厨房做菜，我想这道菜我也要做给Tom吃，哦不对，也许我的生命中从此没有Tom了”第106季            
(5星)	 rt自由发言            
(4星)	 靠编剧明显换成非专业的矫情派了，难怪要被叫停！            
(4星)	 20110723 前面几集看的我就哭了好几次 Bree和年轻小伙在一起很好嘛 C的胡子什么时候长出来啊要730 一天看了十来集 我相信人与人之间的情感            
(4星)	 中间有点无聊了==            
(5星)	 不是很喜欢雷尼的角色感觉有点多余。结尾不够前几季跌荡，不过几个人的友谊很让人感动！            
(NA)	 soup opera can be the best medicine            
(3星)	 真是快成悬疑片了吧，哈哈            
(4星)	 我喜歡renee！            
(4星)	 omg 苏珊都老成马了            
(5星)	 嗯，看完了。每个主妇我都很喜欢！最喜欢的是susan，一开始就是！虽然这家伙有时也很2.            
(5星)	 终于追上了！非常爱！            
(4星)	 终于看完了            
(5星)	 When friends live apart,they sometimes grow apart,too.（这一部有Gaby和Bree的百合情啊）            
(NA)	 Our lives are brief,That,why it is importent to search for meaning,we find it in  the warmth of our friends,or take care of our faith.            
(5星)	 lynette和tom最终还是会好起来的吧？下一季快出来吧！            
(5星)	 这一季好像死了很多人呐。。。            
(5星)	 第七季出现了很多其他剧的演员啊，比如SN的Meg，比如UB的William~            
(5星)	 期待第八季            
(5星)	 完美收官            
(4星)	 要么做他的妻子，要么做他的前妻，真心喜欢GABY，看到这一季才发觉，她们四个人的性格特质越来越明显，每个人身上都有可取的，不可取的。SUSAN的热心善良，LYNET的善于与丈夫沟通安慰，爱GABY的固执自我美丽，突然觉得唯有BREE觉得越来越没用处了。            
(3星)	 这一季是想向希区柯克致敬还是怎么的，又是浴室又是藏尸箱。            
(NA)	 越来越喜欢BREE            
(NA)	 又追完了一季。。            
(5星)	 第七季编得很好。            
(5星)	 人生的跌落。都在这7部里！片尾的总结总是很深奥，好奇的是那一条街的主妇们几乎都交叉睡过了！很是强大。 但是不影响这部片的意义！            
(4星)	 还是最喜欢前几季            
(5星)	 每一季的最后一集总是惯例的乱套，当然这也是为什么大伙儿对这部本来只能算是家庭肥皂剧的片子这么多年却口味不改的重要原因。而目前来看美剧最长的能有四十多季，但内可都是上个世纪的老古董了，所以几位主妇们坚持着吧，这种状态拍个两位数儿以上没什么问题。            
(3星)	 这一季的很多剧情已经开始让人觉得编剧黔驴技穷了。lynette最后的那个结局让我都不相信爱情了。            
(5星)	 虽然中间段看的很睡            
(4星)	 这季不好看了。            
(4星)	 迄今为止最最纠结，最最憋屈的一季orz虽然看着主妇们绝望的生活着的时候，很是揪心，but，要是没有这些狗血的accident，我就看不到她们啦~遂觉得还是祝愿她们越来越绝望比较好，这样我就可以看第八季，第九季。。。Best wishes, wisteria lane:)            
(4星)	 哎，期待下一季。            
(4星)	 Beth真是奇特的姑娘。。。            
(4星)	 感觉矛盾不集中            
(2星)	 拜托编剧了，赶紧结了吧，别再糟蹋下去了...接二连三的死人复生、绝症、各种莫须有的历史仇恨、从天而降的罪犯...可见编剧们江郎才尽到了何种地步。每一季必然编出几个新角色，然后再搞死他/她们。这么演下去，有意思吗？            
(4星)	 绝望的主妇看到第七季，这么多主妇的恋情里lynette和Tom这最最长久最最稳定的一对，也出了岔子。一直觉得这两个人最懂沟通，最懂宽容，还记得Tom说她没有安全感，总希望什么事情是她可以控制的，所以就愿意让她控制他，给她安全感。他们走过了生意失败，私生子，癌症，最后竟然迈不过这个            
(5星)	 发现最爱的还是这些主妇们~            
(5星)	 熬过了20年，5个孩子，癌症，最最难过的是过不了丈夫成功后的这一坎。什么是婚姻？无奈的看着心越离越远。真残酷。            
(5星)	 勒奈特和汤姆就这么分开了  好可惜  好期待第八季 看这个四个不老主妇怎么cover那个变态继父 快点啊快点            
(5星)	 爱情婚姻神马的 和和美美20年 最后还素变成了浮云啊！！！            
(5星)	 每个人心里都有一些肮脏的小秘密。。            
(5星)	 台词还是好。            
(4星)	 好想重新看一遍            
(5星)	 有点扯……不过想想现在的生活大爆炸……编到第七季能成这样也不容易了……            
(3星)	 这一季drama queen集体出洞抽风。。。            
(3星)	 最后一集还是不错的            
(5星)	 又追了一年，一年又一年，第7年了。主妇们依然精彩！            
(5星)	 总算又追完一季了，这是我最长情的一部片子了。。。            
(5星)	 终于是看过了。。。            
(4星)	 有点不给力了            
(5星)	 Lenette和Tom的故事，心里憋得慌！            
(4星)	 susan那嘴脸受不了            
(5星)	 到昨晚 看到lynette和tom选择分开 发现这剧集越来越有生活 越来越绝望 这个编剧也在过着哪个主妇一样的生活么 期待看到下一季 就像期待生活照常继续一样            
(5星)	 虽然还是精彩，但情节到最后凌乱了..            
(4星)	 13            
(4星)	 老套倒还乐此不疲。。            
(4星)	 不喜欢这个结局            
(5星)	 下一季什么时候出啊！！            
(5星)	 555555555555 又要等多久            
(5星)	 gaby好惨啊啊啊啊啊啊！bree的新男友好帅啊啊啊啊啊!!!            
(NA)	 哎呀。越往后看真的越有绝望感            
(5星)	 最后几集最好看            
(4星)	 最后又死人啦……            
(5星)	 保持水准。            
(3星)	 为了一直以来的感情，还不紧不慢滴跟着。偶有亮点，已疲倦            
(4星)	 不如以往            
(5星)	 我发现我还是挺无聊的，挺喜欢这种阴谋主妇。。。。            
(4星)	 这季应该是结束了吧，期待第八季            
(5星)	 继续期待下一季！            
(5星)	 一如既往的好。            
(4星)	 我还是觉得木有刚开始的两个SEASON那么吸引了，但还可以吧，有可能是编剧招数用老的缘故……不过用来学英语还是非常不错，我实在是对GOSSIP那种富二代高中生的故事不感兴趣啊不感兴趣            
(4星)	 终于完结了……            
(5星)	 怀念以前卡洛斯的样子            
(5星)	 lynette...            
(4星)	 中间有些桥段真的很无趣，不过结尾一如既往的精彩，破羊那条线早该结束了！            
(5星)	 太精彩了！！！            
(4星)	 等等等！！！            
(NA)	 - - 为什么我在看这个???厄....            
(3星)	 砍了            
(5星)	 哎又要等到九月了            
(5星)	 4.3 17集回归            
(4星)	 这集剧终，最不可能分手的一对，汤姆和丽奈特分手了。唏嘘。。。能够同苦却不能共甘的离婚背后，并不仅仅是男人有钱就变坏。选择婚姻，就是选择两个人共同面对未来未知的种种，只有不段改变自己去适应新的情况，婚姻才能走下去。            
(4星)	 渐厌。            
(NA)	 第七季？貌似没看            
(5星)	 这一季是一集一集追完的，刚看完这一季最后一集，第8季要等将近4个月!!!难以置信我从完全不追美剧到绝望主妇一追就追了7季!!!!还是我那句老话，用荒诞的风格写实，用搞笑的方式讽刺，不论如何绝望依然满怀希望，这就是生活。坚定等下一季！            
(5星)	 一如既往的喜欢~慢慢追~            
(5星)	 听说下季终季            
(5星)	 惋惜下lynette和tom             
(5星)	 快更新啊快更新！！！            
(5星)	 唯一一部从第一季追到现在的美剧 最爱的美剧 没有之一 下一季又要等好几个月了%&gt;_&lt;%            
(4星)	 No good deed goes unpunished，DH就靠这句话活着了，第七季跟第一季到底有啥区别            
(5星)	 Tom和Lynette都分开了。。。            
(5星)	 依旧精彩 期待下一季            
(4星)	 死讨厌的杨一家回来了…我爱Bree我讨厌苏珊…            
(5星)	None
(5星)	 非常喜欢～            
(5星)	 太精彩了！！！            
(4星)	 有点追不下去了 你还要出8么            
(5星)	 第七季结束了 第八季什么时候回归！！！            
(5星)	 看了它七季，160集了吧。。还没有腻~            
(5星)	 S08S08S08S08S08S08S08S08！            
(5星)	 BREE都快变成专业藏尸犯了。。            
(4星)	 此季泪点颇多            
(NA)	 Carlos是一个好老公            
(4星)	 断指婶的故事总算啰嗦完了⋯⋯最后一集终于变好看了            
(4星)	 一直在看，越来越嗲            
(4星)	 可以打发时间            
(4星)	 又好看起来了 解气加过瘾            
(NA)	 进步了            
(5星)	 七季基本看完，最让人舒心的是这部片子，一季比一季好看            
(5星)	 绝望主妇真的是越拍越好看 最新已经惊心动魄 太给力了！            
(5星)	 泡羊太可怜了。。。            
(5星)	 希望继续播。我爱每个主妇~            
(4星)	 个人来说不是那么喜欢lynette..   还是最喜欢gaby一家.~            
(4星)	 扣一星是因为不能接受奶奶特和汤姆竟然要散伙！            
(4星)	 诶就这么的完了 洗洗看IBO去吧            
(4星)	None
(5星)	 看了快四五年了。。。我对追剧这事儿很执着的            
(4星)	 这一季很精彩            
(5星)	 tom 跟lynette分手了！！            
(5星)	 前段不给力 后面的又渐入佳境了 bree真是一个幸运的人。。。。。。最后一集很棒~~！！！            
(4星)	 貌似還會繼續第八季??哇 那些女人已經不太能看了捏...還能出嗎?!            
(5星)	 没法断~            
(5星)	 好看啊~~            
(5星)	 10            
(5星)	 D.H 冬歇前最后一集让我再次看到这部剧的实力，群戏太精彩了。最后两集让我看到一些似曾相识的东西。。然后她们又杀人了。。。。            
(5星)	 这季一般，新主妇的角色完全是鸡肋。            
(5星)	 陪伴了我几年的女人们~~            
(5星)	 这季真好看，昨晚看到两点半            
(4星)	 不知不觉跟了7年。对我来讲也算生命的唯一了            
(4星)	 结尾好精彩~   编剧太强大了==  总能让你觉得好像前面留下了伏笔似的……其实应该是利用蛛丝马迹继续往下编吧&gt;&lt;            
(3星)	 前半部分还不错，后半部分拖拖拉拉很失望            
(NA)	 Carlos你的胡子哪儿去了？            
(4星)	 tom和L居然要离婚了！            
(5星)	 我可怜的GABY            
(NA)	 好看！！            
(4星)	 2010.10.15 Start - 2011.06.02            
(4星)	 Susan变可爱了..Gaby喜欢..Lynette喜欢..Bree什么的一直很讨厌..........第八季快来~            
(5星)	 正            
(5星)	 本想养肥了看，可还是没忍住。这部剧，一直追到第七季，可还没有倦，还在想着，第八季快点出。            
(4星)	 冤冤相报何时了            
(3星)	 季终越来越离谱啦。。            
(4星)	 不错~继续期待第八季~            
(5星)	 追了5年了...繼續追看第八季            
(5星)	 啥时候出八吖？追这部剧已成了我这几年的必修课            
(5星)	 DH真是我深爱的一部剧TAT 看到这季里Mike的胡渣都白了，突然理解了六人行结束时众人的伤感了。            
(5星)	 看到lynette哭我心都要碎了。there&#39;s are many things that bind friends together.            
(4星)	 怎能将生活编排得如此戏剧化而使戏剧如此具有生活气息？不容小觑的点滴中的human love。PS：《ugly betty》的伙计们到DH颠覆形象来了是吧？20110606            
(5星)	 从大一开始追，到现在看DH大部分是因为感情因素了，不管剧情再多么无力，或者狗血，我都会继续看下去的。最喜欢的仍然还是Bree。            
(3星)	 虽然旁白语法完美 但我真的看不下去了哈哈哈哈            
(5星)	 好喜欢那个新驻演那个VENCE的警察啊～～～            
(4星)	 結束了這一季。依然很多感慨            
(3星)	 整个一季都很平淡，结尾是个亮点            
(4星)	 整个一季都在铺线，最后终于死了俩。。。            
(5星)	 keith是梅根·福克斯的老公Brian Austin Green啊。。。好帅~~            
(3星)	 carlos换人了吧……一下年轻那么多真不适应……            
(4星)	 carlos换演员了吗？            
(5星)	 又完了一季！！！期待下一季！！！            
(NA)	 我是因為W女王又撿回來看的- -19            
(4星)	 尼玛最后留悬念啊！！！            
(4星)	 willamina slater moves to wisteria lane            
(5星)	 居然有UB里的Wilhelmina！！！！！！！！！！！！！            
(4星)	 好吧。我终于把乱七八糟的这一季看完了。。。            
(5星)	 追了4年7季的绝望主妇，我决定写一篇影评！            
(4星)	 后面几集好无聊哦 编剧快没梗了吧 我就知道Carlos和Bree和好的原因就是以死一个人为代价的 晕……ps 新来的detective真的好HOT！            
(5星)	 这一季又完了，哎，心里空荡荡的            
(4星)	 后几集比前面好~            
(3星)	 唉呀妈呀，汤姆和雷奈特居然离了……干哈啊这是。            
(3星)	 终于看厌了。。。。。                
(4星)	 比较波澜不惊比起前几季。i love u guys            
(5星)	 很期待最后一季            
(5星)	 越来越精彩了            
(3星)	 结尾这梗太老了……            
(5星)	 Lynett不要和tom分手啊～～～～            
(5星)	 看励志书不如看美剧 goodbye season7            
(5星)	 Solis把胡子剃了好像都不是他了。。。            
(5星)	 LYNETTE和TOM一定要和好啊！！！            
(5星)	 越来越有看头了   期待第八季            
(5星)	 Carlos是不是换人演了咩？            
(NA)	 这季亮点不多结局还行 爱gaby还没残            
(5星)	 2011 0516 第七季完结。四年。            
(4星)	 追的最久的一部剧了。越来越喜欢gaby            
(5星)	 第八季不要大意的上吧！！！！！！！！！！！            
(4星)	 23            
(5星)	 只有你能让我一会大笑一会又忧心忡忡的            
(5星)	 看到快结尾的时候四个女人并排站在一起我全身鸡皮疙瘩持续起到剧终。            
(4星)	 要走前的这一天，看到最爱的Lynette和Tom的分手，看到Gabrelle无力地抱住Carlos，我就情不自禁地想起自己哭的不可自抑的那几个难得的夜晚。Am I gonna get over it?             
(NA)	 tom和susan还可以更讨厌一点吗。。。。            
(NA)	 23            
(5星)	 tom和lynett实在太让人唏嘘了。。。。。            
(NA)	 01 - 08            
(3星)	 这一季真的完全不行，主线呢？阴谋呢？感动呢？感觉编剧完全属于想到什么编什么作为一整季居然没有主线，叹。。。            
(4星)	 洲长说“有的看总比没得看好” it&#39;s true            
(NA)	 Lee 真的是好可耐，越来越不喜欢Lynett了~~            
(5星)	 别砍啊... 我正想看第八季会怎样呢！            
(4星)	 Carlos怎么瘦了那么多。。魅力大减。            
(3星)	 主线明确，可是分支太多是这季度的缺点。希望下季度Vanessa Williams的戏多些~            
(5星)	 一如既往            
(5星)	 看得久了真的不知道好坏。感情摆在那里。            
(5星)	 我真是不想相信lynette就这样和tom散了啊！！！They survived cancer, five kids, family crisis...            
(5星)	 本季又完结了..             
(4星)	 终于轮到gaby了            
(5星)	 七年了。一部美剧跟了七年。七年前我又是在哪里做些什么想些什么。时间教会我穿越和停顿，很多东西如此轻便又沉重，蓦然回首，驻足停留。            
(4星)	 第七季，结束。            
(5星)	 Carlos不愧是这剧中我最爱的男人，为了心爱的女人坐牢也愿意！            
(4星)	 剧和主妇们都在变残but bree。            
(4星)	 力挺啊~            
(5星)	 第七季了，第一季的人又回来了~值得期待。第七季啊，依然是精彩啊！！！尤其大场景的那一集，貌似11吧            
(3星)	 一个好好的女性美剧 怎么死的人越来越多啊            
(4星)	 Lynette怎么可以跟Tom分开！            
(5星)	 期待第八季            
(3星)	 鸡肋了。            
(4星)	 这一季好长            
(4星)	 Carlos...            
(5星)	 依然很赞！            
(3星)	 不要再編下去了好嗎 紫藤街幾乎每個人不是殺人犯就是幫凶了好嗎！！！！最後一集gaby的繼父是ugly betty的爸爸吖人生我說看著怎麼那麼有好感！！！！！            
(5星)	 七年了……只有这个是一直追的，每次看到都是一周最幸福的时刻。            
(5星)	 Wisteria Lane越来越热闹了~            
(3星)	 6分。编剧越来越没新意，情节越来越TVB，看来7年之后是时候说再见了。            
(NA)	 好吧，我还是喜欢Susan。。。            
