http://movie.douban.com/subject/2244363/	粉红女郎
(4星)	 这也许不能算情景喜剧……初二去无锡比赛的时候，早上起来我们几个疯子就跑到阳台上去做里面那个操……四个女人我都喜欢。张世是鹿特丹影帝哎！他的演技完全欺骗到我……直到看过他上康熙才知道他这么厉害……至于陈坤，你在这剧里什么时候在哪出现的我怎么完全没印象……            
(5星)	 多他妈逗乐的奇女子啊~~~~~~~~~~~            
(3星)	 真的还蛮挫的！            
(3星)	 这里刘若英好傻哦。还是万人迷表演最到位。            
(NA)	 只能用疯狂来形容我们家女人们当初对这个电视剧的喜欢！！！            
(5星)	 当年的海报它多雷人呀            
(4星)	 四个代表性的女人，万人迷最赞            
(5星)	 还想再翻出来看，还想再翻出来看！！！            
(3星)	 当年是看到刘若英的就跳过，陈好的部分就看很多次。            
(4星)	 怀念下课回家，一家人一起端着饭看福建一套的时候…            
(NA)	 贱贱的女人们            
(1星)	 好好的漫画改成这样  无语            
(4星)	 看在少年回忆的份上。。。。            
(4星)	 真是笑中带泪啊！分分离离，聚聚散散！            
(NA)	 原来海报是这么丑的嘛~            
(NA)	 刘若英扮丑。张延扮男人。薛佳凝扮可爱。陈好扮妩媚。编剧是师姐。            
(3星)	 不喜欢刘若英            
(5星)	 我是挺喜欢            
(4星)	 看第一遍觉得蛮好看的。。。。。。。            
(3星)	 一个女人的精神分裂而产生的幻想故事            
(3星)	 其实我一直不明白为什么刘若英接这剧...            
(2星)	 2003年上海            
(5星)	 haoxiao            
(4星)	 还有这个！            
(3星)	 这片就捧红了陈好 的确性感又妩媚 悲剧的是刘若英 她的龅牙让我好几年都不能忘怀            
(4星)	 当年好喜欢~            
(NA)	 当年为神马会看这种东西啊！！！            
(3星)	 一群疯女人            
(4星)	 结婚狂！！！！！！            
(4星)	 笑一笑 就好            
(4星)	 有一阵子特爱看粉红女郎！人人都看！            
(NA)	 高一？            
(3星)	 演结婚狂的至今单身 演万人迷的永远扶不了正 演男人婆的结婚生子都快幸福一生了 演王皓的还不幸是个gay啊 这到底是我会一直孤单还是这一辈子都这么孤单啊             
(4星)	 还是挺喜欢看的- -            
(3星)	 ……            
(3星)	 朱德庸的漫画本来很聪明，改成电视剧就显得很笨。。。            
(4星)	 想当年我还看得津津有味= = 当然因为有奶茶            
(4星)	 陈好确实长得很标志嘛....            
(3星)	 小时候就不太喜欢，我记得我姐爱看。。            
(NA)	 小时候。            
(4星)	 我还是租碟看的 这几个特色鲜明的名字就这样走入了生活 不过现在看来好像过时了            
(1星)	 简直就是神经病            
(3星)	 认识了刘若英...            
(3星)	 我不喜欢。            
(NA)	 喜欢            
(3星)	 那会很喜欢啊~~~            
(3星)	 补：单纯调剂            
(4星)	 特喜欢            
(4星)	 只为我喜欢的小萍            
(3星)	 最喜欢龚喜了！！！            
(5星)	 挺好看。。            
(4星)	 当时和妹妹一起看的，很可爱的喜剧。2010.06.01            
(NA)	 当时我可喜欢这个片子了            
(3星)	 我怎么不记得有陈坤了            
(3星)	 这部剧导致多年对奶茶不感冒。。。            
(4星)	 其实我真的看了好多遍。。。╮(╯▽╰)╭            
(4星)	 好吧 配乐加一星            
(3星)	 忘差不多了。漫画应该更好看一点。            
(3星)	 一辈子的孤单 当时听听真难听 现在懂了~            
(1星)	 现在才觉得土啊土            
(4星)	 看着很欢乐            
(3星)	 冲着原著朱德庸，不过陈好就是靠这部风生水起的            
(4星)	 龅牙……            
(NA)	 o(∩_∩)o 哈哈            
(3星)	 一般啦            
(3星)	 其实还蛮好看的            
(3星)	 我艹 这个海报.............            
(5星)	 我爱死这几个女人了。            
(NA)	 我一直觉得陈好演完这个就变形了             
(5星)	 现在看起来真傻。            
(4星)	 小时候觉得超好看的诶~            
(4星)	 小人物的春天            
(3星)	 奶茶的牙(⊙o⊙)…            
(4星)	 喜欢的人不出现，出现的人不喜欢。喜欢刘若英演的结婚狂。。。            
(1星)	 神经病            
(NA)	 红极一时            
(4星)	 初二            
(4星)	 挺搞笑的            
(4星)	 小时候的最爱            
(3星)	 有张世才好看滴～            
(4星)	 那时候还真是从头看到尾，自它以后再也看不了胡兵            
(3星)	 拖沓得很啊            
(4星)	 那会每个台都演这个吧。            
(4星)	 一部连续剧，火了一窝人，牛逼！            
(3星)	 就是因为这剧，我到现在听刘若英的歌看她演戏听她说话还是隐隐觉得背后是那个结婚狂…            
(4星)	 朱德庸            
(4星)	 刘若英的笑声，是每次想起这部电视剧的时候第一个浮现在脑中的画面。这片子捧红了万人迷陈好，而看看她后来的发展，发现还是这电视剧里她的样子最完美。也许她只适合万人迷这个角色，也许这就是她自己。            
(3星)	 小的时候这个和还珠格格是我的最爱。。。            
(4星)	 纯属消遣            
(4星)	 那时我觉得刘若英真丑            
(3星)	 我觉得很棒            
(5星)	 初中那会儿看疯了 感觉还是挺好笑的 不过老爸是坚决反对我看的            
(4星)	 颠覆            
(5星)	 其实我还是很喜欢看的            
(NA)	 每一集开头小短剧还行。            
(4星)	 不喜欢第二部            
(5星)	 最喜欢看的国产电视剧。            
(3星)	 女人的友谊            
(1星)	 谁说听起来让人觉得不诚恳            
(2星)	 奶奶爱啥我就看啥~            
(3星)	 太做作只能苦笑            
(2星)	 我当时真的不知道她叫刘若英...            
(3星)	 没有说得那么差吧!!            
(2星)	 无聊            
(3星)	 跟漫画其实没啥太大关系。            
(3星)	 当时挺乐和的            
(3星)	 很久之前            
(NA)	 囧！            
(4星)	 我稀罕结婚狂。只要功夫足够深，铁杵都能磨成针。吃得苦中苦，方为人上人。            
(2星)	 太做作            
(NA)	 万人迷~~~            
(3星)	 =  =小时候挺爱看的。            
(NA)	 万人迷~结婚狂~男人婆~天真妹~~~            
(2星)	 刘若英在里面有点雷人。            
(5星)	 非典时在家天天看            
(4星)	 其实，这才算真正的内地版欲望都市，对不对            
(4星)	 超喜欢奶茶            
(2星)	 做作。            
(3星)	 就冲着每集里的小漫画看的            
(3星)	 刘若英唱的那首歌至今喜欢            
(NA)	 ‘我想我會一直孤單’            
(3星)	 四个主角选得很好，但是最扛得住考验的还是刘若英。。。            
(2星)	 OH。。。我不喜欢            
(3星)	 肯定是原著更好            
(5星)	 热播            
(2星)	 薛佳凝一星，陈好半星。            
(3星)	 当时觉得还不错！~            
(3星)	 现在倒觉得没什么了            
(NA)	 刘若英就这么坦然。            
(5星)	 我就喜歡這種的 哈哈哈            
(3星)	 疵头怪脑~~            
(4星)	 不错...            
(4星)	 四个女人一台戏。            
(NA)	 万人迷从此过气            
(4星)	 不耐看还是~            
(NA)	 中考完的那个暑假我是真的被它吸引了的吧~            
(NA)	 奶茶拿掉牙套的时候,感动了.            
(3星)	 39            
(2星)	 断断续续看过两集            
(3星)	 ～            
(3星)	 呵呵，喜欢陈好演的万人迷。            
(NA)	 非典            
(4星)	 干嘛要想得很美想得很远只要这秒有感觉~大家来恋爱···            
(NA)	 喜欢刘扮演的结婚狂的善良看到很多现实的东西            
(3星)	 当时姐姐在看我是被逼的            
(4星)	 不知道为什么给了4星      这个没有什么吸引我的              
(4星)	 这个万人迷好老            
(4星)	 看的就是一个新鲜            
(2星)	 闹剧随便看看。            
(3星)	 那时候很红，现在，很郁闷。            
(NA)	 恩，我还是很喜欢奶茶的            
(3星)	 那几个都是美女啊            
(3星)	 想當初還是挺迷的            
(2星)	 没有漫画的感觉,不是喜欢的那种            
(3星)	 那年张延很T            
(4星)	 记得这也不是特别早怎么海报感觉像八九十年代的            
(4星)	 做女人难～～～            
(3星)	 夸张了吧 有时候看的我都难为情为他们尴尬啊。            
(5星)	 四个人各有特点,都满好玩的~~            
(4星)	 。。            
(3星)	 一中的食堂，我抬头看，欣说，就像你喜欢看粉红女郎一样，天啊，好久了            
(4星)	 其实漫画的剧情有点讨厌的，改编的电视剧很不错。            
(3星)	 看过,虽然很没品,但是就是很红....            
(3星)	 算是启蒙吧            
(1星)	 莫名其妙乱糟糟一团，如果是刻意要搞特殊化也不至于弄成这德行啊            
(3星)	 我喜欢结婚狂丫...            
(3星)	 有一年的十一到处都是这个剧            
(3星)	 成不了万人迷和男人婆的最后还不都是结婚狂？！            
(NA)	 还没看完啊            
(4星)	 漫画式。            
(3星)	 挺有意思的故事.            
(3星)	 有点虎            
(4星)	 初二了。十一放假。记得妈妈去给我买灌汤包，我在家看电视。歌曲还是不错的。            
(3星)	 四个女人一出戏            
(NA)	 这是唯一我看得过的陈好            
(3星)	 嘻嘻哈哈的随意看着玩吧~            
(5星)	 来易来去难去。挺感动的。某些镜头。            
(4星)	 有些情节很扯，喜欢万人迷            
(3星)	 补漏            
(3星)	 好吧...劉若英..我忍了...            
(3星)	 时代的产品            
(4星)	 很搞。            
(5星)	 看过已经好几年了，想起可爱的结婚狂，刘若英真的让我好喜欢。            
(NA)	 不太能接受这种电视剧 搞笑的部分也笑不出来            
(5星)	 怎样都能笑出来            
(3星)	 胡兵真恶心            
(3星)	 因为刘若英演的陆毅的女友，我买了很多黑色的衣服。            
(5星)	 还不错的电视剧，四种女人，刘若英形象大变啊，陈好由此出名。            
(2星)	 傻            
(4星)	 奶茶的演技不错            
(3星)	 喜欢男人婆            
(3星)	 总觉得看的有点心疼~            
(5星)	 很可爱            
(NA)	 就是表演的太恶心 不然就~            
(5星)	 我是结婚狂 我最喜欢男人婆。            
(3星)	 怎么說呢，捧紅了陳好。也讓我見識到了劉若英的演技。但，總覺得缺了點兒什麽。            
(3星)	 后面没劲刘好演技            
(NA)	 哎。。。都不知道这个怎么分类了。。            
(NA)	 很无聊但是以前很喜欢~            
(NA)	 一开始，不喜欢，后来越看越喜欢            
(5星)	 有故事，也有好演员             
(5星)	 多经典啊。            
(5星)	 好歹当年也看的欢实！            
(4星)	 笑笑~~~            
(4星)	 片尾曲不错            
(NA)	 粉红女郎             
(4星)	 很搞笑            
(4星)	 漫画好看            
(1星)	 我不愿意承认我看过这部片~            
(NA)	 没事的时候想起了里面的结婚狂            
(4星)	 颠三倒四地看着电视台重播了好几次            
(NA)	 垃圾            
(NA)	 真被感动的当时。很多插曲很好听~            
(5星)	 搞笑            
(NA)	 奶茶奶茶……            
(3星)	 28岁的我 会不会变成结婚狂？            
(4星)	 用来没脑的看`            
(4星)	 挺搞笑            
(3星)	 以前很风靡来着的            
(3星)	 4个女人红了3个 还有一个跑去结婚了..            
(NA)	 奶茶的突破表演，无奈到最后一秒还是现了知性的底            
(5星)	 喜感            
(4星)	 好看也好笑。            
(3星)	 太喜欢她的S型了            
(4星)	 还是很有意思的，哈。四个女人一台戏            
(NA)	 发现 上网与看电视的区别之一 一个是“自主选购” 一个是强迫接受 看电视的土豆没真的只是受众 仅仅是受众 。我想我现在应该不会看。            
(4星)	 因为有刘若英的出演才把它执著的看完。            
(4星)	 傻傻的，却也蕴含着些真理            
(4星)	 挺喜欢的。里面的每一个女孩子。            
(NA)	 这。是。生活。             
(3星)	 也算一个时代剧了！            
(4星)	 还蛮好笑的啦            
(4星)	 抽离式            
(3星)	 2流经典，你不说，我还真想不起来了白费了我从小读朱德庸双响炮的美好印象            
(3星)	 四个个性完全不同的人物&#34;结婚狂、男人婆、小精灵、美艳性感            
(4星)	 很搞笑            
(NA)	 那个结婚狂 ·            
(NA)	 现在想想这部剧算是蛮特别的～            
(3星)	 蛮搞笑的！            
(NA)	 这个一定要记进来，我亲爱的奶茶。            
(4星)	 其实还是不错的            
(4星)	 其实我挺喜欢这个的            
(3星)	 挺幽默的            
(NA)	 奶茶的另一面，喜欢她，喜欢那些或许不存在的爱情。            
(3星)	 性格鲜明的女人们!            
(3星)	 陈好的万人迷很有味道～～另外好像是从这个剧开始觉得薛佳凝不错的～～很甜的女孩            
(4星)	 还真是形象的颠覆。            
(3星)	 太仙啊...            
(3星)	 房子漂亮~            
(4星)	 够漫画！            
(4星)	 还算是经典啦            
(4星)	 不错，但是也属于看第一遍喜欢，但是看完再也不想看的类型            
(4星)	 尝试之作            
(NA)	 虽然巨无聊，但是很好笑            
(3星)	 第一遍是喜欢的，后来电视台狂轰滥炸我就哭笑不得了。            
(5星)	 难得的令人耳目一新            
(2星)	 演员不错...编剧感觉是学Friends            
(1星)	 從此以後，毀了我心中的劉若英。            
(5星)	 從是愛看            
(NA)	 搞笑的奶茶~            
(3星)	 真还蛮好笑的, 难得刘若英选对戏            
(3星)	 还算搞笑……剧情有些生硬            
(5星)	 搞笑而不恶搞。有回味。            
(5星)	 很好            
(3星)	 3.5            
(5星)	 经典            
(4星)	 很搞笑！            
(4星)	 哈哈  青春啊 青春            
(5星)	 挺好玩的            
(3星)	 此片热播程度真可谓万人空巷。            
(3星)	 喜欢的人不出现 出现的人不喜欢            
(4星)	 万人迷说话确实经典=v=当时还很喜欢哈妹来着            
(5星)	 反正当时我看得挺高兴            
(4星)	 我当时大概十二岁吧，看到结尾时哇哇大哭，身边的小狗不知所措            
(3星)	 大家来恋爱~            
(NA)	 現在回想一下.........................小學是怎麼過的...............果真是個電視兒童........            
(NA)	 小学的时候好火···还有一个男同学在我的同学录 最喜欢看的电视一栏里填了这个= =            
(NA)	 结婚狂，男人婆，万人迷和哈妹的故事            
(3星)	 我爱男人婆。。            
(5星)	 小学和妈妈和奶奶和姐姐一起都看过 还看哭过 最棒的偶像剧。。哈哈哈            
(3星)	 搞笑爱情故事以前看的            
(4星)	 看了这个忽然就喜欢奶茶了呃            
(NA)	 怎么还有陈坤。。。            
(3星)	 一直不觉得陈好漂亮、、            
(4星)	 姐姐们真勇敢            
(3星)	 我去……            
(NA)	 我也因为这个在上小学时火了一把。。。            
(3星)	 里面的滚滚红尘真素让人内牛满面。。。            
(3星)	 除了男人婆 万人迷和结婚狂的那个小妹叫什么来着 也就那个正常点了            
(5星)	 当年有眼前一亮的感觉            
(NA)	 结婚狂。            
(5星)	None
(3星)	 看看当年陈好刚出道滴时候......            
(2星)	 个人不喜欢看            
(3星)	 陈好从那会儿演万人迷开始就一直摆脱不了那狐媚样了。            
(3星)	 就真的很搞笑，不过那些主演牺牲是真的很大。。            
(4星)	 那年看的真心欢乐            
(3星)	 朋友之间住在一起很向往。            
(4星)	 那是我第一次认识后来获得金马影后的刘若英，当时还想怎么这么难看的人也能当演员啊，后来她把假牙拿下去瞅着顺眼多了。再后来，就慢慢知道她了，听她的歌，看她的电视剧，读她的书，觉得是一个非常细腻文艺的女子。薛佳凝一直不愠不火，张延再很少见，陈好生小孩去了。            
(4星)	 当年我傻X 不知道胡兵是弯的...我又太天真了            
(3星)	 当时暑假里中央八台一天播放N集 我就负责吃着奶奶给我买的小当家一连吃四包看这个当时迷得我一愣一愣的粉红女郎 当时觉得陈好真的超漂亮            
(5星)	 万人迷，结婚狂，男人婆，哈妹。。            
(NA)	 第一眼就知道陈坤要红            
(3星)	 一般            
(5星)	 喜欢日本那段、            
(4星)	 就记得万人迷跟结婚狂            
(4星)	 小学时期的神作啊orz，似乎和基友合住过一辈子的想法就是从这儿开始的……            
(3星)	 不知道为什么以前一直演这个明明那么雷            
(3星)	 其实男人婆也挺好的    奶茶 呵呵            
(4星)	 红极一时啊~            
(4星)	 刘若英完全是豁出去了，演出了本色            
(4星)	 当年觉得真好看            
(4星)	 也算是开创了新篇章~            
(3星)	 冷饭剧之一..            
(3星)	 好不喜欢结婚狂，疯女人一个            
(4星)	 小的时候就觉得陈好确实很妩媚~~~            
(3星)	 刘若英演的比较傻            
(4星)	 很经典，四个女人一台戏啊~            
(5星)	 满分好么            
(4星)	 喜欢中间穿插的短剧            
(5星)	 我怀念看粉红的那一年 也怀念里面有个叫家华的老太太 一直等着她的爱人 最后死在不真实的美好里 这部戏真的有很多回忆 五颗星是必须的！            
(NA)	 看了无数遍 朱德庸的漫画搬上电视荧幕很成功！            
(4星)	 最爱陈好            
(5星)	 片本身不值5星，但不知道为什么我要给5星            
(3星)	 記得裏面說煎雞蛋太油，不能吃。當時很是疑惑            
(3星)	 这片有陈坤？！！            
(3星)	None
