http://movie.douban.com/subject/2259857/	香樟树
(4星)	 又是很纯粹的友情            
(4星)	 友谊很感人，韩波同志也相当有魅力。不过芳芳的男人是不是也太扯了，想抽死他！            
(4星)	 我一路走来，心不再敞开……            
(4星)	 不错            
(5星)	 曾经的最爱            
(3星)	 第一年来北京的时候，在租的房子里每晚茶话会一般的看电视，只瓜子，聊生活。记得看这部剧的时候，特别想念已经远在他方城市的朋友，友谊一直都是说不清楚的奇妙东西，时常会拨开心思涌出来感动自己。            
(4星)	 这样的友情好难得啊~~~            
(4星)	 当年和妹妹们妈妈外婆全家狂热追剧 竟然早上5点爬起来看重播             
(4星)	 她们三个好纠结哦            
(4星)	 大学时代的爱情 友情 如果感情可以永恒…            
(4星)	 印象也模糊了            
(3星)	 回想起来有一种不舒服的感觉            
(4星)	 很喜欢梅婷。那个什么芳芳，太让人难受了。            
(4星)	 女孩儿的友谊，真实感人            
(4星)	   CCTV8看过的~只记得梅婷演的角色死了。。。。。            
(NA)	 当年，我们相约香樟树。六年过去了吧。。            
(4星)	 唉            
(4星)	 那年我们都还年少，此去经年，只有香樟树伴随我们成长            
(4星)	 都演得太好了。            
(4星)	 很好看            
(3星)	 内容大概很好看。            
(5星)	 其实 我想其实只是因为片中也是三个好朋友而已            
(4星)	 记忆深刻的电视剧~            
(NA)	 友情的真谛......            
(5星)	 在我将要毕业的时候忽然想到这部以前看过的电视剧，心中顿生感慨。             
(5星)	 话说这片真的很耐看，我喜欢~            
(4星)	 真想改变它的剧情。            
(4星)	 姐妹情谊            
(5星)	 友谊，            
(5星)	 很羡慕剧中三位女主角之间真挚的生死之交的感情啊~~~            
(5星)	 和我老妈一起看的～～特有意思！            
(4星)	 青春剧，上大学前看的最后一部            
(4星)	 女人们的友情            
(5星)	 当时老爱看了，还有蔡琴的歌            
(4星)	 片尾曲好听            
(4星)	 和妈妈一起看的            
(4星)	 大眼美女们。            
(NA)	 歌好听            
(5星)	 轻狂的年少谁能忘得了还能闻的到淡淡的味道我们的分分秒秒枝叶要长高根要深的牢看香樟树下悲欢离合片片落叶依旧在回到年少分分和秒秒            
(4星)	 一直没不全，不过确实我很喜欢的片子            
(4星)	 坚强悲剧            
(5星)	 我也希望拥有这样刻骨铭心的友谊。            
(4星)	 女人之间            
(3星)	 好久以前看过，记不清了，，，，            
(4星)	 女人的友谊            
(4星)	 爱 却不会爱            
(NA)	 芳芳，小衫和陶泥三个女孩留下的故事            
(4星)	 大学同学的感情至深至切，有误会但大家最后还是会像亲人一样。            
(3星)	 友谊万岁            
(4星)	 我妈老说我像司马小杉            
(5星)	 我一直觉得这部电视剧是最感人的！而且这种友情也正好发生在我的身上。。。喜欢喜欢~！            
(4星)	 无暇的友情、、、、、、、、、真挚而动人、、            
(5星)	 友情至上            
(4星)	 潘虹的演技，赞。            
(4星)	 那些年代里的，我们的友情。            
(4星)	 十年生死两茫茫            
(3星)	 大家都不容易            
(4星)	 想看情亲树            
(5星)	 一辈子的友谊，是多远？            
(5星)	 爱死司马小衫了~很疼的结局            
(4星)	 继续母校之演出（3星给剧情，1星给母校）            
(5星)	 一个充满了浪漫、理想的青春感情大戏！里面的感情纯洁！高尚！完美！            
(NA)	 老妈很爱看。。。            
(4星)	 妈，你是一棵我无法继续阅读的香樟树。            
(5星)	 如果有来生，我还想和你们在一起。。。            
(NA)	 有一种青春 是我们永远的梦朋友 会是一个永远亲近的词语  在心底最深处悄悄地温暖            
(5星)	 超喜欢剧中梅婷所示角色的性格。            
(4星)	 有这样的一份友情,什么都值得            
(NA)	 陶妮，呵呵            
