http://movie.douban.com/subject/2270545/	春光灿烂猪八戒
(3星)	 成就了一段姻缘，也许是这部剧集最大的造化了。剧情很普通，憨憨的小猪，痴情的小龙女，高傲的嫦娥，还有一些小配角，是部杂烩剧。            
(2星)	 能不能不这么无聊？            
(3星)	 这之后的衍生让人无语            
(4星)	 。。。            
(3星)	 相对来说第一部质量还高些，至少对于小学时的我而言。            
(3星)	 猪哥哥。= =            
(NA)	 孙兴            
(2星)	 什么2b电视剧。            
(3星)	 徐峥的成名作            
(NA)	 我为什么会看那么多没营养的东西……            
(1星)	 恶啦            
(NA)	 看到最后结局,似乎,仿佛,还哭了....            
(NA)	 = =|||我真不想说我曾经看过那么一两集的...事实就是我还真看过那么一两集...            
(5星)	 乱七八糟的神话故事，仅仅博得一笑。            
(3星)	 小龙女实在不讨我的好            
(NA)	 导演: 叶伟信。我没看错吧            
(3星)	 猪。            
(3星)	 我会告诉你们我第一次看这个电视剧觉得这个电视剧特别黄我都不好意思看下去吗！！！            
(3星)	 =。=            
(NA)	 烂片            
(3星)	 那时徐峥真傻逼啊            
(1星)	 2            
(4星)	 叶伟信的参与解开了我对片子CULT画面的疑虑~            
(3星)	 看了好多遍＝＝            
(1星)	 傻逼中的傻逼！            
(2星)	 = =            
(4星)	 当年爱的不行啊 “猪哥哥”            
(NA)	 假期如果放这片会比还珠格格好吧。。。。。。            
(4星)	 美是初见，燃起爱情火焰            
(1星)	 一颗星是因为这戏成就了徐铮和陶虹的婚姻·············            
(4星)	 当时看的结尾好伤感。            
(4星)	 大爱～～～            
(5星)	 小龙女变泉眼的时候狂哭，其他时候觉得他们好幸福            
(2星)	 我讨厌个男猪脚lor            
(3星)	 小时候看最后一集哭惨了            
(3星)	 小时候一放暑假就看 片头片尾到现在都记得怎么唱~小学同桌在里面演小太白金星啦啦啦            
(4星)	 当时觉着，陈红真美，陶虹傻的可爱！            
(4星)	 猪哥哥和龙妹妹            
(NA)	 终成眷属。。            
(NA)	 小时候我看着片尾曲里小龙女和猪八戒接吻的画面觉得……搁着猪八戒那拱鼻舌吻小龙女总有一天会成“地包天”的啊！！！            
(5星)	 好春光 不如梦一场            
(4星)	 从那个时候开始就喜欢徐峥            
(3星)	 瀦 锅 锅 ...            
(4星)	 小時候看的！！！            
(3星)	 这部戏里超讨厌那个猪八戒.. 小时候也很讨厌徐铮..现在对徐铮到没什么厌恶之感了。            
(4星)	 好可爱            
(4星)	 后面的续有张纪中一掺和就杯具了            
(4星)	 好看啊。猪哥哥~~~小龙女~~            
(NA)	 好看 =.=            
(5星)	 好春光不如梦一场，梦里青草香。你把梦想带身上，蓝天白云青山绿水，还有轻风吹斜阳。童年的回忆，歌词到现在还记得，那么轻快美好。最后小龙女变成泉眼让我难受好几天，从那时候起就很喜欢这样的性格。            
(5星)	 哎哟最喜欢的神话剧！！            
(4星)	 一头猪和一条龙的爱情故事 怎么觉得那么囧呢            
(1星)	 这是叶伟信拍的？不会吧。            
(5星)	 故事还不错，就是冗长了！            
(1星)	 一点也不喜欢            
(NA)	 我怎么看过这么多电视剧!!            
(5星)	 以前好喜欢~            
(4星)	 第一部的时候觉得好好看——|||            
(3星)	 徐峥成名作            
(2星)	 当年总是有这种奇奇怪怪的作品出现。。。            
(NA)	 现在还就记住那个无敌屁了            
(4星)	 看的时候觉得很好笑            
(3星)	 这种装傻剧，偶竟然喜欢过一段时间。尤其是陶虹叫猪哥哥的时候，那是真情流露啊，尽管雷，竟然能感动人            
(2星)	 2            
(NA)	 电视台            
(NA)	 我喜欢            
(4星)	 只有第一部能看的。。。            
(NA)	 依旧是小时候追着看，现在是一看见立即转台...            
(NA)	 徐峥陶虹两口子我挺喜欢            
(4星)	 神仙姐姐~             
(4星)	 每次看到最后一集都哭了            
(5星)	 看到电视里在放，俺美好小时候啊~~最爱这一部，后面的俩部猪八太丑了！！好春光，不如梦一场，梦里青草香~~哈哈，我还记得主题曲呢            
(3星)	 竟然是叶伟信的。。。！！！！！！！！！！！！！！！！            
(NA)	 好听的歌哈。像小白这样的白痴或许还能想起这首歌哼起来吧。            
(3星)	 我看哭过的            
(4星)	 4分还差一点。。。            
(3星)	 就是这么过的。。。            
(3星)	 我爸爸喜欢小龙女            
(4星)	 印象最深的就是解铃还须系铃人            
(3星)	 徐峥很可爱，主要是不做作            
(3星)	 纯看小陶虹这个美女去的            
(3星)	 现在打死我都不看的。原来我的中学时代是这样枯燥的么。            
(4星)	 当时觉得很有趣            
(2星)	 弱啊~~~~            
(2星)	 随便漂过几集，，多年以前            
(4星)	 囧啊~因为陶虹~多给一星            
(5星)	 操这多逗啊            
(3星)	 年少回忆。            
(3星)	 乱拍。            
(5星)	 猪哥哥～～ 这小两口嗨得不行～            
(2星)	 觉得好无聊哦            
(NA)	 小龙女的真情            
(3星)	 [昔时所看]大概看了个开头吧，倒是挺有趣的            
(NA)	 小两口啊。            
(3星)	 徐峥演猪真是那么会事            
(3星)	 嘿嘿嘿嘿嘿嘿            
(4星)	 小时候就是喜欢看...            
(NA)	 结局蛮感人的            
(NA)	 这个也好多遍的            
(4星)	 这么搞笑的片，拍得那么煽情，真是佩服！！            
(NA)	 真纳闷儿，为什么小时电视重播什么烂片我都看            
(3星)	 我竟然看过。。。            
(3星)	 现在绝对不会看这样的电视剧了...            
(4星)	 徐铮的出道之作。后和陶虹情定一生。            
(3星)	 这两人还挺配的            
(4星)	 为了小龙女哭过~~            
(4星)	 我喜欢徐峥的猪八戒 也喜欢徐峥和陶虹这对            
(4星)	 意外的好看            
(4星)	 最后一集很感人 戏里的悲剧造就了戏外的一对有情人            
(4星)	 我觉得这片真是不错。。。后来那个什么喜气洋洋恶心死了            
(5星)	 哦~~有一段是在我家门口拍的哦~            
(3星)	 吐血！我竟然看过一点这个~其实，徐峥有一点可爱~            
(4星)	 好春光，原是梦一场,梦里青草香...            
(NA)	 看完徐峥陶虹版的春光灿烂猪八戒之后，我没有再看其他的，感觉没办法超越了。。。。。。或许很俗的电视剧，但是就是讨人喜欢。。。。。。很高兴猪哥哥和小龙女最后现实中结婚了~！            
(5星)	 有没有人觉得这个片子其实特好看的？            
(3星)	 怎么我看过这么多烂片。            
(5星)	 简直就是最喜欢的电视剧!!!..            
(3星)	 高二的时候又重新看，就为了看陈红的嫦娥~绝代风华挖！            
(NA)	 河南台一早播四集，那时候觉得大陆终于拍出搞笑的剧作了。            
(3星)	 电视剧            
(3星)	 太创意了            
(4星)	 小龙女阿!            
(2星)	 这个啊，高中时 每个电视台都在放，瞎胡搞的闹剧  非常讨厌            
(4星)	 印象很深            
(NA)	 我貌似当年还哭了            
(4星)	 真的很喜欢……            
(NA)	 这还真不像大陆剧的风格            
(NA)	 那时候看还满好玩。不过属于打法时间的玩意.            
(3星)	 徐錚蠻可愛的，難怪小陶喜歡            
(1星)	 就觉得猪八戒很丑，也没什么爱！            
(3星)	 有点神话的风格。            
(NA)	 夏。竹。            
(NA)	 第一部的最后还真感动了            
(NA)	 成全了一对恋人            
(3星)	 我真不想说我看过...但是当年我还不觉得陶虹很雷人，现今再一看，我果然眼睛不好啊...            
(2星)	 不知道在拍什么，居然还有续集，一部不如一部            
(5星)	 某年过年的时候江苏卫视开始放，然后我就一发不得收拾了。我记得那会儿我初中吧，看到猫妖的时候还害怕的睡不着            
(NA)	 好春光，不如梦一场……当年觉得嫦娥很漂亮，原来是陈红演的            
(3星)	 就是这部戏 徐峥和陶虹结合了。            
(4星)	 那个，貌似古巨基和twins演了新的版本，所以我想找来看旧的版本我有没有添加，毕竟我小的时候曾经一度被这部连续剧所感染 = =、那个怪物死掉啊，还有小龙女变泉眼什么的真是有够我哭的，哈哈好年轻啊我~            
(4星)	 很久以前看的..            
(3星)	 小时候看的时候好喜欢。。            
(5星)	 爱情与牺牲：猪八戒装作不知实情牵着龙女幻影的手走出龙宫。和幻影一起看烟花在浪漫中让爱人的身影在身旁消散。一个人牺牲一个人成全，没有谁更伤心也没有谁更痛苦，悲伤都是一样的。            
(5星)	None
(3星)	 啊哈哈哈哈哈哈好喜欢徐铮啊除了这部...            
(3星)	 特麼我記得最後一集我還哭了。。。            
(NA)	 童年..            
(NA)	 ED还不错……结局想象力很棒            
(3星)	 造型真的好恶心……当年某个人却看得不甚欢喜。囧！            
(3星)	 尼玛这是什么时候的事了……            
(5星)	 很多人都不知道，片尾曲其实是不完全的，最后一句是：“喜欢的人，你的一瞬是我的永恒……”            
(3星)	 有点可爱的嘞            
(5星)	 徐峥的猪八戒，陶虹的小龙女，孙兴的太白金星，屈中恒的孙悟空，翁虹的猫妖，陈红的嫦娥，刘小锋的吴刚...我小时可他妈爱看了！英皇翻拍就是成心毁童年不是(⊙o⊙)…            
(3星)	 现在想起来真好笑            
(3星)	  喜剧             
(NA)	  - - 这个就不评价了            
(4星)	 小时候差点看哭了……最后的歌还挺好听的            
(3星)	 小龙女~那时候看古装，直觉得这部剧的服装真好看。            
(1星)	 白痴剧            
(5星)	 没看全 凭记忆打五分 当时可喜欢了            
(5星)	 猪八戒也是98年，不可思议。。。            
(3星)	 电视上面再演我还是会看            
(4星)	 记忆犹新的是里面的太白金星            
(5星)	 我爱极了小龙女~~~            
(5星)	 最后集的泪点。            
(3星)	 还是在外婆家！！！            
(4星)	 最后小龙女化成泉眼我还哭了            
(5星)	 小孩子的时候好喜欢看的 当时好喜欢陶虹            
(4星)	 小时候每集必看            
(4星)	 看了好多遍的 有很多桥段~            
(4星)	 啧啧 那时候真的觉得这部戏好多美女。            
(4星)	 小龙女啊~~            
(3星)	 我实在是不喜欢这个内容，但是还是给看完了。            
(4星)	 卷睫盼！！！            
(4星)	 看哭了            
(4星)	 年轻时给我带来不少欢乐的电视剧。            
(3星)	 猫妖好讨厌。            
(4星)	 不错的            
(3星)	 豆瓣居然会有介个哇。            
(3星)	 后来看见徐铮就想起猪八戒            
(NA)	 ……            
(NA)	 也是小时候看得如醉如痴的一部剧……            
(5星)	 我心中就是好            
(5星)	 那时候被小龙女给感动了一番            
(3星)	 结局还是挺那啥的……            
(4星)	 那时候看着很欢乐            
(4星)	 记忆中多美的小龙女与猪哥哥的爱情故事。            
(3星)	 有爱看的。            
(4星)	 结局还挺感动的，当时还哭了。哎            
(2星)	 那时觉得徐峥太TM傻了，现在丫真是丑男大翻身还抱得美人归            
(3星)	 这也一对佳人难成。哈哈。            
(4星)	 当时小龙女在我心中就是女神啊。。。现在看也很喜欢。。。连我爹地也看得进去。。真难得            
(4星)	 最后一集催泪啊            
(4星)	 陶虹和徐峥好配好配啊！！！            
(4星)	 小学暑假             
(4星)	 这个猪八戒我看着顺眼一点            
(NA)	 我喜欢片头曲            
(3星)	 相比之下，这部情节胜出必然了，不过，有点儿小可怕呢，妙妙那段儿。            
(3星)	 九八年的剧，其实还是不错的。小龙女那样喜欢猪八戒，那么勇敢那么善良。            
(3星)	 那时候看徐峥还挺不顺眼的呢。印象最深的是猫妖。            
(NA)	 当时觉得陶虹好漂亮神马的= =最难过她和一个怪物的那段了            
(NA)	 好像是初一看的吧，我和某人天天哼哼美事初见，那是肯定会给五星的，只不过现在长大了，但是依然是一部不错的剧            
(2星)	 这也叫电视剧？            
(4星)	 小学时代还蛮喜欢看的            
(1星)	 傻逼到完全看不下去            
(3星)	 每集都看过无数次            
(5星)	 ——天为什么在下雨?——因为她哭了。我怎么就哭得一塌糊涂了，恨死嫦娥了。            
(4星)	 一口气链接到很多小时候看的电视剧， 印象最好的就是徐峥的这部。            
(4星)	 很喜欢！！陶红多美啊那时，徐峥的声音很萌。最后哭的那场戏貌似有泪点。最佳男配角是太白金星。。。            
(NA)	 小时候，笑屎我了。            
(NA)	 好春光 不如梦一场~            
(NA)	 2010-11-27            
(2星)	 小时候一直觉得很傻的电视，可是朋友却是是老少咸宜，被我鄙视。            
(1星)	 = =            
(3星)	 这部片子让我认识了徐峥            
(3星)	 徐峥演猪还不让人讨厌，后来的黄海波演完自己都不想再提这件事。。作为陶虹和徐峥的定情戏，拍的时候应该很欢乐吧。            
(5星)	 我选力荐哼哼            
(5星)	 小时候多喜欢看啊啊啊啊            
(4星)	 小时候猫妖把我吓傻了            
(NA)	 最喜欢的是太白金星！！~~            
(3星)	 喜欢主题曲···            
(4星)	 徐峥太可爱了            
(3星)	 前天还在和某人讲其中那个雷人剧情：陈红演的嫦娥用脸盆里的水洗了把脸，徐峥演的八戒拿洗脸水和了面，结果门口很多“色狼”排队买用美人洗过脸的水和成的烧饼。。。。天啊，啊啊啊啊啊！不过小龙女变成泉眼时，我还是哇啦哇啦了，唉，哭点真低。            
(4星)	 还是徐峥的猪八戒可爱            
(2星)	 这片最大的贡献就是促成两人姻缘了吧            
(3星)	 初中的时候（还是小学？）很喜欢的电视剧，不觉得烂，而且很喜欢小龙女和猪八戒，觉得他们就是天造地设！            
(4星)	 现在想想，奇幻剧这部算是开山之作？            
(4星)	 我以前很爱看的啊。觉得小龙女超漂亮的，变泉眼那内牛碗面            
(4星)	 当时就是觉得好看            
(4星)	 谁当年没在电视上看过这部电视剧呢            
(5星)	 好好笑            
(NA)	 俺居然看过= =            
(3星)	 =。=            
(NA)	 当年为神马会看这种东西啊！！！            
(NA)	 孙兴你！            
(NA)	 “太白金星感激八戒，于是施法让他当一天人，咒语念动，八戒摇身变成了他的主人——英俊的朱书生的模样。“哈哈哈哈哈哈哈哈哈哈放屁！！！            
(NA)	 记得猪八戒满脸严肃地说了一句“为什么越是美好的东西就越是短暂呢”            
(5星)	 很感动小龙女··            
(3星)	 好吧... 其实 这个 也看过一些            
(4星)	 那時候我還挺喜歡徐崢的            
(4星)	 结局不好！            
(5星)	 此小龙女比起杨过家那只得人喜欢多了好不好。。            
(1星)	 囧。甚至連看完的心都沒有。那猪。那龙女。。怪怪。。。。唯一有点喜欢的那段是有关嫦娥的。开始以为説服后裔射日很简单。怎料到白头甚至被当成魔女。万念俱灰的时候终于得偿所愿。            
(4星)	 小时候 看哭了            
(4星)	 其实拍得很好，轻松愉悦，挺好看的。            
(4星)	 小时候好喜欢            
(5星)	 很好的演员们，很好的剧本。等等。感怀一下徐峥。            
(3星)	 好春光 不如梦一场~            
(4星)	 当时很喜欢陶虹扮的小龙女。            
(3星)	 无厘头的电视剧            
(3星)	 那时候陶虹还很红 现在反而是其老公徐峥比较红了             
(4星)	 好歹也是回忆            
(3星)	 我觉得第一部比后面几部靠谱多了 = =             
(5星)	 我觉着这个非常好看啊            
(4星)	 也许一直是个很容易被感动的人，大结局时没能忍住眼泪流下。这部剧好像因为内容部分粗俗，被广电总局禁止上星播放，但喜欢与感动还是不会变的。            
(5星)	 百看不厌            
(4星)	 不止一遍，现在放我还会看!!!            
(3星)	 我觉着蛮有趣的 后来翻拍的那些猪八戒一个比一个恶心             
(4星)	 这才是八戒啊。            
(4星)	 徐铮從此被我定型了。            
(4星)	 小学还是初中？            
(5星)	 从此以后，我喜欢上了徐峥            
(NA)	 哎呀            
(NA)	 补：翁虹陈红惊为天人            
(5星)	 稀罕稀罕            
(4星)	 猪哥哥~~我和小龙女一样好哭，可是我这的确没泉眼            
(4星)	 就是很感动……            
(3星)	 最后一幕我哭了~~~            
(4星)	 哎呦，徐峥。            
(2星)	 为了陈红美人~！            
(2星)	 该死的为什么当时天天播，夜夜放。。。            
(4星)	 小龙女            
(4星)	 看这部电视剧的还是好喜欢陶虹。2010。06。01            
(5星)	 当年哭了~~            
(3星)	 囧....为毛有些恶搞片怎么看也还只是恶搞片呢            
(4星)	 好春光，不如梦一场，梦里青草香，这一次人间也匆忙，小风大浪地狱天堂还有清风吹斜阳            
(NA)	 三个hong和一只猪            
(3星)	 好看            
(5星)	 当年爱死小龙女了，最后一集还哭了……哎……            
(NA)	 不喜欢看的，不过90年代的课后时光，也只有这些娱乐了            
(3星)	 现在看来都很傻。。。以前还是很傻的蛮喜欢的- -+            
(4星)	 你一哭，全世界都落泪            
(4星)	 这个事年少时候的经典~            
(3星)	 喜欢小龙女            
(2星)	 侮辱我智商。。。            
(3星)	 很小的时候看的啦~            
(3星)	 好春光!!!不如梦一场!!!!            
(3星)	 啊啊啊 啊猪哥哥= =            
(3星)	 最后还是有点感动            
(4星)	 我，我，我，我说什么好呢。            
(5星)	 之后的那些续篇都是SB！            
(5星)	 其实最后一集哭了= =            
(1星)	 還敢不敢再雷一點兒了...            
(3星)	 看了几集，很喜欢陶虹的小龙女            
(NA)	 不 不。我不要看。可是我看了。而且和爸爸看得津津有味            
(4星)	 當年大愛啊..            
(3星)	 猪哥哥。哎。最后原来你的龙儿就是泉眼。片尾曲好听            
(NA)	 小学时候每天晚上和我妈一起看。。            
(3星)	 六年级的时候我看的乐的屁颠屁颠的            
(4星)	 我好喜欢徐峥啊~            
(4星)	 轻松愉快            
(3星)	 小时候看的 不是那么喜欢            
(4星)	 猫妖可美可美了～            
(4星)	 唯一觉得陶虹好看的剧            
(4星)	 其实剧情编的蛮不错，尤其孙兴那段            
(2星)	 记得情节很扯。。还有翁虹，真的，好妖艳啊。。小学六年级            
(2星)	 2次。            
(4星)	 我觉得小龙女很可怜 唉。            
(4星)	 小时候看的很痴迷...就是喜欢徐峥&gt;&lt;            
(4星)	 神片，真心觉得好看            
(NA)	 徐峥那会儿是那样的            
(4星)	 从此迷上了小陶红！            
(4星)	 当时我看的很欢            
(3星)	 猪哥哥是好男人            
(3星)	 呀，猪八戒和小龙女多配啊！幸好现实生活中结婚了。            
(1星)	 脑子有问题            
(2星)	 。。。。。。。。。。。            
(2星)	 哦· 童年的暑假            
(3星)	 小时候看的还挺高兴的            
(1星)	 超傻，那时候居然也看。。。            
(4星)	 搞笑            
(1星)	 不过八戒真的演的很入神            
(4星)	 小学记忆，时间过得真快呀。。            
(NA)	 啊，囧光闪闪啊！            
(5星)	 看一遍哭一遍。            
(1星)	 这俩人还真恋上了- -            
(3星)	 这俩人还真就一起过了。            
(2星)	 还挺好玩儿            
(NA)	 恨死了那頭豬的不解風情            
(3星)	 啊 那时候我还在念初中呐            
(4星)	 长大了再看就是个错误~            
(4星)	 我觉得这剧特别美好……好春光不如梦一场~            
(4星)	 很喜欢~~里面太白金星太搞笑了            
(5星)	 我喜欢那歌..            
(1星)	 想起来真的那个猪八戒形象很恐怖啊。            
(4星)	 从此以后东海的每一滴水都是我            
(3星)	 虽扯蛋，但还不错。            
(NA)	 千万 就看这部就好了            
(4星)	 喜欢            
(2星)	 不想说啦，就这样啦            
(4星)	 没想到小龙女最后真嫁给了猪八戒....我挺喜欢小陶虹的            
(3星)	 小时候看的很HAPPY！~            
(3星)	 小时候看着过瘾。现在不喜欢了。            
(4星)	 叶伟信啊            
(5星)	 印象最深的是片尾曲 陶虹的回眸一笑            
(NA)	 在上海。还替小龙女惋惜过。            
(3星)	 初中的电视剧。            
(3星)	 其实这本来是一挺傻的剧，但就是那该死的结尾让我觉得特赞            
(3星)	 当猪那会太个应了。            
(NA)	 这一对儿            
(3星)	 徐峥好笑= =            
(4星)	 猪哥哥~小龙女~            
(4星)	 可爱搞笑~呵呵。            
(1星)	 还能在差点么？？！！            
(4星)	 我抗拒不了孙兴……然后 片头曲 片尾曲 莫名地喜欢            
(NA)	 我爸欣赏这个猪八戒            
(4星)	 屈中恒也在里头            
(4星)	 很好笑很好笑。            
(3星)	 曹            
(5星)	 我懷疑他倆是不是這時候就看對眼了            
(5星)	 定情的不是我            
(4星)	 爱徐峥            
(4星)	 看上去很无厘头，不过最后一集我还是被感动            
(NA)	 哈哈 我的童年            
(2星)	 陶虹姐姐和徐峥大哥，还有陈红阿姨呢。            
(1星)	 不值得看            
(3星)	 猪哥哥~~            
(3星)	 促成一段姻缘。            
(3星)	 哎~ 我挺服我自己的 什么都看·            
(3星)	 太白金星...            
(4星)	 前面经典，后面拖沓。对陶虹的可爱面孔一度着迷，未想徐铮最终能成就姻缘。            
(NA)	 看几遍了            
(3星)	 歌儿不错            
(3星)	 恩...人都有年少无知的时候...我看过            
(3星)	 有时满好笑的             
(4星)	 我觉得徐峥在这个里面好可爱啊            
(4星)	 可以当作寓言            
(2星)	 猪八戒看上去真蠢            
(NA)	 主题曲真让人喜欢。            
(5星)	 那时候徐铮太可爱了 现在太胖了 不嫩了 希望他能拍更多喜剧            
(4星)	 小龙女·            
(3星)	 成就了一对情侣            
(NA)	 无厘头搞笑？演得不是很好呀怎么会有那么多人喜欢？还捧红了主演？不明白……            
(2星)	 。。。            
(3星)	 好春光，不如梦一场，梦里青草香。。。            
(4星)	 喜欢陶虹            
(NA)	 看最后一集的时候我靠在沙发上哭。            
(4星)	 最后的最后竟然让我的鼻子有点酸            
(4星)	 小龙女太好了            
(3星)	 小陶虹已经很不错了，但是眼睛长的我不喜欢。            
(3星)	 现在看来怎么这么雷人啊。。            
(4星)	 徐峥演得还是不错的            
(4星)	 好春光,不如梦一场,梦里青草香            
(2星)	 当初怎么那么火？！            
(4星)	 后面的神话剧都在续貂            
(4星)	 2000            
(NA)	 貌似 小龙女死的时候我还哭了。            
(NA)	 我爱小龙女。哦也！            
(3星)	 喜欢片尾曲            
(4星)	 猪哥哥多傻多天真啊            
(5星)	 猪八戒系列最好的一部，最后一集看得哭了            
(2星)	 没啥好看的..这俩人倒是共结连理了            
(NA)	 主题曲很好听            
(NA)	 看后认识并喜欢徐铮            
(5星)	 好歹当年也看的欢实！            
(4星)	 曾经那样火爆过，那时的最爱吖            
(3星)	 第一部还是可以的。。            
(5星)	 我为它流过眼泪的呀……            
(5星)	 结局非常感动~            
(1星)	 相当垃圾。            
(3星)	 我看过这个···白瞎了徐峥和陶虹两口子了都            
(NA)	 我看的是我们家的方言版本，哈哈，超级搞            
(2星)	 垃圾            
(NA)	 徐铮是惟一一个不恶心的猪八戒。            
(NA)	 儿时的挚爱 无比感动            
(1星)	 对经典著作的超级恶俗的恶搞            
(NA)	 叶伟信？叶伟信？omg……            
(3星)	 男疯女傻，我没话说……            
(4星)	 里面的爱情，一样是没有结果的吧。            
(4星)	 爱煞陶红和徐峥这对            
(NA)	 没想到陶虹和徐峥一戏定情             
(4星)	 马马虎虎            
(3星)	 只爱第一部            
(3星)	 这只“猪”呆得还是比较自然的            
(4星)	 少年居家必备            
(5星)	 我崇拜的第一个影星，迄今仍然死心不改，那就是：小龙女！            
(1星)	 恶            
(3星)	 有点羡慕猪八戒            
(NA)	 猫妖~真怕有人也长那么长的牙咬我一口            
(2星)	 烂片            
(NA)	 认识了小陶虹和徐峥。            
(3星)	 恶搞，这就是恶搞            
(2星)	 当年的帅哥孙兴变成了这个鬼样子            
(3星)	 初中时很是火了一把            
(3星)	 大天看这剧感动的要命，我实在是没找着感动点……            
(NA)	 看了N边，小猪八！            
(4星)	 当时很感动            
(4星)	 就这部还能看~喜欢两主角...            
(1星)	 愚蠢            
(3星)	 偶居然看过这部．．．．．．．            
(5星)	 虽然很多人都觉得很烂，但我仍然被感动，被逗乐，爱上小龙女，爱上朱哥哥            
(3星)	 居然是讲述悲伤爱情的。。。            
(3星)	 看着就是一乐            
(5星)	 懂            
(5星)	 只有同龄人才懂给这部电视打五星的含义            
(2星)	 成就了徐铮和陶虹 。            
(3星)	 徐铮和陶虹的爱恋            
(4星)	 当时也超喜欢有没有！小龙女阿~~            
(5星)	 果然不是我泪点低，编剧真的很牛逼，演员演技也无可挑剔，小陶虹的眼睛真漂亮。            
(5星)	 好春光，不如梦一场            
(3星)	 补遗            
(NA)	 真好看            
(3星)	 猪哥哥，啥的，傻不傻            
(4星)	 国产无厘头，笑点比较多            
(5星)	 儿时的回忆，和那些续拍后拍相比，这部才是最完美的。            
(4星)	 都是记忆里的好回忆            
(5星)	 挺不错的。。。            
(5星)	 蓝天白云 青山绿水还有清风吹  斜阳 儿时最爱之一            
