http://movie.douban.com/subject/2245679/	西游记后传
(5星)	 卧槽 评价这么低  我认为这简直是神作啊  无天的设定多牛逼呀 ╮(╯▽╰)╭            
(5星)	 这电视剧老牛逼了，可是鬼畜鼻祖啊！！！            
(5星)	 这是个神作，，给出五星。。。。。沃勒个草            
(NA)	 爆无聊。。扯嘛。            
(2星)	 神作，创造了一场动作戏可以从左边右边播两边来显示动作戏强大的先河            
(4星)	  = - = 噗..小学的时候至少看了两三遍..之后电视上不放了还觉得非常怀念..这评分怎么这么惨不忍赌..片尾曲真的很好听阿喂！            
(5星)	 其实这部电视剧很值得推敲的，后现代解构主义。            
(5星)	 我觉得挺好的。。10岁看的。。            
(1星)	 雷片无底线……            
(1星)	 当我看到一个比僵尸还僵硬的孙悟空以及一个打斗动作重复N次的特效之后，只能说一句“人是人他妈生的，妖是妖他妈生的。”            
(NA)	 编剧居然是钱雁秋- -b            
(5星)	 片头曲，前情提要。左一下，右一下，再左一下，再右一下，再左一下，再右一下，再左一下，再右一下，再左一下，再右一下，再左一下，再右一下，再左一下，再右一下。下集预告，片尾曲。            
(1星)	 西游记最烂的一部，记得之前看过了，这孙悟空看着真让人恨不得想杀了他。。。于是，该片又名，《鬼畜大盛宴》。。西游记烂片版本介绍：http://www.tudou.com/programs/view/zR9ZSpbKa5I/            
(NA)	 姥姥每年都要看一次，每一次都说每集都没有看过            
(1星)	 日            
(1星)	 左一下右一下            
(3星)	 “又名：鬼畜大盛宴”……            
(2星)	 那时候我爸我哥就在怀念六小龄童呢，于是就老是讲这个孙悟空头都扭不动，傻不拉唧的。            
(5星)	 武打重复镜面镜头太多太差劲。故事一流。            
(1星)	 印象深刻，现在回想觉得此片好雷。            
(1星)	 难以回首面对当年没网得无可选择看电视得日子……            
(2星)	 重复镜头多到令人发指…………            
(1星)	 我日！！！那个演孙悟空的香港人是我见过的最烂的演员。编剧居然还是钱雁秋！这么烂的电视剧剧本居然和神探狄仁杰是一个人写的？！            
(2星)	 前几集悬疑的程度可以打到4星，后面白痴的程度可以打到一星。综合下两星！还有佛祖居然被干掉了，太牛叉了，但我接受不了，谢谢。            
(1星)	 极品孙悟空            
(1星)	 烂片之王            
(4星)	 其实我喜欢里面的歌。还有乔灵儿的爱情故事。            
(5星)	 为嘛我觉得超好看            
(2星)	 SB电视剧。。            
(NA)	 繼續翻            
(4星)	 【here】            
(1星)	 《鬼畜大盛宴》。。。。果然是豆瓣成立以来最贴切的取名。            
(5星)	None
(5星)	 我必须给这个五星            
(4星)	 对固有想法的颠覆，我觉得还不错啊。黄海冰和白莲花，加一星            
(4星)	 五年级时候看过 那时候很爱看            
(2星)	 一颗给乔灵儿，一颗给主题曲。            
(1星)	 国产鬼畜王            
(2星)	 我欲成仙，快乐齐天！            
(NA)	 又名: 鬼畜大盛宴             
(2星)	 雷剧。四次方的打斗设计伤不起。 片尾曲很好听（相思）。            
(1星)	 重复武打动作三遍，以显示其威力的后现代武打艺术。至于剧情就是一坨狗屎。            
(1星)	 我欲成仙，快乐齐天，唱！            
(1星)	 颈椎病孙悟空            
(1星)	 我真不好意思说我其实看过            
(4星)	 我总么觉得好看呢，最后一集孙悟空说我不入地狱谁入地狱我还哭了呢。            
(3星)	 小时候还挺喜欢的。。。还觉得好恐怖。。            
(2星)	 这个...太不好看了。就白莲花长得还蛮好看的。            
(NA)	 我就记得片尾曲不错，其他都烂- -            
(3星)	 左一下，右一下，再左一下，再右一下。            
(NA)	 。。神一般的存在。。            
(5星)	 无数个被销魂的重复N+1武打动作强奸的夜晚。。。只为听毛阿敏唱起片尾曲。哈哈            
(3星)	 刘欢的主题歌给一星，片尾曲给一星，当年就为了听歌来着。拍得很烂            
(5星)	 剧情很有创意，吸引人，还有歌很好听            
(5星)	 只有动作戏重复用太多之外没啥缺点，孙悟空还是我小时候喜欢的又酷又拽            
(NA)	 ................            
(2星)	 黄海冰演的是唐僧么我都记不清了            
(4星)	 为什么就要如来统领三界， 紧那罗的人性和神性的对抗，一定要人性输吗            
(3星)	 怎么是黄海冰！ 不过他们穿越的那一刻乘风团结的样子是让人泪流涕下啊。            
(3星)	 就当是同人剧            
(1星)	 烂片之王 无人争雄            
(1星)	 又是马雅舒这贱人            
(NA)	 我的英雄，当你活过来的时候，我泪流满面。            
(1星)	 ……            
(3星)	 如果不是悟空的脖子和 一个动作的四连放，我会给五颗星。            
(1星)	 今天你惨遭雷霹了吗。            
(1星)	 为什么不能打负分            
(NA)	 你们家祖先都是妖精            
(2星)	 其实设定还是可以的~就是有点雷的离谱……无天实在是太二了…………            
(1星)	 还有比这个更雷的电视剧里么            
(2星)	 我居然看过这个，童鞋们！！            
(NA)	 片尾曲不错 毛阿敏唱的哦            
(2星)	 我竟然也看过这样的囧片。。。            
(4星)	 说实话我小学时挺喜欢的，可惜现在已经看到不想再看的地步了            
(4星)	 西游记后传            
(1星)	 要死了要死了……            
(1星)	 MB，烂伤了。            
(1星)	 红豆生南国            
(NA)	 多好的镜头额.........            
(NA)	 里面悟空的脖子是不会动的            
(1星)	 我看这个的时候也很小 不过 还是会判断的 这种故事简直是瞎扯 根本没有什么文化的成分 称得上是文化上的亵渎 至少我小学的那时候 虽然没有说它烂 但也觉得这种故事连我都可以乱编几个 确实也只有小学生的水准 烂得可以            
(NA)	 相当牛逼的剧情。。。相当腹黑            
(5星)	 不内涵            
(3星)	 想法不错的烂片~            
(NA)	 禁片···只可看一遍不得再看的电视剧···            
(NA)	 唐僧很给力            
(3星)	 把它当鬼畜大盛宴这部剧看就好，忽略西游记后传，想当年我是看得不亦乐乎。重要的是直到今天我都记得碧瑶。            
(NA)	 强烈推荐！！！！！！！            
(5星)	 为什么分这么低 明明少年时光看的很开心并且重播的时候还会看诶             
(1星)	 我浏览维基突然看到这个，想到我当年居然耐着性子看完，真想自插双目。            
(1星)	 hahahaha            
(1星)	 不如看老湿点评            
(1星)	 擦，怎么没0颗星的            
(1星)	 什么垃圾！            
(NA)	 黄海冰你别这样！不能去演武侠么TAT……你的萍踪侠影虽然跟原著无关但……就看你的古装扮相也好啊【够            
(NA)	 对。。。就这只孙猴子 真特么像阿内尔卡。。。。            
(1星)	 突然想起来，这片小时候我看过=。=            
(5星)	 乃们都神马挑剔的眼神哪！就凭音乐也能给五星好咩！哇哈哈            
(1星)	 太可怕！            
(4星)	 反正我还满喜欢黑子的            
(1星)	 孙悟空毫无表情……那个武打也太销魂了……            
(1星)	 其实剧情还不是很蛋疼 但是想起那无数重放的剧情 我蛋都碎了            
(1星)	 傻逼            
(1星)	 这才是真正的烂到惊天地泣鬼神            
(1星)	 这是内地魔幻剧的开端吧。把神话故事拍成魔幻剧应该是首创了吧。吓人啊。            
(4星)	 虽然为了节省成本打斗及特效部分处理的很囧，但是这片子拍的很有情谊，大结局的那集把我感动坏了。            
(1星)	 永。永。永。无。无。无。止。止。止。境。境。境。的。的。的。回。回。回。放。放。放。啊。。。。。。。            
(1星)	 我只能说！绝对是经典！！！！！！！！！！！！！！！！            
(1星)	 老湿~            
(2星)	 其实唐僧是武林高手            
(4星)	 其实除了特效极差武功镜头不断重复重复重复孙悟空表情呆滞以外剧情真的还不错。那时候觉得黄海冰演唐僧比沈浪帅。            
(1星)	 烂片中的战斗机。。。。            
(1星)	 看到你的广播我突然想起来我也看过！！！              
(1星)	 如来谈恋爱，最低CUP也要是三角恋。            
(NA)	 无法用言语来表达            
(1星)	 重复N次的打斗动作啊，一个动作N个角度重复拍摄啊。            
(1星)	 视听语言革命            
(2星)	 小时候11点以后老看，后来我觉得，这太。。。了！！！            
(3星)	 里面有谢大脚            
(1星)	 不断回放镜头，坑爹之作            
(1星)	 武打片段一定要打几遍！左一遍！右一遍！上面一遍！下面一遍！耶！            
(1星)	 吐            
(1星)	 烂片中的战斗机！            
(1星)	 ……战斗机，这个当年确实看过不少，真是屎啊            
(1星)	 烂片中的战斗机哈哈哈            
(3星)	 片头曲加演员表五分钟，片尾加预告五分钟，打斗动作重复放个十分钟，剩下十分钟是剧情。可我还真是觉得有那么点可看性。想当年结尾我被感动了喂！            
(NA)	 太酷了！！！！！！！！！！！！！！            
(4星)	 雷剧啊当年多么喜欢 ~哈哈            
(3星)	 吓人片子0 0            
(3星)	 其实我觉得还好，就是他妈的那个镜头晃的，头晕            
(2星)	 又名鬼畜大盛宴  hhp            
(3星)	 真心觉得这个片子那么好看！！小时候看了好多遍！！！剧情曲折 音乐也好好听 好神奇的 那个碧游姑娘也好贤惠啊 真的好看啊 无天大反派也很可恶的感觉 ~            
(NA)	 = =鬼畜大盛宴是怎么给审核通过的！            
(2星)	 鬼畜系列鼻祖？            
(2星)	 翻拍基本没好货！            
(4星)	 大陆水准又倒退了            
(NA)	 居然还看过很多遍~泪奔~我现在还能很不要脸的添加电视剧么。。。。老实说。。。真滴觉滴好丢人~~~捂脸~~~~~            
(3星)	 三颗星给灵儿。            
(NA)	 雷!            
(3星)	 歌很红。            
(1星)	 能不能不要拍一些傻蛋的片子···············            
(NA)	None
(NA)	 小学的回忆==+            
(1星)	 这里面的孙悟空好诡异啊！好像脖子落枕了            
(NA)	 小时候看的挺高兴的。啊哈哈            
(3星)	 一个动作可以一模一样地放三遍~我服了它了~~            
(2星)	 好囧，可是我还是记得片尾曲是毛阿敏的相思，真好听啊            
(1星)	 一个打斗镜头从四个角度放四遍……当观众是瞎子么？！            
(1星)	 要是有负分就好了。。。            
(3星)	 #集中吐槽日# 我好像记得这里面唐僧和观音有JQ。。。。所以一直好喜欢，后来再也找不到这段JQ了，莫非是小时候我自己YY出来的？            
(NA)	 oh my god 我居然看过这。。。            
(3星)	 我特喜欢片尾曲            
(3星)	 现在想来挺雷的            
(3星)	 一半的时间都是有重复镜头和废话组成的= =不过编剧能想到编这些也挺不错的~片头曲和片尾曲都不错~            
(4星)	 天雷滚滚到外焦里嫩的片子，仿似出故障似的重播，师徒四人的无厘头。不过，享受过那，秀气的灵儿，刚毅的白莲花，多么希望他们俩圆满了，可惜还有个碧游，就是上错花轿里的公主，比碧游美，却喜欢不上，果真不是个男人，没有那个心。            
(NA)	 这就是那神马魔幻现实主义么。。。            
(3星)	 天降我在，天地之间，总会有故事让后人看。            
(1星)	 去死去死吧            
(1星)	 是不是那个左左右右的特效的            
(1星)	 重播率为什么这么高这么高。毛阿敏唱歌还是蛮好听的。话说我其实挺想知道整部剧到底他妈的想说什么，人物关系到底他妈的是怎样            
(1星)	 三连击啊  额买噶            
(NA)	 片子是囧雷但是片头片尾真的很好听。            
(2星)	 冲片尾曲《相思》才给的            
(3星)	 编得很可以~星星基本是打给回忆的~            
(3星)	 小时候觉得可以。情节改动太大。但是可以说还是比较合理吧            
(NA)	 那什么主题曲很震人。。            
(NA)	 异常的傻~            
(NA)	 终于想起这破玩意儿  当年重放次数堪比海尔兄弟            
(NA)	 灵儿真妖孽！！！            
(NA)	 至少我曾经觉得黄海冰还是不错- -            
(4星)	 当年我很喜欢呀。。。刘欢唱的那首我欲成仙现在还记得。            
(3星)	 就对结局感兴趣点~其他的编的很无聊~            
(1星)	 孙悟空彻底恶心到我 了            
(NA)	 主题曲还挺好听的            
(2星)	 你那个伟大的特效囧            
(1星)	 狗尾续貂            
(2星)	 诡异            
(2星)	 第一次认识马娅舒，这女的真好看呐。            
(5星)	 我喜歡這個版本            
(5星)	 小学时候的最爱~            
(1星)	 這部劇是侮辱西遊記來的            
(1星)	 是神作啊!!!            
(2星)	 特技真是烂到发指了。2010.06.01            
(4星)	 为什么评分这么低？我很喜欢的啊            
(NA)	 为什么分数这么低，觉得很好看啊            
(2星)	 左打一下，右打一下，左打一下，右打一下。我当时完全没学过电视，只是觉得这个导演在拍打戏时十足是个唐僧，一直重放，你以为这是棒子的综艺节目啊。            
(2星)	 哦哦哦我欲成仙~~~~哦哦哦哦哦哦快乐齐天~~~~~~~~~~~（哗哗哗）后人看            
(1星)	 娘诶，居然还有黄海冰哟！我滴个天！佛都被灭了，这是神作啊！            
(3星)	 概念很好            
(1星)	 每个打斗场景都只拍一遍，然后对称播放。。令人发指。唐僧武艺高强。            
(NA)	 这个剧会让人有很焦躁的生理反应            
(2星)	 佛祖有好多感情戏。。。不过2首歌还是蛮好听的。刘欢和毛阿敏            
(NA)	 它不囧            
(2星)	 孙悟空的脖子是不是被植入钢钉了，老是昂着头？！我恨透了此片的慢格重放的武打动作。为了毛阿敏的片尾曲《相思》才在电视上看完了此片。            
(5星)	 如果客观点，给4星甚至3星是可以的。但这与我那一段时间相联系啊。            
(1星)	 一个JB镜头上下左右各来一遍，你能不吐？            
(NA)	 不想给星…            
(NA)	 唔知點評。。            
(1星)	 神作            
(4星)	 其实剧情不算太烂，考据也有模有样，但是制片方的诚意明显不够，从头到尾那鬼畜的打戏实在是雷死我了。。。            
(2星)	 全部看完 很烂 只是看见孙悟空不论多烂我也必须看完 我不忍心            
(1星)	 雷死人            
(1星)	 童年噩梦...            
(NA)	 我看的时候哭了的说..            
(NA)	 当时看的还胆战心惊的 。。。            
(2星)	 N年前看的，曹荣这个悟空实在是不咋地，不过白莲花很PL，从此记住了马娅舒            
(1星)	 打斗动作全部都是一个动作重复放N遍。唐僧成了天界黄飞鸿，反派老大酷似摇滚歌星。            
(4星)	 毛阿敏的嗓子。            
(3星)	 老子居然看过…            
(4星)	 其实当年看觉得还可以啦，喜欢曹荣            
(1星)	 极品.倾情演绎，让你感受《西游记》不曾有过的心动！            
(2星)	 歪脖猴            
(1星)	 垃圾!            
(1星)	 douban应该有负星。            
(4星)	 片尾曲很好听，最难忘却古人诗            
(NA)	 我觉得还不错嘛。。。。。            
(4星)	 主题曲和片尾曲还是很好的            
(4星)	 编的不错 有创意            
(3星)	 其实还不错，就是孙悟空面无表情。。。            
(5星)	 非常喜欢！！！            
(1星)	 鬼畜啊......            
(3星)	 初中的时候回奶奶家过年他们都在看这个，雷的我外焦里嫩啊。。。打斗镜头左边放五遍右边放五遍再左边放五遍右边放五遍。。。神作啊！！！！！唐僧和各种美眉的情史啊！！！孙悟空还圆寂了是吗！！！记不太清楚了！！！            
(3星)	 片尾曲很好听。            
(2星)	 真心坑爹版的大作，看看老湿的评论，真是贴切啊。。            
(1星)	 真想弄死那个叫曹荣的家伙~            
(3星)	 谁起的“鬼畜大盛宴”这么贴切的别名，猴子的宿敌阿伊那伐？            
(1星)	 胡编乱造啊            
(1星)	 鬼畜大盛宴=。=            
(1星)	 神一样的电视剧 佛祖都被干掉了。。            
(3星)	 不管怎么样，这部剧还是陪了我小学的好几个暑假的，至今听到相思的前奏都禁不住流泪，既是因为歌，也是因为我的那个永远回不来的童年...            
(4星)	 故事很喜欢，能看到哭。特技能比故事更重要吗？后来看《悟空传》的时候还老想到。            
(3星)	 其实说实话我小时候还是觉得挺好看的。            
(NA)	None
(5星)	 真心觉得不错            
(1星)	 囧囧有神的剧，除了那首片尾曲&lt;相思&gt;。            
(1星)	 剧情真是好的，里面挺有内涵的，就是投资少了点吧，镜头老是连播好几次 有点不舒服。            
(2星)	 雷剧，笑死我了            
(3星)	 现在听片尾曲还会哭，真心好听。不管有多少人骂，都是我的回忆。灵儿有危险的时候碧游挡在他身前的那个动作我一直都记得            
(2星)	 短评亮了。。。鬼畜啊。。。            
(1星)	 有无星没有~            
(3星)	 各种重复招~尼玛晃傻了。。。            
(2星)	 魔幻不是妖魔鬼怪胡搅蛮缠啊亲！            
(4星)	 鬼畜大盛宴是咋回事。里面那个传世灵童美的一逼啊            
(4星)	 剧情有点雷，不过还算刺激，要是武打动作别那么晃眼就好了            
(5星)	 剧情推理是挺不错的呀……当时看着教育青少年的片子也蛮感动 这种奇葩电视剧我很有打五星的冲动 戳进去，里边的评论笑死我了~~~^_^~~~             
(NA)	 鬼畜大盛宴。。。。2333               
(4星)	 毕竟我小时候很喜欢看            
(NA)	 - -很早以前看的            
(2星)	 我欲成仙~~~~老湿最不齿的电视剧，我看过~~~~            
(4星)	 剧情很好  喜欢面无表情的孙悟空            
(2星)	 真不咋地            
(1星)	 鬼畜第一剧！！            
(2星)	 太尼玛坑爹了！            
(3星)	 自带鬼畜，当初我是看到打斗就想吐。主题曲不错。            
(4星)	 恩,当时觉得这个后传很新颖            
(4星)	 当初很喜欢的片            
(2星)	 我去，我当时居然看完了，精神是有多贫乏啊            
(3星)	 烂片            
(3星)	 其实，这三颗星全都送给片尾曲好么，每次我看这部烂糟的电视剧都是为了听片尾曲……            
(4星)	 其实还挺好玩的啊真是的干嘛要黑它。。。多欢乐的三遍动作和淫荡如来 多欢乐的打斗唐僧和废话悟空~            
(2星)	 留给年少            
(NA)	 我欲成仙，快乐齐天~~就记得这个了            
(1星)	 我都不好意思承认我看过。            
(2星)	 少不更事啊~~~            
(NA)	 只记得那重复的动作啊  重复重复重复重复重复。。。            
(3星)	 奶奶家的好多个暑假的其中之一好吗！！！回想起来只有半个剧情，我不记得了啊！！！！            
(1星)	 这部片子开启了孙悟空面瘫的先河，以后的西游记便分分效仿            
(2星)	 谁的童年没有几部雷人的电视剧陪伴呢，人生要完整嘛            
(3星)	 个人觉得拍的还好，那个悟空看上去比六小龄童顺眼            
(2星)	 实在雷人            
(4星)	 这四分是给剧情的            
(NA)	 囧            
(3星)	 其实，我觉得蛮好看的呀。。。可能是因为觉得唐僧蛮帅的缘故            
(4星)	 无敌聪明的孙悟空、无比能打的唐僧以及四处留情的如来佛祖。高中时每天赶在爸妈下班前看两集的记忆。            
(3星)	 我一度不能接受沈浪去演了唐僧!            
(5星)	 好喜欢啊，不知道为神马。            
(4星)	 当时看的比较有劲不知笑点在哪哈哈            
(3星)	 当时觉得佛祖转世谈恋爱那段挺好看的，现在不能想了。            
(1星)	 垃圾            
(1星)	 重复  不断的重复            
(2星)	 填标签的时候突然犹豫了……如此鬼扯的一部剧，我该怎么标签？            
(3星)	 。。。。。。只能说用错了导演和男主（其实就是同一个人。。。传说中的那粒老鼠屎。。。），剧情其实不错的，小时候看的时候也曾被灵儿和碧游仙子惊艳到，真的是都被一个人给毁了。。            
(4星)	 可以啊            
(1星)	 但愿豆瓣出个负分制。。。            
(1星)	 幼小心灵被伤害            
(4星)	 我喜欢那种世间有恶的混沌氛围            
(2星)	 极烂！居然看完了。年少无知啊年少无知。            
(5星)	 情节好看，片首曲片尾曲也好听            
(1星)	 非常恶心，老子想打人！一群脑残拍出来的，还是老湿吐槽经典。            
(1星)	 其实编剧真的很有才的……能把剧编成这样，这个脑袋真的很不一般啊不一般啊！！！            
(4星)	 有创意            
(5星)	 看哈利波特的时候忽然想到这部电视剧…………我真觉得挺好看的……            
(NA)	 当年这片子满世界的乱发，我眼贱，竟然看过那么几个镜头，真他妈的雷死人不偿命！            
(2星)	 我记得好像我弟特别愿意看【到底亮点在哪里嘛            
(NA)	 神作            
(3星)	 哎呀当初迷死了，怎么现在一看这么傻，那个悟空……噗，你脸是假的吧            
(3星)	 小时候每次看这个都要耐心等好久前面的人物介绍。。每个武打动作都要重复好多好多遍。。唉。。╮(╯﹏╰）╭ 以前还讨论过白莲花和碧游哪个好看的问题。。。还有就是，为什么佛祖也有真爱？？还有一个烂俗的名字：灵儿。除此之外无天还是挺帅的。。。            
(2星)	 玩儿蛋去！！！            
(NA)	 就记得他们变来变去的，不知道谁是谁            
(1星)	 烂到极点，一个武打动作要重复三遍，怎么不去死啊？？？            
(3星)	 曾经的记忆~            
(NA)	 歌好听 喜欢莲花            
(1星)	 可惜了两首好听的主题歌..            
(NA)	 雷。。。            
(4星)	 哎哟孙悟空成佛祖了啊！            
(2星)	 以前觉得还蛮好看的，现在越想觉得越囧！大家可以去百度搜搜“老湿对西游记的点评”，其中对西游记后传的点评简直精辟！            
(2星)	 当时争论喜欢白莲花还是碧游            
(2星)	 哈哈哈哈~~奇葩~~            
(1星)	 尼玛想起来这部电视剧我就头疼。。十分钟开始十分钟结尾尼玛十分钟打架还是带幻影的  艹  史上最烂电视剧。            
(2星)	 无色界的概念~~            
(5星)	 当年看得热火朝天感觉很好的，咋评分那么低呢            
(1星)	 超屎            
(1星)	 本片又名: 鬼畜大盛宴；真有点鬼畜轮奸我们眼球的感觉啊！！！            
(2星)	 动作重复神作。。。。            
(3星)	 挺怪诞的如果不考虑和西游记本传分开考虑还是挺好看啊……当时超喜欢天无、、            
(4星)	 文字一大亮點，結構一大亮點            
(4星)	 评分这么低啊 小时候超级爱看 而且印象巨深 还有好多记忆            
(NA)	 唐师傅武功高强            
(1星)	 神作啊！编剧导演们啊！小心吴承恩从棺材里跳出来找你们啊！            
(2星)	 我勒个去了，动作重复的我头晕眼花。            
(4星)	 童年，西游记之后。。。            
(3星)	 看了不下三遍。。三遍。。如果你愿意剪掉所有重复武打镜头，我愿意立马打上5星            
(2星)	 很窘            
(3星)	 潮汕话版真的很雷。            
(1星)	 烂片中的奇葩 开创历史之先河 看瞎我的狗眼            
(5星)	 一个天才的编剧            
(1星)	 记住的只有重复不断的动作            
(NA)	 跟老妈一起看的。            
(1星)	 一定要马克一下好吗。。。。那种不敢回想的感觉            
(4星)	 扯。。。。尼玛还HP和他那么像。。。            
(3星)	 。。。            
(NA)	 这片儿太他妈好看了！！！            
(2星)	 哈哈，竟然真的是这个= =十分钟片头片尾，十分钟剧情和十分钟重复动作的神作= =            
(NA)	None
(2星)	 小时候看的。剧情大概是这样子：片头曲，前情提要。左一下，右一下，再左一下，再右一下，再左一下，再右一下，再左一下，再右一下，再左一下，再右一下，再左一下，再右一下，再左一下，再右一下。下集预告，片尾曲。            
(2星)	 我很费解啊很费解。。。。好在片尾曲不错。。。            
(1星)	 恨死那种无限回放啦！！！            
(3星)	 这种烂片也就骗骗小孩子了，我小的时候电视上放的，那时候可喜欢了。看在童年回忆上，勉强打个三星            
(1星)	 我给0星            
(2星)	 编剧是敬业的，但是导演是个250            
(1星)	 我艸 怎麼會有這種東西 會法術的唐僧            
(1星)	 这部剧完全是给人吐槽用的            
(5星)	 中国鬼畜开山之作            
(2星)	 有点雷啊~唉~            
(1星)	 给西游记评完后突然想起这个奇葩，那动作场面，此生难忘啊！            
(2星)	 这个很傻            
(2星)	 虽然黄海冰很帅，但这个肯定和以前的经典不能比了            
(1星)	 每个动作重复三遍啊！！！三遍啊！！！！你当观众都傻啊！！！！那个无天本来有看头的，想当lucifer啊~~可惜悟空太2.。。太2.。。            
(3星)	 确实打斗场面是在不断地重放，这点看的很郁闷。            
(1星)	 可以排名了-----------------最差电视剧。            
(1星)	 还是我艹！            
(4星)	 同意有个豆友，能不跟风评一星嘛？剧情还不错呀            
(1星)	 一部烂的不能再烂的电视剧。。。            
(NA)	 哈哈            
(4星)	 没看完，当年无法忍受它的重复武打···我身边的同学倒是都很喜欢，表弟为了看此剧在大年三十晚上满地打滚阻止我们看春晚····多加一颗星给片尾曲《相思》，好吧片头曲也很不错~其实这部11年前的剧剧本写得比现在的XX秘史之流精彩的多，最起码小朋友们都是很喜欢的~~            
(3星)	 是的。。。哥看过这个每一个动作都要重放十遍的电视剧。。。            
(1星)	 奇葩            
(2星)	 哎呦我去。这么经典的片子我都找着了。            
(1星)	 这鬼扯的  孙猴子是一面瘫            
(3星)	 鬼畜大盛宴？？？            
(5星)	 最后那句我不下地狱谁下地狱。。。。让人哭啊·········            
(NA)	 囧囧更健康            
(NA)	 真心觉得不好看            
(5星)	 我看过的！绝对神作!鬼畜大盛宴！            
(3星)	 打斗场面太2了。            
(2星)	 爱情片            
(3星)	 鬼畜神片            
(1星)	 没见过这么戳的电视剧！            
(1星)	 nightmare.....................................................................!!!!!!!!!!!!!            
(5星)	 很不错，老湿和一些豆瓣同学偏激了，很喜欢的剧情后续            
(2星)	 雷剧            
(2星)	 补遗。拍得很省钱的，各种重复镜头。            
(2星)	 很囧            
(4星)	 歌还不错            
(2星)	 那个孙悟空实在是太坑爹了            
(NA)	 年少时看还不懂鉴赏呵            
(1星)	 奇葩！            
(1星)	 烂片中的惊点啊！！！            
(2星)	 鬼畜大盛宴            
(4星)	 小学时最喜欢的电视剧　无天真假老猪孔雀弱水什么的现在还记得啊！还有黑袍！            
(2星)	 无天。无心。            
(5星)	 就冲这鬼畜题材打5星wwwwww那时我到底是怎么看下去的看到结局还感动得差点稀里哗啦的……OTZ            
(5星)	 绝对神作            
(3星)	 鬼畜大作。            
(1星)	 愚蠢的电视剧            
(3星)	 够  狗血的了            
(1星)	 当年看的时候真他妈想自插双眼！            
(1星)	 电视剧版恒源祥。            
(2星)	 我怎么觉得观音跟唐僧很暧昧啊            
(1星)	 哈哈，鬼畜大盛宴，完美的概括啊            
(2星)	 小时候觉得很好看，现在看起来感觉脑残。。特别那打斗动作            
(4星)	 四星完全给片尾曲和编剧。            
(5星)	 鬼畜!            
(5星)	 小时候很喜欢看，唯一不足就是那个反复三遍的打斗动作，坑爹啊            
(NA)	 当年看的时候雷死我了喂。            
(1星)	 太tm坑爹了 无法形容             
(4星)	 OP和ED我到现在还会唱啊~~~你们这帮装逼范儿凭什么说这剧不好啊！！乔灵儿和五真的床戏我这辈子都忘不掉啊！！！            
(4星)	 其实插曲都很好            
(5星)	 灵儿~~~~~~~~~~~~~~么么嗒~~~~~~~~~~~~~~~~~            
(3星)	 鬼畜大盛宴！！ 导演意识真超前啊            
