http://movie.douban.com/subject/2156718/	锦绣良缘
(4星)	 还是很喜欢这部剧的，花了两天时间重新看了一遍            
(NA)	 查漏补缺            
(4星)	 这部是初中看的，每天吃晚饭的时候看的。            
(4星)	 頓珠人人愛 ^_^            
(4星)	 那时候看，觉得特别好玩            
(4星)	 今天又看了一次,还是各种喜欢 很喜欢文颂娴&gt;&lt;            
(3星)	 一邊打機,一邊看..            
(5星)	 唯一与之可以媲美的就是《金枝欲孽》            
(NA)	 完全唔记得剧情 只记得睇过            
(5星)	 当时很喜欢 现在不知道 那个时候我小学几年级来着            
(4星)	 靠妖，这部剧起码看了3遍。            
(4星)	 很喜欢文颂娴            
(4星)	 文文各种可爱            
(4星)	 還是老的TVB好看，演員也好            
(NA)	 重温了一遍还是很喜欢～            
(3星)	 这个剧电视上老放,于是我也就跟着看了好几遍...            
(4星)	 满喜欢文颂娴的            
(4星)	 大爱文颂娴            
(5星)	 喜欢文颂娴~~~            
(4星)	 很欢乐～            
(4星)	 港剧就算BUG多 也很嗨皮。            
(3星)	 很可爱的剧。三嫂三哥啊哈哈哈。            
(5星)	 小时候超爱，看了无数遍。            
(4星)	 没深究过，为什么同样是刁蛮任性，大陆众美演起来恨不得用鞭子抽上去，但是港台的就不着痕迹的喜欢。            
(4星)	 小時候湖南經視放的,當時覺得超好看啊~            
(4星)	 我喜欢顿珠            
(5星)	 超喜欢文颂娴和林文龙这对~            
(4星)	 女主角挺可爱            
(3星)	 2003年上海            
(5星)	 我还真有一阵子看了不少港剧……            
(4星)	 文颂娴啊文颂娴              
(4星)	 很久前看的 超有印象！            
(5星)	 其实我最喜欢二三两房~            
(NA)	 几搞笑咯..            
(3星)	 挺好看            
(5星)	 大欢喜！            
(5星)	 嗯，今天又重温了一下，爆笑+温暖啊~~~            
(4星)	 印象挺深刻的~            
(5星)	 我覺得很搞笑啊..特別是阮兆祥和鄭中基...            
(4星)	 家长里短勾心斗角最可爱~            
(4星)	 大嘴巴!眯眯眼!            
(4星)	 这部片子挺有爱 说真的 这是我看过文颂娴塑造的角色里最完满的一个 很鲜明 前段时间还看了文颂娴和林文龙很早拍得撞到正            
(5星)	 当时啊当时。            
(4星)	 怎么看多少遍我都不厌倦            
(4星)	 最喜欢看四个人凑一桌打马吊！            
(NA)	 好笑            
(4星)	 文颂娴有爱            
(2星)	 湖南卫视。            
(4星)	 难得的文颂娴的女主            
(4星)	 印象中蛮好笑的            
(3星)	 其实还不错的剧~很喜欢文颂娴~记得是那时是吃午饭时候放的~林文龙很帅~打打闹闹的爱情总是看不厌~            
(3星)	 很tvb            
(5星)	 轻松又好笑，赞。            
(2星)	 2次。            
(4星)	 一直很喜欢文颂娴。            
(3星)	 10岁的时候在广州看的，一分纪念这段记忆            
(4星)	 挺好看的,电视台播了太多遍了            
(4星)	 林文龙啊啊啊~            
(2星)	 哎！            
(3星)	 个人觉得TVB的编剧思路很活跃，题材也很新颖，TVB在小成本古装剧里面算是很突出的一只哦！            
(4星)	 还挺喜欢的一部片。。。            
(5星)	 文颂娴！            
(4星)	 还是挺好看的，卢苑茵和朱咪咪好配~            
(3星)	 文颂娴很可爱            
(3星)	 顿猪麽~            
(3星)	 看着玩的            
(5星)	 和老妈可以一同看的津津有味~~并且每次看都当成第一次看~~~顿珠，很可爱~~            
(3星)	 電視上播的，看著還行。            
(4星)	 蛮好看的。            
(4星)	 可爱的文文。            
(4星)	 挺TVB的一部TVB电视剧            
(NA)	 古装剧 我喜欢 哇哈哈            
(2星)	 郑中基？！            
(4星)	 文颂娴依旧俏皮可爱。            
(5星)	 唉~曾经迷恋的TVB            
(4星)	 文颂娴这么漂亮可爱，演技又好的小姑娘怎么就红不起来呢？            
(5星)	 昨天闲来无事又看了点，好看啊！            
(4星)	 战斗了一个通宵看完了 疯狂了一把            
(5星)	 難得的小成本的劇集            
(4星)	 顿珠？这名字...            
(NA)	 炖猪            
(5星)	 好喜欢顿珠            
(3星)	 喜欢演顿珠那个女孩，好可爱。虽然不是让人惊艳的美，但是纯纯的，很清新，而且骨架小小的，好喜欢            
(3星)	 皆大欢喜肥皂剧~很适合当年的我            
(5星)	 热爱阮胖子小惠姐小眼郑啊~~喜感十足~~            
(4星)	 文颂娴很可爱！居然还有郑中基...囧            
(5星)	 看着这电视剧真开心。文颂娴好可爱啊~~            
(4星)	 百看不厌            
(5星)	 为了学业放下的，可是要大吼：我是因为你们才喜欢TVB的啊~~~~最深刻的话是败落时大太太的那句：人人只会锦上添花，最难雪中送炭            
(4星)	 文頌嫻看起來真舒服            
(3星)	 文颂娴为数不多当女主角的剧，很喜剧很梦幻            
(4星)	 又见文颂娴            
(3星)	 这么多港剧~咔咔~            
(4星)	 我会唱这个的主题曲            
(4星)	 有几幕很温情            
(4星)	 好笑的不行～～～            
(3星)	 顿珠...            
(5星)	 文颂娴好喜欢            
(5星)	 短小而精致，喜欢            
(4星)	 里面郑中基和梅小惠这一对儿很可爱，还有郭少芸~            
(3星)	 结局很诡异            
(4星)	 没有原因的喜欢            
(5星)	 太喜欢顿珠啦            
(4星)	 越看越喜欢..            
(4星)	 有深刻TVB元素的喜剧啊~开心就好!            
(3星)	 tvb开始下坡            
(5星)	 开开心心的剧集            
(4星)	 以前看的            
(4星)	 文文的戏一定要看 好看            
(3星)	 mong看看            
(3星)	 一般..很一般..            
(3星)	 2001            
(4星)	 还不错……            
(NA)	 锦绣是否良缘            
(3星)	 郑中基～～～好笑            
(NA)	 喜欢            
(4星)	 中国版的先结婚再恋爱            
(4星)	 喜欢文颂娴啊 一直都好喜欢~~            
(3星)	 顿珠很可爱，传统TVB特色，没什么突破。            
(4星)	 又一港剧            
(4星)	 初中看的~            
(4星)	 顿珠太可爱了~~稀饭~~            
(4星)	 比较有看无看的时候看的片子。            
(3星)	 非要吃点苦才行！            
(5星)	 好几遍还是好看!!!!            
(4星)	 2003            
(5星)	 打麻将那段超级搞笑！            
(5星)	 顿珠真可爱呀！            
(3星)	 蛮喜欢文颂娴的            
(5星)	 看过N遍……            
(NA)	 很喜欢顿珠            
(4星)	 不知道为什么就是特别喜欢看，其实这片的水平只能说是中上。            
(4星)	 觉得它是皆大欢喜嘅前身……            
(5星)	 逢演必看的片            
(3星)	 2003            
(4星)	 就是喜欢,看了无数遍!文文真是俏皮可人!            
(5星)	 锦绣良缘            
(5星)	 我看过n遍！            
(5星)	 狂好看！！连我爸这么讨厌古装片的都很喜欢~~            
(5星)	 蛮灵的~~            
(4星)	 看过两三次，很有趣的电视剧，也很温馨。            
(3星)	 就看过几集            
(3星)	 可爱的TVB古装剧。。。            
(3星)	 看了5遍，杀杀时间            
(3星)	 还算不错的香港典型电视剧~~~钝珠这个名字大概会永远记得吧            
(3星)	 tvb你到底拍过多少剧= =            
(NA)	 文颂娴为嘛不红嘞……            
(4星)	 文文好可爱啊            
(NA)	 轻喜剧            
(4星)	 喜欢这种古装剧~~            
(5星)	 他们家的人好可爱更搞怪额！            
(5星)	 百看不腻            
(3星)	 就是喜欢烂俗的大团圆结局            
(5星)	 我想念那时候的我：12岁，浙江影视频道，晚上六点，集集不落，连重播都不放过。文颂娴太美了，以至于后来她的电视我一部不差都看了。这大概是我对TVB古装喜剧的最初情怀。。。            
(5星)	 赞！！            
(5星)	 很有爱。            
(NA)	 直接喜欢四公子 不犹豫~            
(3星)	 【好無聊的開始馬克看過的TBB】這劇最後似乎有NG片段，阿蘇好可愛。            
(4星)	 小时候特别爱看，看了好多遍~            
(4星)	 港式古装喜剧 喜欢文颂娴 现在不太出来了 好可惜 TVB里小女生类型的最喜欢她和唐宁            
(4星)	 当年啊当年 BTW喜欢郑中基            
(4星)	 文颂娴蛮不错的。            
(NA)	 小学时候看过的。。。            
(4星)	 很喜欢文颂娴~！看了法证先锋后觉得林文龙挺帅的。。。            
(4星)	 也是那会儿才觉得文颂娴挺好看            
(4星)	 还算是不错的古装言情剧。            
(4星)	 居然从昨天下午重看到3点过。。。            
(4星)	 欢欢乐乐，热热闹闹的            
(4星)	 吃饱了撑的女人们的宅斗。但是也演尽世间炎凉人心残忍。我只是看看文颂娴。            
(4星)	 还喜欢这个妹子，真是甜啊~            
(NA)	 轻松。            
(5星)	 有一部很爱的tvb剧……            
(5星)	 文颂娴好可爱             
(5星)	 初中那会儿看的!非常喜欢            
(4星)	 追着看的。            
(4星)	 喜欢文颂娴            
(NA)	 木哈哈            
(4星)	 超爱             
(4星)	 看太多次了            
(5星)	 好喜欢这种氛围的电视剧···            
(5星)	 我喜欢文颂娴……长得不是特别好看 但是人很可爱            
(4星)	 文颂娴长得挺可爱的怎么就不捧她呢~            
(5星)	 开始喜欢文颂娴。            
(4星)	 小时候看的啦··那个时候最喜欢四公子林文龙了呀!            
(3星)	 文颂娴怎么就是不红啊            
(NA)	 喜欢文颂娴            
(4星)	 喜欢文颂娴            
(4星)	 喜欢            
(3星)	 绝对小学的菜            
(4星)	 當年覺得好好看！！文頌嫻梅小惠郭少芸！！！            
(5星)	 真心好看的            
(4星)	 好久不见文颂娴了...            
(5星)	None
(4星)	 哈哈，小时候的回忆            
(3星)	 TVB浪費我的銀生啊!            
(4星)	 初中吃晚饭时候看的，好看~~            
(3星)	 一贯的tvb闹剧风            
(4星)	 其实剧情很一般，但是我喜欢文颂娴            
(4星)	 梅小青果然最擅长的还是这种温情轻松路线。当中还穿插了NG片段，很可爱啊。四个儿子和老婆各有千秋都不错，喜欢顿珠            
(4星)	 蛮喜庆的，记得里面有一个叫做孟冬青的仔。            
(4星)	 顿珠。。我居然还记得。            
(5星)	 真的是看几遍都觉得好看！            
(5星)	 文颂娴，真心喜欢            
(4星)	 我的童年来的            
(3星)	 还行 当时觉得顿珠还是很可爱的~            
(5星)	 喜剧结尾就好~            
(4星)	 电视里放了好多遍……            
(4星)	 港剧好，轻松又好看。            
(4星)	 童年回忆 眯眯眼            
(4星)	 那时年少各种剧~            
(3星)	 喜庆~~            
(3星)	 当年看个热闹挺好看的，这片子要是放在现在，肯定是绝佳好片，现在TVB的剧水平太洼了，看的想砸电脑            
(4星)	 个人比较喜欢的港剧之一，质量很高。            
(5星)	 百看不厌的欢喜冤家            
(4星)	 林文龙和文颂娴我都很喜欢，可惜现在都不怎么出现了。。            
(5星)	 花了一整天看完，果然相当可爱欢乐啊            
(5星)	 好吧  蛮喜欢这个时期的文颂娴            
(3星)	 林文龙很帅 文颂娴很可爱 丫鬟后来当上妾那个长的很好看            
(4星)	 爱            
(5星)	 就是觉得好看            
(4星)	 电视里看过几遍的。总算有一次让我看到了结局。。。             
(4星)	 每次重播都会看吖！！那个歌好好听            
(5星)	 我果然很喜欢文颂娴            
(5星)	 纯粹的喜剧，不用费脑细胞            
(NA)	 当年的大爱            
(4星)	 搞笑剧            
(4星)	 很搞笑的一部剧。文颂娴很可爱。            
(4星)	 轻喜剧，不过没皆大欢喜好            
(4星)	 郑中基这个人贱人爱的坏蛋。            
(5星)	 很稀饭里面少奶奶之间的吵架有木有，笑屎人了~            
(4星)	 文颂娴很美            
(4星)	 小时候超爱的一部啊。。一直以为没看全。重看一遍发现基本都看到了。。            
(3星)	 文颂娴不漂亮啊            
(3星)	 ＴＶＢ            
(5星)	 很喜欢文颂娴            
(4星)	 初中时候很喜欢看            
(4星)	 我是看着你长大的。            
(5星)	 顿珠人见人爱啊！！            
(5星)	 我记得我没看到结局。。            
(3星)	 TVB看多了，好像就那些套路。黄蜂尾后针，最毒妇人心啦；锦上添花易，雪中送炭难啦；。。。            
(4星)	 喜剧吧。。开始不喜欢。。貌似其实还可以。。            
(4星)	 很轻松很耐看的一部喜剧片~            
(4星)	 姓文的那个姑娘长得不错            
(5星)	 当年因为这个 是多么的喜爱文颂娴和林文龙 只可惜后来就没再看文颂娴挑过什么大梁了            
(4星)	 我小时候超爱这个剧啊            
(3星)	 文颂娴            
(4星)	 当初很喜欢，因为有情人终成眷属            
(4星)	 剧中呈现出一种欢快的氛围。            
(5星)	 顿珠~ 哈哈，童年的回忆~            
(4星)	 很喜欢顿珠啊            
(4星)	 我喜欢文颂娴            
(4星)	 喜欢里面的文颂娴啊。很轻松有爱的剧很不错。            
(4星)	 搞笑的家庭剧 演员演的好            
(3星)	 主要是冲着林文龙来看的，典型TVB路线，欢乐八婆无脑片~~            
(5星)	 永远都看不厌的一部电视剧            
(5星)	 小时候经常看。算是回忆吧~            
(3星)	 初中时候的港剧吧，轻松的很            
(NA)	 充满灵气充满灵气！小制作总是有大惊喜。            
(4星)	 好喜欢顿珠啊啊啊啊啊啊啊啊啊啊啊……            
(5星)	 那时大爱文颂娴            
(4星)	 顿珠！            
(5星)	 嘻嘻 超喜欢哦            
(3星)	 真的不喜欢文颂娴··            
(4星)	 当时看的时候很喜欢男女主角            
(NA)	 有印象。。            
(5星)	 超喜欢里面的郑中基。张着嘴喜滋滋的拿着鸟笼左晃右摆。。。            
(5星)	 文颂娴啊。。。            
(NA)	 下午            
(5星)	 也要再看一遍            
(3星)	 这两天和TQZ堕落啊= = 最后的剧情有点扯啊。。。喜欢文颂娴的说~            
(4星)	 文颂娴很可爱哇            
(4星)	 怀念呐~~~顿珠            
(4星)	 很搞笑，看的时候正是过年还蛮适合的。            
(4星)	 文文做主演 怎么可以错过            
(5星)	 喜欢～～            
(5星)	 个人认为很不错            
(4星)	 很欢乐！            
(4星)	 TVB的戏，简直叫伴成长……            
(5星)	 梅小惠演的少奶奶  赞            
(4星)	 百看不厌啊            
(5星)	 以前的最最最爱= =            
(NA)	 很喜欢林文龙跟文颂娴的组合。顿珠~~            
(4星)	 经典。文颂娴~            
(5星)	 文颂娴是个美人。            
(4星)	 好怀念。很久以前看的。            
(4星)	 文颂娴的代表作，到程家被封前剧情都不错，后面几集变化太快，要交待的事情太多。            
(5星)	 小时候喜欢看的现在都喜欢~            
(5星)	 这个是不是织布这样的~我肯定看过~            
(3星)	  文颂娴 很像我一朋友。。。。            
(5星)	 我就是爱文颂娴 电视上每次放每次看 大家庭最有爱了            
(5星)	 顿珠            
(NA)	 好早的   同心协力            
(NA)	 当年叶子频道看的~童年回忆啊~            
(5星)	 好爱顿珠的 那时候            
(3星)	 当年被经视播烂了            
(4星)	 又是一部全家一起看的电视剧有没有！            
(5星)	 经典，喜欢文颂娴~~            
(4星)	 配角都很赞            
(5星)	 挺搞笑的            
(4星)	 喜欢文颂娴            
(3星)	 以前看了好幾次覺得真好看吶。            
(4星)	 一句话，喜欢文颂娴，活泼可爱，青春灵动啊～～            
(3星)	 只看了几集~            
(5星)	 很喜欢的一部剧，看了两遍，喜欢顿珠他们的感情，只有经得住风雨的情感才值得人慢慢回味。            
(3星)	 3.5星            
(4星)	 喜欢~            
(4星)	 噢 文颂娴超级可爱！            
(4星)	 其实顿珠很可爱的、            
(4星)	 一直很爱tvb~            
(4星)	 可爱的顿珠            
(3星)	 文颂娴长得真不错啊但是TVB好像就喜欢捧长相怪异的。。。=_____________=            
(4星)	 当时觉得真的太逗了            
(3星)	 额 还行            
(3星)	    這部片子我好像不止看過一遍，TVB最愛的歡喜冤家類型~            
(4星)	 最喜欢顿珠            
(5星)	 小时候迷死了。。。            
(4星)	 看了好几遍还是很好看，文颂娴真是可爱，其他一干少爷少奶奶们斗嘴、耍阴招都无比热闹有爱            
(5星)	 古装除皆大欢喜外的最爱            
(NA)	 矮幼  女主文颂娴诶  稀饭稀饭死了  男主好像陈锦鸿 也稀饭            
(NA)	 这个我上学期还重温了~呵呵，顿珠~~~            
(3星)	 老片子了 里面几个活宝还真少不了            
(5星)	 那时候, 百看不厌~            
(3星)	 喜欢文颂娴和梅小慧~不过看这个戏，别太认真，就是当个乐，看一帮人打打闹闹的，也还行，最喜欢文姐姐那句，“你法器都拿反了！”            
(NA)	 哈哈哈，我喜欢卡哇伊的女生。。所以，这戏为了文颂娴看的            
(4星)	 某年某月某日，嗯 十年前在电视上看过 TVB那时候的古装喜剧值得一睇            
(5星)	 大爱顿珠~~~            
(4星)	 当年我很爱~            
(4星)	 皆大欢喜的正剧版            
(4星)	 还是不错的。。            
(4星)	 忽然想再看一遍            
(5星)	 我和顿珠一样，只有在让身边的人与人对比之后才会发现他的好            
(NA)	 不止播了一次            
(NA)	 很好看。            
(5星)	 就是喜欢，没什么原因，一家人在一起就够温暖，哪怕打打闹闹的呢，看过很多遍，还是挺喜欢的，最喜欢顿珠，呵呵            
(4星)	 当初很喜欢看来得，文颂娴很少当女主，不过喜欢这种娇小可爱的。            
(4星)	 文颂娴多乖巧可爱~            
(4星)	 我其实挺喜欢文颂娴的（？            
(3星)	 不喜欢文颂娴。。。没理由。            
(5星)	 WOW！！居然看到这部!绝对笑死人不偿命啊,看多少遍还是笑得不行啊!!!每个配角都出彩的不行啊~要不要这么欢乐啊顿珠眯眯眼大嘴巴舅舅!!5颗星表达不鸟俺滴深情哇~~~~~~            
(5星)	 顿珠            
(4星)	 喜欢文~            
(5星)	 欢乐！            
(NA)	 那时候蛮喜欢            
(NA)	 很有喜感            
(3星)	 小時候的港劇總是特別好看            
(4星)	 很开心            
(4星)	 顿珠~顿珠~            
(4星)	 顿珠！            
(5星)	 文文好靓。。里面的胡杏像再生缘里的杨怡一样美好            
(5星)	 顿珠可爱死了            
(4星)	 有点久远            
(3星)	 喜欢顿珠            
(5星)	 片好看，歌好听，又短，虽然是古装。            
(4星)	 不知道为什么看完这个犹爱里面郑中基那对。。。实在是活宝的可以。。。而且也算是感情反而最稳定的了。。。            
(4星)	 一度超级喜欢文颂娴。            
(4星)	 轻松好玩，很欢乐的一部古装喜剧，那时很喜欢看。            
(NA)	 古装小品剧里很喜欢的一部，基本看不腻            
(5星)	 当时还是上初中，往往一回到家里电视里就已经开播了，经常是一边捧着饭碗吃饭，一边看电视，觉得文颂娴好可爱呀            
(5星)	 超爱文颂娴。            
(NA)	 皆大欢喜的结局。            
(5星)	 坠爱了~            
(4星)	 文颂娴的样子，我一看就喜欢。。当初这个戏给我带来了很多欢乐            
(4星)	 我觉得没有看过它。就是童年不完整啊            
(4星)	 港产 古装 喜剧 都是我爱的元素            
(4星)	 很TVB的古装家庭喜剧。中意文颂娴，好可爱。            
(4星)	 我忘了。。            
(4星)	 不错不错~            
(5星)	 啦啦啦            
(3星)	 最没想到会成为经典的成为经典，可爱的顿珠--最鲜活的角色。其实也没那么好，但是没有东西能跟你年纪尚轻的时候认为还可以的东西，哪怕后来的已经达到完美地步            
(4星)	 顿珠太可爱了            
(4星)	 这是好小的时候看的片子阿， 感觉就是10几岁出头，不过当时可是很喜欢，也奠定了我是TVB迷的开端阿            
(4星)	 小学二年级看的？！            
(5星)	 顿珠！            
(4星)	 开辟了古装家族争产剧的先河！            
(5星)	 顿珠！你怎么可以这么可爱！！            
(3星)	 喜欢顿珠呀 男主太丑··            
(3星)	 只是喜欢女主角，蛮可爱            
(NA)	 当初是冲着文颂娴守电视机的么？            
(3星)	 当年基本和金装四大才子同一时期看的此剧  跟四大才子比这个明显失色            
(4星)	 我发现我偏爱这种类型的古装剧            
(4星)	 文颂娴 林文龙 都喜欢            
(4星)	 正宗tvb水准~            
(4星)	 很喜欢文颂娴~~            
(5星)	 有情人终成眷属            
(4星)	 最喜欢二少奶奶一对~可爱的不得了~~~            
(4星)	 真喜欢当年这种热闹的电视剧。            
(5星)	 当年爱死            
(2星)	 文颂娴好看            
(4星)	 很喜欢这个女主角文颂娴 郑中基的开头曲不错            
(5星)	 还是TVB以前拍的剧赞            
(5星)	 当时看得我很哈皮啊            
(4星)	 关于染坊的故事，傻傻的吐蕃女子对男人傻傻的爱让人淡淡的感动。            
(4星)	 不说我都忘了，当年觉得这个挺好看来着            
(3星)	 文颂娴很美丽。            
(5星)	 回忆啊回忆            
(4星)	 喜欢文颂娴。            
(4星)	 满可爱的            
(3星)	 突然想起来，小时候看过            
(4星)	 文颂娴好可爱呀            
(4星)	 林文龙和文颂娴都比较喜欢            
(3星)	 我很喜欢文颂娴啊~~            
(5星)	 好看好看，文颂娴太可爱了！            
(4星)	 文颂娴            
(4星)	 顿珠，说起桂英，我还是喜欢你的排风            
(4星)	 还有郑中基。。多搞笑的一出电视剧！！            
(NA)	 TVB            
(5星)	 小时候看过。主题曲好听。            
(4星)	 剧情很简单，总觉得同样的故事TVB一直在换着法子演。这部电视剧告诉我一个谚语，锦上添花易，雪中送炭难。感觉为人处事，总是要有几个知心的朋友才不会显得自己那么的孤立无援。            
(5星)	 看过好几遍了。。            
(5星)	 儿时回忆啊，现在看起来不知道会怎样，以前还真是大爱大爱啊            
(5星)	 搞笑            
(4星)	 有郑中基啊！            
(5星)	 我爱顿珠。            
(4星)	 一星给文颂娴~~~永远的排风~！            
(3星)	 才发现。郑中基！            
(4星)	 经典的剧情，还是很回味的            
(4星)	 其实，一直都蛮想知道那首片头曲叫什么？~~麻烦、知道的童鞋告知下。。            
(5星)	 很好玩也很好看。            
(4星)	 看得我挺欢喜的～            
(3星)	 tvb的热闹戏，文颂娴的眼睛圆圆的。            
(5星)	 顿珠好可爱哦！            
(4星)	 =。= 滿歡樂的。。。            
(4星)	 喜欢文颂娴...            
(4星)	 这个都有，哈哈            
(5星)	 很经典的港产古装喜剧，顿珠很有趣！            
(5星)	 编的无厘头 演的无厘头 但我就爱看 图轻松！！            
(5星)	 那时候好迷啊 哈哈            
(4星)	 顿珠这个人真好玩和林文龙俩冤家，太有爱了。@Home            
(4星)	 我记得一个期末考试之前的周末电视剧频道重播，忍不住从头看到尾。个首周一大家竟然都在讨论~~~唉年轻真好。            
(5星)	 喜欢啊喜欢啊喜欢~~~            
(4星)	 为了文颂娴看的            
(4星)	 个人比较喜欢的港剧之一，质量很高。            
(3星)	 很热闹。还行            
(5星)	 印象中很好看            
(5星)	 好喜欢            
(4星)	 当年看的   一直觉得欢乐来着            
(3星)	 野蛮女友，胜在心肠好。            
(5星)	 打五星的原因。不是因为此剧情节多好看，而是几个演员都很喜欢，文颂娴还有朱咪咪。            
(3星)	 好笑的时候看的，剧情忘记了，那时候一切都还美好            
(3星)	 我当初不知道有郑中基的，我只记得林文龙。            
(4星)	 文颂娴真是好菇凉。            
(4星)	 不错            
(4星)	 给文颂娴的...            
(5星)	 顿珠----文颂娴            
(3星)	 蛮搞额            
(4星)	 完全是因为文颂娴和林文龙啊！            
(4星)	 嗯。。高中看得。。            
(4星)	 可爱的顿珠            
(4星)	 郭少芸            
(4星)	 童年的回忆            
(5星)	 以前好喜欢看！            
(5星)	 看了好几遍  最喜欢文颂娴  好可爱的顿珠            
(4星)	 林文龙……口水            
(4星)	 比较喜欢文颂娴！哈哈哈哈哈！喜欢文颂娴的顿珠            
(4星)	 小时候很喜欢啊            
(5星)	 太搞笑了。还能背出郑中基的经典台词。            
(5星)	 我最最喜欢的tvb剧之一            
(5星)	 说到古装，必定推荐的一部剧。特别喜欢四少和顿珠这一对。看了好几遍。            
(3星)	 很曲折，很狗血还不错            
(NA)	 文颂娴            
(4星)	 不知在地方台播过多少回了，不过还是觉得很好看            
(4星)	 又是一部冤家变爱侣。            
(5星)	 看了不止一遍            
(NA)	 喜剧~~~            
(4星)	 小眯眯眼儿~            
(3星)	 初中看的吧...还不错            
(4星)	 雖然情節不突破 但是很有愛            
(4星)	 多年前的回忆啊。            
(4星)	 文颂娴是我很喜欢的一个，看杨排风的时候就爱            
(5星)	 小时候看的，太有爱了。。再看一遍            
(5星)	 时隔N年，又在PPS上花两天看完了，太有爱啦，钝猪啊马犬牛什么的，二少奶奶和三少奶奶真是八婆中的战斗机 TwT            
(4星)	 文颂娴~            
(NA)	 终于等到了，终于等到他喜欢她了！            
(5星)	 真好笑的一部片子！            
